|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/KHA22/KHA22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1478.02        500.000        99.6249       0.375134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.65        500.000        99.6247       0.375267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000        99.6270       0.373031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.90        500.000        99.6266       0.373423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000        99.6297       0.370345                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.16        500.000        99.6338       0.366205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000        99.6353       0.364696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        500.000        99.6375       0.362495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.04        500.000        99.4507       0.549259       0.320602E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.66        500.000        99.7988       0.201202       0.172163E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.29        500.000        99.6860       0.313991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.91        500.000        99.6302       0.364295       0.548416E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        99.1036       0.798639                 NaN            NaN  0.977508E-001            NaN            NaN            NaN            NaN            NaN
  1460.17        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.79        500.000        99.8137       0.186265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.42        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.05        500.000        99.3047       0.695342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.67        500.000        99.6538       0.346193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000        99.6559       0.344082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000        99.6254       0.218123                 NaN            NaN  0.156482                 NaN            NaN            NaN            NaN            NaN
  1450.55        500.000        99.3380       0.387435E-001  0.191490E-005            NaN  0.329885       0.293365                 NaN            NaN            NaN            NaN
  1449.18        500.000        98.9959       0.810562E-001            NaN            NaN  0.559534       0.363479                 NaN            NaN            NaN            NaN
  1447.80        500.000        99.6244       0.302209E-001            NaN            NaN  0.208719       0.136688                 NaN            NaN            NaN            NaN
  1446.43        500.000        99.3189       0.486487E-001            NaN            NaN  0.254446       0.378011                 NaN            NaN            NaN            NaN
  1445.06        500.000        99.3264       0.503039E-001            NaN            NaN  0.248962       0.374333                 NaN            NaN            NaN            NaN
  1443.68        500.000        99.1772       0.612621E-001            NaN            NaN  0.304015       0.457553                 NaN            NaN            NaN            NaN
  1442.31        500.000        99.4935       0.348548E-001            NaN            NaN  0.281683       0.189989                 NaN            NaN            NaN            NaN
  1440.94        500.000        99.3449       0.441894E-001            NaN            NaN  0.246544       0.364384                 NaN            NaN            NaN            NaN
  1439.56        500.000        99.3502       0.434291E-001            NaN            NaN  0.361816       0.244554                 NaN            NaN            NaN            NaN
  1438.19        500.000        99.2556       0.465851E-001            NaN            NaN  0.414267       0.283593                 NaN            NaN            NaN            NaN
  1436.82        500.000        99.4631       0.339096E-001            NaN            NaN  0.203984       0.299029                 NaN            NaN            NaN            NaN
  1435.44        500.000        99.3671       0.541107E-001            NaN            NaN  0.353756       0.225053                 NaN            NaN            NaN            NaN
  1434.07        500.000        99.3738       0.262744E-001            NaN            NaN  0.251387       0.348569                 NaN            NaN            NaN            NaN
  1432.69        500.000        99.3804       0.365948E-001            NaN            NaN  0.237126       0.345896                 NaN            NaN            NaN            NaN
  1431.32        500.000        99.3848       0.360293E-001            NaN            NaN  0.235532       0.343683                 NaN            NaN            NaN            NaN
  1429.95        500.000        99.3882       0.348369E-001            NaN            NaN  0.341755       0.235237                 NaN            NaN            NaN            NaN
  1428.57        500.000        99.3982       0.124868                 NaN            NaN  0.341300       0.135618                 NaN            NaN            NaN            NaN
  1427.20        500.000        99.4010       0.412043E-001            NaN            NaN  0.222213       0.335608                 NaN            NaN            NaN            NaN
  1425.83        500.000        99.4063                 NaN            NaN            NaN  0.262996       0.330663                 NaN            NaN            NaN            NaN
  1424.45        500.000        99.4107                 NaN            NaN            NaN  0.328680       0.260646                 NaN            NaN            NaN            NaN
  1423.08        500.000        99.4160       0.205885E-001            NaN            NaN  0.236435       0.327016                 NaN            NaN            NaN            NaN
  1421.71        500.000        99.4210       0.279729E-002            NaN            NaN  0.252671       0.323542                 NaN            NaN            NaN            NaN
  1420.33        500.000        99.4264       0.285965E-001            NaN            NaN  0.222982       0.321980                 NaN            NaN            NaN            NaN
  1418.96        500.000        99.4311       0.285573E-001            NaN            NaN  0.220814       0.319530                 NaN            NaN            NaN            NaN
  1417.58        500.000        99.4361       0.284116E-001            NaN            NaN  0.218458       0.317021                 NaN            NaN            NaN            NaN
  1416.21        500.000        99.4402       0.286170E-001            NaN            NaN  0.315016       0.216142                 NaN            NaN            NaN            NaN
  1414.84        500.000        99.4452       0.275016E-001            NaN            NaN  0.312438       0.214851                 NaN            NaN            NaN            NaN
  1413.46        500.000        99.4499       0.269498E-001            NaN            NaN  0.213260       0.309925                 NaN            NaN            NaN            NaN
  1412.09        500.000        99.3492       0.209226E-001            NaN            NaN  0.315521       0.260932       0.533917E-001            NaN            NaN            NaN
  1410.72        500.000        98.6029       0.168065E-001            NaN            NaN  0.367946       0.575195       0.437195                 NaN            NaN            NaN
  1409.34        500.000        98.6305       0.534247E-001            NaN            NaN  0.361881       0.525432       0.428771                 NaN            NaN            NaN
  1407.97        500.000        98.6514                 NaN            NaN            NaN  0.353377       0.572585       0.422590                 NaN            NaN            NaN
  1406.60        500.000        98.6780                 NaN            NaN            NaN  0.346627       0.561268       0.414109                 NaN            NaN            NaN
  1405.22        500.000        98.6994                 NaN            NaN            NaN  0.340788       0.552194       0.407667                 NaN            NaN            NaN
  1403.85        500.000        98.7207                 NaN            NaN            NaN  0.334717       0.543377       0.401172                 NaN            NaN            NaN
  1402.47        500.000        98.7438                 NaN            NaN            NaN  0.328499       0.533802       0.393911                 NaN            NaN            NaN
  1401.10        500.000        98.7640                 NaN            NaN            NaN  0.525526       0.322664       0.387772                 NaN            NaN            NaN
  1399.73        500.000        98.7826                 NaN            NaN            NaN  0.517511       0.317822       0.382073                 NaN            NaN            NaN
  1398.35        500.000        98.8075                 NaN            NaN            NaN  0.507223       0.311035       0.374194                 NaN            NaN            NaN
  1396.98        500.000        98.8234                 NaN            NaN            NaN  0.306541       0.500727       0.369298                 NaN            NaN            NaN
  1395.61        500.000        98.8442                 NaN            NaN            NaN  0.300486       0.492340       0.363012                 NaN            NaN            NaN
  1394.23        500.000        98.8619                 NaN            NaN            NaN  0.484994       0.295681       0.357435                 NaN            NaN            NaN
  1392.86        500.000        98.8800                 NaN            NaN            NaN  0.477460       0.290623       0.351884                 NaN            NaN            NaN
  1391.49        500.000        98.8981                 NaN            NaN            NaN  0.285583       0.470064       0.346251                 NaN            NaN            NaN
  1390.11        500.000        98.9147                 NaN            NaN            NaN  0.280905       0.463197       0.341161                 NaN            NaN            NaN
  1388.74        500.000        98.9309                 NaN            NaN            NaN  0.456517       0.276613       0.335997                 NaN            NaN            NaN
  1387.36        500.000        98.9481                 NaN            NaN            NaN  0.271640       0.449512       0.330766                 NaN            NaN            NaN
  1385.99        500.000        98.9623                 NaN            NaN            NaN  0.443558       0.267766       0.326336                 NaN            NaN            NaN
  1384.62        500.000        98.9793                 NaN            NaN            NaN  0.436572       0.263209       0.320874                 NaN            NaN            NaN
  1383.24        500.000        98.9933                 NaN            NaN            NaN  0.259032       0.430907       0.316711                 NaN            NaN            NaN
  1381.87        500.000        99.0095                 NaN            NaN            NaN  0.254668       0.424319       0.311529                 NaN            NaN            NaN
  1380.50        500.000        99.0235                 NaN            NaN            NaN  0.250581       0.418616       0.307260                 NaN            NaN            NaN
  1379.12        500.000        99.0377                 NaN            NaN            NaN  0.412878       0.246633       0.302811                 NaN            NaN            NaN
  1377.75        500.000        99.0513                 NaN            NaN            NaN  0.407239       0.243027       0.298472                 NaN            NaN            NaN
  1376.38        500.000        99.0651                 NaN            NaN            NaN  0.401650       0.239097       0.294190                 NaN            NaN            NaN
  1375.00        500.000        99.0787                 NaN            NaN            NaN  0.235263       0.396102       0.289950                 NaN            NaN            NaN
  1373.63        500.000        99.0908                 NaN            NaN            NaN  0.391276       0.231760       0.286146                 NaN            NaN            NaN
  1372.25        500.000        99.1034                 NaN            NaN            NaN  0.228285       0.386020       0.282278                 NaN            NaN            NaN
  1370.88        500.000        99.1162                 NaN            NaN            NaN  0.224822       0.380842       0.278090                 NaN            NaN            NaN
  1369.51        500.000        99.1279                 NaN            NaN            NaN  0.221521       0.376147       0.274477                 NaN            NaN            NaN
  1368.13        500.000        99.1365                 NaN            NaN            NaN  0.372744       0.218923       0.271799                 NaN            NaN            NaN
  1366.76        500.000        99.1541                 NaN            NaN            NaN  0.214056       0.365610       0.266228                 NaN            NaN            NaN
  1365.39        500.000        99.1625                 NaN            NaN            NaN  0.211749       0.362169       0.263627                 NaN            NaN            NaN
  1364.01        500.000        99.1728                 NaN            NaN            NaN  0.208857       0.357932       0.260396                 NaN            NaN            NaN
  1362.64        500.000        99.1848                 NaN            NaN            NaN  0.205625       0.353059       0.256520                 NaN            NaN            NaN
  1361.27        500.000        99.1950                 NaN            NaN            NaN  0.202600       0.348989       0.253375                 NaN            NaN            NaN
  1359.89        500.000        99.2053                 NaN            NaN            NaN  0.199754       0.344815       0.250174                 NaN            NaN            NaN
  1358.52        500.000        99.2155                 NaN            NaN            NaN  0.196864       0.340775       0.246850                 NaN            NaN            NaN
  1357.14        500.000        99.2252                 NaN            NaN            NaN  0.194231       0.336785       0.243749                 NaN            NaN            NaN
  1355.77        500.000        99.2355                 NaN            NaN            NaN  0.332602       0.191364       0.240509                 NaN            NaN            NaN
  1354.40        500.000        99.2448                 NaN            NaN            NaN  0.188591       0.328994       0.237644                 NaN            NaN            NaN
  1353.02        500.000        99.2543                 NaN            NaN            NaN  0.185907       0.325139       0.234665                 NaN            NaN            NaN
  1351.65        500.000        99.2636                 NaN            NaN            NaN  0.183315       0.321469       0.231659                 NaN            NaN            NaN
  1350.28        500.000        99.2722                 NaN  0.184126E-005            NaN  0.317907       0.180970       0.228898                 NaN            NaN            NaN
  1348.90        500.000        99.2816                 NaN  0.953443E-006            NaN  0.178334       0.314073       0.226009                 NaN            NaN            NaN
  1347.53        500.000        99.2901                 NaN  0.133358E-005            NaN  0.175916       0.310777       0.223204                 NaN            NaN            NaN
  1346.16        500.000        99.2984                 NaN            NaN            NaN  0.307472       0.173542       0.220632                 NaN            NaN            NaN
  1344.78        500.000        99.3069                 NaN            NaN            NaN  0.303979       0.171154       0.217922                 NaN            NaN            NaN
  1343.41        500.000        99.3152                 NaN            NaN            NaN  0.168814       0.300714       0.215307                 NaN            NaN            NaN
  1342.03        500.000        99.3233                 NaN  0.143682E-002            NaN  0.295434       0.166804       0.212995                 NaN            NaN            NaN
  1340.66        500.000        99.3366                 NaN  0.268601E-001            NaN  0.170922       0.252872       0.212778                 NaN            NaN            NaN
  1339.29        500.000        99.3478                 NaN  0.530104E-001            NaN  0.175802       0.209900       0.213454                 NaN            NaN            NaN
  1337.91        500.000        99.3587                 NaN  0.530951E-001            NaN  0.205367       0.172901       0.209953                 NaN            NaN            NaN
  1336.54        500.000        99.3656                 NaN  0.527335E-001            NaN  0.171024       0.202989       0.207628                 NaN            NaN            NaN
  1335.17        500.000        99.3729                 NaN  0.527953E-001            NaN  0.199837       0.169076       0.205426                 NaN            NaN            NaN
  1333.79        500.000        99.3805                 NaN  0.529479E-001            NaN  0.167164       0.196379       0.202995                 NaN            NaN            NaN
  1332.42        500.000        99.3882                 NaN  0.514580E-001            NaN  0.195621       0.164609       0.200152                 NaN            NaN            NaN
  1331.05        500.000        99.3948                 NaN  0.521005E-001            NaN  0.163042       0.191860       0.198217                 NaN            NaN            NaN
  1329.67        500.000        99.4020                 NaN  0.517331E-001            NaN  0.161213       0.189228       0.195852                 NaN            NaN            NaN
  1328.30        500.000        99.4082                 NaN  0.516285E-001            NaN  0.186934       0.159343       0.193884                 NaN            NaN            NaN
  1326.92        500.000        99.4160                 NaN  0.511691E-001            NaN  0.157383       0.184212       0.191210                 NaN            NaN            NaN
  1325.55        500.000        99.4223                 NaN  0.511565E-001            NaN  0.181634       0.155663       0.189208                 NaN            NaN            NaN
  1324.18        500.000        99.4293                 NaN  0.508478E-001            NaN  0.179210       0.153700       0.186944                 NaN            NaN            NaN
  1322.80        500.000        99.4351                 NaN  0.503691E-001            NaN  0.177385       0.152166       0.185015                 NaN            NaN            NaN
  1321.43        500.000        99.4423                 NaN  0.505974E-001            NaN  0.174214       0.150214       0.182678                 NaN            NaN            NaN
  1320.06        500.000        99.4481                 NaN  0.501363E-001            NaN  0.148618       0.172353       0.180769                 NaN            NaN            NaN
  1318.68        500.000        99.4545                 NaN  0.495703E-001            NaN  0.170709       0.146506       0.178718                 NaN            NaN            NaN
  1317.31        500.000        99.4604                 NaN  0.492671E-001            NaN  0.145141       0.168568       0.176628                 NaN            NaN            NaN
  1315.94        500.000        99.4663                 NaN  0.491921E-001            NaN  0.143596       0.166152       0.174764                 NaN            NaN            NaN
  1314.56        500.000        99.4722                 NaN  0.487450E-001            NaN  0.141813       0.164420       0.172797                 NaN            NaN            NaN
  1313.19        500.000        99.4777                 NaN  0.488134E-001            NaN  0.161862       0.140544       0.171032                 NaN            NaN            NaN
  1311.81        500.000        99.4839                 NaN  0.477395E-001            NaN  0.138415       0.161123       0.168832                 NaN            NaN            NaN
  1310.44        500.000        99.4891                 NaN  0.479651E-001            NaN  0.158585       0.137090       0.167300                 NaN            NaN            NaN
  1309.07        500.000        99.4949                 NaN  0.470160E-001            NaN  0.135440       0.157444       0.165153                 NaN            NaN            NaN
  1307.69        500.000        99.4998                 NaN  0.467126E-001            NaN  0.134036       0.155817       0.163607                 NaN            NaN            NaN
  1306.32        500.000        99.5056                 NaN  0.468993E-001            NaN  0.132592       0.153168       0.161701                 NaN            NaN            NaN
  1304.95        500.000        99.5106                 NaN  0.462392E-001            NaN  0.131148       0.151962       0.160037                 NaN            NaN            NaN
  1303.57        500.000        99.5067                 NaN  0.361718E-001            NaN  0.169823       0.127013       0.160276                 NaN            NaN            NaN
  1302.20        500.000        99.5289                 NaN  0.555238E-001            NaN  0.129873       0.130734       0.154976                 NaN            NaN            NaN
  1300.83        500.000        99.5260                 NaN  0.442542E-001            NaN  0.126490       0.148570       0.154704                 NaN            NaN            NaN
  1299.45        500.000        99.5310                 NaN  0.449055E-001            NaN  0.125375       0.145473       0.153280                 NaN            NaN            NaN
  1298.08        500.000        99.5357                 NaN  0.440140E-001            NaN  0.144812       0.123921       0.151569                 NaN            NaN            NaN
  1296.70        500.000        99.5399                 NaN  0.435620E-001            NaN  0.143750       0.122582       0.150174                 NaN            NaN            NaN
  1295.33        500.000        99.5451                 NaN  0.428923E-001            NaN  0.121039       0.142576       0.148356                 NaN            NaN            NaN
  1293.96        500.000        99.5495                 NaN  0.425624E-001            NaN  0.119754       0.141202       0.146962                 NaN            NaN            NaN
  1292.58        500.000        99.6749                 NaN  0.957373E-001            NaN  0.107756       0.558833E-002  0.115983                 NaN            NaN            NaN
  1291.21        500.000        99.4401                 NaN            NaN            NaN  0.131126       0.254304       0.174481                 NaN            NaN            NaN
  1289.84        500.000        99.3046                 NaN  0.356125E-001            NaN  0.190572       0.130742       0.169094       0.169355                 NaN            NaN
  1288.46        500.000        81.8151                 NaN  0.431669                 NaN   2.54576        1.40920        2.04355        11.7547                 NaN            NaN
  1287.09        500.000        83.6343                 NaN  0.381714                 NaN   2.30367        1.28427        1.85406        10.5420                 NaN            NaN
  1285.72        500.000        85.1793                 NaN  0.342171                 NaN   2.09499        1.17625        1.69203        9.51529                 NaN            NaN
  1284.34        500.000        86.4411                 NaN  0.307428                 NaN   1.08698        1.92987        1.55953        8.67512                 NaN            NaN
  1282.97        500.000        87.5232                 NaN  0.278600                 NaN   1.00892        1.78818        1.44555        7.95555                 NaN            NaN
  1281.59        500.000        88.4461                 NaN  0.253158                 NaN  0.940527        1.67004        1.34812        7.34201                 NaN            NaN
  1280.22        500.000        89.2618                 NaN  0.233499                 NaN  0.880564        1.56162        1.26156        6.80096                 NaN            NaN
  1278.85        500.000        89.9617                 NaN  0.214285                 NaN  0.827602        1.47278        1.18714        6.33651                 NaN            NaN
  1277.47        500.000        90.5842                 NaN  0.199327                 NaN  0.780645        1.39160        1.12086        5.92332                 NaN            NaN
  1276.10        500.000        91.1434                 NaN  0.185369                 NaN  0.737082        1.32029        1.06121        5.55264                 NaN            NaN
  1274.73        500.000        91.6438                 NaN  0.172206                 NaN  0.697268        1.25772        1.00747        5.22151                 NaN            NaN
  1273.35        500.000        92.0887                 NaN  0.160060                 NaN  0.661294        1.20322       0.959641        4.92713                 NaN            NaN
  1271.98        500.000        92.4911                 NaN  0.149328                 NaN  0.628032        1.15474       0.916327        4.66048                 NaN            NaN
  1270.61        500.000        92.8610                 NaN  0.139667                 NaN  0.597066        1.10986       0.876305        4.41608                 NaN            NaN
  1269.23        500.000        93.1965                 NaN  0.130413                 NaN  0.568279        1.07035       0.839907        4.19454                 NaN            NaN
  1267.86        500.000        93.5012                 NaN  0.121503                 NaN  0.540959        1.03632       0.806917        3.99315                 NaN            NaN
  1266.49        500.000        93.7869                 NaN  0.112688                 NaN  0.515518        1.00531       0.775452        3.80409                 NaN            NaN
  1265.11        500.000        94.0421                 NaN  0.105539                 NaN  0.491669       0.977396       0.747674        3.63558                 NaN            NaN
  1263.74        500.000        94.2846                 NaN  0.975299E-001            NaN  0.953533       0.467939       0.721026        3.47535                 NaN            NaN
  1262.36        500.000        94.5070                 NaN  0.904012E-001            NaN  0.446049       0.931129       0.696447        3.32895                 NaN            NaN
  1260.99        500.000        94.7077                 NaN  0.818702E-001            NaN  0.916826       0.423832       0.674251        3.19549                 NaN            NaN
  1259.62        500.000        94.9059                 NaN  0.761281E-001            NaN  0.403676       0.896240       0.652232        3.06584                 NaN            NaN
  1258.24        500.000        95.0905                 NaN  0.711029E-001            NaN  0.384984       0.876454       0.631514        2.94543                 NaN            NaN
  1256.87        500.000        94.1382                 NaN            NaN  0.178320       0.605092       0.817699       0.754421        3.50628                 NaN            NaN
  1255.50        500.000        94.0940                 NaN            NaN  0.230289       0.668047       0.710398       0.763972        3.53333                 NaN            NaN
  1254.12        500.000        94.4508                 NaN            NaN  0.216493       0.667380       0.626282       0.719955        3.31905                 NaN            NaN
  1252.75        500.000        94.7618                 NaN            NaN  0.204091       0.630140       0.589838       0.681336        3.13275                 NaN            NaN
  1251.38        500.000        95.0448                 NaN            NaN  0.193218       0.556694       0.595480       0.646034        2.96382                 NaN            NaN
  1250.00        500.000        95.3077                 NaN            NaN  0.182976       0.523210       0.565365       0.613336        2.80739                 NaN            NaN
  1248.63        500.000        94.7932                 NaN            NaN  0.237519       0.549985       0.624405       0.686988        3.10786                 NaN            NaN
  1247.25        500.000        96.3704                 NaN            NaN  0.106595       0.500605       0.374209       0.470010        2.17815                 NaN            NaN
  1245.88        500.000        93.8124                 NaN            NaN  0.296510       0.409196       0.820069       0.805689        3.85614                 NaN            NaN
  1244.51        500.000        96.1570                 NaN            NaN  0.153416       0.418607       0.449231       0.502133        2.31963                 NaN            NaN
  1243.13        500.000        98.5928                 NaN            NaN  0.258579E-002  0.198711E-001  0.527180       0.194259       0.663318                 NaN            NaN
  1241.76        500.000        96.2975                 NaN            NaN  0.145802       0.422435       0.416295       0.485679        2.23234                 NaN            NaN
  1240.39        500.000        95.1196                 NaN            NaN  0.209093       0.545095       0.499238       0.659423        2.96758                 NaN            NaN
  1239.01        500.000        96.2449                 NaN  0.101516       0.895413E-001  0.703198                 NaN  0.585329        2.27550                 NaN            NaN
  1237.64        500.000        98.7497                 NaN            NaN  0.964694E-001  0.382965                 NaN  0.577598E-001  0.713116                 NaN            NaN
  1236.27        500.000        95.2686                 NaN            NaN  0.214586       0.599950       0.297316       0.610366        3.00914                 NaN            NaN
  1234.89        500.000        97.7157                 NaN            NaN  0.771146E-001  0.431754       0.209728       0.323342        1.24240                 NaN            NaN
  1233.52        500.000        98.2559                 NaN            NaN  0.514940E-001  0.262876       0.165524       0.212562        1.05168                 NaN            NaN
  1232.14        500.000        97.2825                 NaN            NaN  0.112432       0.293521       0.304907       0.355794        1.65090                 NaN            NaN
  1230.77        500.000        94.2253                 NaN            NaN            NaN  0.398166        1.03690       0.731408        3.60826                 NaN            NaN
  1229.40        500.000        99.2905                 NaN            NaN  0.225222                 NaN            NaN  0.136733       0.347569                 NaN            NaN
  1228.02        500.000        98.4494                 NaN            NaN  0.115491       0.276969                 NaN  0.215448       0.941999       0.739932E-003            NaN
  1226.65        500.000        97.9403                 NaN            NaN  0.753844E-001  0.316375       0.169343       0.234191        1.26442                 NaN            NaN
  1225.28        500.000        97.8145                 NaN            NaN  0.118135       0.390407       0.235342E-001  0.270047        1.38338                 NaN            NaN
  1223.90        500.000        96.9189                 NaN            NaN  0.168701       0.427149       0.196688       0.436240        1.85228                 NaN            NaN
  1222.53        500.000        98.5494                 NaN            NaN  0.109480E-001  0.737255E-001  0.268763       0.142286       0.954846                 NaN            NaN
