|6.6.6
Archiving\03_Data\eqfrac/QFM/Y98/Y98_1.tab                                
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         San(TH)        ilm            q             
  1373.59        2500.00        98.1153       0.424009       0.714748                 NaN            NaN  0.409936       0.335963                 NaN            NaN            NaN
  1372.38        2500.00        98.1466       0.702159       0.416075                 NaN            NaN  0.404109       0.331074                 NaN            NaN            NaN
  1371.16        2500.00        98.1759       0.690819       0.407977                 NaN            NaN  0.398493       0.326807                 NaN            NaN            NaN
  1369.95        2500.00        98.2054       0.679311       0.400002                 NaN            NaN  0.392910       0.322329                 NaN            NaN            NaN
  1368.74        2500.00        98.2378       0.392498       0.666070                 NaN            NaN  0.386737       0.316862                 NaN            NaN            NaN
  1367.53        2500.00        98.2662       0.654430       0.385918                 NaN            NaN  0.381489       0.311975                 NaN            NaN            NaN
  1366.31        2500.00        98.2949       0.643202       0.378348                 NaN            NaN  0.375976       0.307560                 NaN            NaN            NaN
  1365.10        2500.00        98.3233       0.631785       0.371683                 NaN            NaN  0.370594       0.302634                 NaN            NaN            NaN
  1363.89        2500.00        98.3515       0.365190       0.620081                 NaN            NaN  0.365203       0.298060                 NaN            NaN            NaN
  1362.67        2500.00        98.3810       0.608039       0.358546                 NaN            NaN  0.359525       0.292882                 NaN            NaN            NaN
  1361.46        2500.00        98.4065       0.598357       0.352032                 NaN            NaN  0.354624       0.288531                 NaN            NaN            NaN
  1360.25        2500.00        98.4332       0.346042       0.587276                 NaN            NaN  0.349460       0.284047                 NaN            NaN            NaN
  1359.04        2500.00        98.4600       0.576095       0.340350                 NaN            NaN  0.344415       0.279172                 NaN            NaN            NaN
  1357.82        2500.00        98.4848       0.334520       0.566131                 NaN            NaN  0.339597       0.274952                 NaN            NaN            NaN
  1356.61        2500.00        98.5091       0.556007       0.329629                 NaN            NaN  0.334944       0.270322                 NaN            NaN            NaN
  1355.40        2500.00        98.5343       0.545746       0.323895                 NaN            NaN  0.330017       0.266017                 NaN            NaN            NaN
  1354.18        2500.00        98.5569       0.318887       0.536743                 NaN            NaN  0.325629       0.261801                 NaN            NaN            NaN
  1352.97        2500.00        98.5805       0.527212       0.313516                 NaN            NaN  0.321054       0.257734                 NaN            NaN            NaN
  1351.76        2500.00        98.6031       0.517924       0.308669                 NaN            NaN  0.316701       0.253627                 NaN            NaN            NaN
  1350.54        2500.00        98.6250       0.509133       0.303846                 NaN            NaN  0.312369       0.249658                 NaN            NaN            NaN
  1349.33        2500.00        98.6463       0.500012       0.299810                 NaN            NaN  0.308324       0.245562                 NaN            NaN            NaN
  1348.12        2500.00        98.6679       0.294745       0.491772                 NaN            NaN  0.303972       0.241657                 NaN            NaN            NaN
  1346.91        2500.00        98.6883       0.482898       0.290801                 NaN            NaN  0.300032       0.237975                 NaN            NaN            NaN
  1345.69        2500.00        98.7087       0.475230       0.285991                 NaN            NaN  0.295942       0.234087                 NaN            NaN            NaN
  1344.48        2500.00        98.7285       0.282007       0.466891                 NaN            NaN  0.292035       0.230552                 NaN            NaN            NaN
  1343.27        2500.00        98.7476       0.458983       0.278134                 NaN            NaN  0.288357       0.226947                 NaN            NaN            NaN
  1342.05        2500.00        98.7664       0.274239       0.451422                 NaN            NaN  0.284557       0.223360                 NaN            NaN            NaN
  1340.84        2500.00        98.7851       0.270693       0.443569                 NaN            NaN  0.280920       0.219732                 NaN            NaN            NaN
  1339.63        2500.00        98.8027       0.266740       0.436840                 NaN            NaN  0.277433       0.216312                 NaN            NaN            NaN
  1338.42        2500.00        98.8210       0.429207       0.263119                 NaN            NaN  0.273796       0.212911                 NaN            NaN            NaN
  1337.20        2500.00        98.8384       0.422245       0.259413                 NaN            NaN  0.270218       0.209718                 NaN            NaN            NaN
  1335.99        2500.00        98.8550       0.415236       0.256279                 NaN            NaN  0.267000       0.206479                 NaN            NaN            NaN
  1334.78        2500.00        98.8720       0.252677       0.408780                 NaN            NaN  0.263429       0.203159                 NaN            NaN            NaN
  1333.56        2500.00        98.8877       0.402023       0.249736                 NaN            NaN  0.260414       0.200122                 NaN            NaN            NaN
  1332.35        2500.00        98.9039       0.395706       0.246280                 NaN            NaN  0.257083       0.197066                 NaN            NaN            NaN
  1331.14        2500.00        98.9197       0.389012       0.243502                 NaN            NaN  0.253964       0.193830                 NaN            NaN            NaN
  1329.92        2500.00        98.9349       0.383084       0.240181                 NaN            NaN  0.250788       0.191026                 NaN            NaN            NaN
  1328.71        2500.00        98.9499       0.376954       0.237379                 NaN            NaN  0.247821       0.187989                 NaN            NaN            NaN
  1327.50        2500.00        98.9644       0.370988       0.234627                 NaN            NaN  0.244823       0.185117                 NaN            NaN            NaN
  1326.29        2500.00        98.9787       0.365238       0.231940                 NaN            NaN  0.241972       0.182121                 NaN            NaN            NaN
  1325.07        2500.00        98.9933       0.359332       0.228876                 NaN            NaN  0.238959       0.179518                 NaN            NaN            NaN
  1323.86        2500.00        99.0067       0.226717       0.353797                 NaN            NaN  0.236243       0.176581                 NaN            NaN            NaN
  1322.65        2500.00        99.0204       0.348404       0.223904                 NaN            NaN  0.233391       0.173874                 NaN            NaN            NaN
  1321.43        2500.00        99.0332       0.221585       0.343071                 NaN            NaN  0.230842       0.171276                 NaN            NaN            NaN
  1320.22        2500.00        99.0467       0.337717       0.219024                 NaN            NaN  0.228009       0.168575                 NaN            NaN            NaN
  1319.01        2500.00        99.0594       0.217156       0.332293                 NaN            NaN  0.225355       0.165789                 NaN            NaN            NaN
  1317.79        2500.00        99.0332       0.226756       0.336133                 NaN            NaN  0.233914       0.169959                 NaN            NaN            NaN
  1316.58        2500.00        99.1219       0.314195       0.200705                 NaN            NaN  0.209312       0.153871                 NaN            NaN            NaN
  1315.37        2500.00        99.0961       0.210743       0.317132                 NaN            NaN  0.217883       0.158152                 NaN            NaN            NaN
  1314.16        2500.00        99.1083       0.207867       0.312623                 NaN            NaN  0.215345       0.155853                 NaN            NaN            NaN
  1312.94        2500.00        99.1200       0.307542       0.206305                 NaN            NaN  0.212880       0.153315                 NaN            NaN            NaN
  1311.73        2500.00        99.1311       0.204231       0.303309                 NaN            NaN  0.210496       0.150874                 NaN            NaN            NaN
  1310.52        2500.00        99.1418       0.298618       0.202744                 NaN            NaN  0.208327       0.148472                 NaN            NaN            NaN
  1309.30        2500.00        99.1534       0.294276       0.200244                 NaN            NaN  0.205950       0.146179                 NaN            NaN            NaN
  1308.09        2500.00        99.1633       0.199065       0.289826                 NaN            NaN  0.203885       0.143889                 NaN            NaN            NaN
  1306.88        2500.00        99.1752       0.285201       0.196836                 NaN            NaN  0.201395       0.141386                 NaN            NaN            NaN
  1305.67        2500.00        99.1852       0.194800       0.281224                 NaN            NaN  0.199176       0.139586                 NaN            NaN            NaN
  1304.45        2500.00        99.1949       0.193567       0.277142                 NaN            NaN  0.197257       0.137180                 NaN            NaN            NaN
  1303.24        2500.00        99.2058       0.272869       0.191541                 NaN            NaN  0.194843       0.134983                 NaN            NaN            NaN
  1302.03        2500.00        99.2150       0.268616       0.190675                 NaN            NaN  0.193052       0.132698                 NaN            NaN            NaN
  1300.81        2500.00        99.2248       0.188834       0.264705                 NaN            NaN  0.190884       0.130768                 NaN            NaN            NaN
  1299.60        2500.00        99.2341       0.260951       0.187578                 NaN            NaN  0.188890       0.128432                 NaN            NaN            NaN
  1298.39        2500.00        99.2439       0.256527       0.186110                 NaN            NaN  0.186972       0.126444                 NaN            NaN            NaN
  1297.17        2500.00        94.1831       0.857354       0.913056                 NaN            NaN  0.789706       0.489641        2.76714                 NaN            NaN
  1295.96        2500.00        81.2529        2.33705        2.82112                 NaN            NaN   2.33150        1.38356        9.87389                 NaN            NaN
  1294.75        2500.00        84.5377        1.91900        2.34447                 NaN            NaN   1.93744        1.13696        8.12439                 NaN            NaN
  1293.54        2500.00        86.8727        1.99967        1.62440                 NaN            NaN   1.65624       0.964681        6.88236                 NaN            NaN
  1292.32        2500.00        88.6085        1.40769        1.73964                 NaN            NaN   1.44652       0.838205        5.95945                 NaN            NaN
  1291.11        2500.00        81.7778        2.26242        2.97411                 NaN            NaN   2.29383       0.955415        9.73638                 NaN            NaN
  1289.90        2500.00        96.7346       0.340711       0.344129                 NaN            NaN  0.481758       0.656354        1.44246                 NaN            NaN
  1288.68        2500.00        94.6606       0.685632       0.775789                 NaN            NaN  0.679620       0.443849        2.75449                 NaN            NaN
  1287.47        2500.00        91.5654        1.08685        1.22361                 NaN            NaN   1.09557       0.627986        4.40057                 NaN            NaN
  1286.26        2500.00        94.1225       0.859978       0.740977                 NaN            NaN  0.764962       0.470234        3.04138                 NaN            NaN
  1285.04        2500.00        93.7483       0.957160       0.764995                 NaN            NaN  0.818800       0.475256        3.23554                 NaN            NaN
  1283.83        2500.00        93.8596       0.779447       0.891456                 NaN            NaN  0.806652       0.480994        3.18188                 NaN            NaN
  1282.62        2500.00        94.7062       0.679982       0.751852                 NaN            NaN  0.697648       0.421218        2.74309                 NaN            NaN
  1281.41        2500.00        96.7341       0.422117       0.452185                 NaN            NaN  0.434138       0.266310        1.69118                 NaN            NaN
  1280.19        2500.00        90.4545        1.21520        1.34827                 NaN            NaN   1.26401       0.772307        4.94566                 NaN            NaN
  1278.98        2500.00        97.7425       0.377209       0.258958                 NaN            NaN  0.301568       0.166436        1.15333                 NaN            NaN
  1277.77        2500.00        96.9779       0.403223       0.369563                 NaN            NaN  0.407908       0.268284        1.57311                 NaN            NaN
  1276.55        2500.00        99.8283       0.276786E-001  0.169771E-001            NaN            NaN  0.228125E-001  0.158718E-001  0.883692E-001            NaN            NaN
  1275.34        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1274.13        2500.00        94.9569       0.692260       0.726900                 NaN            NaN  0.649251       0.144986        2.61811       0.211626                 NaN
  1272.92        2500.00        85.3086        1.84113        2.56353                 NaN            NaN   1.92059       0.387241        7.47754       0.501371                 NaN
  1271.70        2500.00        97.5964       0.495462       0.148885E-001            NaN            NaN  0.326761       0.215908        1.32912       0.214728E-001            NaN
  1270.49        2500.00        96.3549       0.587729       0.366115                 NaN            NaN  0.472078       0.137666        1.93400       0.147546                 NaN
  1269.28        2500.00        96.0034       0.412009       0.795388                 NaN            NaN  0.527445       0.711914E-001   2.03169       0.158883                 NaN
  1268.06        2500.00        93.9997        1.07753       0.309171E-001            NaN            NaN  0.873704       0.965422        3.05271                 NaN            NaN
  1266.85        2500.00        98.3226       0.370910       0.196208                 NaN            NaN  0.192242                 NaN  0.874424       0.435700E-001            NaN
  1265.64        2500.00        97.0624       0.305083       0.582115                 NaN            NaN  0.384020                 NaN   1.51962       0.146777                 NaN
  1264.42        2500.00        87.8878        1.07041        1.98660                 NaN            NaN   1.61144       0.613212        6.30845       0.522079                 NaN
  1263.21        2500.00       100.0000       0.194930E-004            NaN            NaN  0.259183E-005            NaN            NaN  0.118490E-004            NaN            NaN
  1262.00        2500.00       100.0000                 NaN            NaN            NaN            NaN  0.583192E-005            NaN  0.224427E-004            NaN            NaN
  1260.79        2500.00        98.1395       0.564787                 NaN            NaN            NaN  0.234945                 NaN   1.06076                 NaN            NaN
  1259.57        2500.00        98.8006       0.278434E-001  0.357682                 NaN            NaN  0.187341                 NaN  0.626506                 NaN            NaN
  1258.36        2500.00        99.1769       0.193919       0.881903E-001            NaN            NaN  0.108315                 NaN  0.384551       0.481562E-001            NaN
  1257.15        2500.00        98.1727       0.263505       0.222920                 NaN            NaN  0.239335                 NaN   1.01788       0.836176E-001            NaN
  1255.93        2500.00        94.4842       0.584726        1.05839                 NaN            NaN  0.726379                 NaN   2.87453       0.271775                 NaN
  1254.72        2500.00        98.4277       0.159592       0.302370                 NaN            NaN  0.212853                 NaN  0.817545       0.799254E-001            NaN
  1253.51        2500.00        99.8614       0.393084E-001            NaN            NaN            NaN  0.134577E-001            NaN  0.858351E-001            NaN            NaN
  1252.30        2500.00        98.4246       0.197361       0.241064                 NaN            NaN  0.204619                 NaN  0.853589       0.788048E-001            NaN
  1251.08        2500.00        93.0771       0.593033        1.07776                 NaN            NaN  0.935533       0.527191        3.63124       0.158157                 NaN
  1249.87        2500.00        99.9691       0.191733E-001  0.236552E-002            NaN            NaN  0.240949E-002            NaN            NaN  0.699070E-002            NaN
  1248.66        2500.00        99.1895       0.176097E-001  0.139757                 NaN            NaN  0.111962       0.114430       0.426741                 NaN            NaN
  1247.44        2500.00        96.7720       0.540306       0.401418                 NaN            NaN  0.389197                 NaN   1.76085       0.136264                 NaN
  1246.23        2500.00        99.8865                 NaN            NaN            NaN            NaN  0.342918E-001  0.757305E-001            NaN  0.343870E-002            NaN
  1245.02        2500.00        95.5341       0.861932       0.393778                 NaN            NaN  0.610712                 NaN   2.39792       0.176154       0.253952E-001
  1243.80        2500.00        99.8168       0.713886E-002  0.127300                 NaN            NaN  0.199475E-001            NaN  0.269023E-001  0.194505E-002            NaN
  1242.59        2500.00        93.3167       0.655908                 NaN            NaN            NaN  0.641063       0.473200        2.76006       0.113992E-001   2.14165     
  1241.38        2500.00        87.8655        1.47378                 NaN            NaN            NaN   1.17363       0.616396        5.25120       0.149181        3.47029     
  1240.17        2500.00        82.9844        1.79132                 NaN            NaN            NaN   1.63869        1.22135        7.03139       0.368977E-001   5.29592     
  1238.95        2500.00        99.8548       0.162349E-001            NaN            NaN            NaN  0.139165E-001  0.999702E-002  0.598571E-001  0.416459E-003  0.447813E-001
  1237.74        2500.00        99.9608       0.182883E-002            NaN            NaN            NaN  0.372684E-002  0.302899E-002  0.168693E-001  0.288132E-004  0.136805E-001
  1236.53        2500.00        76.1113        2.52033       0.625365E-001            NaN            NaN   2.29320        1.59056        9.97272       0.739761E-001   7.37535     
  1235.31        2500.00        85.6735        1.45727                 NaN            NaN            NaN   1.36608       0.970540        5.98533       0.538537E-001   4.49344     
  1234.10        2500.00       100.0000       0.363585E-005            NaN            NaN            NaN  0.303175E-005  0.210479E-005  0.133069E-004            NaN  0.996356E-005
  1232.89        2500.00        99.9993       0.716431E-004            NaN            NaN            NaN  0.702014E-004  0.531627E-004  0.312563E-003  0.183208E-005  0.236817E-003
  1231.67        2500.00        77.3353        2.25851                 NaN            NaN            NaN   2.12699        1.49126        9.60836       0.687044E-001   7.11085     
  1230.46        2500.00        87.8787        1.17491                 NaN            NaN            NaN   1.12599       0.787716        5.19312       0.426225E-001   3.79694     
  1229.25        2500.00        98.8990       0.788749E-002  0.170709                 NaN            NaN  0.111480       0.127274E-001  0.472604       0.150519E-001  0.310544     
  1228.04        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1226.82        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1225.61        2500.00                 NaN   7.99486                 NaN            NaN            NaN   8.45713        5.83232        44.9828       0.432501        32.3004     
  1224.40        2500.00                 NaN   7.99486                 NaN            NaN            NaN   8.45713        5.83232        44.9828       0.432501        32.3004     
  1223.18        2500.00                 NaN   7.99486                 NaN            NaN            NaN   8.45713        5.83232        44.9828       0.432501        32.3004     
  1221.97        2500.00                 NaN   7.99486                 NaN            NaN            NaN   8.45713        5.83232        44.9828       0.432501        32.3004     
  1220.76        2500.00                 NaN   7.99082                 NaN            NaN            NaN   8.45757        5.79691        44.9839       0.470507        32.3002     
  1219.55        2500.00                 NaN   8.15443                 NaN            NaN            NaN   8.50744        5.70426        44.8920       0.482361        32.2595     
  1218.33        2500.00                 NaN   8.15443                 NaN            NaN            NaN   8.50744        5.70426        44.8920       0.482361        32.2595     
  1217.12        2500.00                 NaN   8.15443                 NaN            NaN            NaN   8.50744        5.70426        44.8920       0.482361        32.2595     
  1215.91        2500.00                 NaN   8.16092                 NaN            NaN            NaN   8.51114        5.66368        44.8872       0.520288        32.2567     
  1214.69        2500.00                 NaN   8.16092                 NaN            NaN            NaN   8.51114        5.66368        44.8872       0.520288        32.2567     
  1213.48        2500.00                 NaN   8.16092                 NaN            NaN            NaN   8.51114        5.66368        44.8872       0.520288        32.2567     
  1212.27        2500.00                 NaN   8.16092                 NaN            NaN            NaN   8.51114        5.66368        44.8872       0.520288        32.2567     
  1211.05        2500.00                 NaN   8.16737                 NaN            NaN            NaN   8.51489        5.62339        44.8825       0.557913        32.2540     
  1209.84        2500.00                 NaN   8.16737                 NaN            NaN            NaN   8.51489        5.62339        44.8825       0.557913        32.2540     
  1208.63        2500.00                 NaN   8.16737                 NaN            NaN            NaN   8.51489        5.62339        44.8825       0.557913        32.2540     
  1207.42        2500.00                 NaN   8.16737                 NaN            NaN            NaN   8.51489        5.62339        44.8825       0.557913        32.2540     
  1206.20        2500.00                 NaN   8.17376                 NaN            NaN            NaN   8.51870        5.58342        44.8777       0.595206        32.2512     
