|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1467.03        2500.00        99.1369                 NaN  0.586458       0.256312                 NaN            NaN  0.191331E-001  0.115768E-002            NaN            NaN            NaN            NaN
  1465.80        2500.00        99.0270                 NaN  0.660872       0.290010                 NaN            NaN  0.208535E-001  0.125807E-002            NaN            NaN            NaN            NaN
  1464.57        2500.00        99.9192                 NaN  0.242340E-001  0.548164E-001            NaN            NaN  0.167202E-002  0.100563E-003            NaN            NaN            NaN            NaN
  1463.34        2500.00        98.4922                 NaN   1.02445       0.450892                 NaN            NaN  0.306023E-001  0.187703E-002            NaN            NaN            NaN            NaN
  1462.11        2500.00        99.1553                 NaN  0.573819       0.253423                 NaN            NaN  0.164300E-001  0.984581E-003            NaN            NaN            NaN            NaN
  1460.88        2500.00        99.0308                 NaN  0.655503       0.294223                 NaN            NaN  0.183891E-001  0.106877E-002            NaN            NaN            NaN            NaN
  1459.65        2500.00        99.2959                 NaN  0.213104       0.477705                 NaN            NaN  0.124876E-001  0.762279E-003            NaN            NaN            NaN            NaN
  1458.43        2500.00        99.1670                 NaN  0.251468       0.566140                 NaN            NaN  0.145437E-001  0.840452E-003            NaN            NaN            NaN            NaN
  1457.20        2500.00        99.1707                 NaN  0.563832       0.250942                 NaN            NaN  0.137308E-001  0.830036E-003            NaN            NaN            NaN            NaN
  1455.97        2500.00        99.1760                 NaN  0.559802       0.250094                 NaN            NaN  0.132956E-001  0.794497E-003            NaN            NaN            NaN            NaN
  1454.74        2500.00        99.1756                 NaN  0.554235       0.269258                 NaN            NaN  0.109743E-003  0.807089E-003            NaN            NaN            NaN            NaN
  1453.51        2500.00        99.1711                 NaN  0.228164       0.574686                 NaN            NaN  0.253777E-001  0.675977E-003            NaN            NaN            NaN            NaN
  1452.28        2500.00        99.2010                 NaN  0.249422       0.538606                 NaN            NaN  0.103106E-001  0.711015E-003            NaN            NaN            NaN            NaN
  1451.05        2500.00        99.1896                 NaN  0.247826       0.551204                 NaN            NaN  0.106906E-001  0.673037E-003            NaN            NaN            NaN            NaN
  1449.82        2500.00        98.0944                 NaN  0.452035       0.737409                 NaN            NaN  0.213517                 NaN  0.502606                 NaN            NaN            NaN
  1448.59        2500.00        97.6732                 NaN  0.805131       0.522665                 NaN            NaN  0.297102                 NaN  0.701872                 NaN            NaN            NaN
  1447.36        2500.00        97.6943                 NaN  0.506899       0.803876                 NaN            NaN  0.298352                 NaN  0.696579                 NaN            NaN            NaN
  1446.14        2500.00        97.7602                 NaN  0.486813       0.783309                 NaN            NaN  0.294051                 NaN  0.675657                 NaN            NaN            NaN
  1444.91        2500.00        97.7848                 NaN  0.778420       0.473154                 NaN            NaN  0.294667                 NaN  0.668982                 NaN            NaN            NaN
  1443.68        2500.00        97.8194                 NaN  0.769460       0.458322                 NaN            NaN  0.294114                 NaN  0.658655                 NaN            NaN            NaN
  1442.45        2500.00        97.8524                 NaN  0.762341       0.442673                 NaN            NaN  0.293615                 NaN  0.648973                 NaN            NaN            NaN
  1441.22        2500.00        97.6591                 NaN  0.472875       0.835863                 NaN            NaN  0.324646                 NaN  0.707497                 NaN            NaN            NaN
  1439.99        2500.00        98.1427                 NaN  0.666548       0.368358                 NaN            NaN  0.260931                 NaN  0.561501                 NaN            NaN            NaN
  1438.76        2500.00        97.9505                 NaN  0.738902       0.399282                 NaN            NaN  0.291437                 NaN  0.619891                 NaN            NaN            NaN
  1437.53        2500.00        97.9718                 NaN  0.385995       0.736056                 NaN            NaN  0.292493                 NaN  0.613644                 NaN            NaN            NaN
  1436.30        2500.00        98.0066                 NaN  0.727951       0.371654                 NaN            NaN  0.290910                 NaN  0.602935                 NaN            NaN            NaN
  1435.07        2500.00        98.0372                 NaN  0.357843       0.720646                 NaN            NaN  0.290120                 NaN  0.594218                 NaN            NaN            NaN
  1433.84        2500.00        98.0635                 NaN  0.345963       0.714050                 NaN            NaN  0.290181                 NaN  0.586334                 NaN            NaN            NaN
  1432.62        2500.00        98.0927                 NaN  0.333356       0.706985                 NaN            NaN  0.289350                 NaN  0.577588                 NaN            NaN            NaN
  1431.39        2500.00        98.1157                 NaN  0.703365       0.320314                 NaN            NaN  0.289579                 NaN  0.571076                 NaN            NaN            NaN
  1430.16        2500.00        98.1433                 NaN  0.307753       0.696935                 NaN            NaN  0.289053                 NaN  0.562919                 NaN            NaN            NaN
  1428.93        2500.00        98.1720                 NaN  0.297289       0.689384                 NaN            NaN  0.287518                 NaN  0.553850                 NaN            NaN            NaN
  1427.70        2500.00        98.1924                 NaN  0.285347       0.685841                 NaN            NaN  0.288282                 NaN  0.548092                 NaN            NaN            NaN
  1426.47        2500.00        98.2172                 NaN  0.274175       0.680285                 NaN            NaN  0.287740                 NaN  0.540633                 NaN            NaN            NaN
  1425.24        2500.00        98.2370                 NaN  0.262113       0.678069                 NaN            NaN  0.288073                 NaN  0.534743                 NaN            NaN            NaN
  1424.01        2500.00        98.2636                 NaN  0.252327       0.670657                 NaN            NaN  0.286792                 NaN  0.526580                 NaN            NaN            NaN
  1422.78        2500.00        98.2834                 NaN  0.668664       0.239775                 NaN            NaN  0.287088                 NaN  0.521057                 NaN            NaN            NaN
  1421.55        2500.00        98.3056                 NaN  0.663258       0.230504                 NaN            NaN  0.286673                 NaN  0.513921                 NaN            NaN            NaN
  1420.33        2500.00        98.3260                 NaN  0.660336       0.219318                 NaN            NaN  0.286474                 NaN  0.507920                 NaN            NaN            NaN
  1419.10        2500.00        98.3451                 NaN  0.209102       0.656982                 NaN            NaN  0.286517                 NaN  0.502273                 NaN            NaN            NaN
  1417.87        2500.00        98.3676                 NaN  0.200421       0.650497                 NaN            NaN  0.286055                 NaN  0.495421                 NaN            NaN            NaN
  1416.64        2500.00        98.3864                 NaN  0.649037       0.189434                 NaN            NaN  0.285552                 NaN  0.489598                 NaN            NaN            NaN
  1415.41        2500.00        98.5086                 NaN  0.129699       0.617630                 NaN            NaN  0.287967                 NaN  0.456135                 NaN            NaN            NaN
  1414.18        2500.00        98.3202                 NaN  0.672670       0.219862                 NaN            NaN  0.281615                 NaN  0.505631                 NaN            NaN            NaN
  1412.95        2500.00        98.4470                 NaN  0.185218       0.629607                 NaN            NaN  0.269133                 NaN  0.468992                 NaN            NaN            NaN
  1411.72        2500.00        98.4525                 NaN  0.123833       0.650206                 NaN            NaN  0.301252                 NaN  0.472237                 NaN            NaN            NaN
  1410.49        2500.00        98.4790                 NaN  0.143862       0.632686                 NaN            NaN  0.283139                 NaN  0.461276                 NaN            NaN            NaN
  1409.26        2500.00        98.4939                 NaN  0.631539       0.133569                 NaN            NaN  0.283959                 NaN  0.457080                 NaN            NaN            NaN
  1408.04        2500.00        98.5094                 NaN  0.125233       0.629462                 NaN            NaN  0.283641                 NaN  0.452232                 NaN            NaN            NaN
  1406.81        2500.00        98.5251                 NaN  0.627302       0.116890                 NaN            NaN  0.283436                 NaN  0.447258                 NaN            NaN            NaN
  1405.58        2500.00        98.5433                 NaN  0.625195       0.107319                 NaN            NaN  0.282497                 NaN  0.441699                 NaN            NaN            NaN
  1404.35        2500.00        98.5586                 NaN  0.622824       0.991914E-001            NaN            NaN  0.282348                 NaN  0.437023                 NaN            NaN            NaN
  1403.12        2500.00        98.5731                 NaN  0.621870       0.907236E-001            NaN            NaN  0.281849                 NaN  0.432431                 NaN            NaN            NaN
  1401.89        2500.00        98.5885                 NaN  0.620171       0.811054E-001            NaN            NaN  0.282030                 NaN  0.428216                 NaN            NaN            NaN
  1400.66        2500.00        98.6029                 NaN  0.618763       0.740125E-001            NaN            NaN  0.281147                 NaN  0.423198                 NaN            NaN            NaN
  1399.43        2500.00        98.6182                 NaN  0.616299       0.672559E-001            NaN            NaN  0.279912                 NaN  0.418380                 NaN            NaN            NaN
  1398.20        2500.00        98.6299                 NaN  0.586435E-001  0.616771                 NaN            NaN  0.279916                 NaN  0.414733                 NaN            NaN            NaN
  1396.97        2500.00        98.6450                 NaN  0.616735       0.488520E-001            NaN            NaN  0.279354                 NaN  0.410071                 NaN            NaN            NaN
  1395.75        2500.00        98.6588                 NaN  0.614240       0.433024E-001            NaN            NaN  0.278111                 NaN  0.405583                 NaN            NaN            NaN
  1394.52        2500.00        98.6658                 NaN  0.605767       0.436682E-001            NaN            NaN  0.279762                 NaN  0.404960                 NaN            NaN            NaN
  1393.29        2500.00        98.6921                 NaN  0.226118E-001  0.616025                 NaN            NaN  0.275330                 NaN  0.393963                 NaN            NaN            NaN
  1392.06        2500.00        98.6979                 NaN  0.612422       0.198706E-001            NaN            NaN  0.276472                 NaN  0.393328                 NaN            NaN            NaN
  1390.83        2500.00        98.7081                 NaN  0.612919       0.800576E-002            NaN            NaN  0.279674                 NaN  0.391266                 NaN            NaN            NaN
  1389.60        2500.00        98.7288                 NaN  0.606029       0.114357E-001            NaN            NaN  0.271093                 NaN  0.382604                 NaN            NaN            NaN
  1388.37        2500.00        98.7297                 NaN  0.582531       0.479751E-001            NaN            NaN  0.259207                 NaN  0.380636                 NaN            NaN            NaN
  1387.14        2500.00        98.3496                 NaN  0.795165                 NaN            NaN            NaN  0.357373                 NaN  0.497866                 NaN            NaN            NaN
  1385.91        2500.00        99.1548                 NaN  0.406450       0.721548E-004            NaN            NaN  0.185574                 NaN  0.253061                 NaN            NaN            NaN
  1384.68        2500.00        98.7674                 NaN  0.598778                 NaN            NaN            NaN  0.263946                 NaN  0.369827                 NaN            NaN            NaN
  1383.46        2500.00        98.7756                 NaN  0.111537E-001  0.589227                 NaN            NaN  0.257917                 NaN  0.366152                 NaN            NaN            NaN
  1382.23        2500.00        98.7677                 NaN  0.485376       0.174554                 NaN            NaN  0.210830                 NaN  0.361496                 NaN            NaN            NaN
  1381.00        2500.00        98.7349                 NaN  0.624798                 NaN            NaN            NaN  0.261264                 NaN  0.379046                 NaN            NaN            NaN
  1379.77        2500.00        98.8619                 NaN  0.551231                 NaN            NaN            NaN  0.250071                 NaN  0.336754                 NaN            NaN            NaN
  1378.54        2500.00        98.7930                 NaN  0.225899       0.446292                 NaN            NaN  0.185620                 NaN  0.349151                 NaN            NaN            NaN
  1377.31        2500.00        98.8333                 NaN  0.567958                 NaN            NaN            NaN  0.251617                 NaN  0.347118                 NaN            NaN            NaN
  1376.08        2500.00        98.8412                 NaN  0.563849                 NaN            NaN            NaN  0.250337                 NaN  0.344617                 NaN            NaN            NaN
  1374.85        2500.00        98.8469                 NaN  0.552252                 NaN            NaN            NaN  0.257113                 NaN  0.343694                 NaN            NaN            NaN
  1373.62        2500.00        98.8649                 NaN  0.551924                 NaN            NaN            NaN  0.246651                 NaN  0.336476                 NaN            NaN            NaN
  1372.39        2500.00        98.8684                 NaN  0.553582                 NaN            NaN            NaN  0.243093                 NaN  0.334916                 NaN            NaN            NaN
  1371.16        2500.00        98.8769                 NaN  0.547135                 NaN            NaN            NaN  0.243452                 NaN  0.332535                 NaN            NaN            NaN
  1369.94        2500.00        98.8879                 NaN  0.543224                 NaN            NaN            NaN  0.240815                 NaN  0.328058                 NaN            NaN            NaN
  1368.71        2500.00        98.8960                 NaN  0.540975                 NaN            NaN            NaN  0.237724                 NaN  0.325317                 NaN            NaN            NaN
  1367.48        2500.00        98.9051                 NaN  0.535803                 NaN            NaN            NaN  0.236823                 NaN  0.322263                 NaN            NaN            NaN
  1366.25        2500.00        98.9136                 NaN  0.533183                 NaN            NaN            NaN  0.233988                 NaN  0.319195                 NaN            NaN            NaN
  1365.02        2500.00        98.9202                 NaN  0.532456                 NaN            NaN            NaN  0.230811                 NaN  0.316533                 NaN            NaN            NaN
  1363.79        2500.00        98.9264                 NaN  0.536962                 NaN            NaN            NaN  0.223288                 NaN  0.313383                 NaN            NaN            NaN
  1362.56        2500.00        98.9398                 NaN  0.526301                 NaN            NaN            NaN  0.224321                 NaN  0.309623                 NaN            NaN            NaN
  1361.33        2500.00        98.9463                 NaN  0.522285                 NaN            NaN            NaN  0.224270                 NaN  0.307171                 NaN            NaN            NaN
  1360.10        2500.00        98.9543                 NaN  0.518383                 NaN            NaN            NaN  0.222783                 NaN  0.304582                 NaN            NaN            NaN
  1358.87        2500.00        98.9623                 NaN  0.515096                 NaN            NaN            NaN  0.220767                 NaN  0.301820                 NaN            NaN            NaN
  1357.65        2500.00        98.9703                 NaN  0.511721                 NaN            NaN            NaN  0.218995                 NaN  0.299017                 NaN            NaN            NaN
  1356.42        2500.00        98.9744                 NaN  0.506310                 NaN            NaN            NaN  0.221401                 NaN  0.297895                 NaN            NaN            NaN
  1355.19        2500.00        98.9875                 NaN  0.508938                 NaN            NaN            NaN  0.211388                 NaN  0.292156                 NaN            NaN            NaN
  1353.96        2500.00        98.9915                 NaN  0.506071                 NaN            NaN            NaN  0.211386                 NaN  0.290997                 NaN            NaN            NaN
  1352.73        2500.00        98.9986                 NaN  0.505570                 NaN            NaN            NaN  0.207548                 NaN  0.288237                 NaN            NaN            NaN
  1351.50        2500.00        99.0050                 NaN  0.503159                 NaN            NaN            NaN  0.205891                 NaN  0.285909                 NaN            NaN            NaN
  1350.27        2500.00        99.0085                 NaN  0.510271                 NaN            NaN            NaN  0.197730                 NaN  0.283519                 NaN            NaN            NaN
  1349.04        2500.00        99.0205                 NaN  0.500562                 NaN            NaN            NaN  0.199017                 NaN  0.279960                 NaN            NaN            NaN
  1347.81        2500.00        99.0269                 NaN  0.493377                 NaN            NaN            NaN  0.201374                 NaN  0.278346                 NaN            NaN            NaN
  1346.58        2500.00        99.0333                 NaN  0.491786                 NaN            NaN            NaN  0.199047                 NaN  0.275886                 NaN            NaN            NaN
  1345.36        2500.00        99.0388                 NaN  0.493633                 NaN            NaN            NaN  0.194166                 NaN  0.273422                 NaN            NaN            NaN
  1344.13        2500.00        99.0455                 NaN  0.490752                 NaN            NaN            NaN  0.192581                 NaN  0.271143                 NaN            NaN            NaN
  1342.90        2500.00        99.0528                 NaN  0.484978                 NaN            NaN            NaN  0.193254                 NaN  0.268994                 NaN            NaN            NaN
  1341.67        2500.00        99.0578                 NaN  0.488682                 NaN            NaN            NaN  0.187072                 NaN  0.266463                 NaN            NaN            NaN
  1340.44        2500.00        99.0623                 NaN  0.490605                 NaN            NaN            NaN  0.182733                 NaN  0.264364                 NaN            NaN            NaN
  1339.21        2500.00        99.0693                 NaN  0.486141                 NaN            NaN            NaN  0.182440                 NaN  0.262102                 NaN            NaN            NaN
  1337.98        2500.00        99.0756                 NaN  0.484492                 NaN            NaN            NaN  0.179849                 NaN  0.260049                 NaN            NaN            NaN
  1336.75        2500.00        99.0764                 NaN  0.477071                 NaN            NaN            NaN  0.183860                 NaN  0.262674                 NaN            NaN            NaN
  1335.52        2500.00        99.0075                 NaN  0.520529                 NaN            NaN            NaN  0.161420                 NaN  0.268279       0.422893E-001            NaN            NaN
  1334.29        2500.00        98.9746                 NaN  0.524958                 NaN            NaN            NaN  0.161886                 NaN  0.277962       0.606209E-001            NaN            NaN
  1333.07        2500.00        98.9841                 NaN  0.520688                 NaN            NaN            NaN  0.160181                 NaN  0.275343       0.596710E-001            NaN            NaN
  1331.84        2500.00        98.9939                 NaN  0.516797                 NaN            NaN            NaN  0.158106                 NaN  0.272493       0.586608E-001            NaN            NaN
  1330.61        2500.00        99.0045                 NaN  0.509353                 NaN            NaN            NaN  0.158726                 NaN  0.269617       0.577943E-001            NaN            NaN
  1329.38        2500.00        99.0145                 NaN  0.503057                 NaN            NaN            NaN  0.158422                 NaN  0.267014       0.570047E-001            NaN            NaN
  1328.15        2500.00        99.0236                 NaN  0.495954                 NaN            NaN            NaN  0.159250                 NaN  0.264919       0.562594E-001            NaN            NaN
  1326.92        2500.00        99.0354                 NaN  0.493644                 NaN            NaN            NaN  0.155092                 NaN  0.260796       0.550289E-001            NaN            NaN
  1325.69        2500.00        99.0428                 NaN  0.491394                 NaN            NaN            NaN  0.152945                 NaN  0.258697       0.541362E-001            NaN            NaN
  1324.46        2500.00        99.0520                 NaN  0.486728                 NaN            NaN            NaN  0.151777                 NaN  0.256217       0.532991E-001            NaN            NaN
  1323.23        2500.00        99.0610                 NaN  0.482698                 NaN            NaN            NaN  0.150232                 NaN  0.253625       0.524355E-001            NaN            NaN
  1322.00        2500.00        99.0696                 NaN  0.478394                 NaN            NaN            NaN  0.149251                 NaN  0.251185       0.515978E-001            NaN            NaN
  1320.77        2500.00        99.0785                 NaN  0.475502                 NaN            NaN            NaN  0.146768                 NaN  0.248574       0.506994E-001            NaN            NaN
  1319.55        2500.00        99.0855                 NaN  0.472415                 NaN            NaN            NaN  0.144952                 NaN  0.247178       0.499217E-001            NaN            NaN
  1318.32        2500.00        99.0964                 NaN  0.470331                 NaN            NaN            NaN  0.141789                 NaN  0.242668       0.487859E-001            NaN            NaN
  1317.09        2500.00        99.1053                 NaN  0.462071                 NaN            NaN            NaN  0.143282                 NaN  0.241068       0.482676E-001            NaN            NaN
  1315.86        2500.00        99.1118                 NaN  0.463844                 NaN            NaN            NaN  0.138235                 NaN  0.238885       0.472607E-001            NaN            NaN
  1314.63        2500.00        99.1203                 NaN  0.459213                 NaN            NaN            NaN  0.137603                 NaN  0.236374       0.465028E-001            NaN            NaN
  1313.40        2500.00        99.1293                 NaN  0.455428                 NaN            NaN            NaN  0.135588                 NaN  0.233982       0.457064E-001            NaN            NaN
  1312.17        2500.00        99.1369                 NaN  0.452654                 NaN            NaN            NaN  0.133898                 NaN  0.231716       0.448811E-001            NaN            NaN
  1310.94        2500.00        99.1452                 NaN  0.448584                 NaN            NaN            NaN  0.132634                 NaN  0.229412       0.441670E-001            NaN            NaN
  1309.71        2500.00        99.1549                 NaN  0.441673                 NaN            NaN            NaN  0.131907                 NaN  0.228024       0.435255E-001            NaN            NaN
  1308.48        2500.00        97.9265                 NaN   1.10302                 NaN            NaN            NaN  0.310665                 NaN  0.550749       0.109051                 NaN            NaN
  1307.26        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1306.03        2500.00        99.5512                 NaN  0.205091                 NaN            NaN            NaN  0.104680                 NaN  0.121287       0.177825E-001            NaN            NaN
  1304.80        2500.00        99.1828                 NaN  0.439173                 NaN            NaN            NaN  0.119495                 NaN  0.218435       0.401464E-001            NaN            NaN
  1303.57        2500.00        99.1908                 NaN  0.434596                 NaN            NaN            NaN  0.118853                 NaN  0.216263       0.395354E-001            NaN            NaN
  1302.34        2500.00        90.9176                 NaN   2.22888                 NaN            NaN            NaN  0.651307                 NaN   1.27519       0.321201        4.60587                 NaN
  1301.11        2500.00        74.3481                 NaN   5.79987                 NaN            NaN            NaN   1.82539                 NaN   3.39283       0.871309        13.7625                 NaN
  1299.88        2500.00        76.2096                 NaN   5.41491                 NaN            NaN            NaN   1.75947                 NaN   3.14966       0.791728        12.6746                 NaN
  1298.65        2500.00        77.9404                 NaN   5.07591                 NaN            NaN            NaN   1.67178                 NaN   2.92392       0.718605        11.6694                 NaN
  1297.42        2500.00        79.5685                 NaN   4.76625                 NaN            NaN            NaN   1.56923                 NaN   2.71139       0.651454        10.7332                 NaN
  1296.19        2500.00        81.0514                 NaN   4.48581                 NaN            NaN            NaN   1.46570                 NaN   2.51743       0.591840        9.88785                 NaN
  1294.97        2500.00        83.1823                 NaN   3.95550                 NaN            NaN            NaN   1.31126                 NaN   2.23729       0.525033        8.78866                 NaN
  1293.74        2500.00        83.3097                 NaN   4.09431                 NaN            NaN            NaN   1.30674                 NaN   2.21837       0.498168        8.57268                 NaN
  1292.51        2500.00        84.9033                 NaN   3.74491                 NaN            NaN            NaN   1.15515                 NaN   2.01112       0.446117        7.73940                 NaN
  1291.28        2500.00        86.1865                 NaN   3.48304                 NaN            NaN            NaN   1.03139                 NaN   1.84115       0.402887        7.05503                 NaN
  1290.05        2500.00        84.7548                 NaN   4.06210                 NaN            NaN            NaN  0.951866                 NaN   2.01588       0.445942        7.76944                 NaN
  1288.82        2500.00        89.8890                 NaN   2.47499                 NaN            NaN            NaN  0.967052                 NaN   1.37144       0.268765        5.02881                 NaN
  1287.59        2500.00        79.1310                 NaN   5.47011                 NaN            NaN            NaN   1.38481                 NaN   2.81570       0.631585        10.5668                 NaN
  1286.36        2500.00        96.6533                 NaN  0.860493E-001            NaN            NaN            NaN  0.478660                 NaN  0.500315       0.104237        2.17748                 NaN
  1285.13        2500.00        96.1912                 NaN  0.823986                 NaN            NaN            NaN  0.391998                 NaN  0.504853       0.112829        1.97516                 NaN
  1283.90        2500.00        88.1244                 NaN   4.26770                 NaN            NaN            NaN  0.644287                 NaN   1.49917       0.239747        5.22474                 NaN
  1282.68        2500.00        91.4657                 NaN   2.35017                 NaN            NaN            NaN  0.568307                 NaN   1.14155       0.229255        4.24503                 NaN
  1281.45        2500.00        91.9320                 NaN   2.23519                 NaN            NaN            NaN  0.522070                 NaN   1.08096       0.215660        4.01415                 NaN
  1280.22        2500.00        92.1886                 NaN   2.22857                 NaN            NaN            NaN  0.444293                 NaN   1.04313       0.208982        3.88647                 NaN
  1278.99        2500.00        92.6655                 NaN   2.06836                 NaN            NaN            NaN  0.447079                 NaN  0.986719       0.192202        3.64009                 NaN
  1277.76        2500.00        93.2072                 NaN   2.01121                 NaN            NaN            NaN  0.340472                 NaN  0.901968       0.178149        3.36105                 NaN
  1276.53        2500.00        93.1722                 NaN   1.57740                 NaN            NaN            NaN  0.474013                 NaN  0.977515       0.215793        3.58305                 NaN
  1275.30        2500.00        93.6831                 NaN   2.28263                 NaN            NaN            NaN  0.244407                 NaN  0.781883       0.116262        2.89175                 NaN
  1274.07        2500.00        93.2865                 NaN   1.94058                 NaN            NaN            NaN  0.379425                 NaN  0.910882       0.178532        3.30412                 NaN
  1272.84        2500.00        94.9708                 NaN   1.63205                 NaN            NaN            NaN  0.167497                 NaN  0.656396       0.114504        2.45878                 NaN
  1271.61        2500.00        94.3691                 NaN   1.79226                 NaN            NaN            NaN  0.186231                 NaN  0.752638       0.137572        2.76220                 NaN
  1270.38        2500.00        94.6042                 NaN   1.75839                 NaN            NaN            NaN  0.152245                 NaN  0.722197       0.128166        2.63481                 NaN
  1269.16        2500.00        91.7959                 NaN  0.635704                 NaN            NaN            NaN   1.34565                 NaN   1.14474       0.268393        4.80959                 NaN
  1267.93        2500.00        96.5375                 NaN   1.80908                 NaN            NaN            NaN            NaN            NaN  0.502085       0.162133E-001   1.13515                 NaN
  1266.70        2500.00        94.6178                 NaN  0.318177                 NaN            NaN            NaN  0.524227                 NaN  0.561513       0.257216        3.72104                 NaN
  1265.47        2500.00        94.5676                 NaN  0.838129E-001  0.971397                 NaN            NaN  0.636917                 NaN  0.745377       0.124679        2.87023                 NaN
  1264.24        2500.00        27.4061        62.7111                 NaN            NaN            NaN            NaN   1.30665                 NaN   1.00518       0.431935        7.13900                 NaN
  1263.01        2500.00        44.2041        54.9291       0.554085                 NaN            NaN            NaN            NaN            NaN  0.312676                 NaN            NaN            NaN
  1261.78        2500.00        94.2934                 NaN   4.34087                 NaN            NaN            NaN            NaN            NaN   1.05736                 NaN  0.308366                 NaN
  1260.55        2500.00        98.9055                 NaN  0.604512                 NaN            NaN            NaN            NaN            NaN  0.304293E-001            NaN  0.459555                 NaN
  1259.32        2500.00        98.0007                 NaN  0.713360                 NaN            NaN            NaN            NaN            NaN  0.230402       0.372924E-001   1.01821                 NaN
  1258.09        2500.00        96.1190                 NaN   1.29034                 NaN            NaN            NaN            NaN            NaN  0.494607       0.100093        1.99592                 NaN
  1256.87        2500.00        94.7602                 NaN  0.713428       0.564979                 NaN            NaN            NaN            NaN  0.731994       0.189389        3.04000                 NaN
  1255.64        2500.00        97.3781                 NaN   1.53733                 NaN            NaN            NaN            NaN            NaN  0.314903       0.108553E-001  0.758839                 NaN
  1254.41        2500.00        98.9452                 NaN  0.429625                 NaN            NaN            NaN            NaN            NaN  0.136664       0.224181E-001  0.466051                 NaN
  1253.18        2500.00        97.4920                 NaN  0.864498                 NaN            NaN            NaN            NaN            NaN  0.303718       0.515343E-001   1.28824                 NaN
  1251.95        2500.00        96.2512                 NaN  0.876462                 NaN            NaN            NaN            NaN            NaN  0.379040       0.158489        2.33482                 NaN
  1250.72        2500.00        97.5994                 NaN  0.854514                 NaN            NaN            NaN            NaN            NaN  0.613042       0.125313E-001  0.920538                 NaN
  1249.49        2500.00        97.5525                 NaN   1.25706                 NaN            NaN            NaN            NaN            NaN  0.170447       0.856433E-002   1.01138                 NaN
  1248.26        2500.00        96.1665                 NaN   1.52382                 NaN            NaN            NaN            NaN            NaN  0.376293       0.814963E-001   1.85186                 NaN
