|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/KHA22/KHA22_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         Sp(TH)         ne             lc             ilm           
  1526.27        2500.00        99.6882       0.340522E-001  0.277736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.80        2500.00        99.2782       0.333611E-001  0.688445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.33        2500.00        99.4872       0.319179E-001  0.480848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.86        2500.00        99.4920       0.315883E-001  0.476405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        2500.00        99.4929       0.297733E-001  0.477311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.92        2500.00        99.0526       0.661739E-001  0.881198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.45        2500.00        99.9491       0.780701E-003  0.500907E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.98        2500.00        99.5056       0.222515E-001  0.472198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        2500.00        99.6046       0.220854E-001  0.373288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.04        2500.00        99.4115       0.271398E-001  0.561322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.57        2500.00        99.5125       0.298542E-001  0.457652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.10        2500.00        99.4131       0.320501E-001  0.554813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        2500.00        99.7818       0.111435E-001  0.207085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.16        2500.00        99.9964       0.355996E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.69        2500.00        98.8870       0.480517E-001   1.06497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.22        2500.00        99.4957       0.244670E-001  0.479785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        2500.00        99.7757       0.101854E-001  0.214065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.28        2500.00        99.3849       0.235125E-001  0.591636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.81        2500.00        99.0026       0.425883E-001  0.954781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.34        2500.00        99.8263       0.964824E-002  0.142617       0.214494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.87        2500.00        99.7053       0.441206E-002  0.290292                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.40        2500.00        99.5412       0.171870E-001  0.441608                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.93        2500.00        98.9859       0.356622E-001  0.978402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.46        2500.00        99.9307       0.616596E-003  0.687319E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.99        2500.00        99.8154       0.480020E-002  0.145685       0.341474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.52        2500.00        99.2972       0.755015E-001            NaN  0.627297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.05        2500.00        99.4151                 NaN            NaN  0.584887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.58        2500.00        99.4178                 NaN  0.156089       0.426123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.11        2500.00        99.4036       0.441816E-005            NaN  0.596418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.64        2500.00        99.4018                 NaN            NaN  0.598174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.17        2500.00        99.3637                 NaN            NaN  0.614887E-001  0.574861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.70        2500.00        99.1032                 NaN            NaN  0.514687       0.382104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.23        2500.00        99.1104                 NaN            NaN  0.379205       0.510445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.76        2500.00        99.1182                 NaN            NaN  0.506142       0.375701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.29        2500.00        99.1259                 NaN            NaN  0.501900       0.372183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.82        2500.00        99.1324                 NaN            NaN  0.497935       0.369641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.35        2500.00        99.1402                 NaN            NaN  0.494371       0.365427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.88        2500.00        99.1460                 NaN            NaN  0.362607       0.491367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.41        2500.00        99.1552                 NaN            NaN  0.358694       0.486121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.94        2500.00        99.1604                 NaN            NaN  0.483376       0.356206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.47        2500.00        99.1681                 NaN            NaN  0.352772       0.479174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.00        2500.00        99.1741                 NaN            NaN  0.350103       0.475768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.53        2500.00        99.1816                 NaN  0.386529E-001  0.304968       0.474781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.06        2500.00        99.1879                 NaN  0.382271E-001  0.302528       0.471323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.59        2500.00        99.2911                 NaN  0.313334E-001  0.266105       0.411438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.12        2500.00        99.1013                 NaN  0.421381E-001  0.522242       0.334357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.65        2500.00        99.2074                 NaN  0.333021E-001  0.298859       0.460413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        2500.00        99.2143                 NaN  0.332836E-001  0.456555       0.295880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.71        2500.00        99.2275       0.521241E-001  0.131319E-001  0.467959       0.239321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.24        2500.00        99.2261                 NaN  0.301538E-001  0.294068       0.449674                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.77        2500.00        99.2297                 NaN  0.281636E-001  0.294293       0.447802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.30        2500.00        99.2354                 NaN  0.290543E-001  0.445094       0.290461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.83        2500.00        99.2406                 NaN  0.281027E-001  0.442413       0.288845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.36        2500.00        99.2460                 NaN  0.276784E-001  0.286838       0.439451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        99.2516                 NaN  0.267923E-001  0.436283       0.285295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.42        2500.00        99.2579                 NaN  0.265221E-001  0.432721       0.282843                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.95        2500.00        99.2622                 NaN  0.261054E-001  0.430575       0.281155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00        99.2672       0.281876E-005  0.247363E-001  0.427719       0.280293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.01        2500.00        99.2747       0.117661E-001  0.205402E-001  0.427967       0.265005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.54        2500.00        99.2781                 NaN  0.248267E-001  0.275066       0.422007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.07        2500.00        99.2821                 NaN  0.249381E-001  0.419938       0.272986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.60        2500.00        99.3024       0.644644E-001  0.437028E-002  0.430164       0.198622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1435.13        2500.00        99.2922                 NaN  0.242989E-001  0.414634       0.268916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00        99.2971                 NaN  0.255386E-001  0.265097       0.412244                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.19        2500.00        99.3209                 NaN  0.281054E-001  0.251969       0.399005                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.72        2500.00        99.2860                 NaN  0.290707E-001  0.419804       0.265099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.25        2500.00        99.3104                 NaN  0.267137E-001  0.257331       0.405556                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.78        2500.00        99.3141                 NaN  0.254561E-001  0.403554       0.256922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1426.31        2500.00        98.8447                 NaN  0.662715E-001  0.401812       0.438077       0.249158                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.84        2500.00        98.3926       0.103711                 NaN  0.583240       0.448799       0.471686                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.37        2500.00        98.4634       0.152892                 NaN  0.437997       0.486663       0.459007                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.90        2500.00        98.4906       0.150705                 NaN  0.429897       0.477834       0.450922                 NaN            NaN            NaN            NaN            NaN            NaN
  1420.43        2500.00        98.5137       0.150318                 NaN  0.467791       0.424088       0.444143                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.96        2500.00        98.5330       0.149811                 NaN  0.419296       0.459238       0.438623                 NaN            NaN            NaN            NaN            NaN            NaN
  1417.49        2500.00        98.5675       0.147039                 NaN  0.408545       0.448945       0.427979                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.02        2500.00        98.5850       0.146936                 NaN  0.403848       0.441179       0.423078                 NaN            NaN            NaN            NaN            NaN            NaN
  1414.55        2500.00        98.6058       0.146269                 NaN  0.432258       0.398934       0.416785                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.08        2500.00        98.6288       0.144803                 NaN  0.424805       0.391611       0.409947                 NaN            NaN            NaN            NaN            NaN            NaN
  1411.61        2500.00        98.6434       0.144867                 NaN  0.387836       0.417889       0.406032                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.14        2500.00        98.6745       0.142336                 NaN  0.378969       0.408097       0.396099                 NaN            NaN            NaN            NaN            NaN            NaN
  1408.67        2500.00        98.7250       0.138180                 NaN  0.363897       0.391310       0.381574                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.20        2500.00        98.6745       0.144719                 NaN  0.378762       0.405652       0.396383                 NaN            NaN            NaN            NaN            NaN            NaN
  1405.73        2500.00        98.7261       0.140550                 NaN  0.364220       0.388112       0.381039                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.26        2500.00        98.7480       0.139181                 NaN  0.380305       0.358070       0.374417                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.79        2500.00        98.7894       0.135756                 NaN  0.346637       0.365995       0.362179                 NaN            NaN            NaN            NaN            NaN            NaN
  1401.32        2500.00        98.7528       0.140547                 NaN  0.378073       0.355418       0.373158                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.85        2500.00        98.8064       0.135848                 NaN  0.342488       0.358724       0.356574                 NaN            NaN            NaN            NaN            NaN            NaN
  1398.38        2500.00        98.8163       0.135771                 NaN  0.355300       0.338675       0.353952                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.91        2500.00        98.8331       0.134997                 NaN  0.348861       0.334130       0.348939                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.44        2500.00        98.8489       0.134281                 NaN  0.329532       0.343138       0.344197                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.97        2500.00        98.8645       0.133338                 NaN  0.337572       0.325177       0.339417                 NaN            NaN            NaN            NaN            NaN            NaN
  1392.50        2500.00        98.8689       0.135040                 NaN  0.331798       0.325541       0.338709                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.03        2500.00        98.9027       0.128850                 NaN  0.313880       0.327470       0.327068                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.56        2500.00        98.9090       0.130897                 NaN  0.312550       0.321642       0.325954                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.09        2500.00        98.9235       0.129901                 NaN  0.316580       0.308456       0.321568                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.62        2500.00        98.9381       0.129330                 NaN  0.311267       0.304057       0.317209                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.15        2500.00        98.9518       0.128030                 NaN  0.306935       0.300377       0.312891                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.68        2500.00        98.9646       0.127747                 NaN  0.296573       0.301873       0.309179                 NaN            NaN            NaN            NaN            NaN            NaN
  1382.21        2500.00        98.9781       0.126361                 NaN  0.292945       0.297622       0.305005                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.74        2500.00        98.9911       0.125750                 NaN  0.289255       0.292971       0.300900                 NaN            NaN            NaN            NaN            NaN            NaN
  1379.27        2500.00        99.0035       0.125249                 NaN  0.288276       0.285675       0.297340                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.80        2500.00        99.0138       0.124579                 NaN  0.282890       0.284701       0.293983                 NaN            NaN            NaN            NaN            NaN            NaN
  1376.33        2500.00        99.0282       0.123112                 NaN  0.278507       0.280591       0.289560                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.86        2500.00        99.0395       0.122588                 NaN  0.276332       0.275491       0.286134                 NaN            NaN            NaN            NaN            NaN            NaN
  1373.39        2500.00        99.0509       0.121891                 NaN  0.272328       0.272205       0.282657                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.92        2500.00        99.0623       0.120875                 NaN  0.268911       0.268803       0.279083                 NaN            NaN            NaN            NaN            NaN            NaN
  1370.45        2500.00        99.0731       0.121156                 NaN  0.263295       0.266359       0.276115                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.98        2500.00        99.0852       0.118593                 NaN  0.262222       0.262110       0.271915                 NaN            NaN            NaN            NaN            NaN            NaN
  1367.51        2500.00        99.0951       0.118811                 NaN  0.259447       0.257462       0.269160                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.04        2500.00        99.1061       0.117494                 NaN  0.256184       0.254744       0.265516                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.57        2500.00        99.1156       0.117142                 NaN  0.251075       0.253361       0.262853                 NaN            NaN            NaN            NaN            NaN            NaN
  1363.10        2500.00        99.1265       0.115752                 NaN  0.250591       0.248112       0.259090                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.63        2500.00        99.1353       0.115225                 NaN  0.247537       0.245281       0.256661                 NaN            NaN            NaN            NaN            NaN            NaN
  1360.16        2500.00        99.1453       0.114540                 NaN  0.241600       0.245081       0.253442                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.69        2500.00        99.1553       0.113253                 NaN  0.242176       0.239058       0.250195                 NaN            NaN            NaN            NaN            NaN            NaN
  1357.22        2500.00        99.1642       0.112812                 NaN  0.239673       0.235787       0.247527                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.75        2500.00        99.1739       0.112060                 NaN  0.236547       0.232980       0.244539                 NaN            NaN            NaN            NaN            NaN            NaN
  1354.28        2500.00        99.1815       0.111494                 NaN  0.230505       0.234363       0.242150                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.81        2500.00        99.1918       0.109546                 NaN  0.231592       0.228341       0.238686                 NaN            NaN            NaN            NaN            NaN            NaN
  1351.34        2500.00        99.1999       0.109394                 NaN  0.229138       0.225250       0.236320                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.87        2500.00        99.2084       0.108171                 NaN  0.223002       0.226879       0.233555                 NaN            NaN            NaN            NaN            NaN            NaN
  1348.40        2500.00        99.2168       0.107810                 NaN  0.224307       0.219739       0.231315                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.93        2500.00        99.2255       0.105528                 NaN  0.219458       0.221493       0.228012                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.46        2500.00        99.2291       0.109278                 NaN  0.221723       0.211989       0.227899                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.99        2500.00        99.2431       0.102502                 NaN  0.214714       0.217324       0.222321                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.52        2500.00        99.2508       0.102352                 NaN  0.213634       0.213373       0.219880                 NaN            NaN            NaN            NaN            NaN            NaN
  1341.05        2500.00        99.2564       0.102559                 NaN  0.212331       0.210308       0.218422                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.58        2500.00        99.2643       0.101939                 NaN  0.210220       0.207560       0.216026                 NaN            NaN            NaN            NaN            NaN            NaN
  1338.11        2500.00        99.2712       0.100639                 NaN  0.206651       0.207861       0.213695                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.64        2500.00        99.2784       0.100026                 NaN  0.204195       0.205947       0.211471                 NaN            NaN            NaN            NaN            NaN            NaN
  1335.17        2500.00        99.2859       0.986439E-001            NaN  0.203009       0.203457       0.208999                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.70        2500.00        99.2930       0.977549E-001            NaN  0.201238       0.201198       0.206794                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.23        2500.00        99.2996       0.984302E-001            NaN  0.199748       0.197197       0.205022                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.76        2500.00        99.3071       0.944630E-001            NaN  0.196345       0.200052       0.202037                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.29        2500.00        99.2974       0.104443                 NaN  0.201053       0.189727       0.207411                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.82        2500.00        99.3329       0.838192E-001            NaN  0.187444       0.203916       0.191903                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.35        2500.00        99.3259       0.930205E-001            NaN  0.191018       0.193707       0.196328                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.88        2500.00        99.3327       0.910959E-001            NaN  0.192951       0.189385       0.193859                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.41        2500.00        99.3384       0.912184E-001            NaN  0.187799       0.190331       0.192286                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.94        2500.00        99.3449       0.884878E-001            NaN  0.184989       0.191787       0.189876                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.47        2500.00        99.3507       0.885668E-001            NaN  0.183442       0.189048       0.188228                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.00        2500.00        99.3570       0.867408E-001            NaN  0.188741       0.181465       0.186048                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.53        2500.00        99.3629       0.860534E-001            NaN  0.187227       0.179518       0.184259                 NaN            NaN            NaN            NaN            NaN            NaN
  1316.06        2500.00        99.3664       0.877161E-001            NaN  0.183233       0.179044       0.183653                 NaN            NaN            NaN            NaN            NaN            NaN
  1314.59        2500.00        99.3758       0.819772E-001            NaN  0.174631       0.187921       0.179647                 NaN            NaN            NaN            NaN            NaN            NaN
  1313.12        2500.00        99.3792       0.816878E-001            NaN  0.174357       0.186147       0.178592                 NaN            NaN            NaN            NaN            NaN            NaN
  1311.65        2500.00        81.5896        2.32548                 NaN  0.304345        2.33527        2.30553        11.1397                 NaN            NaN            NaN            NaN            NaN
  1310.18        2500.00        83.7909        2.11578                 NaN   2.13006       0.129937        2.04092        9.79238                 NaN            NaN            NaN            NaN            NaN
  1308.71        2500.00        85.5341        1.94834                 NaN   1.95988       0.126304E-002   1.83286        8.72360                 NaN            NaN            NaN            NaN            NaN
  1307.24        2500.00        87.2809        1.71154                 NaN   1.75375                 NaN   1.61625        7.63760                 NaN            NaN            NaN            NaN            NaN
  1305.77        2500.00        88.4565        1.55848                 NaN   1.60222                 NaN   1.47442        6.90836                 NaN            NaN            NaN            NaN            NaN
  1304.30        2500.00        89.5370        1.41816                 NaN   1.46479                 NaN   1.34192        6.23811                 NaN            NaN            NaN            NaN            NaN
  1302.83        2500.00        90.4540        1.29850                 NaN   1.34904                 NaN   1.22958        5.66883                 NaN            NaN            NaN            NaN            NaN
  1301.36        2500.00        91.2554        1.19330                 NaN   1.24490                 NaN   1.13079        5.17558                 NaN            NaN            NaN            NaN            NaN
  1299.89        2500.00        91.9511        1.10365                 NaN   1.15883                 NaN   1.04520        4.74119                 NaN            NaN            NaN            NaN            NaN
  1298.42        2500.00        92.5494        1.02505                 NaN   1.08230                 NaN  0.971238        4.37203                 NaN            NaN            NaN            NaN            NaN
  1296.95        2500.00        93.1007       0.952965                 NaN   1.01159                 NaN  0.902686        4.03204                 NaN            NaN            NaN            NaN            NaN
  1295.48        2500.00        93.5672       0.891814                 NaN  0.953240                 NaN  0.845015        3.74275                 NaN            NaN            NaN            NaN            NaN
  1294.01        2500.00        93.9941       0.834673                 NaN  0.899961                 NaN  0.791647        3.47966                 NaN            NaN            NaN            NaN            NaN
  1292.53        2500.00        94.3722       0.785412                 NaN  0.852591                 NaN  0.744615        3.24518                 NaN            NaN            NaN            NaN            NaN
  1291.06        2500.00        94.7075       0.740293                 NaN  0.812591                 NaN  0.702685        3.03693                 NaN            NaN            NaN            NaN            NaN
  1289.59        2500.00        93.8442       0.701636                 NaN  0.993311                 NaN  0.791905        3.50583       0.163102                 NaN            NaN            NaN            NaN
  1288.12        2500.00        86.9817       0.626502                 NaN   2.30251                 NaN   1.52093        7.35201        1.21638                 NaN            NaN            NaN            NaN
  1286.65        2500.00        88.5848       0.547300                 NaN   2.01765                 NaN   1.32664        6.44619        1.07738                 NaN            NaN            NaN            NaN
