|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           iron           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1919.80        500.000        98.1911       0.734369        1.07455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        98.1807       0.734489        1.08476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        98.1705       0.734610        1.09493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.1602       0.734730        1.10507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        98.1500       0.734850        1.11520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        98.0930       0.735292        1.17167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        98.1297       0.735088        1.13525                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        98.1196       0.735207        1.14523                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        98.1095       0.735325        1.15519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        98.0995       0.735443        1.16509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        98.0895       0.735561        1.17496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        98.0769       0.735697        1.18740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        98.0696       0.735797        1.19463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        98.0597       0.735913        1.20436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        98.0499       0.736030        1.21408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        98.0401       0.736147        1.22378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        98.0303       0.736263        1.23342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        98.0206       0.736379        1.24303                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        98.0109       0.736494        1.25259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        98.0012       0.736610        1.26215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        97.9917       0.736724        1.27162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        97.9821       0.736839        1.28110                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        97.9725       0.736954        1.29052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        97.9630       0.737068        1.29990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        97.9536       0.737182        1.30926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        97.9441       0.737295        1.31857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        97.9348       0.737408        1.32784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        97.9254       0.737521        1.33709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        97.9161       0.737634        1.34628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        97.9068       0.737746        1.35543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        97.9175       0.737721        1.34475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        97.8884       0.737970        1.37368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        97.8792       0.738082        1.38271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        97.8701       0.738193        1.39173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        97.8610       0.738304        1.40070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        97.8519       0.738415        1.40965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        97.8429       0.738525        1.41855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        97.8339       0.738635        1.42742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        97.8250       0.738745        1.43624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        97.8099       0.738897        1.45118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        97.8072       0.738964        1.45380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        97.7984       0.739073        1.46252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        97.7896       0.739182        1.47123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        97.7809       0.739290        1.47985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        97.7721       0.739399        1.48847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        97.7635       0.739506        1.49704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        97.7548       0.739614        1.50559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        97.7461       0.739722        1.51414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        97.7376       0.739829        1.52255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        97.7291       0.739936        1.53100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        97.7206       0.740042        1.53937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        97.7121       0.740148        1.54773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        97.7037       0.740254        1.55605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        97.6953       0.740360        1.56434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        97.6644       0.740619        1.59494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        97.6786       0.740571        1.58079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        97.6704       0.740676        1.58897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        97.6617       0.740783        1.59750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        97.6539       0.740885        1.60520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        97.6457       0.740989        1.61327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        97.6370       0.741097        1.62193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        97.6308       0.741187        1.62799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        97.6215       0.741300        1.63725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        97.6134       0.741403        1.64517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        97.6200       0.741406        1.63863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        97.6056       0.741553        1.65284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        97.5896       0.741710        1.66871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        97.6042       0.741659        1.65416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        97.5739       0.741914        1.68423                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        97.5661       0.742015        1.69193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        97.5872       0.741920        1.67090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        97.5667       0.742108        1.69124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        97.5429       0.742318        1.71482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        97.5352       0.742419        1.72238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        97.5276       0.742519        1.72990                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        97.5200       0.742619        1.73739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        97.5124       0.742719        1.74486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        97.5049       0.742818        1.75226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        97.4974       0.742917        1.75964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        97.4900       0.743016        1.76698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        97.4826       0.743115        1.77428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        97.4752       0.743213        1.78155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        97.4679       0.743311        1.78879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        97.4606       0.743409        1.79598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        97.4533       0.743507        1.80316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        97.4461       0.743604        1.81028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        97.4267       0.743784        1.82951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        97.4318       0.743798        1.82442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        97.4247       0.743894        1.83145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        97.4176       0.743991        1.83842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        97.4105       0.744087        1.84537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        97.4035       0.744183        1.85228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        97.3966       0.744278        1.85916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        97.3896       0.744374        1.86600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        97.3827       0.744469        1.87282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        97.3758       0.744564        1.87959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        97.3548       0.744755        1.90043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        97.3622       0.744752        1.89301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        97.3509       0.744878        1.90425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        97.3482       0.744944        1.90689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        97.3421       0.745034        1.91288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        97.3155       0.745264        1.93928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        97.3288       0.745220        1.92595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        97.3228       0.745309        1.93187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        97.3097       0.745447        1.94483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        97.3041       0.745531        1.95040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        97.3028       0.745590        1.95166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        97.2960       0.745684        1.95831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.2880       0.745787        1.96624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        97.2836       0.745865        1.97056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.2805       0.745934        1.97358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.2715       0.746043        1.98243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        97.2707       0.746093        1.98240       0.812146E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.2542       0.746239        1.99470       0.484169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.2456       0.746372        2.00009       0.793022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.2401       0.746528        2.00550       0.786067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        97.2346       0.746684        2.01091       0.781987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        97.2292       0.746838        2.01626       0.774362E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        97.2237       0.746992        2.02159       0.768271E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.2105       0.747174        2.03004       0.123274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.2133       0.747348        2.03396       0.542812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.2087       0.747473        2.03803       0.580420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        97.2033       0.747606        2.04258       0.655445E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        97.2112       0.747691        2.04099       0.101125E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        97.1848       0.747844        2.05272       0.146285E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        97.1867       0.748047        2.05797       0.725788E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        96.8501       0.748191        2.04621       0.816192E-002  0.347313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4952                 NaN  0.227262E-002  0.838835E-002  0.494157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.4972                 NaN            NaN  0.748926E-002  0.495311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4976                 NaN            NaN  0.793064E-002  0.494430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4999                 NaN            NaN  0.792748E-002  0.492173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.5025                 NaN            NaN  0.785364E-002  0.489600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.1428                 NaN            NaN  0.142624E-001  0.842951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.8747                 NaN            NaN  0.129765E-002  0.124004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.5111                 NaN            NaN  0.773428E-002  0.481161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.5144                 NaN            NaN  0.768920E-002  0.477946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.9797                 NaN            NaN  0.163515E-001   1.00395                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.9966                 NaN            NaN            NaN  0.344655E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.5918                 NaN            NaN  0.660057E-002  0.401562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.5268                 NaN            NaN  0.752288E-002  0.465644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.5291                 NaN            NaN  0.753134E-002  0.463362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.5321                 NaN            NaN  0.749215E-002  0.460383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.5381                 NaN            NaN  0.737646E-002  0.454553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.5401                 NaN            NaN  0.734998E-002  0.452592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.5431                 NaN            NaN  0.730793E-002  0.449605                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        99.5465                 NaN            NaN  0.726657E-002  0.446209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.2727                 NaN            NaN  0.132951E-001  0.713992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.8332                 NaN            NaN  0.111112E-002  0.165684                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.5571                 NaN            NaN  0.712763E-002  0.435782                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.5603                 NaN            NaN  0.708234E-002  0.432620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5647                 NaN            NaN  0.703058E-002  0.428246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.5678                 NaN            NaN  0.699229E-002  0.425256                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.1833                 NaN            NaN            NaN  0.108524       0.708130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.0607                 NaN            NaN            NaN  0.504443E-002  0.934278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.0803                 NaN            NaN            NaN  0.361946E-001  0.883481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0882                 NaN            NaN            NaN            NaN  0.911836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.1031                 NaN            NaN            NaN  0.245334E-001  0.872379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.1123                 NaN            NaN            NaN  0.106790E-002  0.886632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.1234                 NaN            NaN            NaN  0.892370E-003  0.875660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.1345                 NaN            NaN            NaN            NaN  0.865457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.1457                 NaN            NaN            NaN            NaN  0.854339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.1587                 NaN            NaN            NaN  0.136335E-002  0.839906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.1661                 NaN            NaN            NaN            NaN  0.833905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.1793                 NaN            NaN            NaN  0.144634E-002  0.819290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.1876                 NaN            NaN            NaN            NaN  0.812411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.1988                 NaN            NaN            NaN            NaN  0.801203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.2038                 NaN            NaN            NaN            NaN  0.770679       0.255069E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0410                 NaN            NaN            NaN            NaN  0.809079E-001  0.878076                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0492                 NaN            NaN            NaN            NaN  0.725041E-001  0.878246                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0525                 NaN            NaN            NaN            NaN  0.653422E-001  0.882129                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0560                 NaN            NaN            NaN            NaN  0.564411E-001  0.887582                 NaN            NaN            NaN            NaN            NaN            NaN
