|6.6.6
Archiving\03_Data\eqLP/QFM_m4.5/LAR/LAR_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         iron           O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1923.08        500.000        99.2729       0.727077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.2728       0.727150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.2728       0.727223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.2727       0.727297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.2726       0.727370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.2726       0.727443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.2725       0.727517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.2724       0.727590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.2723       0.727664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.2723       0.727737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.2722       0.727811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.2721       0.727884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.2720       0.727958                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.2720       0.728032                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.2719       0.728106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.2718       0.728180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.2717       0.728254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.2717       0.728328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.2716       0.728402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.2715       0.728476                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.2715       0.728550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.2714       0.728624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.2713       0.728698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.2712       0.728773                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.2712       0.728847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.2711       0.728922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.2710       0.728996                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.2709       0.729071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.2709       0.729145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.2708       0.729220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.2707       0.729295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.2706       0.729370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.2706       0.729444                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.2705       0.729519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.2704       0.729594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.2703       0.729669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.2703       0.729744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.2702       0.729820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.2701       0.729895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.2700       0.729970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2700       0.730045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2699       0.730121                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.2698       0.730196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.2697       0.730271                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.2697       0.730347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.2696       0.730422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.2695       0.730498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.2694       0.730574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.2694       0.730649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.2693       0.730725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.2692       0.730801                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.2691       0.730877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.2690       0.730953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.2690       0.731029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        99.2689       0.731105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        99.2688       0.731181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        99.2687       0.731257                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        99.2687       0.731333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        99.2686       0.731410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        99.2685       0.731486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        99.2684       0.731562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        99.2684       0.731639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        99.2683       0.731715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        99.2682       0.731792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        99.2681       0.731868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        99.2681       0.731945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        99.2680       0.732021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        99.2679       0.732098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        99.2678       0.732175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        99.2677       0.732252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        99.2677       0.732328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        99.2676       0.732405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        99.2675       0.732482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        99.2674       0.732559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        99.2674       0.732636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        99.2673       0.732713                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        99.2672       0.732791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        99.2671       0.732868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        99.2671       0.732945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        99.2670       0.733022                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2669       0.733100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        99.2668       0.733177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        99.2646       0.733258       0.214166E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        99.2544       0.733351       0.122902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        99.2441       0.733443       0.224415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        99.2272       0.733579       0.322416E-001  0.700663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        99.2075       0.733733       0.419006E-001  0.168685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        99.1881       0.733886       0.514224E-001  0.266360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        99.1686       0.734038       0.609484E-001  0.364066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        99.1495       0.734189       0.702725E-001  0.460037E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        99.1305       0.734340       0.796006E-001  0.556038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        98.7817       0.734500       0.899093E-001  0.468152E-001  0.347114                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        97.9940       0.734666       0.101663       0.127729E-001   1.15687                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        97.2519       0.734939       0.112382                 NaN   1.90083                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        96.5379       0.735274       0.122600                 NaN   2.60424                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        95.8363       0.735605       0.132672                 NaN   3.29545                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        95.1341       0.735932       0.142753                 NaN   3.98724                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        94.4753       0.736247       0.152309                 NaN   4.63610                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        93.8161       0.736560       0.161873                 NaN   5.28549                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        93.1563       0.736870       0.171445                 NaN   5.93540                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        92.4960       0.737178       0.181024                 NaN   6.58581                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        91.8352       0.737484       0.190612                 NaN   7.23672                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        91.1739       0.737787       0.200206                 NaN   7.88813                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        90.5121       0.738088       0.209808                 NaN   8.54002                 NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        89.8498       0.738386       0.219417                 NaN   9.19240                 NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        89.2623       0.738664       0.228167                 NaN   9.77088                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        88.6744       0.738939       0.236924                 NaN   10.3497                 NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        88.0861       0.739213       0.245686                 NaN   10.9290                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        87.4974       0.739484       0.254454                 NaN   11.5086                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        86.9084       0.739753       0.263228                 NaN   12.0886                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        86.3190       0.740020       0.272007                 NaN   12.6690                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        85.7292       0.740284       0.280793                 NaN   13.2497                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        85.1390       0.740547       0.289584                 NaN   13.8308                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        84.6226       0.740789       0.297568                 NaN   14.3390                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        84.1059       0.741029       0.305556                 NaN   14.8476                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        83.5889       0.741267       0.313550                 NaN   15.3563                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        83.0716       0.741504       0.321548                 NaN   15.8654                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        82.5540       0.741738       0.329550                 NaN   16.3747                 NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        82.0362       0.741971       0.337557                 NaN   16.8843                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        81.5181       0.742201       0.345568                 NaN   17.3941                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        80.9998       0.742430       0.353583                 NaN   17.9042                 NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        80.5502       0.742638       0.360893                 NaN   18.3463                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        80.1004       0.742845       0.368207                 NaN   18.7885                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        79.6505       0.743051       0.375524                 NaN   19.2309                 NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        79.2004       0.743254       0.382844                 NaN   19.6735                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        78.7500       0.743456       0.390168                 NaN   20.1163                 NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        78.2995       0.743657       0.397495                 NaN   20.5593                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        77.8488       0.743855       0.404825                 NaN   21.0025                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        77.3980       0.744052       0.412159                 NaN   21.4458                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        76.9932       0.744236       0.419029                 NaN   21.8435                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        76.5884       0.744419       0.425901                 NaN   22.2413                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        76.1834       0.744600       0.432776                 NaN   22.6392                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        75.7783       0.744779       0.439654                 NaN   23.0373                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        75.3949       0.744951       0.446240                 NaN   23.4139                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        75.0114       0.745121       0.452828                 NaN   23.7907                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        74.2296       0.745886       0.446344                 NaN   23.8102       0.768028                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        73.3316       0.746828       0.435613                 NaN   23.7191        1.76683                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        72.4476       0.747756       0.424332                 NaN   23.6293        2.75105                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        71.4537       0.748789       0.428592                 NaN   23.4990        2.98219       0.887751                 NaN            NaN            NaN            NaN
  1477.56        500.000        70.1416       0.750120       0.477436                 NaN   23.2658        1.13257        4.23247                 NaN            NaN            NaN            NaN
  1474.36        500.000        68.8751       0.751436       0.512080                 NaN   23.0410                 NaN   6.82035                 NaN            NaN            NaN            NaN
  1471.15        500.000        67.6683       0.752744       0.522689                 NaN   22.8341                 NaN   8.22207                 NaN            NaN            NaN            NaN
  1467.95        500.000        66.4575       0.754055       0.533335                 NaN   22.6265                 NaN   9.62865                 NaN            NaN            NaN            NaN
  1464.74        500.000        65.2424       0.755370       0.544018                 NaN   22.4181                 NaN   11.0401                 NaN            NaN            NaN            NaN
  1461.54        500.000        64.0233       0.756688       0.554738                 NaN   22.2089                 NaN   12.4564                 NaN            NaN            NaN            NaN
  1458.33        500.000        62.7491       0.758075       0.565710                 NaN   22.0289                 NaN   13.8983                 NaN            NaN            NaN            NaN
  1455.13        500.000        61.4703       0.759466       0.576722                 NaN   21.8482                 NaN   15.3454                 NaN            NaN            NaN            NaN
  1451.92        500.000        60.1560       0.760897       0.587882                 NaN   21.6909                 NaN   16.8044                 NaN            NaN            NaN            NaN
  1448.72        500.000        58.7468       0.762415       0.598471                 NaN   21.5927                 NaN   17.8913       0.408333                 NaN            NaN            NaN
  1445.51        500.000        58.7454       0.762450       0.598507                 NaN   21.5934                 NaN   17.8919       0.408346                 NaN            NaN            NaN
  1442.31        500.000        58.7440       0.762485       0.598544                 NaN   21.5942                 NaN   17.8925       0.408358                 NaN            NaN            NaN
  1439.10        500.000        58.7426       0.762520       0.598580                 NaN   21.5949                 NaN   17.8931       0.408371                 NaN            NaN            NaN
  1435.90        500.000        53.0762       0.768480       0.640983                 NaN   21.4341                 NaN   19.8855        4.19473                 NaN            NaN            NaN
  1432.69        500.000        53.0748       0.768512       0.641019                 NaN   21.4347                 NaN   19.8861        4.19484                 NaN            NaN            NaN
  1429.49        500.000        53.0734       0.768543       0.641056                 NaN   21.4354                 NaN   19.8867        4.19496                 NaN            NaN            NaN
  1426.28        500.000        53.0720       0.768575       0.641093                 NaN   21.4360                 NaN   19.8873        4.19507                 NaN            NaN            NaN
  1423.08        500.000        53.0706       0.768607       0.641130                 NaN   21.4367                 NaN   19.8879        4.19518                 NaN            NaN            NaN
  1419.87        500.000        53.0692       0.768639       0.641166                 NaN   21.4373                 NaN   19.8884        4.19529                 NaN            NaN            NaN
  1416.67        500.000        53.0677       0.768670       0.641203                 NaN   21.4379                 NaN   19.8890        4.19541                 NaN            NaN            NaN
  1413.46        500.000        53.0663       0.768702       0.641240                 NaN   21.4386                 NaN   19.8896        4.19552                 NaN            NaN            NaN
  1410.26        500.000        43.5487       0.778869       0.739616                 NaN   21.0559                 NaN   23.4807        10.3963                 NaN            NaN            NaN
  1407.05        500.000        42.5128       0.780014       0.754479                 NaN   21.0071                 NaN   23.8844        11.0613                 NaN            NaN            NaN
  1403.85        500.000        41.4798       0.781150       0.769094                 NaN   20.9582                 NaN   24.2888        11.7099       0.131077E-001            NaN            NaN
  1400.64        500.000        41.4786       0.781174       0.769132                 NaN   20.9587                 NaN   24.2893        11.7101       0.131088E-001            NaN            NaN
  1397.44        500.000        37.0424       0.784414       0.770276                 NaN   21.2016                 NaN   12.9533        25.7827        1.46537                 NaN            NaN
  1394.23        500.000        37.0413       0.784435       0.770311                 NaN   21.2019                 NaN   12.9534        25.7831        1.46548                 NaN            NaN
  1391.03        500.000        37.0401       0.784456       0.770345                 NaN   21.2023                 NaN   12.9536        25.7836        1.46560                 NaN            NaN
  1387.82        500.000        37.0390       0.784477       0.770380                 NaN   21.2026                 NaN   12.9538        25.7840        1.46571                 NaN            NaN
  1384.62        500.000        30.1933       0.789478       0.773123                 NaN   21.5486                 NaN   28.1869        14.7218        3.78689                 NaN            NaN
  1381.41        500.000        30.1923       0.789494       0.773152                 NaN   21.5488                 NaN   28.1871        14.7219        3.78716                 NaN            NaN
  1378.21        500.000        30.1914       0.789510       0.773182                 NaN   21.5491                 NaN   28.1874        14.7220        3.78742                 NaN            NaN
  1375.00        500.000        30.1905       0.789527       0.773212                 NaN   21.5493                 NaN   28.1877        14.7221        3.78768                 NaN            NaN
  1371.79        500.000        30.1895       0.789543       0.773242                 NaN   21.5495                 NaN   28.1880        14.7222        3.78795                 NaN            NaN
  1368.59        500.000        30.1886       0.789559       0.773272                 NaN   21.5497                 NaN   28.1883        14.7223        3.78821                 NaN            NaN
  1365.38        500.000        30.1877       0.789576       0.773302                 NaN   21.5500                 NaN   28.1886        14.7224        3.78847                 NaN            NaN
  1362.18        500.000        30.1867       0.789592       0.773332                 NaN   21.5502                 NaN   28.1889        14.7225        3.78874                 NaN            NaN
  1358.97        500.000        21.2794       0.796144       0.778684                 NaN   21.9191                 NaN   31.5961        16.5602        7.07039                 NaN            NaN
  1355.77        500.000        21.2788       0.796154       0.778708                 NaN   21.9191                 NaN   31.5962        16.5602        7.07083                 NaN            NaN
  1352.56        500.000        21.2782       0.796164       0.778732                 NaN   21.9192                 NaN   31.5963        16.5602        7.07126                 NaN            NaN
  1349.36        500.000        21.2776       0.796174       0.778756                 NaN   21.9192                 NaN   31.5964        16.5602        7.07170                 NaN            NaN
  1346.15        500.000        21.2770       0.796184       0.778779                 NaN   21.9193                 NaN   31.5964        16.5602        7.07213                 NaN            NaN
  1342.95        500.000        21.2764       0.796194       0.778803                 NaN   21.9194                 NaN   31.5965        16.5602        7.07257                 NaN            NaN
  1339.74        500.000        21.2758       0.796204       0.778827                 NaN   21.9194                 NaN   31.5966        16.5602        7.07301                 NaN            NaN
  1336.54        500.000        21.2752       0.796214       0.778851                 NaN   21.9195                 NaN   31.5967        16.5602        7.07344                 NaN            NaN
  1333.33        500.000        15.6771       0.800430       0.782377                 NaN   22.0579                 NaN   17.2049        34.0617        9.41552                 NaN            NaN
  1330.13        500.000        15.6767       0.800436       0.782397                 NaN   22.0579                 NaN   17.2048        34.0616        9.41606                 NaN            NaN
  1326.92        500.000        15.6764       0.800442       0.782417                 NaN   22.0579                 NaN   17.2048        34.0616        9.41659                 NaN            NaN
  1323.72        500.000        15.6760       0.800449       0.782437                 NaN   22.0578                 NaN   17.2047        34.0615        9.41713                 NaN            NaN
  1320.51        500.000        15.6756       0.800455       0.782457                 NaN   22.0578                 NaN   17.2046        34.0615        9.41766                 NaN            NaN
  1317.31        500.000        15.6752       0.800461       0.782477                 NaN   22.0577                 NaN   17.2045        34.0614        9.41820                 NaN            NaN
  1314.10        500.000        15.6749       0.800467       0.782497                 NaN   22.0577                 NaN   17.2044        34.0613        9.41873                 NaN            NaN
  1310.90        500.000        15.6745       0.800473       0.782517                 NaN   22.0576                 NaN   17.2044        34.0613        9.41927                 NaN            NaN
  1307.69        500.000        11.7350       0.803570       0.781989                 NaN   22.0715                 NaN   36.0608        17.2935        11.2536                 NaN            NaN
  1304.49        500.000        11.7348       0.803573       0.782007                 NaN   22.0714                 NaN   36.0607        17.2933        11.2542                 NaN            NaN
  1301.28        500.000        10.9143       0.804251       0.781130                 NaN   22.0606                 NaN   17.2761        36.5084        11.6553                 NaN            NaN
  1298.08        500.000        10.5247       0.804579       0.780785                 NaN   22.0552                 NaN   36.7212        17.2659        11.8477                 NaN            NaN
  1294.87        500.000                 NaN  0.810972       0.778836                 NaN   22.0173                 NaN   39.0185        18.0353        13.1625        6.17663                 NaN
  1291.67        500.000                 NaN  0.810972       0.778850                 NaN   22.0171                 NaN   39.0181        18.0351        13.1632        6.17670                 NaN
  1288.46        500.000                 NaN  0.810972       0.778864                 NaN   22.0169                 NaN   39.0178        18.0349        13.1638        6.17676                 NaN
  1285.26        500.000                 NaN  0.810973       0.778878                 NaN   22.0167                 NaN   39.0175        18.0347        13.1645        6.17682                 NaN
  1282.05        500.000                 NaN  0.810818       0.784915                 NaN   22.0509                 NaN   18.1130        38.8056        13.2570        6.17785                 NaN
  1278.85        500.000                 NaN  0.810818       0.784930                 NaN   22.0507                 NaN   18.1128        38.8053        13.2576        6.17791                 NaN
  1275.64        500.000                 NaN  0.810818       0.784944                 NaN   22.0505                 NaN   18.1126        38.8050        13.2583        6.17797                 NaN
  1272.44        500.000                 NaN  0.810818       0.784958                 NaN   22.0502                 NaN   18.1124        38.8047        13.2589        6.17803                 NaN
