|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q              hed           
  1360.90        2500.00        99.2241       0.326788       0.183179E-001            NaN            NaN  0.153212       0.277580                 NaN            NaN            NaN            NaN
  1359.75        2500.00        99.2305       0.174592E-001  0.324306                 NaN            NaN  0.152289       0.275402                 NaN            NaN            NaN            NaN
  1358.59        2500.00        99.2373       0.144541E-001  0.324801                 NaN            NaN  0.150994       0.272408                 NaN            NaN            NaN            NaN
  1357.43        2500.00        99.2460       0.320974       0.144131E-001            NaN            NaN  0.149319       0.269254                 NaN            NaN            NaN            NaN
  1356.28        2500.00        99.2509       0.321727       0.116872E-001            NaN            NaN  0.148363       0.267306                 NaN            NaN            NaN            NaN
  1355.12        2500.00        99.2569       0.795937E-002  0.320334                 NaN            NaN  0.149014       0.265803                 NaN            NaN            NaN            NaN
  1353.96        2500.00        99.2667       0.117283E-001  0.317007                 NaN            NaN  0.143962       0.260566                 NaN            NaN            NaN            NaN
  1352.81        2500.00        99.2713       0.316063       0.897547E-002            NaN            NaN  0.144271       0.259346                 NaN            NaN            NaN            NaN
  1351.65        2500.00        99.2775       0.314397       0.818014E-002            NaN            NaN  0.142826       0.257072                 NaN            NaN            NaN            NaN
  1350.49        2500.00        99.2756       0.316430       0.637727E-002            NaN            NaN  0.143711       0.257854                 NaN            NaN            NaN            NaN
  1349.34        2500.00        99.2932       0.308721       0.953471E-002            NaN            NaN  0.138267       0.250257                 NaN            NaN            NaN            NaN
  1348.18        2500.00        99.2974       0.659353E-002  0.309234                 NaN            NaN  0.137912       0.248857                 NaN            NaN            NaN            NaN
  1347.02        2500.00        99.3017       0.500065E-002  0.308506                 NaN            NaN  0.137346       0.247419                 NaN            NaN            NaN            NaN
  1345.87        2500.00        99.3074       0.396599E-002  0.307817                 NaN            NaN  0.135780       0.245020                 NaN            NaN            NaN            NaN
  1344.71        2500.00        99.3129       0.305702       0.437115E-002            NaN            NaN  0.134147       0.242879                 NaN            NaN            NaN            NaN
  1343.55        2500.00        99.3187       0.304606       0.368534E-002            NaN            NaN  0.132570       0.240478                 NaN            NaN            NaN            NaN
  1342.40        2500.00        99.3245       0.303052       0.330853E-002            NaN            NaN  0.131016       0.238138                 NaN            NaN            NaN            NaN
  1341.24        2500.00        99.3251       0.305878                 NaN            NaN            NaN  0.131078       0.237972                 NaN            NaN            NaN            NaN
  1340.08        2500.00        99.3373       0.297935       0.633806E-002            NaN            NaN  0.125986       0.232398                 NaN            NaN            NaN            NaN
  1338.93        2500.00        99.3404       0.308852E-002  0.298846                 NaN            NaN  0.126078       0.231541                 NaN            NaN            NaN            NaN
  1337.77        2500.00        99.3449       0.360007E-002  0.297500                 NaN            NaN  0.124332       0.229623                 NaN            NaN            NaN            NaN
  1336.61        2500.00        99.3511       0.295722       0.294117E-002            NaN            NaN  0.122997       0.227287                 NaN            NaN            NaN            NaN
  1335.46        2500.00        99.3494       0.265147       0.518430E-001            NaN            NaN  0.108420       0.225230                 NaN            NaN            NaN            NaN
  1334.30        2500.00        99.3633       0.291270                 NaN            NaN            NaN  0.122502       0.222901                 NaN            NaN            NaN            NaN
  1333.14        2500.00        99.3655       0.294098                 NaN            NaN            NaN  0.118888       0.221483                 NaN            NaN            NaN            NaN
  1331.98        2500.00        99.3722       0.288764                 NaN            NaN            NaN  0.120008       0.219056                 NaN            NaN            NaN            NaN
  1330.83        2500.00        99.3744       0.287287       0.749049E-002            NaN            NaN  0.113500       0.217277                 NaN            NaN            NaN            NaN
  1329.67        2500.00        99.3749       0.430109E-001  0.264183                 NaN            NaN  0.102801       0.215064                 NaN            NaN            NaN            NaN
  1328.51        2500.00        99.3796       0.356470E-001  0.268470                 NaN            NaN  0.102990       0.213312                 NaN            NaN            NaN            NaN
  1327.36        2500.00        99.3530       0.295163                 NaN            NaN            NaN  0.123028       0.228830                 NaN            NaN            NaN            NaN
  1326.20        2500.00        99.4327       0.274041                 NaN            NaN            NaN  0.101087       0.192168                 NaN            NaN            NaN            NaN
  1325.04        2500.00        99.3871       0.239718       0.768395E-001            NaN            NaN  0.883509E-001  0.208017                 NaN            NaN            NaN            NaN
  1323.89        2500.00        99.4029       0.284577                 NaN            NaN            NaN  0.106630       0.205921                 NaN            NaN            NaN            NaN
  1322.73        2500.00        99.4062       0.285513                 NaN            NaN            NaN  0.103995       0.204247                 NaN            NaN            NaN            NaN
  1321.57        2500.00        99.4100       0.285464                 NaN            NaN            NaN  0.101954       0.202564                 NaN            NaN            NaN            NaN
  1320.42        2500.00        99.4140       0.285583                 NaN            NaN            NaN  0.996545E-001  0.200724                 NaN            NaN            NaN            NaN
  1319.26        2500.00        99.4124       0.408021E-001  0.258747                 NaN            NaN  0.886360E-001  0.199428                 NaN            NaN            NaN            NaN
  1318.10        2500.00        99.4218       0.285681                 NaN            NaN            NaN  0.952074E-001  0.197272                 NaN            NaN            NaN            NaN
  1316.95        2500.00        99.4262       0.282579                 NaN            NaN            NaN  0.955138E-001  0.195673                 NaN            NaN            NaN            NaN
  1315.79        2500.00        99.4290       0.284410                 NaN            NaN            NaN  0.924728E-001  0.194159                 NaN            NaN            NaN            NaN
  1314.63        2500.00        99.4328       0.183661E-001  0.275750                 NaN            NaN  0.822301E-001  0.190832                 NaN            NaN            NaN            NaN
  1313.48        2500.00        99.4334       0.281485                 NaN            NaN            NaN  0.923014E-001  0.192837                 NaN            NaN            NaN            NaN
  1312.32        2500.00        99.4407       0.281101                 NaN            NaN            NaN  0.886239E-001  0.189573                 NaN            NaN            NaN            NaN
  1311.16        2500.00        99.4425       0.285852                 NaN            NaN            NaN  0.838226E-001  0.187837                 NaN            NaN            NaN            NaN
  1310.01        2500.00        99.4415       0.318807E-001  0.264161                 NaN            NaN  0.755379E-001  0.186900                 NaN            NaN            NaN            NaN
  1308.85        2500.00        99.4526       0.276033                 NaN            NaN            NaN  0.862000E-001  0.185166                 NaN            NaN            NaN            NaN
  1307.69        2500.00        99.4500       0.169934E-002  0.288695                 NaN            NaN  0.759490E-001  0.183625                 NaN            NaN            NaN            NaN
  1306.54        2500.00        99.4484       0.482902E-001  0.253816                 NaN            NaN  0.665028E-001  0.182951                 NaN            NaN            NaN            NaN
  1305.38        2500.00        99.4459       0.135375       0.183027                 NaN            NaN  0.536342E-001  0.182040                 NaN            NaN            NaN            NaN
  1304.22        2500.00        99.4614       0.286053                 NaN            NaN            NaN  0.729392E-001  0.179581                 NaN            NaN            NaN            NaN
  1303.07        2500.00        96.8343       0.749742                 NaN            NaN            NaN  0.203006       0.514913        1.69809                 NaN            NaN            NaN
  1301.91        2500.00        91.1331        1.76792                 NaN            NaN            NaN  0.482444        1.24406        5.37247                 NaN            NaN            NaN
  1300.75        2500.00        91.5625        1.68471                 NaN            NaN            NaN  0.468637        1.18978        5.09435                 NaN            NaN            NaN
  1299.60        2500.00        91.8323        1.62900                 NaN            NaN            NaN  0.466405        1.15691        4.91535                 NaN            NaN            NaN
  1298.44        2500.00        84.0830        2.91984                 NaN            NaN            NaN  0.850158        2.23446        9.61421       0.298376                 NaN            NaN
  1297.28        2500.00        81.3834        3.33415                 NaN            NaN            NaN   1.03857        2.61362        11.2235       0.406804                 NaN            NaN
  1296.13        2500.00        82.7457        3.08966                 NaN            NaN            NaN  0.997059        2.43004        10.3646       0.372968                 NaN            NaN
  1294.97        2500.00        84.0711        2.86555                 NaN            NaN            NaN  0.941142        2.25072        9.53131       0.340150                 NaN            NaN
  1293.81        2500.00        85.3083        2.65917                 NaN            NaN            NaN  0.881719        2.08240        8.75845       0.309962                 NaN            NaN
  1292.66        2500.00        86.4116        2.48400                 NaN            NaN            NaN  0.820384        1.93165        8.06932       0.283009                 NaN            NaN
  1291.50        2500.00        87.4125        2.32455                 NaN            NaN            NaN  0.762365        1.79457        7.44706       0.258983                 NaN            NaN
  1290.34        2500.00        88.3193        2.17787                 NaN            NaN            NaN  0.708680        1.66905        6.88735       0.237706                 NaN            NaN
  1289.19        2500.00        89.1222        2.04803                 NaN            NaN            NaN  0.659620        1.55821        6.39297       0.218957                 NaN            NaN
  1288.03        2500.00        84.1112        2.82871                 NaN            NaN            NaN   1.01342        2.32935        9.39167       0.325631                 NaN            NaN
  1286.87        2500.00        96.7842       0.856765                 NaN            NaN            NaN  0.143955       0.410030        1.75253       0.525206E-001            NaN            NaN
  1285.72        2500.00        91.0345        1.74782                 NaN            NaN            NaN  0.526366        1.29050        5.22546       0.175350                 NaN            NaN
  1284.56        2500.00        91.1371        1.69351                 NaN            NaN            NaN  0.539811        1.27855        5.17677       0.174203                 NaN            NaN
  1283.40        2500.00        90.7697        1.80133                 NaN            NaN            NaN  0.533196        1.33874        5.37129       0.185707                 NaN            NaN
  1282.25        2500.00        94.5067        1.11045                 NaN            NaN            NaN  0.319132       0.784495        3.18012       0.990628E-001            NaN            NaN
  1281.09        2500.00        92.3094        1.58848                 NaN            NaN            NaN  0.374121        1.10027        4.47825       0.149491                 NaN            NaN
  1279.93        2500.00        94.5020        1.24145                 NaN            NaN            NaN  0.222305       0.770842        3.15618       0.107232                 NaN            NaN
  1278.77        2500.00        92.8993        1.47030                 NaN            NaN            NaN  0.346179        1.01773        4.13007       0.136438                 NaN            NaN
  1277.62        2500.00        93.3270        1.28883                 NaN            NaN            NaN  0.455149       0.995852        3.81780       0.115320                 NaN            NaN
  1276.46        2500.00        95.3821       0.918521                 NaN            NaN            NaN  0.363477       0.698960        2.55811       0.788131E-001            NaN            NaN
  1275.30        2500.00        93.9206        1.26458                 NaN            NaN            NaN  0.319411       0.877799        3.50474       0.112857                 NaN            NaN
  1274.15        2500.00        95.1659       0.989728                 NaN            NaN            NaN  0.274408       0.706692        2.77531       0.879641E-001            NaN            NaN
  1272.99        2500.00        92.0066        2.12921                 NaN            NaN            NaN  0.115180        1.15672        4.43901       0.153292                 NaN            NaN
  1271.83        2500.00        97.6752       0.255322                 NaN            NaN            NaN  0.266526       0.331186        1.44865       0.230759E-001            NaN            NaN
  1270.68        2500.00        91.8665       0.892022                 NaN            NaN            NaN  0.551920        1.26173        5.25763       0.170213                 NaN            NaN
  1269.52        2500.00        94.4877       0.863678                 NaN            NaN            NaN  0.262214       0.840084        3.44006       0.106313                 NaN            NaN
  1268.36        2500.00        95.7377       0.892630                 NaN            NaN            NaN  0.936853E-001  0.635350        2.56677       0.738809E-001            NaN            NaN
  1267.21        2500.00        96.4414       0.902180                 NaN            NaN            NaN            NaN  0.518821        2.08107       0.565046E-001            NaN            NaN
  1266.05        2500.00        96.8982       0.811330                 NaN            NaN            NaN            NaN  0.455035        1.78921       0.461831E-001            NaN            NaN
  1264.89        2500.00        97.2405       0.744187                 NaN            NaN            NaN            NaN  0.404849        1.57093       0.395477E-001            NaN            NaN
  1263.74        2500.00        97.4744       0.705684                 NaN            NaN            NaN            NaN  0.370393        1.41490       0.345853E-001            NaN            NaN
  1262.58        2500.00        97.6143       0.695614                 NaN            NaN            NaN            NaN  0.347924        1.31069       0.314843E-001            NaN            NaN
  1261.42        2500.00        97.6364       0.724583                 NaN            NaN            NaN            NaN  0.343098        1.26661       0.292636E-001            NaN            NaN
  1260.27        2500.00        97.5347       0.757332                 NaN            NaN            NaN            NaN  0.350698        1.32536       0.318598E-001            NaN            NaN
  1259.11        2500.00        97.3194       0.967257                 NaN            NaN            NaN            NaN  0.376925        1.30926       0.271285E-001            NaN            NaN
  1257.95        2500.00        96.8083        1.19152                 NaN            NaN            NaN            NaN  0.431151        1.53397       0.350662E-001            NaN            NaN
  1256.80        2500.00        94.6483        2.23024                 NaN            NaN            NaN            NaN  0.692694        2.37928       0.494846E-001            NaN            NaN
  1255.64        2500.00        92.3357        3.12155                 NaN            NaN            NaN            NaN  0.977123        3.50186       0.637660E-001            NaN            NaN
  1254.48        2500.00        96.8230       0.249440       0.629252                 NaN            NaN            NaN  0.426268        1.82420       0.478620E-001            NaN            NaN
  1253.33        2500.00        96.2504       0.797250                 NaN            NaN            NaN            NaN  0.500195        2.38516       0.670212E-001            NaN            NaN
  1252.17        2500.00        98.1307       0.572704                 NaN            NaN            NaN            NaN  0.280849       0.967162       0.485870E-001            NaN            NaN
  1251.01        2500.00        98.6776       0.742608E-001            NaN            NaN            NaN            NaN  0.131382        1.08782       0.289462E-001            NaN            NaN
  1249.86        2500.00        95.0695        1.73315       0.552877E-001            NaN            NaN            NaN  0.690872        2.41796       0.331927E-001            NaN            NaN
  1248.70        2500.00        96.8138       0.927586                 NaN            NaN            NaN            NaN  0.437223        1.78061       0.407520E-001            NaN            NaN
  1247.54        2500.00        93.5799        1.80359                 NaN            NaN            NaN            NaN  0.940256        3.55719       0.119079                 NaN            NaN
  1246.39        2500.00        98.5445       0.507940                 NaN            NaN            NaN  0.280133E-001  0.431805E-001  0.876410                 NaN            NaN            NaN
  1245.23        2500.00        98.3702       0.613328                 NaN            NaN            NaN            NaN  0.455899       0.554208       0.635595E-002            NaN            NaN
  1244.07        2500.00        98.5318                 NaN            NaN            NaN            NaN            NaN  0.740277E-001   1.37687       0.172904E-001            NaN            NaN
  1242.92        2500.00        98.1475       0.297658                 NaN            NaN            NaN            NaN  0.137041        1.35874       0.590962E-001            NaN            NaN
  1241.76        2500.00        92.7516        2.11675                 NaN            NaN            NaN            NaN   1.06620        3.99556       0.699230E-001            NaN            NaN
  1240.60        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1239.45        2500.00        99.6092                 NaN            NaN            NaN            NaN            NaN  0.545084E-001  0.321520       0.147512E-001            NaN            NaN
  1238.29        2500.00        99.4470       0.328424                 NaN            NaN            NaN            NaN  0.142634       0.691810E-001  0.127673E-001            NaN            NaN
  1237.13        2500.00        97.6692       0.546816                 NaN            NaN            NaN            NaN  0.258674        1.51003       0.153052E-001            NaN            NaN
  1235.98        2500.00        98.1231       0.486580                 NaN            NaN            NaN            NaN  0.255576        1.11101       0.236923E-001            NaN            NaN
  1234.82        2500.00        98.1963       0.464415                 NaN            NaN            NaN            NaN  0.245483        1.07126       0.225054E-001            NaN            NaN
  1233.66        2500.00        98.4979       0.398737                 NaN            NaN            NaN            NaN  0.219693       0.860520       0.231423E-001            NaN            NaN
  1232.51        2500.00        97.8597       0.519643                 NaN            NaN            NaN            NaN  0.275298        1.32199       0.233705E-001            NaN            NaN
  1231.35        2500.00        89.7567       0.940750                 NaN            NaN            NaN  0.395324       0.560266        5.26000       0.589485E-001   3.02801                 NaN
  1230.19        2500.00        99.6356       0.577253E-001            NaN            NaN            NaN            NaN  0.152880       0.145420       0.837118E-002            NaN            NaN
  1229.03        2500.00        71.4748       0.348732        1.61025        1.46979                 NaN            NaN   2.94621        13.5238       0.211705        8.41472                 NaN
  1227.88        2500.00                 NaN   1.06752        10.8880                 NaN            NaN            NaN   8.31026        46.1703       0.637617        32.9263                 NaN
  1226.72        2500.00                 NaN   8.26247        3.36719                 NaN            NaN            NaN   8.08370        46.7361       0.687207        32.8633                 NaN
  1225.56        2500.00                 NaN   8.25579        3.37404                 NaN            NaN            NaN   8.08268        46.7389       0.687072        32.8615                 NaN
  1224.41        2500.00                 NaN   8.27425        3.35501                 NaN            NaN            NaN   8.08309        46.7354       0.687323        32.8650                 NaN
  1223.25        2500.00                 NaN   7.11523       0.194541E-005   4.49128                 NaN            NaN   8.04024        46.7470       0.710118        32.8962                 NaN
  1222.09        2500.00                 NaN   6.55668        5.20053                 NaN            NaN            NaN   8.15393        46.5324       0.667217        32.8893                 NaN
  1220.94        2500.00                 NaN   7.08944        4.62699                 NaN            NaN            NaN   8.12803        46.5999       0.673067        32.8826                 NaN
  1219.78        2500.00                 NaN   8.61497        3.00180       0.182789E-004            NaN            NaN   8.08729        46.7574       0.681479        32.8570                 NaN
  1218.62        2500.00                 NaN   8.61761        2.99875       0.223217E-004            NaN            NaN   8.08664        46.7578       0.681577        32.8576                 NaN
  1217.47        2500.00                 NaN   8.61886        2.99752       0.454001E-004            NaN            NaN   8.08683        46.7568       0.681524        32.8584                 NaN
  1216.31        2500.00                 NaN   7.15072        4.58659       0.258460E-005            NaN            NaN   8.14163        46.5598       0.670202        32.8911                 NaN
  1215.15        2500.00                 NaN   7.23327        4.50173                 NaN            NaN            NaN   8.13967        46.5629       0.670646        32.8918                 NaN
  1214.00        2500.00                 NaN   7.24035        4.49465       0.324253E-005            NaN            NaN   8.14066        46.5616       0.670407        32.8924                 NaN
