|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/KHA22/KHA22_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        q              ilm           
  1516.97        500.000                 NaN   99.5789       0.377652       0.434898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.58        500.000                 NaN   99.5727       0.425922       0.141674E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        500.000                 NaN   99.5812       0.414734       0.402790E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.80        500.000                 NaN   99.5830       0.401887       0.151343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.41        500.000                 NaN   99.5849       0.415107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.02        500.000                 NaN   99.5874       0.412612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.63        500.000                 NaN   99.5902       0.409766                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.24        500.000                 NaN   99.5919       0.408125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        500.000                 NaN   99.5959       0.404137                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.46        500.000                 NaN   99.5595       0.440505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.07        500.000                 NaN   99.7748       0.225228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.68        500.000                 NaN   99.4696       0.530416       0.418797E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        500.000                 NaN   99.6068       0.393212                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.90        500.000                 NaN   99.6114       0.388610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.51        500.000                 NaN   99.6122       0.387813                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.12        500.000                 NaN   99.6140       0.385435       0.584538E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.73        500.000                 NaN   99.6150       0.381995       0.298192E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.34        500.000                 NaN   99.6208       0.379173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000                 NaN   99.6219       0.378145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.56        500.000                 NaN   99.6203       0.379682                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.17        500.000                 NaN   99.6291       0.370904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.78        500.000                 NaN   99.6270       0.372973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.39        500.000                 NaN   99.6985       0.301536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   99.5686       0.431394                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.62        500.000                 NaN   99.6352       0.364751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.23        500.000                 NaN   99.6380       0.361952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.84        500.000                 NaN   99.6415       0.358461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.45        500.000                 NaN   99.6427       0.357274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.06        500.000                 NaN   99.6453       0.354718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN   99.5853       0.123932                 NaN  0.290750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000                 NaN   99.5618       0.259115E-001            NaN  0.412281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.89        500.000                 NaN   99.5640       0.238438E-001            NaN  0.412123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.50        500.000                 NaN   99.5639       0.196585E-001            NaN  0.416401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.11        500.000                 NaN   99.5665       0.183993E-001            NaN  0.415087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.72        500.000                 NaN   99.5675       0.160833E-001            NaN  0.416463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.33        500.000                 NaN   99.5685       0.133840E-001            NaN  0.418067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.94        500.000                 NaN   99.5697       0.109412E-001            NaN  0.419315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.55        500.000                 NaN   99.5706       0.811664E-002            NaN  0.421308                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.16        500.000                 NaN   99.5709       0.531962E-002            NaN  0.423781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.77        500.000                 NaN   99.5721       0.255726E-001            NaN  0.402346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.38        500.000                 NaN   99.5733                 NaN            NaN  0.426735                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.99        500.000                 NaN   99.5731                 NaN            NaN  0.426893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.60        500.000                 NaN   99.5728                 NaN            NaN  0.427198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.21        500.000                 NaN   99.5729       0.110077E-001            NaN  0.416108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.82        500.000                 NaN   99.5732                 NaN            NaN  0.426767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.43        500.000                 NaN   99.3810       0.601062E-001            NaN  0.509883       0.490555E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1453.04        500.000                 NaN   99.5823                 NaN            NaN  0.177367       0.240359                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.65        500.000                 NaN   99.3329                 NaN            NaN  0.384494       0.282618                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.26        500.000                 NaN   99.3396                 NaN            NaN  0.279417       0.381031                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.87        500.000                 NaN   99.3455                 NaN            NaN  0.378037       0.276460                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.48        500.000                 NaN   99.3534                 NaN            NaN  0.272848       0.373797                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.09        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.70        500.000                 NaN   98.7267                 NaN            NaN  0.736115       0.537199                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.31        500.000                 NaN   99.3367                 NaN            NaN  0.279584       0.383744                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.92        500.000                 NaN   99.4138       0.437710E-001            NaN  0.341527       0.200929                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.53        500.000                 NaN   99.3837       0.385751E-002            NaN  0.357312       0.255140                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.14        500.000                 NaN   99.3901       0.613351E-002            NaN  0.249684       0.354056                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.76        500.000                 NaN   99.3937       0.305947E-002            NaN  0.251164       0.352064                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.37        500.000                 NaN   99.4037                 NaN            NaN  0.250154       0.346144                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.98        500.000                 NaN   99.4064                 NaN            NaN  0.345397       0.248211                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.59        500.000                 NaN   99.4129                 NaN            NaN  0.341447       0.245645                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.20        500.000                 NaN   99.4190       0.229509E-001            NaN  0.219178       0.338882                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        500.000                 NaN   99.4231                 NaN            NaN  0.336384       0.240552                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.42        500.000                 NaN   99.4286       0.510861E-002            NaN  0.232747       0.333585                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.03        500.000                 NaN   99.4342                 NaN            NaN  0.235692       0.330116                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.64        500.000                 NaN   99.4392       0.470649E-002            NaN  0.327460       0.228619                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.25        500.000                 NaN   99.4444                 NaN            NaN  0.230648       0.324903                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.86        500.000                 NaN   99.4498       0.379773E-002            NaN  0.321893       0.224545                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000                 NaN   99.1899                 NaN            NaN  0.344437       0.334475                 NaN  0.131153                 NaN            NaN            NaN            NaN
  1421.08        500.000                 NaN   98.4624                 NaN            NaN  0.407701       0.631750                 NaN  0.498122                 NaN            NaN            NaN            NaN
  1419.69        500.000                 NaN   98.7186                 NaN            NaN  0.525970       0.339298                 NaN  0.416098                 NaN            NaN            NaN            NaN
  1418.30        500.000                 NaN   98.2957                 NaN            NaN  0.700732       0.450845                 NaN  0.552742                 NaN            NaN            NaN            NaN
  1416.91        500.000                 NaN   98.5527                 NaN            NaN  0.594778       0.382716                 NaN  0.469852                 NaN            NaN            NaN            NaN
  1415.52        500.000                 NaN   98.5817                 NaN            NaN  0.582877       0.374667                 NaN  0.460775                 NaN            NaN            NaN            NaN
  1414.13        500.000                 NaN   98.6091                 NaN            NaN  0.571589       0.367220                 NaN  0.452128                 NaN            NaN            NaN            NaN
  1412.74        500.000                 NaN   98.6360                 NaN            NaN  0.359959       0.560569                 NaN  0.443519                 NaN            NaN            NaN            NaN
  1411.35        500.000                 NaN   98.6625                 NaN            NaN  0.549857       0.352520                 NaN  0.435169                 NaN            NaN            NaN            NaN
  1409.96        500.000                 NaN   98.6883                 NaN            NaN  0.539149       0.345495                 NaN  0.427091                 NaN            NaN            NaN            NaN
  1408.57        500.000                 NaN   98.7122                 NaN            NaN  0.529354       0.338973                 NaN  0.419464                 NaN            NaN            NaN            NaN
  1407.18        500.000                 NaN   98.7364                 NaN            NaN  0.332108       0.519627                 NaN  0.411850                 NaN            NaN            NaN            NaN
  1405.79        500.000                 NaN   98.7593                 NaN            NaN  0.325972       0.510232                 NaN  0.404543                 NaN            NaN            NaN            NaN
  1404.40        500.000                 NaN   98.7793                 NaN            NaN  0.501767       0.320726                 NaN  0.398167                 NaN            NaN            NaN            NaN
  1403.01        500.000                 NaN   98.8048                 NaN            NaN  0.491676       0.313547                 NaN  0.389979                 NaN            NaN            NaN            NaN
  1401.62        500.000                 NaN   98.8242                 NaN            NaN  0.308188       0.483818                 NaN  0.383802                 NaN            NaN            NaN            NaN
  1400.23        500.000                 NaN   98.7982                 NaN            NaN  0.492359       0.317112                 NaN  0.392355                 NaN            NaN            NaN            NaN
  1398.84        500.000                 NaN   98.9133                 NaN            NaN  0.283478       0.448455                 NaN  0.354778                 NaN            NaN            NaN            NaN
  1397.45        500.000                 NaN   98.8852                 NaN            NaN  0.291112       0.459284                 NaN  0.364372                 NaN            NaN            NaN            NaN
  1396.06        500.000                 NaN   98.9041                 NaN            NaN  0.451541       0.286066                 NaN  0.358299                 NaN            NaN            NaN            NaN
  1394.67        500.000                 NaN   98.9227                 NaN            NaN  0.444108       0.280752                 NaN  0.352440                 NaN            NaN            NaN            NaN
  1393.28        500.000                 NaN   98.9398                 NaN            NaN  0.275722       0.437489                 NaN  0.346998                 NaN            NaN            NaN            NaN
  1391.90        500.000                 NaN   98.9575                 NaN            NaN  0.429405       0.272064                 NaN  0.341081                 NaN            NaN            NaN            NaN
  1390.51        500.000                 NaN   98.9770                 NaN            NaN  0.422481       0.265623                 NaN  0.334861                 NaN            NaN            NaN            NaN
  1389.12        500.000                 NaN   98.9921                 NaN            NaN  0.416094       0.261653                 NaN  0.330106                 NaN            NaN            NaN            NaN
  1387.73        500.000                 NaN   99.0085                 NaN            NaN  0.409745       0.256970                 NaN  0.324771                 NaN            NaN            NaN            NaN
  1386.34        500.000                 NaN   99.0233                 NaN            NaN  0.253319       0.403387                 NaN  0.319983                 NaN            NaN            NaN            NaN
  1384.95        500.000                 NaN   99.0405                 NaN            NaN  0.396934       0.248179                 NaN  0.314414                 NaN            NaN            NaN            NaN
  1383.56        500.000                 NaN   99.0546                 NaN            NaN  0.391390       0.243972                 NaN  0.310027                 NaN            NaN            NaN            NaN
  1382.17        500.000                 NaN   99.0704                 NaN            NaN  0.239883       0.384963                 NaN  0.304759                 NaN            NaN            NaN            NaN
  1380.78        500.000                 NaN   99.0843                 NaN            NaN  0.235926       0.379425                 NaN  0.300325                 NaN            NaN            NaN            NaN
  1379.39        500.000                 NaN   99.0977                 NaN            NaN  0.232145       0.374199                 NaN  0.295969                 NaN            NaN            NaN            NaN
  1378.00        500.000                 NaN   99.1120                 NaN            NaN  0.368356       0.228251                 NaN  0.291344                 NaN            NaN            NaN            NaN
  1376.61        500.000                 NaN   99.1263                 NaN            NaN  0.224063       0.362915                 NaN  0.286711                 NaN            NaN            NaN            NaN
  1375.22        500.000                 NaN   99.1391                 NaN            NaN  0.357834       0.220532                 NaN  0.282579                 NaN            NaN            NaN            NaN
  1373.83        500.000                 NaN   99.1509                 NaN            NaN  0.217400       0.352988                 NaN  0.278682                 NaN            NaN            NaN            NaN
  1372.44        500.000                 NaN   99.1638                 NaN            NaN  0.347790       0.213910                 NaN  0.274528                 NaN            NaN            NaN            NaN
  1371.05        500.000                 NaN   99.1769                 NaN            NaN  0.209931       0.342974                 NaN  0.270169                 NaN            NaN            NaN            NaN
  1369.66        500.000                 NaN   99.1889                 NaN            NaN  0.338078       0.206714                 NaN  0.266335                 NaN            NaN            NaN            NaN
  1368.27        500.000                 NaN   99.2002                 NaN            NaN  0.203748       0.333446                 NaN  0.262653                 NaN            NaN            NaN            NaN
  1366.88        500.000                 NaN   99.2119                 NaN            NaN  0.329110       0.200171                 NaN  0.258847                 NaN            NaN            NaN            NaN
  1365.49        500.000                 NaN   99.2234                 NaN            NaN  0.197032       0.324507                 NaN  0.255060                 NaN            NaN            NaN            NaN
  1364.10        500.000                 NaN   99.2341                 NaN            NaN  0.320205       0.194150                 NaN  0.251512                 NaN            NaN            NaN            NaN
  1362.71        500.000                 NaN   99.2450                 NaN            NaN  0.316060       0.190998                 NaN  0.247986                 NaN            NaN            NaN            NaN
  1361.32        500.000                 NaN   99.2556                 NaN            NaN  0.188033       0.311855                 NaN  0.244528                 NaN            NaN            NaN            NaN
  1359.93        500.000                 NaN   99.2659                 NaN            NaN  0.307611       0.185325                 NaN  0.241153                 NaN            NaN            NaN            NaN
  1358.54        500.000                 NaN   99.2763                 NaN            NaN  0.303871       0.182180                 NaN  0.237662                 NaN            NaN            NaN            NaN
  1357.15        500.000                 NaN   99.2853                 NaN            NaN  0.300209       0.179635                 NaN  0.234842                 NaN            NaN            NaN            NaN
  1355.76        500.000                 NaN   99.2967                 NaN            NaN  0.295998       0.176338                 NaN  0.230952                 NaN            NaN            NaN            NaN
  1354.37        500.000                 NaN   99.3053                 NaN            NaN  0.174124       0.292418                 NaN  0.228135                 NaN            NaN            NaN            NaN
  1352.98        500.000                 NaN   99.3146                 NaN            NaN  0.171555       0.288739                 NaN  0.225142                 NaN            NaN            NaN            NaN
  1351.59        500.000                 NaN   99.3240                 NaN            NaN  0.285088       0.168896                 NaN  0.222013                 NaN            NaN            NaN            NaN
  1350.20        500.000                 NaN   99.3318                 NaN            NaN  0.168148       0.279343                 NaN  0.220177       0.577244E-003            NaN            NaN            NaN
  1348.81        500.000                 NaN   99.3323                 NaN            NaN  0.179363       0.257812                 NaN  0.225495       0.504756E-002            NaN            NaN            NaN
  1347.42        500.000                 NaN   99.3418                 NaN            NaN  0.255069       0.176088                 NaN  0.222211       0.488099E-002            NaN            NaN            NaN
  1346.04        500.000                 NaN   99.3525                 NaN            NaN  0.251719       0.172868                 NaN  0.218280       0.465118E-002            NaN            NaN            NaN
  1344.65        500.000                 NaN   99.3611                 NaN            NaN  0.249119       0.170063                 NaN  0.215288       0.447401E-002            NaN            NaN            NaN
  1343.26        500.000                 NaN   99.3706                 NaN            NaN  0.166860       0.246343                 NaN  0.211863       0.428615E-002            NaN            NaN            NaN
  1341.87        500.000                 NaN   99.3793                 NaN            NaN  0.163972       0.243829                 NaN  0.208776       0.409242E-002            NaN            NaN            NaN
  1340.48        500.000                 NaN   99.3882                 NaN            NaN  0.241151       0.161137                 NaN  0.205632       0.391558E-002            NaN            NaN            NaN
  1339.09        500.000                 NaN   99.3964                 NaN            NaN  0.238720       0.158454                 NaN  0.202724       0.375016E-002            NaN            NaN            NaN
  1337.70        500.000                 NaN   99.4047                 NaN            NaN  0.155906       0.235952                 NaN  0.199825       0.363295E-002            NaN            NaN            NaN
  1336.31        500.000                 NaN   99.4140                 NaN            NaN  0.233438       0.152762                 NaN  0.196386       0.341030E-002            NaN            NaN            NaN
  1334.92        500.000                 NaN   99.4216                 NaN            NaN  0.150090       0.231373                 NaN  0.193679       0.322417E-002            NaN            NaN            NaN
  1333.53        500.000                 NaN   99.4293                 NaN            NaN  0.147613       0.229065                 NaN  0.190962       0.307120E-002            NaN            NaN            NaN
  1332.14        500.000                 NaN   99.4369                 NaN            NaN  0.144957       0.226973                 NaN  0.188232       0.291157E-002            NaN            NaN            NaN
  1330.75        500.000                 NaN   99.4445                 NaN            NaN  0.142516       0.224710                 NaN  0.185497       0.274518E-002            NaN            NaN            NaN
  1329.36        500.000                 NaN   99.4517                 NaN            NaN  0.140139       0.222607                 NaN  0.182970       0.260152E-002            NaN            NaN            NaN
  1327.97        500.000                 NaN   99.4592                 NaN            NaN  0.137528       0.220574                 NaN  0.180233       0.242922E-002            NaN            NaN            NaN
  1326.58        500.000                 NaN   99.4652                 NaN            NaN  0.218564       0.135751                 NaN  0.178145       0.232103E-002            NaN            NaN            NaN
  1325.19        500.000                 NaN   99.4739                 NaN            NaN  0.216153       0.132913                 NaN  0.174940       0.213016E-002            NaN            NaN            NaN
  1323.80        500.000                 NaN   99.4796                 NaN            NaN  0.214600       0.130816                 NaN  0.172940       0.200401E-002            NaN            NaN            NaN
  1322.41        500.000                 NaN   99.4865                 NaN            NaN  0.128452       0.212663                 NaN  0.170495       0.186784E-002            NaN            NaN            NaN
  1321.02        500.000                 NaN   99.4930                 NaN            NaN  0.126276       0.210898                 NaN  0.168104       0.168820E-002            NaN            NaN            NaN
  1319.63        500.000                 NaN   99.4987                 NaN            NaN  0.124508       0.209098                 NaN  0.166094       0.158927E-002            NaN            NaN            NaN
  1318.24        500.000                 NaN   99.5058                 NaN            NaN  0.121867       0.207437                 NaN  0.163491       0.139663E-002            NaN            NaN            NaN
  1316.85        500.000                 NaN   99.5117                 NaN            NaN  0.120001       0.205674                 NaN  0.161393       0.127989E-002            NaN            NaN            NaN
  1315.46        500.000                 NaN   99.5175                 NaN            NaN  0.117967       0.204071                 NaN  0.159307       0.114519E-002            NaN            NaN            NaN
  1314.07        500.000                 NaN   99.5230                 NaN            NaN  0.116432       0.202216                 NaN  0.157296       0.102773E-002            NaN            NaN            NaN
  1312.68        500.000                 NaN   99.5292                 NaN            NaN  0.200850       0.113999                 NaN  0.155033       0.876854E-003            NaN            NaN            NaN
  1311.29        500.000                 NaN   99.5348                 NaN            NaN  0.199352       0.112047                 NaN  0.153035       0.736393E-003            NaN            NaN            NaN
  1309.90        500.000                 NaN   99.5400                 NaN            NaN  0.110133       0.198044                 NaN  0.151206       0.615518E-003            NaN            NaN            NaN
  1308.51        500.000                 NaN   99.5458                 NaN            NaN  0.196355       0.108290                 NaN  0.149064       0.478409E-003            NaN            NaN            NaN
  1307.12        500.000                 NaN   99.5510                 NaN            NaN  0.106418       0.195035                 NaN  0.147230       0.356675E-003            NaN            NaN            NaN
  1305.73        500.000                 NaN   99.5561                 NaN            NaN  0.104693       0.193581                 NaN  0.145340       0.237189E-003            NaN            NaN            NaN
  1304.34        500.000                 NaN   99.5612                 NaN            NaN  0.192262       0.102904                 NaN  0.143522       0.111476E-003            NaN            NaN            NaN
  1302.95        500.000                 NaN   99.5662                 NaN            NaN  0.189553       0.101959                 NaN  0.142059       0.254561E-003            NaN            NaN            NaN
  1301.56        500.000                 NaN   99.5714                 NaN            NaN  0.100221       0.188089                 NaN  0.140114       0.141731E-003            NaN            NaN            NaN
  1300.18        500.000                 NaN   99.5758                 NaN            NaN  0.178482       0.103648                 NaN  0.140436       0.160889E-002            NaN            NaN            NaN
  1298.79        500.000                 NaN   94.8659                 NaN            NaN  0.847207       0.471967                 NaN  0.646646       0.881841E-002   3.15948                 NaN            NaN
  1297.40        500.000                 NaN   77.4743                 NaN            NaN   3.22056        1.88024                 NaN   2.52086       0.451905E-001   14.8589                 NaN            NaN
  1296.01        500.000                 NaN   82.5134                 NaN            NaN   1.46087        2.51273                 NaN   1.96136       0.298318E-001   11.5218                 NaN            NaN
  1294.62        500.000                 NaN   85.7717                 NaN            NaN   1.18734        2.05474                 NaN   1.60002       0.203643E-001   9.36583                 NaN            NaN
  1293.23        500.000                 NaN   88.0210                 NaN            NaN   1.00044        1.73546                 NaN   1.35029       0.141859E-001   7.87860                 NaN            NaN
  1291.84        500.000                 NaN   89.6147                 NaN            NaN   1.51615       0.858519                 NaN   1.17491       0.973792E-002   6.82597                 NaN            NaN
  1290.45        500.000                 NaN   91.0101                 NaN            NaN  0.758855        1.30142                 NaN   1.01719       0.708314E-002   5.90540                 NaN            NaN
  1289.06        500.000                 NaN   91.9220                 NaN            NaN   1.17614       0.675223                 NaN  0.916895       0.467198E-002   5.30505                 NaN            NaN
  1287.67        500.000                 NaN   92.7228                 NaN            NaN   1.05998       0.608469                 NaN  0.827880       0.301728E-002   4.77787                 NaN            NaN
  1286.28        500.000                 NaN   93.3795                 NaN            NaN  0.554518       0.963617                 NaN  0.754436       0.168120E-002   4.34620                 NaN            NaN
  1284.89        500.000                 NaN   93.9330                 NaN            NaN  0.508293       0.882658                 NaN  0.692640       0.639472E-003   3.98280                 NaN            NaN
  1283.50        500.000                 NaN   94.4024                 NaN            NaN  0.470145       0.812103                 NaN  0.640129                 NaN   3.67524                 NaN            NaN
  1282.11        500.000                 NaN   94.8066                 NaN            NaN  0.438921       0.748359                 NaN  0.595307                 NaN   3.41085                 NaN            NaN
  1280.72        500.000                 NaN   95.1618                 NaN            NaN  0.692021       0.411717                 NaN  0.555631                 NaN   3.17881                 NaN            NaN
  1279.33        500.000                 NaN   95.4711                 NaN            NaN  0.387306       0.643451                 NaN  0.521074                 NaN   2.97704                 NaN            NaN
  1277.94        500.000                 NaN   95.7450                 NaN            NaN  0.366536       0.599547                 NaN  0.490223                 NaN   2.79871                 NaN            NaN
  1276.55        500.000                 NaN   95.9954                 NaN            NaN  0.346629       0.560316                 NaN  0.461995                 NaN   2.63564                 NaN            NaN
  1275.16        500.000                 NaN   96.2172                 NaN            NaN  0.524788       0.329639                 NaN  0.436697                 NaN   2.49168                 NaN            NaN
  1273.77        500.000                 NaN   96.4152                 NaN            NaN  0.313822       0.493633                 NaN  0.414230                 NaN   2.36311                 NaN            NaN
  1272.38        500.000                 NaN   96.5970                 NaN            NaN  0.299355       0.464686                 NaN  0.393386                 NaN   2.24553                 NaN            NaN
  1270.99        500.000                 NaN   96.7674                 NaN            NaN  0.285569       0.438354                 NaN  0.373896                 NaN   2.13481                 NaN            NaN
  1269.60        500.000                 NaN   96.9179                 NaN            NaN  0.273904       0.414122                 NaN  0.356480                 NaN   2.03760                 NaN            NaN
  1268.21        500.000                 NaN   97.0570                 NaN            NaN  0.263207       0.391773                 NaN  0.340227                 NaN   1.94784                 NaN            NaN
