|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/WD94/WD94_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1820.51        500.000        81.1487                 NaN   4.25729       0.860981        13.7309       0.209596E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        80.5272                 NaN   4.22041       0.860891        14.3724       0.191009E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.9059                 NaN   4.18352       0.860802        15.0137       0.361023E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        79.2847                 NaN   4.14665       0.860713        15.6548       0.531002E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        78.6636                 NaN   4.10978       0.860623        16.2959       0.700945E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        78.0427                 NaN   4.07293       0.860534        16.9368       0.870854E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        77.4219                 NaN   4.03607       0.860445        17.5776       0.104073                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.8012                 NaN   3.99923       0.860356        18.2182       0.121056                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        76.1806                 NaN   3.96240       0.860267        18.8587       0.138037                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        75.5620                 NaN   3.91214       0.860145        19.5115       0.154216                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        74.9435                 NaN   3.86191       0.860023        20.1641       0.170391                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        74.3253                 NaN   3.81168       0.859901        20.8166       0.186561                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        73.7072                 NaN   3.76147       0.859779        21.4688       0.202727                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        73.0893                 NaN   3.71128       0.859657        22.1209       0.218888                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        72.4715                 NaN   3.66110       0.859536        22.7728       0.235045                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        71.8539                 NaN   3.61093       0.859414        23.4245       0.251197                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        71.2365                 NaN   3.56078       0.859292        24.0760       0.267344                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        70.6123                 NaN   3.49606       0.859135        24.7497       0.282795                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        69.9883                 NaN   3.43137       0.858978        25.4231       0.298241                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        69.3646                 NaN   3.36670       0.858821        26.0962       0.313681                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        68.7410                 NaN   3.30206       0.858664        26.7691       0.329116                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        68.1177                 NaN   3.23744       0.858508        27.4418       0.344545                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        67.4946                 NaN   3.17284       0.858351        28.1142       0.359968                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        66.8718                 NaN   3.10827       0.858194        28.7864       0.375386                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        66.2491                 NaN   3.04372       0.858037        29.4583       0.390798                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        65.6186                 NaN   2.96440       0.857845        30.1537       0.405542                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        64.9883                 NaN   2.88510       0.857652        30.8487       0.420279                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        64.3582                 NaN   2.80585       0.857460        31.5434       0.435010                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        63.7285                 NaN   2.72663       0.857267        32.2379       0.449734                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        63.0991                 NaN   2.64744       0.857075        32.9320       0.464452                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        62.4699                 NaN   2.56830       0.856883        33.6258       0.479163                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        61.8410                 NaN   2.48918       0.856691        34.3192       0.493868                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        61.2124                 NaN   2.41010       0.856499        35.0124       0.508566                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        60.5775                 NaN   2.31413       0.856265        35.7294       0.522755                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        59.9428                 NaN   2.21821       0.856032        36.4460       0.536938                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        59.3086                 NaN   2.12234       0.855799        37.1622       0.551112                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        58.6746                 NaN   2.02652       0.855567        37.8780       0.565279                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        58.0410                 NaN   1.93076       0.855334        38.5934       0.579438                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        57.4078                 NaN   1.83505       0.855101        39.3085       0.593589                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        56.7749                 NaN   1.73939       0.854869        40.0231       0.607733                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        56.1424                 NaN   1.64378       0.854637        40.7374       0.621869                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        55.5205                 NaN   1.53375       0.854369        41.4559       0.635484                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        54.8989                 NaN   1.42378       0.854102        42.1741       0.649091                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        54.2778                 NaN   1.31389       0.853835        42.8918       0.662690                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        53.6571                 NaN   1.20406       0.853568        43.6090       0.676279                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        53.0367                 NaN   1.09431       0.853301        44.3258       0.689861                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        52.4168                 NaN  0.984617       0.853035        45.0421       0.703434                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        51.7972                 NaN  0.874997       0.852768        45.7580       0.716998                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        51.1780                 NaN  0.765445       0.852502        46.4735       0.730554                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        50.5763                 NaN  0.645080       0.852209        47.1828       0.743669                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        49.9750                 NaN  0.524797       0.851917        47.8915       0.756776                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        49.3741                 NaN  0.404597       0.851625        48.5998       0.769873                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        48.7736                 NaN  0.284479       0.851333        49.3076       0.782961                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        48.2332                 NaN  0.189035       0.851101        49.9314       0.795264                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        47.6931                 NaN  0.936425E-001  0.850869        50.5549       0.807560                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        47.1118                 NaN            NaN  0.850642        51.2185       0.819033                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        46.6648                 NaN            NaN  0.850644        51.6556       0.828955                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        46.2466                 NaN            NaN  0.850645        52.0646       0.838136                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        45.8284                 NaN            NaN  0.850646        52.4737       0.847316                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        45.4101                 NaN            NaN  0.850647        52.8827       0.856497                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        44.9919                 NaN            NaN  0.850648        53.2918       0.865677                 NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        44.5736                 NaN            NaN  0.850649        53.7009       0.874858                 NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        44.1554                 NaN            NaN  0.850651        54.1099       0.884038                 NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        43.7371                 NaN            NaN  0.850652        54.5190       0.893219                 NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        43.3189                 NaN            NaN  0.850653        54.9281       0.902400                 NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        42.9390                 NaN            NaN  0.850654        55.2990       0.911366                 NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        42.5591                 NaN            NaN  0.850655        55.6699       0.920332                 NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        42.1792                 NaN            NaN  0.850656        56.0409       0.929298                 NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        41.7993                 NaN            NaN  0.850657        56.4118       0.938264                 NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        41.4376                 NaN            NaN  0.850658        56.7648       0.946952                 NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        41.0760                 NaN            NaN  0.850659        57.1177       0.955640                 NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        40.7144                 NaN            NaN  0.850660        57.4557       0.964449       0.148253E-001            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        39.8830                 NaN            NaN  0.850661        57.4551       0.957834       0.853333                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        39.1573                 NaN            NaN  0.850662        57.4480       0.950028        1.59401                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        38.4315                 NaN            NaN  0.850663        57.4409       0.942222        2.33469                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        37.7057                 NaN            NaN  0.850664        57.4338       0.934416        3.07537                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        36.9799                 NaN            NaN  0.850665        57.4267       0.926610        3.81605                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        36.2542                 NaN            NaN  0.850666        57.4196       0.918804        4.55674                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        35.5284                 NaN            NaN  0.850667        57.4125       0.910998        5.29743                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        34.8026                 NaN            NaN  0.850668        57.4054       0.903192        6.03811                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        34.0768                 NaN            NaN  0.850669        57.3983       0.895386        6.77880                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        33.5047                 NaN            NaN  0.850670        57.3811       0.886871        7.37666                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        32.9326                 NaN            NaN  0.850670        57.3638       0.878357        7.97452                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        32.3605                 NaN            NaN  0.850671        57.3466       0.869842        8.57238                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        31.7884                 NaN            NaN  0.850672        57.3293       0.861327        9.17024                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        31.2164                 NaN            NaN  0.850672        57.3121       0.852812        9.76810                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        30.6443                 NaN            NaN  0.850673        57.2948       0.844297        10.3660                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        30.0722                 NaN            NaN  0.850674        57.2776       0.835782        10.9638                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        29.5001                 NaN            NaN  0.850675        57.2603       0.827268        11.5617                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        29.0326                 NaN            NaN  0.850675        57.2382       0.818099        12.0604                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        28.5652                 NaN            NaN  0.850676        57.2161       0.808931        12.5591                 NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        28.0978                 NaN            NaN  0.850676        57.1940       0.799763        13.0578                 NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        27.6303                 NaN            NaN  0.850677        57.1719       0.790595        13.5565                 NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        27.1629                 NaN            NaN  0.850677        57.1498       0.781427        14.0552                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        26.6955                 NaN            NaN  0.850678        57.1277       0.772258        14.5539                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        26.2280                 NaN            NaN  0.850678        57.1056       0.763090        15.0526                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        25.7606                 NaN            NaN  0.850679        57.0835       0.753922        15.5513                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        25.3613                 NaN            NaN  0.850679        57.0612       0.743822        15.9830                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        24.9620                 NaN            NaN  0.850680        57.0388       0.733722        16.4148                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        24.5627                 NaN            NaN  0.850680        57.0165       0.723622        16.8465                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        24.1635                 NaN            NaN  0.850680        56.9941       0.713522        17.2783                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        23.7642                 NaN            NaN  0.850681        56.9717       0.703422        17.7100                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        23.3649                 NaN            NaN  0.850681        56.9494       0.693322        18.1418                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        22.9656                 NaN            NaN  0.850682        56.9270       0.683222        18.5735                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        22.5663                 NaN            NaN  0.850682        56.9046       0.673122        19.0053                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        22.2155                 NaN            NaN  0.850682        56.8844       0.662253        19.3871                 NaN            NaN            NaN            NaN            NaN
  1480.77        500.000        21.8647                 NaN            NaN  0.850683        56.8643       0.651384        19.7690                 NaN            NaN            NaN            NaN            NaN
  1477.56        500.000        21.5138                 NaN            NaN  0.850683        56.8441       0.640515        20.1509                 NaN            NaN            NaN            NaN            NaN
  1474.36        500.000        21.1630                 NaN            NaN  0.850683        56.8239       0.629646        20.5328                 NaN            NaN            NaN            NaN            NaN
  1471.15        500.000        20.8122                 NaN            NaN  0.850684        56.8037       0.618776        20.9146                 NaN            NaN            NaN            NaN            NaN
  1467.95        500.000        20.4613                 NaN            NaN  0.850684        56.7836       0.607907        21.2965                 NaN            NaN            NaN            NaN            NaN
  1464.74        500.000        20.1105                 NaN            NaN  0.850684        56.7634       0.597038        21.6784                 NaN            NaN            NaN            NaN            NaN
  1461.54        500.000        19.7597                 NaN            NaN  0.850684        56.7432       0.586169        22.0603                 NaN            NaN            NaN            NaN            NaN
  1458.33        500.000        19.4360                 NaN            NaN  0.850685        56.7269       0.574688        22.4118                 NaN            NaN            NaN            NaN            NaN
  1455.13        500.000        19.1123                 NaN            NaN  0.850685        56.7106       0.563206        22.7632                 NaN            NaN            NaN            NaN            NaN
  1451.92        500.000        18.7886                 NaN            NaN  0.850685        56.6942       0.551725        23.1147                 NaN            NaN            NaN            NaN            NaN
  1448.72        500.000        18.4650                 NaN            NaN  0.850685        56.6779       0.540243        23.4662                 NaN            NaN            NaN            NaN            NaN
  1445.51        500.000        18.0374                 NaN            NaN  0.850685        56.6630       0.534785        23.7118       0.202354                 NaN            NaN            NaN            NaN
  1442.31        500.000        17.5388                 NaN            NaN  0.850686        56.6471       0.536308        23.8457       0.581490                 NaN            NaN            NaN            NaN
  1439.10        500.000        17.0563                 NaN            NaN  0.850686        56.6263       0.539768        23.9759       0.951053                 NaN            NaN            NaN            NaN
  1435.90        500.000        16.5738                 NaN            NaN  0.850686        56.6056       0.543228        24.1061        1.32062                 NaN            NaN            NaN            NaN
  1432.69        500.000        16.1440                 NaN            NaN  0.850686        56.5813       0.548661        24.2201        1.65527                 NaN            NaN            NaN            NaN
  1429.49        500.000        15.7142                 NaN            NaN  0.850687        56.5570       0.554093        24.3342        1.98993                 NaN            NaN            NaN            NaN
  1426.28        500.000        15.2843                 NaN            NaN  0.850687        56.5327       0.559526        24.4482        2.32458                 NaN            NaN            NaN            NaN
  1423.08        500.000        14.8545                 NaN            NaN  0.850687        56.5084       0.564959        24.5622        2.65924                 NaN            NaN            NaN            NaN
  1419.87        500.000        14.4544                 NaN            NaN  0.850687        56.4793       0.572618        24.6687        2.97427                 NaN            NaN            NaN            NaN
  1416.67        500.000        14.0482                 NaN            NaN  0.850688        56.4397       0.586133        24.6514        3.27127       0.152583                 NaN            NaN            NaN
  1413.46        500.000        13.4135                 NaN            NaN  0.850689        56.4506       0.598921        24.4838       0.529233        3.51567       0.157665                 NaN            NaN
  1410.26        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1407.05        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1403.85        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1400.64        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1397.44        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1394.23        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1391.03        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1387.82        500.000        12.7820                 NaN            NaN  0.850690        56.4770       0.609421        24.3070        3.72148       0.907484       0.344832                 NaN            NaN
  1384.62        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1381.41        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1378.21        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1375.00        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1371.79        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1368.59        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1365.38        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1362.18        500.000        9.26545                 NaN            NaN  0.850695        56.6150       0.677665        23.2490        4.84443        3.05788        1.43991                 NaN            NaN
  1358.97        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1355.77        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1352.56        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1349.36        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1346.15        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1342.95        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1339.74        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1336.54        500.000        7.25005                 NaN            NaN  0.850699        56.6743       0.729385        22.5585        5.44863        4.35050        2.13791                 NaN            NaN
  1333.33        500.000        5.91752                 NaN            NaN  0.850701        56.6811       0.771800        22.0992        5.22757        5.80129        2.65086                 NaN            NaN
  1330.13        500.000        5.91752                 NaN            NaN  0.850701        56.6811       0.771800        22.0992        5.22757        5.80129        2.65086                 NaN            NaN
