|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/TAY13/TAY13_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q              hed           
  1519.75        2500.00                 NaN   99.5573       0.404617       0.380467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00                 NaN   98.6321        1.24895       0.118924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00                 NaN   99.9715       0.251468E-001  0.330882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00                 NaN   99.6782       0.299864       0.219362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00                 NaN   99.5745       0.390485       0.349663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00                 NaN   99.5764       0.391900       0.316966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00                 NaN   99.5796       0.388245       0.321461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00                 NaN   99.5817       0.385193       0.331016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00                 NaN   99.5829       0.389826       0.273229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00                 NaN   99.5857       0.385011       0.292399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00                 NaN   99.5886       0.383721       0.276936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00                 NaN   99.5903       0.382519       0.271736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00                 NaN   99.5944       0.377435       0.281395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00                 NaN   99.5961       0.377228       0.266655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00                 NaN   99.5971       0.386663       0.162337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00                 NaN   99.6394       0.330592       0.300033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00                 NaN   99.4989       0.164948       0.200531E-001  0.316080                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00                 NaN   99.4956                 NaN            NaN  0.504384                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00                 NaN   99.4906                 NaN  0.259335E-005  0.509349                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00                 NaN   99.4913       0.328308E-001  0.146619E-005  0.475853                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00                 NaN   99.4907                 NaN            NaN  0.509293                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00                 NaN   99.4889                 NaN            NaN  0.511059                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00                 NaN   99.4920                 NaN            NaN  0.508002                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00                 NaN   99.4882                 NaN            NaN  0.511764                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00                 NaN   99.4859                 NaN            NaN  0.514079                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00                 NaN   99.4879                 NaN            NaN  0.512085                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00                 NaN   99.4842                 NaN            NaN  0.515779                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00                 NaN   99.5826                 NaN            NaN  0.417418                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00                 NaN   99.6730                 NaN            NaN  0.327008                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00                 NaN   99.1777                 NaN            NaN  0.822251                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00                 NaN   99.4703                 NaN            NaN  0.529712                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00                 NaN   99.4645                 NaN            NaN  0.535548                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00                 NaN   99.2730                 NaN            NaN  0.410218       0.316825                 NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00                 NaN   99.2327                 NaN            NaN  0.261252       0.506070                 NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00                 NaN   99.2394                 NaN            NaN  0.258619       0.501995                 NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00                 NaN   99.2454                 NaN  0.132698E-003  0.497941       0.256573                 NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00                 NaN   99.2517                 NaN            NaN  0.493473       0.254814                 NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00                 NaN   99.2578                 NaN            NaN  0.488902       0.253345                 NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00                 NaN   99.2633                 NaN            NaN  0.250983       0.485679                 NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00                 NaN   99.2695                 NaN            NaN  0.249265       0.481220                 NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00                 NaN   99.2745                 NaN            NaN  0.247527       0.477946                 NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00                 NaN   99.2817                 NaN            NaN  0.243273       0.475014                 NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00                 NaN   99.2864                 NaN            NaN  0.470272       0.243363                 NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00                 NaN   99.2921                 NaN            NaN  0.468356       0.239535                 NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00                 NaN   99.2969                 NaN            NaN  0.238736       0.464345                 NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00                 NaN   99.3029                 NaN            NaN  0.236607       0.460520                 NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00                 NaN   99.3070                 NaN            NaN  0.457973       0.234991                 NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00                 NaN   99.3125                 NaN  0.130105E-004  0.232587       0.454903                 NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00                 NaN   99.3164                 NaN  0.115809E-005  0.452113       0.231512                 NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00                 NaN   99.3230                 NaN            NaN  0.228865       0.448128                 NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00                 NaN   99.3271                 NaN            NaN  0.444847       0.228019                 NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00                 NaN   99.3312                 NaN            NaN  0.443446       0.225308                 NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00                 NaN   99.3362                 NaN            NaN  0.224173       0.439654                 NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00                 NaN   99.3410                 NaN            NaN  0.222721       0.436321                 NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00                 NaN   99.3449                 NaN  0.199853E-005  0.434479       0.220625                 NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00                 NaN   99.3492                 NaN            NaN  0.219251       0.431542                 NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00                 NaN   99.3530                 NaN            NaN  0.217807       0.429227                 NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00                 NaN   99.3580                 NaN  0.483810E-005  0.215476       0.426505                 NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00                 NaN   99.3617                 NaN  0.154742E-005  0.213764       0.424530                 NaN            NaN            NaN            NaN            NaN
  1429.62        2500.00                 NaN   99.3658                 NaN            NaN  0.421456       0.212723                 NaN            NaN            NaN            NaN            NaN
  1428.11        2500.00                 NaN   98.5791                 NaN  0.258519E-001  0.437901       0.530229       0.426887                 NaN            NaN            NaN            NaN
  1426.61        2500.00                 NaN   98.3326                 NaN  0.187497       0.494567       0.396237       0.589145                 NaN            NaN            NaN            NaN
  1425.11        2500.00                 NaN   98.3643                 NaN  0.185637       0.384815       0.486888       0.578323                 NaN            NaN            NaN            NaN
  1423.61        2500.00                 NaN   98.3945                 NaN  0.184270       0.478559       0.374626       0.568046                 NaN            NaN            NaN            NaN
  1422.11        2500.00                 NaN   98.4219                 NaN  0.183559       0.472100       0.363589       0.558817                 NaN            NaN            NaN            NaN
  1420.60        2500.00                 NaN   98.4464                 NaN  0.183482       0.465582       0.353826       0.550755                 NaN            NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.4842                 NaN  0.179674       0.455308       0.343579       0.537231                 NaN            NaN            NaN            NaN
  1417.60        2500.00                 NaN   98.5024                 NaN  0.180409       0.333958       0.451789       0.531458                 NaN            NaN            NaN            NaN
  1416.10        2500.00                 NaN   98.5316                 NaN  0.178338       0.324371       0.444347       0.521349                 NaN            NaN            NaN            NaN
  1414.59        2500.00                 NaN   98.5565                 NaN  0.177550       0.437863       0.315144       0.512980                 NaN            NaN            NaN            NaN
  1413.09        2500.00                 NaN   98.5809                 NaN  0.176587       0.432002       0.305917       0.504626                 NaN            NaN            NaN            NaN
  1411.59        2500.00                 NaN   98.6041                 NaN  0.175760       0.426384       0.296947       0.496781                 NaN            NaN            NaN            NaN
  1410.09        2500.00                 NaN   98.6199                 NaN  0.177075       0.294196       0.415629       0.493208                 NaN            NaN            NaN            NaN
  1408.59        2500.00                 NaN   98.6643                 NaN  0.170377       0.279099       0.412040       0.474185                 NaN            NaN            NaN            NaN
  1407.08        2500.00                 NaN   98.6722                 NaN  0.172389       0.273596       0.408035       0.473772                 NaN            NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.6983                 NaN  0.170915       0.265012       0.401626       0.464143                 NaN            NaN            NaN            NaN
  1404.08        2500.00                 NaN   98.7153                 NaN  0.170423       0.398139       0.257694       0.458441                 NaN            NaN            NaN            NaN
  1402.58        2500.00                 NaN   98.7354                 NaN  0.169446       0.250841       0.392786       0.451487                 NaN            NaN            NaN            NaN
  1401.08        2500.00                 NaN   98.7553                 NaN  0.168598       0.243525       0.387876       0.444660                 NaN            NaN            NaN            NaN
  1399.57        2500.00                 NaN   98.7737                 NaN  0.170052       0.380093       0.236561       0.439585                 NaN            NaN            NaN            NaN
  1398.07        2500.00                 NaN   98.7962                 NaN  0.164917       0.378247       0.231143       0.429527                 NaN            NaN            NaN            NaN
  1396.57        2500.00                 NaN   98.8125                 NaN  0.165076       0.224124       0.373719       0.424547                 NaN            NaN            NaN            NaN
  1395.07        2500.00                 NaN   98.8318                 NaN  0.164066       0.368320       0.217915       0.417931                 NaN            NaN            NaN            NaN
  1393.56        2500.00                 NaN   98.8485                 NaN  0.163449       0.364609       0.211232       0.412254                 NaN            NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.8652                 NaN  0.162873       0.359785       0.205766       0.406406                 NaN            NaN            NaN            NaN
  1390.56        2500.00                 NaN   98.8832                 NaN  0.161451       0.355827       0.199472       0.400023                 NaN            NaN            NaN            NaN
  1389.06        2500.00                 NaN   98.8989                 NaN  0.160835       0.193992       0.351652       0.394625                 NaN            NaN            NaN            NaN
  1387.56        2500.00                 NaN   98.9153                 NaN  0.159497       0.347583       0.188724       0.388933                 NaN            NaN            NaN            NaN
  1386.05        2500.00                 NaN   98.9312                 NaN  0.158474       0.183490       0.343737       0.383139                 NaN            NaN            NaN            NaN
  1384.55        2500.00                 NaN   98.9440                 NaN  0.159882       0.175746       0.340787       0.379555                 NaN            NaN            NaN            NaN
  1383.05        2500.00                 NaN   98.9660                 NaN  0.154658       0.333692       0.175410       0.370287                 NaN            NaN            NaN            NaN
  1381.55        2500.00                 NaN   98.9764                 NaN  0.155632       0.332229       0.168531       0.367250                 NaN            NaN            NaN            NaN
  1380.05        2500.00                 NaN   98.9908                 NaN  0.154674       0.328537       0.163853       0.362133                 NaN            NaN            NaN            NaN
  1378.54        2500.00                 NaN   99.0052                 NaN  0.153694       0.325131       0.158881       0.357081                 NaN            NaN            NaN            NaN
  1377.04        2500.00                 NaN   99.0188                 NaN  0.152616       0.155369       0.321038       0.352216                 NaN            NaN            NaN            NaN
  1375.54        2500.00                 NaN   99.0329                 NaN  0.151364       0.317671       0.150975       0.347125                 NaN            NaN            NaN            NaN
  1374.04        2500.00                 NaN   99.0461                 NaN  0.150491       0.146437       0.314503       0.342501                 NaN            NaN            NaN            NaN
  1372.53        2500.00                 NaN   99.0592                 NaN  0.149547       0.142252       0.311198       0.337822                 NaN            NaN            NaN            NaN
  1371.03        2500.00                 NaN   99.0717                 NaN  0.147940       0.307750       0.139440       0.333145                 NaN            NaN            NaN            NaN
  1369.53        2500.00                 NaN   99.0834                 NaN  0.147760       0.304019       0.135200       0.329637                 NaN            NaN            NaN            NaN
  1368.03        2500.00                 NaN   99.0977                 NaN  0.145322       0.301425       0.132122       0.323418                 NaN            NaN            NaN            NaN
  1366.53        2500.00                 NaN   99.1077                 NaN  0.144943       0.128786       0.298398       0.320145                 NaN            NaN            NaN            NaN
  1365.02        2500.00                 NaN   99.1208                 NaN  0.143602       0.294828       0.125322       0.315445                 NaN            NaN            NaN            NaN
  1363.52        2500.00                 NaN   98.9949                 NaN  0.167208       0.141979       0.332834       0.363067                 NaN            NaN            NaN            NaN
  1362.02        2500.00                 NaN   99.2666                 NaN  0.117657       0.106421       0.249712       0.259595                 NaN            NaN            NaN            NaN
  1360.52        2500.00                 NaN   99.1549                 NaN  0.137936       0.284740       0.120143       0.302305                 NaN            NaN            NaN            NaN
  1359.02        2500.00                 NaN   99.1653                 NaN  0.138810       0.283116       0.113608       0.299175                 NaN            NaN            NaN            NaN
  1357.51        2500.00                 NaN   99.1750                 NaN  0.137395       0.111765       0.280306       0.295541                 NaN            NaN            NaN            NaN
  1356.01        2500.00                 NaN   99.1858                 NaN  0.136473       0.277693       0.108265       0.291768                 NaN            NaN            NaN            NaN
  1354.51        2500.00                 NaN   99.1967                 NaN  0.134217       0.274326       0.107470       0.287282                 NaN            NaN            NaN            NaN
  1353.01        2500.00                 NaN   99.2057                 NaN  0.133498       0.104765       0.271887       0.284153                 NaN            NaN            NaN            NaN
  1351.50        2500.00                 NaN   99.2135                 NaN  0.132169       0.102977       0.270202       0.281169                 NaN            NaN            NaN            NaN
  1350.00        2500.00                 NaN   99.2268                 NaN  0.130102       0.265304       0.101633       0.276152                 NaN            NaN            NaN            NaN
  1348.50        2500.00                 NaN   99.2353                 NaN  0.129476       0.263963       0.981973E-001  0.273017                 NaN            NaN            NaN            NaN
  1347.00        2500.00                 NaN   99.2445                 NaN  0.127846       0.261216       0.968312E-001  0.269575                 NaN            NaN            NaN            NaN
  1345.50        2500.00                 NaN   99.2508                 NaN  0.127206       0.964823E-001  0.257913       0.267615                 NaN            NaN            NaN            NaN
  1343.99        2500.00                 NaN   99.2649                 NaN  0.124112       0.949962E-001  0.254410       0.261598                 NaN            NaN            NaN            NaN
  1342.49        2500.00                 NaN   99.2715                 NaN  0.123092       0.252660       0.934850E-001  0.259295                 NaN            NaN            NaN            NaN
  1340.99        2500.00                 NaN   99.2797                 NaN  0.121752       0.250504       0.918722E-001  0.256194                 NaN            NaN            NaN            NaN
  1339.49        2500.00                 NaN   99.2883                 NaN  0.120186       0.247674       0.909029E-001  0.252940                 NaN            NaN            NaN            NaN
  1337.98        2500.00                 NaN   99.2965                 NaN  0.118632       0.245196       0.899346E-001  0.249773                 NaN            NaN            NaN            NaN
  1336.48        2500.00                 NaN   99.3048                 NaN  0.117059       0.891767E-001  0.242348       0.246570                 NaN            NaN            NaN            NaN
  1334.98        2500.00                 NaN   99.3123                 NaN  0.115318       0.239893       0.888452E-001  0.243672                 NaN            NaN            NaN            NaN
  1333.48        2500.00                 NaN   99.3208                 NaN  0.113854       0.877188E-001  0.237211       0.240435                 NaN            NaN            NaN            NaN
  1331.98        2500.00                 NaN   99.3282                 NaN  0.112192       0.871398E-001  0.234989       0.237517                 NaN            NaN            NaN            NaN
  1330.47        2500.00                 NaN   99.3357                 NaN  0.110330       0.232211       0.871831E-001  0.234601                 NaN            NaN            NaN            NaN
  1328.97        2500.00                 NaN   99.3430                 NaN  0.108436       0.229139       0.876822E-001  0.231733                 NaN            NaN            NaN            NaN
  1327.47        2500.00                 NaN   99.3506                 NaN  0.107062       0.227056       0.865564E-001  0.228761                 NaN            NaN            NaN            NaN
  1325.97        2500.00                 NaN   99.3569                 NaN  0.105991       0.854735E-001  0.225153       0.226472                 NaN            NaN            NaN            NaN
  1324.47        2500.00                 NaN   99.3644                 NaN  0.102617       0.220877       0.890094E-001  0.223097                 NaN            NaN            NaN            NaN
  1322.96        2500.00                 NaN   99.3697                 NaN  0.101463       0.219347       0.883791E-001  0.221145                 NaN            NaN            NaN            NaN
  1321.46        2500.00                 NaN   99.3788                 NaN  0.995416E-001  0.876274E-001  0.216545       0.217535                 NaN            NaN            NaN            NaN
  1319.96        2500.00                 NaN   99.3846                 NaN  0.989203E-001  0.214106       0.867117E-001  0.215701                 NaN            NaN            NaN            NaN
  1318.46        2500.00                 NaN   99.3916                 NaN  0.955227E-001  0.211746       0.889026E-001  0.212250                 NaN            NaN            NaN            NaN
  1316.95        2500.00                 NaN   99.3972                 NaN  0.943635E-001  0.209289       0.887783E-001  0.210340                 NaN            NaN            NaN            NaN
  1315.45        2500.00                 NaN   99.4036                 NaN  0.920406E-001  0.900558E-001  0.206870       0.207418                 NaN            NaN            NaN            NaN
  1313.95        2500.00                 NaN   99.4095                 NaN  0.907548E-001  0.896688E-001  0.204745       0.205304                 NaN            NaN            NaN            NaN
  1312.45        2500.00                 NaN   99.4157                 NaN  0.885291E-001  0.916792E-001  0.201397       0.202737                 NaN            NaN            NaN            NaN
  1310.95        2500.00                 NaN   92.8350                 NaN  0.508009       0.260305        1.02475        1.02295        4.34894                 NaN            NaN            NaN
  1309.44        2500.00                 NaN   83.7391                 NaN   1.06709        2.21711       0.476296        2.15741        10.3430                 NaN            NaN            NaN
  1307.94        2500.00                 NaN   85.1573                 NaN  0.976449        2.11907       0.362508        1.98086        9.40379                 NaN            NaN            NaN
  1306.44        2500.00                 NaN   86.3333                 NaN  0.898926        2.04881       0.260590        1.83437        8.62402                 NaN            NaN            NaN
  1304.94        2500.00                 NaN   87.3375                 NaN  0.832219        2.00225       0.160344        1.70902        7.95869                 NaN            NaN            NaN
  1303.44        2500.00                 NaN   88.1845                 NaN  0.774537        1.99065       0.512476E-001   1.60360        7.39547                 NaN            NaN            NaN
  1301.93        2500.00                 NaN   88.9252                 NaN  0.720083        1.94118                 NaN   1.51080        6.90276                 NaN            NaN            NaN
  1300.43        2500.00                 NaN   89.5675                 NaN  0.649132        1.88749                 NaN   1.43039        6.46551                 NaN            NaN            NaN
  1298.93        2500.00                 NaN   90.1320                 NaN  0.601338        1.82029                 NaN   1.35978        6.08660                 NaN            NaN            NaN
  1297.43        2500.00                 NaN   90.6523                 NaN  0.557494        1.75684                 NaN   1.29438        5.73900                 NaN            NaN            NaN
  1295.92        2500.00                 NaN   91.1105                 NaN  0.529122        1.68708                 NaN   1.23676        5.43654                 NaN            NaN            NaN
  1294.42        2500.00                 NaN   91.5233                 NaN  0.501725        1.62640                 NaN   1.18477        5.16382                 NaN            NaN            NaN
  1292.92        2500.00                 NaN   86.3037                 NaN  0.766867        2.39072                 NaN   1.89022        8.40216       0.246356                 NaN            NaN
  1291.42        2500.00                 NaN   84.3628                 NaN  0.894548        2.63691                 NaN   2.14704        9.61165       0.347073                 NaN            NaN
  1289.92        2500.00                 NaN   84.9858                 NaN  0.889163        2.50398                 NaN   2.05840        9.23236       0.330274                 NaN            NaN
  1288.41        2500.00                 NaN   85.4394                 NaN  0.886673        2.40234                 NaN   1.99215        8.96226       0.317205                 NaN            NaN
  1286.91        2500.00                 NaN   82.4999                 NaN   1.04537        2.84727                 NaN   2.45777        10.7481       0.401630                 NaN            NaN
  1285.41        2500.00                 NaN   88.7347                 NaN  0.702322        1.88548                 NaN   1.44251        7.02091       0.214056                 NaN            NaN
  1283.91        2500.00                 NaN   85.4207                 NaN  0.919167        2.37953                 NaN   1.96979        9.00906       0.301768                 NaN            NaN
  1282.41        2500.00                 NaN   84.4319                 NaN  0.988151        2.48711                 NaN   2.07957        9.69307       0.320243                 NaN            NaN
  1280.90        2500.00                 NaN   80.8688                 NaN   1.19664        3.01832                 NaN   2.51996        12.0089       0.387440                 NaN            NaN
  1279.40        2500.00       0.962491        64.9756                 NaN   1.56095        5.64669                 NaN   4.41341        22.3241       0.116750                 NaN            NaN
  1277.90        2500.00        2.15347        21.1341                 NaN   3.48851        12.7356                 NaN   9.81821        50.4473       0.222762                 NaN            NaN
  1276.40        2500.00                 NaN   30.6113                 NaN   4.25760        11.1074                 NaN   8.84302        43.8985        1.28217                 NaN            NaN
  1274.89        2500.00                 NaN   42.1366                 NaN   3.37893        9.52543                 NaN   7.44311        36.4444        1.07157                 NaN            NaN
