|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        iron           ne             lc            
  1496.22        2500.00        98.9131                 NaN            NaN  0.374278       0.709077       0.353227E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        2500.00        98.9140                 NaN            NaN  0.709620       0.372892       0.343940E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        2500.00        98.7036                 NaN            NaN  0.844294       0.448134       0.401685E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        2500.00        99.1816                 NaN            NaN  0.283353       0.532570       0.249363E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        2500.00        98.9499                 NaN            NaN  0.683012       0.363932       0.312659E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        98.9592                 NaN            NaN  0.676342       0.361467       0.301029E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        2500.00        98.9679                 NaN            NaN  0.358776       0.670409       0.293610E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        2500.00        98.9763                 NaN            NaN  0.664634       0.356272       0.282745E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        2500.00        98.9846                 NaN            NaN  0.658635       0.354049       0.273311E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        2500.00        98.9931                 NaN            NaN  0.351328       0.652901       0.264695E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        2500.00        99.0005                 NaN            NaN  0.647546       0.349431       0.257051E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        2500.00        98.9993                 NaN            NaN  0.349544       0.648676       0.249127E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        2500.00        99.0249                 NaN            NaN  0.630633       0.342146       0.237104E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        2500.00        99.0228                 NaN            NaN  0.342805       0.632068       0.232104E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        2500.00        99.0336                 NaN            NaN  0.339894       0.624265       0.222558E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        2500.00        99.0387                 NaN            NaN  0.621669       0.337447       0.214136E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        2500.00        99.0463                 NaN            NaN  0.616129       0.335485       0.205795E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        2500.00        99.0525                 NaN            NaN  0.333429       0.612083       0.198508E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.0604                 NaN            NaN  0.330997       0.606700       0.190812E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        2500.00        99.3249                 NaN            NaN  0.436870       0.236899       0.134769E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        2500.00        98.8151                 NaN            NaN  0.763702       0.418902       0.227606E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        2500.00        99.0801                 NaN            NaN  0.593511       0.324712       0.169786E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        2500.00        99.0854                 NaN            NaN  0.589633       0.323323       0.162833E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        2500.00        99.0923                 NaN            NaN  0.584989       0.321146       0.157108E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00        99.0983                 NaN            NaN  0.318676       0.581511       0.149052E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        2500.00        99.1056                 NaN            NaN  0.576509       0.316487       0.142587E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        2500.00        99.1099                 NaN            NaN  0.573564       0.315147       0.136143E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        2500.00        99.1153                 NaN            NaN  0.313294       0.570090       0.132743E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        2500.00        99.1226                 NaN            NaN  0.565424       0.310695       0.124608E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        2500.00        99.1273                 NaN            NaN  0.562105       0.309411       0.119655E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        2500.00        99.1327                 NaN            NaN  0.307413       0.558778       0.114209E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        2500.00        99.1379                 NaN            NaN  0.555694       0.305367       0.106802E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        2500.00        99.1430                 NaN            NaN  0.303700       0.552293       0.102053E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        2500.00        99.1480                 NaN            NaN  0.301896       0.549132       0.965612E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00        99.1523                 NaN            NaN  0.300571       0.546183       0.915856E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        2500.00        99.3456                 NaN            NaN  0.422497       0.231149       0.708471E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        2500.00        98.9731                 NaN            NaN  0.662167       0.363680       0.102709E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        2500.00        99.1668                 NaN            NaN  0.294728       0.537689       0.759463E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        2500.00        99.1703                 NaN            NaN  0.293240       0.535810       0.696360E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        2500.00        99.1769                 NaN            NaN  0.291019       0.531455       0.672924E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1439.35        2500.00        99.1801                 NaN            NaN  0.289720       0.529569       0.644085E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.92        2500.00        99.1828                 NaN            NaN  0.288308       0.528247       0.629293E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        2500.00        99.1894                 NaN            NaN  0.286063       0.524007       0.546036E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.08        2500.00        99.1929                 NaN            NaN  0.284603       0.522027       0.513453E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00        99.1959                 NaN            NaN  0.520455       0.283192       0.487965E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.24        2500.00        99.1993                 NaN            NaN  0.518671       0.281570       0.456006E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        2500.00        98.6503                 NaN            NaN  0.554141       0.533708                 NaN  0.261831                 NaN            NaN            NaN            NaN            NaN
  1429.39        2500.00        98.1155                 NaN            NaN  0.782139       0.582800                 NaN  0.519523                 NaN            NaN            NaN            NaN            NaN
  1427.97        2500.00        98.1454                 NaN            NaN  0.770071       0.573795                 NaN  0.510709                 NaN            NaN            NaN            NaN            NaN
  1426.55        2500.00        98.1736                 NaN            NaN  0.565470       0.758719                 NaN  0.502168                 NaN            NaN            NaN            NaN            NaN
  1425.13        2500.00        98.2004                 NaN            NaN  0.748337       0.556561                 NaN  0.494751                 NaN            NaN            NaN            NaN            NaN
  1423.71        2500.00        98.2289                 NaN            NaN  0.736488       0.548750                 NaN  0.485856                 NaN            NaN            NaN            NaN            NaN
  1422.28        2500.00        98.2545                 NaN            NaN  0.726843       0.540381                 NaN  0.478325                 NaN            NaN            NaN            NaN            NaN
  1420.86        2500.00        98.2548       0.101048                 NaN  0.571443       0.576743                 NaN  0.495981                 NaN            NaN            NaN            NaN            NaN
  1419.44        2500.00        98.2454       0.264825                 NaN  0.642078       0.320319                 NaN  0.527397                 NaN            NaN            NaN            NaN            NaN
  1418.02        2500.00        98.2696       0.264599                 NaN  0.636850       0.308690                 NaN  0.520278                 NaN            NaN            NaN            NaN            NaN
  1416.60        2500.00        98.2958       0.263512                 NaN  0.629367       0.298883                 NaN  0.512432                 NaN            NaN            NaN            NaN            NaN
  1415.17        2500.00        98.3162       0.263357                 NaN  0.624881       0.289462                 NaN  0.506143                 NaN            NaN            NaN            NaN            NaN
  1413.75        2500.00        98.3435       0.262586                 NaN  0.277117       0.618341                 NaN  0.498454                 NaN            NaN            NaN            NaN            NaN
  1412.33        2500.00        98.3644       0.261318                 NaN  0.613382       0.269164                 NaN  0.491699                 NaN            NaN            NaN            NaN            NaN
  1410.91        2500.00        98.3856       0.260898                 NaN  0.609480       0.258592                 NaN  0.485449                 NaN            NaN            NaN            NaN            NaN
  1409.49        2500.00        98.4071       0.260359                 NaN  0.604221       0.249363                 NaN  0.478922                 NaN            NaN            NaN            NaN            NaN
  1408.07        2500.00        98.4279       0.259741                 NaN  0.599648       0.240018                 NaN  0.472697                 NaN            NaN            NaN            NaN            NaN
  1406.64        2500.00        98.4480       0.258711                 NaN  0.595452       0.231281                 NaN  0.466523                 NaN            NaN            NaN            NaN            NaN
  1405.22        2500.00        98.4681       0.258101                 NaN  0.590439       0.222938                 NaN  0.460399                 NaN            NaN            NaN            NaN            NaN
  1403.80        2500.00        98.4874       0.257340                 NaN  0.585991       0.214804                 NaN  0.454473                 NaN            NaN            NaN            NaN            NaN
  1402.38        2500.00        98.5062       0.256950                 NaN  0.582183       0.205610                 NaN  0.449040                 NaN            NaN            NaN            NaN            NaN
  1400.96        2500.00        98.5261       0.255259                 NaN  0.577392       0.198721                 NaN  0.442575                 NaN            NaN            NaN            NaN            NaN
  1399.53        2500.00        98.5288       0.257393                 NaN  0.580803       0.191264                 NaN  0.441787                 NaN            NaN            NaN            NaN            NaN
  1398.11        2500.00        98.5713       0.251743                 NaN  0.566399       0.182206                 NaN  0.428316                 NaN            NaN            NaN            NaN            NaN
  1396.69        2500.00        98.5739       0.247899                 NaN  0.568825       0.182581                 NaN  0.426837                 NaN            NaN            NaN            NaN            NaN
  1395.27        2500.00        98.5947       0.258423                 NaN  0.567695       0.156549                 NaN  0.422662                 NaN            NaN            NaN            NaN            NaN
  1393.85        2500.00        98.6119       0.250616                 NaN  0.559948       0.161763                 NaN  0.415821                 NaN            NaN            NaN            NaN            NaN
  1392.42        2500.00        98.6174       0.229361                 NaN  0.200005       0.541644                 NaN  0.411623                 NaN            NaN            NaN            NaN            NaN
  1391.00        2500.00        98.6494       0.270571                 NaN  0.567928       0.104737                 NaN  0.407388                 NaN            NaN            NaN            NaN            NaN
  1389.58        2500.00        98.6596       0.247733                 NaN  0.551801       0.139748                 NaN  0.401109                 NaN            NaN            NaN            NaN            NaN
  1388.16        2500.00        98.6725       0.247062                 NaN  0.134319       0.549035                 NaN  0.397126                 NaN            NaN            NaN            NaN            NaN
  1386.74        2500.00        98.6873       0.245988                 NaN  0.546168       0.127844                 NaN  0.392652                 NaN            NaN            NaN            NaN            NaN
  1385.32        2500.00        98.7028       0.244328                 NaN  0.543331       0.121981                 NaN  0.387566                 NaN            NaN            NaN            NaN            NaN
  1383.89        2500.00        98.7149       0.243281                 NaN  0.116064       0.542178                 NaN  0.383547                 NaN            NaN            NaN            NaN            NaN
  1382.47        2500.00        98.7301       0.242187                 NaN  0.109265       0.539432                 NaN  0.379018                 NaN            NaN            NaN            NaN            NaN
  1381.05        2500.00        98.7440       0.240501                 NaN  0.536010       0.104973                 NaN  0.374482                 NaN            NaN            NaN            NaN            NaN
  1379.63        2500.00        98.7579       0.239126                 NaN  0.533830       0.991899E-001            NaN  0.369963                 NaN            NaN            NaN            NaN            NaN
  1378.21        2500.00        98.7506       0.239251                 NaN  0.545471       0.920870E-001            NaN  0.372607                 NaN            NaN            NaN            NaN            NaN
  1376.78        2500.00        98.7937       0.234453                 NaN  0.877628E-001  0.527074                 NaN  0.356971                 NaN            NaN            NaN            NaN            NaN
  1375.36        2500.00        98.5654       0.260692                 NaN  0.777866                 NaN            NaN  0.396007                 NaN            NaN            NaN            NaN            NaN
  1373.94        2500.00        99.0415       0.206387                 NaN  0.233798       0.202603                 NaN  0.315674                 NaN            NaN            NaN            NaN            NaN
  1372.52        2500.00        98.8184       0.231249                 NaN  0.742116E-001  0.526110                 NaN  0.350075                 NaN            NaN            NaN            NaN            NaN
  1371.10        2500.00        98.8292       0.229364                 NaN  0.525173       0.699138E-001            NaN  0.346381                 NaN            NaN            NaN            NaN            NaN
  1369.68        2500.00        98.8410       0.227329                 NaN  0.522616       0.667280E-001            NaN  0.342328                 NaN            NaN            NaN            NaN            NaN
  1368.25        2500.00        98.8515       0.225236                 NaN  0.627280E-001  0.521822                 NaN  0.338698                 NaN            NaN            NaN            NaN            NaN
  1366.83        2500.00        98.8627       0.223634                 NaN  0.521448       0.572534E-001            NaN  0.334999                 NaN            NaN            NaN            NaN            NaN
  1365.41        2500.00        98.8726       0.222209                 NaN  0.521824       0.514554E-001            NaN  0.331957                 NaN            NaN            NaN            NaN            NaN
  1363.99        2500.00        98.8839       0.218547                 NaN  0.520054       0.499937E-001            NaN  0.327481                 NaN            NaN            NaN            NaN            NaN
  1362.57        2500.00        98.8933       0.216700                 NaN  0.519069       0.465756E-001            NaN  0.324309                 NaN            NaN            NaN            NaN            NaN
  1361.14        2500.00        98.9035       0.214702                 NaN  0.442279E-001  0.516644                 NaN  0.320900                 NaN            NaN            NaN            NaN            NaN
  1359.72        2500.00        98.9135       0.212182                 NaN  0.516689       0.402218E-001            NaN  0.317394                 NaN            NaN            NaN            NaN            NaN
  1358.30        2500.00        98.9215       0.209664                 NaN  0.371107E-001  0.517357                 NaN  0.314402                 NaN            NaN            NaN            NaN            NaN
  1356.88        2500.00        98.9299       0.207422                 NaN  0.338279E-001  0.517226                 NaN  0.311577                 NaN            NaN            NaN            NaN            NaN
  1355.46        2500.00        98.9430       0.204449                 NaN  0.514883       0.306599E-001            NaN  0.307057                 NaN            NaN            NaN            NaN            NaN
  1354.04        2500.00        98.9495       0.201554                 NaN  0.515352       0.292094E-001            NaN  0.304390                 NaN            NaN            NaN            NaN            NaN
  1352.61        2500.00        98.9581       0.198947                 NaN  0.516123       0.254835E-001            NaN  0.301378                 NaN            NaN            NaN            NaN            NaN
  1351.19        2500.00        98.9673       0.196402                 NaN  0.515548       0.225491E-001            NaN  0.298195                 NaN            NaN            NaN            NaN            NaN
  1349.77        2500.00        98.9749       0.193197                 NaN  0.516495       0.201677E-001            NaN  0.295244                 NaN            NaN            NaN            NaN            NaN
  1348.35        2500.00        98.9808       0.189994                 NaN  0.520369       0.159959E-001            NaN  0.292848                 NaN            NaN            NaN            NaN            NaN
  1346.93        2500.00        98.9908       0.186678                 NaN  0.137248E-001  0.519617                 NaN  0.289193                 NaN            NaN            NaN            NaN            NaN
  1345.50        2500.00        98.9965       0.184081                 NaN  0.522365       0.998652E-002            NaN  0.287081                 NaN            NaN            NaN            NaN            NaN
  1344.08        2500.00        99.0069       0.180103                 NaN  0.620503E-002  0.523628                 NaN  0.283155                 NaN            NaN            NaN            NaN            NaN
  1342.66        2500.00        99.0117       0.177368                 NaN  0.529691                 NaN            NaN  0.281268                 NaN            NaN            NaN            NaN            NaN
  1341.24        2500.00        99.0088       0.147676                 NaN  0.110691       0.455107                 NaN  0.277676                 NaN            NaN            NaN            NaN            NaN
  1339.82        2500.00        99.0249       0.167487                 NaN  0.531970                 NaN            NaN  0.275627                 NaN            NaN            NaN            NaN            NaN
  1338.40        2500.00        98.9915       0.702726E-001            NaN  0.213484       0.452399                 NaN  0.272373                 NaN            NaN            NaN            NaN            NaN
  1336.97        2500.00        99.0370       0.156346                 NaN  0.536900                 NaN            NaN  0.269761                 NaN            NaN            NaN            NaN            NaN
  1335.55        2500.00        99.0490       0.167718                 NaN  0.515227                 NaN            NaN  0.268092                 NaN            NaN            NaN            NaN            NaN
  1334.13        2500.00        99.0555       0.164028                 NaN  0.514886                 NaN            NaN  0.265610                 NaN            NaN            NaN            NaN            NaN
  1332.71        2500.00        99.0586       0.154750                 NaN  0.523387                 NaN            NaN  0.263242                 NaN            NaN            NaN            NaN            NaN
  1331.29        2500.00        99.0654       0.154666                 NaN  0.518751                 NaN            NaN  0.261178                 NaN            NaN            NaN            NaN            NaN
  1329.86        2500.00        99.0687       0.146713                 NaN  0.525264                 NaN            NaN  0.258846       0.467678E-003            NaN            NaN            NaN            NaN
  1328.44        2500.00        98.9713       0.120970                 NaN  0.569978                 NaN            NaN  0.277673       0.601231E-001            NaN            NaN            NaN            NaN
  1327.02        2500.00        98.9804       0.126762                 NaN  0.555516                 NaN            NaN  0.275412       0.618861E-001            NaN            NaN            NaN            NaN
  1325.60        2500.00        99.0000       0.134659                 NaN  0.531546                 NaN            NaN  0.272106       0.616860E-001            NaN            NaN            NaN            NaN
  1324.18        2500.00        98.9978       0.124708                 NaN  0.548192                 NaN            NaN  0.269685       0.595746E-001            NaN            NaN            NaN            NaN
  1322.76        2500.00        99.0148       0.126682                 NaN  0.533355                 NaN            NaN  0.266404       0.587980E-001            NaN            NaN            NaN            NaN
  1321.33        2500.00        99.0254       0.126695                 NaN  0.526522                 NaN            NaN  0.263529       0.578438E-001            NaN            NaN            NaN            NaN
  1319.91        2500.00        99.0357       0.121151                 NaN  0.526366                 NaN            NaN  0.260406       0.563677E-001            NaN            NaN            NaN            NaN
  1318.49        2500.00        99.0463       0.124005                 NaN  0.516461                 NaN            NaN  0.257574       0.556655E-001            NaN            NaN            NaN            NaN
  1317.07        2500.00        99.0558       0.122256                 NaN  0.512394                 NaN            NaN  0.254982       0.545485E-001            NaN            NaN            NaN            NaN
  1315.65        2500.00        99.0661       0.119587                 NaN  0.508832                 NaN            NaN  0.252003       0.534570E-001            NaN            NaN            NaN            NaN
  1314.22        2500.00        99.0754       0.117275                 NaN  0.505574                 NaN            NaN  0.249374       0.523802E-001            NaN            NaN            NaN            NaN
  1312.80        2500.00        99.0846       0.114633                 NaN  0.502820                 NaN            NaN  0.246680       0.512539E-001            NaN            NaN            NaN            NaN
  1311.38        2500.00        99.0951       0.115075                 NaN  0.495442                 NaN            NaN  0.244002       0.504098E-001            NaN            NaN            NaN            NaN
  1309.96        2500.00        99.1035       0.111872                 NaN  0.493908                 NaN            NaN  0.241362       0.493166E-001            NaN            NaN            NaN            NaN
  1308.54        2500.00        99.1118       0.109585                 NaN  0.491353                 NaN            NaN  0.239006       0.482685E-001            NaN            NaN            NaN            NaN
  1307.12        2500.00        99.1196       0.106547                 NaN  0.489910                 NaN            NaN  0.236671       0.472399E-001            NaN            NaN            NaN            NaN
  1305.69        2500.00        99.1279       0.102887                 NaN  0.488887                 NaN            NaN  0.234169       0.461078E-001            NaN            NaN            NaN            NaN
  1304.27        2500.00        92.2042       0.542340                 NaN   1.86306                 NaN            NaN   1.10759       0.300877        3.98189                 NaN            NaN            NaN
  1302.85        2500.00        74.8949        1.86685                 NaN   5.07455                 NaN            NaN   3.27199       0.939637        13.9521                 NaN            NaN            NaN
  1301.43        2500.00        78.2803        1.72881                 NaN   4.32688                 NaN            NaN   2.82850       0.807407        12.0281                 NaN            NaN            NaN
  1300.01        2500.00        81.4031        1.54140                 NaN   3.69670                 NaN            NaN   2.42171       0.685268        10.2518                 NaN            NaN            NaN
  1298.58        2500.00        83.9507        1.37867                 NaN   3.18722                 NaN            NaN   2.09352       0.586137        8.80372                 NaN            NaN            NaN
  1297.16        2500.00        86.0862        1.22961                 NaN   2.76853                 NaN            NaN   1.81868       0.504375        7.59258                 NaN            NaN            NaN
  1295.74        2500.00        87.8192        1.10219                 NaN   2.43536                 NaN            NaN   1.59606       0.438367        6.60885                 NaN            NaN            NaN
  1294.32        2500.00        83.6081       0.203140                 NaN   3.79632                 NaN            NaN   2.13977       0.521095        9.04240       0.689202                 NaN            NaN
  1292.90        2500.00        82.4702                 NaN            NaN   4.07171                 NaN            NaN   2.30110       0.528005        9.69840       0.930557                 NaN            NaN
  1291.48        2500.00        84.7482                 NaN            NaN   3.51896                 NaN            NaN   1.99819       0.461774        8.45481       0.818072                 NaN            NaN
  1290.05        2500.00        86.8188                 NaN            NaN   3.04143                 NaN            NaN   1.72650       0.400840        7.30487       0.707553                 NaN            NaN
  1288.63        2500.00        88.9489                 NaN            NaN   2.55131                 NaN            NaN   1.44389       0.336635        6.12307       0.596165                 NaN            NaN
  1287.21        2500.00        89.0302                 NaN            NaN   2.52439                 NaN            NaN   1.43455       0.336709        6.08037       0.593743                 NaN            NaN
  1285.79        2500.00        92.1356                 NaN            NaN   1.83230                 NaN            NaN   1.02345       0.240970        4.34695       0.420743                 NaN            NaN
  1284.37        2500.00        91.3945                 NaN            NaN   1.99305                 NaN            NaN   1.12568       0.265022        4.75743       0.464364                 NaN            NaN
  1282.94        2500.00        92.4852                 NaN            NaN   1.74882                 NaN            NaN  0.981183       0.232585        4.14922       0.402946                 NaN            NaN
  1281.52        2500.00        93.1308                 NaN            NaN   1.58840                 NaN  0.338901       0.868245                 NaN   3.79168       0.281951                 NaN            NaN
  1280.10        2500.00        93.3668                 NaN            NaN   1.55033                 NaN  0.335496       0.838170                 NaN   3.64752       0.261641                 NaN            NaN
