|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             ilm            San(TH)        iron           ne             lc            
  1513.28        2500.00        99.3964                 NaN            NaN  0.602356                 NaN  0.125819E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        2500.00        99.3868                 NaN            NaN  0.608650                 NaN  0.454730E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        2500.00        99.3857                 NaN            NaN  0.609768                 NaN  0.449930E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        2500.00        99.3838                 NaN            NaN  0.611757                 NaN  0.445677E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        2500.00        99.3812                 NaN            NaN  0.614395                 NaN  0.441508E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        2500.00        99.3779                 NaN            NaN  0.617707                 NaN  0.436876E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        2500.00        99.3743                 NaN            NaN  0.621379                 NaN  0.432431E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        2500.00        99.3710                 NaN            NaN  0.624728                 NaN  0.428408E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        2500.00        99.3643                 NaN            NaN  0.631507                 NaN  0.423629E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        2500.00        99.3577                 NaN            NaN  0.638090                 NaN  0.417334E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        2500.00        99.3489                 NaN            NaN  0.647022                 NaN  0.411414E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        2500.00        99.2527                 NaN            NaN  0.560689       0.182998       0.356553E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        2500.00        99.0502                 NaN            NaN  0.325658       0.621889       0.227929E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        2500.00        99.0512                 NaN            NaN  0.622208       0.324420       0.222111E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        2500.00        98.8677                 NaN            NaN  0.740062       0.389609       0.259500E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        2500.00        99.2859                 NaN            NaN  0.246078       0.466406       0.161076E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        2500.00        99.0839                 NaN            NaN  0.598102       0.315981       0.202105E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        2500.00        99.0923                 NaN            NaN  0.592054       0.313687       0.194699E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        2500.00        99.1003                 NaN            NaN  0.311172       0.586610       0.189974E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        2500.00        99.1080                 NaN            NaN  0.581329       0.308836       0.183036E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        2500.00        99.1156                 NaN            NaN  0.575855       0.306740       0.177014E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        2500.00        99.1234                 NaN            NaN  0.304230       0.570617       0.171529E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        2500.00        99.1302                 NaN            NaN  0.565707       0.302407       0.166655E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        2500.00        99.1296                 NaN            NaN  0.302316       0.566440       0.161534E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        2500.00        99.1523                 NaN            NaN  0.550443       0.295753       0.153854E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        2500.00        99.1508                 NaN            NaN  0.296170       0.551518       0.150699E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        2500.00        99.1606                 NaN            NaN  0.293500       0.544476       0.144570E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        2500.00        99.1655                 NaN            NaN  0.541944       0.291211       0.139156E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        2500.00        99.1724                 NaN            NaN  0.536895       0.289345       0.133806E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        2500.00        99.1782                 NaN            NaN  0.287389       0.533123       0.129127E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        2500.00        99.1854                 NaN            NaN  0.285123       0.528191       0.124176E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        2500.00        99.4152                 NaN            NaN  0.380049       0.203890       0.877251E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        2500.00        98.9733                 NaN            NaN  0.664607       0.360598       0.148333E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        2500.00        99.2036                 NaN            NaN  0.516049       0.279236       0.110673E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        2500.00        99.2086                 NaN            NaN  0.512460       0.277874       0.106191E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        2500.00        99.2149                 NaN            NaN  0.508193       0.275839       0.102507E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        2500.00        99.2205                 NaN            NaN  0.273574       0.504929       0.973002E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        2500.00        99.2272                 NaN            NaN  0.500339       0.271495       0.931268E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        2500.00        99.2313                 NaN            NaN  0.497604       0.270212       0.889753E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        2500.00        99.2364                 NaN            NaN  0.268415       0.494294       0.867967E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        2500.00        99.2431                 NaN            NaN  0.490032       0.266039       0.815052E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        2500.00        99.2475                 NaN            NaN  0.486950       0.264782       0.783223E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        2500.00        99.2525                 NaN            NaN  0.262916       0.483835       0.747991E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        2500.00        99.2574                 NaN            NaN  0.480898       0.260982       0.699749E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        2500.00        99.2622                 NaN            NaN  0.259399       0.477733       0.669076E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        2500.00        99.2669                 NaN            NaN  0.257701       0.474772       0.633436E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        2500.00        99.2710                 NaN            NaN  0.256388       0.471981       0.601051E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        2500.00        99.4378                 NaN            NaN  0.364765       0.196966       0.465140E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        2500.00        99.1176                 NaN            NaN  0.571781       0.309922       0.674973E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        2500.00        99.2846                 NaN            NaN  0.250933       0.463931       0.499365E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        2500.00        99.2880                 NaN            NaN  0.249491       0.462060       0.458227E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1440.77        2500.00        99.2941                 NaN            NaN  0.247430       0.458049       0.442856E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1439.35        2500.00        99.2972                 NaN            NaN  0.246174       0.456204       0.424217E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1437.92        2500.00        99.2999                 NaN            NaN  0.244842       0.454868       0.414622E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        2500.00        99.3060                 NaN            NaN  0.242737       0.450918       0.360060E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1435.08        2500.00        99.3093                 NaN            NaN  0.241342       0.448982       0.338744E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1433.66        2500.00        99.3123                 NaN            NaN  0.447382       0.239978       0.322134E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1432.24        2500.00        99.3157                 NaN            NaN  0.445583       0.238431       0.301191E-003            NaN            NaN            NaN            NaN            NaN            NaN
  1430.81        2500.00        98.7980                 NaN            NaN  0.475962       0.451786                 NaN  0.274231                 NaN            NaN            NaN            NaN            NaN
  1429.39        2500.00        98.2938                 NaN            NaN  0.661705       0.500347                 NaN  0.544190                 NaN            NaN            NaN            NaN            NaN
  1427.97        2500.00        98.3219                 NaN            NaN  0.650960       0.492276                 NaN  0.534837                 NaN            NaN            NaN            NaN            NaN
  1426.55        2500.00        98.3487                 NaN            NaN  0.484774       0.640804                 NaN  0.525772                 NaN            NaN            NaN            NaN            NaN
  1425.13        2500.00        98.3738                 NaN            NaN  0.631500       0.476793                 NaN  0.517883                 NaN            NaN            NaN            NaN            NaN
  1423.71        2500.00        98.4008                 NaN            NaN  0.620960       0.469753                 NaN  0.508448                 NaN            NaN            NaN            NaN            NaN
  1422.28        2500.00        98.4250                 NaN            NaN  0.612314       0.462273                 NaN  0.500442                 NaN            NaN            NaN            NaN            NaN
  1420.86        2500.00        98.4283       0.791236E-001            NaN  0.480911       0.492919                 NaN  0.518753                 NaN            NaN            NaN            NaN            NaN
  1419.44        2500.00        98.4241       0.206932                 NaN  0.548280       0.269311                 NaN  0.551358                 NaN            NaN            NaN            NaN            NaN
  1418.02        2500.00        98.4475       0.206388                 NaN  0.543261       0.259236                 NaN  0.543626                 NaN            NaN            NaN            NaN            NaN
  1416.60        2500.00        98.4727       0.205098                 NaN  0.536316       0.250716                 NaN  0.535136                 NaN            NaN            NaN            NaN            NaN
  1415.17        2500.00        98.4928       0.204522                 NaN  0.531898       0.242527                 NaN  0.528279                 NaN            NaN            NaN            NaN            NaN
  1413.75        2500.00        98.5186       0.203551                 NaN  0.231964       0.525901                 NaN  0.519957                 NaN            NaN            NaN            NaN            NaN
  1412.33        2500.00        98.5392       0.202143                 NaN  0.521028       0.225000                 NaN  0.512620                 NaN            NaN            NaN            NaN            NaN
  1410.91        2500.00        98.5597       0.201416                 NaN  0.517173       0.215918                 NaN  0.505810                 NaN            NaN            NaN            NaN            NaN
  1409.49        2500.00        98.5806       0.200589                 NaN  0.512170       0.207976                 NaN  0.498714                 NaN            NaN            NaN            NaN            NaN
  1408.07        2500.00        98.6007       0.199722                 NaN  0.507732       0.199944                 NaN  0.491935                 NaN            NaN            NaN            NaN            NaN
  1406.64        2500.00        98.6202       0.198489                 NaN  0.503617       0.192438                 NaN  0.485215                 NaN            NaN            NaN            NaN            NaN
  1405.22        2500.00        98.6397       0.197626                 NaN  0.498822       0.185278                 NaN  0.478548                 NaN            NaN            NaN            NaN            NaN
  1403.80        2500.00        98.6585       0.196647                 NaN  0.494498       0.178302                 NaN  0.472093                 NaN            NaN            NaN            NaN            NaN
  1402.38        2500.00        98.6766       0.195977                 NaN  0.490768       0.170483                 NaN  0.466152                 NaN            NaN            NaN            NaN            NaN
  1400.96        2500.00        98.6959       0.194261                 NaN  0.486142       0.164562                 NaN  0.459144                 NaN            NaN            NaN            NaN            NaN
  1399.53        2500.00        98.7000       0.195398                 NaN  0.488425       0.158186                 NaN  0.458032                 NaN            NaN            NaN            NaN            NaN
  1398.11        2500.00        98.7391       0.190787                 NaN  0.475805       0.150533                 NaN  0.443761                 NaN            NaN            NaN            NaN            NaN
  1396.69        2500.00        98.7427       0.187487                 NaN  0.477171       0.150662                 NaN  0.441941                 NaN            NaN            NaN            NaN            NaN
  1395.27        2500.00        98.7627       0.195130                 NaN  0.475795       0.129027                 NaN  0.437317                 NaN            NaN            NaN            NaN            NaN
  1393.85        2500.00        98.7794       0.188793                 NaN  0.468720       0.133157                 NaN  0.429944                 NaN            NaN            NaN            NaN            NaN
  1392.42        2500.00        98.7851       0.172331                 NaN  0.164273       0.452956                 NaN  0.425319                 NaN            NaN            NaN            NaN            NaN
  1391.00        2500.00        98.8161       0.202988                 NaN  0.474294       0.860154E-001            NaN  0.420637                 NaN            NaN            NaN            NaN            NaN
  1389.58        2500.00        98.8258       0.185483                 NaN  0.460237       0.114620                 NaN  0.413860                 NaN            NaN            NaN            NaN            NaN
  1388.16        2500.00        98.8385       0.184590                 NaN  0.110034       0.457377                 NaN  0.409460                 NaN            NaN            NaN            NaN            NaN
  1386.74        2500.00        98.8530       0.183416                 NaN  0.454455       0.104609                 NaN  0.404554                 NaN            NaN            NaN            NaN            NaN
  1385.32        2500.00        98.8679       0.181834                 NaN  0.451528       0.996860E-001            NaN  0.399022                 NaN            NaN            NaN            NaN            NaN
  1383.89        2500.00        98.8800       0.180652                 NaN  0.947321E-001  0.449984                 NaN  0.394595                 NaN            NaN            NaN            NaN            NaN
  1382.47        2500.00        98.8945       0.179552                 NaN  0.890840E-001  0.447201                 NaN  0.389646                 NaN            NaN            NaN            NaN            NaN
  1381.05        2500.00        98.9082       0.177901                 NaN  0.443765       0.854722E-001            NaN  0.384695                 NaN            NaN            NaN            NaN            NaN
  1379.63        2500.00        98.9216       0.176543                 NaN  0.441461       0.806754E-001            NaN  0.379766                 NaN            NaN            NaN            NaN            NaN
  1378.21        2500.00        98.9165       0.176110                 NaN  0.450360       0.747901E-001            NaN  0.382196                 NaN            NaN            NaN            NaN            NaN
  1376.78        2500.00        98.9558       0.172386                 NaN  0.712032E-001  0.434736                 NaN  0.365866                 NaN            NaN            NaN            NaN            NaN
  1375.36        2500.00        98.7614       0.191018                 NaN  0.641926                 NaN            NaN  0.405661                 NaN            NaN            NaN            NaN            NaN
  1373.94        2500.00        99.1702       0.151070                 NaN  0.189154       0.166616                 NaN  0.322933                 NaN            NaN            NaN            NaN            NaN
  1372.52        2500.00        98.9807       0.169000                 NaN  0.599974E-001  0.432317                 NaN  0.357969                 NaN            NaN            NaN            NaN            NaN
  1371.10        2500.00        98.9914       0.167306                 NaN  0.430923       0.564509E-001            NaN  0.353913                 NaN            NaN            NaN            NaN            NaN
  1369.68        2500.00        99.0029       0.165460                 NaN  0.428316       0.538156E-001            NaN  0.349496                 NaN            NaN            NaN            NaN            NaN
  1368.25        2500.00        99.0133       0.163614                 NaN  0.505279E-001  0.427092                 NaN  0.345515                 NaN            NaN            NaN            NaN            NaN
  1366.83        2500.00        99.0241       0.162127                 NaN  0.426214       0.460623E-001            NaN  0.341468                 NaN            NaN            NaN            NaN            NaN
  1365.41        2500.00        99.0338       0.160801                 NaN  0.425955       0.413520E-001            NaN  0.338094                 NaN            NaN            NaN            NaN            NaN
  1363.99        2500.00        99.0448       0.157830                 NaN  0.423939       0.401276E-001            NaN  0.333266                 NaN            NaN            NaN            NaN            NaN
  1362.57        2500.00        99.0541       0.156183                 NaN  0.422570       0.373381E-001            NaN  0.329771                 NaN            NaN            NaN            NaN            NaN
  1361.14        2500.00        99.0641       0.154431                 NaN  0.354154E-001  0.420061                 NaN  0.326037                 NaN            NaN            NaN            NaN            NaN
  1359.72        2500.00        99.0738       0.152318                 NaN  0.419539       0.321708E-001            NaN  0.322210                 NaN            NaN            NaN            NaN            NaN
  1358.30        2500.00        99.0818       0.150196                 NaN  0.296457E-001  0.419470                 NaN  0.318912                 NaN            NaN            NaN            NaN            NaN
  1356.88        2500.00        99.0901       0.148307                 NaN  0.269934E-001  0.418793                 NaN  0.315784                 NaN            NaN            NaN            NaN            NaN
  1355.46        2500.00        99.1023       0.145919                 NaN  0.416390       0.244387E-001            NaN  0.310944                 NaN            NaN            NaN            NaN            NaN
  1354.04        2500.00        99.1091       0.143556                 NaN  0.416152       0.232539E-001            NaN  0.307987                 NaN            NaN            NaN            NaN            NaN
  1352.61        2500.00        99.1174       0.141420                 NaN  0.416211       0.202652E-001            NaN  0.304685                 NaN            NaN            NaN            NaN            NaN
  1351.19        2500.00        99.1263       0.139359                 NaN  0.415213       0.179126E-001            NaN  0.301214                 NaN            NaN            NaN            NaN            NaN
  1349.77        2500.00        99.1338       0.136806                 NaN  0.415361       0.160020E-001            NaN  0.297983                 NaN            NaN            NaN            NaN            NaN
  1348.35        2500.00        99.1399       0.134253                 NaN  0.417820       0.126773E-001            NaN  0.295315                 NaN            NaN            NaN            NaN            NaN
  1346.93        2500.00        99.1494       0.131685                 NaN  0.108661E-001  0.416691                 NaN  0.291382                 NaN            NaN            NaN            NaN            NaN
  1345.50        2500.00        99.1552       0.129631                 NaN  0.418267       0.789752E-002            NaN  0.289010                 NaN            NaN            NaN            NaN            NaN
  1344.08        2500.00        99.1650       0.126560                 NaN  0.490213E-002  0.418705                 NaN  0.284815                 NaN            NaN            NaN            NaN            NaN
  1342.66        2500.00        99.1700       0.124403                 NaN  0.422875                 NaN            NaN  0.282677                 NaN            NaN            NaN            NaN            NaN
  1341.24        2500.00        99.1677       0.103379                 NaN  0.872690E-001  0.362858                 NaN  0.278835                 NaN            NaN            NaN            NaN            NaN
  1339.82        2500.00        99.1829       0.117056                 NaN  0.423490                 NaN            NaN  0.276540                 NaN            NaN            NaN            NaN            NaN
  1338.40        2500.00        99.1522       0.490041E-001            NaN  0.169722       0.355968                 NaN  0.273064                 NaN            NaN            NaN            NaN            NaN
  1336.97        2500.00        99.1949       0.108837                 NaN  0.426100                 NaN            NaN  0.270207                 NaN            NaN            NaN            NaN            NaN
  1335.55        2500.00        99.2063       0.116515                 NaN  0.408877                 NaN            NaN  0.268303                 NaN            NaN            NaN            NaN            NaN
  1334.13        2500.00        99.2126       0.113758                 NaN  0.408052                 NaN            NaN  0.265590                 NaN            NaN            NaN            NaN            NaN
  1332.71        2500.00        99.2159       0.107105                 NaN  0.413996                 NaN            NaN  0.262996                 NaN            NaN            NaN            NaN            NaN
  1331.29        2500.00        99.2226       0.106829                 NaN  0.409865                 NaN            NaN  0.260708                 NaN            NaN            NaN            NaN            NaN
  1329.86        2500.00        99.2261       0.101168                 NaN  0.414296                 NaN            NaN  0.258158       0.272616E-003            NaN            NaN            NaN            NaN
  1328.44        2500.00        99.1561       0.833048E-001            NaN  0.448877                 NaN            NaN  0.276708       0.350171E-001            NaN            NaN            NaN            NaN
  1327.02        2500.00        99.1656       0.870817E-001            NaN  0.437212                 NaN            NaN  0.274149       0.360032E-001            NaN            NaN            NaN            NaN
  1325.60        2500.00        99.1832       0.922811E-001            NaN  0.418130                 NaN            NaN  0.270551       0.358453E-001            NaN            NaN            NaN            NaN
  1324.18        2500.00        99.1820       0.853296E-001            NaN  0.430289                 NaN            NaN  0.267847       0.345795E-001            NaN            NaN            NaN            NaN
  1322.76        2500.00        99.1969       0.865109E-001            NaN  0.418186                 NaN            NaN  0.264291       0.340896E-001            NaN            NaN            NaN            NaN
  1321.33        2500.00        99.2067       0.863456E-001            NaN  0.412331                 NaN            NaN  0.261146       0.334983E-001            NaN            NaN            NaN            NaN
  1319.91        2500.00        99.2157       0.824202E-001            NaN  0.411475                 NaN            NaN  0.257764       0.326066E-001            NaN            NaN            NaN            NaN
  1318.49        2500.00        99.2256       0.841788E-001            NaN  0.403366                 NaN            NaN  0.254679       0.321641E-001            NaN            NaN            NaN            NaN
  1317.07        2500.00        99.2343       0.828187E-001            NaN  0.399574                 NaN            NaN  0.251838       0.314832E-001            NaN            NaN            NaN            NaN
  1315.65        2500.00        99.2434       0.808686E-001            NaN  0.396260                 NaN            NaN  0.248620       0.308187E-001            NaN            NaN            NaN            NaN
  1314.22        2500.00        99.2518       0.791542E-001            NaN  0.393161                 NaN            NaN  0.245757       0.301642E-001            NaN            NaN            NaN            NaN
  1312.80        2500.00        99.2600       0.772271E-001            NaN  0.390438                 NaN            NaN  0.242837       0.294828E-001            NaN            NaN            NaN            NaN
  1311.38        2500.00        99.2695       0.773713E-001            NaN  0.384264                 NaN            NaN  0.239939       0.289651E-001            NaN            NaN            NaN            NaN
  1309.96        2500.00        99.2770       0.750839E-001            NaN  0.382521                 NaN            NaN  0.237086       0.283057E-001            NaN            NaN            NaN            NaN
  1308.54        2500.00        99.2844       0.734079E-001            NaN  0.379962                 NaN            NaN  0.234518       0.276738E-001            NaN            NaN            NaN            NaN
  1307.12        2500.00        99.2914       0.712519E-001            NaN  0.378285                 NaN            NaN  0.231978       0.270545E-001            NaN            NaN            NaN            NaN
  1305.69        2500.00        99.2987       0.686685E-001            NaN  0.376934                 NaN            NaN  0.229281       0.263774E-001            NaN            NaN            NaN            NaN
  1304.27        2500.00        92.7285       0.362551                 NaN   1.44300                 NaN            NaN   1.08825       0.172724        4.20495                 NaN            NaN            NaN
  1302.85        2500.00        76.0720        1.25539                 NaN   3.98072                 NaN            NaN   3.25015       0.545323        14.8964                 NaN            NaN            NaN
  1301.43        2500.00        79.3501        1.15673                 NaN   3.39184                 NaN            NaN   2.80609       0.467987        12.8272                 NaN            NaN            NaN
  1300.01        2500.00        82.3632        1.02599                 NaN   2.89493                 NaN            NaN   2.39946       0.396678        10.9198                 NaN            NaN            NaN
  1298.58        2500.00        84.8140       0.913962                 NaN   2.49345                 NaN            NaN   2.07199       0.338913        9.36769                 NaN            NaN            NaN
  1297.16        2500.00        86.8630       0.812241                 NaN   2.16394                 NaN            NaN   1.79814       0.291334        8.07133                 NaN            NaN            NaN
  1295.74        2500.00        88.5231       0.725694                 NaN   1.90193                 NaN            NaN   1.57659       0.252971        7.01967                 NaN            NaN            NaN
  1294.32        2500.00        84.5892       0.134088                 NaN   2.97612                 NaN            NaN   2.11984       0.301583        9.63370       0.245485                 NaN            NaN
  1292.90        2500.00        83.5545                 NaN            NaN   3.19656                 NaN            NaN   2.27935       0.305534        10.3327       0.331394                 NaN            NaN
  1291.48        2500.00        85.7299                 NaN            NaN   2.75858                 NaN            NaN   1.97322       0.266383        8.98151       0.290429                 NaN            NaN
  1290.05        2500.00        87.7013                 NaN            NaN   2.37951                 NaN            NaN   1.69994       0.230551        7.73828       0.250449                 NaN            NaN
  1288.63        2500.00        89.7172                 NaN            NaN   1.99362                 NaN            NaN   1.41753       0.193054        6.46822       0.210397                 NaN            NaN
  1287.21        2500.00        89.8065                 NaN            NaN   1.97082                 NaN            NaN   1.40624       0.192804        6.41437       0.209221                 NaN            NaN
  1285.79        2500.00        92.7174                 NaN            NaN   1.42761                 NaN            NaN  0.999673       0.137486        4.57013       0.147724                 NaN            NaN
  1284.37        2500.00        92.0362                 NaN            NaN   1.55314                 NaN            NaN   1.09870       0.151094        4.99800       0.162912                 NaN            NaN
  1282.94        2500.00        93.0593                 NaN            NaN   1.36162                 NaN            NaN  0.955610       0.132313        4.35014       0.141055                 NaN            NaN
  1281.52        2500.00        93.6553                 NaN            NaN   1.23559                 NaN  0.197777       0.844025                 NaN   3.96878       0.985100E-001            NaN            NaN
