|6.6.6
Archiving\03_Data\Deqfrac/QFM_m1.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         q              hed           
  1593.79        2500.00        99.2559       0.663346       0.807195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.25        2500.00        99.2615       0.659343       0.791365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.70        2500.00        99.2153       0.701283       0.833839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.16        2500.00        99.3294       0.598332       0.722723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.62        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        2500.00        98.5754        1.27311       0.151468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.53        2500.00        99.2946       0.631551       0.738202E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.99        2500.00        99.3020       0.625052       0.729499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.3051       0.622917       0.720299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.91        2500.00        99.3191       0.609253       0.716771E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.36        2500.00        99.3188       0.611771       0.694521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.82        2500.00        99.3271       0.604033       0.688891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.28        2500.00        99.3312       0.600942       0.678885E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.3387       0.594708       0.666296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.20        2500.00        99.3120       0.619043       0.689538E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.65        2500.00        99.3786       0.560367       0.610584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.11        2500.00        99.3561       0.579537       0.643210E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00        99.3564       0.580443       0.631227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.03        2500.00        99.3668       0.572874       0.602811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.48        2500.00        99.3689       0.570355       0.607359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1562.94        2500.00        99.3751       0.564360       0.605541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.3798       0.562846       0.573401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.86        2500.00        99.3852       0.557473       0.573590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.31        2500.00        99.3899       0.553222       0.568766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.77        2500.00        99.3944       0.549768       0.558155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.23        2500.00        99.3979       0.546308       0.558079E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.69        2500.00        99.4061       0.539716       0.541936E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.15        2500.00        99.4081       0.539346       0.525883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.60        2500.00        99.4122       0.536629       0.511865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.06        2500.00        99.4152       0.533319       0.515307E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.52        2500.00        99.3796       0.565531       0.548605E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        2500.00        99.4702       0.484145       0.456127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.43        2500.00        99.4290       0.522334       0.486277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.89        2500.00        99.4334       0.520081       0.464938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.3629       0.585006       0.520963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        2500.00        99.6741       0.298956       0.269795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.26        2500.00        99.2854       0.658107       0.565339E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.72        2500.00        98.8858        1.02984       0.843856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.18        2500.00        99.8601       0.128781       0.111466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.64        2500.00        99.6136       0.356486       0.299375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00        99.4583       0.501754       0.399882E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.55        2500.00        99.9861                 NaN  0.138826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.01        2500.00        98.9417       0.995390       0.628975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.47        2500.00        99.4670       0.495151       0.378137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        99.4744       0.488437       0.371613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.38        2500.00        99.4775       0.486122       0.363818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.84        2500.00        99.4790       0.485859       0.351853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.4832       0.481097       0.357515E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.76        2500.00        99.4852       0.480835       0.339978E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.21        2500.00        99.4857       0.481716       0.325899E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.67        2500.00        99.2752       0.684204       0.405507E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.13        2500.00        99.7363       0.247161       0.165142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.59        2500.00        99.4656       0.502399       0.319911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.05        2500.00        99.4995       0.471279       0.292286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.50        2500.00        99.3437                 NaN            NaN  0.656315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00        99.2977                 NaN  0.444788E-002  0.697861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.42        2500.00        99.2891                 NaN            NaN  0.710914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.88        2500.00        99.2801                 NaN            NaN  0.719945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.33        2500.00        99.0618                 NaN            NaN  0.356811       0.581426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.79        2500.00        98.8471                 NaN            NaN  0.725378       0.427568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        98.8599                 NaN            NaN  0.717693       0.422391                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.71        2500.00        98.8710                 NaN            NaN  0.417607       0.711370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.16        2500.00        98.8805                 NaN            NaN  0.705045       0.414434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00        98.8959                 NaN  0.178988E-001  0.381824       0.704334                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.08        2500.00        98.9082                 NaN  0.341357E-001  0.352876       0.704827                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.54        2500.00        98.9177                 NaN  0.327696E-001  0.698178       0.351313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.00        2500.00        98.9296                 NaN  0.313111E-001  0.690967       0.348144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.45        2500.00        99.1406                 NaN  0.246481E-001  0.279825       0.554898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.91        2500.00        98.7416                 NaN  0.343386E-001  0.811223       0.412868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.37        2500.00        98.9590                 NaN  0.278136E-001  0.340850       0.672349                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00        98.9647                 NaN  0.266937E-001  0.669014       0.339598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.28        2500.00        99.1216                 NaN  0.215882E-001  0.289467       0.567362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.74        2500.00        98.8366                 NaN  0.276144E-001  0.384317       0.751493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        98.9943                 NaN  0.228806E-001  0.333737       0.649038                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.66        2500.00        98.9989                 NaN  0.220177E-001  0.646647       0.332440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.11        2500.00        99.2702                 NaN  0.160765E-001  0.473929       0.239815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.57        2500.00        98.7519                 NaN  0.244202E-001  0.805681       0.418046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.03        2500.00        99.0235                 NaN  0.186878E-001  0.631387       0.326453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.49        2500.00        99.0283                 NaN  0.176995E-001  0.629464       0.324487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.95        2500.00        99.0403                 NaN  0.165218E-001  0.620618       0.322585                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.40        2500.00        99.0377                 NaN  0.159707E-001  0.619208       0.327131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.0575                 NaN  0.149817E-001  0.316660       0.610824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.32        2500.00        99.0608                 NaN  0.133988E-001  0.318451       0.607336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.78        2500.00        99.0667                 NaN  0.127530E-001  0.315448       0.605125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.23        2500.00        99.0724                 NaN  0.118939E-001  0.601566       0.314146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00        99.0771                 NaN  0.110076E-001  0.312727       0.599118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00        99.0835                 NaN  0.102348E-001  0.595422       0.310882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.61        2500.00        97.5121                 NaN  0.210880       0.813958       0.685856                 NaN  0.777192                 NaN            NaN            NaN            NaN            NaN
  1458.06        2500.00        97.0809                 NaN  0.272153       0.866911       0.779341                 NaN   1.00073                 NaN            NaN            NaN            NaN            NaN
  1456.52        2500.00        97.1525                 NaN  0.269742       0.848618       0.751965                 NaN  0.977222                 NaN            NaN            NaN            NaN            NaN
  1454.98        2500.00        97.2202                 NaN  0.267393       0.831265       0.726020                 NaN  0.955133                 NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        97.2874                 NaN  0.264947       0.814069       0.700690                 NaN  0.932904                 NaN            NaN            NaN            NaN            NaN
  1451.90        2500.00        97.3499                 NaN  0.262790       0.797986       0.676948                 NaN  0.912377                 NaN            NaN            NaN            NaN            NaN
  1450.35        2500.00        97.3846                 NaN  0.264240       0.663242       0.785290                 NaN  0.902591                 NaN            NaN            NaN            NaN            NaN
  1448.81        2500.00        97.4978                 NaN  0.254984       0.625508       0.759736                 NaN  0.861977                 NaN            NaN            NaN            NaN            NaN
  1447.27        2500.00        97.6363                 NaN  0.245837       0.718883       0.582114                 NaN  0.816893                 NaN            NaN            NaN            NaN            NaN
  1445.73        2500.00        97.4591                 NaN  0.267755       0.618921       0.775252                 NaN  0.878971                 NaN            NaN            NaN            NaN            NaN
  1444.18        2500.00        97.6434                 NaN  0.250757       0.721491       0.569437                 NaN  0.814911                 NaN            NaN            NaN            NaN            NaN
  1442.64        2500.00        97.6818                 NaN  0.251312       0.713175       0.550821                 NaN  0.802905                 NaN            NaN            NaN            NaN            NaN
  1441.10        2500.00        97.7312                 NaN  0.249541       0.532492       0.700027                 NaN  0.786699                 NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        97.7769                 NaN  0.248085       0.688286       0.515060                 NaN  0.771666                 NaN            NaN            NaN            NaN            NaN
  1438.01        2500.00        97.8230                 NaN  0.246464       0.497662       0.676558                 NaN  0.756331                 NaN            NaN            NaN            NaN            NaN
  1436.47        2500.00        97.8645                 NaN  0.245369       0.666038       0.481527                 NaN  0.742564                 NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        97.9085                 NaN  0.243551       0.654544       0.465399                 NaN  0.727990                 NaN            NaN            NaN            NaN            NaN
  1433.39        2500.00        97.9469                 NaN  0.242761       0.449550       0.645278                 NaN  0.715488                 NaN            NaN            NaN            NaN            NaN
  1431.85        2500.00        97.9909                 NaN  0.240412       0.434866       0.633374                 NaN  0.700456                 NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        96.8304                 NaN  0.352631       0.727273       0.985367                 NaN   1.10433                 NaN            NaN            NaN            NaN            NaN
  1428.76        2500.00        99.2676                 NaN  0.126035       0.249939       0.967105E-001            NaN  0.259751                 NaN            NaN            NaN            NaN            NaN
  1427.22        2500.00        98.0934                 NaN  0.237688       0.607835       0.393869                 NaN  0.667161                 NaN            NaN            NaN            NaN            NaN
  1425.68        2500.00        98.1411                 NaN  0.235570       0.595113       0.377968                 NaN  0.650265                 NaN            NaN            NaN            NaN            NaN
  1424.13        2500.00        98.1658                 NaN  0.235442       0.589229       0.367054                 NaN  0.642445                 NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00        98.2000                 NaN  0.234168       0.581070       0.353710                 NaN  0.631078                 NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00        98.2352                 NaN  0.232383       0.342182       0.571335                 NaN  0.618878                 NaN            NaN            NaN            NaN            NaN
  1419.51        2500.00        98.2630                 NaN  0.231869       0.564761       0.330636                 NaN  0.609764                 NaN            NaN            NaN            NaN            NaN
  1417.96        2500.00        98.2920                 NaN  0.231228       0.318991       0.557786                 NaN  0.600039                 NaN            NaN            NaN            NaN            NaN
  1416.42        2500.00        98.3209                 NaN  0.230113       0.550377       0.308208                 NaN  0.590369                 NaN            NaN            NaN            NaN            NaN
  1414.88        2500.00        98.3155                 NaN  0.239059       0.557883       0.291397                 NaN  0.596117                 NaN            NaN            NaN            NaN            NaN
  1413.34        2500.00        98.4097                 NaN  0.218286       0.293335       0.521748                 NaN  0.556933                 NaN            NaN            NaN            NaN            NaN
  1411.80        2500.00        98.4029                 NaN  0.227414       0.530130       0.276907                 NaN  0.562670                 NaN            NaN            NaN            NaN            NaN
  1410.25        2500.00        98.4261                 NaN  0.227091       0.266590       0.525208                 NaN  0.554982                 NaN            NaN            NaN            NaN            NaN
  1408.71        2500.00        98.4553                 NaN  0.225242       0.516587       0.258075                 NaN  0.544844                 NaN            NaN            NaN            NaN            NaN
  1407.17        2500.00        98.4779                 NaN  0.224926       0.248236       0.511353                 NaN  0.537551                 NaN            NaN            NaN            NaN            NaN
  1405.63        2500.00        98.4959                 NaN  0.225466       0.507217       0.239832                 NaN  0.531618                 NaN            NaN            NaN            NaN            NaN
  1404.08        2500.00        98.5056                 NaN  0.228491       0.501969       0.233548                 NaN  0.530384                 NaN            NaN            NaN            NaN            NaN
  1402.54        2500.00        98.5780                 NaN  0.215371       0.484092       0.221663                 NaN  0.500825                 NaN            NaN            NaN            NaN            NaN
  1401.00        2500.00        98.5707                 NaN  0.221438       0.488396       0.213723                 NaN  0.505770                 NaN            NaN            NaN            NaN            NaN
  1399.46        2500.00        98.5922                 NaN  0.220416       0.205676       0.483330                 NaN  0.498374                 NaN            NaN            NaN            NaN            NaN
  1397.91        2500.00        98.6121                 NaN  0.219600       0.197797       0.478999                 NaN  0.491483                 NaN            NaN            NaN            NaN            NaN
  1396.37        2500.00        98.6338                 NaN  0.218729       0.473384       0.189949                 NaN  0.484128                 NaN            NaN            NaN            NaN            NaN
  1394.83        2500.00        98.6543                 NaN  0.217843       0.468321       0.182378                 NaN  0.477157                 NaN            NaN            NaN            NaN            NaN
  1393.29        2500.00        98.6734                 NaN  0.217006       0.175238       0.463686                 NaN  0.470667                 NaN            NaN            NaN            NaN            NaN
  1391.75        2500.00        98.6930                 NaN  0.215677       0.458879       0.168815                 NaN  0.463645                 NaN            NaN            NaN            NaN            NaN
  1390.20        2500.00        98.7113                 NaN  0.215024       0.454694       0.161535                 NaN  0.457408                 NaN            NaN            NaN            NaN            NaN
  1388.66        2500.00        98.7278                 NaN  0.214118       0.155328       0.451142                 NaN  0.451633                 NaN            NaN            NaN            NaN            NaN
  1387.12        2500.00        98.7380                 NaN  0.215789       0.447256       0.149180                 NaN  0.449776                 NaN            NaN            NaN            NaN            NaN
  1385.58        2500.00        98.7786                 NaN  0.208828       0.436878       0.142752                 NaN  0.432988                 NaN            NaN            NaN            NaN            NaN
  1384.03        2500.00        98.7828                 NaN  0.211017       0.437479       0.136055                 NaN  0.432644                 NaN            NaN            NaN            NaN            NaN
  1382.49        2500.00        98.7986                 NaN  0.209757       0.433527       0.131250                 NaN  0.426901                 NaN            NaN            NaN            NaN            NaN
  1380.95        2500.00        98.8141                 NaN  0.208719       0.430061       0.125665                 NaN  0.421457                 NaN            NaN            NaN            NaN            NaN
  1379.41        2500.00        98.8304                 NaN  0.207614       0.426016       0.120297                 NaN  0.415692                 NaN            NaN            NaN            NaN            NaN
  1377.86        2500.00        98.8457                 NaN  0.206438       0.422459       0.115168                 NaN  0.410243                 NaN            NaN            NaN            NaN            NaN
  1376.32        2500.00        98.8619                 NaN  0.205496       0.109588       0.418291                 NaN  0.404733                 NaN            NaN            NaN            NaN            NaN
  1374.78        2500.00        98.8776                 NaN  0.203738       0.414039       0.105685                 NaN  0.398955                 NaN            NaN            NaN            NaN            NaN
  1373.24        2500.00        98.8906                 NaN  0.202714       0.411338       0.101130                 NaN  0.394217                 NaN            NaN            NaN            NaN            NaN
  1371.70        2500.00        98.9055                 NaN  0.201371       0.407638       0.965774E-001            NaN  0.388881                 NaN            NaN            NaN            NaN            NaN
  1370.15        2500.00        98.9177                 NaN  0.199969       0.404920       0.930445E-001            NaN  0.384409                 NaN            NaN            NaN            NaN            NaN
  1368.61        2500.00        98.9336                 NaN  0.198505       0.400660       0.885145E-001            NaN  0.378701                 NaN            NaN            NaN            NaN            NaN
  1367.07        2500.00        98.9466                 NaN  0.197191       0.397315       0.848367E-001            NaN  0.374043                 NaN            NaN            NaN            NaN            NaN
  1365.53        2500.00        98.9590                 NaN  0.195901       0.809787E-001  0.394552                 NaN  0.369575                 NaN            NaN            NaN            NaN            NaN
  1363.98        2500.00        98.9726                 NaN  0.193699       0.390569       0.787925E-001            NaN  0.364303                 NaN            NaN            NaN            NaN            NaN
  1362.44        2500.00        98.9845                 NaN  0.192373       0.387820       0.752923E-001            NaN  0.360029                 NaN            NaN            NaN            NaN            NaN
  1360.90        2500.00        98.9963                 NaN  0.191470       0.384027       0.722574E-001            NaN  0.355898                 NaN            NaN            NaN            NaN            NaN
  1359.36        2500.00        99.0107                 NaN  0.188552       0.695550E-001  0.381085                 NaN  0.350151                 NaN            NaN            NaN            NaN            NaN
  1357.81        2500.00        99.0217                 NaN  0.187418       0.664205E-001  0.378086                 NaN  0.346341                 NaN            NaN            NaN            NaN            NaN
  1356.27        2500.00        99.0323                 NaN  0.185586       0.375671       0.641450E-001            NaN  0.342313                 NaN            NaN            NaN            NaN            NaN
  1354.73        2500.00        99.0447                 NaN  0.183545       0.371925       0.622322E-001            NaN  0.337557                 NaN            NaN            NaN            NaN            NaN
  1353.19        2500.00        99.0556                 NaN  0.181807       0.599525E-001  0.369127                 NaN  0.333480                 NaN            NaN            NaN            NaN            NaN
  1351.65        2500.00        99.0663                 NaN  0.179956       0.366432       0.579875E-001            NaN  0.329334                 NaN            NaN            NaN            NaN            NaN
  1350.10        2500.00        99.0771                 NaN  0.177956       0.562499E-001  0.363407                 NaN  0.325258                 NaN            NaN            NaN            NaN            NaN
  1348.56        2500.00        99.0879                 NaN  0.177143       0.361175       0.522475E-001            NaN  0.321502                 NaN            NaN            NaN            NaN            NaN
  1347.02        2500.00        99.0972                 NaN  0.172930       0.566239E-001  0.356047                 NaN  0.317223                 NaN            NaN            NaN            NaN            NaN
  1345.48        2500.00        99.1090                 NaN  0.171473       0.527081E-001  0.353919                 NaN  0.312872                 NaN            NaN            NaN            NaN            NaN
  1343.93        2500.00        99.1183                 NaN  0.169390       0.350585       0.524226E-001            NaN  0.309342                 NaN            NaN            NaN            NaN            NaN
  1342.39        2500.00        99.1276                 NaN  0.167196       0.348323       0.512038E-001            NaN  0.305688                 NaN            NaN            NaN            NaN            NaN
  1340.85        2500.00        99.1371                 NaN  0.164727       0.512718E-001  0.345062                 NaN  0.301863                 NaN            NaN            NaN            NaN            NaN
  1339.31        2500.00        99.1459                 NaN  0.162371       0.512624E-001  0.342167                 NaN  0.298345                 NaN            NaN            NaN            NaN            NaN
  1337.76        2500.00        99.1541                 NaN  0.159811       0.515793E-001  0.339534                 NaN  0.294936                 NaN            NaN            NaN            NaN            NaN
  1336.22        2500.00        99.1627                 NaN  0.157612       0.337405       0.507864E-001            NaN  0.291524                 NaN            NaN            NaN            NaN            NaN
  1334.68        2500.00        99.1735                 NaN  0.154967       0.332770       0.514239E-001            NaN  0.287324                 NaN            NaN            NaN            NaN            NaN
  1333.14        2500.00        99.1814                 NaN  0.153100       0.330665       0.505497E-001            NaN  0.284246                 NaN            NaN            NaN            NaN            NaN
  1331.60        2500.00        99.1896                 NaN  0.149711       0.530109E-001  0.327010                 NaN  0.280635                 NaN            NaN            NaN            NaN            NaN
  1330.05        2500.00        99.1975                 NaN  0.147453       0.531767E-001  0.324330                 NaN  0.277573                 NaN            NaN            NaN            NaN            NaN
  1328.51        2500.00        99.2056                 NaN  0.144581       0.320868       0.548051E-001            NaN  0.274194                 NaN            NaN            NaN            NaN            NaN
  1326.97        2500.00        99.2131                 NaN  0.141772       0.562438E-001  0.317871                 NaN  0.271043                 NaN            NaN            NaN            NaN            NaN
  1325.43        2500.00        99.2209                 NaN  0.139154       0.315250       0.568220E-001            NaN  0.267895                 NaN            NaN            NaN            NaN            NaN
  1323.88        2500.00        99.2285                 NaN  0.136451       0.311496       0.587838E-001            NaN  0.264774                 NaN            NaN            NaN            NaN            NaN
  1322.34        2500.00        99.2321                 NaN  0.133075       0.665710E-001  0.304926                 NaN  0.263365                 NaN            NaN            NaN            NaN            NaN
  1320.80        2500.00        99.2473                 NaN  0.131640       0.307432       0.566006E-001            NaN  0.256986                 NaN            NaN            NaN            NaN            NaN
  1319.26        2500.00        99.2491                 NaN  0.127519       0.302300       0.652699E-001            NaN  0.255798                 NaN            NaN            NaN            NaN            NaN
  1317.71        2500.00        99.2554                 NaN  0.124423       0.680953E-001  0.298976                 NaN  0.253095                 NaN            NaN            NaN            NaN            NaN
  1316.17        2500.00        99.2618                 NaN  0.121990       0.296503       0.692876E-001            NaN  0.250466                 NaN            NaN            NaN            NaN            NaN
  1314.63        2500.00        99.2683                 NaN  0.118040       0.291564       0.746303E-001            NaN  0.247513                 NaN            NaN            NaN            NaN            NaN
  1313.09        2500.00        99.2749                 NaN  0.115475       0.762508E-001  0.288567                 NaN  0.244833                 NaN            NaN            NaN            NaN            NaN
  1311.55        2500.00        99.2808                 NaN  0.112413       0.284804       0.797428E-001            NaN  0.242280                 NaN            NaN            NaN            NaN            NaN
  1310.00        2500.00        99.2863                 NaN  0.108880       0.280937       0.842168E-001            NaN  0.239685                 NaN            NaN            NaN            NaN            NaN
  1308.46        2500.00        99.2925                 NaN  0.106178       0.863054E-001  0.277859                 NaN  0.237167                 NaN            NaN            NaN            NaN            NaN
  1306.92        2500.00        99.2974                 NaN  0.102572       0.915451E-001  0.273662                 NaN  0.234791                 NaN            NaN            NaN            NaN            NaN
  1305.38        2500.00        99.3033                 NaN  0.997066E-001  0.269657       0.950178E-001            NaN  0.232339                 NaN            NaN            NaN            NaN            NaN
  1303.83        2500.00        99.3084                 NaN  0.964060E-001  0.265684       0.994531E-001            NaN  0.230034                 NaN            NaN            NaN            NaN            NaN
  1302.29        2500.00        97.6095                 NaN  0.210281       0.525168       0.934788E-001            NaN  0.444239        1.11732                 NaN            NaN            NaN            NaN
