|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             iron          
  1476.61        2500.00        99.1065                 NaN            NaN  0.343521       0.550008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        2500.00        99.1129                 NaN            NaN  0.546293       0.340838                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.1226                 NaN            NaN  0.539840       0.337566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.22        2500.00        99.1155                 NaN            NaN  0.339018       0.545492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        99.1597                 NaN            NaN  0.517782       0.322531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.30        2500.00        99.1234                 NaN            NaN  0.544149       0.332437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.83        2500.00        99.1460                 NaN            NaN  0.530186       0.323770                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.37        2500.00        99.1632                 NaN            NaN  0.510473       0.326362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.91        2500.00        99.1646                 NaN            NaN  0.319993       0.515445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.45        2500.00        99.1672                 NaN            NaN  0.514431       0.318346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.99        2500.00        99.1771                 NaN            NaN  0.508917       0.313969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.52        2500.00        99.1821                 NaN            NaN  0.505852       0.312017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.06        2500.00        99.1878                 NaN            NaN  0.309295       0.502897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.60        2500.00        99.1936                 NaN            NaN  0.499367       0.307079                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        2500.00        99.2008                 NaN            NaN  0.303761       0.495434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.68        2500.00        99.2056                 NaN            NaN  0.493085       0.301278                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.21        2500.00        99.2121                 NaN            NaN  0.489264       0.298657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.75        2500.00        99.2155                 NaN            NaN  0.296484       0.488024                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00        99.2237                 NaN            NaN  0.293668       0.482636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.83        2500.00        99.2276                 NaN            NaN  0.291471       0.480885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.37        2500.00        99.2348                 NaN            NaN  0.476644       0.288584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.90        2500.00        99.2372                 NaN            NaN  0.288056       0.474787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        99.2439                 NaN            NaN  0.471657       0.284408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.98        2500.00        98.1476                 NaN            NaN  0.801363       0.533804       0.517272                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        98.0529                 NaN            NaN  0.531447       0.847472       0.568200                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.06        2500.00        98.0857                 NaN            NaN  0.832986       0.522299       0.559056                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.59        2500.00        98.1250                 NaN  0.613607E-001  0.525674       0.731885       0.556043                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00        98.0855                 NaN  0.206637       0.545297       0.570194       0.592397                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.67        2500.00        98.2094                 NaN  0.172229       0.534733       0.537139       0.546468                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00        98.2053                 NaN  0.171605       0.540838       0.532584       0.549685                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.75        2500.00        98.2329                 NaN  0.181040       0.517345       0.525846       0.542821                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.28        2500.00        98.2646                 NaN  0.178679       0.518640       0.504949       0.533143                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.82        2500.00        98.3446                 NaN  0.210760       0.505571       0.424310       0.514747                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.36        2500.00        98.2813                 NaN  0.142058       0.550303       0.503572       0.522724                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.90        2500.00        98.3538                 NaN  0.174895       0.493718       0.471354       0.506264                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.44        2500.00        98.3875                 NaN  0.173209       0.484382       0.459023       0.495894                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.97        2500.00        98.4130                 NaN  0.172161       0.448864       0.477586       0.488378                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.51        2500.00        98.4383                 NaN  0.171284       0.469854       0.439691       0.480828                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00        98.4667                 NaN  0.168939       0.461618       0.430734       0.471992                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.59        2500.00        98.4906                 NaN  0.168394       0.455937       0.420321       0.464703                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.13        2500.00        98.5154                 NaN  0.167230       0.411480       0.448543       0.457348                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        2500.00        98.5387                 NaN  0.166025       0.442423       0.402826       0.450057                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.20        2500.00        98.5609                 NaN  0.165246       0.437396       0.393080       0.443365                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.74        2500.00        98.5847                 NaN  0.163548       0.429746       0.386138       0.435913                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        2500.00        98.6057                 NaN  0.162933       0.423858       0.377895       0.429623                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.82        2500.00        98.6280                 NaN  0.161405       0.370251       0.417652       0.422726                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.35        2500.00        98.6488                 NaN  0.160415       0.362517       0.411812       0.416418                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.89        2500.00        98.6693                 NaN  0.159372       0.354612       0.406752       0.410004                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.43        2500.00        98.6891                 NaN  0.158356       0.400833       0.347782       0.403943                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.97        2500.00        98.7081                 NaN  0.157297       0.395223       0.341308       0.398091                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.7272                 NaN  0.156104       0.334179       0.390303       0.392222                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.04        2500.00        98.7468                 NaN  0.155025       0.384296       0.327686       0.386196                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.58        2500.00        98.7644                 NaN  0.154341       0.379113       0.321393       0.380767                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.12        2500.00        98.7822                 NaN  0.153057       0.375425       0.314253       0.375092                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.66        2500.00        98.7993                 NaN  0.152112       0.308806       0.370016       0.369782                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.20        2500.00        98.8154                 NaN  0.150866       0.303496       0.365431       0.364815                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.73        2500.00        98.8330                 NaN  0.150255       0.360548       0.296715       0.359464                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.27        2500.00        98.8478                 NaN  0.149401       0.357326       0.290639       0.354785                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.81        2500.00        98.8641                 NaN  0.147088       0.351806       0.287702       0.349309                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.35        2500.00        98.8792                 NaN  0.134493       0.342905       0.300269       0.343151                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        98.8942                 NaN  0.158488       0.255966       0.349474       0.341889                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.42        2500.00        98.9096                 NaN  0.144669       0.271413       0.339025       0.335269                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.96        2500.00        98.9237                 NaN  0.143712       0.334805       0.266873       0.330928                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.50        2500.00        98.9378                 NaN  0.142802       0.330798       0.262058       0.326501                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.04        2500.00        98.9512                 NaN  0.142482       0.257414       0.326368       0.322534                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.58        2500.00        98.9646                 NaN  0.139993       0.323413       0.254167       0.317806                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.11        2500.00        98.9785                 NaN  0.139574       0.248887       0.319474       0.313584                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.65        2500.00        98.9900                 NaN  0.139317       0.316253       0.244146       0.310276                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.19        2500.00        99.0052                 NaN  0.148027       0.223842       0.316604       0.306338                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.73        2500.00        99.0159                 NaN  0.124428       0.303589       0.255973       0.300065                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.27        2500.00        99.0285                 NaN  0.135479       0.233126       0.305194       0.297701                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.80        2500.00        98.6519                 NaN  0.184256       0.328504       0.421721       0.413650                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.34        2500.00        99.4411                 NaN  0.815403E-001  0.128661       0.178769       0.169978                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.88        2500.00        99.0638                 NaN  0.131839       0.294935       0.223045       0.286353                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        99.0748                 NaN  0.130613       0.291721       0.220066       0.282771                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.96        2500.00        99.0814                 NaN  0.133051       0.289037       0.214381       0.282126                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.49        2500.00        99.1032                 NaN  0.124653       0.282217       0.217225       0.272683                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.03        2500.00        99.1053                 NaN  0.129892       0.284108       0.207109       0.273625                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.57        2500.00        99.1150                 NaN  0.125437       0.275197       0.213448       0.270952                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.11        2500.00        99.1366                 NaN  0.123251       0.202853       0.275571       0.261700                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.65        2500.00        99.1379                 NaN  0.123226       0.272900       0.203691       0.262257                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.19        2500.00        99.1475                 NaN  0.122207       0.270127       0.200954       0.259190                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.72        2500.00        99.1511                 NaN  0.122797       0.271141       0.196716       0.258240                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00        99.1595                 NaN  0.100785       0.244883       0.242523       0.252318                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.80        2500.00        99.1876                 NaN  0.136159       0.278742       0.148721       0.248728                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.34        2500.00        99.1849                 NaN  0.117447       0.258827       0.191812       0.247020                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.88        2500.00        99.1942                 NaN  0.115472       0.255357       0.191081       0.243843                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.41        2500.00        99.2030                 NaN  0.115336       0.253402       0.187086       0.241163                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.95        2500.00        99.2118                 NaN  0.112769       0.187929       0.249442       0.238018                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.49        2500.00        99.2197                 NaN  0.112138       0.247461       0.185179       0.235512                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.03        2500.00        99.2283                 NaN  0.109696       0.243943       0.185487       0.232599                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.57        2500.00        99.2367                 NaN  0.108994       0.241573       0.182824       0.229886                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.10        2500.00        99.2448                 NaN  0.107632       0.181219       0.239195       0.227200                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.64        2500.00        99.2522                 NaN  0.106453       0.237206       0.179366       0.224740                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.18        2500.00        99.2608                 NaN  0.104233       0.233724       0.179571       0.221712                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.72        2500.00        99.2679                 NaN  0.103598       0.177531       0.231252       0.219756                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.26        2500.00        99.2755                 NaN  0.100544       0.227800       0.179504       0.216668                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.79        2500.00        99.2825                 NaN  0.997382E-001  0.177567       0.225603       0.214550                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.2896                 NaN  0.100170       0.172585       0.225387       0.212286                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.87        2500.00        99.2956                 NaN  0.971166E-001  0.175751       0.221404       0.210086                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.41        2500.00        99.3045                 NaN  0.935886E-001  0.178299       0.216841       0.206794                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.95        2500.00        99.3109                 NaN  0.936885E-001  0.216299       0.174235       0.204913                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.48        2500.00        99.3113                 NaN  0.984980E-001  0.162971       0.220976       0.206304                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.02        2500.00        99.3289                 NaN  0.855863E-001  0.205602       0.182206       0.197712                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.56        2500.00        99.3313                 NaN  0.870487E-001  0.177360       0.206669       0.197667                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.10        2500.00        99.3311                 NaN  0.872940E-001  0.205664       0.177437       0.198531                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.64        2500.00        99.3502                 NaN  0.863994E-001  0.166362       0.205939       0.191065                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.17        2500.00        99.3493                 NaN  0.841670E-001  0.201137       0.173514       0.191872                 NaN            NaN            NaN            NaN            NaN            NaN
  1318.71        2500.00        99.3553                 NaN  0.819059E-001  0.174819       0.198232       0.189781                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.25        2500.00        89.4211                 NaN   1.02675        1.73266       0.264017        1.38016        6.17531                 NaN            NaN            NaN            NaN            NaN
  1315.79        2500.00        80.2433                 NaN   1.93280        3.26965       0.176609        2.47387        11.9038                 NaN            NaN            NaN            NaN            NaN
  1314.33        2500.00        82.7330                 NaN   1.72601        2.99261                 NaN   2.17138        10.3771                 NaN            NaN            NaN            NaN            NaN
  1312.86        2500.00        84.7140                 NaN   1.51807        2.68906                 NaN   1.93042        9.14849                 NaN            NaN            NaN            NaN            NaN
  1311.40        2500.00        86.3548                 NaN   1.35579        2.42160                 NaN   1.73029        8.13753                 NaN            NaN            NaN            NaN            NaN
  1309.94        2500.00        87.7226                 NaN   1.22223        2.19637                 NaN   1.56327        7.29556                 NaN            NaN            NaN            NaN            NaN
  1308.48        2500.00        88.7256                 NaN   1.12896        2.02197                 NaN   1.44436        6.67907                 NaN            NaN            NaN            NaN            NaN
  1307.02        2500.00        89.9959                 NaN  0.995430        1.83223                 NaN   1.28162        5.89480                 NaN            NaN            NaN            NaN            NaN
  1305.55        2500.00        90.6117                 NaN  0.964866        1.68938                 NaN   1.21008        5.52400                 NaN            NaN            NaN            NaN            NaN
  1304.09        2500.00        91.5596                 NaN  0.859752        1.54456                 NaN   1.09115        4.94494                 NaN            NaN            NaN            NaN            NaN
  1302.63        2500.00        92.1095                 NaN  0.813051        1.44248                 NaN   1.02468        4.61030                 NaN            NaN            NaN            NaN            NaN
  1301.17        2500.00        92.6862                 NaN  0.757949        1.34525                 NaN  0.953595        4.25696                 NaN            NaN            NaN            NaN            NaN
  1299.71        2500.00        93.1901                 NaN  0.709500        1.26164                 NaN  0.891495        3.94729                 NaN            NaN            NaN            NaN            NaN
  1298.24        2500.00        93.6416                 NaN  0.667650        1.18417                 NaN  0.835522        3.67109                 NaN            NaN            NaN            NaN            NaN
  1296.78        2500.00        94.0457                 NaN  0.627979        1.11755                 NaN  0.785604        3.42317                 NaN            NaN            NaN            NaN            NaN
  1295.32        2500.00        94.4113                 NaN  0.593905        1.05539                 NaN  0.740037        3.19937                 NaN            NaN            NaN            NaN            NaN
  1293.86        2500.00        90.8482                 NaN  0.743525        1.62062                 NaN   1.17113        5.22284       0.393687                 NaN            NaN            NaN            NaN
  1292.40        2500.00        91.7109                 NaN  0.691594        1.45807                 NaN   1.06082        4.72048       0.358129                 NaN            NaN            NaN            NaN
  1290.93        2500.00        92.4546                 NaN  0.641834        1.32526                 NaN  0.966464        4.28531       0.326507                 NaN            NaN            NaN            NaN
  1289.47        2500.00        93.0992                 NaN  0.597070        1.21091                 NaN  0.884507        3.90911       0.299193                 NaN            NaN            NaN            NaN
  1288.01        2500.00        93.6506                 NaN  0.557524        1.11591                 NaN  0.814782        3.58572       0.275495                 NaN            NaN            NaN            NaN
  1286.55        2500.00        90.0331                 NaN  0.867707        1.66620                 NaN   1.32068        5.63751       0.474791                 NaN            NaN            NaN            NaN
  1285.09        2500.00        98.6233                 NaN  0.114752       0.295575                 NaN  0.132013       0.806191       0.281316E-001            NaN            NaN            NaN            NaN
  1283.62        2500.00        94.2007                 NaN  0.518206        1.01586                 NaN  0.747079        3.26297       0.255227                 NaN            NaN            NaN            NaN
  1282.16        2500.00        96.1845                 NaN  0.365554       0.698390                 NaN  0.490811        2.10034       0.160385                 NaN            NaN            NaN            NaN
  1280.70        2500.00        95.4742                 NaN  0.418195       0.815181                 NaN  0.584463        2.51276       0.195197                 NaN            NaN            NaN            NaN
