|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/YM20/YM20_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc             iron          
  1552.63        2500.00        99.5056       0.455621       0.387425E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.17        2500.00        99.5112       0.434525       0.542498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.70        2500.00        99.5134       0.441529       0.450372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.24        2500.00        99.5180       0.436712       0.452754E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        99.5217       0.433990       0.442632E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.32        2500.00        99.6657       0.150297       0.184002                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.3884       0.611632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.39        2500.00        99.5326       0.462774       0.465799E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.93        2500.00        99.5340       0.448461       0.175245E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.47        2500.00        99.5366       0.423245       0.401348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00        99.5429       0.455811       0.125021E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.55        2500.00        99.4925       0.464701       0.427607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.08        2500.00        99.8077       0.173600       0.186893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.62        2500.00        99.3416       0.607576       0.508575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.16        2500.00        99.5563       0.406634       0.370819E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.70        2500.00        99.5174       0.442677       0.399519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.24        2500.00        99.7117       0.264534       0.237222E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.77        2500.00        99.4537       0.503186       0.431634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00        99.3597       0.591386       0.489255E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.85        2500.00        99.7531       0.227915       0.189424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.39        2500.00        99.5953       0.372333       0.323240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.93        2500.00        99.5761       0.391683       0.322164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.46        2500.00        99.5794       0.387057       0.334984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.00        2500.00        99.5816       0.387425       0.310009E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.54        2500.00        99.7770       0.205773       0.172471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.08        2500.00        99.5830       0.385523       0.314883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.62        2500.00        98.8534        1.07633       0.702697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.15        2500.00        99.9919       0.740602E-002  0.712128E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.69        2500.00        99.7287       0.252332       0.189457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.23        2500.00       100.0000                 NaN  0.350536E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.7359       0.243301       0.208070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.31        2500.00        99.0587       0.884740       0.565838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.85        2500.00        99.6007       0.365977       0.239194E-001  0.939549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.38        2500.00        99.4882       0.369105                 NaN  0.142693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.92        2500.00        99.4812                 NaN            NaN  0.518829                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.46        2500.00        99.4637                 NaN  0.321176E-001  0.504156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        99.5907                 NaN            NaN  0.409339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.54        2500.00        99.4004                 NaN            NaN  0.599562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.07        2500.00        99.4780                 NaN            NaN  0.521960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.61        2500.00        99.4819                 NaN            NaN  0.518099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.15        2500.00        99.4761                 NaN            NaN  0.523865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.69        2500.00        99.4806                 NaN            NaN  0.519398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.4754                 NaN            NaN  0.524587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.76        2500.00        99.4703                 NaN            NaN  0.529658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.30        2500.00        99.5714                 NaN            NaN  0.428564                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.84        2500.00        99.3667                 NaN            NaN  0.633327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.38        2500.00        99.3809                 NaN            NaN  0.154592       0.464502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.92        2500.00        99.1972                 NaN            NaN  0.494437       0.308314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.45        2500.00        99.2059                 NaN            NaN  0.488888       0.305196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.99        2500.00        99.2124                 NaN            NaN  0.485178       0.302440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.53        2500.00        99.2205                 NaN            NaN  0.480658       0.298880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.07        2500.00        99.2264                 NaN            NaN  0.477308       0.296285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.61        2500.00        99.2334                 NaN            NaN  0.293645       0.472924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.14        2500.00        99.2394                 NaN            NaN  0.469452       0.291191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00        99.2481                 NaN            NaN  0.463685       0.288186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.22        2500.00        99.2425                 NaN            NaN  0.289239       0.468306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.76        2500.00        99.2806                 NaN            NaN  0.444316       0.275035                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.30        2500.00        99.2501                 NaN            NaN  0.466681       0.283246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.83        2500.00        99.2698                 NaN            NaN  0.454492       0.275660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.37        2500.00        99.2849                 NaN            NaN  0.437341       0.277807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.91        2500.00        99.2864                 NaN            NaN  0.272192       0.441449                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.45        2500.00        99.2890                 NaN            NaN  0.440362       0.270639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.99        2500.00        99.2978                 NaN            NaN  0.435436       0.266748                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.52        2500.00        99.3025                 NaN            NaN  0.432576       0.264933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.06        2500.00        99.3077                 NaN            NaN  0.262470       0.429832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.60        2500.00        99.3129                 NaN            NaN  0.426622       0.260433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        2500.00        99.3195                 NaN            NaN  0.257447       0.423040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.68        2500.00        99.3240                 NaN            NaN  0.420787       0.255182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.21        2500.00        99.3299                 NaN            NaN  0.417317       0.252791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.75        2500.00        99.3332                 NaN            NaN  0.250788       0.416058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00        99.3405                 NaN            NaN  0.248268       0.411266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.83        2500.00        99.3442                 NaN            NaN  0.246236       0.409539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.37        2500.00        99.3507                 NaN            NaN  0.405705       0.243639                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.90        2500.00        99.3532                 NaN            NaN  0.242992       0.403781                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        99.3592                 NaN            NaN  0.401029       0.239807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.98        2500.00        98.3428                 NaN            NaN  0.675625       0.453927       0.527681                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.52        2500.00        98.2552                 NaN            NaN  0.451565       0.713853       0.579399                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.06        2500.00        98.2858                 NaN            NaN  0.700984       0.443441       0.569787                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.59        2500.00        98.3232                 NaN  0.493534E-001  0.445887       0.615202       0.566396                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00        98.2901                 NaN  0.165931       0.457735       0.483225       0.603045                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.67        2500.00        98.4031                 NaN  0.137955       0.452605       0.450431       0.555865                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.21        2500.00        98.4006                 NaN  0.137250       0.453002       0.450357       0.558773                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.75        2500.00        98.4271                 NaN  0.144509       0.432746       0.444205       0.551410                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.28        2500.00        98.4569                 NaN  0.142356       0.437621       0.421888       0.541195                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.82        2500.00        98.5299                 NaN  0.167626       0.426229       0.354178       0.522113                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.36        2500.00        98.4745                 NaN  0.112791       0.458761       0.424020       0.529885                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.90        2500.00        98.5409                 NaN  0.138554       0.415317       0.392442       0.512805                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.44        2500.00        98.5724                 NaN  0.136997       0.407008       0.381686       0.501933                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.97        2500.00        98.5964                 NaN  0.135961       0.372848       0.400869       0.493966                 NaN            NaN            NaN            NaN            NaN            NaN
  1422.51        2500.00        98.6203                 NaN  0.134995       0.393958       0.364783       0.485974                 NaN            NaN            NaN            NaN            NaN            NaN
  1421.05        2500.00        98.6469                 NaN  0.132905       0.386655       0.356886       0.476691                 NaN            NaN            NaN            NaN            NaN            NaN
  1419.59        2500.00        98.6694                 NaN  0.132229       0.381501       0.347838       0.468983                 NaN            NaN            NaN            NaN            NaN            NaN
  1418.13        2500.00        98.6927                 NaN  0.131073       0.340134       0.374926       0.461217                 NaN            NaN            NaN            NaN            NaN            NaN
  1416.66        2500.00        98.7147                 NaN  0.129884       0.369382       0.332535       0.453526                 NaN            NaN            NaN            NaN            NaN            NaN
  1415.20        2500.00        98.7356                 NaN  0.129026       0.364795       0.324133       0.446447                 NaN            NaN            NaN            NaN            NaN            NaN
  1413.74        2500.00        98.7579                 NaN  0.127467       0.358027       0.317985       0.438613                 NaN            NaN            NaN            NaN            NaN            NaN
  1412.28        2500.00        98.7777                 NaN  0.126754       0.352734       0.310814       0.431958                 NaN            NaN            NaN            NaN            NaN            NaN
  1410.82        2500.00        98.7986                 NaN  0.125325       0.304162       0.347209       0.424700                 NaN            NaN            NaN            NaN            NaN            NaN
  1409.35        2500.00        98.8182                 NaN  0.124361       0.297446       0.341966       0.418044                 NaN            NaN            NaN            NaN            NaN            NaN
  1407.89        2500.00        98.8374                 NaN  0.123310       0.290611       0.337415       0.411292                 NaN            NaN            NaN            NaN            NaN            NaN
  1406.43        2500.00        98.8560                 NaN  0.122294       0.332143       0.284665       0.404902                 NaN            NaN            NaN            NaN            NaN            NaN
  1404.97        2500.00        98.8739                 NaN  0.121245       0.327120       0.279018       0.398729                 NaN            NaN            NaN            NaN            NaN            NaN
  1403.51        2500.00        98.8918                 NaN  0.120115       0.272863       0.322722       0.392548                 NaN            NaN            NaN            NaN            NaN            NaN
  1402.04        2500.00        98.9100                 NaN  0.119073       0.317423       0.267276       0.386218                 NaN            NaN            NaN            NaN            NaN            NaN
  1400.58        2500.00        98.9265                 NaN  0.118331       0.312815       0.261837       0.380495                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.12        2500.00        98.9432                 NaN  0.117141       0.309415       0.255686       0.374534                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.66        2500.00        98.9593                 NaN  0.116189       0.250934       0.304604       0.368945                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.20        2500.00        98.9744                 NaN  0.115026       0.246331       0.300508       0.363706                 NaN            NaN            NaN            NaN            NaN            NaN
  1394.73        2500.00        98.9908                 NaN  0.114368       0.296173       0.240545       0.358092                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.27        2500.00        99.0047                 NaN  0.113578       0.293222       0.235340       0.353155                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.81        2500.00        99.0201                 NaN  0.111529       0.288310       0.232624       0.347432                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.35        2500.00        99.0339                 NaN  0.101810       0.280755       0.242531       0.341043                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.89        2500.00        99.0484                 NaN  0.119749       0.206516       0.285818       0.339520                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.42        2500.00        99.0625                 NaN  0.109114       0.218714       0.276974       0.332684                 NaN            NaN            NaN            NaN            NaN            NaN
  1385.96        2500.00        99.0757                 NaN  0.108190       0.273241       0.214798       0.328118                 NaN            NaN            NaN            NaN            NaN            NaN
  1384.50        2500.00        99.0889                 NaN  0.107329       0.269658       0.210672       0.323475                 NaN            NaN            NaN            NaN            NaN            NaN
  1383.04        2500.00        99.1013                 NaN  0.106885       0.206681       0.265795       0.319292                 NaN            NaN            NaN            NaN            NaN            NaN
  1381.58        2500.00        99.1140                 NaN  0.104822       0.263041       0.203821       0.314364                 NaN            NaN            NaN            NaN            NaN            NaN
  1380.11        2500.00        99.1268                 NaN  0.104324       0.199376       0.259559       0.309943                 NaN            NaN            NaN            NaN            NaN            NaN
  1378.65        2500.00        99.1376                 NaN  0.103919       0.256666       0.195338       0.306432                 NaN            NaN            NaN            NaN            NaN            NaN
  1377.19        2500.00        99.1519                 NaN  0.110249       0.178886       0.256680       0.302301                 NaN            NaN            NaN            NaN            NaN            NaN
  1375.73        2500.00        99.1614                 NaN  0.925170E-001  0.245863       0.204326       0.295880                 NaN            NaN            NaN            NaN            NaN            NaN
  1374.27        2500.00        99.1734                 NaN  0.100558       0.185876       0.246893       0.293318                 NaN            NaN            NaN            NaN            NaN            NaN
  1372.80        2500.00        98.8538                 NaN  0.136488       0.261579       0.340756       0.407344                 NaN            NaN            NaN            NaN            NaN            NaN
  1371.34        2500.00        99.5261                 NaN  0.602713E-001  0.102282       0.144220       0.167113                 NaN            NaN            NaN            NaN            NaN            NaN
  1369.88        2500.00        99.2062                 NaN  0.973455E-001  0.237809       0.177211       0.281470                 NaN            NaN            NaN            NaN            NaN            NaN
  1368.42        2500.00        99.2164                 NaN  0.962584E-001  0.234961       0.174641       0.277730                 NaN            NaN            NaN            NaN            NaN            NaN
  1366.96        2500.00        99.2226                 NaN  0.979338E-001  0.232568       0.169992       0.276879                 NaN            NaN            NaN            NaN            NaN            NaN
  1365.49        2500.00        99.2423                 NaN  0.915379E-001  0.226804       0.171981       0.267399                 NaN            NaN            NaN            NaN            NaN            NaN
  1364.03        2500.00        99.2448                 NaN  0.952272E-001  0.228101       0.163802       0.268115                 NaN            NaN            NaN            NaN            NaN            NaN
  1362.57        2500.00        99.2533                 NaN  0.919206E-001  0.220803       0.168710       0.265286                 NaN            NaN            NaN            NaN            NaN            NaN
  1361.11        2500.00        99.2732                 NaN  0.900229E-001  0.160049       0.220721       0.256026                 NaN            NaN            NaN            NaN            NaN            NaN
  1359.65        2500.00        99.2749                 NaN  0.898610E-001  0.218383       0.160528       0.256373                 NaN            NaN            NaN            NaN            NaN            NaN
  1358.19        2500.00        99.2837                 NaN  0.889673E-001  0.215919       0.158194       0.253176                 NaN            NaN            NaN            NaN            NaN            NaN
  1356.72        2500.00        99.2876                 NaN  0.892222E-001  0.216465       0.154651       0.252051                 NaN            NaN            NaN            NaN            NaN            NaN
  1355.26        2500.00        99.2949                 NaN  0.731243E-001  0.195341       0.190507       0.246080                 NaN            NaN            NaN            NaN            NaN            NaN
  1353.80        2500.00        99.3203                 NaN  0.986171E-001  0.222062       0.116669       0.242384                 NaN            NaN            NaN            NaN            NaN            NaN
  1352.34        2500.00        99.3182                 NaN  0.849039E-001  0.206005       0.150324       0.240536                 NaN            NaN            NaN            NaN            NaN            NaN
  1350.88        2500.00        99.3268                 NaN  0.833496E-001  0.203022       0.149583       0.237257                 NaN            NaN            NaN            NaN            NaN            NaN
  1349.41        2500.00        99.3348                 NaN  0.831261E-001  0.201268       0.146305       0.234467                 NaN            NaN            NaN            NaN            NaN            NaN
  1347.95        2500.00        99.3430                 NaN  0.811222E-001  0.146788       0.197893       0.231231                 NaN            NaN            NaN            NaN            NaN            NaN
  1346.49        2500.00        99.3503                 NaN  0.805136E-001  0.196117       0.144477       0.228620                 NaN            NaN            NaN            NaN            NaN            NaN
  1345.03        2500.00        99.3581                 NaN  0.786437E-001  0.193106       0.144554       0.225617                 NaN            NaN            NaN            NaN            NaN            NaN
  1343.57        2500.00        99.3658                 NaN  0.780151E-001  0.191049       0.142337       0.222814                 NaN            NaN            NaN            NaN            NaN            NaN
  1342.10        2500.00        99.3731                 NaN  0.769120E-001  0.140936       0.188964       0.220042                 NaN            NaN            NaN            NaN            NaN            NaN
  1340.64        2500.00        99.3800                 NaN  0.759528E-001  0.187195       0.139346       0.217492                 NaN            NaN            NaN            NaN            NaN            NaN
  1339.18        2500.00        99.3878                 NaN  0.742376E-001  0.184244       0.139346       0.214398                 NaN            NaN            NaN            NaN            NaN            NaN
  1337.72        2500.00        99.3943                 NaN  0.736798E-001  0.137610       0.182091       0.212344                 NaN            NaN            NaN            NaN            NaN            NaN
  1336.26        2500.00        99.4013                 NaN  0.713747E-001  0.179182       0.138988       0.209202                 NaN            NaN            NaN            NaN            NaN            NaN
  1334.79        2500.00        99.4077                 NaN  0.706892E-001  0.137338       0.177261       0.207000                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.4142                 NaN  0.708741E-001  0.133348       0.176913       0.204660                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.87        2500.00        99.4198                 NaN  0.685683E-001  0.135635       0.173582       0.202387                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.41        2500.00        99.4276                 NaN  0.660000E-001  0.137489       0.169864       0.199065                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.95        2500.00        99.4335                 NaN  0.659709E-001  0.169244       0.134217       0.197107                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.48        2500.00        99.4345                 NaN  0.692216E-001  0.125314       0.172660       0.198296                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.02        2500.00        99.4494                 NaN  0.600803E-001  0.160590       0.140050       0.189893                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.56        2500.00        99.4519                 NaN  0.609996E-001  0.136196       0.161221       0.189711                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.10        2500.00        99.4520                 NaN  0.611163E-001  0.160327       0.136172       0.190400                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.64        2500.00        99.4688                 NaN  0.603528E-001  0.127484       0.160301       0.183103                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.17        2500.00        99.4683                 NaN  0.586962E-001  0.156412       0.132836       0.183743                 NaN            NaN            NaN            NaN            NaN            NaN
  1318.71        2500.00        99.4737                 NaN  0.570262E-001  0.133696       0.153986       0.181607                 NaN            NaN            NaN            NaN            NaN            NaN
  1317.25        2500.00        90.0125                 NaN  0.716689        1.35203       0.202836        1.32806        6.38793                 NaN            NaN            NaN            NaN            NaN
  1315.79        2500.00        81.1659                 NaN   1.35159        2.56321       0.136332        2.39473        12.3882                 NaN            NaN            NaN            NaN            NaN
  1314.33        2500.00        83.5605                 NaN   1.20159        2.34172                 NaN   2.10098        10.7952                 NaN            NaN            NaN            NaN            NaN
  1312.86        2500.00        85.4625                 NaN   1.05258        2.10157                 NaN   1.86746        9.51592                 NaN            NaN            NaN            NaN            NaN
  1311.40        2500.00        87.0341                 NaN  0.936958        1.89088                 NaN   1.67375        8.46433                 NaN            NaN            NaN            NaN            NaN
  1309.94        2500.00        88.3426                 NaN  0.842043        1.71383                 NaN   1.51222        7.58927                 NaN            NaN            NaN            NaN            NaN
  1308.48        2500.00        89.3013                 NaN  0.775200        1.57643                 NaN   1.39746        6.94962                 NaN            NaN            NaN            NaN            NaN
  1307.02        2500.00        90.5155                 NaN  0.682269        1.42837                 NaN   1.23997        6.13388                 NaN            NaN            NaN            NaN            NaN
  1305.55        2500.00        91.1033                 NaN  0.659303        1.31654                 NaN   1.17108        5.74981                 NaN            NaN            NaN            NaN            NaN
  1304.09        2500.00        92.0058                 NaN  0.586614        1.20389                 NaN   1.05602        5.14770                 NaN            NaN            NaN            NaN            NaN
  1302.63        2500.00        92.5292                 NaN  0.553784        1.12436                 NaN  0.991903        4.80070                 NaN            NaN            NaN            NaN            NaN
  1301.17        2500.00        93.0791                 NaN  0.515309        1.04854                 NaN  0.923250        4.43379                 NaN            NaN            NaN            NaN            NaN
  1299.71        2500.00        93.5597                 NaN  0.481512       0.983309                 NaN  0.863273        4.11216                 NaN            NaN            NaN            NaN            NaN
  1298.24        2500.00        93.9902                 NaN  0.452341       0.922992                 NaN  0.809195        3.82525                 NaN            NaN            NaN            NaN            NaN
  1296.78        2500.00        94.3755                 NaN  0.424863       0.871079                 NaN  0.760954        3.56761                 NaN            NaN            NaN            NaN            NaN
  1295.32        2500.00        94.7242                 NaN  0.401197       0.822724                 NaN  0.716904        3.33494                 NaN            NaN            NaN            NaN            NaN
  1293.86        2500.00        91.4111                 NaN  0.502880        1.26775                 NaN   1.13722        5.45771       0.223328                 NaN            NaN            NaN            NaN
  1292.40        2500.00        92.2327                 NaN  0.466741        1.14039                 NaN   1.02903        4.92818       0.202942                 NaN            NaN            NaN            NaN
  1290.93        2500.00        92.9403                 NaN  0.432255        1.03619                 NaN  0.936565        4.46986       0.184833                 NaN            NaN            NaN            NaN
  1289.47        2500.00        93.5526                 NaN  0.401436       0.946527                 NaN  0.856306        4.07390       0.169202                 NaN            NaN            NaN            NaN
  1288.01        2500.00        94.0765                 NaN  0.374100       0.871997                 NaN  0.788063        3.73372       0.155651                 NaN            NaN            NaN            NaN
  1286.55        2500.00        90.6721                 NaN  0.591020        1.30861                 NaN   1.27927        5.88041       0.268644                 NaN            NaN            NaN            NaN
  1285.09        2500.00        98.7160                 NaN  0.760775E-001  0.229475                 NaN  0.127088       0.835563       0.158191E-001            NaN            NaN            NaN            NaN
  1283.62        2500.00        94.6027                 NaN  0.346888       0.793653                 NaN  0.721089        3.39174       0.143894                 NaN            NaN            NaN            NaN
