|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ne             lc             ilm           
  1550.89        2500.00                 NaN            NaN            NaN   99.4902       0.462448       0.473694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.45        2500.00                 NaN            NaN            NaN   99.4996       0.452052       0.483179E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.00        2500.00                 NaN            NaN            NaN   99.5011       0.450897       0.480253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.56        2500.00                 NaN            NaN            NaN   99.5040       0.449335       0.466680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.11        2500.00                 NaN            NaN            NaN   99.5109       0.432390       0.566870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.66        2500.00                 NaN            NaN            NaN   99.5111       0.454840       0.341038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.22        2500.00                 NaN            NaN            NaN   99.5168       0.432174       0.510024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.77        2500.00                 NaN            NaN            NaN   99.5193       0.443810       0.368918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.33        2500.00                 NaN            NaN            NaN   99.5231       0.441203       0.356925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00                 NaN            NaN            NaN   99.5267       0.422729       0.505568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.43        2500.00                 NaN            NaN            NaN   99.5302       0.428139       0.416765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN            NaN            NaN   99.5330       0.425806       0.412337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.54        2500.00                 NaN            NaN            NaN   99.5365       0.423091       0.403786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN            NaN            NaN   99.5368       0.424524       0.386381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.65        2500.00                 NaN            NaN            NaN   99.5440       0.417663       0.383516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.20        2500.00                 NaN            NaN            NaN   99.5448       0.417794       0.374286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.76        2500.00                 NaN            NaN            NaN   99.5401       0.424765       0.351816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.31        2500.00                 NaN            NaN            NaN   99.5521       0.413614       0.342389E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.87        2500.00                 NaN            NaN            NaN   99.5440       0.415108       0.408476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.42        2500.00                 NaN            NaN            NaN   99.5698       0.404473       0.257181E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.98        2500.00                 NaN            NaN            NaN   99.5599       0.395113       0.449593E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.53        2500.00                 NaN            NaN            NaN   99.5620       0.409962       0.280534E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.08        2500.00                 NaN            NaN            NaN   99.5104       0.451835       0.377625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.64        2500.00                 NaN            NaN            NaN   99.7501       0.230800       0.191149E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.19        2500.00                 NaN            NaN            NaN   99.4463       0.495950       0.577035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.75        2500.00                 NaN            NaN            NaN   99.5727       0.413458       0.138295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.30        2500.00                 NaN            NaN            NaN   99.5746       0.396414       0.290294E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.85        2500.00                 NaN            NaN            NaN   99.6513       0.324568       0.241656E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.41        2500.00                 NaN            NaN            NaN   99.5070       0.459840       0.331636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.96        2500.00                 NaN            NaN            NaN   99.9978                 NaN  0.215861E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.52        2500.00                 NaN            NaN            NaN   99.1720       0.775620       0.523426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.07        2500.00                 NaN            NaN            NaN   99.5877       0.385812       0.265165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.62        2500.00                 NaN            NaN            NaN   99.5907       0.382786       0.265237E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.18        2500.00                 NaN            NaN            NaN   99.5926       0.382417       0.249685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.73        2500.00                 NaN            NaN            NaN   99.5946       0.380853       0.245137E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.29        2500.00                 NaN            NaN            NaN   99.5950       0.382395       0.226360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.84        2500.00                 NaN            NaN            NaN   99.5996       0.377978       0.224407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.39        2500.00                 NaN            NaN            NaN   99.5992       0.380165       0.206611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.95        2500.00                 NaN            NaN            NaN   99.6029       0.375785       0.213440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.50        2500.00                 NaN            NaN            NaN   99.6041       0.375621       0.202312E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00                 NaN            NaN            NaN   99.6050       0.376060       0.189185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.61        2500.00                 NaN            NaN            NaN   99.6094       0.371117       0.194445E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.17        2500.00                 NaN            NaN            NaN   99.6093       0.373066       0.176459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00                 NaN            NaN            NaN   99.6100       0.373356       0.166763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.27        2500.00                 NaN            NaN            NaN   99.6139       0.369543       0.165560E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN            NaN            NaN   99.5369       0.909754E-001  0.301320E-001  0.341992                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.38        2500.00                 NaN            NaN            NaN   99.1545                 NaN            NaN  0.251505       0.593976                 NaN            NaN            NaN            NaN            NaN
  1482.94        2500.00                 NaN            NaN            NaN   99.4241       0.117316                 NaN  0.103905       0.354639                 NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN            NaN            NaN   99.1860       0.122890E-001            NaN  0.484098       0.317618                 NaN            NaN            NaN            NaN            NaN
  1480.04        2500.00                 NaN            NaN            NaN   99.1955                 NaN  0.598619E-002  0.317969       0.480565                 NaN            NaN            NaN            NaN            NaN
  1478.60        2500.00                 NaN            NaN            NaN   99.2042                 NaN  0.238604E-001  0.483618       0.288297                 NaN            NaN            NaN            NaN            NaN
  1477.15        2500.00                 NaN            NaN            NaN   99.2126                 NaN  0.251208E-001  0.479631       0.282685                 NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN            NaN            NaN   99.2184                 NaN  0.242526E-001  0.475899       0.281401                 NaN            NaN            NaN            NaN            NaN
  1474.26        2500.00                 NaN            NaN            NaN   99.2255       0.296937E-002  0.231054E-001  0.276960       0.471434                 NaN            NaN            NaN            NaN            NaN
  1472.81        2500.00                 NaN            NaN            NaN   99.2316       0.217094E-001  0.213599E-001  0.255926       0.469416                 NaN            NaN            NaN            NaN            NaN
  1471.37        2500.00                 NaN            NaN            NaN   99.2387       0.195915E-001  0.204850E-001  0.464648       0.256543                 NaN            NaN            NaN            NaN            NaN
  1469.92        2500.00                 NaN            NaN            NaN   99.2411       0.233061E-001  0.471212E-002  0.456914       0.273953                 NaN            NaN            NaN            NaN            NaN
  1468.48        2500.00                 NaN            NaN            NaN   99.2531       0.978907E-002  0.340614E-001  0.461199       0.241831                 NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00                 NaN            NaN            NaN   99.2568       0.154189E-001  0.179263E-001  0.452889       0.257000                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN            NaN            NaN   99.3185       0.119318E-001  0.159201E-001  0.238823       0.414843                 NaN            NaN            NaN            NaN            NaN
  1464.14        2500.00                 NaN            NaN            NaN   99.2107       0.143200E-001  0.177938E-001  0.276541       0.480619                 NaN            NaN            NaN            NaN            NaN
  1462.69        2500.00                 NaN            NaN            NaN   99.2734       0.117799E-001  0.156442E-001  0.442343       0.256866                 NaN            NaN            NaN            NaN            NaN
  1461.25        2500.00                 NaN            NaN            NaN   99.2791       0.109831E-001  0.148586E-001  0.256544       0.438471                 NaN            NaN            NaN            NaN            NaN
  1459.80        2500.00                 NaN            NaN            NaN   99.4718       0.559161E-001  0.109181E-001  0.138030       0.323355                 NaN            NaN            NaN            NaN            NaN
  1458.35        2500.00                 NaN            NaN            NaN   99.1007       0.565155E-002  0.140284E-001  0.545995       0.333666                 NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN            NaN            NaN   99.2946                 NaN  0.132097E-001  0.428506       0.263688                 NaN            NaN            NaN            NaN            NaN
  1455.46        2500.00                 NaN            NaN            NaN   99.3007       0.767105E-002  0.119191E-001  0.425140       0.254600                 NaN            NaN            NaN            NaN            NaN
  1454.02        2500.00                 NaN            NaN            NaN   99.3052       0.140353E-001  0.108769E-001  0.422742       0.247157                 NaN            NaN            NaN            NaN            NaN
  1452.57        2500.00                 NaN            NaN            NaN   99.3096                 NaN  0.109833E-001  0.419554       0.259875                 NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00                 NaN            NaN            NaN   99.3156       0.137059E-002  0.102097E-001  0.256929       0.415906                 NaN            NaN            NaN            NaN            NaN
  1449.68        2500.00                 NaN            NaN            NaN   99.3174       0.348444E-002  0.235792E-005  0.268080       0.411015                 NaN            NaN            NaN            NaN            NaN
  1448.23        2500.00                 NaN            NaN            NaN   99.3273       0.957244E-002  0.177916E-001  0.412755       0.232562                 NaN            NaN            NaN            NaN            NaN
  1446.79        2500.00                 NaN            NaN            NaN   99.3291       0.250981E-001  0.666390E-002  0.409030       0.230097                 NaN            NaN            NaN            NaN            NaN
  1445.34        2500.00                 NaN            NaN            NaN   99.3343                 NaN  0.782252E-002  0.404798       0.253126                 NaN            NaN            NaN            NaN            NaN
  1443.90        2500.00                 NaN            NaN            NaN   99.3388       0.260153E-002  0.638407E-002  0.250499       0.401704                 NaN            NaN            NaN            NaN            NaN
  1442.45        2500.00                 NaN            NaN            NaN   99.3430       0.755988E-002  0.585892E-002  0.243756       0.399822                 NaN            NaN            NaN            NaN            NaN
  1441.00        2500.00                 NaN            NaN            NaN   99.3465       0.194653E-002  0.568586E-002  0.248528       0.397296                 NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00                 NaN            NaN            NaN   99.3512       0.130281E-001  0.405062E-002  0.395428       0.236279                 NaN            NaN            NaN            NaN            NaN
  1438.11        2500.00                 NaN            NaN            NaN   99.3557       0.121987E-001  0.359408E-002  0.392763       0.235783                 NaN            NaN            NaN            NaN            NaN
  1436.67        2500.00                 NaN            NaN            NaN   99.3596       0.119683E-001  0.301920E-002  0.234998       0.390434                 NaN            NaN            NaN            NaN            NaN
  1435.22        2500.00                 NaN            NaN            NaN   99.3635       0.118397E-001  0.243868E-002  0.234128       0.388086                 NaN            NaN            NaN            NaN            NaN
  1433.77        2500.00                 NaN            NaN            NaN   98.4619                 NaN  0.139041       0.449476       0.445990       0.503590                 NaN            NaN            NaN            NaN
  1432.33        2500.00                 NaN            NaN            NaN   98.3937                 NaN  0.152339       0.448673       0.457023       0.548273                 NaN            NaN            NaN            NaN
  1430.88        2500.00                 NaN            NaN            NaN   98.4224                 NaN  0.151167       0.446793       0.440905       0.538744                 NaN            NaN            NaN            NaN
  1429.44        2500.00                 NaN            NaN            NaN   98.4511                 NaN  0.150116       0.433141       0.436421       0.529208                 NaN            NaN            NaN            NaN
  1427.99        2500.00                 NaN            NaN            NaN   98.4798                 NaN  0.148764       0.426084       0.425612       0.519783                 NaN            NaN            NaN            NaN
  1426.54        2500.00                 NaN            NaN            NaN   98.5001                 NaN  0.148347       0.416714       0.421283       0.513509                 NaN            NaN            NaN            NaN
  1425.10        2500.00                 NaN            NaN            NaN   98.5347                 NaN  0.146097       0.411298       0.406297       0.501565                 NaN            NaN            NaN            NaN
  1423.65        2500.00                 NaN            NaN            NaN   98.5585                 NaN  0.145230       0.404908       0.397625       0.493755                 NaN            NaN            NaN            NaN
  1422.21        2500.00                 NaN            NaN            NaN   98.5833                 NaN  0.144298       0.388918       0.397783       0.485695                 NaN            NaN            NaN            NaN
  1420.76        2500.00                 NaN            NaN            NaN   98.6023                 NaN  0.142807       0.392170       0.383252       0.479519                 NaN            NaN            NaN            NaN
  1419.32        2500.00                 NaN            NaN            NaN   98.6332                 NaN  0.142794       0.384870       0.370269       0.468893                 NaN            NaN            NaN            NaN
  1417.87        2500.00                 NaN            NaN            NaN   98.6522                 NaN  0.141293       0.363737       0.379963       0.462832                 NaN            NaN            NaN            NaN
  1416.42        2500.00                 NaN            NaN            NaN   98.6760                 NaN  0.140189       0.373554       0.355437       0.454821                 NaN            NaN            NaN            NaN
  1414.98        2500.00                 NaN            NaN            NaN   98.6972                 NaN  0.139114       0.367673       0.348261       0.447736                 NaN            NaN            NaN            NaN
  1413.53        2500.00                 NaN            NaN            NaN   98.7176                 NaN  0.138314       0.340708       0.362358       0.441020                 NaN            NaN            NaN            NaN
  1412.09        2500.00                 NaN            NaN            NaN   98.7364                 NaN  0.137582       0.357305       0.333919       0.434791                 NaN            NaN            NaN            NaN
  1410.64        2500.00                 NaN            NaN            NaN   98.7591                 NaN  0.136346       0.325910       0.351498       0.427097                 NaN            NaN            NaN            NaN
  1409.19        2500.00                 NaN            NaN            NaN   98.7770                 NaN  0.135581       0.346859       0.319454       0.421103                 NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN            NaN            NaN   98.7967                 NaN  0.134645       0.312866       0.341215       0.414581                 NaN            NaN            NaN            NaN
  1406.30        2500.00                 NaN            NaN            NaN   98.8142                 NaN  0.134161       0.336718       0.306048       0.408835                 NaN            NaN            NaN            NaN
  1404.86        2500.00                 NaN            NaN            NaN   98.8337                 NaN  0.132415       0.331249       0.300445       0.402169                 NaN            NaN            NaN            NaN
  1403.41        2500.00                 NaN            NaN            NaN   98.8526                 NaN  0.131717       0.293578       0.326434       0.395651                 NaN            NaN            NaN            NaN
  1401.96        2500.00                 NaN            NaN            NaN   98.8677                 NaN  0.131295       0.287817       0.322425       0.390757                 NaN            NaN            NaN            NaN
  1400.52        2500.00                 NaN            NaN            NaN   98.8848                 NaN  0.130373       0.282045       0.317848       0.384946                 NaN            NaN            NaN            NaN
  1399.07        2500.00                 NaN            NaN            NaN   98.9008                 NaN  0.129673       0.276183       0.313772       0.379555                 NaN            NaN            NaN            NaN
  1397.63        2500.00                 NaN            NaN            NaN   98.9115                 NaN  0.130742       0.309764       0.270782       0.377196                 NaN            NaN            NaN            NaN
  1396.18        2500.00                 NaN            NaN            NaN   98.9392                 NaN  0.126356       0.264754       0.303791       0.365877                 NaN            NaN            NaN            NaN
  1394.73        2500.00                 NaN            NaN            NaN   98.9480                 NaN  0.126808       0.301235       0.260640       0.363319                 NaN            NaN            NaN            NaN
  1393.29        2500.00                 NaN            NaN            NaN   98.9622                 NaN  0.126581       0.297225       0.255214       0.358732                 NaN            NaN            NaN            NaN
  1391.84        2500.00                 NaN            NaN            NaN   98.9775                 NaN  0.125649       0.250143       0.293125       0.353630                 NaN            NaN            NaN            NaN
  1390.40        2500.00                 NaN            NaN            NaN   98.9915                 NaN  0.124954       0.289556       0.245164       0.348851                 NaN            NaN            NaN            NaN
  1388.95        2500.00                 NaN            NaN            NaN   99.0048                 NaN  0.124174       0.240551       0.286117       0.344331                 NaN            NaN            NaN            NaN
  1387.51        2500.00                 NaN            NaN            NaN   99.0170                 NaN  0.123416       0.282021       0.237155       0.340430                 NaN            NaN            NaN            NaN
  1386.06        2500.00                 NaN            NaN            NaN   99.0362                 NaN  0.122270       0.277866       0.230297       0.333385                 NaN            NaN            NaN            NaN
  1384.61        2500.00                 NaN            NaN            NaN   99.0454                 NaN  0.121851       0.227253       0.275065       0.330469                 NaN            NaN            NaN            NaN
  1383.17        2500.00                 NaN            NaN            NaN   99.0583                 NaN  0.121096       0.223060       0.271493       0.326068                 NaN            NaN            NaN            NaN
  1381.72        2500.00                 NaN            NaN            NaN   99.0704                 NaN  0.120620       0.268454       0.218608       0.321916                 NaN            NaN            NaN            NaN
  1380.28        2500.00                 NaN            NaN            NaN   99.0832                 NaN  0.119399       0.214948       0.264991       0.317427                 NaN            NaN            NaN            NaN
  1378.83        2500.00                 NaN            NaN            NaN   99.0946                 NaN  0.118777       0.210995       0.262083       0.313587                 NaN            NaN            NaN            NaN
  1377.38        2500.00                 NaN            NaN            NaN   99.1068                 NaN  0.118056       0.207128       0.258649       0.309380                 NaN            NaN            NaN            NaN
  1375.94        2500.00                 NaN            NaN            NaN   99.1186                 NaN  0.117249       0.255061       0.203717       0.305416                 NaN            NaN            NaN            NaN
  1374.49        2500.00                 NaN            NaN            NaN   99.1295                 NaN  0.116541       0.199744       0.252753       0.301510                 NaN            NaN            NaN            NaN
  1373.05        2500.00                 NaN            NaN            NaN   99.1406                 NaN  0.116016       0.196214       0.249392       0.297783                 NaN            NaN            NaN            NaN
  1371.60        2500.00                 NaN            NaN            NaN   99.1516                 NaN  0.114642       0.193457       0.246556       0.293724                 NaN            NaN            NaN            NaN
  1370.15        2500.00                 NaN            NaN            NaN   99.1624                 NaN  0.114215       0.243627       0.189582       0.290222                 NaN            NaN            NaN            NaN
  1368.71        2500.00                 NaN            NaN            NaN   99.1727                 NaN  0.113621       0.186215       0.240917       0.286547                 NaN            NaN            NaN            NaN
  1367.26        2500.00                 NaN            NaN            NaN   99.1826                 NaN  0.112514       0.238217       0.183561       0.283137                 NaN            NaN            NaN            NaN
  1365.82        2500.00                 NaN            NaN            NaN   99.1925                 NaN  0.111881       0.235792       0.180153       0.279651                 NaN            NaN            NaN            NaN
  1364.37        2500.00                 NaN            NaN            NaN   99.2031                 NaN  0.111254       0.176947       0.232736       0.275984                 NaN            NaN            NaN            NaN
  1362.92        2500.00                 NaN            NaN            NaN   99.2127                 NaN  0.110026       0.229923       0.174834       0.272544                 NaN            NaN            NaN            NaN
  1361.48        2500.00                 NaN            NaN            NaN   99.2218                 NaN  0.109408       0.227608       0.171828       0.269368                 NaN            NaN            NaN            NaN
  1360.03        2500.00                 NaN            NaN            NaN   99.2291                 NaN  0.109566       0.168911       0.225201       0.267194                 NaN            NaN            NaN            NaN
  1358.59        2500.00                 NaN            NaN            NaN   99.2403                 NaN  0.106880       0.222548       0.167752       0.262512                 NaN            NaN            NaN            NaN
  1357.14        2500.00                 NaN            NaN            NaN   99.2491                 NaN  0.107021       0.220494       0.163628       0.259746                 NaN            NaN            NaN            NaN
  1355.70        2500.00                 NaN            NaN            NaN   99.2581                 NaN  0.105973       0.217753       0.161676       0.256522                 NaN            NaN            NaN            NaN
  1354.25        2500.00                 NaN            NaN            NaN   99.2650                 NaN  0.105347       0.215314       0.160057       0.254252                 NaN            NaN            NaN            NaN
  1352.80        2500.00                 NaN            NaN            NaN   99.2753                 NaN  0.103995       0.213002       0.157438       0.250239                 NaN            NaN            NaN            NaN
  1351.36        2500.00                 NaN            NaN            NaN   99.2829                 NaN  0.103679       0.210857       0.154813       0.247776                 NaN            NaN            NaN            NaN
  1349.91        2500.00                 NaN            NaN            NaN   99.2912                 NaN  0.102526       0.208370       0.153173       0.244763                 NaN            NaN            NaN            NaN
  1348.47        2500.00                 NaN            NaN            NaN   99.2990                 NaN  0.101923       0.206325       0.150687       0.242041                 NaN            NaN            NaN            NaN
  1347.02        2500.00                 NaN            NaN            NaN   99.3060                 NaN  0.100917       0.149377       0.204194       0.239521                 NaN            NaN            NaN            NaN
  1345.57        2500.00                 NaN            NaN            NaN   99.3155                 NaN  0.998695E-001  0.146802       0.201759       0.236031                 NaN            NaN            NaN            NaN
  1344.13        2500.00                 NaN            NaN            NaN   99.3222                 NaN  0.992426E-001  0.145396       0.199258       0.233888                 NaN            NaN            NaN            NaN
  1342.68        2500.00                 NaN            NaN            NaN   99.3292                 NaN  0.979430E-001  0.198258       0.143724       0.230889                 NaN            NaN            NaN            NaN
  1341.24        2500.00                 NaN            NaN            NaN   99.3369                 NaN  0.968525E-001  0.142541       0.195398       0.228281                 NaN            NaN            NaN            NaN
  1339.79        2500.00                 NaN            NaN            NaN   99.3445                 NaN  0.962278E-001  0.140420       0.193236       0.225648                 NaN            NaN            NaN            NaN
  1338.34        2500.00                 NaN            NaN            NaN   99.3511                 NaN  0.952387E-001  0.191453       0.139022       0.223143                 NaN            NaN            NaN            NaN
  1336.90        2500.00                 NaN            NaN            NaN   99.3578                 NaN  0.942120E-001  0.137846       0.189480       0.220710                 NaN            NaN            NaN            NaN
  1335.45        2500.00                 NaN            NaN            NaN   99.3645                 NaN  0.932800E-001  0.187672       0.136217       0.218331                 NaN            NaN            NaN            NaN
  1334.01        2500.00                 NaN            NaN            NaN   99.3713                 NaN  0.921805E-001  0.135203       0.185583       0.215746                 NaN            NaN            NaN            NaN
  1332.56        2500.00                 NaN            NaN            NaN   99.3775                 NaN  0.912928E-001  0.183703       0.133904       0.213568                 NaN            NaN            NaN            NaN
  1331.11        2500.00                 NaN            NaN            NaN   99.3842                 NaN  0.903565E-001  0.132405       0.181953       0.211056                 NaN            NaN            NaN            NaN
  1329.67        2500.00                 NaN            NaN            NaN   99.3908                 NaN  0.889404E-001  0.179560       0.132160       0.208557                 NaN            NaN            NaN            NaN
  1328.22        2500.00                 NaN            NaN            NaN   99.3966                 NaN  0.882634E-001  0.178118       0.130461       0.206556                 NaN            NaN            NaN            NaN
  1326.78        2500.00                 NaN            NaN            NaN   99.4026                 NaN  0.867583E-001  0.176059       0.130409       0.204150                 NaN            NaN            NaN            NaN
  1325.33        2500.00                 NaN            NaN            NaN   99.4090                 NaN  0.859635E-001  0.174260       0.128842       0.201903                 NaN            NaN            NaN            NaN
  1323.88        2500.00                 NaN            NaN            NaN   99.4148                 NaN  0.849646E-001  0.172144       0.128286       0.199830                 NaN            NaN            NaN            NaN
  1322.44        2500.00                 NaN            NaN            NaN   99.4207                 NaN  0.836817E-001  0.127477       0.170717       0.197473                 NaN            NaN            NaN            NaN
  1320.99        2500.00                 NaN            NaN            NaN   99.4261                 NaN  0.824951E-001  0.127184       0.168740       0.195449                 NaN            NaN            NaN            NaN
  1319.55        2500.00                 NaN            NaN            NaN   99.4315                 NaN  0.814309E-001  0.167088       0.126533       0.193459                 NaN            NaN            NaN            NaN
  1318.10        2500.00                 NaN            NaN            NaN   99.4366                 NaN  0.809412E-001  0.165206       0.125513       0.191756                 NaN            NaN            NaN            NaN
  1316.66        2500.00                 NaN            NaN            NaN   99.4429                 NaN  0.787879E-001  0.163484       0.125825       0.189001                 NaN            NaN            NaN            NaN
  1315.21        2500.00                 NaN            NaN            NaN   99.4476                 NaN  0.782819E-001  0.124510       0.162187       0.187448                 NaN            NaN            NaN            NaN
  1313.76        2500.00                 NaN            NaN            NaN   99.4529                 NaN  0.763860E-001  0.159901       0.125511       0.185342                 NaN            NaN            NaN            NaN
  1312.32        2500.00                 NaN            NaN            NaN   99.4578                 NaN  0.756635E-001  0.124460       0.158566       0.183479                 NaN            NaN            NaN            NaN
  1310.87        2500.00                 NaN            NaN            NaN   99.4630                 NaN  0.743437E-001  0.124321       0.156761       0.181553                 NaN            NaN            NaN            NaN
  1309.43        2500.00                 NaN            NaN            NaN   95.7095                 NaN  0.415878       0.143931       0.558840       0.644092        2.52778                 NaN            NaN            NaN
  1307.98        2500.00                 NaN            NaN            NaN   85.3702                 NaN   1.36224        1.69421       0.163396        1.92013        9.48981                 NaN            NaN            NaN
  1306.53        2500.00                 NaN            NaN            NaN   86.7793                 NaN   1.25872       0.720934E-001   1.58406        1.74612        8.55969                 NaN            NaN            NaN
  1305.09        2500.00                 NaN            NaN            NaN   87.9783                 NaN   1.16890        1.48554                 NaN   1.59751        7.76980                 NaN            NaN            NaN
