|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1376.77        500.000                 NaN   98.8711                 NaN  0.352049       0.408090                 NaN  0.324818       0.439337E-001            NaN            NaN            NaN            NaN
  1375.62        500.000                 NaN   98.8872                 NaN  0.347810       0.402165                 NaN  0.320074       0.427863E-001            NaN            NaN            NaN            NaN
  1374.48        500.000                 NaN   98.9033                 NaN  0.396307       0.343383                 NaN  0.315290       0.417222E-001            NaN            NaN            NaN            NaN
  1373.33        500.000                 NaN   98.9194                 NaN  0.390084       0.339285                 NaN  0.310524       0.406678E-001            NaN            NaN            NaN            NaN
  1372.18        500.000                 NaN   98.9343                 NaN  0.384793       0.335237                 NaN  0.306067       0.396272E-001            NaN            NaN            NaN            NaN
  1371.03        500.000                 NaN   98.9478                 NaN  0.379711       0.331733                 NaN  0.302106       0.386960E-001            NaN            NaN            NaN            NaN
  1369.88        500.000                 NaN   98.9661                 NaN  0.326978       0.372675                 NaN  0.296717       0.375659E-001            NaN            NaN            NaN            NaN
  1368.73        500.000                 NaN   98.9795                 NaN  0.323551       0.367770                 NaN  0.292672       0.365515E-001            NaN            NaN            NaN            NaN
  1367.58        500.000                 NaN   98.9927                 NaN  0.363007       0.319824                 NaN  0.288763       0.356949E-001            NaN            NaN            NaN            NaN
  1366.43        500.000                 NaN   99.0048                 NaN  0.358780       0.316448                 NaN  0.285148       0.347881E-001            NaN            NaN            NaN            NaN
  1365.29        500.000                 NaN   99.0207                 NaN  0.352108       0.313106                 NaN  0.280347       0.337491E-001            NaN            NaN            NaN            NaN
  1364.14        500.000                 NaN   99.0328                 NaN  0.309999       0.347568                 NaN  0.276771       0.328286E-001            NaN            NaN            NaN            NaN
  1362.99        500.000                 NaN   99.0448                 NaN  0.306866       0.343076                 NaN  0.273182       0.320338E-001            NaN            NaN            NaN            NaN
  1361.84        500.000                 NaN   99.0580                 NaN  0.337993       0.303764                 NaN  0.269224       0.310360E-001            NaN            NaN            NaN            NaN
  1360.69        500.000                 NaN   99.0696                 NaN  0.333639       0.300656                 NaN  0.265829       0.303062E-001            NaN            NaN            NaN            NaN
  1359.54        500.000                 NaN   99.0817                 NaN  0.297936       0.328889                 NaN  0.262110       0.293162E-001            NaN            NaN            NaN            NaN
  1358.39        500.000                 NaN   99.0932                 NaN  0.324435       0.295182                 NaN  0.258660       0.285081E-001            NaN            NaN            NaN            NaN
  1357.24        500.000                 NaN   99.1043                 NaN  0.320266       0.292208                 NaN  0.255410       0.278032E-001            NaN            NaN            NaN            NaN
  1356.10        500.000                 NaN   99.1154                 NaN  0.315748       0.290101                 NaN  0.251969       0.268174E-001            NaN            NaN            NaN            NaN
  1354.95        500.000                 NaN   99.1264                 NaN  0.311410       0.287470                 NaN  0.248647       0.260268E-001            NaN            NaN            NaN            NaN
  1353.80        500.000                 NaN   99.1361                 NaN  0.285368       0.307493                 NaN  0.245798       0.252417E-001            NaN            NaN            NaN            NaN
  1352.65        500.000                 NaN   99.1476                 NaN  0.303228       0.282483                 NaN  0.242235       0.244244E-001            NaN            NaN            NaN            NaN
  1351.50        500.000                 NaN   99.1572                 NaN  0.299247       0.280470                 NaN  0.239369       0.236900E-001            NaN            NaN            NaN            NaN
  1350.35        500.000                 NaN   99.1669                 NaN  0.278607       0.295210                 NaN  0.236379       0.228877E-001            NaN            NaN            NaN            NaN
  1349.20        500.000                 NaN   99.1767                 NaN  0.276374       0.291377                 NaN  0.233446       0.221341E-001            NaN            NaN            NaN            NaN
  1348.06        500.000                 NaN   99.1859                 NaN  0.287168       0.274887                 NaN  0.230618       0.213791E-001            NaN            NaN            NaN            NaN
  1346.91        500.000                 NaN   99.1955                 NaN  0.272070       0.283968                 NaN  0.227753       0.207156E-001            NaN            NaN            NaN            NaN
  1345.76        500.000                 NaN   99.2048                 NaN  0.279929       0.270496                 NaN  0.224902       0.199150E-001            NaN            NaN            NaN            NaN
  1344.61        500.000                 NaN   99.2132                 NaN  0.276350       0.268939                 NaN  0.222325       0.191965E-001            NaN            NaN            NaN            NaN
  1343.46        500.000                 NaN   99.2222                 NaN  0.272455       0.267267                 NaN  0.219617       0.184733E-001            NaN            NaN            NaN            NaN
  1342.31        500.000                 NaN   99.2305                 NaN  0.269077       0.265584                 NaN  0.217066       0.177739E-001            NaN            NaN            NaN            NaN
  1341.16        500.000                 NaN   99.2388                 NaN  0.263995       0.265585                 NaN  0.214570       0.170973E-001            NaN            NaN            NaN            NaN
  1340.01        500.000                 NaN   99.2470                 NaN  0.261964       0.262784                 NaN  0.211973       0.163122E-001            NaN            NaN            NaN            NaN
  1338.87        500.000                 NaN   99.2549                 NaN  0.258532       0.261348                 NaN  0.209556       0.156294E-001            NaN            NaN            NaN            NaN
  1337.72        500.000                 NaN   99.2626                 NaN  0.255244       0.259918                 NaN  0.207207       0.149917E-001            NaN            NaN            NaN            NaN
  1336.57        500.000                 NaN   99.2705                 NaN  0.251741       0.258555                 NaN  0.204838       0.143725E-001            NaN            NaN            NaN            NaN
  1335.42        500.000                 NaN   99.2778                 NaN  0.248773       0.257241                 NaN  0.202597       0.136033E-001            NaN            NaN            NaN            NaN
  1334.27        500.000                 NaN   99.2854                 NaN  0.245184       0.256304                 NaN  0.200213       0.129451E-001            NaN            NaN            NaN            NaN
  1333.12        500.000                 NaN   99.2904                 NaN  0.242994       0.255522                 NaN  0.198680       0.124254E-001            NaN            NaN            NaN            NaN
  1331.97        500.000                 NaN   99.3013                 NaN  0.237219       0.254689                 NaN  0.195327       0.114842E-001            NaN            NaN            NaN            NaN
  1330.82        500.000                 NaN   99.3062                 NaN  0.235386       0.253761                 NaN  0.193737       0.109183E-001            NaN            NaN            NaN            NaN
  1329.68        500.000                 NaN   99.3129                 NaN  0.232207       0.252984                 NaN  0.191669       0.102488E-001            NaN            NaN            NaN            NaN
  1328.53        500.000                 NaN   99.3197                 NaN  0.229315       0.251692                 NaN  0.189581       0.966455E-002            NaN            NaN            NaN            NaN
  1327.38        500.000                 NaN   99.3259                 NaN  0.250919       0.226405                 NaN  0.187696       0.904512E-002            NaN            NaN            NaN            NaN
  1326.23        500.000                 NaN   99.3324                 NaN  0.223051       0.250661                 NaN  0.185617       0.829934E-002            NaN            NaN            NaN            NaN
  1325.08        500.000                 NaN   99.3380                 NaN  0.250493       0.220017                 NaN  0.183831       0.764636E-002            NaN            NaN            NaN            NaN
  1323.93        500.000                 NaN   99.3445                 NaN  0.216979       0.249635                 NaN  0.181877       0.705590E-002            NaN            NaN            NaN            NaN
  1322.78        500.000                 NaN   99.3505                 NaN  0.249293       0.213820                 NaN  0.179996       0.637108E-002            NaN            NaN            NaN            NaN
  1321.64        500.000                 NaN   99.3561                 NaN  0.210851       0.249023                 NaN  0.178242       0.578281E-002            NaN            NaN            NaN            NaN
  1320.49        500.000                 NaN   99.3615                 NaN  0.208366       0.248404                 NaN  0.176569       0.519425E-002            NaN            NaN            NaN            NaN
  1319.34        500.000                 NaN   99.3667                 NaN  0.205791       0.247852                 NaN  0.175017       0.461808E-002            NaN            NaN            NaN            NaN
  1318.19        500.000                 NaN   99.3737                 NaN  0.201284       0.248610                 NaN  0.172643       0.375162E-002            NaN            NaN            NaN            NaN
  1317.04        500.000                 NaN   9.65161        89.6761       0.394065                 NaN            NaN  0.278190                 NaN            NaN            NaN            NaN            NaN
  1315.89        500.000                 NaN   98.7573                 NaN  0.509194                 NaN            NaN  0.484986       0.248562                 NaN            NaN            NaN            NaN
  1314.74        500.000                 NaN   99.5563                 NaN  0.445073E-002  0.415072                 NaN  0.242034E-001            NaN            NaN            NaN            NaN            NaN
  1313.59        500.000                 NaN   99.6579                 NaN  0.330592                 NaN            NaN  0.114866E-001            NaN            NaN            NaN            NaN            NaN
  1312.45        500.000                 NaN   99.4983                 NaN  0.347746       0.179899E-001            NaN  0.135977                 NaN            NaN            NaN            NaN            NaN
  1311.30        500.000                 NaN   99.4107                 NaN  0.245629       0.182015                 NaN  0.161689                 NaN            NaN            NaN            NaN            NaN
  1310.15        500.000                 NaN   99.4145                 NaN  0.244422       0.180460                 NaN  0.160605                 NaN            NaN            NaN            NaN            NaN
  1309.00        500.000                 NaN   99.5041                 NaN  0.114414       0.215312                 NaN  0.166124                 NaN            NaN            NaN            NaN            NaN
  1307.85        500.000                 NaN   99.3346                 NaN  0.240837       0.272519                 NaN  0.152064                 NaN            NaN            NaN            NaN            NaN
  1306.70        500.000                 NaN   99.4268                 NaN  0.241082       0.175064                 NaN  0.157074                 NaN            NaN            NaN            NaN            NaN
  1305.55        500.000                 NaN   99.4305                 NaN  0.173350       0.240097                 NaN  0.156019                 NaN            NaN            NaN            NaN            NaN
  1304.40        500.000                 NaN   99.4349                 NaN  0.238868       0.171399                 NaN  0.154824                 NaN            NaN            NaN            NaN            NaN
  1303.26        500.000                 NaN   99.4383                 NaN  0.169822       0.238075                 NaN  0.153755                 NaN            NaN            NaN            NaN            NaN
  1302.11        500.000                 NaN   99.4605                 NaN  0.140057       0.246169                 NaN  0.153276                 NaN            NaN            NaN            NaN            NaN
  1300.96        500.000                 NaN   99.4268                 NaN  0.195452       0.226408                 NaN  0.151322                 NaN            NaN            NaN            NaN            NaN
  1299.81        500.000                 NaN   99.4498                 NaN  0.235564       0.164036                 NaN  0.150595                 NaN            NaN            NaN            NaN            NaN
  1298.66        500.000                 NaN   99.4528                 NaN  0.234452       0.163033                 NaN  0.149732                 NaN            NaN            NaN            NaN            NaN
  1297.51        500.000                 NaN   98.9901                 NaN  0.386616E-001            NaN            NaN  0.516395       0.454841                 NaN            NaN            NaN            NaN
  1296.36        500.000                 NaN   97.9047                 NaN  0.857242                 NaN            NaN  0.617871       0.620188                 NaN            NaN            NaN            NaN
  1295.22        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1294.07        500.000                 NaN   99.7288                 NaN  0.223409                 NaN            NaN  0.477780E-001            NaN            NaN            NaN            NaN            NaN
  1292.92        500.000                 NaN   99.3272                 NaN  0.454790                 NaN            NaN  0.217997                 NaN            NaN            NaN            NaN            NaN
  1291.77        500.000                 NaN   99.9313                 NaN  0.686503E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1290.62        500.000                 NaN   98.5504                 NaN  0.754650                 NaN            NaN  0.434144       0.260855                 NaN            NaN            NaN            NaN
  1289.47        500.000                 NaN   99.9764                 NaN            NaN            NaN            NaN  0.236267E-001            NaN            NaN            NaN            NaN            NaN
  1288.32        500.000                 NaN   99.5224                 NaN  0.353736                 NaN            NaN  0.123852                 NaN            NaN            NaN            NaN            NaN
  1287.17        500.000                 NaN   99.6563                 NaN  0.250287                 NaN            NaN  0.934279E-001            NaN            NaN            NaN            NaN            NaN
  1286.03        500.000                 NaN   99.6558                 NaN  0.250938                 NaN            NaN  0.933030E-001            NaN            NaN            NaN            NaN            NaN
  1284.88        500.000                 NaN   99.6546                 NaN  0.251880                 NaN            NaN  0.934882E-001            NaN            NaN            NaN            NaN            NaN
  1283.73        500.000                 NaN   99.6535                 NaN  0.253022                 NaN            NaN  0.934355E-001            NaN            NaN            NaN            NaN            NaN
  1282.58        500.000                 NaN   99.6498                 NaN  0.255652                 NaN            NaN  0.945194E-001            NaN            NaN            NaN            NaN            NaN
  1281.43        500.000                 NaN   99.7087                 NaN  0.187808                 NaN            NaN  0.103507                 NaN            NaN            NaN            NaN            NaN
  1280.28        500.000                 NaN   99.5822                 NaN  0.331313                 NaN            NaN  0.864795E-001            NaN            NaN            NaN            NaN            NaN
  1279.13        500.000                 NaN   97.2040                 NaN  0.803147                 NaN            NaN  0.307390                 NaN   1.68543                 NaN            NaN            NaN
  1277.98        500.000                 NaN   96.2079                 NaN  0.299805       0.787595                 NaN  0.436093                 NaN   2.23612       0.324647E-001            NaN            NaN
  1276.84        500.000                 NaN   94.0949                 NaN   1.12653       0.415661                 NaN  0.693904                 NaN   3.40871       0.260333                 NaN            NaN
  1275.69        500.000                 NaN   94.5076                 NaN   1.06517       0.368628                 NaN  0.646986                 NaN   3.16896       0.242655                 NaN            NaN
  1274.54        500.000                 NaN   94.8651                 NaN   1.01308       0.326642                 NaN  0.606160                 NaN   2.96171       0.227271                 NaN            NaN
  1273.39        500.000                 NaN   95.1775                 NaN  0.289666       0.967958                 NaN  0.570363                 NaN   2.78087       0.213678                 NaN            NaN
  1272.24        500.000                 NaN   95.4593                 NaN  0.924284       0.257830                 NaN  0.537786                 NaN   2.61915       0.201681                 NaN            NaN
  1271.09        500.000                 NaN   95.7038                 NaN  0.227137       0.890906                 NaN  0.509570                 NaN   2.47783       0.190765                 NaN            NaN
  1269.94        500.000                 NaN   95.9292                 NaN  0.200787       0.857434                 NaN  0.483449                 NaN   2.34832       0.180767                 NaN            NaN
  1268.80        500.000                 NaN   96.1318                 NaN  0.825810       0.177839                 NaN  0.459634                 NaN   2.23296       0.171988                 NaN            NaN
  1267.65        500.000                 NaN   96.3149                 NaN  0.799329       0.155581                 NaN  0.438267                 NaN   2.12825       0.163695                 NaN            NaN
  1266.50        500.000                 NaN   96.4820                 NaN  0.134851       0.775450                 NaN  0.418562                 NaN   2.03303       0.156117                 NaN            NaN
  1265.35        500.000                 NaN   96.6353                 NaN  0.116640       0.752838                 NaN  0.400553                 NaN   1.94560       0.149054                 NaN            NaN
  1264.20        500.000                 NaN   96.7785                 NaN  0.733791       0.973084E-001            NaN  0.383443                 NaN   1.86445       0.142501                 NaN            NaN
  1263.05        500.000                 NaN   96.9091                 NaN  0.716887       0.793816E-001            NaN  0.367839                 NaN   1.79035       0.136408                 NaN            NaN
  1261.90        500.000                 NaN   97.0313                 NaN  0.636034E-001  0.699783                 NaN  0.353226                 NaN   1.72139       0.130670                 NaN            NaN
  1260.75        500.000                 NaN   97.1466                 NaN  0.681191       0.505307E-001            NaN  0.339291                 NaN   1.65705       0.125374                 NaN            NaN
  1259.61        500.000                 NaN   97.2505                 NaN  0.311894E-001  0.673900                 NaN  0.326783                 NaN   1.59743       0.120182                 NaN            NaN
  1258.46        500.000                 NaN   97.3531                 NaN  0.654387       0.222515E-001            NaN  0.314329                 NaN   1.54056       0.115412                 NaN            NaN
  1257.31        500.000                 NaN   97.4447                 NaN  0.403884E-002  0.648774                 NaN  0.303257                 NaN   1.48844       0.110794                 NaN            NaN
  1256.16        500.000                 NaN   97.5322                 NaN  0.622435       0.760782E-002            NaN  0.293270                 NaN   1.43849       0.105972                 NaN            NaN
  1255.01        500.000                 NaN   97.6193                 NaN  0.604886                 NaN            NaN  0.281124                 NaN   1.39187       0.102769                 NaN            NaN
  1253.86        500.000                 NaN   97.6944                 NaN  0.587115                 NaN            NaN  0.273682                 NaN   1.34715       0.976563E-001            NaN            NaN
  1252.71        500.000                 NaN   97.7712                 NaN  0.565405                 NaN            NaN  0.263350                 NaN   1.30564       0.944413E-001            NaN            NaN
  1251.56        500.000                 NaN   97.8408                 NaN  0.547252                 NaN            NaN  0.254966                 NaN   1.26619       0.907452E-001            NaN            NaN
  1250.42        500.000                 NaN   97.9086                 NaN  0.529094                 NaN            NaN  0.246600                 NaN   1.22845       0.872647E-001            NaN            NaN
  1249.27        500.000                 NaN   97.9723                 NaN  0.511541                 NaN            NaN  0.237961                 NaN   1.19373       0.845056E-001            NaN            NaN
  1248.12        500.000                 NaN   98.0353                 NaN  0.494795                 NaN            NaN  0.230467                 NaN   1.15839       0.810826E-001            NaN            NaN
  1246.97        500.000                 NaN   98.0930                 NaN  0.479352                 NaN            NaN  0.223160                 NaN   1.12627       0.781826E-001            NaN            NaN
  1245.82        500.000                 NaN   98.1483                 NaN  0.464865                 NaN            NaN  0.216429                 NaN   1.09524       0.751981E-001            NaN            NaN
  1244.67        500.000                 NaN   98.2027                 NaN  0.449776                 NaN            NaN  0.209109                 NaN   1.06568       0.727613E-001            NaN            NaN
  1243.52        500.000                 NaN   98.2515                 NaN  0.437442                 NaN            NaN  0.203185                 NaN   1.03784       0.699953E-001            NaN            NaN
  1242.38        500.000                 NaN   98.3017                 NaN  0.423893                 NaN            NaN  0.196771                 NaN   1.01017       0.675080E-001            NaN            NaN
  1241.23        500.000                 NaN   98.3472                 NaN  0.413066                 NaN            NaN  0.192986                 NaN  0.982727       0.639849E-001            NaN            NaN
  1240.08        500.000                 NaN   98.3929                 NaN  0.399042                 NaN            NaN  0.184450                 NaN  0.960341       0.632766E-001            NaN            NaN
  1238.93        500.000                 NaN   98.4362                 NaN  0.387836                 NaN            NaN  0.179559                 NaN  0.935711       0.607228E-001            NaN            NaN
  1237.78        500.000                 NaN   98.4772                 NaN  0.377032                 NaN            NaN  0.174431                 NaN  0.912800       0.585674E-001            NaN            NaN
  1236.63        500.000                 NaN   98.5156                 NaN  0.367750                 NaN            NaN  0.170680                 NaN  0.890066       0.558947E-001            NaN            NaN
  1235.48        500.000                 NaN   98.5531                 NaN  0.357436                 NaN            NaN  0.164307                 NaN  0.870354       0.547612E-001            NaN            NaN
  1234.33        500.000                 NaN   98.5915                 NaN  0.346708                 NaN            NaN  0.159139                 NaN  0.849629       0.530469E-001            NaN            NaN
  1233.19        500.000                 NaN   98.6250                 NaN  0.338795                 NaN            NaN  0.156248                 NaN  0.829424       0.505437E-001            NaN            NaN
  1232.04        500.000                 NaN   98.6592                 NaN  0.329559                 NaN            NaN  0.150994                 NaN  0.811061       0.492162E-001            NaN            NaN
  1230.89        500.000                 NaN   98.6906                 NaN  0.321756                 NaN            NaN  0.147270                 NaN  0.792907       0.474260E-001            NaN            NaN
