|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q              O(HP)         
  1317.04        500.000                 NaN   9.63243        89.7963       0.303627                 NaN            NaN  0.267612                 NaN            NaN            NaN            NaN            NaN
  1315.89        500.000                 NaN   99.0549                 NaN  0.392907                 NaN            NaN  0.466314       0.858930E-001            NaN            NaN            NaN            NaN
  1314.74        500.000                 NaN   99.6552                 NaN  0.334628E-002  0.318236                 NaN  0.232135E-001            NaN            NaN            NaN            NaN            NaN
  1313.59        500.000                 NaN   99.7406                 NaN  0.248357                 NaN            NaN  0.110103E-001            NaN            NaN            NaN            NaN            NaN
  1312.45        500.000                 NaN   99.5948                 NaN  0.261179       0.137752E-001            NaN  0.130284                 NaN            NaN            NaN            NaN            NaN
  1311.30        500.000                 NaN   99.5216                 NaN  0.184335       0.139246                 NaN  0.154848                 NaN            NaN            NaN            NaN            NaN
  1310.15        500.000                 NaN   99.5251                 NaN  0.183260       0.137913                 NaN  0.153715                 NaN            NaN            NaN            NaN            NaN
  1309.00        500.000                 NaN   99.5926                 NaN  0.873065E-001  0.161207                 NaN  0.158881                 NaN            NaN            NaN            NaN            NaN
  1307.85        500.000                 NaN   99.4669                 NaN  0.183741       0.203994                 NaN  0.145394                 NaN            NaN            NaN            NaN            NaN
  1306.70        500.000                 NaN   99.5363                 NaN  0.180251       0.133369                 NaN  0.150058                 NaN            NaN            NaN            NaN            NaN
  1305.55        500.000                 NaN   99.5398                 NaN  0.131913       0.179352                 NaN  0.148958                 NaN            NaN            NaN            NaN            NaN
  1304.40        500.000                 NaN   99.5437                 NaN  0.178288       0.130309                 NaN  0.147726                 NaN            NaN            NaN            NaN            NaN
  1303.26        500.000                 NaN   99.5469                 NaN  0.128958       0.177516                 NaN  0.146617                 NaN            NaN            NaN            NaN            NaN
  1302.11        500.000                 NaN   99.5643                 NaN  0.106257       0.183411                 NaN  0.146067                 NaN            NaN            NaN            NaN            NaN
  1300.96        500.000                 NaN   99.5393                 NaN  0.148087       0.168498                 NaN  0.144127                 NaN            NaN            NaN            NaN            NaN
  1299.81        500.000                 NaN   99.5573                 NaN  0.175185       0.124176                 NaN  0.143340                 NaN            NaN            NaN            NaN            NaN
  1298.66        500.000                 NaN   99.5601                 NaN  0.174204       0.123262                 NaN  0.142431                 NaN            NaN            NaN            NaN            NaN
  1297.51        500.000                 NaN   99.3252                 NaN  0.294000E-001            NaN            NaN  0.490295       0.155128                 NaN            NaN            NaN            NaN
  1296.36        500.000                 NaN   98.5542                 NaN  0.649451                 NaN            NaN  0.585339       0.211045                 NaN            NaN            NaN            NaN
  1295.22        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1294.07        500.000                 NaN   99.7863                 NaN  0.168685                 NaN            NaN  0.449927E-001            NaN            NaN            NaN            NaN            NaN
  1292.92        500.000                 NaN   99.4513                 NaN  0.343555                 NaN            NaN  0.205193                 NaN            NaN            NaN            NaN            NaN
  1291.77        500.000                 NaN   99.9483                 NaN  0.516860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1290.62        500.000                 NaN   98.9533                 NaN  0.550715                 NaN            NaN  0.407924       0.880280E-001            NaN            NaN            NaN            NaN
  1289.47        500.000                 NaN   99.9779                 NaN            NaN            NaN            NaN  0.221070E-001            NaN            NaN            NaN            NaN            NaN
  1288.32        500.000                 NaN   99.6178                 NaN  0.266099                 NaN            NaN  0.116136                 NaN            NaN            NaN            NaN            NaN
  1287.17        500.000                 NaN   99.7244                 NaN  0.188035                 NaN            NaN  0.875516E-001            NaN            NaN            NaN            NaN            NaN
  1286.03        500.000                 NaN   99.7243                 NaN  0.188321                 NaN            NaN  0.874031E-001            NaN            NaN            NaN            NaN            NaN
  1284.88        500.000                 NaN   99.7236                 NaN  0.188847                 NaN            NaN  0.875449E-001            NaN            NaN            NaN            NaN            NaN
  1283.73        500.000                 NaN   99.7230                 NaN  0.189497                 NaN            NaN  0.874636E-001            NaN            NaN            NaN            NaN            NaN
  1282.58        500.000                 NaN   99.7203                 NaN  0.191279                 NaN            NaN  0.884455E-001            NaN            NaN            NaN            NaN            NaN
  1281.43        500.000                 NaN   99.7630                 NaN  0.140235                 NaN            NaN  0.968133E-001            NaN            NaN            NaN            NaN            NaN
  1280.28        500.000                 NaN   99.6718                 NaN  0.247281                 NaN            NaN  0.808747E-001            NaN            NaN            NaN            NaN            NaN
  1279.13        500.000                 NaN   97.4146                 NaN  0.598892                 NaN            NaN  0.287841                 NaN   1.69869                 NaN            NaN            NaN
  1277.98        500.000                 NaN   96.5123                 NaN  0.219747       0.586238                 NaN  0.408654                 NaN   2.25534       0.177507E-001            NaN            NaN
  1276.84        500.000                 NaN   94.6214                 NaN  0.838640       0.304769                 NaN  0.650952                 NaN   3.44174       0.142495                 NaN            NaN
  1275.69        500.000                 NaN   95.0065                 NaN  0.790924       0.269646                 NaN  0.605944                 NaN   3.19441       0.132600                 NaN            NaN
  1274.54        500.000                 NaN   95.3397                 NaN  0.750360       0.238389                 NaN  0.566806                 NaN   2.98074       0.123994                 NaN            NaN
  1273.39        500.000                 NaN   95.6306                 NaN  0.210927       0.715161                 NaN  0.532507                 NaN   2.79440       0.116395                 NaN            NaN
  1272.24        500.000                 NaN   95.8924                 NaN  0.681369       0.187356                 NaN  0.501331                 NaN   2.62789       0.109692                 NaN            NaN
  1271.09        500.000                 NaN   96.1198                 NaN  0.164689       0.655158                 NaN  0.474327                 NaN   2.48243       0.103600                 NaN            NaN
  1269.94        500.000                 NaN   96.3290                 NaN  0.145284       0.629089                 NaN  0.449358                 NaN   2.34924       0.980262E-001            NaN            NaN
  1268.80        500.000                 NaN   96.5165                 NaN  0.604668       0.128430                 NaN  0.426614                 NaN   2.23065       0.931315E-001            NaN            NaN
  1267.65        500.000                 NaN   96.6861                 NaN  0.583969       0.112139                 NaN  0.406214                 NaN   2.12306       0.885156E-001            NaN            NaN
  1266.50        500.000                 NaN   96.8407                 NaN  0.970102E-001  0.565303                 NaN  0.387418                 NaN   2.02529       0.843005E-001            NaN            NaN
  1265.35        500.000                 NaN   96.9824                 NaN  0.837496E-001  0.547644                 NaN  0.370248                 NaN   1.93556       0.803769E-001            NaN            NaN
  1264.20        500.000                 NaN   97.1145                 NaN  0.532680       0.697405E-001            NaN  0.353962                 NaN   1.85235       0.767398E-001            NaN            NaN
  1263.05        500.000                 NaN   97.2350                 NaN  0.519326       0.567886E-001            NaN  0.339113                 NaN   1.77641       0.733618E-001            NaN            NaN
  1261.90        500.000                 NaN   97.3475                 NaN  0.454210E-001  0.505916                 NaN  0.325222                 NaN   1.70577       0.701843E-001            NaN            NaN
  1260.75        500.000                 NaN   97.4532                 NaN  0.491563       0.360244E-001            NaN  0.311996                 NaN   1.63994       0.672533E-001            NaN            NaN
  1259.61        500.000                 NaN   97.5491                 NaN  0.221952E-001  0.485219                 NaN  0.300121                 NaN   1.57894       0.643870E-001            NaN            NaN
  1258.46        500.000                 NaN   97.6429                 NaN  0.470354       0.158081E-001            NaN  0.288327                 NaN   1.52085       0.617541E-001            NaN            NaN
  1257.31        500.000                 NaN   97.7272                 NaN  0.286455E-002  0.465318                 NaN  0.277835                 NaN   1.46762       0.592106E-001            NaN            NaN
  1256.16        500.000                 NaN   97.8075                 NaN  0.445543       0.538681E-002            NaN  0.268365                 NaN   1.41666       0.565652E-001            NaN            NaN
  1255.01        500.000                 NaN   97.8866                 NaN  0.432497                 NaN            NaN  0.256947                 NaN   1.36913       0.547904E-001            NaN            NaN
  1253.86        500.000                 NaN   97.9558                 NaN  0.418731                 NaN            NaN  0.249857                 NaN   1.32360       0.520036E-001            NaN            NaN
  1252.71        500.000                 NaN   98.0255                 NaN  0.402725                 NaN            NaN  0.240149                 NaN   1.28134       0.502333E-001            NaN            NaN
  1251.56        500.000                 NaN   98.0892                 NaN  0.389111                 NaN            NaN  0.232243                 NaN   1.24123       0.482125E-001            NaN            NaN
  1250.42        500.000                 NaN   98.1509                 NaN  0.375575                 NaN            NaN  0.224374                 NaN   1.20289       0.463113E-001            NaN            NaN
  1249.27        500.000                 NaN   98.2086                 NaN  0.362663                 NaN            NaN  0.216279                 NaN   1.16762       0.447975E-001            NaN            NaN
  1248.12        500.000                 NaN   98.2658                 NaN  0.350165                 NaN            NaN  0.209243                 NaN   1.13182       0.429362E-001            NaN            NaN
  1246.97        500.000                 NaN   98.3182                 NaN  0.338737                 NaN            NaN  0.202395                 NaN   1.09927       0.413563E-001            NaN            NaN
  1245.82        500.000                 NaN   98.3684                 NaN  0.327937                 NaN            NaN  0.196087                 NaN   1.06788       0.397357E-001            NaN            NaN
  1244.67        500.000                 NaN   98.4174                 NaN  0.316917                 NaN            NaN  0.189261                 NaN   1.03798       0.384082E-001            NaN            NaN
  1243.52        500.000                 NaN   98.4618                 NaN  0.307688                 NaN            NaN  0.183715                 NaN   1.00984       0.369105E-001            NaN            NaN
  1242.38        500.000                 NaN   98.5070                 NaN  0.297718                 NaN            NaN  0.177739                 NaN  0.981939       0.355630E-001            NaN            NaN
  1241.23        500.000                 NaN   98.5485                 NaN  0.289379                 NaN            NaN  0.174150                 NaN  0.954325       0.336737E-001            NaN            NaN
  1240.08        500.000                 NaN   98.5892                 NaN  0.279590                 NaN            NaN  0.166287                 NaN  0.931683       0.332684E-001            NaN            NaN
  1238.93        500.000                 NaN   98.6282                 NaN  0.271265                 NaN            NaN  0.161725                 NaN  0.906925       0.318952E-001            NaN            NaN
  1237.78        500.000                 NaN   98.6651                 NaN  0.263322                 NaN            NaN  0.156961                 NaN  0.883894       0.307340E-001            NaN            NaN
  1236.63        500.000                 NaN   98.6999                 NaN  0.256264                 NaN            NaN  0.153445                 NaN  0.861085       0.293042E-001            NaN            NaN
  1235.48        500.000                 NaN   98.7335                 NaN  0.248964                 NaN            NaN  0.147583                 NaN  0.841252       0.286837E-001            NaN            NaN
  1234.33        500.000                 NaN   98.7677                 NaN  0.241239                 NaN            NaN  0.142815                 NaN  0.820484       0.277607E-001            NaN            NaN
  1233.19        500.000                 NaN   98.7980                 NaN  0.235180                 NaN            NaN  0.140098                 NaN  0.800272       0.264273E-001            NaN            NaN
  1232.04        500.000                 NaN   98.8286                 NaN  0.228587                 NaN            NaN  0.135271                 NaN  0.781875       0.257108E-001            NaN            NaN
