|6.6.6
Archiving\03_Data\frac/QFM_m0.5/EETA/EETA_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1691.73        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.9985                 NaN            NaN            NaN  0.148577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.9912                 NaN            NaN            NaN  0.876077E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.9913                 NaN            NaN            NaN  0.871757E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.9914                 NaN            NaN            NaN  0.861882E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.9914                 NaN            NaN            NaN  0.855844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.9915                 NaN            NaN            NaN  0.849840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.9916                 NaN            NaN            NaN  0.840850E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.9916                 NaN            NaN            NaN  0.835550E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9917                 NaN            NaN            NaN  0.827518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.9918                 NaN            NaN            NaN  0.821797E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.9918                 NaN            NaN            NaN  0.817762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.9920                 NaN            NaN            NaN  0.803915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.9920                 NaN            NaN            NaN  0.799663E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.9921                 NaN            NaN            NaN  0.793784E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.9921                 NaN            NaN            NaN  0.786950E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.9922                 NaN            NaN            NaN  0.779904E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.9925                 NaN            NaN            NaN  0.753943E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.9921                 NaN            NaN            NaN  0.786669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.9924                 NaN            NaN            NaN  0.760223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.9925                 NaN            NaN            NaN  0.752724E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.9925                 NaN            NaN            NaN  0.748049E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.9926                 NaN            NaN            NaN  0.741092E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.9927                 NaN            NaN            NaN  0.732947E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.9927                 NaN            NaN            NaN  0.731190E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.9928                 NaN            NaN            NaN  0.718390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.9928                 NaN            NaN            NaN  0.715103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.9631                 NaN            NaN  0.297742E-001  0.709006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4534                 NaN            NaN  0.539278       0.729042E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4553                 NaN            NaN  0.537485       0.725720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4576                 NaN            NaN  0.535217       0.722136E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.0172                 NaN            NaN  0.291303       0.561191E-003            NaN  0.690886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7663                 NaN            NaN  0.144999                 NaN            NaN   1.08873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7842                 NaN            NaN  0.142047                 NaN            NaN   1.07375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7994                 NaN            NaN  0.139012                 NaN            NaN   1.06162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8104                 NaN            NaN  0.211744       0.455663E-002            NaN  0.973319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8613                 NaN            NaN  0.718331E-001            NaN            NaN   1.06689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8577                 NaN            NaN  0.129887                 NaN            NaN   1.01243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8608                 NaN            NaN  0.123389                 NaN            NaN   1.01581                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8872                 NaN            NaN  0.124340                 NaN            NaN  0.988443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8978                 NaN            NaN  0.121507                 NaN            NaN  0.980717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.7569                 NaN            NaN  0.136164                 NaN            NaN   1.10692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0823                 NaN            NaN  0.992208E-001            NaN            NaN  0.818463                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9376                 NaN            NaN  0.111261                 NaN            NaN  0.951157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9551                 NaN            NaN  0.112344                 NaN            NaN  0.932596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9709                 NaN            NaN  0.107630                 NaN            NaN  0.921435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.9800                 NaN            NaN  0.106718                 NaN            NaN  0.913266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.9869                 NaN            NaN  0.101335                 NaN            NaN  0.911742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0087                 NaN            NaN  0.987730E-001            NaN            NaN  0.892560                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0157                 NaN            NaN  0.982988E-001            NaN            NaN  0.885952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.0287                 NaN            NaN  0.963293E-001            NaN            NaN  0.874932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0389                 NaN            NaN  0.931952E-001            NaN            NaN  0.867887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0482                 NaN            NaN  0.913787E-001            NaN            NaN  0.860388                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.0607                 NaN            NaN  0.884356E-001            NaN            NaN  0.850913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.0692                 NaN            NaN  0.859315E-001            NaN            NaN  0.844819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.0810                 NaN            NaN  0.852626E-001            NaN            NaN  0.833699                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.0872                 NaN            NaN  0.797129E-001            NaN            NaN  0.833090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
