|6.6.6
Archiving\03_Data\fracLP/QFM_m2.25/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q              hed           
  1872.18        500.000        99.1678                 NaN            NaN  0.832210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.1678                 NaN            NaN  0.832209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.1678                 NaN            NaN  0.832208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.1678                 NaN            NaN  0.832207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.1678                 NaN            NaN  0.832206                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.1678                 NaN            NaN  0.832205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.1678                 NaN            NaN  0.832204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.1678                 NaN            NaN  0.832202                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.1678                 NaN            NaN  0.832201                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.1678                 NaN            NaN  0.832200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.1678                 NaN            NaN  0.832199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.1678                 NaN            NaN  0.832198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.1678                 NaN            NaN  0.832196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.1678                 NaN            NaN  0.832195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.1678                 NaN            NaN  0.832194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.1678                 NaN            NaN  0.832193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.1678                 NaN            NaN  0.832191                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.1678                 NaN            NaN  0.832190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.1678                 NaN            NaN  0.832189                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.1678                 NaN            NaN  0.832187                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.1678                 NaN            NaN  0.832186                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.1678                 NaN            NaN  0.832185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.1678                 NaN            NaN  0.832184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.1678                 NaN            NaN  0.832182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.1678                 NaN            NaN  0.832181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.1678                 NaN            NaN  0.832179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.1678                 NaN            NaN  0.832178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.1581                 NaN            NaN  0.832176       0.975487E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.1512                 NaN            NaN  0.832256       0.165320E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.1512                 NaN            NaN  0.832392       0.163712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.1512                 NaN            NaN  0.832526       0.162846E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.1512                 NaN            NaN  0.832660       0.161259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.1512                 NaN            NaN  0.832793       0.160398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.1512                 NaN            NaN  0.832924       0.159088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.1512                 NaN            NaN  0.833055       0.157716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.1511                 NaN            NaN  0.833185       0.156788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.1511                 NaN            NaN  0.833314       0.155461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.1511                 NaN            NaN  0.833441       0.154529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.1511                 NaN            NaN  0.833568       0.153655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.1511                 NaN            NaN  0.833695       0.151761E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.1511                 NaN            NaN  0.833819       0.151027E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.1511                 NaN            NaN  0.833943       0.149584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.1511                 NaN            NaN  0.834066       0.148581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.1510                 NaN            NaN  0.834188       0.147796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.1510                 NaN            NaN  0.834310       0.146501E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.1511                 NaN            NaN  0.834430       0.144251E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        98.6402                 NaN            NaN  0.834554       0.144056E-001  0.510890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3240                 NaN            NaN            NaN  0.145159E-001  0.661506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        98.4349                 NaN            NaN            NaN  0.332694E-001   1.53182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.9995                 NaN            NaN            NaN  0.532822E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5330                 NaN            NaN            NaN  0.929585E-002  0.457733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.2935                 NaN            NaN            NaN  0.146517E-001  0.691881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.2928                 NaN            NaN            NaN  0.146978E-001  0.692497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3012                 NaN            NaN            NaN  0.141933E-001  0.684614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3169                 NaN            NaN            NaN  0.138512E-001  0.669298                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.2525                 NaN            NaN            NaN  0.150085E-001  0.732478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2774                 NaN            NaN            NaN  0.143847E-001  0.708199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2697                 NaN            NaN            NaN  0.144234E-001  0.715862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.2853                 NaN            NaN            NaN  0.139961E-001  0.700661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.2367                 NaN            NaN            NaN  0.148250E-001  0.748455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.2515                 NaN            NaN            NaN  0.144197E-001  0.734086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.2469                 NaN            NaN            NaN  0.143982E-001  0.738692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.2430                 NaN            NaN            NaN  0.143550E-001  0.742597                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.2354                 NaN            NaN            NaN  0.143893E-001  0.750255                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.2242                 NaN            NaN            NaN  0.144951E-001  0.761293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.2265                 NaN            NaN            NaN  0.143314E-001  0.759211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.2473                 NaN            NaN            NaN  0.138571E-001  0.738797                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.1873                 NaN            NaN            NaN  0.148728E-001  0.797839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.2022                 NaN            NaN            NaN  0.144792E-001  0.783287                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.2076                 NaN            NaN            NaN  0.142644E-001  0.778146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.1972                 NaN            NaN            NaN  0.143672E-001  0.788469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.1889                 NaN            NaN            NaN  0.144304E-001  0.796652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.1899                 NaN            NaN            NaN  0.143174E-001  0.795805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.1813                 NaN            NaN            NaN  0.144107E-001  0.804314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2054                 NaN            NaN            NaN  0.138765E-001  0.780764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.1442                 NaN            NaN            NaN  0.149006E-001  0.840864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.1700                 NaN            NaN            NaN  0.143601E-001  0.815591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.1631                 NaN            NaN            NaN  0.144298E-001  0.822442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.1650                 NaN            NaN            NaN  0.143113E-001  0.820709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.1582                 NaN            NaN            NaN  0.143683E-001  0.827470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.1548                 NaN            NaN            NaN  0.143774E-001  0.830862                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.1513                 NaN            NaN            NaN  0.143719E-001  0.834339                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.1490                 NaN            NaN            NaN  0.143620E-001  0.836595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.1464                 NaN            NaN            NaN  0.143664E-001  0.839209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1434                 NaN            NaN            NaN  0.143789E-001  0.842192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.1408                 NaN            NaN            NaN  0.143914E-001  0.844821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.1428                 NaN            NaN            NaN  0.143188E-001  0.842842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.1400                 NaN            NaN            NaN  0.143465E-001  0.845662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.1382                 NaN            NaN            NaN  0.143413E-001  0.847453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.1388                 NaN            NaN            NaN  0.143307E-001  0.846909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.1251                 NaN            NaN            NaN  0.145319E-001  0.860402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.1507                 NaN            NaN            NaN  0.141044E-001  0.835225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.1386                 NaN            NaN            NaN  0.143071E-001  0.847076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.5706                 NaN            NaN            NaN  0.237547E-001   1.40566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.7118                 NaN            NaN            NaN  0.476886E-002  0.283433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.1423                 NaN            NaN            NaN  0.142645E-001  0.843451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.1441                 NaN            NaN            NaN  0.142556E-001  0.841596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.1434                 NaN            NaN            NaN  0.142707E-001  0.842322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.5467                 NaN            NaN            NaN  0.524177E-002  0.233543       0.214518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        97.9187                 NaN            NaN            NaN  0.176912E-001  0.902777        1.16087                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        97.8684                 NaN            NaN            NaN  0.535026E-002  0.137071E-005   2.12628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        97.9164                 NaN            NaN            NaN  0.552031E-002  0.837764E-001   1.99430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        97.9421                 NaN            NaN            NaN  0.472197E-002            NaN   2.05316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        97.9724                 NaN            NaN            NaN  0.449833E-002  0.105293E-005   2.02311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.0095                 NaN            NaN            NaN  0.423133E-002            NaN   1.98623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.0377                 NaN            NaN            NaN  0.400280E-002            NaN   1.95828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.0713                 NaN            NaN            NaN  0.356171E-002            NaN   1.92511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.0946                 NaN            NaN            NaN  0.330566E-002            NaN   1.90205                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.1373                 NaN            NaN            NaN  0.319536E-002            NaN   1.85948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.1596                 NaN            NaN            NaN  0.279943E-002            NaN   1.83759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.1870                 NaN            NaN            NaN  0.250349E-002            NaN   1.81051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.2129                 NaN            NaN            NaN  0.226009E-002  0.360241E-005   1.78480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.2389                 NaN            NaN            NaN  0.189889E-002            NaN   1.75923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.2640                 NaN            NaN            NaN  0.172330E-002            NaN   1.73426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.1430                 NaN            NaN            NaN  0.162886E-002            NaN   1.85538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.4498                 NaN            NaN            NaN  0.124247E-002            NaN   1.54894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.3414                 NaN            NaN            NaN  0.985727E-003            NaN   1.65759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.3589                 NaN            NaN            NaN  0.692469E-003            NaN   1.64043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.3782                 NaN            NaN            NaN  0.504203E-003            NaN   1.62128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.3983                 NaN            NaN            NaN  0.214535E-003            NaN   1.60153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.4149                 NaN            NaN            NaN  0.453273E-004            NaN   1.58505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.4389                 NaN            NaN            NaN  0.376542E-003            NaN   1.56070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.4578                 NaN            NaN            NaN  0.490455E-003            NaN   1.54173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.4759                 NaN            NaN            NaN            NaN            NaN   1.52409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.4940                 NaN            NaN            NaN            NaN            NaN   1.50599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.5114                 NaN            NaN            NaN            NaN            NaN   1.48861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.5279                 NaN            NaN            NaN            NaN            NaN   1.47211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
