|6.6.6
Archiving\03_Data\frac/QFM_m2.25/KHA22/KHA22_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       mang           Ni             O(HP)          Sp(TH)         Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1947.37        2500.00        99.7737       0.212472       0.137927E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.7737       0.212483       0.137929E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.7737       0.212493       0.137932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.7737       0.212504       0.137935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.7737       0.212515       0.137937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.7737       0.212525       0.137940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.7737       0.212536       0.137943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.1818       0.212618       0.986471E-002  0.595754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00       100.0000                 NaN            NaN  0.458808E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.7086                 NaN            NaN  0.291367                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.4247                 NaN            NaN  0.575263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.4286                 NaN            NaN  0.571397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.4321                 NaN            NaN  0.567895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.4360                 NaN            NaN  0.564030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.4383                 NaN            NaN  0.561651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.4419                 NaN            NaN  0.558122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4469                 NaN            NaN  0.553074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.4482                 NaN            NaN  0.551783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.4531                 NaN            NaN  0.546918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.4571                 NaN            NaN  0.542859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.4590                 NaN            NaN  0.541008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.4625                 NaN            NaN  0.537494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4647                 NaN            NaN  0.535321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.4648                 NaN            NaN  0.531574       0.366022E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4569                 NaN            NaN  0.532259       0.108344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4660                 NaN            NaN  0.523450       0.105975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4625                 NaN            NaN  0.526736       0.107600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4708                 NaN            NaN  0.518675       0.105309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4705                 NaN            NaN  0.518906       0.105655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4108                 NaN            NaN  0.578527       0.107032E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.5359                 NaN            NaN  0.453681       0.103881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4756                 NaN            NaN  0.513935       0.105006E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4792                 NaN            NaN  0.510428       0.104175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4801                 NaN            NaN  0.509517       0.104259E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4821                 NaN            NaN  0.507553       0.103945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4852                 NaN            NaN  0.504490       0.102900E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4849                 NaN            NaN  0.504795       0.103165E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4867                 NaN            NaN  0.503020       0.102587E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4888                 NaN            NaN  0.501028       0.102164E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4892                 NaN            NaN  0.500563       0.102239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4920                 NaN            NaN  0.497861       0.101401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4921                 NaN            NaN  0.497809       0.101240E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4896                 NaN            NaN  0.500175       0.102385E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4991                 NaN            NaN  0.491019       0.991454E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4952                 NaN            NaN  0.494754       0.100340E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4953                 NaN            NaN  0.494648       0.100289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4955                 NaN            NaN  0.494511       0.100204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4971                 NaN            NaN  0.492990       0.993915E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5022                 NaN            NaN  0.488003       0.979714E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4992                 NaN            NaN  0.490925       0.985610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4998                 NaN            NaN  0.490368       0.982944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4998                 NaN            NaN  0.490424       0.980371E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5003                 NaN            NaN  0.489894       0.977685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5009                 NaN            NaN  0.489375       0.973792E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5006                 NaN            NaN  0.489728       0.970928E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4264                 NaN            NaN  0.562502       0.111158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5750                 NaN            NaN  0.416834       0.821100E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5013                 NaN            NaN  0.489078       0.959910E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4991                 NaN            NaN  0.491301       0.960858E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5018                 NaN            NaN  0.488634       0.953752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5012                 NaN            NaN  0.489299       0.951386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4995                 NaN            NaN  0.491036       0.950481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4999                 NaN            NaN  0.490640       0.946159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4985                 NaN            NaN  0.491977       0.947425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.5088                 NaN            NaN  0.481948       0.921280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4882                 NaN            NaN  0.502270       0.955262E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4952                 NaN            NaN  0.495391       0.938659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4991                 NaN            NaN  0.491649       0.928165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4890                 NaN            NaN  0.501590       0.944441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.5026                 NaN            NaN  0.488327       0.911255E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4944                 NaN            NaN  0.496302       0.925199E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4931                 NaN            NaN  0.497699       0.924794E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5368                 NaN            NaN  0.454784       0.841236E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4472                 NaN            NaN  0.542827       0.996625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4897                 NaN            NaN  0.501129       0.916139E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4883                 NaN            NaN  0.502548       0.915582E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4891                 NaN            NaN  0.501798       0.907800E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4866                 NaN            NaN  0.504256       0.910866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4858                 NaN            NaN  0.505149       0.905142E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4844                 NaN            NaN  0.506552       0.903556E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4835                 NaN            NaN  0.507528       0.901469E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4811                 NaN            NaN  0.509927       0.900493E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4746                 NaN            NaN  0.516297       0.907553E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4850                 NaN            NaN  0.506147       0.881373E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4794                 NaN            NaN  0.511670       0.889979E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4770                 NaN            NaN  0.514101       0.889194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4751                 NaN            NaN  0.516036       0.886898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4738                 NaN            NaN  0.517365       0.884920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5338                 NaN            NaN  0.458494       0.774316E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4084                 NaN            NaN  0.581758       0.980718E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4670                 NaN            NaN  0.524146       0.883878E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4671                 NaN            NaN  0.524071       0.878406E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4716                 NaN            NaN  0.519715       0.865377E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.4660                 NaN            NaN  0.525300       0.872258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.4642                 NaN            NaN  0.527127       0.870595E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4427                 NaN            NaN  0.548261       0.899792E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.4835                 NaN            NaN  0.508181       0.831210E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.4615                 NaN            NaN  0.529887       0.862280E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.4599                 NaN            NaN  0.531441       0.861749E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.4594                 NaN            NaN  0.531988       0.859054E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.4695                 NaN            NaN  0.522079       0.839733E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.4453                 NaN            NaN  0.545929       0.875181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.4571                 NaN            NaN  0.534418       0.852494E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.4558                 NaN            NaN  0.535680       0.850193E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.4534                 NaN            NaN  0.538043       0.851475E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.4533                 NaN            NaN  0.538233       0.847880E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.4561                 NaN            NaN  0.535475       0.840592E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.4448                 NaN            NaN  0.546698       0.854676E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.4621                 NaN            NaN  0.529618       0.826394E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.4506                 NaN            NaN  0.540946       0.841989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.4584                 NaN            NaN  0.533335       0.827337E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.4533                 NaN            NaN  0.538330       0.832410E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.4535                 NaN            NaN  0.538186       0.830924E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.4529                 NaN            NaN  0.538777       0.829504E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.4547                 NaN            NaN  0.537009       0.826444E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.4548                 NaN            NaN  0.536999       0.822336E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.4555                 NaN            NaN  0.536257       0.820227E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4555                 NaN            NaN  0.536337       0.818432E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.4564                 NaN            NaN  0.535473       0.815998E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.0125                 NaN            NaN  0.363832       0.789131E-003            NaN            NaN  0.622894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5305                 NaN            NaN  0.170974                 NaN            NaN            NaN   1.29851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.5584                 NaN            NaN  0.167298                 NaN            NaN            NaN   1.27428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5869                 NaN            NaN  0.162910                 NaN            NaN            NaN   1.25018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.6086                 NaN            NaN  0.163590                 NaN            NaN            NaN   1.22780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.6452                 NaN            NaN  0.154395                 NaN            NaN            NaN   1.20045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6631                 NaN            NaN  0.152193                 NaN            NaN            NaN   1.18475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6873                 NaN            NaN  0.151813                 NaN            NaN            NaN   1.16085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.7152                 NaN            NaN  0.144534                 NaN            NaN            NaN   1.14030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.7341                 NaN            NaN  0.141911                 NaN            NaN            NaN   1.12401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.7573                 NaN            NaN  0.138189                 NaN            NaN            NaN   1.10451                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.7762                 NaN            NaN  0.136050                 NaN            NaN            NaN   1.08776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.8011                 NaN            NaN  0.131531                 NaN            NaN            NaN   1.06737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7472                 NaN            NaN  0.136226                 NaN            NaN            NaN   1.11658                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.9046                 NaN            NaN  0.120108                 NaN            NaN            NaN  0.975330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.8657                 NaN            NaN  0.122070                 NaN            NaN            NaN   1.01224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.8765                 NaN            NaN  0.118955                 NaN            NaN            NaN   1.00450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8953                 NaN            NaN  0.116767                 NaN            NaN            NaN  0.987902                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.9096                 NaN            NaN  0.112976                 NaN            NaN            NaN  0.977457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.9295                 NaN            NaN  0.112176                 NaN            NaN            NaN  0.958314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.9522                 NaN            NaN  0.109178                 NaN            NaN            NaN  0.938632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.9585                 NaN            NaN  0.103103                 NaN            NaN            NaN  0.938431                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9827                 NaN            NaN  0.103170                 NaN            NaN            NaN  0.914141                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9958                 NaN            NaN  0.101154                 NaN            NaN            NaN  0.903027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.0095                 NaN            NaN  0.986877E-001            NaN            NaN            NaN  0.891828                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0265                 NaN            NaN  0.949356E-001            NaN            NaN            NaN  0.878562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0369                 NaN            NaN  0.936494E-001            NaN            NaN            NaN  0.869408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        99.0572                 NaN            NaN  0.908273E-001            NaN            NaN            NaN  0.851940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        99.0655                 NaN            NaN  0.102842                 NaN            NaN            NaN  0.831644                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0206                 NaN            NaN  0.813178E-001            NaN            NaN            NaN  0.898105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.1604                 NaN            NaN  0.780160E-001            NaN            NaN            NaN  0.761566                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.1045                 NaN            NaN  0.802439E-001            NaN            NaN            NaN  0.815223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
