|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/ALH/ALH_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1932.33        500.000        96.8549                 NaN  0.613454E-001   2.52146       0.562260                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        500.000        96.8027                 NaN  0.389623E-001   2.53820       0.620182                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        96.7509                 NaN  0.168357E-001   2.55479       0.677445                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        96.7091                 NaN            NaN   2.56982       0.721051                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        96.6988                 NaN            NaN   2.57997       0.721185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        96.6886                 NaN            NaN   2.59009       0.721320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        96.6784                 NaN            NaN   2.60019       0.721454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        96.6682                 NaN            NaN   2.61026       0.721587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        96.6575                 NaN            NaN   2.62073       0.721724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        96.6478                 NaN            NaN   2.63035       0.721855                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        96.6378                 NaN            NaN   2.64024       0.721987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        96.6363                 NaN            NaN   2.64166       0.722061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        96.6174                 NaN            NaN   2.66034       0.722254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        96.6313                 NaN            NaN   2.64645       0.722223                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        96.5973                 NaN            NaN   2.68022       0.722519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        96.5872                 NaN            NaN   2.69014       0.722652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        96.5772                 NaN            NaN   2.70002       0.722784                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        96.5672                 NaN            NaN   2.70989       0.722916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        96.5572                 NaN            NaN   2.71974       0.723048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        96.5473                 NaN            NaN   2.72957       0.723179                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        96.5373                 NaN            NaN   2.73937       0.723311                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        96.5274                 NaN            NaN   2.74916       0.723442                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        96.5175                 NaN            NaN   2.75893       0.723573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        96.5076                 NaN            NaN   2.76867       0.723704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        96.4600                 NaN            NaN   2.77760       0.723847       0.385541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4769                 NaN            NaN  0.186991E-002            NaN  0.521238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.6025                 NaN            NaN  0.234070E-002            NaN  0.395192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.3833                 NaN            NaN            NaN            NaN  0.616692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        99.4943                 NaN            NaN            NaN            NaN  0.505738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.4908                 NaN            NaN            NaN            NaN  0.509195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.5016                 NaN            NaN            NaN            NaN  0.498443                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4996                 NaN            NaN            NaN            NaN  0.500413                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5016                 NaN            NaN            NaN            NaN  0.498398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.4909                 NaN            NaN  0.291742E-002            NaN  0.506135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5213                 NaN            NaN            NaN            NaN  0.478698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5057                 NaN            NaN            NaN            NaN  0.494333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5093                 NaN            NaN            NaN            NaN  0.490696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5108                 NaN            NaN            NaN            NaN  0.489180                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5117                 NaN            NaN            NaN            NaN  0.488263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5135                 NaN            NaN            NaN            NaN  0.486529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.5135                 NaN            NaN            NaN            NaN  0.486534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.5173                 NaN            NaN            NaN            NaN  0.482689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.5172                 NaN            NaN            NaN            NaN  0.482786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.5720                 NaN            NaN            NaN            NaN  0.427984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.4643                 NaN            NaN            NaN            NaN  0.535697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.5209                 NaN            NaN            NaN            NaN  0.479057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6503                 NaN            NaN            NaN            NaN  0.349716                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3943                 NaN            NaN            NaN            NaN  0.605696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.5224                 NaN            NaN            NaN            NaN  0.477623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.5229                 NaN            NaN            NaN            NaN  0.477147                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5840                 NaN            NaN            NaN            NaN  0.416003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4633                 NaN            NaN            NaN            NaN  0.536731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.5250                 NaN            NaN            NaN            NaN  0.475016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.5239                 NaN            NaN            NaN            NaN  0.476142                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.5252                 NaN            NaN            NaN            NaN  0.474774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.5246                 NaN            NaN            NaN            NaN  0.475441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.5246                 NaN            NaN            NaN            NaN  0.475426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5243                 NaN            NaN            NaN            NaN  0.475673                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5082                 NaN            NaN            NaN            NaN  0.491822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.5397                 NaN            NaN            NaN            NaN  0.460284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.5236                 NaN            NaN            NaN            NaN  0.476382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4862                 NaN            NaN            NaN            NaN  0.513811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5629                 NaN            NaN            NaN            NaN  0.437080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.5481                 NaN            NaN            NaN            NaN  0.451943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4921                 NaN            NaN            NaN            NaN  0.505645       0.220695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.5139                 NaN            NaN            NaN            NaN  0.476247       0.984181E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5204                 NaN            NaN            NaN            NaN  0.469950       0.963876E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.5019                 NaN            NaN            NaN            NaN  0.488136       0.999132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.5082                 NaN            NaN            NaN            NaN  0.481952       0.985130E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.5121                 NaN            NaN            NaN            NaN  0.478246       0.969034E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5061                 NaN            NaN            NaN            NaN  0.484138       0.980597E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.5093                 NaN            NaN            NaN            NaN  0.481089       0.964929E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3756                 NaN            NaN  0.607619E-002            NaN  0.607304       0.110069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.6338                 NaN            NaN            NaN            NaN  0.358318       0.789652E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5689                 NaN            NaN            NaN            NaN  0.422398       0.873448E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4405                 NaN            NaN            NaN            NaN  0.548880       0.105854E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4995                 NaN            NaN            NaN            NaN  0.490890       0.962971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.2342                 NaN            NaN            NaN            NaN  0.751208       0.146033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.7867                 NaN            NaN            NaN            NaN  0.209215       0.405311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.8468                 NaN            NaN            NaN            NaN  0.150316       0.291794E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3333                 NaN            NaN            NaN            NaN  0.654569       0.121487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.2867                 NaN            NaN            NaN            NaN  0.699652       0.136914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4905                 NaN            NaN            NaN            NaN  0.500015       0.950635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4901                 NaN            NaN            NaN            NaN  0.500478       0.946763E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.9430                 NaN            NaN            NaN            NaN   1.03739       0.195898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.9431                 NaN            NaN            NaN            NaN  0.564149E-001  0.522047E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.6171                 NaN            NaN            NaN            NaN  0.375400       0.752770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.4429                 NaN            NaN            NaN            NaN  0.547042       0.101010E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4797                 NaN            NaN            NaN            NaN  0.510966       0.937900E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4792                 NaN            NaN            NaN            NaN  0.511418       0.934176E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4889                 NaN            NaN            NaN            NaN  0.501963       0.912284E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.4640                 NaN            NaN            NaN            NaN  0.526457       0.951212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.4729                 NaN            NaN            NaN            NaN  0.517832       0.931538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.4729                 NaN            NaN            NaN            NaN  0.517878       0.925785E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.4600                 NaN            NaN            NaN            NaN  0.530545       0.947922E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4783                 NaN            NaN            NaN            NaN  0.512630       0.903169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.4644                 NaN            NaN            NaN            NaN  0.526305       0.925803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.4679                 NaN            NaN            NaN            NaN  0.522969       0.915815E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.4635                 NaN            NaN            NaN            NaN  0.527352       0.918782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.4626                 NaN            NaN            NaN            NaN  0.528257       0.916881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4610                 NaN            NaN            NaN            NaN  0.529833       0.914295E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4585                 NaN            NaN            NaN            NaN  0.532354       0.915102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.4530                 NaN            NaN            NaN            NaN  0.537800       0.920518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.4619                 NaN            NaN            NaN            NaN  0.529144       0.900009E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.4568                 NaN            NaN            NaN            NaN  0.534160       0.906464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.4538                 NaN            NaN            NaN            NaN  0.537133       0.907447E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.4540                 NaN            NaN            NaN            NaN  0.536989       0.904430E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.7785                 NaN            NaN            NaN            NaN  0.217794       0.373390E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.1231                 NaN            NaN            NaN            NaN  0.862564       0.143257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.4560                 NaN            NaN            NaN            NaN  0.535102       0.889855E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.4396                 NaN            NaN            NaN            NaN  0.551451       0.899542E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4622                 NaN            NaN            NaN            NaN  0.528881       0.892692E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4495                 NaN            NaN            NaN            NaN  0.541540       0.892726E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.4492                 NaN            NaN            NaN            NaN  0.541840       0.891109E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.4503                 NaN            NaN            NaN            NaN  0.540799       0.887884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.4493                 NaN            NaN            NaN            NaN  0.541793       0.887405E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.4472                 NaN            NaN            NaN            NaN  0.543921       0.890099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.4512                 NaN            NaN            NaN            NaN  0.539957       0.879923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.4500                 NaN            NaN            NaN            NaN  0.541169       0.880724E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.4504                 NaN            NaN            NaN            NaN  0.540858       0.878006E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.4500                 NaN            NaN            NaN            NaN  0.541193       0.876762E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.4526                 NaN            NaN            NaN            NaN  0.538718       0.871934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.4513                 NaN            NaN            NaN            NaN  0.539956       0.873612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.4032                 NaN            NaN            NaN            NaN  0.587066       0.974484E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.5062                 NaN            NaN            NaN            NaN  0.486264       0.756455E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.4552                 NaN            NaN            NaN            NaN  0.536172       0.864365E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.4408                 NaN            NaN            NaN            NaN  0.550308       0.888037E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.4747                 NaN            NaN            NaN            NaN  0.516918       0.834345E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.4026                 NaN            NaN            NaN            NaN  0.588667       0.871228E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.5195                 NaN            NaN            NaN            NaN  0.472060       0.840879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.4631                 NaN            NaN            NaN            NaN  0.528413       0.851803E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.4649                 NaN            NaN            NaN            NaN  0.526627       0.851682E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.4691                 NaN            NaN            NaN            NaN  0.522483       0.842483E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.9814                 NaN            NaN            NaN            NaN  0.707741       0.970063E-002  0.301131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.5817                 NaN            NaN            NaN            NaN  0.202547       0.198953E-002  0.213785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.7541                 NaN            NaN            NaN            NaN  0.161439E-001            NaN   1.22979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6311                 NaN            NaN            NaN            NaN  0.164541E-001            NaN   1.35245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6532                 NaN            NaN            NaN            NaN  0.129298E-001            NaN   1.33386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6747                 NaN            NaN            NaN            NaN  0.105676E-001            NaN   1.31473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.5003                 NaN            NaN            NaN            NaN  0.215702E-001            NaN  0.478163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        97.9281                 NaN            NaN            NaN            NaN  0.483700E-001            NaN   2.02348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7410                 NaN            NaN            NaN            NaN            NaN            NaN   1.25900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7068                 NaN            NaN            NaN            NaN  0.223025E-001            NaN   1.27093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.8390                 NaN            NaN            NaN            NaN  0.194947E-001            NaN   1.14148                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.8035                 NaN            NaN            NaN            NaN            NaN            NaN   1.19647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8301                 NaN            NaN            NaN            NaN  0.327486E-001            NaN   1.13718                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8411                 NaN            NaN            NaN            NaN            NaN            NaN   1.15892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8582                 NaN            NaN            NaN            NaN            NaN            NaN   1.14175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8767                 NaN            NaN            NaN            NaN  0.164059E-005            NaN   1.12332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8959                 NaN            NaN            NaN            NaN  0.170101E-001            NaN   1.08705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9124                 NaN            NaN            NaN            NaN            NaN            NaN   1.08757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9264                 NaN            NaN            NaN            NaN            NaN            NaN   1.07361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
