|6.6.6
Archiving\03_Data\fracLP/QFM_m4.75/ALH/ALH_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1822.06        500.000        99.4106                 NaN            NaN            NaN            NaN  0.589379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4726                 NaN            NaN            NaN            NaN  0.527417                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.6151                 NaN            NaN            NaN            NaN  0.384941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3326                 NaN            NaN            NaN            NaN  0.667385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4735                 NaN            NaN            NaN            NaN  0.526537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4737                 NaN            NaN            NaN            NaN  0.526304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5409                 NaN            NaN            NaN            NaN  0.459073                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4074                 NaN            NaN            NaN            NaN  0.592553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4752                 NaN            NaN            NaN            NaN  0.524753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4738                 NaN            NaN            NaN            NaN  0.526238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4750                 NaN            NaN            NaN            NaN  0.525041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.4740                 NaN            NaN            NaN            NaN  0.525988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4737                 NaN            NaN            NaN            NaN  0.526296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.4731                 NaN            NaN            NaN            NaN  0.526905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4550                 NaN            NaN            NaN            NaN  0.544953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4898                 NaN            NaN            NaN            NaN  0.510222                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4715                 NaN            NaN            NaN            NaN  0.528492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4298                 NaN            NaN            NaN            NaN  0.570166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.5146                 NaN            NaN            NaN            NaN  0.485424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.4975                 NaN            NaN            NaN            NaN  0.502462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.4345                 NaN            NaN            NaN            NaN  0.562136       0.335625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4553                 NaN            NaN            NaN            NaN  0.529712       0.149750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4621                 NaN            NaN            NaN            NaN  0.523206       0.146814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4410                 NaN            NaN            NaN            NaN  0.543745       0.152205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4480                 NaN            NaN            NaN            NaN  0.536941       0.150106E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4520                 NaN            NaN            NaN            NaN  0.533260       0.147752E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.4450                 NaN            NaN            NaN            NaN  0.540005       0.149575E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.4480                 NaN            NaN            NaN            NaN  0.537297       0.147298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.2858                 NaN            NaN  0.155587E-001            NaN  0.681737       0.169127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.5873                 NaN            NaN            NaN            NaN  0.400663       0.120684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.5152                 NaN            NaN            NaN            NaN  0.471494       0.133275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3694                 NaN            NaN            NaN            NaN  0.614380       0.161893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4353                 NaN            NaN            NaN            NaN  0.549940       0.147379E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.1359                 NaN            NaN            NaN            NaN  0.841703       0.223739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.7590                 NaN            NaN            NaN            NaN  0.234757       0.621070E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.8268                 NaN            NaN            NaN            NaN  0.168741       0.447717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.2480                 NaN            NaN            NaN            NaN  0.733348       0.186867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.1927                 NaN            NaN            NaN            NaN  0.786296       0.210062E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4230                 NaN            NaN            NaN            NaN  0.562360       0.145940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4222                 NaN            NaN            NaN            NaN  0.563289       0.145393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        98.8028                 NaN            NaN            NaN            NaN   1.16718       0.300630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.9356                 NaN            NaN            NaN            NaN  0.636461E-001  0.803768E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.5650                 NaN            NaN            NaN            NaN  0.423460       0.115830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3670                 NaN            NaN            NaN            NaN  0.617438       0.155496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.4082                 NaN            NaN            NaN            NaN  0.577381       0.144521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.4074                 NaN            NaN            NaN            NaN  0.578158       0.143967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.4180                 NaN            NaN            NaN            NaN  0.567958       0.140657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3893                 NaN            NaN            NaN            NaN  0.596058       0.146785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3989                 NaN            NaN            NaN            NaN  0.586710       0.143792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3985                 NaN            NaN            NaN            NaN  0.587207       0.143014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3831                 NaN            NaN            NaN            NaN  0.602241       0.146498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.4039                 NaN            NaN            NaN            NaN  0.582179       0.139648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3875                 NaN            NaN            NaN            NaN  0.598219       0.143295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3910                 NaN            NaN            NaN            NaN  0.594857       0.141792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3855                 NaN            NaN            NaN            NaN  0.600313       0.142359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3840                 NaN            NaN            NaN            NaN  0.601781       0.142133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3817                 NaN            NaN            NaN            NaN  0.604107       0.141831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3784                 NaN            NaN            NaN            NaN  0.607367       0.142067E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3717                 NaN            NaN            NaN            NaN  0.614009       0.142969E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3811                 NaN            NaN            NaN            NaN  0.604876       0.139838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3749                 NaN            NaN            NaN            NaN  0.611019       0.140942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3708                 NaN            NaN            NaN            NaN  0.615067       0.141177E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3706                 NaN            NaN            NaN            NaN  0.615327       0.140795E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.7442                 NaN            NaN            NaN            NaN  0.249977       0.582128E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        98.9882                 NaN            NaN            NaN            NaN  0.989513       0.223232E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3714                 NaN            NaN            NaN            NaN  0.614717       0.138803E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.3520                 NaN            NaN            NaN            NaN  0.633947       0.140345E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3775                 NaN            NaN            NaN            NaN  0.608600       0.139383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3623                 NaN            NaN            NaN            NaN  0.623759       0.139502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3616                 NaN            NaN            NaN            NaN  0.624479       0.139344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3622                 NaN            NaN            NaN            NaN  0.623858       0.138918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3605                 NaN            NaN            NaN            NaN  0.625608       0.138917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3572                 NaN            NaN            NaN            NaN  0.628832       0.139390E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.3616                 NaN            NaN            NaN            NaN  0.624608       0.137933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.3596                 NaN            NaN            NaN            NaN  0.626627       0.138136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3593                 NaN            NaN            NaN            NaN  0.626942       0.137826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.3585                 NaN            NaN            NaN            NaN  0.627769       0.137725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.3607                 NaN            NaN            NaN            NaN  0.625582       0.137053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.3587                 NaN            NaN            NaN            NaN  0.627543       0.137378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3021                 NaN            NaN            NaN            NaN  0.682564       0.153406E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.4218                 NaN            NaN            NaN            NaN  0.566246       0.119128E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.3615                 NaN            NaN            NaN            NaN  0.624902       0.136223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.3441                 NaN            NaN            NaN            NaN  0.641876       0.140022E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3833                 NaN            NaN            NaN            NaN  0.603564       0.131633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2982                 NaN            NaN            NaN            NaN  0.688001       0.137500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.4344                 NaN            NaN            NaN            NaN  0.552318       0.132879E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.3678                 NaN            NaN            NaN            NaN  0.618766       0.134685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3694                 NaN            NaN            NaN            NaN  0.617143       0.134696E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3737                 NaN            NaN            NaN            NaN  0.612996       0.133402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.8097                 NaN            NaN            NaN            NaN  0.830564       0.153651E-001  0.344387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.5137                 NaN            NaN            NaN            NaN  0.238197       0.315498E-002  0.244929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.5732                 NaN            NaN            NaN            NaN  0.189721E-001            NaN   1.40785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4320                 NaN            NaN            NaN            NaN  0.193450E-001            NaN   1.54869                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.4566                 NaN            NaN            NaN            NaN  0.152119E-001            NaN   1.52817                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.4805                 NaN            NaN            NaN            NaN  0.124414E-001            NaN   1.50704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.4251                 NaN            NaN            NaN            NaN  0.254950E-001            NaN  0.549437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        97.6239                 NaN            NaN            NaN            NaN  0.569624E-001            NaN   2.31912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5546                 NaN            NaN            NaN            NaN            NaN            NaN   1.44545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.5139                 NaN            NaN            NaN            NaN  0.263291E-001            NaN   1.45973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6651                 NaN            NaN            NaN            NaN  0.230417E-001            NaN   1.31183                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6244                 NaN            NaN            NaN            NaN            NaN            NaN   1.37561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6532                 NaN            NaN            NaN            NaN  0.387593E-001            NaN   1.30803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6660                 NaN            NaN            NaN            NaN            NaN            NaN   1.33399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6852                 NaN            NaN            NaN            NaN            NaN            NaN   1.31481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7057                 NaN            NaN            NaN            NaN  0.194745E-005            NaN   1.29426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7268                 NaN            NaN            NaN            NaN  0.201846E-001            NaN   1.25302                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7455                 NaN            NaN            NaN            NaN            NaN            NaN   1.25454                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7614                 NaN            NaN            NaN            NaN            NaN            NaN   1.23861                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
