|6.6.6
Archiving\03_Data\fracLP/QFM_m5/TIS/TIS_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1786.97        500.000        91.0266        1.00668        7.95051       0.161616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        91.0118        1.00672        7.96527       0.161623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        90.9970        1.00676        7.98009       0.161630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        90.9824        1.00680        7.99461       0.161636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        90.9678        1.00684        8.00916       0.161643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        90.9533        1.00688        8.02367       0.161650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        90.9619        1.00686        8.01510       0.161646E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        90.9366        1.00693        8.04034       0.161657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        90.9101        1.00700        8.06677       0.161669E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        90.8958        1.00704        8.08100       0.161676E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        90.9728        1.00683        8.00420       0.161641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        90.8674        1.00712        8.10928       0.161688E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        90.8533        1.00716        8.12334       0.161695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        90.8393        1.00720        8.13731       0.161701E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        90.8285        1.00723        8.14809       0.161706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        90.8115        1.00728        8.16506       0.161714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        90.7976        1.00732        8.17892       0.161720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        90.7839        1.00736        8.19258       0.161726E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        90.7702        1.00740        8.20621       0.161732E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        90.7566        1.00743        8.21981       0.161738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        90.7430        1.00747        8.23333       0.161744E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        90.7295        1.00751        8.24679       0.161751E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        90.7161        1.00755        8.26017       0.161757E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        90.7027        1.00759        8.27354       0.161763E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        90.6894        1.00762        8.28677       0.161769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        90.6762        1.00766        8.29997       0.161775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        90.6630        1.00770        8.31317       0.161781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        90.6499        1.00773        8.32619       0.161786E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        90.6368        1.00777        8.33920       0.161792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        90.6239        1.00781        8.35213       0.161798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        90.6109        1.00784        8.36504       0.161804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        90.5981        1.00788        8.37782       0.161810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        90.5853        1.00792        8.39056       0.161816E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        90.5726        1.00795        8.40329       0.161821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        90.5600        1.00799        8.41588       0.161827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        90.5474        1.00802        8.42843       0.161833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        90.5348        1.00806        8.44093       0.161838E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        90.5223        1.00809        8.45345       0.161844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        90.5339        1.00806        8.44190       0.161839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        90.4976        1.00816        8.47804       0.161855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        90.4852        1.00820        8.49042       0.161861E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        90.4731        1.00823        8.50245       0.161866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        90.4610        1.00826        8.51456       0.161872E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        90.4489        1.00830        8.52662       0.161877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        90.4038        1.00842        8.57154       0.161897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        90.4249        1.00837        8.55053       0.161888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        90.4404        1.00832        8.53506       0.161881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        90.4012        1.00843        8.57419       0.161898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        90.3894        1.00846        8.58591       0.161904E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        90.3751        1.00851        8.60025       0.161910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        90.3661        1.00853        8.60919       0.161914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        90.3770        1.00850        8.59832       0.161909E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        90.3506        1.00857        8.62461       0.161921E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        90.3316        1.00863        8.64360       0.161930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        90.3202        1.00866        8.65497       0.161935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        90.3088        1.00869        8.66628       0.161940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        90.2976        1.00872        8.67750       0.161945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        90.2864        1.00875        8.68864       0.161950E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        90.2753        1.00878        8.69973       0.161955E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        90.2642        1.00882        8.71078       0.161960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        90.2532        1.00885        8.72175       0.161965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        90.2423        1.00888        8.73264       0.161970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        90.2314        1.00891        8.74350       0.161975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        90.2206        1.00894        8.75427       0.161980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        90.2099        1.00897        8.76498       0.161984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        90.1901        1.00899        8.77397       0.161988E-001  0.107617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        90.1785        1.00913        8.78363       0.162010E-001  0.125215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        90.1688        1.00928        8.79331       0.162034E-001  0.123959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        90.1592        1.00942        8.80289       0.162058E-001  0.122483E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        90.1495        1.00957        8.81248       0.162082E-001  0.122056E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        90.1400        1.00972        8.82200       0.162105E-001  0.120918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        90.1299        1.00987        8.83169       0.162129E-001  0.123011E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        90.1213        1.01001        8.84091       0.162152E-001  0.115894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        90.1135        1.01015        8.84946       0.162174E-001  0.106747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        89.8275        1.01020        8.83163       0.159161E-001  0.137379E-001  0.301047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.6195                 NaN            NaN            NaN  0.132333E-001  0.367316                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.4347                 NaN            NaN            NaN  0.131955E-001  0.552058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4359                 NaN            NaN            NaN  0.131613E-001  0.550905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.4363                 NaN            NaN            NaN  0.131300E-001  0.550592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.9937                 NaN            NaN            NaN  0.234053E-001  0.982885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.8894                 NaN            NaN            NaN  0.253471E-002  0.108067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.6346                 NaN            NaN            NaN  0.907537E-002  0.356343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.2517                 NaN            NaN            NaN  0.168071E-001  0.731527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.4446                 NaN            NaN            NaN  0.129224E-001  0.542516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.4492                 NaN            NaN            NaN  0.128273E-001  0.537986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.0222                 NaN            NaN            NaN  0.108057E-003  0.283239       0.694486                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.5431                 NaN            NaN            NaN            NaN  0.198399E-001   1.43708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.5571                 NaN            NaN            NaN            NaN            NaN   1.44288                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.5838                 NaN            NaN            NaN            NaN            NaN   1.41621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6094                 NaN            NaN            NaN            NaN  0.434971E-001   1.34714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.6289                 NaN            NaN            NaN            NaN  0.565084E-001   1.31462                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.6474                 NaN            NaN            NaN            NaN            NaN   1.35263                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.6668                 NaN            NaN            NaN            NaN            NaN   1.33323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.6829                 NaN            NaN            NaN            NaN            NaN   1.31715                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.6747                 NaN            NaN            NaN            NaN            NaN   1.32530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.7443                 NaN            NaN            NaN            NaN            NaN   1.25571                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.7354                 NaN            NaN            NaN            NaN            NaN   1.26459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.7510                 NaN            NaN            NaN            NaN            NaN   1.24904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.7711                 NaN            NaN            NaN            NaN            NaN   1.22886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.7804                 NaN            NaN            NaN            NaN            NaN   1.21956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8034                 NaN            NaN            NaN            NaN            NaN   1.19661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
