|6.6.6
Archiving\03_Data\frac/QFM_m0.25/ALH/ALH_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1666.67        2500.00        99.3978                 NaN  0.594336       0.785625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3956                 NaN  0.596544       0.784125E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3962                 NaN  0.595972       0.780742E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3925                 NaN  0.599673       0.781347E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3961                 NaN  0.596119       0.774429E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3934                 NaN  0.598849       0.775051E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3929                 NaN  0.599412       0.770518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.7793                 NaN   1.20515       0.155773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.9709                 NaN  0.289512E-001  0.166098E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.4193                 NaN  0.573404       0.732961E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3944                 NaN  0.598018       0.761706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3935                 NaN  0.598880       0.758732E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.3957                 NaN  0.596706       0.754568E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        99.3958                 NaN  0.596636       0.753518E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        99.3951                 NaN  0.597384       0.753072E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.3960                 NaN  0.596535       0.748494E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.3983                 NaN  0.594224       0.744934E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.3973                 NaN  0.595215       0.744069E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        99.4004                 NaN  0.592175       0.738464E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        99.4010                 NaN  0.591639       0.736662E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        99.3853                 NaN  0.607201       0.754741E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        99.4221                 NaN  0.570805       0.708164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        99.4053                 NaN  0.587414       0.727198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        99.4085                 NaN  0.584329       0.722007E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        99.4112                 NaN  0.581570       0.720116E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        99.4104                 NaN  0.582373       0.718657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        99.4162                 NaN  0.576674       0.710103E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        99.4181                 NaN  0.574838       0.708670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.4191                 NaN  0.573829       0.706060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        99.4193                 NaN  0.573663       0.704214E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        99.4259                 NaN  0.567112       0.697770E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        99.4281                 NaN  0.564982       0.695824E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.4319                 NaN  0.561219       0.688328E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.4341                 NaN  0.559067       0.686180E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        99.4338                 NaN  0.559362       0.684653E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8934                 NaN  0.182990                 NaN            NaN  0.923654                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8766                 NaN  0.160199                 NaN            NaN  0.963234                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8884                 NaN  0.157345                 NaN            NaN  0.954293                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9045                 NaN  0.154620                 NaN            NaN  0.940885                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9191                 NaN  0.151585                 NaN            NaN  0.929335                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.6565                 NaN  0.192661       0.359507E-003            NaN   1.15046                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.2218                 NaN  0.106078                 NaN            NaN  0.672129                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.9594                 NaN  0.141726                 NaN            NaN  0.898868                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9757                 NaN  0.139859                 NaN            NaN  0.884472                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.9888                 NaN  0.137298                 NaN            NaN  0.873927                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0020                 NaN  0.135417                 NaN            NaN  0.862563                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0137                 NaN  0.134384                 NaN            NaN  0.851883                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0288                 NaN  0.130020                 NaN            NaN  0.841219                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.9463                 NaN  0.139450                 NaN            NaN  0.914247                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1423                 NaN  0.113412                 NaN            NaN  0.744335                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.0607                 NaN  0.122951                 NaN            NaN  0.816326                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.0699                 NaN  0.118915                 NaN            NaN  0.811230                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.0647                 NaN  0.123752                 NaN            NaN  0.811517                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1120                 NaN  0.113882                 NaN            NaN  0.774091                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1070                 NaN  0.112160                 NaN            NaN  0.780792                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1142                 NaN  0.111883                 NaN            NaN  0.773918                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.1235                 NaN  0.108390                 NaN            NaN  0.768082                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.1323                 NaN  0.107262                 NaN            NaN  0.760388                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.7241                 NaN  0.222252E-001            NaN            NaN  0.253635                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.5665                 NaN  0.182550                 NaN            NaN   1.25091                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.1607                 NaN  0.100427                 NaN            NaN  0.738906                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        99.1679                 NaN  0.976819E-001            NaN            NaN  0.734460                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        99.1761                 NaN  0.956557E-001            NaN            NaN  0.728240                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        99.1844                 NaN  0.935046E-001            NaN            NaN  0.722081                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        99.1925                 NaN  0.915129E-001            NaN            NaN  0.715964                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.2516                 NaN  0.863226E-001            NaN            NaN  0.662036                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        2500.00        99.1561                 NaN  0.939337E-001            NaN            NaN  0.749995                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        2500.00        99.2136                 NaN  0.860544E-001            NaN            NaN  0.700305                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        2500.00        99.2219                 NaN  0.849618E-001            NaN            NaN  0.693103                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        2500.00        99.2267                 NaN  0.814293E-001            NaN            NaN  0.691911                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        2500.00        99.2336                 NaN  0.792675E-001            NaN            NaN  0.687121                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        2500.00        99.0523                 NaN  0.251670E-001            NaN            NaN            NaN  0.922559                 NaN            NaN            NaN            NaN            NaN
  1486.22        2500.00        99.0261                 NaN            NaN            NaN            NaN            NaN  0.973881                 NaN            NaN            NaN            NaN            NaN
  1483.71        2500.00        99.0209                 NaN            NaN            NaN            NaN            NaN  0.979060                 NaN            NaN            NaN            NaN            NaN
  1481.20        2500.00        99.0199                 NaN  0.615043E-005            NaN            NaN            NaN  0.980108                 NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        99.0110                 NaN            NaN            NaN            NaN            NaN  0.989032                 NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.0021                 NaN            NaN            NaN            NaN            NaN  0.997880                 NaN            NaN            NaN            NaN            NaN
