|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/YM20/YM20_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1533.93        2500.00        99.4431       0.513728       0.431937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.40        2500.00        99.4466       0.511024       0.423762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.86        2500.00        99.4504       0.506052       0.435524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.33        2500.00        99.4490       0.513841       0.371409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.79        2500.00        99.4595       0.501271       0.392266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.26        2500.00        99.4592       0.502754       0.380871E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.73        2500.00        99.4624       0.500313       0.373162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.19        2500.00        99.4621       0.502760       0.351568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.66        2500.00        99.4717       0.492125       0.362117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.12        2500.00        99.3806       0.573687       0.457043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.59        2500.00        99.5740       0.398469       0.275288E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.05        2500.00        99.4780       0.489591       0.324589E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        2500.00        99.4794       0.489188       0.313692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.99        2500.00        99.4820       0.488473       0.295364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        2500.00        99.4846       0.486153       0.292522E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.92        2500.00        99.4852       0.486476       0.283566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.38        2500.00        99.4926       0.479770       0.276074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.85        2500.00        99.4907       0.483705       0.255654E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.31        2500.00        99.4940       0.481035       0.249253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.78        2500.00        99.4980       0.476390       0.256289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.25        2500.00        99.3134       0.410883       0.380782E-001  0.237664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.71        2500.00        98.5354       0.332406       0.905415E-001   1.04167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        2500.00        99.2578       0.166012       0.477362E-001  0.528499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.64        2500.00        98.9146       0.241677       0.707343E-001  0.772966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        2500.00        98.9256       0.240583       0.665335E-001  0.767306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.57        2500.00        98.9341       0.237369       0.664751E-001  0.762016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        2500.00        98.9169       0.797507E-001  0.504043E-001  0.720135       0.232850                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.51        2500.00        98.9055                 NaN  0.380228E-001  0.363547       0.692910                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.97        2500.00        98.9129                 NaN  0.369686E-001  0.362390       0.687790                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.44        2500.00        98.9246                 NaN  0.352291E-001  0.359157       0.681020                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.90        2500.00        98.9353                 NaN  0.337033E-001  0.356758       0.674205                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.37        2500.00        99.7059       0.352700E-001  0.241820E-002  0.256411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.83        2500.00        98.1885                 NaN  0.603135E-001   1.07771       0.673477                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.30        2500.00        98.9609                 NaN  0.299246E-001  0.351158       0.658034                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        2500.00        98.9688                 NaN  0.287522E-001  0.348811       0.653683                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.23        2500.00        98.9775                 NaN  0.274379E-001  0.648392       0.346715                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.9843                 NaN  0.263922E-001  0.643704       0.345649                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.9927                 NaN  0.252188E-001  0.639153       0.342944                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00        99.0009                 NaN  0.239040E-001  0.341892       0.633288                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.09        2500.00        99.0086                 NaN  0.228446E-001  0.629044       0.339515                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.56        2500.00        99.0152                 NaN  0.217546E-001  0.625259       0.337812                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.03        2500.00        99.0226                 NaN  0.205879E-001  0.336355       0.620426                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00        99.0295                 NaN  0.194226E-001  0.335033       0.616065                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00        99.0345                 NaN  0.171629E-001  0.611916       0.336389                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.1635       0.185056E-001  0.116832       0.701209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.89        2500.00        98.9485                 NaN            NaN  0.537339       0.514144                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        99.0526                 NaN  0.241585E-005  0.597296       0.350150                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.82        2500.00        99.0592                 NaN  0.471935E-002  0.595779       0.340299                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.29        2500.00        99.0651                 NaN  0.795418E-006  0.591189       0.343672                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.75        2500.00        99.0702                 NaN            NaN  0.341257       0.588532                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.22        2500.00        99.0756                 NaN  0.394470E-005  0.585439       0.338941                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.68        2500.00        99.0800                 NaN            NaN  0.336366       0.583639                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.15        2500.00        97.7583                 NaN  0.180066       0.747802       0.645692                 NaN  0.668179                 NaN            NaN            NaN            NaN
  1452.61        2500.00        97.2889                 NaN  0.267419       0.723003       0.804102                 NaN  0.916580                 NaN            NaN            NaN            NaN
  1451.08        2500.00        97.3502                 NaN  0.265735       0.786684       0.700630                 NaN  0.896734                 NaN            NaN            NaN            NaN
  1449.55        2500.00        97.4047                 NaN  0.263711       0.772933       0.679264                 NaN  0.879390                 NaN            NaN            NaN            NaN
  1448.01        2500.00        97.4753                 NaN  0.259841       0.754302       0.655062                 NaN  0.855529                 NaN            NaN            NaN            NaN
  1446.48        2500.00        97.5180                 NaN  0.262003       0.633330       0.743982                 NaN  0.842686                 NaN            NaN            NaN            NaN
  1444.94        2500.00        97.5736                 NaN  0.258581       0.728724       0.614758                 NaN  0.824304                 NaN            NaN            NaN            NaN
  1443.41        2500.00        97.6231                 NaN  0.257237       0.595416       0.716352                 NaN  0.807924                 NaN            NaN            NaN            NaN
  1441.87        2500.00        97.6731                 NaN  0.255574       0.702667       0.576902                 NaN  0.791790                 NaN            NaN            NaN            NaN
  1440.34        2500.00        97.7125                 NaN  0.255438       0.557967       0.694584                 NaN  0.779482                 NaN            NaN            NaN            NaN
  1438.81        2500.00        97.7697                 NaN  0.252140       0.677305       0.540640                 NaN  0.760223                 NaN            NaN            NaN            NaN
  1437.27        2500.00        97.8071                 NaN  0.252071       0.668316       0.524433                 NaN  0.748123                 NaN            NaN            NaN            NaN
  1435.74        2500.00        97.8509                 NaN  0.250506       0.656530       0.508008                 NaN  0.734057                 NaN            NaN            NaN            NaN
  1434.20        2500.00        97.8907                 NaN  0.249651       0.492119       0.646347                 NaN  0.721179                 NaN            NaN            NaN            NaN
  1432.67        2500.00        97.9304                 NaN  0.248596       0.477151       0.635731                 NaN  0.708096                 NaN            NaN            NaN            NaN
  1431.13        2500.00        97.9709                 NaN  0.247166       0.461803       0.625223                 NaN  0.694877                 NaN            NaN            NaN            NaN
  1429.60        2500.00        98.0074                 NaN  0.246289       0.615791       0.447722                 NaN  0.682819                 NaN            NaN            NaN            NaN
  1428.07        2500.00        98.0425                 NaN  0.245481       0.607009       0.433632                 NaN  0.671357                 NaN            NaN            NaN            NaN
  1426.53        2500.00        98.0777                 NaN  0.244584       0.597721       0.420051                 NaN  0.659934                 NaN            NaN            NaN            NaN
  1425.00        2500.00        98.1121                 NaN  0.243613       0.588979       0.406755                 NaN  0.648576                 NaN            NaN            NaN            NaN
  1423.46        2500.00        98.0562                 NaN  0.254125       0.602833       0.412774                 NaN  0.674049                 NaN            NaN            NaN            NaN
  1421.93        2500.00        98.2463                 NaN  0.234358       0.565335       0.355488                 NaN  0.598530                 NaN            NaN            NaN            NaN
  1420.39        2500.00        98.2072                 NaN  0.241450       0.564162       0.369885                 NaN  0.617323                 NaN            NaN            NaN            NaN
  1418.86        2500.00        98.2333                 NaN  0.241327       0.557765       0.358690                 NaN  0.608956                 NaN            NaN            NaN            NaN
  1417.33        2500.00        98.2684                 NaN  0.239585       0.346515       0.548251                 NaN  0.597245                 NaN            NaN            NaN            NaN
  1415.79        2500.00        98.2940                 NaN  0.239798       0.541630       0.335351                 NaN  0.589203                 NaN            NaN            NaN            NaN
  1414.26        2500.00        98.3223                 NaN  0.238404       0.534866       0.325067                 NaN  0.579356                 NaN            NaN            NaN            NaN
  1412.72        2500.00        98.3354                 NaN  0.242385       0.312610       0.533460                 NaN  0.576167                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.3862                 NaN  0.233718       0.516833       0.306215                 NaN  0.557040                 NaN            NaN            NaN            NaN
  1409.65        2500.00        98.4007                 NaN  0.237087       0.513900       0.294696                 NaN  0.553643                 NaN            NaN            NaN            NaN
  1408.12        2500.00        98.5176                 NaN  0.335344       0.608979                 NaN            NaN  0.538066                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.3546                 NaN  0.135590       0.404049       0.560220                 NaN  0.545514                 NaN            NaN            NaN            NaN
  1405.05        2500.00        98.4721                 NaN  0.235541       0.496498       0.265934                 NaN  0.529887                 NaN            NaN            NaN            NaN
  1403.52        2500.00        98.4953                 NaN  0.235034       0.490346       0.256884                 NaN  0.522460                 NaN            NaN            NaN            NaN
  1401.98        2500.00        98.5175                 NaN  0.234570       0.247906       0.485016                 NaN  0.514997                 NaN            NaN            NaN            NaN
  1400.45        2500.00        98.5386                 NaN  0.234079       0.239862       0.479566                 NaN  0.507856                 NaN            NaN            NaN            NaN
  1398.91        2500.00        98.5595                 NaN  0.233752       0.231234       0.474437                 NaN  0.501123                 NaN            NaN            NaN            NaN
  1397.38        2500.00        98.5801                 NaN  0.233128       0.223758       0.469035                 NaN  0.493971                 NaN            NaN            NaN            NaN
  1395.85        2500.00        98.6004                 NaN  0.232653       0.215649       0.464053                 NaN  0.487253                 NaN            NaN            NaN            NaN
  1394.31        2500.00        98.6176                 NaN  0.232968       0.207696       0.460193                 NaN  0.481543                 NaN            NaN            NaN            NaN
  1392.78        2500.00        98.6397                 NaN  0.231616       0.200410       0.454397                 NaN  0.473924                 NaN            NaN            NaN            NaN
  1391.24        2500.00        98.6567                 NaN  0.230980       0.193603       0.450570                 NaN  0.468125                 NaN            NaN            NaN            NaN
  1389.71        2500.00        98.6690                 NaN  0.232875       0.186337       0.447233                 NaN  0.464509                 NaN            NaN            NaN            NaN
  1388.17        2500.00        98.7007                 NaN  0.227766       0.438438       0.180552                 NaN  0.452524                 NaN            NaN            NaN            NaN
  1386.64        2500.00        98.7099                 NaN  0.230275       0.172590       0.436674                 NaN  0.450561                 NaN            NaN            NaN            NaN
  1385.11        2500.00        98.7300                 NaN  0.228425       0.166809       0.431398                 NaN  0.443371                 NaN            NaN            NaN            NaN
  1383.57        2500.00        98.7450                 NaN  0.228294       0.427907       0.160216                 NaN  0.438631                 NaN            NaN            NaN            NaN
  1382.04        2500.00        98.7618                 NaN  0.227784       0.153437       0.424144                 NaN  0.432796                 NaN            NaN            NaN            NaN
  1380.50        2500.00        98.7773                 NaN  0.227246       0.147365       0.420336                 NaN  0.427715                 NaN            NaN            NaN            NaN
  1378.97        2500.00        98.7948                 NaN  0.226038       0.415553       0.142154                 NaN  0.421422                 NaN            NaN            NaN            NaN
  1377.43        2500.00        98.8078                 NaN  0.226347       0.412297       0.136364                 NaN  0.417228                 NaN            NaN            NaN            NaN
  1375.90        2500.00        98.8252                 NaN  0.224409       0.131957       0.407514                 NaN  0.410908                 NaN            NaN            NaN            NaN
  1374.37        2500.00        98.8380                 NaN  0.224084       0.405071       0.126264                 NaN  0.406568                 NaN            NaN            NaN            NaN
  1372.83        2500.00        98.8525                 NaN  0.223338       0.121408       0.401192                 NaN  0.401560                 NaN            NaN            NaN            NaN
  1371.30        2500.00        98.8664                 NaN  0.222667       0.397901       0.116274                 NaN  0.396747                 NaN            NaN            NaN            NaN
  1369.76        2500.00        98.8776                 NaN  0.222030       0.395459       0.112165                 NaN  0.392783                 NaN            NaN            NaN            NaN
  1368.23        2500.00        98.8943                 NaN  0.220228       0.390671       0.108071                 NaN  0.386754                 NaN            NaN            NaN            NaN
  1366.69        2500.00        98.9071                 NaN  0.219657       0.387766       0.103008                 NaN  0.382462                 NaN            NaN            NaN            NaN
  1365.16        2500.00        98.9178                 NaN  0.219043       0.989106E-001  0.385570                 NaN  0.378667                 NaN            NaN            NaN            NaN
  1363.63        2500.00        98.9331                 NaN  0.217265       0.381176       0.953222E-001            NaN  0.373104                 NaN            NaN            NaN            NaN
  1362.09        2500.00        98.9442                 NaN  0.217410       0.903301E-001  0.378592                 NaN  0.369458                 NaN            NaN            NaN            NaN
  1360.56        2500.00        98.9589                 NaN  0.214326       0.374033       0.889878E-001            NaN  0.363775                 NaN            NaN            NaN            NaN
  1359.02        2500.00        98.9695                 NaN  0.214181       0.842611E-001  0.371792                 NaN  0.360221                 NaN            NaN            NaN            NaN
  1357.49        2500.00        98.9787                 NaN  0.212821       0.369419       0.821175E-001            NaN  0.356910                 NaN            NaN            NaN            NaN
  1355.95        2500.00        98.9944                 NaN  0.211453       0.365138       0.779183E-001            NaN  0.351051                 NaN            NaN            NaN            NaN
  1354.42        2500.00        99.0036                 NaN  0.210363       0.362985       0.751665E-001            NaN  0.347885                 NaN            NaN            NaN            NaN
  1352.89        2500.00        99.0148                 NaN  0.208507       0.359575       0.735125E-001            NaN  0.343642                 NaN            NaN            NaN            NaN
  1351.35        2500.00        99.0253                 NaN  0.207228       0.706494E-001  0.356980                 NaN  0.339843                 NaN            NaN            NaN            NaN
  1349.82        2500.00        99.0368                 NaN  0.205746       0.353852       0.679432E-001            NaN  0.335665                 NaN            NaN            NaN            NaN
  1348.28        2500.00        99.0469                 NaN  0.204002       0.350883       0.664061E-001            NaN  0.331849                 NaN            NaN            NaN            NaN
  1346.75        2500.00        99.0572                 NaN  0.202516       0.348019       0.641751E-001            NaN  0.328089                 NaN            NaN            NaN            NaN
  1345.21        2500.00        99.0673                 NaN  0.201012       0.617573E-001  0.345455                 NaN  0.324458                 NaN            NaN            NaN            NaN
  1343.68        2500.00        99.0769                 NaN  0.198729       0.615508E-001  0.342282                 NaN  0.320498                 NaN            NaN            NaN            NaN
  1342.15        2500.00        99.0855                 NaN  0.197171       0.339613       0.604532E-001            NaN  0.317276                 NaN            NaN            NaN            NaN
  1340.61        2500.00        99.0963                 NaN  0.195231       0.337014       0.582840E-001            NaN  0.313139                 NaN            NaN            NaN            NaN
  1339.08        2500.00        99.1056                 NaN  0.192994       0.333654       0.582322E-001            NaN  0.309559                 NaN            NaN            NaN            NaN
  1337.54        2500.00        99.1138                 NaN  0.191189       0.571577E-001  0.331506                 NaN  0.306362                 NaN            NaN            NaN            NaN
  1336.01        2500.00        99.1225                 NaN  0.188963       0.570240E-001  0.328536                 NaN  0.302955                 NaN            NaN            NaN            NaN
  1334.47        2500.00        99.1321                 NaN  0.188070       0.326316       0.539222E-001            NaN  0.299555                 NaN            NaN            NaN            NaN
  1332.94        2500.00        99.1401                 NaN  0.184189       0.322387       0.573311E-001            NaN  0.295945                 NaN            NaN            NaN            NaN
  1331.41        2500.00        99.1486                 NaN  0.182342       0.320193       0.562674E-001            NaN  0.292616                 NaN            NaN            NaN            NaN
  1329.87        2500.00        99.1565                 NaN  0.180642       0.317831       0.552220E-001            NaN  0.289805                 NaN            NaN            NaN            NaN
  1328.34        2500.00        99.1652                 NaN  0.177523       0.568315E-001  0.314434                 NaN  0.286025                 NaN            NaN            NaN            NaN
  1326.80        2500.00        99.1733                 NaN  0.175524       0.563462E-001  0.311857                 NaN  0.282940                 NaN            NaN            NaN            NaN
  1325.27        2500.00        99.1801                 NaN  0.173045       0.570244E-001  0.309728                 NaN  0.280096                 NaN            NaN            NaN            NaN
  1323.73        2500.00        99.1883                 NaN  0.170295       0.583816E-001  0.306258                 NaN  0.276775                 NaN            NaN            NaN            NaN
  1322.20        2500.00        99.1950                 NaN  0.167916       0.303766       0.594304E-001            NaN  0.273916                 NaN            NaN            NaN            NaN
  1320.67        2500.00        99.2028                 NaN  0.165418       0.301078       0.597852E-001            NaN  0.270871                 NaN            NaN            NaN            NaN
  1319.13        2500.00        99.2091                 NaN  0.162660       0.298210       0.619200E-001            NaN  0.268071                 NaN            NaN            NaN            NaN
  1317.60        2500.00        99.2167                 NaN  0.159553       0.294991       0.638043E-001            NaN  0.264923                 NaN            NaN            NaN            NaN
  1316.06        2500.00        99.2225                 NaN  0.156813       0.292484       0.657956E-001            NaN  0.262443                 NaN            NaN            NaN            NaN
  1314.53        2500.00        99.2301                 NaN  0.154262       0.667164E-001  0.289524                 NaN  0.259360                 NaN            NaN            NaN            NaN
  1312.99        2500.00        99.2365                 NaN  0.151517       0.686428E-001  0.286654                 NaN  0.256690                 NaN            NaN            NaN            NaN
  1311.46        2500.00        99.2428                 NaN  0.148615       0.708644E-001  0.283661                 NaN  0.254037                 NaN            NaN            NaN            NaN
  1309.93        2500.00        99.2490                 NaN  0.145145       0.280368       0.742184E-001            NaN  0.251264                 NaN            NaN            NaN            NaN
  1308.39        2500.00        99.2550                 NaN  0.142801       0.277897       0.755014E-001            NaN  0.248765                 NaN            NaN            NaN            NaN
  1306.86        2500.00        99.2603                 NaN  0.139619       0.791691E-001  0.274553                 NaN  0.246391                 NaN            NaN            NaN            NaN
  1305.32        2500.00        99.2659                 NaN  0.136030       0.827066E-001  0.271597                 NaN  0.243794                 NaN            NaN            NaN            NaN
  1303.79        2500.00        99.2725                 NaN  0.133335       0.268652       0.843886E-001            NaN  0.241155                 NaN            NaN            NaN            NaN
  1302.25        2500.00        99.2779                 NaN  0.130570       0.869515E-001  0.265660                 NaN  0.238889                 NaN            NaN            NaN            NaN
  1300.72        2500.00        99.2832                 NaN  0.127199       0.903518E-001  0.262853                 NaN  0.236407                 NaN            NaN            NaN            NaN
  1299.19        2500.00        99.2882                 NaN  0.123928       0.259193       0.945013E-001            NaN  0.234222                 NaN            NaN            NaN            NaN
  1297.65        2500.00        99.2931                 NaN  0.120590       0.985164E-001  0.255824                 NaN  0.231952                 NaN            NaN            NaN            NaN
  1296.12        2500.00        99.2923                 NaN  0.117700       0.106812       0.250959                 NaN  0.232268                 NaN            NaN            NaN            NaN
  1294.58        2500.00        82.0344                 NaN  0.640449        2.68069       0.798037                 NaN   2.42787       0.659725        10.7588                 NaN            NaN
  1293.05        2500.00        71.8701                 NaN  0.356166        4.09176        1.82246                 NaN   3.70454        1.36166        16.7933                 NaN            NaN
  1291.51        2500.00        77.0778                 NaN  0.201367        1.78441        3.21380                 NaN   3.03374        1.08980        13.5990                 NaN            NaN
  1289.98        2500.00        80.6374                 NaN  0.101558        1.75287        2.60751                 NaN   2.57493       0.904247        11.4214                 NaN            NaN
  1288.45        2500.00        83.2206                 NaN  0.351226E-001   2.16483        1.72177                 NaN   2.24167       0.769948        9.84601                 NaN            NaN
  1286.91        2500.00        80.4532                 NaN  0.141776E-001   1.29539        3.02992                 NaN   2.64438        1.01763        11.5453                 NaN            NaN
  1285.38        2500.00        88.3725                 NaN            NaN  0.915272        2.17889                 NaN   1.55416       0.330037        6.64915                 NaN            NaN
  1283.84        2500.00        91.8540                 NaN            NaN  0.847394        1.16384                 NaN   1.11257       0.352411        4.66983                 NaN            NaN
  1282.31        2500.00        88.9689                 NaN            NaN   1.22049        1.44392                 NaN   1.51554       0.465432        6.38569                 NaN            NaN
