|6.6.6
Archiving\03_Data\Deqfrac/QFM_m0.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             Sp(TH)         San(TH)        ilm            q             
  1518.59        2500.00        99.5159       0.451932       0.321984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.05        2500.00        99.4066       0.555408       0.379863E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.52        2500.00        99.4083       0.554976       0.367192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.99        2500.00        99.4111       0.554308       0.345923E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.45        2500.00        99.4139       0.551824       0.342736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.92        2500.00        99.4144       0.552328       0.332456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.38        2500.00        99.4229       0.544753       0.323633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.85        2500.00        99.4206       0.549364       0.299938E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.31        2500.00        99.4243       0.546441       0.292504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.78        2500.00        99.4286       0.541355       0.300894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.25        2500.00        99.2208       0.466899       0.447041E-001  0.267606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.71        2500.00        98.3441       0.377468       0.106226        1.17225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.18        2500.00        99.1596       0.188810       0.561203E-001  0.595455                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.64        2500.00        98.7712       0.274881       0.831899E-001  0.870777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.11        2500.00        98.7832       0.273748       0.783005E-001  0.864749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.57        2500.00        98.7924       0.270223       0.782803E-001  0.859090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.04        2500.00        98.7735       0.908275E-001  0.594010E-001  0.812145       0.264079                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.51        2500.00        98.7610                 NaN  0.448406E-001  0.412490       0.781676                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.97        2500.00        98.7687                 NaN  0.436389E-001  0.411466       0.776225                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.44        2500.00        98.7817                 NaN  0.416045E-001  0.407872       0.768787                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.90        2500.00        98.7933                 NaN  0.398313E-001  0.405386       0.761434                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.37        2500.00        99.6668       0.403217E-001  0.286361E-002  0.290001                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.83        2500.00        97.9467                 NaN  0.712998E-001   1.21679       0.765229                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.30        2500.00        98.8210                 NaN  0.354389E-001  0.399605       0.743986                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.77        2500.00        98.8294                 NaN  0.340692E-001  0.397135       0.739352                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.23        2500.00        98.8389                 NaN  0.325382E-001  0.733626       0.394946                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        2500.00        98.8461                 NaN  0.313218E-001  0.728629       0.393938                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.16        2500.00        98.8551                 NaN  0.299540E-001  0.723808       0.391092                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00        98.8642                 NaN  0.284118E-001  0.390025       0.717348                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.09        2500.00        98.8724                 NaN  0.271754E-001  0.712871       0.387564                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.56        2500.00        98.8794                 NaN  0.258989E-001  0.708888       0.385838                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.03        2500.00        98.8875                 NaN  0.245268E-001  0.384331       0.703659                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00        98.8949                 NaN  0.231532E-001  0.383011       0.698977                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.96        2500.00        98.9001                 NaN  0.204866E-001  0.694614       0.384829                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.0426       0.212772E-001  0.139542       0.796558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.89        2500.00        98.8009                 NaN            NaN  0.610410       0.588721                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.35        2500.00        98.9199                 NaN  0.289080E-005  0.678906       0.401212                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.82        2500.00        98.9268                 NaN  0.564914E-002  0.677451       0.390135                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.29        2500.00        98.9333                 NaN  0.952958E-006  0.672517       0.394191                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.75        2500.00        98.9386                 NaN            NaN  0.391645       0.669790                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.22        2500.00        98.9443                 NaN  0.474048E-005  0.666525       0.389184                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.68        2500.00        98.9487                 NaN            NaN  0.386499       0.664811                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.15        2500.00        97.5589                 NaN  0.216382       0.851613       0.741919                 NaN  0.631215                 NaN            NaN            NaN            NaN
  1452.61        2500.00        97.0651                 NaN  0.321803       0.831261       0.916141                 NaN  0.865694                 NaN            NaN            NaN            NaN
  1451.08        2500.00        97.1293                 NaN  0.320433       0.896920       0.806329                 NaN  0.847039                 NaN            NaN            NaN            NaN
  1449.55        2500.00        97.1866                 NaN  0.318504       0.881747       0.782364                 NaN  0.830755                 NaN            NaN            NaN            NaN
  1448.01        2500.00        97.2607                 NaN  0.314482       0.861177       0.755282                 NaN  0.808332                 NaN            NaN            NaN            NaN
  1446.48        2500.00        97.3050                 NaN  0.317718       0.730951       0.850032                 NaN  0.796313                 NaN            NaN            NaN            NaN
  1444.94        2500.00        97.3634                 NaN  0.314157       0.833180       0.710176                 NaN  0.779079                 NaN            NaN            NaN            NaN
  1443.41        2500.00        97.4149                 NaN  0.313080       0.688555       0.819686                 NaN  0.763739                 NaN            NaN            NaN            NaN
  1441.87        2500.00        97.4673                 NaN  0.311668       0.804603       0.667778                 NaN  0.748641                 NaN            NaN            NaN            NaN
  1440.34        2500.00        97.5081                 NaN  0.312159       0.646573       0.796020                 NaN  0.737162                 NaN            NaN            NaN            NaN
  1438.81        2500.00        97.5683                 NaN  0.308658       0.776817       0.627077                 NaN  0.719125                 NaN            NaN            NaN            NaN
  1437.27        2500.00        97.6068                 NaN  0.309190       0.767158       0.608983                 NaN  0.707851                 NaN            NaN            NaN            NaN
  1435.74        2500.00        97.6527                 NaN  0.307896       0.754226       0.590455                 NaN  0.694729                 NaN            NaN            NaN            NaN
  1434.20        2500.00        97.6940                 NaN  0.307450       0.572633       0.743165                 NaN  0.682733                 NaN            NaN            NaN            NaN
  1432.67        2500.00        97.7353                 NaN  0.306779       0.555764       0.731563                 NaN  0.670547                 NaN            NaN            NaN            NaN
  1431.13        2500.00        97.7777                 NaN  0.305573       0.538455       0.720082                 NaN  0.658235                 NaN            NaN            NaN            NaN
  1429.60        2500.00        97.8155                 NaN  0.305099       0.709791       0.522618                 NaN  0.647023                 NaN            NaN            NaN            NaN
  1428.07        2500.00        97.8519                 NaN  0.304724       0.700328       0.506712                 NaN  0.636378                 NaN            NaN            NaN            NaN
  1426.53        2500.00        97.8884                 NaN  0.304167       0.690240       0.491386                 NaN  0.625773                 NaN            NaN            NaN            NaN
  1425.00        2500.00        97.9241                 NaN  0.303555       0.680752       0.476353                 NaN  0.615231                 NaN            NaN            NaN            NaN
  1423.46        2500.00        97.8605                 NaN  0.317664       0.697763       0.484523                 NaN  0.639598                 NaN            NaN            NaN            NaN
  1421.93        2500.00        98.0664                 NaN  0.293320       0.654734       0.417310                 NaN  0.568245                 NaN            NaN            NaN            NaN
  1420.39        2500.00        98.0224                 NaN  0.302747       0.653920       0.434658                 NaN  0.586293                 NaN            NaN            NaN            NaN
  1418.86        2500.00        98.0490                 NaN  0.303227       0.647187       0.422021                 NaN  0.578591                 NaN            NaN            NaN            NaN
  1417.33        2500.00        98.0858                 NaN  0.301683       0.408111       0.636678                 NaN  0.567717                 NaN            NaN            NaN            NaN
  1415.79        2500.00        98.1121                 NaN  0.302522       0.629611       0.395425                 NaN  0.560325                 NaN            NaN            NaN            NaN
  1414.26        2500.00        98.1412                 NaN  0.301427       0.622396       0.383789                 NaN  0.551217                 NaN            NaN            NaN            NaN
  1412.72        2500.00        98.1535                 NaN  0.307105       0.369539       0.621410                 NaN  0.548441                 NaN            NaN            NaN            NaN
  1411.19        2500.00        98.2078                 NaN  0.296713       0.602596       0.362364                 NaN  0.530508                 NaN            NaN            NaN            NaN
  1409.65        2500.00        98.2220                 NaN  0.301626       0.599733       0.349145                 NaN  0.527534                 NaN            NaN            NaN            NaN
  1408.12        2500.00        98.3476                 NaN  0.427584       0.711733                 NaN            NaN  0.513036                 NaN            NaN            NaN            NaN
  1406.59        2500.00        98.1686                 NaN  0.173198       0.472544       0.665323                 NaN  0.520288                 NaN            NaN            NaN            NaN
  1405.05        2500.00        98.2952                 NaN  0.301561       0.581329       0.316245                 NaN  0.505703                 NaN            NaN            NaN            NaN
  1403.52        2500.00        98.3190                 NaN  0.301522       0.574722       0.305841                 NaN  0.498893                 NaN            NaN            NaN            NaN
  1401.98        2500.00        98.3418                 NaN  0.301562       0.295515       0.569060                 NaN  0.492046                 NaN            NaN            NaN            NaN
  1400.45        2500.00        98.3633                 NaN  0.301599       0.286299       0.563320                 NaN  0.485504                 NaN            NaN            NaN            NaN
  1398.91        2500.00        98.3846                 NaN  0.301820       0.276331       0.557883                 NaN  0.479352                 NaN            NaN            NaN            NaN
  1397.38        2500.00        98.4056                 NaN  0.301654       0.267766       0.552192                 NaN  0.472796                 NaN            NaN            NaN            NaN
  1395.85        2500.00        98.4264                 NaN  0.301673       0.258384       0.546914                 NaN  0.466653                 NaN            NaN            NaN            NaN
  1394.31        2500.00        98.4436                 NaN  0.302756       0.249186       0.543003                 NaN  0.461474                 NaN            NaN            NaN            NaN
  1392.78        2500.00        98.4664                 NaN  0.301628       0.240740       0.536742                 NaN  0.454464                 NaN            NaN            NaN            NaN
  1391.24        2500.00        98.4836                 NaN  0.301445       0.232862       0.532911                 NaN  0.449195                 NaN            NaN            NaN            NaN
  1389.71        2500.00        98.4954                 NaN  0.304581       0.224459       0.529579                 NaN  0.446019                 NaN            NaN            NaN            NaN
  1388.17        2500.00        98.5292                 NaN  0.298558       0.519705       0.217737                 NaN  0.434810                 NaN            NaN            NaN            NaN
  1386.64        2500.00        98.5376                 NaN  0.302451       0.208434       0.518285                 NaN  0.433216                 NaN            NaN            NaN            NaN
  1385.11        2500.00        98.5585                 NaN  0.300695       0.201686       0.512547                 NaN  0.426601                 NaN            NaN            NaN            NaN
  1383.57        2500.00        98.5735                 NaN  0.301187       0.508996       0.193965                 NaN  0.422336                 NaN            NaN            NaN            NaN
  1382.04        2500.00        98.5907                 NaN  0.301123       0.185995       0.505158                 NaN  0.417016                 NaN            NaN            NaN            NaN
  1380.50        2500.00        98.6065                 NaN  0.301048       0.178880       0.501182                 NaN  0.412419                 NaN            NaN            NaN            NaN
  1378.97        2500.00        98.6243                 NaN  0.300124       0.496083       0.172801                 NaN  0.406650                 NaN            NaN            NaN            NaN
  1377.43        2500.00        98.6371                 NaN  0.301185       0.492782       0.165982                 NaN  0.402902                 NaN            NaN            NaN            NaN
  1375.90        2500.00        98.6552                 NaN  0.299214       0.160850       0.487675                 NaN  0.397099                 NaN            NaN            NaN            NaN
  1374.37        2500.00        98.6678                 NaN  0.299482       0.485394       0.154110                 NaN  0.393204                 NaN            NaN            NaN            NaN
  1372.83        2500.00        98.6825                 NaN  0.299119       0.148383       0.481329                 NaN  0.388660                 NaN            NaN            NaN            NaN
  1371.30        2500.00        98.6965                 NaN  0.298869       0.477982       0.142303                 NaN  0.384303                 NaN            NaN            NaN            NaN
  1369.76        2500.00        98.7073                 NaN  0.298768       0.475731       0.137483                 NaN  0.380763                 NaN            NaN            NaN            NaN
  1368.23        2500.00        98.7248                 NaN  0.296876       0.470473       0.132625                 NaN  0.375220                 NaN            NaN            NaN            NaN
  1366.69        2500.00        98.7377                 NaN  0.296745       0.467569       0.126585                 NaN  0.371356                 NaN            NaN            NaN            NaN
  1365.16        2500.00        98.7481                 NaN  0.296588       0.121742       0.465600                 NaN  0.367971                 NaN            NaN            NaN            NaN
  1363.63        2500.00        98.7641                 NaN  0.294774       0.460793       0.117463                 NaN  0.362865                 NaN            NaN            NaN            NaN
  1362.09        2500.00        98.7751                 NaN  0.295616       0.111464       0.458205                 NaN  0.359619                 NaN            NaN            NaN            NaN
  1360.56        2500.00        98.7903                 NaN  0.292040       0.453335       0.109962                 NaN  0.354385                 NaN            NaN            NaN            NaN
  1359.02        2500.00        98.8009                 NaN  0.292447       0.104263       0.451210                 NaN  0.351219                 NaN            NaN            NaN            NaN
  1357.49        2500.00        98.8098                 NaN  0.291204       0.448919       0.101756                 NaN  0.348287                 NaN            NaN            NaN            NaN
  1355.95        2500.00        98.8261                 NaN  0.290027       0.444308       0.966939E-001            NaN  0.342867                 NaN            NaN            NaN            NaN
  1354.42        2500.00        98.8352                 NaN  0.289113       0.442218       0.933937E-001            NaN  0.340068                 NaN            NaN            NaN            NaN
  1352.89        2500.00        98.8464                 NaN  0.287199       0.438676       0.914786E-001            NaN  0.336215                 NaN            NaN            NaN            NaN
  1351.35        2500.00        98.8570                 NaN  0.286048       0.880394E-001  0.436091                 NaN  0.332791                 NaN            NaN            NaN            NaN
  1349.82        2500.00        98.8689                 NaN  0.284557       0.432800       0.847768E-001            NaN  0.328991                 NaN            NaN            NaN            NaN
  1348.28        2500.00        98.8789                 NaN  0.282777       0.429754       0.829787E-001            NaN  0.325542                 NaN            NaN            NaN            NaN
  1346.75        2500.00        98.8894                 NaN  0.281304       0.426817       0.803036E-001            NaN  0.322142                 NaN            NaN            NaN            NaN
  1345.21        2500.00        98.8998                 NaN  0.279769       0.773810E-001  0.424212                 NaN  0.318865                 NaN            NaN            NaN            NaN
  1343.68        2500.00        98.9094                 NaN  0.277228       0.772362E-001  0.420925                 NaN  0.315259                 NaN            NaN            NaN            NaN
  1342.15        2500.00        98.9178                 NaN  0.275705       0.418159       0.759775E-001            NaN  0.312375                 NaN            NaN            NaN            NaN
  1340.61        2500.00        98.9291                 NaN  0.273451       0.415529       0.733383E-001            NaN  0.308586                 NaN            NaN            NaN            NaN
  1339.08        2500.00        98.9384                 NaN  0.270923       0.411938       0.733782E-001            NaN  0.305339                 NaN            NaN            NaN            NaN
  1337.54        2500.00        98.9466                 NaN  0.268971       0.721252E-001  0.409850                 NaN  0.302466                 NaN            NaN            NaN            NaN
  1336.01        2500.00        98.9554                 NaN  0.266409       0.720597E-001  0.406736                 NaN  0.299381                 NaN            NaN            NaN            NaN
  1334.47        2500.00        98.9654                 NaN  0.265590       0.404483       0.682247E-001            NaN  0.296299                 NaN            NaN            NaN            NaN
  1332.94        2500.00        98.9734                 NaN  0.260767       0.400192       0.726468E-001            NaN  0.293003                 NaN            NaN            NaN            NaN
  1331.41        2500.00        98.9819                 NaN  0.258680       0.397999       0.713987E-001            NaN  0.289980                 NaN            NaN            NaN            NaN
  1329.87        2500.00        98.9900                 NaN  0.256760       0.395633       0.701630E-001            NaN  0.287466                 NaN            NaN            NaN            NaN
  1328.34        2500.00        98.9990                 NaN  0.252859       0.723049E-001  0.391870                 NaN  0.283985                 NaN            NaN            NaN            NaN
  1326.80        2500.00        99.0073                 NaN  0.250498       0.717905E-001  0.389211                 NaN  0.281190                 NaN            NaN            NaN            NaN
  1325.27        2500.00        99.0141                 NaN  0.247460       0.727515E-001  0.387109                 NaN  0.278629                 NaN            NaN            NaN            NaN
  1323.73        2500.00        99.0225                 NaN  0.244034       0.745878E-001  0.383271                 NaN  0.275589                 NaN            NaN            NaN            NaN
  1322.20        2500.00        99.0292                 NaN  0.241136       0.380665       0.760341E-001            NaN  0.273003                 NaN            NaN            NaN            NaN
  1320.67        2500.00        99.0374                 NaN  0.237992       0.377803       0.765904E-001            NaN  0.270228                 NaN            NaN            NaN            NaN
  1319.13        2500.00        99.0436                 NaN  0.234530       0.374739       0.794346E-001            NaN  0.267691                 NaN            NaN            NaN            NaN
  1317.60        2500.00        99.0516                 NaN  0.230497       0.371162       0.819574E-001            NaN  0.264803                 NaN            NaN            NaN            NaN
  1316.06        2500.00        99.0572                 NaN  0.227009       0.368566       0.846341E-001            NaN  0.262576                 NaN            NaN            NaN            NaN
  1314.53        2500.00        99.0653                 NaN  0.223741       0.859289E-001  0.365276                 NaN  0.259743                 NaN            NaN            NaN            NaN
  1312.99        2500.00        99.0718                 NaN  0.220176       0.885311E-001  0.362158                 NaN  0.257318                 NaN            NaN            NaN            NaN
  1311.46        2500.00        99.0783                 NaN  0.216395       0.915150E-001  0.358854                 NaN  0.254904                 NaN            NaN            NaN            NaN
  1309.93        2500.00        99.0847                 NaN  0.211763       0.355168       0.959734E-001            NaN  0.252366                 NaN            NaN            NaN            NaN
  1308.39        2500.00        99.0909                 NaN  0.208756       0.352505       0.977565E-001            NaN  0.250098                 NaN            NaN            NaN            NaN
  1306.86        2500.00        99.0961                 NaN  0.204519       0.102648       0.348761                 NaN  0.247950                 NaN            NaN            NaN            NaN
  1305.32        2500.00        99.1019                 NaN  0.199669       0.107371       0.345465                 NaN  0.245574                 NaN            NaN            NaN            NaN
  1303.79        2500.00        99.1090                 NaN  0.196050       0.342154       0.109689                 NaN  0.243151                 NaN            NaN            NaN            NaN
  1302.25        2500.00        99.1146                 NaN  0.192339       0.113161       0.338794                 NaN  0.241100                 NaN            NaN            NaN            NaN
  1300.72        2500.00        99.1201                 NaN  0.187734       0.117735       0.335656                 NaN  0.238825                 NaN            NaN            NaN            NaN
  1299.19        2500.00        99.1251                 NaN  0.183274       0.331441       0.123302                 NaN  0.236846                 NaN            NaN            NaN            NaN
  1297.65        2500.00        99.1303                 NaN  0.178669       0.128700       0.327586                 NaN  0.234776                 NaN            NaN            NaN            NaN
  1296.12        2500.00        99.1283                 NaN  0.174834       0.139738       0.321813                 NaN  0.235322                 NaN            NaN            NaN            NaN
  1294.58        2500.00        81.0247                 NaN  0.943741        3.40418        1.03382                 NaN   2.43277        1.13099        10.0298                 NaN            NaN
  1293.05        2500.00        70.4205                 NaN  0.523097        5.16607        2.34776                 NaN   3.68454        2.32099        15.5370                 NaN            NaN
  1291.51        2500.00        75.7809                 NaN  0.298163        2.31183        4.08011                 NaN   3.02972        1.86797        12.6313                 NaN            NaN
  1289.98        2500.00        79.4657                 NaN  0.151405        2.28140        3.32522                 NaN   2.57951        1.55685        10.6399                 NaN            NaN
  1288.45        2500.00        82.1502                 NaN  0.526638E-001   2.77125        2.24968                 NaN   2.25138        1.33064        9.19413                 NaN            NaN
  1286.91        2500.00        79.2117                 NaN  0.214936E-001   1.69509        3.88502                 NaN   2.65374        1.76131        10.7717                 NaN            NaN
  1285.38        2500.00        87.5643                 NaN            NaN   1.18086        2.86895                 NaN   1.57010       0.572152        6.24366                 NaN            NaN
  1283.84        2500.00        91.2195                 NaN            NaN   1.09862        1.53979                 NaN   1.12760       0.616285        4.39821                 NaN            NaN
  1282.31        2500.00        88.1561                 NaN            NaN   1.58152        1.90832                 NaN   1.53439       0.813171        6.00652                 NaN            NaN
  1280.77        2500.00        78.2304                 NaN  0.176999E-005   2.64558        3.57717                 NaN   2.88252        1.69213        10.9722                 NaN            NaN
