|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1412.69        500.000        98.3276       0.683780       0.540422                 NaN  0.448160       0.522164E-005            NaN            NaN            NaN
  1411.59        500.000        98.3498       0.675077       0.533279                 NaN  0.441851                 NaN            NaN            NaN            NaN
  1410.49        500.000        98.3681       0.666908       0.528208                 NaN  0.436782       0.182007E-005            NaN            NaN            NaN
  1409.39        500.000        98.3898       0.658246       0.521525                 NaN  0.430419                 NaN            NaN            NaN            NaN
  1408.29        500.000        98.4107       0.515214       0.649069                 NaN  0.424983                 NaN            NaN            NaN            NaN
  1407.19        500.000        98.4286       0.511654       0.631891                 NaN  0.420638       0.721136E-002            NaN            NaN            NaN
  1406.08        500.000        98.4467       0.499306       0.531030                 NaN  0.430200       0.927570E-001            NaN            NaN            NaN
  1404.98        500.000        98.4721       0.542255       0.397010                 NaN  0.432067       0.156558                 NaN            NaN            NaN
  1403.88        500.000        98.4802       0.390102       0.540561                 NaN  0.430153       0.158977                 NaN            NaN            NaN
  1402.78        500.000        98.5029       0.535853       0.376571                 NaN  0.424280       0.160382                 NaN            NaN            NaN
  1401.68        500.000        98.3483       0.526704       0.628854                 NaN  0.440710       0.554694E-001            NaN            NaN            NaN
  1400.58        500.000        98.7071       0.996147E-001  0.528845                 NaN  0.394515       0.269935                 NaN            NaN            NaN
  1399.48        500.000        98.5545       0.349061       0.522156                 NaN  0.410307       0.164010                 NaN            NaN            NaN
  1398.38        500.000        98.5706       0.518689       0.339915                 NaN  0.405785       0.165059                 NaN            NaN            NaN
  1397.28        500.000        98.5854       0.331320       0.515090                 NaN  0.401816       0.166355                 NaN            NaN            NaN
  1396.18        500.000        98.6040       0.321467       0.510144                 NaN  0.396840       0.167537                 NaN            NaN            NaN
  1395.08        500.000        98.6178       0.506978       0.313470                 NaN  0.393037       0.168749                 NaN            NaN            NaN
  1393.98        500.000        98.6325       0.503715       0.304899                 NaN  0.389007       0.169858                 NaN            NaN            NaN
  1392.88        500.000        98.6495       0.498878       0.296164                 NaN  0.384396       0.171072                 NaN            NaN            NaN
  1391.78        500.000        98.6632       0.288009       0.495776                 NaN  0.380709       0.172344                 NaN            NaN            NaN
  1390.68        500.000        98.6774       0.280147       0.492374                 NaN  0.376712       0.173366                 NaN            NaN            NaN
  1389.58        500.000        98.6867       0.272888       0.491119                 NaN  0.374423       0.174826                 NaN            NaN            NaN
  1388.48        500.000        98.7022       0.264799       0.486992                 NaN  0.369884       0.176169                 NaN            NaN            NaN
  1387.38        500.000        98.7243       0.480325       0.255866                 NaN  0.363657       0.175805                 NaN            NaN            NaN
  1386.28        500.000        98.7323       0.479408       0.248625                 NaN  0.361855       0.177769                 NaN            NaN            NaN
  1385.18        500.000        98.7444       0.476977       0.240960                 NaN  0.358537       0.179125                 NaN            NaN            NaN
  1384.07        500.000        98.7587       0.233395       0.472522                 NaN  0.354807       0.180560                 NaN            NaN            NaN
  1382.97        500.000        98.7734       0.469368       0.226839                 NaN  0.350309       0.180043                 NaN            NaN            NaN
  1381.87        500.000        98.7829       0.467416       0.219763                 NaN  0.347912       0.181975                 NaN            NaN            NaN
  1380.77        500.000        99.3084       0.285529                 NaN            NaN  0.211236       0.194862                 NaN            NaN            NaN
  1379.67        500.000        98.2640       0.394404       0.659988                 NaN  0.484342       0.197292                 NaN            NaN            NaN
  1378.57        500.000        98.8196       0.449260       0.236880                 NaN  0.334022       0.160194                 NaN            NaN            NaN
  1377.47        500.000        98.8303       0.200316       0.454857                 NaN  0.334081       0.180456                 NaN            NaN            NaN
  1376.37        500.000        98.8418       0.186079       0.454222                 NaN  0.331694       0.186250                 NaN            NaN            NaN
  1375.27        500.000        98.8526       0.451714       0.180256                 NaN  0.328482       0.186911                 NaN            NaN            NaN
  1374.17        500.000        98.8630       0.449242       0.173995                 NaN  0.325816       0.187988                 NaN            NaN            NaN
  1373.07        500.000        98.8725       0.167426       0.448024                 NaN  0.323189       0.188898                 NaN            NaN            NaN
  1371.97        500.000        98.8853       0.444615       0.162218                 NaN  0.319304       0.188557                 NaN            NaN            NaN
  1370.87        500.000        98.8947       0.442971       0.156123                 NaN  0.316653       0.189587                 NaN            NaN            NaN
  1369.77        500.000        98.9050       0.440410       0.149980                 NaN  0.314024       0.190634                 NaN            NaN            NaN
  1368.67        500.000        98.9137       0.145332       0.438978                 NaN  0.311195       0.190832                 NaN            NaN            NaN
  1367.57        500.000        98.9261       0.435775       0.138330                 NaN  0.308001       0.191785                 NaN            NaN            NaN
  1366.47        500.000        98.9351       0.433946       0.134061                 NaN  0.305222       0.191698                 NaN            NaN            NaN
  1365.37        500.000        98.9434       0.126704       0.433283                 NaN  0.303206       0.193408                 NaN            NaN            NaN
  1364.27        500.000        98.9543       0.122989       0.429968                 NaN  0.299795       0.192967                 NaN            NaN            NaN
  1363.17        500.000        98.9614       0.428446       0.119919                 NaN  0.297621       0.192610                 NaN            NaN            NaN
  1362.06        500.000        98.9715       0.426197       0.113866                 NaN  0.294813       0.193585                 NaN            NaN            NaN
  1360.96        500.000        98.9795       0.424904       0.108999                 NaN  0.292601       0.194045                 NaN            NaN            NaN
  1359.86        500.000        98.9853       0.101597       0.426457                 NaN  0.291242       0.195413                 NaN            NaN            NaN
  1358.76        500.000        99.0010       0.100362       0.419808                 NaN  0.285835       0.192985                 NaN            NaN            NaN
  1357.66        500.000        99.0047       0.961233E-001  0.419534                 NaN  0.285156       0.194510                 NaN            NaN            NaN
  1356.56        500.000        99.0149       0.417101       0.913833E-001            NaN  0.282103       0.194466                 NaN            NaN            NaN
  1355.46        500.000        98.8080       0.506168       0.108797                 NaN  0.341201       0.235820                 NaN            NaN            NaN
  1354.36        500.000        99.2416       0.656137E-001  0.324243                 NaN  0.216467       0.152117                 NaN            NaN            NaN
  1353.26        500.000        99.0377       0.798279E-001  0.412606                 NaN  0.275391       0.194498                 NaN            NaN            NaN
  1352.16        500.000        99.0459       0.410948       0.760323E-001            NaN  0.272840       0.194272                 NaN            NaN            NaN
  1351.06        500.000        99.0526       0.409254       0.733810E-001            NaN  0.270743       0.194029                 NaN            NaN            NaN
  1349.96        500.000        99.0611       0.407526       0.691729E-001            NaN  0.268293       0.193934                 NaN            NaN            NaN
  1348.86        500.000        99.0626       0.693986E-001  0.404079                 NaN  0.269256       0.194673                 NaN            NaN            NaN
  1347.76        500.000        98.3764       0.718460       0.104953                 NaN  0.462952       0.337221                 NaN            NaN            NaN
  1346.66        500.000        99.7906       0.952686E-001  0.935661E-002            NaN  0.587478E-001  0.460435E-001            NaN            NaN            NaN
  1345.56        500.000        99.0900       0.401987       0.559280E-001            NaN  0.259471       0.192604                 NaN            NaN            NaN
  1344.46        500.000        99.0975       0.466756E-001  0.398947                 NaN  0.259359       0.197512                 NaN            NaN            NaN
  1343.36        500.000        99.0985       0.396957       0.596398E-001            NaN  0.256279       0.188609                 NaN            NaN            NaN
  1342.26        500.000        99.1206       0.393720       0.476679E-001            NaN  0.249465       0.188574                 NaN            NaN            NaN
  1341.16        500.000        99.1170       0.599662E-001  0.391038                 NaN  0.249874       0.182113                 NaN            NaN            NaN
  1340.05        500.000        99.1164       0.403429       0.273465E-001            NaN  0.252559       0.200238                 NaN            NaN            NaN
  1338.95        500.000        99.1365       0.388025       0.462239E-001            NaN  0.244185       0.185031                 NaN            NaN            NaN
  1337.85        500.000        99.1264       0.424003E-001  0.396256                 NaN  0.247400       0.187565                 NaN            NaN            NaN
  1336.75        500.000        99.1488       0.387938E-001  0.386664                 NaN  0.240637       0.185083                 NaN            NaN            NaN
  1335.65        500.000        99.1496       0.359434E-001  0.387312                 NaN  0.240799       0.186313                 NaN            NaN            NaN
  1334.55        500.000        99.1563       0.386206       0.343311E-001            NaN  0.238495       0.184717                 NaN            NaN            NaN
  1333.45        500.000        99.1611       0.384821       0.334431E-001            NaN  0.236857       0.183791                 NaN            NaN            NaN
  1332.35        500.000        99.1678       0.383232       0.317122E-001            NaN  0.234698       0.182594                 NaN            NaN            NaN
  1331.25        500.000        99.1718       0.383699       0.288797E-001            NaN  0.233396       0.182238                 NaN            NaN            NaN
  1330.15        500.000        99.1795       0.308942E-001  0.379719                 NaN  0.230640       0.179240                 NaN            NaN            NaN
  1329.05        500.000        99.1846       0.380000       0.267281E-001            NaN  0.229280       0.179430                 NaN            NaN            NaN
  1327.95        500.000        99.1901       0.377625       0.279269E-001            NaN  0.227190       0.177170                 NaN            NaN            NaN
  1326.85        500.000        99.1950       0.375695       0.282852E-001            NaN  0.225466       0.175586                 NaN            NaN            NaN
  1325.75        500.000        99.2002       0.375007       0.257351E-001            NaN  0.223910       0.175127                 NaN            NaN            NaN
  1324.65        500.000        99.1489       0.401661       0.175882E-001            NaN  0.233622       0.172748       0.255093E-001            NaN            NaN
  1323.55        500.000        99.0625       0.444986                 NaN            NaN  0.251413       0.174542       0.665595E-001            NaN            NaN
  1322.45        500.000        99.0717       0.440373                 NaN            NaN  0.248995       0.173293       0.656763E-001            NaN            NaN
  1321.35        500.000        99.0822       0.435697                 NaN            NaN  0.246050       0.171482       0.645997E-001            NaN            NaN
  1320.25        500.000        99.0916       0.427803                 NaN            NaN  0.244021       0.172733       0.638902E-001            NaN            NaN
  1319.15        500.000        99.1012       0.424897                 NaN            NaN  0.240950       0.170160       0.627918E-001            NaN            NaN
  1318.04        500.000        99.1100       0.419546                 NaN            NaN  0.238809       0.169700       0.619540E-001            NaN            NaN
  1316.94        500.000        99.1186       0.418150                 NaN            NaN  0.236127       0.166213       0.609491E-001            NaN            NaN
  1315.84        500.000        99.1272       0.413551                 NaN            NaN  0.233865       0.165221       0.601298E-001            NaN            NaN
  1314.74        500.000        99.1359       0.408890                 NaN            NaN  0.231544       0.164309       0.593125E-001            NaN            NaN
  1313.64        500.000        99.1446       0.404153                 NaN            NaN  0.229177       0.163609       0.584711E-001            NaN            NaN
  1312.54        500.000        99.1527       0.400882                 NaN            NaN  0.226873       0.161905       0.576164E-001            NaN            NaN
  1311.44        500.000        99.1603       0.397206                 NaN            NaN  0.224921       0.160661       0.568776E-001            NaN            NaN
  1310.34        500.000        99.1705       0.393022                 NaN            NaN  0.221854       0.158695       0.559077E-001            NaN            NaN
  1309.24        500.000        99.1777       0.389358                 NaN            NaN  0.220096       0.157586       0.552248E-001            NaN            NaN
  1308.14        500.000        99.1868       0.384467                 NaN            NaN  0.217639       0.156685       0.544155E-001            NaN            NaN
  1307.04        500.000        99.1940       0.381939                 NaN            NaN  0.215477       0.154933       0.536296E-001            NaN            NaN
  1305.94        500.000        99.2012       0.377886                 NaN            NaN  0.213602       0.154353       0.529326E-001            NaN            NaN
  1304.84        500.000        99.2092       0.375113                 NaN            NaN  0.211244       0.152294       0.521390E-001            NaN            NaN
  1303.74        500.000        99.2068       0.370117                 NaN            NaN  0.213359       0.157274       0.524728E-001            NaN            NaN
  1302.64        500.000        99.0146       0.450721                 NaN            NaN  0.266369       0.202611       0.656729E-001            NaN            NaN
  1301.54        500.000        99.4573       0.264014                 NaN            NaN  0.141583       0.102783       0.343417E-001            NaN            NaN
  1300.44        500.000        99.2394       0.361823                 NaN            NaN  0.202882       0.146578       0.492864E-001            NaN            NaN
  1299.34        500.000        99.2468       0.358368                 NaN            NaN  0.200839       0.145420       0.485905E-001            NaN            NaN
  1298.24        500.000        99.2540       0.355045                 NaN            NaN  0.198862       0.144184       0.479095E-001            NaN            NaN
  1297.14        500.000        99.2618       0.351906                 NaN            NaN  0.196725       0.142370       0.472462E-001            NaN            NaN
  1296.03        500.000        99.2677       0.349459                 NaN            NaN  0.195277       0.140900       0.466423E-001            NaN            NaN
  1294.93        500.000        99.2765       0.346426                 NaN            NaN  0.192344       0.138942       0.458025E-001            NaN            NaN
  1293.83        500.000        99.2818       0.343983                 NaN            NaN  0.191062       0.137912       0.452624E-001            NaN            NaN
  1292.73        500.000        99.2890       0.340911                 NaN            NaN  0.188946       0.136603       0.445894E-001            NaN            NaN
  1291.63        500.000        99.2961       0.336408                 NaN            NaN  0.187251       0.136192       0.440553E-001            NaN            NaN
  1290.53        500.000        99.3016       0.336297                 NaN            NaN  0.185301       0.133444       0.433391E-001            NaN            NaN
  1289.43        500.000        99.3093       0.331665                 NaN            NaN  0.183415       0.132872       0.427905E-001            NaN            NaN
  1288.33        500.000        99.3155       0.329897                 NaN            NaN  0.181581       0.130914       0.421404E-001            NaN            NaN
  1287.23        500.000        99.3217       0.327415                 NaN            NaN  0.179863       0.129479       0.415510E-001            NaN            NaN
  1286.13        500.000        99.3283       0.324152                 NaN            NaN  0.178045       0.128506       0.409824E-001            NaN            NaN
  1285.03        500.000        99.3347       0.321940                 NaN            NaN  0.176198       0.126751       0.403892E-001            NaN            NaN
  1283.93        500.000        99.3412       0.319172                 NaN            NaN  0.174429       0.125384       0.398051E-001            NaN            NaN
  1282.83        500.000        99.3478       0.316482                 NaN            NaN  0.172848       0.123595       0.392982E-001            NaN            NaN
  1281.73        500.000        99.3531       0.314852                 NaN            NaN  0.170891       0.122557       0.386274E-001            NaN            NaN
  1280.63        500.000        99.3598       0.311510                 NaN            NaN  0.169194       0.121424       0.381096E-001            NaN            NaN
  1279.53        500.000        99.3653       0.309774                 NaN            NaN  0.167643       0.119702       0.375775E-001            NaN            NaN
  1278.43        500.000        99.3717       0.306876                 NaN            NaN  0.166004       0.118351       0.370595E-001            NaN            NaN
  1277.33        500.000        99.3771       0.305301                 NaN            NaN  0.164234       0.116889       0.364924E-001            NaN            NaN
  1276.23        500.000        99.3832       0.302710                 NaN            NaN  0.162651       0.115465       0.359824E-001            NaN            NaN
  1275.13        500.000        99.3887       0.300736                 NaN            NaN  0.161071       0.113984       0.354622E-001            NaN            NaN
  1274.02        500.000        97.7406       0.637275                 NaN            NaN  0.346583       0.213917       0.922022E-001  0.969451                 NaN
  1272.92        500.000        91.7236        1.88864                 NaN            NaN   1.02309       0.563570       0.296495        4.50457                 NaN
  1271.82        500.000        92.3946        1.75595                 NaN            NaN  0.944154       0.512565       0.270510        4.12218                 NaN
  1270.72        500.000        92.9676        1.64286                 NaN            NaN  0.876258       0.468652       0.248360        3.79624                 NaN
  1269.62        500.000        93.4524        1.54904                 NaN            NaN  0.818793       0.428930       0.229549        3.52133                 NaN
  1268.52        500.000        93.8779        1.46542                 NaN            NaN  0.768124       0.394496       0.213126        3.28094                 NaN
  1267.42        500.000        94.2478        1.38978                 NaN            NaN  0.723962       0.367139       0.198955        3.07241                 NaN
  1266.32        500.000        94.5823        1.32384                 NaN            NaN  0.683831       0.339059       0.186025        2.88495                 NaN
  1265.22        500.000        94.8737        1.26473                 NaN            NaN  0.648796       0.315889       0.174833        2.72203                 NaN
  1264.12        500.000        95.1457        1.21120                 NaN            NaN  0.615841       0.292486       0.164292        2.57047                 NaN
  1263.02        500.000        95.3795        1.15797                 NaN            NaN  0.587443       0.278810       0.155553        2.44069                 NaN
  1261.92        500.000        95.5987        1.11751                 NaN            NaN  0.560844       0.256717       0.146876        2.31934                 NaN
  1260.82        500.000        95.7951        1.07584                 NaN            NaN  0.536788       0.241964       0.139328        2.21102                 NaN
  1259.72        500.000        95.9798        1.03786                 NaN            NaN  0.514078       0.226143       0.132176        2.10993                 NaN
  1258.62        500.000        96.1441        1.00196                 NaN            NaN  0.493732       0.214772       0.125909        2.01953                 NaN
  1257.52        500.000        96.2993       0.967239                 NaN            NaN  0.474555       0.203670       0.119959        1.93530                 NaN
  1256.42        500.000        96.4367       0.939530                 NaN            NaN  0.457282       0.191848       0.114503        1.86014                 NaN
  1255.32        500.000        96.5396       0.897106                 NaN            NaN  0.444900       0.200602       0.111310        1.80647                 NaN
  1254.22        500.000        96.7080       0.888935                 NaN            NaN  0.422258       0.167572       0.103671        1.70959                 NaN
  1253.12        500.000        96.8066       0.854079                 NaN            NaN  0.410712       0.167492       0.100369        1.66079                 NaN
  1252.01        500.000        96.9212       0.831764                 NaN            NaN  0.396060       0.156118       0.958167E-001   1.59908                 NaN
  1250.91        500.000        96.9162       0.796126                 NaN            NaN  0.397029       0.190687       0.969949E-001   1.60301                 NaN
  1249.81        500.000        97.1745       0.788585                 NaN            NaN  0.362336       0.129894       0.855496E-001   1.45916                 NaN
  1248.71        500.000        97.2060       0.769155                 NaN            NaN  0.359521       0.133314       0.845424E-001   1.44747                 NaN
  1247.61        500.000        97.2915       0.744424                 NaN            NaN  0.348117       0.131190       0.815479E-001   1.40326                 NaN
  1246.51        500.000        97.3697       0.738021                 NaN            NaN  0.338133       0.116952       0.777348E-001   1.35948                 NaN
  1245.41        500.000        97.4509       0.717813                 NaN            NaN  0.327581       0.111213       0.746961E-001   1.31778                 NaN
  1244.31        500.000        97.5244       0.701222                 NaN            NaN  0.317921       0.105011       0.717348E-001   1.27972                 NaN
  1243.21        500.000        97.5916       0.681013                 NaN            NaN  0.308823       0.104943       0.693764E-001   1.24424                 NaN
  1242.11        500.000        97.6577       0.666947                 NaN            NaN  0.299968       0.986816E-001  0.666682E-001   1.21004                 NaN
  1241.01        500.000        97.7213       0.652921                 NaN            NaN  0.291561       0.933650E-001  0.641012E-001   1.17678                 NaN
  1239.91        500.000        97.7820       0.639160                 NaN            NaN  0.283360       0.884838E-001  0.616610E-001   1.14532                 NaN
  1238.81        500.000        97.8401       0.625105                 NaN            NaN  0.275620       0.848323E-001  0.593764E-001   1.11501                 NaN
  1237.71        500.000        97.8949       0.616057                 NaN            NaN  0.268176       0.773259E-001  0.570379E-001   1.08647                 NaN
  1236.61        500.000        97.9475       0.598567                 NaN            NaN  0.260866       0.781182E-001  0.551937E-001   1.05979                 NaN
  1235.51        500.000        97.9982       0.587908                 NaN            NaN  0.254040       0.732281E-001  0.530941E-001   1.03354                 NaN
  1234.41        500.000        98.0469       0.580457                 NaN            NaN  0.247464       0.663293E-001  0.509315E-001   1.00791                 NaN
  1233.31        500.000        98.0928       0.569578                 NaN            NaN  0.241013       0.631713E-001  0.490981E-001  0.984352                 NaN
  1232.21        500.000        98.1395       0.555000                 NaN            NaN  0.234733       0.622935E-001  0.473555E-001  0.961091                 NaN
  1231.11        500.000        98.1780       0.561090                 NaN            NaN  0.229129       0.476351E-001  0.451962E-001  0.938930                 NaN
  1230.00        500.000        95.7463       0.920892       0.316235                 NaN  0.616994                 NaN  0.152618        2.24697                 NaN
  1228.90        500.000        98.7622       0.168273       0.198436                 NaN  0.762784E-001            NaN            NaN  0.794777                 NaN
  1227.80        500.000        98.5361       0.496868       0.104553                 NaN  0.215665                 NaN  0.381396E-001  0.608708                 NaN
  1226.70        500.000        99.5507       0.653763E-002            NaN            NaN  0.343153E-001  0.239097                 NaN  0.169340                 NaN
  1225.60        500.000        97.6063       0.534939       0.304108                 NaN  0.309076                 NaN  0.293963E-001   1.21620                 NaN
  1224.50        500.000        98.4010       0.955864E-001  0.476726                 NaN  0.193565                 NaN  0.174823E-001  0.815641                 NaN
  1223.40        500.000        99.2879       0.313526                 NaN            NaN  0.725070E-001            NaN  0.228065E-001  0.303215                 NaN
  1222.30        500.000        98.5433       0.343182       0.134029                 NaN  0.178906                 NaN  0.327018E-001  0.767855                 NaN
  1221.20        500.000        98.4928       0.521450                 NaN            NaN  0.177251                 NaN  0.342689E-001  0.774191                 NaN
  1220.10        500.000        97.3265       0.843057                 NaN            NaN  0.359973                 NaN  0.377774E-001   1.43274                 NaN
  1219.00        500.000        99.8002       0.128527                 NaN            NaN  0.398918E-002            NaN  0.161553E-001  0.511596E-001            NaN
  1217.90        500.000        98.4807       0.409580                 NaN            NaN  0.183633       0.798931E-001  0.364286E-001  0.809781                 NaN
  1216.80        500.000        98.2865       0.335926       0.183134                 NaN  0.207834                 NaN  0.349378E-001  0.951680                 NaN
  1215.70        500.000        94.1701        1.17695                 NaN            NaN  0.555452                 NaN  0.124704        2.85394        1.11885     
  1214.60        500.000        98.7326                 NaN            NaN            NaN  0.193376       0.215073       0.320606E-001  0.826933                 NaN
  1213.50        500.000        99.2570       0.483387E-001            NaN            NaN  0.687609E-001  0.439674E-001  0.725945E-002  0.294551       0.280083     
  1212.40        500.000        99.1371       0.891281E-001            NaN            NaN  0.671336E-001  0.746682E-002  0.419591E-002  0.287442       0.407553     
  1211.30        500.000        99.7822       0.775752E-001            NaN            NaN  0.259474E-001  0.346376E-002  0.379401E-002  0.107007                 NaN
  1210.20        500.000        77.3298        3.45455                 NaN            NaN   1.87452       0.494619       0.173999        8.00136        8.67120     
  1209.10        500.000        86.5511        1.88375                 NaN            NaN   1.14293       0.301664       0.108765        4.93805        5.07370     
  1207.99        500.000        86.8495        1.95686                 NaN            NaN   1.11567       0.194838       0.101001        4.81667        4.96549     
  1206.89        500.000        89.5090        1.36999                 NaN            NaN  0.885709       0.217677       0.878630E-001   3.89939        4.03032     
  1205.79        500.000        76.6247        2.57380                 NaN            NaN   1.94672       0.843742       0.195254        8.61993        9.19586     
  1204.69        500.000        99.4582       0.136396       0.145963                 NaN  0.507804E-001            NaN  0.781620E-002  0.200822                 NaN
  1203.59        500.000        95.0571       0.738477                 NaN            NaN  0.414029       0.108343       0.396534E-001   1.88330        1.75906     
  1202.49        500.000        72.5322        2.72405                 NaN            NaN   2.36233        1.07400       0.241035        9.61453        11.4519     
  1201.39        500.000        98.5316       0.388023                 NaN            NaN            NaN  0.131340E-004            NaN   1.08038                 NaN
  1200.29        500.000        87.3997        1.17659                 NaN            NaN   1.05375       0.429662       0.111543        5.02711        4.80163     
  1199.19        500.000        95.9166       0.667325                 NaN            NaN  0.441589       0.181859       0.458588E-001  0.773496        1.97331     
  1198.09        500.000        93.4787       0.725644                 NaN            NaN  0.489505       0.196427       0.520718E-001   3.58319        1.47450     
  1196.99        500.000        94.9460       0.615815                 NaN            NaN  0.409871       0.166919       0.433730E-001   1.91635        1.90166     
  1195.89        500.000        94.7408       0.628082                 NaN            NaN  0.424679       0.170608       0.445454E-001   1.99972        1.99160     
  1194.79        500.000        91.9862       0.830197                 NaN            NaN  0.578575       0.217577       0.589321E-001   2.73984        3.58869     
  1193.69        500.000        94.2674       0.664024                 NaN            NaN  0.460712       0.178931       0.478844E-001   2.22156        2.15953     
  1192.59        500.000        92.8042       0.916964       0.217277E-003            NaN  0.571597       0.164690       0.555770E-001   2.77634        2.71041     
  1191.49        500.000        98.3822       0.548181E-002  0.108103                 NaN  0.176249       0.374339                 NaN  0.618879       0.334791     
  1190.39        500.000        83.6291        2.04673       0.750903E-004            NaN   1.31352       0.514234E-001  0.142858        5.84398        6.97233     
  1189.29        500.000        73.8698        2.30761                 NaN            NaN   1.84706       0.633387       0.191929        11.4581        9.69209     
  1188.19        500.000        80.6452        1.70013        1.19202       0.312202E-003   1.47125                 NaN  0.962653E-001   7.76436        7.13050     
  1187.09        500.000                 NaN   3.82897        8.00677       0.822939E-005   7.36938                 NaN  0.606479        40.9235        39.2649     
  1185.98        500.000                 NaN   3.79626        8.04131       0.740938E-005   7.37259                 NaN  0.605504        40.9195        39.2648     
  1184.88        500.000                 NaN   3.66871        8.17114       0.110112E-004   7.37564                 NaN  0.605200        40.9135        39.2658     
  1183.78        500.000                 NaN   8.23604       0.258926E-005            NaN   7.19203        2.42996       0.773315        41.4503        39.9184     
  1182.68        500.000                 NaN   9.00490       0.215721E-005            NaN   7.23775        1.91463       0.734877        41.3312        39.7766     
  1181.58        500.000                 NaN   8.49329       0.915734E-005            NaN   7.21185        2.26186       0.758339        41.4017        39.8730     
  1180.48        500.000                 NaN   8.19403       0.262131E-005            NaN   7.19310        2.45685       0.774996        41.4558        39.9252     
  1179.38        500.000                 NaN   8.07409       0.155573E-004            NaN   7.17807        2.52744       0.786004        41.4913        39.9431     
  1178.28        500.000                 NaN   8.05543       0.139136E-004            NaN   7.17756        2.54071       0.786719        41.4925        39.9470     
  1177.18        500.000                 NaN   8.08609       0.155700E-004            NaN   7.19992        2.51754       0.783675        41.4712        39.9415     
  1176.08        500.000                 NaN   8.01281       0.373968E-004            NaN   7.17630        2.57051       0.788486        41.4962        39.9557     
  1174.98        500.000                 NaN   7.98344       0.112241E-004            NaN   7.17578        2.59044       0.790983        41.4974        39.9620     
  1173.88        500.000                 NaN   8.02842                 NaN            NaN   7.18771        2.55588       0.788230        41.4897        39.9501     
  1172.78        500.000                 NaN   7.93503       0.117536E-004            NaN   7.18821        2.62185       0.790928        41.4941        39.9699     
  1171.68        500.000                 NaN   7.98770       0.945706E-005            NaN   7.18928        2.58441       0.788172        41.4928        39.9577     
  1170.58        500.000                 NaN   7.90755                 NaN            NaN   7.18784        2.64086       0.792452        41.4946        39.9766     
  1169.48        500.000                 NaN   7.86900                 NaN            NaN   7.17371        2.67012       0.793846        41.5091        39.9842     
  1168.38        500.000                 NaN   7.94553       0.379440E-004            NaN   7.17828        2.62099       0.789137        41.4947        39.9713     
