|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            iron          
  1494.94        2500.00                 NaN   99.4794                 NaN            NaN  0.520598                 NaN            NaN            NaN            NaN            NaN
  1493.42        2500.00                 NaN   99.4793                 NaN            NaN  0.520739                 NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.4797                 NaN            NaN  0.520314                 NaN            NaN            NaN            NaN            NaN
  1490.39        2500.00                 NaN   99.4789                 NaN            NaN  0.521071                 NaN            NaN            NaN            NaN            NaN
  1488.87        2500.00                 NaN   99.4787                 NaN            NaN  0.521324                 NaN            NaN            NaN            NaN            NaN
  1487.35        2500.00                 NaN   99.4780                 NaN            NaN  0.521973                 NaN            NaN            NaN            NaN            NaN
  1485.83        2500.00                 NaN   99.4763                 NaN            NaN  0.523728                 NaN            NaN            NaN            NaN            NaN
  1484.31        2500.00                 NaN   99.4750                 NaN            NaN  0.525033                 NaN            NaN            NaN            NaN            NaN
  1482.79        2500.00                 NaN   99.4730                 NaN            NaN  0.527009                 NaN            NaN            NaN            NaN            NaN
  1481.28        2500.00                 NaN   99.4698                 NaN            NaN  0.530170                 NaN            NaN            NaN            NaN            NaN
  1479.76        2500.00                 NaN   99.4666                 NaN            NaN  0.533420                 NaN            NaN            NaN            NaN            NaN
  1478.24        2500.00                 NaN   99.4627                 NaN            NaN  0.537296                 NaN            NaN            NaN            NaN            NaN
  1476.72        2500.00                 NaN   99.4550                 NaN            NaN  0.545030                 NaN            NaN            NaN            NaN            NaN
  1475.20        2500.00                 NaN   99.4479                 NaN            NaN  0.552053                 NaN            NaN            NaN            NaN            NaN
  1473.68        2500.00                 NaN   99.2726                 NaN            NaN  0.333084       0.394328                 NaN            NaN            NaN            NaN
  1472.17        2500.00                 NaN   99.2170                 NaN            NaN  0.252245       0.530723                 NaN            NaN            NaN            NaN
  1470.65        2500.00                 NaN   99.2244                 NaN            NaN  0.525257       0.250342                 NaN            NaN            NaN            NaN
  1469.13        2500.00                 NaN   99.2303                 NaN            NaN  0.522407       0.247298                 NaN            NaN            NaN            NaN
  1467.61        2500.00                 NaN   99.2381                 NaN            NaN  0.516015       0.245900                 NaN            NaN            NaN            NaN
  1466.09        2500.00                 NaN   99.2442                 NaN            NaN  0.511992       0.243812                 NaN            NaN            NaN            NaN
  1464.58        2500.00                 NaN   99.2503                 NaN            NaN  0.241515       0.508226                 NaN            NaN            NaN            NaN
  1463.06        2500.00                 NaN   99.2555                 NaN            NaN  0.240098       0.504443                 NaN            NaN            NaN            NaN
  1461.54        2500.00                 NaN   99.2639                 NaN            NaN  0.498505       0.237596                 NaN            NaN            NaN            NaN
  1460.02        2500.00                 NaN   99.2684                 NaN            NaN  0.236052       0.495576                 NaN            NaN            NaN            NaN
  1458.50        2500.00                 NaN   99.2734                 NaN            NaN  0.234124       0.492499                 NaN            NaN            NaN            NaN
  1456.98        2500.00                 NaN   99.2810                 NaN            NaN  0.231540       0.487469                 NaN            NaN            NaN            NaN
  1455.47        2500.00                 NaN   99.2862                 NaN            NaN  0.484434       0.229353                 NaN            NaN            NaN            NaN
  1453.95        2500.00                 NaN   99.0726                 NaN            NaN  0.627402       0.299974                 NaN            NaN            NaN            NaN
  1452.43        2500.00                 NaN   99.6270                 NaN            NaN  0.253265       0.119692                 NaN            NaN            NaN            NaN
  1450.91        2500.00                 NaN   99.1908                 NaN            NaN  0.550296       0.258936                 NaN            NaN            NaN            NaN
  1449.39        2500.00                 NaN   99.3092                 NaN            NaN  0.468931       0.221857                 NaN            NaN            NaN            NaN
  1447.88        2500.00                 NaN   99.3125                 NaN            NaN  0.220966       0.466537                 NaN            NaN            NaN            NaN
  1446.36        2500.00                 NaN   99.3678                 NaN            NaN  0.429388       0.202829                 NaN            NaN            NaN            NaN
  1444.84        2500.00                 NaN   99.2724                 NaN            NaN  0.492941       0.234640                 NaN            NaN            NaN            NaN
  1443.32        2500.00                 NaN   99.3281                 NaN            NaN  0.456264       0.215603                 NaN            NaN            NaN            NaN
  1441.80        2500.00                 NaN   99.3325                 NaN            NaN  0.213583       0.453874                 NaN            NaN            NaN            NaN
  1440.28        2500.00                 NaN   99.3367                 NaN            NaN  0.451715       0.211629                 NaN            NaN            NaN            NaN
  1438.77        2500.00                 NaN   99.9507                 NaN            NaN  0.296065E-001  0.196877E-001            NaN            NaN            NaN            NaN
  1437.25        2500.00                 NaN   98.7370                 NaN            NaN  0.398036       0.864940                 NaN            NaN            NaN            NaN
  1435.73        2500.00                 NaN   99.3505                 NaN            NaN  0.206496       0.442967                 NaN            NaN            NaN            NaN
  1434.21        2500.00                 NaN   99.1432                 NaN            NaN  0.300408       0.445387       0.110963                 NaN            NaN            NaN
  1432.69        2500.00                 NaN   98.2344                 NaN            NaN  0.715172       0.457683       0.592755                 NaN            NaN            NaN
  1431.17        2500.00                 NaN   98.2670                 NaN            NaN  0.702765       0.448534       0.581702                 NaN            NaN            NaN
  1429.66        2500.00                 NaN   98.3005                 NaN            NaN  0.439397       0.689690       0.570366                 NaN            NaN            NaN
  1428.14        2500.00                 NaN   98.3102                 NaN  0.124143       0.487269       0.486693       0.591721                 NaN            NaN            NaN
  1426.62        2500.00                 NaN   98.3293                 NaN  0.186476       0.508601       0.377994       0.597587                 NaN            NaN            NaN
  1425.10        2500.00                 NaN   98.3611                 NaN  0.184948       0.501112       0.366022       0.586777                 NaN            NaN            NaN
  1423.58        2500.00                 NaN   98.3918                 NaN  0.183737       0.493450       0.354833       0.576217                 NaN            NaN            NaN
  1422.07        2500.00                 NaN   98.4199                 NaN  0.182693       0.344071       0.486686       0.566678                 NaN            NaN            NaN
  1420.55        2500.00                 NaN   98.4516                 NaN  0.180693       0.478537       0.333708       0.555495                 NaN            NaN            NaN
  1419.03        2500.00                 NaN   98.4779                 NaN  0.179738       0.472858       0.323049       0.546467                 NaN            NaN            NaN
  1417.51        2500.00                 NaN   98.5070                 NaN  0.178493       0.465015       0.313046       0.536476                 NaN            NaN            NaN
  1415.99        2500.00                 NaN   98.5322                 NaN  0.177495       0.302925       0.459415       0.527997                 NaN            NaN            NaN
  1414.47        2500.00                 NaN   98.5600                 NaN  0.175432       0.450955       0.295603       0.518044                 NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.5813                 NaN  0.175479       0.285172       0.447068       0.511012                 NaN            NaN            NaN
  1411.44        2500.00                 NaN   98.6121                 NaN  0.172948       0.438537       0.276612       0.499778                 NaN            NaN            NaN
  1409.92        2500.00                 NaN   98.6325                 NaN  0.172263       0.433886       0.268471       0.492913                 NaN            NaN            NaN
  1408.40        2500.00                 NaN   98.6527                 NaN  0.172277       0.259260       0.429544       0.486223                 NaN            NaN            NaN
  1406.88        2500.00                 NaN   98.6787                 NaN  0.169299       0.422919       0.252383       0.476671                 NaN            NaN            NaN
  1405.36        2500.00                 NaN   98.6998                 NaN  0.168773       0.244256       0.417746       0.469403                 NaN            NaN            NaN
  1403.85        2500.00                 NaN   98.7180                 NaN  0.168600       0.235122       0.414758       0.463536                 NaN            NaN            NaN
  1402.33        2500.00                 NaN   98.7437                 NaN  0.166672       0.227585       0.408099       0.453903                 NaN            NaN            NaN
  1400.81        2500.00                 NaN   98.7643                 NaN  0.164215       0.224069       0.400934       0.446453                 NaN            NaN            NaN
  1399.29        2500.00                 NaN   98.7827                 NaN  0.164133       0.397299       0.215518       0.440329                 NaN            NaN            NaN
  1397.77        2500.00                 NaN   98.8022                 NaN  0.163067       0.392989       0.208313       0.433416                 NaN            NaN            NaN
  1396.26        2500.00                 NaN   99.4494                 NaN  0.800058E-001  0.191727       0.767017E-001  0.202159                 NaN            NaN            NaN
  1394.74        2500.00                 NaN   98.2073                 NaN  0.241709       0.588590       0.315984       0.646375                 NaN            NaN            NaN
  1393.22        2500.00                 NaN   98.8582                 NaN  0.159253       0.378954       0.190215       0.413381                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   98.8746                 NaN  0.158803       0.183496       0.375175       0.407915                 NaN            NaN            NaN
  1390.18        2500.00                 NaN   98.8928                 NaN  0.157059       0.179036       0.369958       0.401182                 NaN            NaN            NaN
  1388.66        2500.00                 NaN   98.9093                 NaN  0.156426       0.366162       0.172586       0.395527                 NaN            NaN            NaN
  1387.15        2500.00                 NaN   98.9262                 NaN  0.154931       0.362207       0.167406       0.389279                 NaN            NaN            NaN
  1385.63        2500.00                 NaN   98.9421                 NaN  0.153861       0.358530       0.161862       0.383681                 NaN            NaN            NaN
  1384.11        2500.00                 NaN   98.9575                 NaN  0.152644       0.354893       0.156854       0.378131                 NaN            NaN            NaN
  1382.59        2500.00                 NaN   98.9728                 NaN  0.151502       0.351051       0.152011       0.372601                 NaN            NaN            NaN
  1381.07        2500.00                 NaN   98.9873                 NaN  0.150299       0.347967       0.147057       0.367378                 NaN            NaN            NaN
  1379.56        2500.00                 NaN   99.0020                 NaN  0.149429       0.342958       0.143317       0.362255                 NaN            NaN            NaN
  1378.04        2500.00                 NaN   99.0183                 NaN  0.147291       0.340077       0.138492       0.355873                 NaN            NaN            NaN
  1376.52        2500.00                 NaN   99.0311                 NaN  0.146247       0.336469       0.134784       0.351437                 NaN            NaN            NaN
  1375.00        2500.00                 NaN   99.0398                 NaN  0.140691       0.329932       0.141860       0.347667                 NaN            NaN            NaN
  1373.48        2500.00                 NaN   99.0649                 NaN  0.149174       0.332469       0.113460       0.340002                 NaN            NaN            NaN
  1371.96        2500.00                 NaN   99.0715                 NaN  0.143243       0.120237       0.328299       0.336733                 NaN            NaN            NaN
  1370.45        2500.00                 NaN   99.0845                 NaN  0.134493       0.318510       0.132042       0.330485                 NaN            NaN            NaN
  1368.93        2500.00                 NaN   99.0974                 NaN  0.146552       0.325395       0.102191       0.328480                 NaN            NaN            NaN
  1367.41        2500.00                 NaN   99.1090                 NaN  0.137376       0.114569       0.316489       0.322537                 NaN            NaN            NaN
  1365.89        2500.00                 NaN   99.1192                 NaN  0.139873       0.316358       0.104418       0.320132                 NaN            NaN            NaN
  1364.37        2500.00                 NaN   99.1391                 NaN  0.133645       0.109160       0.306931       0.311144                 NaN            NaN            NaN
  1362.85        2500.00                 NaN   99.1455                 NaN  0.134311       0.102612       0.308356       0.309246                 NaN            NaN            NaN
  1361.34        2500.00                 NaN   99.1555                 NaN  0.133995       0.307595       0.972239E-001  0.305735                 NaN            NaN            NaN
  1359.82        2500.00                 NaN   99.1686                 NaN  0.130140       0.101060       0.299922       0.300275                 NaN            NaN            NaN
  1358.30        2500.00                 NaN   99.1782                 NaN  0.130229       0.299767       0.948234E-001  0.296984                 NaN            NaN            NaN
  1356.78        2500.00                 NaN   99.1898                 NaN  0.127868       0.295557       0.943208E-001  0.292447                 NaN            NaN            NaN
  1355.26        2500.00                 NaN   99.2002                 NaN  0.126792       0.293047       0.913362E-001  0.288626                 NaN            NaN            NaN
  1353.75        2500.00                 NaN   99.2105                 NaN  0.125505       0.290747       0.884481E-001  0.284754                 NaN            NaN            NaN
  1352.23        2500.00                 NaN   99.2210                 NaN  0.123636       0.873556E-001  0.287275       0.280740                 NaN            NaN            NaN
  1350.71        2500.00                 NaN   99.2305                 NaN  0.122127       0.856467E-001  0.284618       0.277127                 NaN            NaN            NaN
  1349.19        2500.00                 NaN   99.2406                 NaN  0.120322       0.281602       0.842447E-001  0.273192                 NaN            NaN            NaN
  1347.67        2500.00                 NaN   99.2499                 NaN  0.118848       0.822263E-001  0.279385       0.269620                 NaN            NaN            NaN
  1346.15        2500.00                 NaN   99.2592                 NaN  0.117077       0.276616       0.810527E-001  0.266077                 NaN            NaN            NaN
  1344.64        2500.00                 NaN   99.2678                 NaN  0.115195       0.800125E-001  0.274440       0.262569                 NaN            NaN            NaN
  1343.12        2500.00                 NaN   99.2770                 NaN  0.113646       0.271124       0.791038E-001  0.259162                 NaN            NaN            NaN
  1341.60        2500.00                 NaN   99.2863                 NaN  0.111740       0.783160E-001  0.268214       0.255421                 NaN            NaN            NaN
  1340.08        2500.00                 NaN   99.2945                 NaN  0.110133       0.265841       0.773172E-001  0.252256                 NaN            NaN            NaN
  1338.56        2500.00                 NaN   99.3030                 NaN  0.108313       0.262884       0.768616E-001  0.248896                 NaN            NaN            NaN
  1337.04        2500.00                 NaN   99.3117                 NaN  0.106720       0.260284       0.757757E-001  0.245548                 NaN            NaN            NaN
  1335.53        2500.00                 NaN   99.3195                 NaN  0.105019       0.258293       0.747353E-001  0.242500                 NaN            NaN            NaN
  1334.01        2500.00                 NaN   99.3274                 NaN  0.102385       0.254030       0.769530E-001  0.239188                 NaN            NaN            NaN
  1332.49        2500.00                 NaN   99.3352                 NaN  0.100859       0.752466E-001  0.252546       0.236187                 NaN            NaN            NaN
  1330.97        2500.00                 NaN   99.3432                 NaN  0.992522E-001  0.758676E-001  0.248625       0.233105                 NaN            NaN            NaN
  1329.45        2500.00                 NaN   99.3509                 NaN  0.972471E-001  0.246393       0.754623E-001  0.229996                 NaN            NaN            NaN
  1327.94        2500.00                 NaN   99.3539                 NaN  0.763051E-001  0.122349       0.222331       0.225149                 NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.3688                 NaN  0.112140       0.263778       0.290581E-001  0.226259                 NaN            NaN            NaN
  1324.90        2500.00                 NaN   99.3719                 NaN  0.913076E-001  0.238289       0.770272E-001  0.221511                 NaN            NaN            NaN
  1323.38        2500.00                 NaN   99.3791                 NaN  0.892491E-001  0.235426       0.776300E-001  0.218559                 NaN            NaN            NaN
  1321.86        2500.00                 NaN   99.3849                 NaN  0.835981E-001  0.228236       0.877766E-001  0.215521                 NaN            NaN            NaN
  1320.34        2500.00                 NaN   99.3929                 NaN  0.891671E-001  0.682612E-001  0.236099       0.213616                 NaN            NaN            NaN
  1318.83        2500.00                 NaN   99.3987                 NaN  0.832144E-001  0.801758E-001  0.227339       0.210567                 NaN            NaN            NaN
  1317.31        2500.00                 NaN   99.4052                 NaN  0.818781E-001  0.225768       0.790591E-001  0.208058                 NaN            NaN            NaN
  1315.79        2500.00                 NaN   99.4112                 NaN  0.791018E-001  0.221610       0.826688E-001  0.205385                 NaN            NaN            NaN
  1314.27        2500.00                 NaN   97.1122                 NaN  0.201982       0.111889       0.560071       0.488529        1.52531                 NaN            NaN
  1312.75        2500.00                 NaN   81.9308                 NaN  0.983068        2.98188       0.187422        2.36704        11.5497                 NaN            NaN
  1311.24        2500.00                 NaN   83.6009                 NaN  0.869515        2.93679                 NaN   2.16102        10.4318                 NaN            NaN
  1309.72        2500.00                 NaN   85.0396                 NaN  0.768118        2.73727                 NaN   1.98245        9.47253                 NaN            NaN
  1308.20        2500.00                 NaN   86.2099                 NaN  0.689047        2.57044                 NaN   1.83731        8.69329                 NaN            NaN
  1306.68        2500.00                 NaN   87.2011                 NaN  0.633757        2.41661                 NaN   1.71381        8.03469                 NaN            NaN
  1305.16        2500.00                 NaN   88.0470                 NaN  0.585998        2.28401                 NaN   1.60875        7.47426                 NaN            NaN
  1303.64        2500.00                 NaN   88.7725                 NaN  0.546358        2.16951                 NaN   1.51853        6.99306                 NaN            NaN
  1302.13        2500.00                 NaN   89.4147                 NaN  0.507152        2.07263                 NaN   1.43838        6.56712                 NaN            NaN
  1300.61        2500.00                 NaN   89.9648                 NaN  0.480528        1.98129                 NaN   1.37000        6.20340                 NaN            NaN
  1299.09        2500.00                 NaN   89.7660                 NaN  0.481557        1.99039                 NaN   1.41547        6.34656                 NaN            NaN
  1297.57        2500.00                 NaN   91.7228                 NaN  0.365295        1.76563                 NaN   1.12784        5.01848                 NaN            NaN
  1296.05        2500.00                 NaN   91.2819                 NaN  0.409389        1.77365                 NaN   1.20522        5.32982                 NaN            NaN
  1294.53        2500.00                 NaN   87.1736                 NaN  0.542127        2.43676                 NaN   1.74976        7.89709       0.200619                 NaN
  1293.02        2500.00                 NaN   85.1645                 NaN  0.646999        2.67926                 NaN   2.00613        9.19975       0.303407                 NaN
  1291.50        2500.00                 NaN   84.3358                 NaN  0.644818       0.337195        2.60661        2.11616        9.64786       0.311596                 NaN
  1289.98        2500.00                 NaN   79.3900                 NaN   1.11560        3.58822                 NaN   2.92218        12.5515       0.432404                 NaN
  1288.46        2500.00                 NaN   94.3623                 NaN  0.129787        1.11462                 NaN  0.537230        3.78174       0.743115E-001            NaN
  1286.94        2500.00                 NaN   84.6734                 NaN  0.733080        2.69443                 NaN   2.01455        9.58751       0.297019                 NaN
  1285.43        2500.00                 NaN   83.5211                 NaN  0.785726        2.87935                 NaN   2.14155        10.3604       0.311842                 NaN
  1283.91        2500.00                 NaN   78.6728                 NaN   1.01842        3.65478                 NaN   2.72131        13.5359       0.396765                 NaN
  1282.39        2500.00                 NaN   58.7897                 NaN   2.04223        6.75869                 NaN   5.15994        26.4750       0.774408                 NaN
  1280.87        2500.00                 NaN  0.581865E-003            NaN   1.64994        17.8862                 NaN   12.2837        65.4976        1.67294        1.00900     
  1279.35        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1277.83        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1276.32        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1274.80        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1273.28        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1271.76        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1270.24        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1268.73        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1267.21        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1265.69        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1264.17        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1262.65        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1261.13        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1259.62        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1258.10        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1256.58        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1255.06        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1253.54        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1252.02        2500.00                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
