|6.6.6
Archiving\03_Data\frac/QFM_m4.75/ALH/ALH_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       mang           iron           pxmn           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1924.81        2500.00        93.2840                 NaN   5.86003       0.855919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        93.2604                 NaN   5.88363       0.855976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        93.2368                 NaN   5.90716       0.856033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        93.2133                 NaN   5.93066       0.856090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        93.1898                 NaN   5.95409       0.856146                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        93.1663                 NaN   5.97748       0.856203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        93.1429                 NaN   6.00082       0.856259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        93.1196                 NaN   6.02411       0.856315                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        93.0963                 NaN   6.04734       0.856372                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        93.0731                 NaN   6.07052       0.856428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        93.0499                 NaN   6.09365       0.856483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        93.0267                 NaN   6.11672       0.856539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        93.0037                 NaN   6.13973       0.856595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        92.9806                 NaN   6.16270       0.856650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        92.9577                 NaN   6.18561       0.856705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        92.9347                 NaN   6.20857       0.856761                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        92.7420                 NaN   6.22169       0.856793       0.179567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.4241                 NaN  0.102577E-001            NaN  0.565642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.3673                 NaN            NaN            NaN  0.632725                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4980                 NaN  0.104938E-001            NaN  0.491522                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4370                 NaN            NaN            NaN  0.563021                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4407                 NaN            NaN            NaN  0.559305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4041                 NaN            NaN            NaN  0.595854                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4981                 NaN            NaN            NaN  0.501857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4263                 NaN            NaN            NaN  0.573654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4496                 NaN            NaN            NaN  0.550436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4475                 NaN            NaN            NaN  0.552464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4555                 NaN            NaN            NaN  0.544539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4540                 NaN            NaN            NaN  0.545991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4549                 NaN            NaN            NaN  0.545065                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4575                 NaN            NaN            NaN  0.542507                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4586                 NaN            NaN            NaN  0.541398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4591                 NaN            NaN            NaN  0.540938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4612                 NaN            NaN            NaN  0.538757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4614                 NaN            NaN            NaN  0.538567                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4631                 NaN            NaN            NaN  0.536865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4638                 NaN            NaN            NaN  0.536197                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4676                 NaN            NaN            NaN  0.532374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4682                 NaN            NaN            NaN  0.531793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4675                 NaN            NaN            NaN  0.532483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4674                 NaN            NaN            NaN  0.532649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4684                 NaN            NaN            NaN  0.531617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4679                 NaN            NaN            NaN  0.532090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4699                 NaN            NaN            NaN  0.530149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4678                 NaN            NaN            NaN  0.532185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4712                 NaN            NaN            NaN  0.528830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4692                 NaN            NaN            NaN  0.530753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4682                 NaN            NaN            NaN  0.531845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4701                 NaN            NaN            NaN  0.529946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4662                 NaN            NaN            NaN  0.533756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4707                 NaN            NaN            NaN  0.529336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4686                 NaN            NaN            NaN  0.531363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4676                 NaN            NaN            NaN  0.532370                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4622                 NaN            NaN            NaN  0.531788       0.599381E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4524                 NaN            NaN            NaN  0.532884       0.147264E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4530                 NaN            NaN            NaN  0.532352       0.146485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.1440                 NaN            NaN            NaN  0.832143       0.238400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.7617                 NaN            NaN            NaN  0.232724       0.555318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4492                 NaN            NaN            NaN  0.536207       0.145893E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4488                 NaN            NaN            NaN  0.536689       0.145407E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4467                 NaN            NaN            NaN  0.538782       0.145275E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4432                 NaN            NaN            NaN  0.542221       0.145779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.2674                 NaN            NaN            NaN  0.713545       0.190776E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.6239                 NaN            NaN            NaN  0.366341       0.973535E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4410                 NaN            NaN            NaN  0.544600       0.144438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4421                 NaN            NaN            NaN  0.543591       0.143457E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4388                 NaN            NaN            NaN  0.546792       0.143630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4376                 NaN            NaN            NaN  0.548125       0.143215E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4357                 NaN            NaN            NaN  0.550002       0.142988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4341                 NaN            NaN            NaN  0.551654       0.142603E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4300                 NaN            NaN            NaN  0.555697       0.143075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4318                 NaN            NaN            NaN  0.554006       0.141738E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4279                 NaN            NaN            NaN  0.557863       0.142001E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4266                 NaN            NaN            NaN  0.559292       0.141489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4197                 NaN            NaN            NaN  0.566055       0.142912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4260                 NaN            NaN            NaN  0.560042       0.139966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4203                 NaN            NaN            NaN  0.565590       0.141028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3700                 NaN            NaN            NaN  0.615649       0.143908E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4639                 NaN            NaN            NaN  0.522312       0.137807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4090                 NaN            NaN            NaN  0.576753       0.142019E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4176                 NaN            NaN            NaN  0.568504       0.138541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        98.8310                 NaN            NaN            NaN   1.14142       0.276054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.9909                 NaN            NaN            NaN  0.888830E-002  0.214350E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4053                 NaN            NaN            NaN  0.580799       0.139461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4031                 NaN            NaN            NaN  0.583005       0.139317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3975                 NaN            NaN            NaN  0.588544       0.139869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4015                 NaN            NaN            NaN  0.584690       0.138246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3973                 NaN            NaN            NaN  0.588866       0.138499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        98.8941                 NaN            NaN            NaN   1.07849       0.273767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.9000                 NaN            NaN            NaN  0.996886E-001  0.330259E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3907                 NaN            NaN            NaN  0.595498       0.138092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3894                 NaN            NaN            NaN  0.596858       0.137613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3864                 NaN            NaN            NaN  0.599827       0.137753E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3846                 NaN            NaN            NaN  0.601609       0.137546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3841                 NaN            NaN            NaN  0.602169       0.136992E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3822                 NaN            NaN            NaN  0.604078       0.136848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3797                 NaN            NaN            NaN  0.606658       0.136733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3783                 NaN            NaN            NaN  0.608020       0.136433E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3775                 NaN            NaN            NaN  0.608866       0.136196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3761                 NaN            NaN            NaN  0.610287       0.135886E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3741                 NaN            NaN            NaN  0.612325       0.135848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3738                 NaN            NaN            NaN  0.612618       0.135444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3721                 NaN            NaN            NaN  0.614425       0.135229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3711                 NaN            NaN            NaN  0.615394       0.135167E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3688                 NaN            NaN            NaN  0.617697       0.135184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3722                 NaN            NaN            NaN  0.614402       0.133945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.9448                 NaN            NaN            NaN   1.03269       0.224937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.7947                 NaN            NaN            NaN  0.200973       0.432844E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.3688                 NaN            NaN            NaN  0.617787       0.133703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        99.3681                 NaN            NaN            NaN  0.618526       0.133544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.3680                 NaN            NaN            NaN  0.618655       0.133323E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3653                 NaN            NaN            NaN  0.621317       0.133378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3660                 NaN            NaN            NaN  0.620648       0.133317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3721                 NaN            NaN            NaN  0.614730       0.131569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3651                 NaN            NaN            NaN  0.617641       0.131670E-001  0.411756E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.2207                 NaN            NaN            NaN  0.190724                 NaN   1.58863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.3396                 NaN            NaN            NaN  0.160483                 NaN   1.49988                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.3042                 NaN            NaN            NaN  0.163407                 NaN   1.53236                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.3346                 NaN            NaN            NaN  0.158454                 NaN   1.50694                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.3630                 NaN            NaN            NaN  0.153779                 NaN   1.48324                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.3901                 NaN            NaN            NaN  0.151203                 NaN   1.45868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.4124                 NaN            NaN            NaN  0.148079                 NaN   1.43953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.4483                 NaN            NaN            NaN  0.143520                 NaN   1.40816                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.4716                 NaN            NaN            NaN  0.140902                 NaN   1.38754                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.4927                 NaN            NaN            NaN  0.138084                 NaN   1.36918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.5209                 NaN            NaN            NaN  0.132233                 NaN   1.34690                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.5425                 NaN            NaN            NaN  0.129094                 NaN   1.32839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.5161                 NaN            NaN            NaN  0.130782                 NaN   1.35314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.6358                 NaN            NaN            NaN  0.118598                 NaN   1.24561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.6097                 NaN            NaN            NaN  0.119856                 NaN   1.27042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        97.9761                 NaN            NaN            NaN  0.169937                 NaN   1.85398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        99.3094                 NaN            NaN            NaN  0.596566E-001            NaN  0.630979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.6696                 NaN            NaN            NaN  0.110727                 NaN   1.21969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.6925                 NaN            NaN            NaN  0.108435                 NaN   1.19909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.7090                 NaN            NaN            NaN  0.105145                 NaN   1.18590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.7304                 NaN            NaN            NaN  0.102464                 NaN   1.16712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.7307                 NaN            NaN            NaN  0.984194E-001            NaN   1.17084                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.7797                 NaN            NaN            NaN  0.958274E-001            NaN   1.12446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.6279                 NaN            NaN            NaN            NaN            NaN            NaN  0.372061                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        97.8968                 NaN            NaN            NaN  0.154220                 NaN   1.94901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.8143                 NaN            NaN            NaN  0.886203E-001            NaN   1.09709                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.8297                 NaN            NaN            NaN  0.860105E-001            NaN   1.08424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.8450                 NaN            NaN            NaN  0.846215E-001            NaN   1.07040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.8628                 NaN            NaN            NaN  0.832749E-001            NaN   1.05397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8758                 NaN            NaN            NaN  0.803765E-001            NaN   1.04379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.8861                 NaN            NaN            NaN  0.746231E-001            NaN   1.03931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.9059                 NaN            NaN            NaN  0.743486E-001            NaN   1.01979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.7778                 NaN            NaN            NaN  0.111597E-005            NaN  0.472938       0.749295                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        98.6948                 NaN            NaN            NaN            NaN            NaN  0.925013E-001   1.21275                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.7157                 NaN            NaN            NaN  0.105020E-005            NaN  0.838098E-001   1.20048                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.7187                 NaN            NaN            NaN            NaN            NaN  0.751974E-001   1.20608                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.7254                 NaN            NaN            NaN            NaN            NaN  0.682394E-001   1.20639                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.7335                 NaN            NaN            NaN            NaN            NaN  0.606386E-001   1.20588                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.7390                 NaN            NaN            NaN            NaN            NaN  0.532551E-001   1.20773                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.7462                 NaN            NaN            NaN            NaN            NaN  0.454475E-001   1.20833                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.7500                 NaN            NaN            NaN            NaN            NaN  0.371608E-001   1.21287                 NaN            NaN            NaN            NaN            NaN            NaN
