|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/EETA/EETA_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          San(TH)        ilm            q             
  1319.17        500.000        99.4602       0.212811       0.463015E-001            NaN            NaN  0.185160       0.955240E-001            NaN            NaN            NaN
  1318.11        500.000        99.4630       0.484028E-001  0.211049                 NaN            NaN  0.183828       0.937568E-001            NaN            NaN            NaN
  1317.04        500.000        99.4682       0.209556       0.475240E-001            NaN            NaN  0.181870       0.928433E-001            NaN            NaN            NaN
  1315.98        500.000        99.4722       0.472998E-001  0.208002                 NaN            NaN  0.180435       0.920841E-001            NaN            NaN            NaN
  1314.92        500.000        99.4765       0.470387E-001  0.206518                 NaN            NaN  0.178854       0.911111E-001            NaN            NaN            NaN
  1313.86        500.000        99.4803       0.205170       0.471661E-001            NaN            NaN  0.177302       0.900229E-001            NaN            NaN            NaN
  1312.80        500.000        99.4845       0.203446       0.474673E-001            NaN            NaN  0.175734       0.888879E-001            NaN            NaN            NaN
  1311.74        500.000        99.4885       0.201912       0.473236E-001            NaN            NaN  0.174244       0.879953E-001            NaN            NaN            NaN
  1310.68        500.000        99.4924       0.200079       0.478584E-001            NaN            NaN  0.172743       0.868977E-001            NaN            NaN            NaN
  1309.62        500.000        99.4961       0.471515E-001  0.199252                 NaN            NaN  0.171331       0.861181E-001            NaN            NaN            NaN
  1308.56        500.000        99.4990       0.198089       0.472650E-001            NaN            NaN  0.170318       0.853422E-001            NaN            NaN            NaN
  1307.50        500.000        99.5516       0.174710       0.509310E-001            NaN            NaN  0.151765       0.710034E-001            NaN            NaN            NaN
  1306.44        500.000        99.4591       0.478044E-001  0.215688                 NaN            NaN  0.183431       0.940221E-001            NaN            NaN            NaN
  1305.38        500.000        99.5125       0.192003       0.499411E-001            NaN            NaN  0.164805       0.807442E-001            NaN            NaN            NaN
  1304.32        500.000        99.5147       0.502527E-001  0.191104                 NaN            NaN  0.164020       0.799325E-001            NaN            NaN            NaN
  1303.26        500.000        99.5180       0.189546       0.510387E-001            NaN            NaN  0.162688       0.787089E-001            NaN            NaN            NaN
  1302.20        500.000        99.5149       0.796924E-001  0.175766                 NaN            NaN  0.162003       0.676000E-001            NaN            NaN            NaN
  1301.14        500.000        99.5337       0.212383E-001  0.198806                 NaN            NaN  0.158925       0.873558E-001            NaN            NaN            NaN
  1300.08        500.000        99.5275       0.183977       0.556390E-001            NaN            NaN  0.158729       0.741225E-001            NaN            NaN            NaN
  1299.02        500.000        99.5320       0.183640       0.530190E-001            NaN            NaN  0.157178       0.741757E-001            NaN            NaN            NaN
  1297.96        500.000        99.5346       0.549376E-001  0.181797                 NaN            NaN  0.156081       0.725371E-001            NaN            NaN            NaN
  1296.90        500.000        99.5380       0.180428       0.558205E-001            NaN            NaN  0.154640       0.711482E-001            NaN            NaN            NaN
  1295.84        500.000        99.5411       0.178060       0.577810E-001            NaN            NaN  0.153408       0.696528E-001            NaN            NaN            NaN
  1294.78        500.000        99.5442       0.591250E-001  0.176175                 NaN            NaN  0.152199       0.683197E-001            NaN            NaN            NaN
  1293.72        500.000        99.5468       0.174886       0.603768E-001            NaN            NaN  0.151039       0.668800E-001            NaN            NaN            NaN
  1292.66        500.000        99.5502       0.603643E-001  0.173281                 NaN            NaN  0.149910       0.662078E-001            NaN            NaN            NaN
  1291.60        500.000        99.5509       0.171617       0.634617E-001            NaN            NaN  0.149468       0.645059E-001            NaN            NaN            NaN
  1290.54        500.000        99.5585       0.169839       0.626735E-001            NaN            NaN  0.146258       0.627506E-001            NaN            NaN            NaN
  1289.48        500.000        99.5587       0.167558       0.662741E-001            NaN            NaN  0.146186       0.612716E-001            NaN            NaN            NaN
  1288.42        500.000        99.5607       0.165648       0.682939E-001            NaN            NaN  0.145407       0.599753E-001            NaN            NaN            NaN
  1287.36        500.000        99.5648       0.163795       0.690111E-001            NaN            NaN  0.143771       0.586145E-001            NaN            NaN            NaN
  1286.29        500.000        99.5650       0.158562       0.788936E-001            NaN            NaN  0.143060       0.544463E-001            NaN            NaN            NaN
  1285.23        500.000        99.5704       0.162938       0.669893E-001            NaN            NaN  0.141876       0.578203E-001            NaN            NaN            NaN
  1284.17        500.000        99.5724       0.158564       0.739472E-001            NaN            NaN  0.140652       0.544776E-001            NaN            NaN            NaN
  1283.11        500.000        99.5701       0.157017       0.782535E-001            NaN            NaN  0.141505       0.531626E-001            NaN            NaN            NaN
  1282.05        500.000        99.5783       0.842795E-001  0.151540                 NaN            NaN  0.137381       0.484847E-001            NaN            NaN            NaN
  1280.99        500.000        99.5792       0.823913E-001  0.151200                 NaN            NaN  0.137785       0.494503E-001            NaN            NaN            NaN
  1279.93        500.000        99.5815       0.149790       0.840883E-001            NaN            NaN  0.136706       0.479279E-001            NaN            NaN            NaN
  1278.87        500.000        99.5836       0.869061E-001  0.147314                 NaN            NaN  0.135844       0.463480E-001            NaN            NaN            NaN
  1277.81        500.000        99.5847       0.923291E-001  0.142767                 NaN            NaN  0.135524       0.446851E-001            NaN            NaN            NaN
  1276.75        500.000        95.8120       0.352729       0.800118                 NaN            NaN  0.551726       0.935131E-002   2.47411                 NaN            NaN
  1275.69        500.000        94.5464       0.414605        1.04596                 NaN            NaN  0.693414       0.323738E-005   3.29957                 NaN            NaN
  1274.63        500.000        94.7742        1.01792       0.389545                 NaN            NaN  0.668482                 NaN   3.14981                 NaN            NaN
  1273.57        500.000        94.6254        1.00275       0.430484                 NaN            NaN  0.689202                 NaN   3.23309       0.191165E-001            NaN
  1272.51        500.000        92.4263        1.21499       0.377344                 NaN            NaN  0.974311       0.217484        4.62818       0.161359                 NaN
  1271.45        500.000        93.0023       0.301007        1.16258                 NaN            NaN  0.905900       0.213800        4.26578       0.148613                 NaN
  1270.39        500.000        93.5112        1.09089       0.278814                 NaN            NaN  0.844045       0.194748        3.94352       0.136792                 NaN
  1269.33        500.000        93.9257       0.999992       0.315634                 NaN            NaN  0.792956       0.163881        3.67573       0.126103                 NaN
  1268.27        500.000        94.3609       0.110299        1.05623                 NaN            NaN  0.740924       0.195729        3.41674       0.119227                 NaN
  1267.21        500.000        94.6679       0.323798       0.858032                 NaN            NaN  0.702347       0.131468        3.20785       0.108647                 NaN
  1266.15        500.000        94.9930       0.184994       0.899408                 NaN            NaN  0.662284       0.145324        3.01194       0.103018                 NaN
  1265.09        500.000        95.2743       0.979421E-001  0.918084                 NaN            NaN  0.627523       0.145622        2.83920       0.973195E-001            NaN
  1264.03        500.000        95.4992       0.757904       0.256416                 NaN            NaN  0.599142       0.107341        2.68988       0.901040E-001            NaN
  1262.97        500.000        95.7297       0.796091       0.143413                 NaN            NaN  0.570602       0.120753        2.55313       0.863365E-001            NaN
  1261.91        500.000        95.9497       0.120539       0.774428                 NaN            NaN  0.542734       0.114312        2.41681       0.814392E-001            NaN
  1260.85        500.000        96.1293       0.102445       0.755674                 NaN            NaN  0.520091       0.108938        2.30607       0.774413E-001            NaN
  1259.79        500.000        96.3013       0.746247       0.738863E-001            NaN            NaN  0.498301       0.105776        2.20080       0.737087E-001            NaN
  1258.73        500.000        96.4598       0.732191       0.549788E-001            NaN            NaN  0.477989       0.101165        2.10366       0.701892E-001            NaN
  1257.67        500.000        96.6064       0.726104       0.295446E-001            NaN            NaN  0.459153       0.976138E-001   2.01422       0.669788E-001            NaN
  1256.60        500.000        96.7411       0.722236       0.417841E-002            NaN            NaN  0.441775       0.943449E-001   1.93234       0.640014E-001            NaN
  1255.54        500.000        96.8666       0.700303                 NaN            NaN            NaN  0.425399       0.907291E-001   1.85578       0.612013E-001            NaN
  1254.48        500.000        96.9830       0.677081                 NaN            NaN            NaN  0.410160       0.862766E-001   1.78493       0.585452E-001            NaN
  1253.42        500.000        97.0900       0.652548                 NaN            NaN            NaN  0.396040       0.844349E-001   1.72077       0.562438E-001            NaN
  1252.36        500.000        97.1949       0.643498                 NaN            NaN            NaN  0.382278       0.716459E-001   1.65448       0.532052E-001            NaN
  1251.30        500.000        97.2881       0.621574                 NaN            NaN            NaN  0.369836       0.703884E-001   1.59892       0.512114E-001            NaN
  1250.24        500.000        97.3771       0.604333                 NaN            NaN            NaN  0.357901       0.665026E-001   1.54504       0.491301E-001            NaN
  1249.18        500.000        97.4666       0.573495                 NaN            NaN            NaN  0.345726       0.725133E-001   1.49394       0.476825E-001            NaN
  1248.12        500.000        97.5490       0.556544                 NaN            NaN            NaN  0.335086       0.688926E-001   1.44485       0.456548E-001            NaN
  1247.06        500.000        97.6216       0.546183                 NaN            NaN            NaN  0.324327       0.637950E-001   1.40005       0.440012E-001            NaN
  1246.00        500.000        97.6966       0.524082                 NaN            NaN            NaN  0.314394       0.654646E-001   1.35702       0.424690E-001            NaN
  1244.94        500.000        97.7656       0.509538                 NaN            NaN            NaN  0.304940       0.630423E-001   1.31603       0.408658E-001            NaN
  1243.88        500.000        97.8282       0.502817                 NaN            NaN            NaN  0.296359       0.562349E-001   1.27730       0.391005E-001            NaN
  1242.82        500.000        97.8936       0.479165                 NaN            NaN            NaN  0.287111       0.612038E-001   1.24085       0.380715E-001            NaN
  1241.76        500.000        97.9505       0.472243                 NaN            NaN            NaN  0.279270       0.554747E-001   1.20599       0.364934E-001            NaN
  1240.70        500.000        98.0069       0.462394                 NaN            NaN            NaN  0.271424       0.518494E-001   1.17235       0.350792E-001            NaN
  1239.64        500.000        98.0639       0.448961                 NaN            NaN            NaN  0.263360       0.504706E-001   1.13948       0.338066E-001            NaN
  1238.58        500.000        98.1128       0.433543                 NaN            NaN            NaN  0.256175       0.532886E-001   1.11125       0.329439E-001            NaN
  1237.52        500.000        98.1632       0.425268                 NaN            NaN            NaN  0.249177       0.493042E-001   1.08141       0.315953E-001            NaN
  1236.46        500.000        98.2102       0.416416                 NaN            NaN            NaN  0.242450       0.467388E-001   1.05369       0.304587E-001            NaN
  1235.40        500.000        98.2550       0.409489                 NaN            NaN            NaN  0.236117       0.433005E-001   1.02684       0.292733E-001            NaN
  1234.34        500.000        98.3004       0.398145                 NaN            NaN            NaN  0.229520       0.427939E-001   1.00085       0.283202E-001            NaN
  1233.28        500.000        98.3360       0.406551                 NaN            NaN            NaN  0.224661       0.297033E-001  0.976370       0.266813E-001            NaN
  1232.22        500.000        98.3826       0.380627                 NaN            NaN            NaN  0.217645       0.398889E-001  0.952896       0.263596E-001            NaN
  1231.16        500.000        98.4165       0.386583                 NaN            NaN            NaN  0.212936       0.287855E-001  0.930315       0.249118E-001            NaN
  1230.10        500.000        98.4558       0.371453                 NaN            NaN            NaN  0.207019       0.327495E-001  0.908642       0.243374E-001            NaN
  1229.04        500.000        98.4897       0.371625                 NaN            NaN            NaN  0.202239       0.258108E-001  0.887382       0.231934E-001            NaN
  1227.98        500.000        98.5172       0.380383                 NaN            NaN            NaN  0.198231       0.141205E-001  0.868251       0.218435E-001            NaN
  1226.92        500.000        98.5577       0.358832                 NaN            NaN            NaN  0.192236       0.223591E-001  0.847374       0.215205E-001            NaN
  1225.85        500.000        98.5823       0.369652                 NaN            NaN            NaN  0.188753       0.961861E-002  0.829533       0.201673E-001            NaN
  1224.79        500.000        98.6181       0.356639                 NaN            NaN            NaN  0.183571       0.118947E-001  0.810234       0.195988E-001            NaN
  1223.73        500.000        98.6372       0.355009                 NaN            NaN            NaN  0.181074       0.100817E-001  0.797732       0.188791E-001            NaN
  1222.67        500.000        98.6723       0.360138                 NaN            NaN            NaN  0.175197       0.120127E-003  0.774611       0.176813E-001            NaN
  1221.61        500.000        98.6967       0.353195                 NaN            NaN            NaN  0.172140                 NaN  0.760921       0.170421E-001            NaN
  1220.55        500.000        98.7265       0.344910                 NaN            NaN            NaN  0.167903                 NaN  0.744253       0.164442E-001            NaN
  1219.49        500.000        98.7495       0.339741                 NaN            NaN            NaN  0.164858       0.912039E-006  0.730143       0.157491E-001            NaN
  1218.43        500.000        98.7792       0.331415                 NaN            NaN            NaN  0.159992       0.825201E-006  0.714039       0.153125E-001            NaN
  1217.37        500.000        98.8057       0.324153                 NaN            NaN            NaN  0.155477                 NaN  0.699655       0.149994E-001            NaN
  1216.31        500.000        98.8291       0.318094                 NaN            NaN            NaN  0.153034                 NaN  0.685563       0.141598E-001            NaN
  1215.25        500.000        98.8527       0.311768                 NaN            NaN            NaN  0.150120                 NaN  0.671837       0.135413E-001            NaN
  1214.19        500.000        98.8779       0.304857                 NaN            NaN            NaN  0.145245                 NaN  0.658613       0.133548E-001            NaN
  1213.13        500.000        98.9016       0.298492                 NaN            NaN            NaN  0.141801                 NaN  0.645214       0.128669E-001            NaN
  1212.07        500.000        98.9245       0.291989                 NaN            NaN            NaN  0.139404                 NaN  0.631911       0.121958E-001            NaN
  1211.01        500.000        97.9343       0.173828       0.313632E-004            NaN            NaN  0.302981       0.126225        1.41919       0.434140E-001            NaN
  1209.95        500.000        99.1951       0.147594       0.578420E-001            NaN            NaN  0.814458E-001            NaN  0.512590       0.542201E-002            NaN
  1208.89        500.000        99.1667       0.263587                 NaN            NaN            NaN  0.913375E-001            NaN  0.470491       0.787389E-002            NaN
  1207.83        500.000        89.4323       0.965190                 NaN            NaN            NaN  0.916270       0.239768        4.31330       0.566821E-001   4.07651     
  1206.77        500.000        95.3427       0.368723                 NaN            NaN            NaN  0.314583       0.677513E-001   1.57435       0.235571E-001   2.30838     
  1205.71        500.000        94.3855       0.573430                 NaN            NaN            NaN  0.473287       0.133695        2.23459       0.290677E-001   2.17045     
  1204.65        500.000        91.1567        1.07113                 NaN            NaN            NaN  0.756874       0.318784E-001   3.44845       0.341065E-001   3.50084     
  1203.59        500.000        92.5958       0.662374                 NaN            NaN            NaN  0.617750       0.157280        2.94124       0.378022E-001   2.98773     
  1202.53        500.000        92.3567       0.406101                 NaN            NaN            NaN  0.639321       0.249772        3.09005       0.412800E-001   3.21675     
  1201.47        500.000        87.6733        1.31746                 NaN            NaN            NaN   1.01558       0.219353        4.81577       0.578458E-001   4.90070     
  1200.41        500.000        99.1959       0.127083                 NaN            NaN            NaN  0.677854E-001  0.777919E-002  0.329413       0.411473E-002  0.267940     
  1199.35        500.000        85.5427        1.69896                 NaN            NaN            NaN   1.22824       0.733117E-001   5.64908       0.504758E-001   5.75721     
  1198.29        500.000        87.0402        1.37728       0.227635                 NaN            NaN   1.09915                 NaN   5.08101       0.437311E-001   5.13101     
  1197.23        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1196.16        500.000        99.9985       0.528538E-004  0.553835E-004            NaN            NaN  0.127018E-003  0.535838E-004  0.578671E-003  0.547133E-005  0.588894E-003
  1195.10        500.000        90.8370       0.987377       0.684424E-001            NaN            NaN  0.737342                 NaN   3.65760       0.376980E-001   3.67452     
  1194.04        500.000        92.5575       0.895860                 NaN            NaN            NaN  0.612434                 NaN   2.95031       0.251184E-001   2.95875     
  1192.98        500.000        90.0012       0.965143       0.919891E-006            NaN            NaN  0.824252       0.112808        4.03540       0.366610E-001   4.02452     
  1191.92        500.000        96.9457       0.793078E-001  0.258298                 NaN            NaN  0.245880                 NaN   1.22136       0.102351E-001   1.23918     
  1190.86        500.000        89.3758       0.356661       0.765619                 NaN            NaN  0.834942                 NaN   4.32108       0.390420E-001   4.30685     
  1189.80        500.000        93.6268       0.680980                 NaN            NaN            NaN  0.510062       0.196359E-004   2.62983       0.212172E-001   2.53106     
  1188.74        500.000        83.7569        1.62972                 NaN            NaN            NaN   1.23451                 NaN   6.84496       0.522854E-001   6.48161     
  1187.68        500.000        14.4937        5.26574        2.57112                 NaN            NaN   6.26580                 NaN   36.5953       0.278903        34.5294     
  1186.62        500.000                 NaN   2.43452        6.41220       0.160221E-005            NaN   7.20900                 NaN   43.0187       0.338832        40.5868     
  1185.56        500.000        74.5474        1.20062                 NaN            NaN            NaN   1.74652       0.455547        11.2263       0.120776        10.7028     
  1184.50        500.000                 NaN   1.61963        7.66533       0.170864E-004            NaN   7.28067                 NaN   42.7753       0.317577        40.3415     
  1183.44        500.000                 NaN   1.65989        7.61393       0.180608E-004            NaN   7.27718                 NaN   42.7887       0.320531        40.3398     
