|6.6.6
Archiving\03_Data\fracLP/QFM_m5/WD94/WD94_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1686.72        500.000        99.4071                 NaN            NaN  0.578670       0.141965E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3797                 NaN            NaN  0.605458       0.148238E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.4234                 NaN            NaN  0.563013       0.135968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.4006                 NaN            NaN  0.585336       0.140829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3956                 NaN            NaN  0.590285       0.141439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3916                 NaN            NaN  0.594299       0.141359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3891                 NaN            NaN  0.596805       0.141143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3877                 NaN            NaN  0.598167       0.140887E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3831                 NaN            NaN  0.602822       0.141124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3830                 NaN            NaN  0.602919       0.140716E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3787                 NaN            NaN  0.607181       0.140864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.9105                 NaN            NaN   1.06501       0.244471E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.8265                 NaN            NaN  0.169611       0.391877E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.3571                 NaN            NaN  0.629268       0.136641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.4019                 NaN            NaN  0.584051       0.140156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.3680                 NaN            NaN  0.617998       0.140034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.3657                 NaN            NaN  0.620240       0.140195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.3633                 NaN            NaN  0.622651       0.140042E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.3639                 NaN            NaN  0.622112       0.139412E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.0250                 NaN            NaN  0.144663                 NaN   1.83037                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        97.8580                 NaN            NaN  0.664183E-001            NaN   2.07554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        97.9047                 NaN            NaN  0.633048E-001            NaN   2.03199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        97.9562                 NaN            NaN  0.626763E-001            NaN   1.98115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        97.9963                 NaN            NaN  0.586180E-001            NaN   1.94511                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        97.9962                 NaN            NaN  0.536057E-001            NaN   1.95023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.1175                 NaN            NaN  0.577654E-001            NaN   1.82474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.1178                 NaN            NaN  0.489641E-001            NaN   1.83319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.1511                 NaN            NaN  0.517538E-001            NaN   1.79712                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.0817                 NaN            NaN  0.483215E-001            NaN   1.87003                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.3284                 NaN            NaN  0.429853E-001            NaN   1.62866                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.2609                 NaN            NaN  0.414991E-001            NaN   1.69756                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.2984                 NaN            NaN  0.389814E-001            NaN   1.66258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.3242                 NaN            NaN  0.364749E-001            NaN   1.63934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.3567                 NaN            NaN  0.353546E-001            NaN   1.60791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.3849                 NaN            NaN  0.351579E-001            NaN   1.57994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.4180                 NaN            NaN  0.288978E-001            NaN   1.55313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.4394                 NaN            NaN  0.242147E-001            NaN   1.53635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.4662                 NaN            NaN  0.239620E-001            NaN   1.50987                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.4990                 NaN            NaN  0.235571E-001            NaN   1.47745                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.5221                 NaN            NaN  0.196685E-001            NaN   1.45819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.5455                 NaN            NaN  0.311913E-001            NaN   1.42333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5744                 NaN            NaN  0.418347E-002            NaN   1.42145                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5939                 NaN            NaN  0.130941E-001            NaN   1.39296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.6155                 NaN            NaN  0.695604E-002            NaN   1.37757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6396                 NaN            NaN  0.120512E-001            NaN   1.34832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6605                 NaN            NaN  0.573639E-002            NaN   1.33374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6785                 NaN            NaN  0.330965E-002            NaN   1.31820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.7061                 NaN            NaN  0.203343E-001            NaN   1.27353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.7247                 NaN            NaN  0.306025E-001            NaN   1.24468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.7420                 NaN            NaN            NaN            NaN   1.25802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7607                 NaN            NaN  0.164704E-005            NaN   1.23929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7812                 NaN            NaN            NaN            NaN   1.21880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7977                 NaN            NaN  0.560922E-003            NaN   1.20178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.8127                 NaN            NaN            NaN            NaN   1.18733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.8302                 NaN            NaN            NaN            NaN   1.16980                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8478                 NaN            NaN            NaN            NaN   1.15224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8647                 NaN            NaN            NaN            NaN   1.13530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8844                 NaN            NaN            NaN            NaN   1.11562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8977                 NaN            NaN            NaN            NaN   1.10226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.9098                 NaN            NaN  0.714856E-002            NaN   1.08301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.9267                 NaN            NaN            NaN            NaN   1.07327                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9316                 NaN            NaN  0.124204E-001            NaN   1.05596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9585                 NaN            NaN            NaN            NaN   1.04153                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9680                 NaN            NaN            NaN            NaN   1.03203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9810                 NaN            NaN            NaN            NaN   1.01898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9942                 NaN            NaN            NaN            NaN   1.00577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0069                 NaN            NaN            NaN            NaN  0.993082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0196                 NaN            NaN            NaN            NaN  0.980359                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.0310                 NaN            NaN            NaN            NaN  0.969026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0420                 NaN            NaN            NaN            NaN  0.958041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0548                 NaN            NaN            NaN            NaN  0.945195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0640                 NaN            NaN            NaN            NaN  0.936033                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0754                 NaN            NaN            NaN            NaN  0.924628                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0906                 NaN            NaN            NaN            NaN  0.909418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0944                 NaN            NaN            NaN            NaN  0.905562       0.438945E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        98.9698                 NaN            NaN            NaN            NaN  0.139115       0.891042                 NaN            NaN            NaN            NaN            NaN            NaN
