|6.6.6
Archiving\03_Data\eqLP/QFM_m3.5/GRV/GRV_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab             San(TH)       
  1836.54        500.000        99.3193       0.680655                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.3193       0.680733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.3192       0.680811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.3191       0.680890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.3190       0.680968                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.3190       0.681046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.3189       0.681125                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.3188       0.681203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.3187       0.681282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.3186       0.681361                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.3186       0.681439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.3180       0.681519       0.490208E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.3044       0.681618       0.139342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2909       0.681716       0.273824E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2779       0.681814       0.402455E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.2650       0.681912       0.531126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.2520       0.682010       0.659835E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.2390       0.682108       0.788584E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.2261       0.682206       0.917372E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.2131       0.682304       0.104620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.2001       0.682403       0.117506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.1871       0.682501       0.130397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.1749       0.682598       0.142502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.1615       0.682695       0.154601       0.117221E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.3885       0.683081       0.166873       0.761515                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        97.6147       0.683466       0.179158        1.52269                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        96.8341       0.683851       0.191092        2.29093                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        96.0527       0.684234       0.203039        3.06000                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        95.2705       0.684615       0.214999        3.82990                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        94.4874       0.684994       0.226971        4.60061                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        93.6977       0.685373       0.238263        5.37863                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        92.9072       0.685751       0.249566        6.15747                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        92.1159       0.686126       0.260882        6.93711                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        91.3237       0.686499       0.272208        7.71756                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        90.5308       0.686870       0.283546        8.49880                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        89.7370       0.687239       0.294896        9.28082                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        88.9425       0.687605       0.306256        10.0636                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        88.1472       0.687969       0.317628        10.8472                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        87.3600       0.688327       0.328073        11.6236                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        86.5720       0.688683       0.338528        12.4008                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        85.7833       0.689036       0.348992        13.1787                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        84.9939       0.689387       0.359466        13.9573                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        84.2038       0.689736       0.369949        14.7366                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        83.4129       0.690081       0.380441        15.5166                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        82.6214       0.690425       0.390943        16.2973                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        81.8291       0.690766       0.401453        17.0787                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        81.0702       0.691091       0.411114        17.8276                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        80.3107       0.691413       0.420783        18.5771                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        79.5505       0.691733       0.430458        19.3273                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        78.7898       0.692051       0.440142        20.0780                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        78.0285       0.692365       0.449832        20.8293                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        77.2666       0.692677       0.459529        21.5812                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        76.5042       0.692986       0.469233        22.3336                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        75.7412       0.693293       0.478944        23.0866                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        75.0376       0.693575       0.487879        23.7809                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        74.3336       0.693855       0.496819        24.4757                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        73.6292       0.694132       0.505764        25.1709                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        72.9243       0.694406       0.514715        25.8666                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        72.2190       0.694677       0.523671        26.5627                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        71.5133       0.694946       0.532631        27.2592                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        70.8071       0.695212       0.541596        27.9561                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        70.1006       0.695475       0.550566        28.6533                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        69.4405       0.695720       0.558955        29.3048                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        68.7800       0.695963       0.567348        29.9567                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        68.1353       0.696197       0.575248        30.5933                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        67.4544       0.696477       0.583660        31.1980       0.674339E-001            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        65.7786       0.697923       0.587183        31.2256        1.71065                 NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        64.0960       0.699372       0.590720        31.2533        3.36063                 NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        62.4065       0.700827       0.594270        31.2809        5.01742                 NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        60.7102       0.702285       0.597833        31.3087        6.68104                 NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        59.3322       0.703505       0.598335        31.3007        8.06526                 NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        57.9495       0.704728       0.598837        31.2927        9.45423                 NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        56.5621       0.705954       0.599341        31.2846        10.8480                 NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        55.1701       0.707183       0.599844        31.2764        12.2465                 NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        53.7733       0.708414       0.600349        31.2682        13.6498                 NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        52.3717       0.709649       0.600855        31.2598        15.0580                 NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        50.9654       0.710888       0.601361        31.2514        16.4710                 NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        49.5543       0.712129       0.601868        31.2429        17.8889                 NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        48.4023       0.713178       0.598363        31.2091        19.0771                 NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        47.2470       0.714230       0.594846        31.1752        20.2687                 NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        46.0884       0.715284       0.591319        31.1412        21.4638                 NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        44.9265       0.716340       0.587780        31.1070        22.6623                 NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        43.7613       0.717399       0.584230        31.0727        23.8644                 NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        42.5927       0.718459       0.580669        31.0383        25.0699                 NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        41.4208       0.719522       0.577097        31.0037        26.2788                 NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        40.2456       0.720587       0.573514        30.9690        27.4913                 NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        39.1864       0.721566       0.564407        30.9389        28.5887                 NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        38.1246       0.722547       0.555276        30.9087        29.6889                 NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        37.0600       0.723530       0.546118        30.8784        30.7920                 NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        35.9926       0.724515       0.536936        30.8480        31.8980                 NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        34.9224       0.725502       0.527728        30.8174        33.0070                 NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        33.8494       0.726491       0.518494        30.7868        34.1188                 NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        32.7736       0.727482       0.509234        30.7560        35.2337                 NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        31.6950       0.728475       0.499949        30.7251        36.3514                 NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        30.6070       0.729481       0.485902        30.7070        37.4706                 NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        29.2625       0.730721       0.485190        30.6716        37.1616        1.68843                 NaN            NaN            NaN            NaN
  1528.85        500.000        27.8544       0.732033       0.485558        30.6465        36.6764        3.60516                 NaN            NaN            NaN            NaN
  1525.64        500.000        26.4414       0.733348       0.485928        30.6213        36.1893        5.52872                 NaN            NaN            NaN            NaN
  1522.44        500.000        24.8459       0.734875       0.464011        30.6715        37.2716        1.20405        4.80813                 NaN            NaN            NaN
  1519.23        500.000        23.3319       0.736331       0.440505        30.7256        38.3468        3.96443        2.45447                 NaN            NaN            NaN
  1516.03        500.000        23.3307       0.736352       0.440522        30.7260        38.3474        3.96448        2.45450                 NaN            NaN            NaN
  1512.82        500.000        20.6620       0.738905       0.400453        30.8053        39.8481        3.10570        4.43955                 NaN            NaN            NaN
  1509.62        500.000        20.6609       0.738924       0.400468        30.8057        39.8486        3.10574        4.43960                 NaN            NaN            NaN
  1506.41        500.000        20.6599       0.738944       0.400483        30.8061        39.8491        3.10578        4.43965                 NaN            NaN            NaN
  1503.21        500.000        20.6589       0.738964       0.400499        30.8065        39.8497        3.10582        4.43970                 NaN            NaN            NaN
  1500.00        500.000        20.6578       0.738984       0.400514        30.8069        39.8502        3.10586        4.43975                 NaN            NaN            NaN
  1496.79        500.000        20.6568       0.739003       0.400529        30.8073        39.8507        3.10590        4.43980                 NaN            NaN            NaN
  1493.59        500.000        20.6558       0.739023       0.400544        30.8077        39.8512        3.10594        4.43985                 NaN            NaN            NaN
  1490.38        500.000        20.6547       0.739042       0.400559        30.8081        39.8517        3.10599        4.43990                 NaN            NaN            NaN
  1487.18        500.000        12.9275       0.746506       0.307421        30.8896        40.7994        9.09370        5.23592                 NaN            NaN            NaN
  1483.97        500.000        12.9268       0.746521       0.307432        30.8898        40.7997        9.09375        5.23596                 NaN            NaN            NaN
  1480.77        500.000        12.9262       0.746537       0.307442        30.8901        40.8000        9.09380        5.23600                 NaN            NaN            NaN
  1477.56        500.000        12.9255       0.746552       0.307452        30.8903        40.8003        9.09386        5.23605                 NaN            NaN            NaN
  1474.36        500.000        12.9249       0.746568       0.307462        30.8905        40.8006        9.09391        5.23609                 NaN            NaN            NaN
  1471.15        500.000        12.9242       0.746583       0.307472        30.8908        40.8009        9.09396        5.23613                 NaN            NaN            NaN
  1467.95        500.000        12.9236       0.746598       0.307482        30.8910        40.8012        9.09402        5.23618                 NaN            NaN            NaN
  1464.74        500.000        12.9229       0.746614       0.307493        30.8912        40.8015        9.09407        5.23622                 NaN            NaN            NaN
  1461.54        500.000        8.29618       0.751303       0.254182        30.8136        40.8122        7.15957        11.9129                 NaN            NaN            NaN
  1458.33        500.000        8.29580       0.751316       0.254190        30.8137        40.8124        7.15961        11.9129                 NaN            NaN            NaN
  1455.13        500.000        8.29542       0.751329       0.254198        30.8139        40.8126        7.15965        11.9130                 NaN            NaN            NaN
  1451.92        500.000        8.29503       0.751342       0.254206        30.8140        40.8128        7.15969        11.9130                 NaN            NaN            NaN
  1448.72        500.000        8.29465       0.751354       0.254213        30.8141        40.8129        7.15973        11.9130                 NaN            NaN            NaN
  1445.51        500.000        8.29427       0.751367       0.254221        30.8142        40.8131        7.15977        11.9131                 NaN            NaN            NaN
  1442.31        500.000        8.29388       0.751379       0.254229        30.8143        40.8133        7.15981        11.9131                 NaN            NaN            NaN
  1439.10        500.000        8.29350       0.751392       0.254236        30.8144        40.8134        7.15985        11.9131                 NaN            NaN            NaN
  1435.90        500.000        5.47643       0.754475       0.223047        30.6848        41.2253        13.8778        7.75810                 NaN            NaN            NaN
  1432.69        500.000        5.47622       0.754486       0.223054        30.6849        41.2254        13.8779        7.75813                 NaN            NaN            NaN
  1429.49        500.000        5.47600       0.754497       0.223060        30.6849        41.2255        13.8779        7.75816                 NaN            NaN            NaN
  1426.28        500.000        5.47579       0.754508       0.223067        30.6850        41.2256        13.8779        7.75819                 NaN            NaN            NaN
  1423.08        500.000        5.47557       0.754519       0.223073        30.6851        41.2257        13.8779        7.75823                 NaN            NaN            NaN
  1419.87        500.000        5.47535       0.754530       0.223080        30.6851        41.2258        13.8779        7.75826                 NaN            NaN            NaN
  1416.67        500.000        5.47513       0.754541       0.223086        30.6852        41.2259        13.8779        7.75829                 NaN            NaN            NaN
  1413.46        500.000        5.47492       0.754552       0.223093        30.6852        41.2260        13.8779        7.75832                 NaN            NaN            NaN
  1410.26        500.000        3.64906       0.756755       0.213755        30.5345        41.7027        15.3100        7.83316                 NaN            NaN            NaN
  1407.05        500.000        3.64895       0.756765       0.213761        30.5345        41.7028        15.3100        7.83319                 NaN            NaN            NaN
  1403.85        500.000        3.64883       0.756775       0.213767        30.5346        41.7028        15.3100        7.83322                 NaN            NaN            NaN
  1400.64        500.000        3.64871       0.756785       0.213773        30.5346        41.7029        15.3100        7.83325                 NaN            NaN            NaN
  1397.44        500.000        3.64859       0.756795       0.213779        30.5346        41.7030        15.3100        7.83327                 NaN            NaN            NaN
  1394.23        500.000        3.64847       0.756805       0.213785        30.5346        41.7030        15.3100        7.83330                 NaN            NaN            NaN
  1391.03        500.000        3.64835       0.756814       0.213791        30.5346        41.7031        15.3100        7.83333                 NaN            NaN            NaN
  1387.82        500.000        3.64823       0.756824       0.213797        30.5346        41.7032        15.3100        7.83336                 NaN            NaN            NaN
  1384.62        500.000        2.34156       0.758560       0.224701        30.3542        42.1530        16.3990        7.76901                 NaN            NaN            NaN
  1381.41        500.000        2.34150       0.758569       0.224707        30.3542        42.1530        16.3990        7.76904                 NaN            NaN            NaN
  1378.21        500.000        2.34144       0.758578       0.224713        30.3541        42.1531        16.3990        7.76907                 NaN            NaN            NaN
  1375.00        500.000        2.34138       0.758587       0.224720        30.3541        42.1531        16.3990        7.76909                 NaN            NaN            NaN
  1371.79        500.000        2.34132       0.758596       0.224726        30.3541        42.1531        16.3990        7.76912                 NaN            NaN            NaN
  1368.59        500.000        2.34126       0.758605       0.224732        30.3541        42.1532        16.3990        7.76914                 NaN            NaN            NaN
  1365.38        500.000        2.34120       0.758614       0.224738        30.3541        42.1532        16.3990        7.76917                 NaN            NaN            NaN
  1362.18        500.000        2.34113       0.758623       0.224745        30.3541        42.1533        16.3990        7.76919                 NaN            NaN            NaN
  1358.97        500.000        1.31903       0.760117       0.250050        30.1546        42.5840        7.65942        17.2728                 NaN            NaN            NaN
  1355.77        500.000        1.31900       0.760125       0.250057        30.1546        42.5840        7.65944        17.2728                 NaN            NaN            NaN
  1352.56        500.000        1.31897       0.760134       0.250064        30.1545        42.5841        7.65947        17.2728                 NaN            NaN            NaN
  1349.36        500.000        1.31895       0.760143       0.250070        30.1545        42.5841        7.65949        17.2728                 NaN            NaN            NaN
  1346.15        500.000        1.31892       0.760151       0.250077        30.1545        42.5841        7.65952        17.2727                 NaN            NaN            NaN
  1342.95        500.000        1.31889       0.760160       0.250084        30.1544        42.5842        7.65954        17.2727                 NaN            NaN            NaN
  1339.74        500.000        1.31887       0.760168       0.250091        30.1544        42.5842        7.65957        17.2727                 NaN            NaN            NaN
  1336.54        500.000        1.31884       0.760176       0.250098        30.1543        42.5843        7.65959        17.2727                 NaN            NaN            NaN
  1333.33        500.000       0.450884       0.761560       0.285805        29.9384        43.0073        18.0075        7.54855                 NaN            NaN            NaN
  1330.13        500.000       0.450877       0.761568       0.285813        29.9384        43.0073        18.0075        7.54858                 NaN            NaN            NaN
  1326.92        500.000       0.450870       0.761576       0.285821        29.9383        43.0073        18.0075        7.54860                 NaN            NaN            NaN
  1323.72        500.000       0.450863       0.761584       0.285829        29.9383        43.0074        18.0074        7.54863                 NaN            NaN            NaN
  1320.51        500.000       0.588587E-001  0.762249       0.306916        29.8259        43.2224        18.3364        7.48730                 NaN            NaN            NaN
  1317.31        500.000                 NaN  0.762361       0.312539        29.8063        43.2709        18.3870        7.46089                 NaN            NaN            NaN
  1314.10        500.000                 NaN  0.762376       0.318190        29.8012        43.3186        18.3959        7.40373                 NaN            NaN            NaN
  1310.90        500.000                 NaN  0.762384       0.318199        29.8012        43.3186        18.3959        7.40376                 NaN            NaN            NaN
  1307.69        500.000                 NaN  0.762409       0.328898        29.7920        43.4210        18.4148        7.28083                 NaN            NaN            NaN
  1304.49        500.000                 NaN  0.762417       0.328907        29.7920        43.4211        18.4148        7.28086                 NaN            NaN            NaN
  1301.28        500.000                 NaN  0.762424       0.328916        29.7919        43.4211        18.4148        7.28088                 NaN            NaN            NaN
  1298.08        500.000                 NaN  0.762432       0.328925        29.7918        43.4212        18.4147        7.28091                 NaN            NaN            NaN
  1294.87        500.000                 NaN  0.762440       0.328934        29.7918        43.4212        18.4147        7.28094                 NaN            NaN            NaN
  1291.67        500.000                 NaN  0.762448       0.328943        29.7917        43.4212        18.4147        7.28096                 NaN            NaN            NaN
  1288.46        500.000                 NaN  0.762455       0.328951        29.7917        43.4213        18.4147        7.28099                 NaN            NaN            NaN
  1285.26        500.000                 NaN  0.762463       0.328960        29.7916        43.4213        18.4147        7.28101                 NaN            NaN            NaN
  1282.05        500.000                 NaN  0.762526       0.378015        29.7439        43.7640        18.4875        6.86406                 NaN            NaN            NaN
  1278.85        500.000                 NaN  0.762535       0.381925        29.7473        43.8018        18.4796        6.81731       0.945498E-002            NaN            NaN
  1275.64        500.000                 NaN  0.762528       0.387071        29.7502        43.8238        18.4696        6.78022       0.266068E-001            NaN            NaN
  1272.44        500.000                 NaN  0.762535       0.387081        29.7502        43.8238        18.4696        6.78024       0.266083E-001            NaN            NaN
  1269.23        500.000                 NaN  0.762509       0.397938        29.7555        43.8640        18.4457        6.71184       0.624618E-001            NaN            NaN
  1266.03        500.000                 NaN  0.762516       0.397948        29.7554        43.8641        18.4457        6.71187       0.624655E-001            NaN            NaN
  1262.82        500.000                 NaN  0.762524       0.397959        29.7554        43.8641        18.4457        6.71190       0.624692E-001            NaN            NaN
  1259.62        500.000                 NaN  0.762531       0.397970        29.7553        43.8642        18.4456        6.71192       0.624729E-001            NaN            NaN
  1256.41        500.000                 NaN  0.762472       0.419405        29.7651        43.9422        18.4004        6.57774       0.132689                 NaN            NaN
  1253.21        500.000                 NaN  0.762479       0.419416        29.7650        43.9422        18.4004        6.57776       0.132697                 NaN            NaN
  1250.00        500.000                 NaN  0.762487       0.419427        29.7650        43.9423        18.4003        6.57779       0.132705                 NaN            NaN
  1246.79        500.000                 NaN  0.762494       0.419438        29.7649        43.9423        18.4003        6.57782       0.132713                 NaN            NaN
  1243.59        500.000                 NaN  0.762501       0.419450        29.7648        43.9424        18.4003        6.57784       0.132721                 NaN            NaN
  1240.38        500.000                 NaN  0.762508       0.419461        29.7648        43.9424        18.4003        6.57787       0.132728                 NaN            NaN
  1237.18        500.000                 NaN  0.762515       0.419472        29.7647        43.9425        18.4002        6.57790       0.132736                 NaN            NaN
  1233.97        500.000                 NaN  0.762522       0.419483        29.7646        43.9425        18.4002        6.57792       0.132744                 NaN            NaN
  1230.77        500.000                 NaN  0.762404       0.463934        29.7810        44.0783        18.3175        6.32841       0.268452                 NaN            NaN
  1227.56        500.000                 NaN  0.762411       0.463946        29.7809        44.0784        18.3175        6.32844       0.268468                 NaN            NaN
  1224.36        500.000                 NaN  0.762418       0.463958        29.7808        44.0784        18.3174        6.32847       0.268484                 NaN            NaN
  1221.15        500.000                 NaN  0.762425       0.463970        29.7807        44.0785        18.3174        6.32849       0.268500                 NaN            NaN
