|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.75/T13/T13_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         melt(TH)       melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            hed            q             
  1832.08        2500.00        99.2711                 NaN            NaN            NaN  0.713618       0.152564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4946                 NaN            NaN            NaN  0.495346       0.100657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4941                 NaN            NaN            NaN  0.495863       0.100434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4867                 NaN            NaN            NaN  0.503036       0.102680E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.5020                 NaN            NaN            NaN  0.488239       0.976786E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4933                 NaN            NaN            NaN  0.496702       0.996004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4939                 NaN            NaN            NaN  0.496173       0.994044E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4930                 NaN            NaN            NaN  0.497133       0.990277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4913                 NaN            NaN            NaN  0.498738       0.992427E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4901                 NaN            NaN            NaN  0.500041       0.983538E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4918                 NaN            NaN            NaN  0.498437       0.979370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4805                 NaN            NaN            NaN  0.509457       0.100332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4959                 NaN            NaN            NaN  0.494536       0.960612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4880                 NaN            NaN            NaN  0.502258       0.975894E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4860                 NaN            NaN            NaN  0.504265       0.975152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4830                 NaN            NaN            NaN  0.507202       0.975392E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4774                 NaN            NaN            NaN  0.512672       0.990893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4880                 NaN            NaN            NaN  0.502434       0.954152E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4793                 NaN            NaN            NaN  0.511033       0.968266E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4751                 NaN            NaN            NaN  0.515259       0.968366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4775                 NaN            NaN            NaN  0.512919       0.959014E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4740                 NaN            NaN            NaN  0.516379       0.962643E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4721                 NaN            NaN            NaN  0.518259       0.960951E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.4689                 NaN            NaN            NaN  0.521515       0.960358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.4679                 NaN            NaN            NaN  0.522557       0.956318E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4210                 NaN            NaN            NaN  0.568677       0.103411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.5057                 NaN            NaN            NaN  0.485539       0.875754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.9525                 NaN            NaN            NaN  0.455348E-001  0.198277E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        98.9653                 NaN            NaN            NaN   1.01761       0.170458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4561                 NaN            NaN            NaN  0.534385       0.946906E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4535                 NaN            NaN            NaN  0.537061       0.947096E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4472                 NaN            NaN            NaN  0.543311       0.950378E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4462                 NaN            NaN            NaN  0.544374       0.944774E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.4371                 NaN            NaN            NaN  0.553499       0.944403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4529                 NaN            NaN            NaN  0.537880       0.924409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.6459                 NaN            NaN            NaN  0.348068       0.605157E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.2230                 NaN            NaN            NaN  0.764001       0.129529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.4313                 NaN            NaN            NaN  0.559303       0.940840E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.4288                 NaN            NaN            NaN  0.561840       0.940720E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.4266                 NaN            NaN            NaN  0.564031       0.936849E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4223                 NaN            NaN            NaN  0.568320       0.937839E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4206                 NaN            NaN            NaN  0.570065       0.934194E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4166                 NaN            NaN            NaN  0.573995       0.936573E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        98.8877                 NaN            NaN            NaN   1.09466       0.176765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.9451                 NaN            NaN            NaN  0.538897E-001  0.993911E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4074                 NaN            NaN            NaN  0.583315       0.931132E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4049                 NaN            NaN            NaN  0.585755       0.931172E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4027                 NaN            NaN            NaN  0.588002       0.929532E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3977                 NaN            NaN            NaN  0.592952       0.930301E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.3979                 NaN            NaN            NaN  0.592869       0.925439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.3927                 NaN            NaN            NaN  0.597974       0.930358E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3920                 NaN            NaN            NaN  0.598747       0.925569E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3861                 NaN            NaN            NaN  0.604648       0.930145E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.3874                 NaN            NaN            NaN  0.603367       0.922739E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3840                 NaN            NaN            NaN  0.606765       0.923286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3809                 NaN            NaN            NaN  0.609887       0.924620E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3686                 NaN            NaN            NaN  0.621995       0.943151E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.0574                 NaN            NaN            NaN  0.928712       0.139216E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.7097                 NaN            NaN            NaN  0.285998       0.426638E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3690                 NaN            NaN            NaN  0.621740       0.927544E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3711                 NaN            NaN            NaN  0.619667       0.919571E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3702                 NaN            NaN            NaN  0.620636       0.918311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        98.3392                 NaN            NaN            NaN  0.356226                 NaN   1.30457                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        97.8208                 NaN            NaN            NaN  0.254011                 NaN   1.92521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        97.9209                 NaN            NaN            NaN  0.241317                 NaN   1.83780                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        97.9644                 NaN            NaN            NaN  0.236393                 NaN   1.79924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.0086                 NaN            NaN            NaN  0.230247                 NaN   1.76112                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        98.0486                 NaN            NaN            NaN  0.224418                 NaN   1.72702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        98.0918                 NaN            NaN            NaN  0.220679                 NaN   1.68749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        98.1312                 NaN            NaN            NaN  0.215592                 NaN   1.65319                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        98.1712                 NaN            NaN            NaN  0.210493                 NaN   1.61835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.2049                 NaN            NaN            NaN  0.206004                 NaN   1.58906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2326                 NaN            NaN            NaN  0.199652                 NaN   1.56774                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2817                 NaN            NaN            NaN  0.195850                 NaN   1.52241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3099                 NaN            NaN            NaN  0.192668                 NaN   1.49739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3373                 NaN            NaN            NaN  0.186524                 NaN   1.47620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3764                 NaN            NaN            NaN  0.183095                 NaN   1.44052                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.4029                 NaN            NaN            NaN  0.180102                 NaN   1.41696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.4334                 NaN            NaN            NaN  0.174877                 NaN   1.39170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4536                 NaN            NaN            NaN  0.171251                 NaN   1.37512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4947                 NaN            NaN            NaN  0.166779                 NaN   1.33849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        97.2923                 NaN            NaN            NaN  0.294102                 NaN   2.41358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        99.7788                 NaN            NaN            NaN  0.244266E-001            NaN  0.196729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        99.5502                 NaN            NaN            NaN  0.445954E-001            NaN  0.405174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        97.6033                 NaN            NaN            NaN  0.256651                 NaN   2.14008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6200                 NaN            NaN            NaN  0.146792                 NaN   1.23323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6375                 NaN            NaN            NaN  0.145277                 NaN   1.21720                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6638                 NaN            NaN            NaN  0.142106                 NaN   1.19408                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6834                 NaN            NaN            NaN  0.137915                 NaN   1.17873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6925                 NaN            NaN            NaN  0.135002                 NaN   1.17251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7379                 NaN            NaN            NaN  0.131474                 NaN   1.13067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7444                 NaN            NaN            NaN  0.127376                 NaN   1.12823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7637                 NaN            NaN            NaN  0.123777                 NaN   1.11248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7853                 NaN            NaN            NaN  0.122222                 NaN   1.09251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.7893                 NaN            NaN            NaN  0.121988                 NaN   1.08874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8371                 NaN            NaN            NaN  0.113339                 NaN   1.04954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8367                 NaN            NaN            NaN  0.112244                 NaN   1.05101                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8573                 NaN            NaN            NaN  0.109675                 NaN   1.03304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8710                 NaN            NaN            NaN  0.105269                 NaN   1.02375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8874                 NaN            NaN            NaN  0.102790                 NaN   1.00983                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9028                 NaN            NaN            NaN  0.100058                 NaN  0.997100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9204                 NaN            NaN            NaN  0.980346E-001            NaN  0.981577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.8465                 NaN            NaN            NaN  0.100240                 NaN   1.05322                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.0368                 NaN            NaN            NaN  0.860967E-001            NaN  0.877070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9623                 NaN            NaN            NaN  0.890204E-001            NaN  0.948652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9792                 NaN            NaN            NaN  0.886162E-001            NaN  0.932157                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9870                 NaN            NaN            NaN  0.836289E-001            NaN  0.929366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0066                 NaN            NaN            NaN  0.826198E-001            NaN  0.910788                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0174                 NaN            NaN            NaN  0.798059E-001            NaN  0.902809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
