|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/LAR/LAR_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1397.92        2500.00                 NaN   99.0812                 NaN  0.152823       0.296621                 NaN  0.145323       0.324051                 NaN            NaN            NaN
  1396.88        2500.00                 NaN   99.0898                 NaN  0.148995       0.294790                 NaN  0.145224       0.321227                 NaN            NaN            NaN
  1395.84        2500.00                 NaN   99.0977                 NaN  0.293192       0.145396                 NaN  0.145134       0.318558                 NaN            NaN            NaN
  1394.81        2500.00                 NaN   99.1084                 NaN  0.289906       0.142606                 NaN  0.144297       0.314822                 NaN            NaN            NaN
  1393.77        2500.00                 NaN   99.1169                 NaN  0.287835       0.138839                 NaN  0.144326       0.312107                 NaN            NaN            NaN
  1392.74        2500.00                 NaN   99.1256                 NaN  0.285883       0.135761                 NaN  0.143755       0.309044                 NaN            NaN            NaN
  1391.70        2500.00                 NaN   99.1339                 NaN  0.132645       0.283837                 NaN  0.143417       0.306232                 NaN            NaN            NaN
  1390.66        2500.00                 NaN   99.1417                 NaN  0.282042       0.129526                 NaN  0.143169       0.303606                 NaN            NaN            NaN
  1389.63        2500.00                 NaN   99.1498                 NaN  0.125848       0.280505                 NaN  0.142888       0.300922                 NaN            NaN            NaN
  1388.59        2500.00                 NaN   99.0739                 NaN  0.135713       0.306386                 NaN  0.156557       0.327490                 NaN            NaN            NaN
  1387.55        2500.00                 NaN   99.2486                 NaN  0.108312       0.249403                 NaN  0.127833       0.265858                 NaN            NaN            NaN
  1386.52        2500.00                 NaN   99.1751                 NaN  0.273697       0.117894                 NaN  0.141301       0.291968                 NaN            NaN            NaN
  1385.48        2500.00                 NaN   99.1818                 NaN  0.114867       0.272494                 NaN  0.141120       0.289718                 NaN            NaN            NaN
  1384.45        2500.00                 NaN   99.1893                 NaN  0.270741       0.111922                 NaN  0.140914       0.287158                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   99.1971                 NaN  0.109210       0.268849                 NaN  0.140348       0.284504                 NaN            NaN            NaN
  1382.37        2500.00                 NaN   99.2037                 NaN  0.106657       0.267397                 NaN  0.140093       0.282192                 NaN            NaN            NaN
  1381.34        2500.00                 NaN   99.2120                 NaN  0.265291       0.103870                 NaN  0.139478       0.279345                 NaN            NaN            NaN
  1380.30        2500.00                 NaN   99.2165                 NaN  0.100813       0.264774                 NaN  0.139955       0.277914                 NaN            NaN            NaN
  1379.26        2500.00                 NaN   99.2253                 NaN  0.992895E-001  0.262322                 NaN  0.138497       0.274640                 NaN            NaN            NaN
  1378.23        2500.00                 NaN   99.2351                 NaN  0.977306E-001  0.258931                 NaN  0.137269       0.270970                 NaN            NaN            NaN
  1377.19        2500.00                 NaN   99.2395                 NaN  0.258468       0.946229E-001            NaN  0.137731       0.269691                 NaN            NaN            NaN
  1376.16        2500.00                 NaN   99.1589                 NaN  0.102010       0.287001                 NaN  0.153622       0.298504                 NaN            NaN            NaN
  1375.12        2500.00                 NaN   99.3418                 NaN  0.224411       0.795229E-001            NaN  0.120753       0.233478                 NaN            NaN            NaN
  1374.08        2500.00                 NaN   99.2599                 NaN  0.253417       0.881511E-001            NaN  0.136107       0.262404                 NaN            NaN            NaN
  1373.05        2500.00                 NaN   99.2664                 NaN  0.251876       0.856033E-001            NaN  0.135863       0.260249                 NaN            NaN            NaN
  1372.01        2500.00                 NaN   99.2725                 NaN  0.250303       0.837027E-001            NaN  0.135399       0.258092                 NaN            NaN            NaN
  1370.97        2500.00                 NaN   99.2788                 NaN  0.813992E-001  0.248944                 NaN  0.135009       0.255871                 NaN            NaN            NaN
  1369.94        2500.00                 NaN   99.2850                 NaN  0.247130       0.802336E-001            NaN  0.134049       0.253574                 NaN            NaN            NaN
  1368.90        2500.00                 NaN   99.2910                 NaN  0.246221       0.752331E-001            NaN  0.135437       0.252109                 NaN            NaN            NaN
  1367.87        2500.00                 NaN   99.2983                 NaN  0.243325       0.783147E-001            NaN  0.131690       0.248335                 NaN            NaN            NaN
  1366.83        2500.00                 NaN   99.3033                 NaN  0.737029E-001  0.243058                 NaN  0.132752       0.247138                 NaN            NaN            NaN
  1365.79        2500.00                 NaN   99.3092                 NaN  0.241034       0.725778E-001            NaN  0.132132       0.245083                 NaN            NaN            NaN
  1364.76        2500.00                 NaN   99.3122                 NaN  0.240751       0.697689E-001            NaN  0.133020       0.244213                 NaN            NaN            NaN
  1363.72        2500.00                 NaN   99.3238                 NaN  0.704231E-001  0.236951                 NaN  0.129490       0.239305                 NaN            NaN            NaN
  1362.68        2500.00                 NaN   99.3231                 NaN  0.238861       0.653499E-001            NaN  0.132119       0.240534                 NaN            NaN            NaN
  1361.65        2500.00                 NaN   99.3332                 NaN  0.234901       0.686197E-001            NaN  0.127761       0.235489                 NaN            NaN            NaN
  1360.61        2500.00                 NaN   99.3371                 NaN  0.234212       0.649043E-001            NaN  0.128971       0.234838                 NaN            NaN            NaN
  1359.58        2500.00                 NaN   99.3428                 NaN  0.630491E-001  0.232846                 NaN  0.128449       0.232808                 NaN            NaN            NaN
  1358.54        2500.00                 NaN   99.3485                 NaN  0.231151       0.619364E-001            NaN  0.127699       0.230761                 NaN            NaN            NaN
  1357.50        2500.00                 NaN   99.3535                 NaN  0.230151       0.603783E-001            NaN  0.127085       0.228873                 NaN            NaN            NaN
  1356.47        2500.00                 NaN   99.3592                 NaN  0.228172       0.589654E-001            NaN  0.126643       0.226978                 NaN            NaN            NaN
  1355.43        2500.00                 NaN   99.3626                 NaN  0.556703E-001  0.229011                 NaN  0.126880       0.225791                 NaN            NaN            NaN
  1354.39        2500.00                 NaN   99.3705                 NaN  0.224574       0.590760E-001            NaN  0.123604       0.222242                 NaN            NaN            NaN
  1353.36        2500.00                 NaN   99.3743                 NaN  0.224690       0.537591E-001            NaN  0.125419       0.221790                 NaN            NaN            NaN
  1352.32        2500.00                 NaN   99.3781                 NaN  0.223148       0.556758E-001            NaN  0.123415       0.219641                 NaN            NaN            NaN
  1351.29        2500.00                 NaN   99.3848                 NaN  0.555355E-001  0.221125                 NaN  0.121543       0.216982                 NaN            NaN            NaN
  1350.25        2500.00                 NaN   99.3883                 NaN  0.523487E-001  0.220978                 NaN  0.122361       0.215991                 NaN            NaN            NaN
  1349.21        2500.00                 NaN   99.3921                 NaN  0.219913       0.523235E-001            NaN  0.121211       0.214491                 NaN            NaN            NaN
  1348.18        2500.00                 NaN   99.3986                 NaN  0.217771       0.517173E-001            NaN  0.119995       0.211905                 NaN            NaN            NaN
  1347.14        2500.00                 NaN   99.4029                 NaN  0.216558       0.504260E-001            NaN  0.119597       0.210474                 NaN            NaN            NaN
  1346.10        2500.00                 NaN   99.4073                 NaN  0.215374       0.497560E-001            NaN  0.118755       0.208832                 NaN            NaN            NaN
  1345.07        2500.00                 NaN   99.4112                 NaN  0.494733E-001  0.214091                 NaN  0.117909       0.207292                 NaN            NaN            NaN
  1344.03        2500.00                 NaN   99.4164                 NaN  0.212868       0.484050E-001            NaN  0.117043       0.205332                 NaN            NaN            NaN
  1343.00        2500.00                 NaN   99.4200                 NaN  0.211515       0.483051E-001            NaN  0.116247       0.203929                 NaN            NaN            NaN
  1341.96        2500.00                 NaN   99.4249                 NaN  0.481134E-001  0.210045                 NaN  0.114994       0.201952                 NaN            NaN            NaN
  1340.92        2500.00                 NaN   99.4269                 NaN  0.449961E-001  0.210314                 NaN  0.115963       0.201867                 NaN            NaN            NaN
  1339.89        2500.00                 NaN   99.4358                 NaN  0.487311E-001  0.206069                 NaN  0.112032       0.197361                 NaN            NaN            NaN
  1338.85        2500.00                 NaN   99.4376                 NaN  0.460216E-001  0.206356                 NaN  0.112753       0.197277                 NaN            NaN            NaN
  1337.81        2500.00                 NaN   99.4420                 NaN  0.204711       0.464302E-001            NaN  0.111457       0.195447                 NaN            NaN            NaN
  1336.78        2500.00                 NaN   99.4455                 NaN  0.459872E-001  0.203900                 NaN  0.110566       0.194045                 NaN            NaN            NaN
  1335.74        2500.00                 NaN   99.4495                 NaN  0.460710E-001  0.202323                 NaN  0.109616       0.192490                 NaN            NaN            NaN
  1334.71        2500.00                 NaN   99.4534                 NaN  0.201407       0.456755E-001            NaN  0.108611       0.190902                 NaN            NaN            NaN
  1333.67        2500.00                 NaN   99.4572                 NaN  0.200246       0.455576E-001            NaN  0.107611       0.189405                 NaN            NaN            NaN
  1332.63        2500.00                 NaN   99.4612                 NaN  0.454316E-001  0.198654                 NaN  0.106772       0.187935                 NaN            NaN            NaN
  1331.60        2500.00                 NaN   99.4651                 NaN  0.197342       0.458228E-001            NaN  0.105450       0.186243                 NaN            NaN            NaN
  1330.56        2500.00                 NaN   99.4684                 NaN  0.196294       0.457862E-001            NaN  0.104522       0.184963                 NaN            NaN            NaN
  1329.52        2500.00                 NaN   99.4723                 NaN  0.194981       0.456635E-001            NaN  0.103614       0.183456                 NaN            NaN            NaN
  1328.49        2500.00                 NaN   99.4731                 NaN  0.470722E-001  0.192497                 NaN  0.103540       0.183744                 NaN            NaN            NaN
  1327.45        2500.00                 NaN   99.0663                 NaN  0.879036E-001  0.344655                 NaN  0.178448       0.322698                 NaN            NaN            NaN
  1326.42        2500.00                 NaN   99.8994                 NaN  0.526564E-002  0.387501E-001            NaN  0.216753E-001  0.348820E-001            NaN            NaN            NaN
  1325.38        2500.00                 NaN   99.4859                 NaN  0.190439       0.466698E-001            NaN  0.991076E-001  0.177879                 NaN            NaN            NaN
  1324.34        2500.00                 NaN   99.4907                 NaN  0.188316       0.478939E-001            NaN  0.973539E-001  0.175739                 NaN            NaN            NaN
  1323.31        2500.00                 NaN   99.4930                 NaN  0.187200       0.481206E-001            NaN  0.967007E-001  0.174955                 NaN            NaN            NaN
  1322.27        2500.00                 NaN   99.4960                 NaN  0.182363       0.579833E-001            NaN  0.908510E-001  0.172787                 NaN            NaN            NaN
  1321.23        2500.00                 NaN   99.5005                 NaN  0.390488E-001  0.187980                 NaN  0.994738E-001  0.173002                 NaN            NaN            NaN
  1320.20        2500.00                 NaN   99.5031                 NaN  0.183119       0.496780E-001            NaN  0.932394E-001  0.170816                 NaN            NaN            NaN
  1319.16        2500.00                 NaN   99.5035                 NaN  0.186710       0.413301E-001            NaN  0.966378E-001  0.171826                 NaN            NaN            NaN
  1318.13        2500.00                 NaN   99.5119                 NaN  0.176914       0.583365E-001            NaN  0.868464E-001  0.165975                 NaN            NaN            NaN
  1317.09        2500.00                 NaN   99.5120                 NaN  0.179350       0.516206E-001            NaN  0.898717E-001  0.167154                 NaN            NaN            NaN
  1316.05        2500.00                 NaN   99.9044                 NaN  0.390198E-001            NaN            NaN  0.229135E-001  0.336617E-001            NaN            NaN            NaN
  1315.02        2500.00                 NaN   99.1283                 NaN  0.312683       0.110319                 NaN  0.151841       0.296866                 NaN            NaN            NaN
  1313.98        2500.00                 NaN   99.5217                 NaN  0.175125       0.540998E-001            NaN  0.859769E-001  0.163084                 NaN            NaN            NaN
  1312.94        2500.00                 NaN   99.5242                 NaN  0.174315       0.544207E-001            NaN  0.850278E-001  0.162039                 NaN            NaN            NaN
  1311.91        2500.00                 NaN   99.5260                 NaN  0.172872       0.561321E-001            NaN  0.837767E-001  0.161231                 NaN            NaN            NaN
  1310.87        2500.00                 NaN   99.5305                 NaN  0.170801       0.576620E-001            NaN  0.818551E-001  0.159218                 NaN            NaN            NaN
  1309.84        2500.00                 NaN   99.5325                 NaN  0.169906       0.580918E-001            NaN  0.810567E-001  0.158452                 NaN            NaN            NaN
  1308.80        2500.00                 NaN   99.5357                 NaN  0.168122       0.589847E-001            NaN  0.799437E-001  0.157292                 NaN            NaN            NaN
  1307.76        2500.00                 NaN   99.5372                 NaN  0.167362       0.609731E-001            NaN  0.782105E-001  0.156226                 NaN            NaN            NaN
  1306.73        2500.00                 NaN   99.5410                 NaN  0.165430       0.612218E-001            NaN  0.773915E-001  0.154970                 NaN            NaN            NaN
  1305.69        2500.00                 NaN   99.5437                 NaN  0.163984       0.625855E-001            NaN  0.759869E-001  0.153731                 NaN            NaN            NaN
  1304.65        2500.00                 NaN   99.5459                 NaN  0.162709       0.637568E-001            NaN  0.747979E-001  0.152799                 NaN            NaN            NaN
  1303.62        2500.00                 NaN   99.5489                 NaN  0.161636       0.640274E-001            NaN  0.738503E-001  0.151619                 NaN            NaN            NaN
  1302.58        2500.00                 NaN   99.5508                 NaN  0.672101E-001  0.159674                 NaN  0.718065E-001  0.150549                 NaN            NaN            NaN
  1301.55        2500.00                 NaN   99.5534                 NaN  0.158615       0.677225E-001            NaN  0.707971E-001  0.149477                 NaN            NaN            NaN
  1300.51        2500.00                 NaN   99.5553                 NaN  0.156441       0.704323E-001            NaN  0.691928E-001  0.148585                 NaN            NaN            NaN
  1299.47        2500.00                 NaN   93.6610                 NaN  0.184556       0.891376                 NaN  0.490573       0.893309        3.87919                 NaN            NaN
  1298.44        2500.00                 NaN   92.8132                 NaN   1.01285       0.189151                 NaN  0.548569       0.999572        4.43667                 NaN            NaN
  1297.40        2500.00                 NaN   93.0825                 NaN  0.996890       0.171168                 NaN  0.526892       0.965423        4.25717                 NaN            NaN
  1296.36        2500.00                 NaN   93.3426                 NaN  0.982496       0.151155                 NaN  0.506567       0.932220        4.08492                 NaN            NaN
  1295.33        2500.00                 NaN   93.5778                 NaN  0.135185       0.969727                 NaN  0.486909       0.902257        3.92814                 NaN            NaN
  1294.29        2500.00                 NaN   93.8003                 NaN  0.959177       0.117371                 NaN  0.468769       0.873912        3.78051                 NaN            NaN
  1293.26        2500.00                 NaN   94.0024                 NaN  0.953348       0.983361E-001            NaN  0.451894       0.848076        3.64599                 NaN            NaN
  1292.22        2500.00                 NaN   94.1869                 NaN  0.949950       0.807958E-001            NaN  0.435549       0.824640        3.52219                 NaN            NaN
  1291.18        2500.00       0.564494        86.2833                 NaN   2.04406                 NaN            NaN  0.647337        1.91596        8.54485                 NaN            NaN
  1290.15        2500.00       0.564279        87.2421                 NaN   2.95659                 NaN            NaN  0.153063        1.63631        7.44766                 NaN            NaN
  1289.11        2500.00       0.506826        87.9535                 NaN   2.26284                 NaN            NaN  0.376833        1.62544        7.27459                 NaN            NaN
  1288.07        2500.00       0.466332        88.7666                 NaN   2.13201                 NaN            NaN  0.344646        1.51869        6.77168                 NaN            NaN
  1287.04        2500.00       0.431030        89.4858                 NaN   2.01662                 NaN            NaN  0.314502        1.42361        6.32842                 NaN            NaN
  1286.00        2500.00       0.401639        90.0805                 NaN   1.91750                 NaN            NaN  0.291981        1.34521        5.96314                 NaN            NaN
  1284.97        2500.00       0.375808        90.6003                 NaN   1.83636                 NaN            NaN  0.267917        1.27618        5.64339                 NaN            NaN
  1283.93        2500.00       0.353178        91.0304                 NaN   1.78488                 NaN            NaN  0.237684        1.21893        5.37496                 NaN            NaN
  1282.89        2500.00       0.333464        91.3803                 NaN   1.76262                 NaN            NaN  0.199302        1.17193        5.15240                 NaN            NaN
  1281.86        2500.00       0.317599        91.6756                 NaN   1.72208                 NaN            NaN  0.181821        1.13202        4.97089                 NaN            NaN
  1280.82        2500.00       0.303177        91.9207                 NaN   1.68122       0.292692E-001            NaN  0.151849        1.09818        4.81564                 NaN            NaN
  1279.78        2500.00       0.290674        92.1024                 NaN   1.54659       0.167856                 NaN  0.120108        1.07296        4.69944                 NaN            NaN
  1278.75        2500.00       0.279530        92.2493                 NaN  0.564680        1.16031                 NaN  0.856829E-001   1.05213        4.60833                 NaN            NaN
  1277.71        2500.00       0.410887        89.7380                 NaN   1.45178       0.808150                 NaN            NaN   1.39865        6.19253                 NaN            NaN
  1276.68        2500.00       0.118361        95.2512                 NaN   1.11581                 NaN            NaN  0.147023       0.625476        2.74217                 NaN            NaN
  1275.64        2500.00       0.446292        88.8676                 NaN   1.56235       0.569633                 NaN  0.216894        1.53964        6.79756                 NaN            NaN
  1274.60        2500.00       0.136898        95.1003                 NaN  0.243750       0.955919                 NaN  0.579940E-001  0.639807        2.86535                 NaN            NaN
  1273.57        2500.00       0.166410        94.0502                 NaN  0.502848        1.03003                 NaN            NaN  0.782996        3.46754                 NaN            NaN
  1272.53        2500.00       0.264115        91.8604                 NaN   1.33699                 NaN            NaN  0.430964        1.12347        4.98408                 NaN            NaN
  1271.50        2500.00       0.236420        93.5667                 NaN   1.43292                 NaN            NaN            NaN  0.829632        3.93029       0.399679E-002            NaN
  1270.46        2500.00       0.207057        90.9200                 NaN  0.370429        1.87380                 NaN            NaN   1.21502        5.38920       0.244467E-001            NaN
  1269.42        2500.00       0.121802        92.3056                 NaN   1.08855       0.739431                 NaN            NaN  0.989216        4.66829       0.871515E-001            NaN
  1268.39        2500.00       0.227003        92.0235                 NaN   1.92309                 NaN            NaN  0.931638E-005   1.06285        4.76352                 NaN            NaN
  1267.35        2500.00       0.149181        92.9398                 NaN   1.69953                 NaN            NaN            NaN  0.938949        4.24107       0.315151E-001            NaN
  1266.31        2500.00                 NaN   92.7393                 NaN  0.674957        1.16529                 NaN            NaN  0.956397        4.34378       0.120294                 NaN
  1265.28        2500.00                 NaN   92.9313                 NaN   1.82134                 NaN            NaN            NaN  0.926532        4.20414       0.116702                 NaN
  1264.24        2500.00                 NaN   93.1322                 NaN   1.75669                 NaN            NaN            NaN  0.909647        4.09135       0.110117                 NaN
  1263.21        2500.00                 NaN   83.7535                 NaN   2.77344                 NaN            NaN  0.313375        2.25015        10.6017       0.307834                 NaN
  1262.17        2500.00                 NaN   90.1696                 NaN  0.429361                 NaN            NaN   1.03777        1.48322        6.66679       0.213210                 NaN
  1261.13        2500.00                 NaN   93.3354                 NaN   1.34061                 NaN            NaN            NaN  0.899655        4.30199       0.122307                 NaN
  1260.10        2500.00                 NaN   99.9001                 NaN  0.256763E-001            NaN            NaN            NaN  0.161916E-001  0.561391E-001  0.193885E-002            NaN
  1259.06        2500.00                 NaN   99.8610                 NaN  0.318932E-001            NaN            NaN  0.592447E-005  0.206951E-001  0.835151E-001  0.284076E-002            NaN
  1258.02        2500.00                 NaN   99.6704                 NaN  0.665944E-001            NaN            NaN  0.277195E-005  0.464216E-001  0.210497       0.607365E-002            NaN
  1256.99        2500.00                 NaN   96.8092                 NaN  0.863187                 NaN            NaN            NaN  0.478069        1.78609       0.634650E-001            NaN
  1255.95        2500.00                 NaN   98.2524                 NaN  0.391358                 NaN            NaN            NaN  0.178690        1.15724       0.202905E-001            NaN
  1254.92        2500.00                 NaN   98.8039                 NaN  0.265553                 NaN            NaN            NaN  0.165367       0.743993       0.211933E-001            NaN
  1253.88        2500.00                 NaN   99.4361                 NaN  0.201524                 NaN            NaN            NaN  0.118678       0.218792       0.248793E-001            NaN
  1252.84        2500.00                 NaN   99.9588                 NaN  0.100425E-001            NaN            NaN            NaN  0.571809E-002  0.247443E-001  0.672222E-003            NaN
  1251.81        2500.00                 NaN   96.4643                 NaN  0.921269                 NaN            NaN            NaN  0.436908        2.14228       0.352702E-001            NaN
  1250.77        2500.00                 NaN   98.3832                 NaN  0.300442                 NaN            NaN            NaN  0.203814        1.07911       0.334570E-001            NaN
  1249.73        2500.00                 NaN   98.3968                 NaN  0.587637                 NaN            NaN            NaN  0.223079       0.764295       0.281785E-001            NaN
  1248.70        2500.00                 NaN   97.6030                 NaN  0.882280                 NaN            NaN            NaN  0.292334        1.20206       0.203109E-001            NaN
  1247.66        2500.00                 NaN   96.8928                 NaN  0.886556                 NaN            NaN            NaN  0.388959        1.77561       0.560461E-001            NaN
  1246.63        2500.00                 NaN   93.8434                 NaN   2.78209                 NaN            NaN            NaN  0.744107        2.57652       0.538403E-001            NaN
  1245.59        2500.00                 NaN   54.9807        42.0300       0.223123                 NaN            NaN            NaN  0.452510        2.21356       0.100122                 NaN
  1244.55        2500.00                 NaN   87.6750                 NaN  0.607135       0.803078        4.27020                 NaN   1.47800        5.10190       0.647221E-001            NaN
  1243.52        2500.00                 NaN   96.0228                 NaN   1.23712                 NaN            NaN            NaN  0.538576        2.15580       0.456896E-001            NaN
  1242.48        2500.00                 NaN   97.7120                 NaN  0.635353                 NaN            NaN            NaN  0.290833        1.32212       0.397142E-001            NaN
  1241.44        2500.00                 NaN   95.8507                 NaN   1.09231                 NaN            NaN            NaN  0.555602        2.44296       0.584604E-001            NaN
  1240.41        2500.00                 NaN   97.5529                 NaN  0.600779                 NaN            NaN            NaN  0.277540        1.52135       0.474275E-001            NaN
  1239.37        2500.00                 NaN   99.4692                 NaN  0.100232       0.160071                 NaN            NaN  0.966608E-001  0.173842                 NaN            NaN
  1238.34        2500.00                 NaN   96.4469                 NaN  0.298556       0.638924                 NaN            NaN  0.481520        2.08436       0.497196E-001            NaN
  1237.30        2500.00                 NaN   98.1777                 NaN  0.559906                 NaN            NaN            NaN  0.269824       0.966732       0.258039E-001            NaN
  1236.26        2500.00                 NaN   98.1510                 NaN  0.318218       0.424238                 NaN            NaN  0.366221       0.704372       0.359670E-001            NaN
  1235.23        2500.00                 NaN   98.6746                 NaN  0.198435                 NaN            NaN            NaN  0.876251E-001   1.03421       0.515275E-002            NaN
  1234.19        2500.00                 NaN   98.0678                 NaN  0.455849                 NaN            NaN            NaN  0.226888        1.22997       0.195115E-001            NaN
  1233.15        2500.00                 NaN   97.7862                 NaN  0.572600                 NaN            NaN            NaN  0.280787        1.33429       0.261404E-001            NaN
  1232.12        2500.00                 NaN   97.8983                 NaN  0.701968                 NaN            NaN            NaN  0.315054        1.05114       0.335720E-001            NaN
  1231.08        2500.00                 NaN   97.8822                 NaN  0.588007                 NaN            NaN            NaN  0.359112        1.13327       0.373962E-001            NaN
  1230.05        2500.00                 NaN   99.1629                 NaN  0.134149       0.462394E-001            NaN            NaN  0.757042E-001  0.574005       0.696118E-002            NaN
  1229.01        2500.00                 NaN   98.3131                 NaN  0.305209                 NaN            NaN            NaN  0.150845        1.22083       0.100286E-001            NaN
  1227.97        2500.00                 NaN   97.7303                 NaN  0.696400                 NaN            NaN            NaN  0.375445        1.15841       0.394868E-001            NaN
  1226.94        2500.00                 NaN   99.0439                 NaN  0.143396                 NaN            NaN            NaN  0.576028E-001  0.754786       0.349131E-003            NaN
  1225.90        2500.00                 NaN            NaN            NaN   4.23164        8.20631                 NaN            NaN   8.72142        46.3332       0.624892        31.8825     
  1224.86        2500.00                 NaN            NaN            NaN   2.84113        9.58685                 NaN            NaN   8.73535        46.3327       0.625683        31.8783     
  1223.83        2500.00                 NaN            NaN            NaN   2.84107        9.58666                 NaN            NaN   8.73534        46.3323       0.625673        31.8790     
  1222.79        2500.00                 NaN            NaN            NaN   2.84101        9.58647                 NaN            NaN   8.73533        46.3319       0.625664        31.8796     
  1221.76        2500.00                 NaN            NaN            NaN   2.84096        9.58628                 NaN            NaN   8.73532        46.3315       0.625655        31.8803     
  1220.72        2500.00                 NaN            NaN            NaN   2.84090        9.58608                 NaN            NaN   8.73531        46.3312       0.625646        31.8809     
  1219.68        2500.00                 NaN            NaN            NaN   2.84084        9.58589                 NaN            NaN   8.73530        46.3308       0.625637        31.8816     
  1218.65        2500.00                 NaN            NaN            NaN   2.84078        9.58570                 NaN            NaN   8.73529        46.3304       0.625628        31.8822     
  1217.61        2500.00                 NaN            NaN            NaN   2.84072        9.58551                 NaN            NaN   8.73528        46.3300       0.625619        31.8829     
  1216.57        2500.00                 NaN            NaN            NaN   2.84067        9.58531                 NaN            NaN   8.73527        46.3296       0.625610        31.8835     
  1215.54        2500.00                 NaN            NaN            NaN   2.84061        9.58512                 NaN            NaN   8.73526        46.3293       0.625600        31.8842     
  1214.50        2500.00                 NaN            NaN            NaN   2.84055        9.58493                 NaN            NaN   8.73525        46.3289       0.625591        31.8848     
  1213.47        2500.00                 NaN            NaN            NaN   2.84049        9.58474                 NaN            NaN   8.73524        46.3285       0.625582        31.8855     
  1212.43        2500.00                 NaN            NaN            NaN   2.84044        9.58454                 NaN            NaN   8.73523        46.3281       0.625573        31.8861     
  1211.39        2500.00                 NaN            NaN            NaN   2.90424        9.52272                 NaN            NaN   8.74491        46.3172       0.624634        31.8863     
  1210.36        2500.00                 NaN            NaN            NaN   12.4806                 NaN            NaN            NaN   8.70218        46.2881       0.618818        31.9103     
  1209.32        2500.00                 NaN            NaN            NaN   12.4496                 NaN            NaN            NaN   8.73346        46.2990       0.621502        31.8964     
  1208.28        2500.00                 NaN            NaN            NaN   12.4767                 NaN            NaN            NaN   8.71360        46.2821       0.618554        31.9090     
  1207.25        2500.00                 NaN            NaN            NaN   12.4639                 NaN            NaN            NaN   8.71681        46.2925       0.620818        31.9059     
  1206.21        2500.00                 NaN            NaN            NaN   12.4505                 NaN            NaN            NaN   8.73744        46.2926       0.620684        31.8988     
  1205.18        2500.00                 NaN            NaN            NaN   12.4756                 NaN            NaN            NaN   8.71574        46.2768       0.618639        31.9132     
  1204.14        2500.00                 NaN            NaN            NaN   12.4770                 NaN            NaN            NaN   8.72560        46.2687       0.617285        31.9114     
  1203.10        2500.00                 NaN            NaN            NaN   12.4876                 NaN            NaN            NaN   8.72444        46.2557       0.615516        31.9168     
  1202.07        2500.00                 NaN            NaN            NaN   12.4502                 NaN            NaN            NaN   8.74464        46.2845       0.620441        31.9002     
  1201.03        2500.00                 NaN            NaN            NaN   4.12839        8.30839                 NaN            NaN   8.74996        46.2947       0.622206        31.8964     
