|6.6.6
Archiving\03_Data\eqfracLP/QFM/TIS/TIS_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1392.33        500.000        98.7103       0.412692       0.554188                 NaN  0.342717E-004  0.322833                 NaN            NaN            NaN
  1391.27        500.000        98.7259       0.398818       0.551516                 NaN  0.505387E-002  0.318693                 NaN            NaN            NaN
  1390.21        500.000        98.7370       0.542904       0.404653                 NaN            NaN  0.315484                 NaN            NaN            NaN
  1389.15        500.000        98.5679       0.459045       0.615010       0.201653E-004            NaN  0.358070                 NaN            NaN            NaN
  1388.09        500.000        98.9449       0.340495       0.435832       0.136664E-001            NaN  0.265148                 NaN            NaN            NaN
  1387.03        500.000        98.7612       0.422374       0.320271       0.161775                 NaN  0.334353                 NaN            NaN            NaN
  1385.97        500.000        98.7735       0.418577       0.316480       0.160619                 NaN  0.330843                 NaN            NaN            NaN
  1384.91        500.000        98.5369       0.501207       0.372000       0.195252                 NaN  0.394594                 NaN            NaN            NaN
  1383.85        500.000        99.0437       0.327601       0.240905       0.129704                 NaN  0.258069                 NaN            NaN            NaN
  1382.79        500.000        98.8070       0.297281       0.408996       0.164575                 NaN  0.322185                 NaN            NaN            NaN
  1381.73        500.000        98.8195       0.405783       0.290043       0.165752                 NaN  0.318951                 NaN            NaN            NaN
  1380.67        500.000        98.8295       0.403190       0.284069       0.166864                 NaN  0.316334                 NaN            NaN            NaN
  1379.61        500.000        98.8400       0.400504       0.277501       0.168322                 NaN  0.313709                 NaN            NaN            NaN
  1378.55        500.000        98.8504       0.397340       0.271766       0.169566                 NaN  0.310973                 NaN            NaN            NaN
  1377.48        500.000        98.8607       0.265667       0.394602       0.170780                 NaN  0.308271                 NaN            NaN            NaN
  1376.42        500.000        98.8708       0.259637       0.392007       0.171949                 NaN  0.305644                 NaN            NaN            NaN
  1375.36        500.000        98.8803       0.253853       0.389306       0.173306                 NaN  0.303261                 NaN            NaN            NaN
  1374.30        500.000        98.8904       0.386564       0.247879       0.174581                 NaN  0.300616                 NaN            NaN            NaN
  1373.24        500.000        98.8990       0.242385       0.384353       0.175885                 NaN  0.298386                 NaN            NaN            NaN
  1372.18        500.000        98.9091       0.381427       0.236802       0.176956                 NaN  0.295752                 NaN            NaN            NaN
  1371.12        500.000        98.9175       0.231386       0.378982       0.178423                 NaN  0.293746                 NaN            NaN            NaN
  1370.06        500.000        98.9290       0.224877       0.376035       0.179512                 NaN  0.290578                 NaN            NaN            NaN
  1369.00        500.000        98.9307       0.357905       0.236078       0.174591       0.108408E-001  0.289934                 NaN            NaN            NaN
  1367.94        500.000        98.9529       0.217283       0.367888       0.178458                 NaN  0.283458                 NaN            NaN            NaN
  1366.88        500.000        98.9532       0.369998       0.209570       0.182908                 NaN  0.284338                 NaN            NaN            NaN
  1365.82        500.000        98.9608       0.368214       0.204378       0.184261                 NaN  0.282353                 NaN            NaN            NaN
  1364.76        500.000        98.9696       0.365924       0.198722       0.185532                 NaN  0.280218                 NaN            NaN            NaN
  1363.70        500.000        98.9797       0.193726       0.362945       0.186089                 NaN  0.277493                 NaN            NaN            NaN
  1362.64        500.000        99.2831       0.134716       0.255377       0.131770                 NaN  0.195028                 NaN            NaN            NaN
  1361.58        500.000        98.6930       0.240867       0.466847       0.244298                 NaN  0.355005                 NaN            NaN            NaN
  1360.52        500.000        99.0012       0.357533       0.179656       0.189835                 NaN  0.271776                 NaN            NaN            NaN
  1359.46        500.000        99.0087       0.174868       0.355579       0.191047                 NaN  0.269813                 NaN            NaN            NaN
  1358.40        500.000        99.0057       0.183776       0.351103       0.182262       0.815076E-002  0.269005                 NaN            NaN            NaN
  1357.34        500.000        98.9986       0.349127       0.193503       0.172415       0.173587E-001  0.268988                 NaN            NaN            NaN
  1356.28        500.000        98.9955       0.197379       0.349482       0.166256       0.231222E-001  0.268287                 NaN            NaN            NaN
  1355.22        500.000        98.9873       0.351262       0.203954       0.158753       0.299459E-001  0.268834                 NaN            NaN            NaN
  1354.16        500.000        98.9803       0.212303       0.353164       0.146507       0.402602E-001  0.267460                 NaN            NaN            NaN
  1353.10        500.000        98.9591       0.359936       0.227204       0.130920       0.536103E-001  0.269272                 NaN            NaN            NaN
  1352.04        500.000        98.9335       0.368625       0.245715       0.110827       0.702806E-001  0.271088                 NaN            NaN            NaN
  1350.98        500.000        98.8999       0.269847       0.380442       0.851329E-001  0.910451E-001  0.273591                 NaN            NaN            NaN
  1349.92        500.000        98.8543       0.397405       0.300768       0.524637E-001  0.117579       0.277512                 NaN            NaN            NaN
  1348.86        500.000        98.8078       0.415396       0.333122       0.177706E-001  0.144782       0.281157                 NaN            NaN            NaN
  1347.80        500.000        98.7682       0.435735       0.334008       0.731184E-002  0.167661       0.287067                 NaN            NaN            NaN
  1346.73        500.000        98.7380       0.452776       0.331049                 NaN  0.186580       0.291568                 NaN            NaN            NaN
  1345.67        500.000        98.7188       0.466113       0.319872                 NaN  0.200203       0.294965                 NaN            NaN            NaN
  1344.61        500.000        98.7121       0.310344       0.473076                 NaN  0.208569       0.295939                 NaN            NaN            NaN
  1343.55        500.000        98.7079       0.478609       0.301469                 NaN  0.215594       0.296458                 NaN            NaN            NaN
  1342.49        500.000        98.7082       0.293238       0.482063                 NaN  0.220377       0.296085                 NaN            NaN            NaN
  1341.43        500.000        98.7182       0.286263       0.480128                 NaN  0.221574       0.293797                 NaN            NaN            NaN
  1340.37        500.000        98.7279       0.477998       0.280299                 NaN  0.222112       0.291730                 NaN            NaN            NaN
  1339.31        500.000        98.7396       0.274459       0.474704                 NaN  0.222038       0.289178                 NaN            NaN            NaN
  1338.25        500.000        98.7523       0.269959       0.470299                 NaN  0.220828       0.286577                 NaN            NaN            NaN
  1337.19        500.000        98.7651       0.263358       0.467173       0.102525E-004  0.220681       0.283721                 NaN            NaN            NaN
  1336.13        500.000        98.7792       0.259372       0.461860                 NaN  0.218777       0.280837                 NaN            NaN            NaN
  1335.07        500.000        98.7921       0.254416       0.457734                 NaN  0.217632       0.278159                 NaN            NaN            NaN
  1334.01        500.000        98.8092       0.250238       0.451098                 NaN  0.214919       0.274530                 NaN            NaN            NaN
  1332.95        500.000        98.8231       0.445930       0.246130       0.155210E-005  0.213124       0.271709                 NaN            NaN            NaN
  1331.89        500.000        98.8383       0.440487       0.241862                 NaN  0.210872       0.268498                 NaN            NaN            NaN
  1330.83        500.000        98.8531       0.238362       0.434573                 NaN  0.208512       0.265463                 NaN            NaN            NaN
  1329.77        500.000        98.8683       0.234407       0.428722                 NaN  0.206242       0.262295                 NaN            NaN            NaN
  1328.71        500.000        98.8819       0.423510       0.231082                 NaN  0.204003       0.259509                 NaN            NaN            NaN
  1327.65        500.000        98.8973       0.417351       0.227443                 NaN  0.201617       0.256306                 NaN            NaN            NaN
  1326.59        500.000        98.9110       0.412323       0.223967                 NaN  0.199350       0.253402                 NaN            NaN            NaN
  1325.53        500.000        98.9253       0.406205       0.220929                 NaN  0.197048       0.250504                 NaN            NaN            NaN
  1324.47        500.000        98.9388       0.217471       0.401345                 NaN  0.194782       0.247617                 NaN            NaN            NaN
  1323.41        500.000        98.9528       0.395719       0.214259                 NaN  0.192521       0.244714                 NaN            NaN            NaN
  1322.35        500.000        98.9657       0.390600       0.211419                 NaN  0.190242       0.242054                 NaN            NaN            NaN
  1321.29        500.000        98.9790       0.385440       0.208283                 NaN  0.188028       0.239246                 NaN            NaN            NaN
  1320.23        500.000        98.9922       0.380189       0.205365                 NaN  0.185767       0.236470                 NaN            NaN            NaN
  1319.17        500.000        99.0050       0.375141       0.202587                 NaN  0.183443       0.233823                 NaN            NaN            NaN
  1318.11        500.000        99.0176       0.369916       0.200057                 NaN  0.181237       0.231181                 NaN            NaN            NaN
  1317.04        500.000        99.0294       0.196962       0.365570                 NaN  0.179386       0.228651                 NaN            NaN            NaN
  1315.98        500.000        99.0418       0.360252       0.194675                 NaN  0.177071       0.226181                 NaN            NaN            NaN
  1314.92        500.000        99.0540       0.356019       0.191659                 NaN  0.174898       0.223454                 NaN            NaN            NaN
  1313.86        500.000        99.0665       0.189291       0.350674                 NaN  0.172669       0.220836                 NaN            NaN            NaN
  1312.80        500.000        99.0776       0.346332       0.186708                 NaN  0.170838       0.218551                 NaN            NaN            NaN
  1311.74        500.000        99.0891       0.341668       0.184488                 NaN  0.168648       0.216086                 NaN            NaN            NaN
  1310.68        500.000        99.1003       0.337163       0.182200                 NaN  0.166620       0.213744                 NaN            NaN            NaN
  1309.62        500.000        99.1119       0.332308       0.180137                 NaN  0.164445       0.211233                 NaN            NaN            NaN
  1308.56        500.000        99.1223       0.177437       0.328467                 NaN  0.162714       0.209129                 NaN            NaN            NaN
  1307.50        500.000        99.1331       0.175301       0.324037                 NaN  0.160760       0.206755                 NaN            NaN            NaN
  1306.44        500.000        99.1441       0.319649       0.173226                 NaN  0.158635       0.204410                 NaN            NaN            NaN
  1305.38        500.000        99.1544       0.170945       0.315666                 NaN  0.156734       0.202217                 NaN            NaN            NaN
  1304.32        500.000        99.1646       0.169095       0.311441                 NaN  0.154859       0.200004                 NaN            NaN            NaN
  1303.26        500.000        99.1748       0.307304       0.167100                 NaN  0.152929       0.197912                 NaN            NaN            NaN
  1302.20        500.000        99.1848       0.164792       0.303556                 NaN  0.151126       0.195680                 NaN            NaN            NaN
  1301.14        500.000        99.1947       0.299200       0.163553                 NaN  0.148977       0.193610                 NaN            NaN            NaN
  1300.08        500.000        99.2045       0.295391       0.161236                 NaN  0.147374       0.191510                 NaN            NaN            NaN
  1299.02        500.000        99.2139       0.291629       0.159578                 NaN  0.145465       0.189446                 NaN            NaN            NaN
  1297.96        500.000        99.2228       0.287977       0.157799                 NaN  0.143809       0.187606                 NaN            NaN            NaN
  1296.90        500.000        99.2331       0.283966       0.155862                 NaN  0.141815       0.185264                 NaN            NaN            NaN
  1295.84        500.000        99.2415       0.154356       0.280382                 NaN  0.140192       0.183525                 NaN            NaN            NaN
  1294.78        500.000        99.2506       0.276772       0.152739                 NaN  0.138389       0.181514                 NaN            NaN            NaN
  1293.72        500.000        99.2597       0.151300       0.272962                 NaN  0.136449       0.179605                 NaN            NaN            NaN
  1292.66        500.000        99.2682       0.269870       0.149222                 NaN  0.135017       0.177695                 NaN            NaN            NaN
  1291.60        500.000        99.2769       0.266331       0.147803                 NaN  0.133211       0.175760                 NaN            NaN            NaN
  1290.54        500.000        99.2851       0.262804       0.146538                 NaN  0.131478       0.174088                 NaN            NaN            NaN
  1289.48        500.000        99.2934       0.259515       0.144964                 NaN  0.129858       0.172261                 NaN            NaN            NaN
  1288.42        500.000        99.3021       0.255937       0.143569                 NaN  0.128124       0.170306                 NaN            NaN            NaN
  1287.36        500.000        99.3098       0.142002       0.252991                 NaN  0.126569       0.168619                 NaN            NaN            NaN
  1286.29        500.000        99.3170       0.141182       0.249762                 NaN  0.124985       0.167071                 NaN            NaN            NaN
  1285.23        500.000        99.3264       0.246146       0.139370                 NaN  0.123130       0.164991                 NaN            NaN            NaN
  1284.17        500.000        99.3295       0.243263       0.140523                 NaN  0.121926       0.164795                 NaN            NaN            NaN
  1283.11        500.000        99.3448       0.239795       0.135318                 NaN  0.119573       0.160468                 NaN            NaN            NaN
  1282.05        500.000        99.3440       0.136721       0.238312                 NaN  0.119482       0.161476                 NaN            NaN            NaN
  1280.99        500.000        99.3603       0.133722       0.232598                 NaN  0.116172       0.157229                 NaN            NaN            NaN
  1279.93        500.000        99.3635       0.133216       0.231058                 NaN  0.115438       0.156802                 NaN            NaN            NaN
  1278.87        500.000        99.3705       0.228068       0.132274                 NaN  0.113880       0.155325                 NaN            NaN            NaN
  1277.81        500.000        99.3778       0.131225       0.224980                 NaN  0.112362       0.153605                 NaN            NaN            NaN
  1276.75        500.000        99.3850       0.129836       0.222228                 NaN  0.110950       0.152023                 NaN            NaN            NaN
  1275.69        500.000        99.3905       0.129341       0.219736                 NaN  0.109472       0.150972                 NaN            NaN            NaN
  1274.63        500.000        99.3979       0.216479       0.128758                 NaN  0.107582       0.149267                 NaN            NaN            NaN
  1273.57        500.000        99.4059       0.126722       0.213669                 NaN  0.106408       0.147255                 NaN            NaN            NaN
  1272.51        500.000        99.4120       0.125782       0.211149                 NaN  0.105079       0.145996                 NaN            NaN            NaN
  1271.45        500.000        99.4183       0.208501       0.124747                 NaN  0.103730       0.144692                 NaN            NaN            NaN
  1270.39        500.000        93.9375       0.827925       0.921863                 NaN  0.428544       0.745991        3.13814                 NaN            NaN
  1269.33        500.000        92.4648        1.12729       0.986473                 NaN  0.512399       0.903997        4.00504                 NaN            NaN
  1268.27        500.000        93.1163        1.02006       0.907077                 NaN  0.472805       0.829201        3.65456                 NaN            NaN
  1267.21        500.000        93.6618       0.928079       0.841591                 NaN  0.440734       0.766481        3.36129                 NaN            NaN
  1266.15        500.000        94.1261       0.849032       0.785826                 NaN  0.413463       0.712764        3.11282                 NaN            NaN
  1265.09        500.000        94.5170       0.739079       0.782410                 NaN  0.390580       0.667571        2.90331                 NaN            NaN
  1264.03        500.000        94.8741       0.697651       0.718517                 NaN  0.370745       0.625732        2.71321                 NaN            NaN
  1262.97        500.000        95.1706       0.665860       0.662739                 NaN  0.354163       0.591321        2.55527                 NaN            NaN
  1261.91        500.000        95.4412       0.617892       0.630896                 NaN  0.338953       0.559535        2.41148                 NaN            NaN
  1260.85        500.000        95.6768       0.604123       0.573607                 NaN  0.326468       0.531837        2.28719                 NaN            NaN
  1259.79        500.000        95.8950       0.534792       0.578617                 NaN  0.314138       0.506022        2.17145                 NaN            NaN
  1258.73        500.000        96.0842       0.556874       0.500245                 NaN  0.303694       0.483661        2.07129                 NaN            NaN
  1257.67        500.000        96.2621       0.536626       0.466522                 NaN  0.294166       0.462294        1.97832                 NaN            NaN
  1256.60        500.000        96.4196       0.437292       0.518457                 NaN  0.285446       0.443494        1.89569                 NaN            NaN
  1255.54        500.000        96.5668       0.501263       0.409941                 NaN  0.277432       0.425775        1.81875                 NaN            NaN
  1254.48        500.000        96.7029       0.383208       0.486309                 NaN  0.270085       0.409364        1.74814                 NaN            NaN
  1253.42        500.000        96.8248       0.359797       0.472159                 NaN  0.263684       0.394404        1.68511                 NaN            NaN
  1252.36        500.000        96.9408       0.338950       0.458447                 NaN  0.256564       0.380468        1.62474                 NaN            NaN
  1251.30        500.000        97.0468       0.446531       0.318252                 NaN  0.250779       0.367410        1.57024                 NaN            NaN
  1250.24        500.000        97.1490       0.299763       0.434059                 NaN  0.244919       0.354543        1.51769                 NaN            NaN
  1249.18        500.000        97.2420       0.281383       0.423485                 NaN  0.239664       0.343119        1.47033                 NaN            NaN
  1248.12        500.000        97.3309       0.412765       0.264773                 NaN  0.234464       0.332039        1.42508                 NaN            NaN
  1247.06        500.000        97.4122       0.403256       0.249672                 NaN  0.229646       0.322105        1.38310                 NaN            NaN
  1246.00        500.000        93.5468       0.449610        1.06466                 NaN  0.612460       0.830973        3.49545                 NaN            NaN
  1244.94        500.000        97.2450       0.199448       0.482210                 NaN  0.235744       0.338100        1.49953                 NaN            NaN
  1243.88        500.000        99.8284       0.131167E-001  0.538308E-001            NaN  0.239104E-002            NaN  0.102282                 NaN            NaN
  1242.82        500.000        98.1207       0.229215       0.280425                 NaN            NaN  0.213876        1.01853       0.137265                 NaN
  1241.76        500.000        98.3131       0.163040       0.334453                 NaN  0.914347E-001  0.217077       0.880916                 NaN            NaN
  1240.70        500.000        98.6200       0.107470       0.241738                 NaN  0.132666       0.164924       0.733210                 NaN            NaN
  1239.64        500.000        97.9627       0.163489       0.330505                 NaN  0.190354       0.251299        1.10166                 NaN            NaN
  1238.58        500.000        97.3830       0.164382       0.439054                 NaN  0.255215       0.326297        1.43207                 NaN            NaN
  1237.52        500.000        97.9884       0.317001       0.178490                 NaN  0.154460       0.247453        1.09308       0.211004E-001            NaN
  1236.46        500.000        98.2782       0.254671       0.196401                 NaN  0.833439E-001  0.207159       0.935539       0.447008E-001            NaN
  1235.40        500.000        98.2055       0.190650       0.267560                 NaN  0.900829E-001  0.214675       0.985671       0.458687E-001            NaN
  1234.34        500.000        98.1034       0.288752       0.187470                 NaN  0.993265E-001  0.228150        1.04505       0.478263E-001            NaN
  1233.28        500.000        97.9646       0.310425       0.196984                 NaN  0.108503       0.247965        1.12038       0.511173E-001            NaN
  1232.22        500.000        95.4300       0.826194       0.154624                 NaN  0.499866       0.561142        2.52817                 NaN            NaN
  1231.16        500.000        99.8204       0.228223E-001            NaN            NaN  0.574263E-002  0.220578E-001  0.749047E-001  0.540534E-001            NaN
  1230.10        500.000        98.0324       0.121628       0.327602                 NaN  0.182962       0.237786        1.09760                 NaN            NaN
  1229.04        500.000        98.9714       0.157773       0.105362                 NaN            NaN  0.961105E-001  0.628717       0.406046E-001            NaN
  1227.98        500.000        97.1498       0.418642       0.358230                 NaN            NaN  0.352133        1.58990       0.131292                 NaN
  1226.92        500.000        99.9192       0.980274E-002  0.123610E-001            NaN            NaN  0.929494E-002  0.460337E-001  0.328189E-002            NaN
  1225.85        500.000        99.9250       0.946609E-002  0.101641E-001            NaN            NaN  0.868221E-002  0.435038E-001  0.314095E-002            NaN
  1224.79        500.000        99.9878       0.131284E-002  0.309743E-002            NaN            NaN  0.140549E-002  0.595076E-002  0.431966E-003            NaN
  1223.73        500.000        96.2651       0.560607       0.368487                 NaN  0.181783       0.441859        2.09200       0.901687E-001            NaN
  1222.67        500.000        98.3560       0.255715       0.133649                 NaN  0.981200E-001  0.195104       0.927422       0.339922E-001            NaN
  1221.61        500.000        99.3936       0.491012E-001  0.868591E-001            NaN  0.359798E-001  0.739369E-001  0.347550       0.129762E-001            NaN
  1220.55        500.000        99.9999       0.809884E-005  0.160751E-004            NaN  0.568003E-005  0.111588E-004  0.538977E-004  0.189139E-005            NaN
  1219.49        500.000        96.4113       0.447950       0.354737                 NaN  0.188383       0.412187        2.10968       0.757196E-001            NaN
  1218.43        500.000        98.2827       0.105328       0.381294                 NaN            NaN  0.182348       0.925337       0.122990                 NaN
  1217.37        500.000        99.1500       0.129973       0.397689E-001            NaN  0.786064E-001  0.120846       0.480771                 NaN            NaN
  1216.31        500.000        98.5216       0.268864       0.321377E-001            NaN  0.188487       0.177334       0.811600                 NaN            NaN
  1215.25        500.000        94.1738       0.630178                 NaN            NaN  0.293250       0.494957        2.43364                 NaN   1.97422     
  1214.19        500.000        73.2772       0.790378        1.67809                 NaN   1.25628        2.25658        10.4458                 NaN   10.2957     
  1213.13        500.000        99.9999       0.451959E-005            NaN            NaN  0.306104E-005  0.438226E-005  0.207504E-004            NaN  0.203269E-004
  1212.07        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1211.01        500.000        64.5455        3.00347                 NaN            NaN   1.86927        2.91445        13.8395                 NaN   13.8278     
  1209.95        500.000        79.1479        1.61104                 NaN            NaN   1.07258        1.69994        8.13177       0.112276E-001   8.32552     
  1208.89        500.000        94.6202       0.664637                 NaN            NaN  0.284927       0.444659        2.05152                 NaN   1.93405     
  1207.83        500.000        85.7874        1.05514                 NaN            NaN  0.731892        1.16250        5.56508                 NaN   5.69803     
  1206.77        500.000        86.3856        1.23180                 NaN            NaN  0.695539        1.11589        5.30040                 NaN   5.27080     
  1205.71        500.000        95.8015       0.441010                 NaN            NaN  0.230075       0.347154        1.61905                 NaN   1.56121     
  1204.65        500.000        89.8553       0.803663                 NaN            NaN  0.522373       0.827300        3.94631                 NaN   4.04506     
  1203.59        500.000        91.0960       0.758931                 NaN            NaN  0.456575       0.727058        3.46037                 NaN   3.50108     
  1202.53        500.000        90.0013       0.880349                 NaN            NaN  0.259850       0.806311        3.97252       0.183221        3.89647     
  1201.47        500.000        92.9097       0.573493                 NaN            NaN  0.380321       0.574353        2.78391                 NaN   2.77823     
  1200.41        500.000        92.5308       0.591733                 NaN            NaN  0.388192       0.606575        2.90786                 NaN   2.97486     
  1199.35        500.000        93.0112       0.668241                 NaN            NaN  0.356708       0.565881        2.69913                 NaN   2.69880     
  1198.29        500.000        92.6955       0.449276                 NaN            NaN  0.377455       0.591241        2.87837                 NaN   3.00818     
  1197.23        500.000        92.9199       0.724210                 NaN            NaN  0.328803       0.565810        2.73630                 NaN   2.72494     
  1196.16        500.000        93.1591       0.522873                 NaN            NaN  0.366654       0.551649        2.67440                 NaN   2.72528     
  1195.10        500.000        92.9812       0.570936                 NaN            NaN  0.349738       0.561390        2.76282                 NaN   2.77394     
  1194.04        500.000        85.3343        1.07840                 NaN            NaN  0.716508        1.16464        5.78201                 NaN   5.92413     
  1192.98        500.000        99.9519       0.378092E-001            NaN            NaN            NaN  0.430760E-002  0.597598E-002            NaN            NaN
  1191.92        500.000        94.8892       0.408084                 NaN            NaN  0.260476       0.403622        2.05136                 NaN   1.98725     
  1190.86        500.000        92.5500       0.550160                 NaN            NaN  0.352279       0.580822        2.98361                 NaN   2.98314     
  1189.80        500.000        91.9909       0.582235                 NaN            NaN  0.372264       0.618138        3.23043                 NaN   3.20603     
  1188.74        500.000        90.4833       0.664705                 NaN            NaN  0.430145       0.723939        3.87955                 NaN   3.81836     
  1187.68        500.000        85.2274       0.964274                 NaN            NaN  0.641070        1.09914        6.10420                 NaN   5.96390     
  1186.62        500.000        70.7305        1.80498                 NaN            NaN   1.21958        2.11725        12.3040                 NaN   11.8237     
  1185.56        500.000                 NaN   5.91383                 NaN            NaN   3.88200        7.07615        42.4328       0.799480E-001   40.6153     
  1184.50        500.000                 NaN   5.90642                 NaN            NaN   3.87869        7.07829        42.4332       0.868551E-001   40.6165     
  1183.44        500.000                 NaN   5.91307                 NaN            NaN   3.87121        7.07779        42.4299       0.918000E-001   40.6162     
  1182.38        500.000                 NaN   5.90124                 NaN            NaN   3.88544        7.09891        42.3887       0.898719E-001   40.6358     
  1181.32        500.000                 NaN   5.91124                 NaN            NaN   3.86141        7.07957        42.4267       0.103383        40.6177     
  1180.26        500.000                 NaN   5.91218                 NaN            NaN   3.85680        7.08019        42.4242       0.108073        40.6185     
  1179.20        500.000                 NaN   5.91266                 NaN            NaN   3.84814        7.08120        42.4239       0.116451        40.6177     
  1178.14        500.000                 NaN   5.89153                 NaN            NaN   3.85690        7.08005        42.4276       0.118888        40.6251     
  1177.08        500.000                 NaN   5.91481                 NaN            NaN   3.84305        7.09273        42.3976       0.125105        40.6267     
  1176.02        500.000                 NaN   5.91187                 NaN            NaN   3.83318        7.08374        42.4189       0.132905        40.6194     
  1174.96        500.000                 NaN   5.91053                 NaN            NaN   3.82816        7.08431        42.4176       0.139029        40.6204     
  1173.90        500.000                 NaN   5.91072                 NaN            NaN   3.82233        7.08545        42.4163       0.144900        40.6203     
  1172.84        500.000                 NaN   5.91013                 NaN            NaN   3.81697        7.08614        42.4145       0.151055        40.6212     
  1171.78        500.000                 NaN   5.90969                 NaN            NaN   3.81212        7.08706        42.4131       0.156396        40.6216     
  1170.72        500.000                 NaN   5.90673                 NaN            NaN   3.80843        7.08758        42.4115       0.162408        40.6234     
  1169.66        500.000                 NaN   5.90663                 NaN            NaN   3.80339        7.08847        42.4100       0.167760        40.6238     
  1168.60        500.000                 NaN   5.90976                 NaN            NaN   3.79605        7.08964        42.4081       0.173566        40.6229     
  1167.54        500.000                 NaN   5.90299                 NaN            NaN   3.79260        7.09122        42.4083       0.180564        40.6243     
  1166.48        500.000                 NaN   5.90675                 NaN            NaN   3.78954        7.09857        42.3906       0.184344        40.6302     
  1165.41        500.000                 NaN   5.90869                 NaN            NaN   3.77939        7.09228        42.4035       0.191832        40.6244     
  1164.35        500.000                 NaN   5.90793                 NaN            NaN   3.77475        7.09327        42.4021       0.197026        40.6249     
  1163.29        500.000                 NaN   5.90876                 NaN            NaN   3.76728        7.09533        42.4002       0.204040        40.6244     
  1162.23        500.000                 NaN   5.90290                 NaN            NaN   3.76557        7.09573        42.3994       0.209527        40.6269     
  1161.17        500.000                 NaN   5.90726                 NaN            NaN   3.75914        7.09586        42.3973       0.214026        40.6264     
  1160.11        500.000                 NaN   5.90757                 NaN            NaN   3.75219        7.09772        42.3951       0.221031        40.6264     
  1159.05        500.000                 NaN   5.89767                 NaN            NaN   3.75473        7.09671        42.3953       0.224566        40.6310     
  1157.99        500.000                 NaN   5.90159                 NaN            NaN   3.74971        7.10481        42.3805       0.229204        40.6342     
