|6.6.6
Archiving\03_Data\Dfrac/QFM_m4/T13/T13_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Ni             Sp(TH)         Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1947.37        2500.00        99.7461                 NaN            NaN            NaN  0.253916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        99.3021                 NaN            NaN            NaN  0.697897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        99.3077                 NaN            NaN            NaN  0.692274                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        99.3137                 NaN            NaN            NaN  0.686338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        99.3190                 NaN            NaN            NaN  0.680952                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        99.3240                 NaN            NaN            NaN  0.675970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        99.3301                 NaN            NaN            NaN  0.669923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        99.3362                 NaN            NaN            NaN  0.663849                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        99.3384                 NaN            NaN            NaN  0.661635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        99.3448                 NaN            NaN            NaN  0.655170                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        99.3479                 NaN            NaN            NaN  0.652080                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        99.3573                 NaN            NaN            NaN  0.642663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        99.3580                 NaN            NaN            NaN  0.641970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        99.3596                 NaN            NaN            NaN  0.640435                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        99.3685                 NaN            NaN            NaN  0.631498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        99.3727                 NaN            NaN            NaN  0.627306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        99.3749                 NaN            NaN            NaN  0.625085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        99.3791                 NaN            NaN            NaN  0.620907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        99.3830                 NaN            NaN            NaN  0.616970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        99.3399                 NaN            NaN            NaN  0.660130                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        99.4346                 NaN            NaN            NaN  0.565403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        99.3930                 NaN            NaN            NaN  0.606973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        99.3931                 NaN  0.208817E-002            NaN  0.604792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        99.3900                 NaN  0.672092E-002            NaN  0.603265                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        99.3939                 NaN  0.102196E-001            NaN  0.595831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        99.3940                 NaN  0.102654E-001            NaN  0.595722                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        99.3959                 NaN  0.102473E-001            NaN  0.593871                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        99.3993                 NaN  0.101973E-001            NaN  0.590529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        99.4018                 NaN  0.101652E-001            NaN  0.588055                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4037                 NaN  0.101474E-001            NaN  0.586159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4064                 NaN  0.101017E-001            NaN  0.583543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4079                 NaN  0.100898E-001            NaN  0.582029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4098                 NaN  0.100605E-001            NaN  0.580163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4106                 NaN  0.100433E-001            NaN  0.579387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4145                 NaN  0.996538E-002            NaN  0.575584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.4146                 NaN  0.997429E-002            NaN  0.575464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.4148                 NaN  0.997721E-002            NaN  0.575246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4183                 NaN  0.989345E-002            NaN  0.571846                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4136                 NaN  0.996505E-002            NaN  0.576453                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.3273                 NaN  0.113993E-001            NaN  0.661313                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5150                 NaN  0.823067E-002            NaN  0.476742                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4207                 NaN  0.980831E-002            NaN  0.569446                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4210                 NaN  0.980619E-002            NaN  0.569208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4217                 NaN  0.976590E-002            NaN  0.568554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4220                 NaN  0.974426E-002            NaN  0.568237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4219                 NaN  0.977840E-002            NaN  0.568368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4240                 NaN  0.967518E-002            NaN  0.566279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4212                 NaN  0.970848E-002            NaN  0.569106                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4225                 NaN  0.965912E-002            NaN  0.567851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4220                 NaN  0.962285E-002            NaN  0.568357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4163                 NaN  0.975021E-002            NaN  0.573942                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.4248                 NaN  0.950790E-002            NaN  0.565714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5217                 NaN  0.791354E-002            NaN  0.470399                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.3167                 NaN  0.112582E-001            NaN  0.672007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4156                 NaN  0.962629E-002            NaN  0.574806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.2455                 NaN  0.123774E-001            NaN  0.742119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5901                 NaN  0.665579E-002            NaN  0.403224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4141                 NaN  0.952384E-002            NaN  0.576354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4130                 NaN  0.947791E-002            NaN  0.577539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4108                 NaN  0.948973E-002            NaN  0.579691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.4306                 NaN  0.912326E-002            NaN  0.560312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.3851                 NaN  0.979404E-002            NaN  0.605067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4066                 NaN  0.940713E-002            NaN  0.584010                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4033                 NaN  0.942967E-002            NaN  0.587261                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4011                 NaN  0.942173E-002            NaN  0.589466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.3981                 NaN  0.942796E-002            NaN  0.592508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.3966                 NaN  0.940305E-002            NaN  0.594015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3947                 NaN  0.936084E-002            NaN  0.595986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.3912                 NaN  0.937943E-002            NaN  0.599437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.3884                 NaN  0.937262E-002            NaN  0.602181                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.3837                 NaN  0.939268E-002            NaN  0.606946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.3850                 NaN  0.933640E-002            NaN  0.605659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.3796                 NaN  0.934189E-002            NaN  0.611045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.3747                 NaN  0.937104E-002            NaN  0.615882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.3749                 NaN  0.930447E-002            NaN  0.615764                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.3709                 NaN  0.931577E-002            NaN  0.619777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.3668                 NaN  0.932061E-002            NaN  0.623929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.3648                 NaN  0.929960E-002            NaN  0.625860                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.3603                 NaN  0.932824E-002            NaN  0.630329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.3567                 NaN  0.929382E-002            NaN  0.633959                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.4330                 NaN  0.814724E-002            NaN  0.558823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.8332                 NaN  0.238602E-002            NaN  0.164426                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        98.7862                 NaN  0.173099E-001            NaN   1.19653                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.3447                 NaN  0.926638E-002            NaN  0.646042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.3369                 NaN  0.934162E-002            NaN  0.653765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.3401                 NaN  0.922193E-002            NaN  0.650698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.3313                 NaN  0.931782E-002            NaN  0.659368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.3316                 NaN  0.923331E-002            NaN  0.659171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.3272                 NaN  0.926865E-002            NaN  0.663563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.3242                 NaN  0.926631E-002            NaN  0.666485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.3222                 NaN  0.923780E-002            NaN  0.668583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.3145                 NaN  0.931695E-002            NaN  0.676178                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.3160                 NaN  0.924127E-002            NaN  0.674776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.3121                 NaN  0.925252E-002            NaN  0.678598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.3083                 NaN  0.926016E-002            NaN  0.682448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        98.9645                 NaN  0.137613E-001            NaN   1.02169                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.6938                 NaN  0.407388E-002            NaN  0.302152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.2604                 NaN  0.978891E-002            NaN  0.729836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3011                 NaN  0.920214E-002            NaN  0.689656                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.2951                 NaN  0.923765E-002            NaN  0.695647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.2986                 NaN  0.917835E-002            NaN  0.692240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.2932                 NaN  0.922378E-002            NaN  0.697589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.2905                 NaN  0.924443E-002            NaN  0.700281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.2948                 NaN  0.914265E-002            NaN  0.696017                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3116                 NaN  0.888714E-002            NaN  0.679532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.2679                 NaN  0.944483E-002            NaN  0.722654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.2903                 NaN  0.915843E-002            NaN  0.700504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.2838                 NaN  0.922600E-002            NaN  0.706962                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.2933                 NaN  0.907751E-002            NaN  0.697629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.2885                 NaN  0.913044E-002            NaN  0.702330                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.2810                 NaN  0.922540E-002            NaN  0.709727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.2965                 NaN  0.899824E-002            NaN  0.694471                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.2905                 NaN  0.906939E-002            NaN  0.700480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3458                 NaN  0.844413E-002            NaN  0.645786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.2380                 NaN  0.970875E-002            NaN  0.752328                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.2925                 NaN  0.904957E-002            NaN  0.698409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.2919                 NaN  0.906413E-002            NaN  0.699045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        99.8026                 NaN  0.252917E-002            NaN  0.194839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.7983                 NaN  0.153816E-001            NaN   1.18632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        99.2978                 NaN  0.899772E-002            NaN  0.693220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        99.3059                 NaN  0.890490E-002            NaN  0.685234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        99.3060                 NaN  0.890650E-002            NaN  0.685117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        99.3091                 NaN  0.889186E-002            NaN  0.682016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        99.3115                 NaN  0.886562E-002            NaN  0.679651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.5912                 NaN            NaN            NaN  0.312259        1.09659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4742                 NaN            NaN            NaN  0.235683        1.29014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.5021                 NaN            NaN            NaN  0.230933        1.26693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.5278                 NaN            NaN            NaN  0.225805        1.24642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5530                 NaN            NaN            NaN  0.221516        1.22545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5790                 NaN            NaN            NaN  0.217000        1.20403                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.6026                 NaN            NaN            NaN  0.212717        1.18465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6275                 NaN            NaN            NaN  0.208108        1.16440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6514                 NaN            NaN            NaN  0.205756        1.14285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6738                 NaN            NaN            NaN  0.199922        1.12631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6952                 NaN            NaN            NaN  0.196866        1.10791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7144                 NaN            NaN            NaN  0.190559        1.09505                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7385                 NaN            NaN            NaN  0.187856        1.07366                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7566                 NaN            NaN            NaN  0.185199        1.05821                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7756                 NaN            NaN            NaN  0.180296        1.04411                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7982                 NaN            NaN            NaN  0.179588        1.02224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8113                 NaN            NaN            NaN  0.172707        1.01594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8371                 NaN            NaN            NaN  0.171421       0.991493                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        98.8519                 NaN            NaN            NaN  0.166734       0.981348                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        98.8625                 NaN            NaN            NaN  0.158998       0.978466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        98.8882                 NaN            NaN            NaN  0.160838       0.950940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.9006                 NaN            NaN            NaN  0.157770       0.941647                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9179                 NaN            NaN            NaN  0.154953       0.927120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.8532                 NaN            NaN            NaN  0.169306       0.977521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        99.0348                 NaN            NaN            NaN  0.136958       0.828228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9639                 NaN            NaN            NaN  0.145534       0.890600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9761                 NaN            NaN            NaN  0.142599       0.881254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9922                 NaN            NaN            NaN  0.139361       0.868468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        99.0061                 NaN            NaN            NaN  0.136915       0.857025                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0186                 NaN            NaN            NaN  0.134163       0.847234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0308                 NaN            NaN            NaN  0.130630       0.838600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0434                 NaN            NaN            NaN  0.127770       0.828815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0560                 NaN            NaN            NaN  0.125254       0.818792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0680                 NaN            NaN            NaN  0.124011       0.808031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0797                 NaN            NaN            NaN  0.120415       0.799840                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0913                 NaN            NaN            NaN  0.118722       0.789954                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.1046                 NaN            NaN            NaN  0.117719       0.777707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1146                 NaN            NaN            NaN  0.115053       0.770363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1249                 NaN            NaN            NaN  0.112553       0.762527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1344                 NaN            NaN            NaN  0.108496       0.757151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        99.1429                 NaN            NaN            NaN  0.104756       0.752329                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        99.1539                 NaN            NaN            NaN  0.104103       0.742016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        99.1606                 NaN            NaN            NaN  0.999269E-001  0.739499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        99.1742                 NaN            NaN            NaN  0.997967E-001  0.726041                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        99.1817                 NaN            NaN            NaN  0.977835E-001  0.720469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        99.1930                 NaN            NaN            NaN  0.949764E-001  0.712006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        99.1981                 NaN            NaN            NaN  0.944407E-001  0.707416                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        99.2099                 NaN            NaN            NaN  0.916536E-001  0.698472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        99.1311                 NaN            NaN            NaN  0.419197E-001  0.373709       0.453249                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.7318                 NaN            NaN            NaN  0.685132E-001  0.863539       0.336157                 NaN            NaN            NaN            NaN            NaN            NaN
