|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/ALH/ALH_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             San(TH)        ilm            q             
  1458.86        500.000        99.1997                 NaN            NaN            NaN  0.465942       0.332465                 NaN            NaN  0.185103E-002            NaN            NaN            NaN            NaN
  1457.50        500.000        99.2104                 NaN            NaN            NaN  0.327665       0.460156                 NaN            NaN  0.178628E-002            NaN            NaN            NaN            NaN
  1456.14        500.000        99.2172                 NaN            NaN            NaN  0.324452       0.456630                 NaN            NaN  0.174254E-002            NaN            NaN            NaN            NaN
  1454.79        500.000        99.2252                 NaN            NaN            NaN  0.320808       0.452341                 NaN            NaN  0.168111E-002            NaN            NaN            NaN            NaN
  1453.43        500.000        99.2322                 NaN            NaN  0.191207E-003  0.316805       0.449228                 NaN            NaN  0.161946E-002            NaN            NaN            NaN            NaN
  1452.07        500.000        99.2353                 NaN            NaN  0.427589E-002  0.460920       0.298155                 NaN            NaN  0.134658E-002            NaN            NaN            NaN            NaN
  1450.71        500.000        99.2430                 NaN            NaN  0.420091E-002  0.295217       0.456238                 NaN            NaN  0.130039E-002            NaN            NaN            NaN            NaN
  1449.36        500.000        99.2501                 NaN            NaN  0.407170E-002  0.452105       0.292455                 NaN            NaN  0.125812E-002            NaN            NaN            NaN            NaN
  1448.00        500.000        99.2604                 NaN            NaN  0.394706E-002  0.288965       0.445425                 NaN            NaN  0.121376E-002            NaN            NaN            NaN            NaN
  1446.64        500.000        99.2664                 NaN            NaN  0.386634E-002  0.442024       0.286586                 NaN            NaN  0.117174E-002            NaN            NaN            NaN            NaN
  1445.28        500.000        99.2740                 NaN            NaN  0.374108E-002  0.437441       0.283660                 NaN            NaN  0.112905E-002            NaN            NaN            NaN            NaN
  1443.93        500.000        99.0488                 NaN            NaN  0.475984E-002  0.371477       0.573528                 NaN            NaN  0.142523E-002            NaN            NaN            NaN            NaN
  1442.57        500.000        99.5218                 NaN            NaN  0.235501E-002  0.187140       0.288018                 NaN            NaN  0.702992E-003            NaN            NaN            NaN            NaN
  1441.21        500.000        99.2931                 NaN            NaN  0.347443E-002  0.276534       0.425898                 NaN            NaN  0.101005E-002            NaN            NaN            NaN            NaN
  1439.85        500.000        99.3052                 NaN            NaN  0.329852E-002  0.418691       0.271864                 NaN            NaN  0.970039E-003            NaN            NaN            NaN            NaN
  1438.49        500.000        99.3096                 NaN            NaN  0.321484E-002  0.270145       0.416128                 NaN            NaN  0.933775E-003            NaN            NaN            NaN            NaN
  1437.14        500.000        99.3165                 NaN            NaN  0.310404E-002  0.267426       0.412040                 NaN            NaN  0.894988E-003            NaN            NaN            NaN            NaN
  1435.78        500.000        99.3228                 NaN            NaN  0.300602E-002  0.408271       0.265054                 NaN            NaN  0.860769E-003            NaN            NaN            NaN            NaN
  1434.42        500.000        99.3295                 NaN            NaN  0.290584E-002  0.404290       0.262510                 NaN            NaN  0.825741E-003            NaN            NaN            NaN            NaN
  1433.06        500.000        99.3366                 NaN            NaN  0.281786E-002  0.400135       0.259680                 NaN            NaN  0.789565E-003            NaN            NaN            NaN            NaN
  1431.71        500.000        99.3424                 NaN            NaN  0.272419E-002  0.396738       0.257396                 NaN            NaN  0.755844E-003            NaN            NaN            NaN            NaN
  1430.35        500.000        99.3463                 NaN            NaN  0.268325E-002  0.255559       0.394783                 NaN            NaN  0.724791E-003            NaN            NaN            NaN            NaN
  1428.99        500.000        99.3575                 NaN            NaN  0.250990E-002  0.251896       0.387404                 NaN            NaN  0.692417E-003            NaN            NaN            NaN            NaN
  1427.63        500.000        99.3608                 NaN            NaN  0.245962E-002  0.385784       0.250283                 NaN            NaN  0.660422E-003            NaN            NaN            NaN            NaN
  1426.28        500.000        98.2542                 NaN            NaN  0.234884E-001  0.602056       0.585295                 NaN            NaN            NaN  0.534969                 NaN            NaN            NaN
  1424.92        500.000        98.0175                 NaN            NaN  0.281278E-001  0.640390       0.655581                 NaN            NaN            NaN  0.658403                 NaN            NaN            NaN
  1423.56        500.000        98.0684                 NaN            NaN  0.272651E-001  0.624573       0.637697                 NaN            NaN            NaN  0.642023                 NaN            NaN            NaN
  1422.20        500.000        98.1287                 NaN            NaN  0.261837E-001  0.618020       0.605194                 NaN            NaN            NaN  0.621933                 NaN            NaN            NaN
  1420.85        500.000        98.1765                 NaN            NaN  0.253655E-001  0.601596       0.590163                 NaN            NaN            NaN  0.606397                 NaN            NaN            NaN
  1419.49        500.000        98.2249                 NaN            NaN  0.245021E-001  0.585348       0.574783                 NaN            NaN            NaN  0.590487                 NaN            NaN            NaN
  1418.13        500.000        98.2719                 NaN            NaN  0.237021E-001  0.559639       0.569689                 NaN            NaN            NaN  0.575056                 NaN            NaN            NaN
  1416.77        500.000        98.3161                 NaN            NaN  0.229611E-001  0.554955       0.545583                 NaN            NaN            NaN  0.560443                 NaN            NaN            NaN
  1415.42        500.000        98.3593                 NaN            NaN  0.221880E-001  0.531916       0.540353                 NaN            NaN            NaN  0.546273                 NaN            NaN            NaN
  1414.06        500.000        98.3992                 NaN            NaN  0.214748E-001  0.519035       0.527149                 NaN            NaN            NaN  0.533101                 NaN            NaN            NaN
  1412.70        500.000        98.4380                 NaN            NaN  0.208033E-001  0.513971       0.506873                 NaN            NaN            NaN  0.520356                 NaN            NaN            NaN
  1411.34        500.000        98.4753                 NaN            NaN  0.201316E-001  0.502118       0.494510                 NaN            NaN            NaN  0.507971                 NaN            NaN            NaN
  1409.99        500.000        98.5116                 NaN            NaN  0.195290E-001  0.483367       0.489459                 NaN            NaN            NaN  0.496093                 NaN            NaN            NaN
  1408.63        500.000        98.5461                 NaN            NaN  0.189239E-001  0.472028       0.478243                 NaN            NaN            NaN  0.484741                 NaN            NaN            NaN
  1407.27        500.000        98.5791                 NaN            NaN  0.183374E-001  0.461435       0.467462                 NaN            NaN            NaN  0.473661                 NaN            NaN            NaN
  1405.91        500.000        98.6104                 NaN            NaN  0.178679E-001  0.451351       0.456941                 NaN            NaN            NaN  0.463470                 NaN            NaN            NaN
  1404.56        500.000        98.6425                 NaN            NaN  0.171883E-001  0.446863       0.440787                 NaN            NaN            NaN  0.452615                 NaN            NaN            NaN
  1403.20        500.000        98.6713                 NaN            NaN  0.167078E-001  0.437314       0.431568                 NaN            NaN            NaN  0.443107                 NaN            NaN            NaN
  1401.84        500.000        98.6998                 NaN            NaN  0.161986E-001  0.422354       0.428004                 NaN            NaN            NaN  0.433660                 NaN            NaN            NaN
  1400.48        500.000        98.7267                 NaN            NaN  0.157220E-001  0.419192       0.413723                 NaN            NaN            NaN  0.424706                 NaN            NaN            NaN
  1399.13        500.000        98.7544                 NaN            NaN  0.152447E-001  0.410487       0.404404                 NaN            NaN            NaN  0.415490                 NaN            NaN            NaN
  1397.77        500.000        98.7793                 NaN            NaN  0.147815E-001  0.402434       0.396444                 NaN            NaN            NaN  0.407089                 NaN            NaN            NaN
  1396.41        500.000        98.8036                 NaN            NaN  0.144129E-001  0.394272       0.388580                 NaN            NaN            NaN  0.399139                 NaN            NaN            NaN
  1395.05        500.000        98.8295                 NaN            NaN  0.139047E-001  0.379938       0.386240                 NaN            NaN            NaN  0.390394                 NaN            NaN            NaN
  1393.69        500.000        98.8515                 NaN            NaN  0.135056E-001  0.372717       0.379173                 NaN            NaN            NaN  0.383088                 NaN            NaN            NaN
  1392.34        500.000        98.8738                 NaN            NaN  0.131463E-001  0.365561       0.371899                 NaN            NaN            NaN  0.375603                 NaN            NaN            NaN
  1390.98        500.000        98.8958                 NaN            NaN  0.127375E-001  0.365040       0.358140                 NaN            NaN            NaN  0.368244                 NaN            NaN            NaN
  1389.62        500.000        98.9151                 NaN            NaN  0.123714E-001  0.351577       0.359076                 NaN            NaN            NaN  0.361834                 NaN            NaN            NaN
  1388.26        500.000        98.9387                 NaN            NaN  0.119569E-001  0.343901       0.351646                 NaN            NaN            NaN  0.353799                 NaN            NaN            NaN
  1386.91        500.000        98.9566                 NaN            NaN  0.116219E-001  0.338067       0.345863                 NaN            NaN            NaN  0.347877                 NaN            NaN            NaN
  1385.55        500.000        98.9742                 NaN            NaN  0.112649E-001  0.340578       0.332082                 NaN            NaN            NaN  0.341903                 NaN            NaN            NaN
  1384.19        500.000        98.9966                 NaN            NaN  0.109015E-001  0.324778       0.333415                 NaN            NaN            NaN  0.334288                 NaN            NaN            NaN
  1382.83        500.000        99.0127                 NaN            NaN  0.106070E-001  0.319355       0.328413                 NaN            NaN            NaN  0.328942                 NaN            NaN            NaN
  1381.48        500.000        99.0304                 NaN            NaN  0.102997E-001  0.322829       0.313435                 NaN            NaN            NaN  0.323029                 NaN            NaN            NaN
  1380.12        500.000        99.0473                 NaN            NaN  0.997258E-002  0.307710       0.317755                 NaN            NaN            NaN  0.317294                 NaN            NaN            NaN
  1378.76        500.000        99.0643                 NaN            NaN  0.967621E-002  0.301924       0.312493                 NaN            NaN            NaN  0.311560                 NaN            NaN            NaN
  1377.40        500.000        99.0793                 NaN            NaN  0.940186E-002  0.296888       0.307967                 NaN            NaN            NaN  0.306437                 NaN            NaN            NaN
  1376.05        500.000        99.0963                 NaN            NaN  0.907358E-002  0.291282       0.302665                 NaN            NaN            NaN  0.300728                 NaN            NaN            NaN
  1374.69        500.000        99.1088                 NaN            NaN  0.885927E-002  0.286920       0.298684                 NaN            NaN            NaN  0.296698                 NaN            NaN            NaN
  1373.33        500.000        99.1280                 NaN            NaN  0.849594E-002  0.292946       0.280652                 NaN            NaN            NaN  0.289893                 NaN            NaN            NaN
  1371.97        500.000        99.1401                 NaN            NaN  0.824605E-002  0.276285       0.289489                 NaN            NaN            NaN  0.285874                 NaN            NaN            NaN
  1370.62        500.000        99.1546                 NaN            NaN  0.796698E-002  0.285206       0.271337                 NaN            NaN            NaN  0.280857                 NaN            NaN            NaN
  1369.26        500.000        99.1678                 NaN            NaN  0.769150E-002  0.266694       0.281409                 NaN            NaN            NaN  0.276412                 NaN            NaN            NaN
  1367.90        500.000        99.1816                 NaN            NaN  0.746371E-002  0.262052       0.277169                 NaN            NaN            NaN  0.271761                 NaN            NaN            NaN
  1366.54        500.000        99.1934                 NaN            NaN  0.722405E-002  0.257820       0.273854                 NaN            NaN            NaN  0.267727                 NaN            NaN            NaN
  1365.19        500.000        99.2079                 NaN            NaN  0.692821E-002  0.269521       0.252939                 NaN            NaN            NaN  0.262728                 NaN            NaN            NaN
  1363.83        500.000        99.2192                 NaN            NaN  0.672907E-002  0.266059       0.249018                 NaN            NaN            NaN  0.258951                 NaN            NaN            NaN
  1362.47        500.000        99.2315                 NaN            NaN  0.648228E-002  0.244775       0.262567                 NaN            NaN            NaN  0.254687                 NaN            NaN            NaN
  1361.11        500.000        99.2432                 NaN            NaN  0.625564E-002  0.240643       0.259151                 NaN            NaN            NaN  0.250718                 NaN            NaN            NaN
  1359.76        500.000        99.2544                 NaN            NaN  0.604102E-002  0.236661       0.255971                 NaN            NaN            NaN  0.246933                 NaN            NaN            NaN
  1358.40        500.000        99.2657                 NaN            NaN  0.578823E-002  0.232709       0.252807                 NaN            NaN            NaN  0.243019                 NaN            NaN            NaN
  1357.04        500.000        99.2761                 NaN            NaN  0.553758E-002  0.249930       0.228959                 NaN            NaN            NaN  0.239437                 NaN            NaN            NaN
  1355.68        500.000        99.2872                 NaN            NaN  0.535276E-002  0.246747       0.225075                 NaN            NaN            NaN  0.235665                 NaN            NaN            NaN
  1354.33        500.000        99.2979                 NaN            NaN  0.516555E-002  0.243622       0.221357                 NaN            NaN            NaN  0.232001                 NaN            NaN            NaN
  1352.97        500.000        99.3081                 NaN            NaN  0.493147E-002  0.240966       0.217556                 NaN            NaN            NaN  0.228485                 NaN            NaN            NaN
  1351.61        500.000        99.3180                 NaN            NaN  0.472735E-002  0.238184       0.214013                 NaN            NaN            NaN  0.225093                 NaN            NaN            NaN
  1350.25        500.000        99.2281                 NaN            NaN  0.538666E-002  0.239866       0.272782                 NaN            NaN            NaN  0.253816                 NaN            NaN            NaN
  1348.90        500.000        99.4338                 NaN            NaN  0.335081E-002  0.175964       0.200255                 NaN            NaN            NaN  0.186641                 NaN            NaN            NaN
  1347.54        500.000        99.3495                 NaN            NaN  0.407552E-002  0.202715       0.229609                 NaN            NaN            NaN  0.214077                 NaN            NaN            NaN
  1346.18        500.000        99.3531                 NaN            NaN  0.398366E-002  0.228581       0.201165                 NaN            NaN            NaN  0.213124                 NaN            NaN            NaN
  1344.82        500.000        99.3658                 NaN            NaN  0.370360E-002  0.196765       0.225209                 NaN            NaN            NaN  0.208506                 NaN            NaN            NaN
  1343.46        500.000        99.3724                 NaN            NaN  0.354768E-002  0.223515       0.194193                 NaN            NaN            NaN  0.206340                 NaN            NaN            NaN
  1342.11        500.000        99.3807                 NaN            NaN  0.337380E-002  0.221251       0.191211                 NaN            NaN            NaN  0.203499                 NaN            NaN            NaN
  1340.75        500.000        99.3890                 NaN            NaN  0.316289E-002  0.219309       0.187995                 NaN            NaN            NaN  0.200582                 NaN            NaN            NaN
  1339.39        500.000        99.3973                 NaN            NaN  0.299674E-002  0.217097       0.184837                 NaN            NaN            NaN  0.197741                 NaN            NaN            NaN
  1338.03        500.000        99.4044                 NaN            NaN  0.283959E-002  0.182055       0.215466                 NaN            NaN            NaN  0.195247                 NaN            NaN            NaN
  1336.68        500.000        99.4132                 NaN            NaN  0.262492E-002  0.213127       0.178881                 NaN            NaN            NaN  0.192216                 NaN            NaN            NaN
  1335.32        500.000        99.4198                 NaN            NaN  0.248285E-002  0.176122       0.211550                 NaN            NaN            NaN  0.190090                 NaN            NaN            NaN
  1333.96        500.000        91.5640                 NaN            NaN  0.485789E-001   1.89628        3.65981                 NaN            NaN            NaN   2.83133                 NaN            NaN            NaN
  1332.60        500.000        99.5913                 NaN            NaN  0.200647E-002  0.104279       0.166263                 NaN            NaN            NaN  0.136145                 NaN            NaN            NaN
  1331.25        500.000        99.6576                 NaN            NaN  0.155705E-002  0.139192       0.877284E-001            NaN            NaN            NaN  0.113971                 NaN            NaN            NaN
  1329.89        500.000        99.7053                 NaN            NaN  0.123780E-002  0.757473E-001  0.119708                 NaN            NaN            NaN  0.979613E-001            NaN            NaN            NaN
  1328.53        500.000        99.7399                 NaN            NaN  0.101257E-002  0.105534       0.671683E-001            NaN            NaN            NaN  0.864161E-001            NaN            NaN            NaN
  1327.17        500.000        99.7682                 NaN            NaN  0.813141E-003  0.940201E-001  0.600726E-001            NaN            NaN            NaN  0.768829E-001            NaN            NaN            NaN
  1325.82        500.000        99.7934                 NaN            NaN  0.642587E-003  0.539335E-001  0.836534E-001            NaN            NaN            NaN  0.683664E-001            NaN            NaN            NaN
  1324.46        500.000        99.8087                 NaN            NaN  0.525483E-003  0.775477E-001  0.500262E-001            NaN            NaN            NaN  0.632445E-001            NaN            NaN            NaN
  1323.10        500.000        99.8228                 NaN            NaN  0.437071E-003  0.466375E-001  0.716530E-001            NaN            NaN            NaN  0.585071E-001            NaN            NaN            NaN
  1321.74        500.000        99.8361                 NaN            NaN  0.335245E-003  0.433165E-001  0.662620E-001            NaN            NaN            NaN  0.539618E-001            NaN            NaN            NaN
  1320.39        500.000        99.8444                 NaN            NaN  0.268657E-003  0.629172E-001  0.412093E-001            NaN            NaN            NaN  0.511942E-001            NaN            NaN            NaN
  1319.03        500.000        99.8537                 NaN            NaN  0.204462E-003  0.589573E-001  0.391276E-001            NaN            NaN            NaN  0.480016E-001            NaN            NaN            NaN
  1317.67        500.000        99.8624                 NaN            NaN  0.126692E-003  0.552728E-001  0.372234E-001            NaN            NaN            NaN  0.449854E-001            NaN            NaN            NaN
  1316.31        500.000        99.8672                 NaN            NaN  0.735131E-004  0.360328E-001  0.533152E-001            NaN            NaN            NaN  0.433327E-001            NaN            NaN            NaN
  1314.96        500.000        99.8722                 NaN            NaN  0.270028E-004  0.512085E-001  0.349554E-001            NaN            NaN            NaN  0.416261E-001            NaN            NaN            NaN
  1313.60        500.000        99.8746                 NaN            NaN            NaN  0.344590E-001  0.501327E-001            NaN            NaN            NaN  0.408053E-001            NaN            NaN            NaN
  1312.24        500.000        99.8819                 NaN            NaN            NaN  0.463012E-001  0.335090E-001            NaN            NaN            NaN  0.382558E-001            NaN            NaN            NaN
  1310.88        500.000        99.8827                 NaN            NaN            NaN  0.336008E-001  0.456964E-001            NaN            NaN            NaN  0.379976E-001            NaN            NaN            NaN
  1309.53        500.000        99.8861                 NaN            NaN            NaN  0.334678E-001  0.436201E-001            NaN            NaN            NaN  0.367689E-001            NaN            NaN            NaN
  1308.17        500.000        99.8860                 NaN            NaN            NaN  0.336523E-001  0.434824E-001            NaN            NaN            NaN  0.368219E-001            NaN            NaN            NaN
  1306.81        500.000        99.8887                 NaN            NaN            NaN  0.341103E-001  0.414165E-001            NaN            NaN            NaN  0.358071E-001            NaN            NaN            NaN
  1305.45        500.000        99.8883                 NaN            NaN            NaN  0.349398E-001  0.408813E-001            NaN            NaN            NaN  0.358696E-001            NaN            NaN            NaN
  1304.10        500.000        99.8882                 NaN            NaN  0.266419E-004  0.363975E-001  0.396173E-001            NaN            NaN            NaN  0.358048E-001            NaN            NaN            NaN
  1302.74        500.000        99.8861                 NaN            NaN            NaN  0.376312E-001  0.398697E-001            NaN            NaN            NaN  0.363930E-001            NaN            NaN            NaN
  1301.38        500.000        99.7020                 NaN            NaN            NaN  0.110440       0.119634                 NaN            NaN            NaN  0.678855E-001            NaN            NaN            NaN
  1300.02        500.000        99.5775                 NaN            NaN            NaN  0.169264       0.163214                 NaN            NaN            NaN  0.900279E-001            NaN            NaN            NaN
  1298.67        500.000        99.3644                 NaN            NaN            NaN  0.236690       0.268097                 NaN            NaN            NaN  0.130825                 NaN            NaN            NaN
  1297.31        500.000        99.5487                 NaN            NaN            NaN  0.334632                 NaN            NaN            NaN  0.131662E-002  0.115317                 NaN            NaN            NaN
  1295.95        500.000        99.7110                 NaN            NaN            NaN  0.210337                 NaN            NaN            NaN            NaN  0.786394E-001            NaN            NaN            NaN
  1294.59        500.000        99.8634                 NaN            NaN            NaN  0.903344E-001            NaN            NaN            NaN            NaN  0.462298E-001            NaN            NaN            NaN
  1293.23        500.000        99.8286                 NaN            NaN            NaN  0.690077E-001  0.446755E-001            NaN            NaN            NaN  0.577194E-001            NaN            NaN            NaN
  1291.88        500.000        99.8115                 NaN            NaN            NaN  0.608560E-001  0.641308E-001            NaN            NaN            NaN  0.634716E-001            NaN            NaN            NaN
  1290.52        500.000        99.8081                 NaN            NaN            NaN  0.636834E-001  0.632990E-001            NaN            NaN            NaN  0.649392E-001            NaN            NaN            NaN
  1289.16        500.000        99.8040                 NaN            NaN            NaN  0.622417E-001  0.670451E-001            NaN            NaN            NaN  0.667004E-001            NaN            NaN            NaN
  1287.80        500.000        99.7973                 NaN            NaN            NaN  0.619125E-001  0.714255E-001            NaN            NaN            NaN  0.693831E-001            NaN            NaN            NaN
