|6.6.6
Archiving\03_Data\fracLP/QFM_m1.5/ALH/ALH_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1834.59        500.000        99.3998                 NaN            NaN            NaN            NaN  0.600245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        99.4016                 NaN            NaN            NaN            NaN  0.598351                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.4025                 NaN            NaN            NaN            NaN  0.597503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.3998                 NaN            NaN            NaN            NaN  0.600174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4076                 NaN            NaN            NaN            NaN  0.591687       0.740148E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.3955                 NaN            NaN            NaN            NaN  0.592193       0.122718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.3823                 NaN            NaN            NaN            NaN  0.603447       0.142792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4148                 NaN            NaN            NaN            NaN  0.571725       0.134843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3829                 NaN            NaN            NaN            NaN  0.602869       0.142050E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.3942                 NaN            NaN            NaN            NaN  0.591893       0.139107E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.3036                 NaN            NaN            NaN            NaN  0.680429       0.159906E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.5401                 NaN            NaN            NaN            NaN  0.449341       0.105549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.3427                 NaN            NaN            NaN            NaN  0.642221       0.150578E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.3943                 NaN            NaN            NaN            NaN  0.591814       0.138624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.3947                 NaN            NaN            NaN            NaN  0.591448       0.138141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.3972                 NaN            NaN            NaN            NaN  0.589101       0.136994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.7301                 NaN            NaN            NaN            NaN  0.263735       0.618645E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.0605                 NaN            NaN            NaN            NaN  0.918304       0.212375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.3946                 NaN            NaN            NaN            NaN  0.591743       0.136668E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.3918                 NaN            NaN            NaN            NaN  0.594429       0.137350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.3948                 NaN            NaN            NaN            NaN  0.591611       0.135629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.3910                 NaN            NaN            NaN            NaN  0.595348       0.136296E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.3906                 NaN            NaN            NaN            NaN  0.595747       0.136151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3899                 NaN            NaN            NaN            NaN  0.596562       0.135590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3845                 NaN            NaN            NaN            NaN  0.601818       0.136381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3903                 NaN            NaN            NaN            NaN  0.596226       0.134509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3859                 NaN            NaN            NaN            NaN  0.600584       0.134857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.3849                 NaN            NaN            NaN            NaN  0.601674       0.134634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.3827                 NaN            NaN            NaN            NaN  0.603808       0.135013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3817                 NaN            NaN            NaN            NaN  0.604822       0.134295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3793                 NaN            NaN            NaN            NaN  0.607224       0.134374E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3770                 NaN            NaN            NaN            NaN  0.609552       0.134261E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3763                 NaN            NaN            NaN            NaN  0.610328       0.133591E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3629                 NaN            NaN            NaN            NaN  0.623453       0.136098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3652                 NaN            NaN            NaN            NaN  0.621327       0.134544E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3844                 NaN            NaN            NaN            NaN  0.602593       0.129703E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3674                 NaN            NaN            NaN            NaN  0.619323       0.132999E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3639                 NaN            NaN            NaN            NaN  0.622825       0.132979E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3623                 NaN            NaN            NaN            NaN  0.624403       0.132877E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3613                 NaN            NaN            NaN            NaN  0.625438       0.132434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3584                 NaN            NaN            NaN            NaN  0.628346       0.132208E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.3547                 NaN            NaN            NaN            NaN  0.632048       0.132519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.3535                 NaN            NaN            NaN            NaN  0.633278       0.131967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.3506                 NaN            NaN            NaN            NaN  0.636210       0.131760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3478                 NaN            NaN            NaN            NaN  0.639085       0.131540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3426                 NaN            NaN            NaN            NaN  0.644205       0.131878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3396                 NaN            NaN            NaN            NaN  0.647195       0.132061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3430                 NaN            NaN            NaN            NaN  0.643953       0.130225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3363                 NaN            NaN            NaN            NaN  0.650633       0.131064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3338                 NaN            NaN            NaN            NaN  0.653067       0.130945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3310                 NaN            NaN            NaN            NaN  0.655938       0.130636E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3273                 NaN            NaN            NaN            NaN  0.659646       0.130650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3257                 NaN            NaN            NaN            NaN  0.661269       0.130381E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3225                 NaN            NaN            NaN            NaN  0.664456       0.130291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3207                 NaN            NaN            NaN            NaN  0.666291       0.129997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3157                 NaN            NaN            NaN            NaN  0.671193       0.130610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3170                 NaN            NaN            NaN            NaN  0.670059       0.129169E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3106                 NaN            NaN            NaN            NaN  0.676467       0.129780E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3107                 NaN            NaN            NaN            NaN  0.676360       0.129151E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3062                 NaN            NaN            NaN            NaN  0.680890       0.129347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3059                 NaN            NaN            NaN            NaN  0.681266       0.128796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3012                 NaN            NaN            NaN            NaN  0.685879       0.128811E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3006                 NaN            NaN            NaN            NaN  0.686533       0.128890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2979                 NaN            NaN            NaN            NaN  0.689216       0.128562E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.2969                 NaN            NaN            NaN            NaN  0.690310       0.128076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.2951                 NaN            NaN            NaN            NaN  0.692152       0.127788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2911                 NaN            NaN            NaN            NaN  0.696131       0.128182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        98.1314       0.104735E-001            NaN            NaN            NaN   1.82777       0.303678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000       100.0000                 NaN            NaN            NaN            NaN  0.224672E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.5069                 NaN            NaN            NaN            NaN  0.484123       0.892863E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.2869                 NaN            NaN            NaN            NaN  0.700367       0.127203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2891                 NaN            NaN            NaN            NaN  0.698210       0.126438E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.6464                 NaN            NaN            NaN            NaN  0.347352       0.628889E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        98.9275                 NaN            NaN            NaN            NaN   1.05354       0.189298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2845                 NaN            NaN            NaN            NaN  0.702941       0.125793E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2844                 NaN            NaN            NaN            NaN  0.703070       0.125569E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2836                 NaN            NaN            NaN            NaN  0.703832       0.125311E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2846                 NaN            NaN            NaN            NaN  0.702950       0.124883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.6883                 NaN            NaN            NaN            NaN   1.28894       0.228054E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.8370                 NaN            NaN            NaN            NaN  0.160148       0.281748E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3302                 NaN            NaN            NaN            NaN  0.658170       0.115910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        99.2787                 NaN            NaN            NaN            NaN  0.708884       0.124331E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2878                 NaN            NaN            NaN            NaN  0.699960       0.122831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2879                 NaN            NaN            NaN            NaN  0.699881       0.122427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.3621                 NaN            NaN            NaN            NaN  0.626881       0.109742E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2151                 NaN            NaN            NaN            NaN  0.771462       0.134663E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2878                 NaN            NaN            NaN            NaN  0.700017       0.121947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2772                 NaN            NaN            NaN            NaN  0.710461       0.123551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.3080                 NaN            NaN            NaN            NaN  0.680175       0.118395E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2949                 NaN            NaN            NaN            NaN  0.693058       0.120494E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.2982                 NaN            NaN            NaN            NaN  0.689834       0.119683E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2992                 NaN            NaN            NaN            NaN  0.688900       0.119369E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.3015                 NaN            NaN            NaN            NaN  0.686577       0.118917E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.3041                 NaN            NaN            NaN            NaN  0.684066       0.118546E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.3053                 NaN            NaN            NaN            NaN  0.682903       0.118121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.1465                 NaN            NaN            NaN            NaN  0.839552       0.139434E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.4779                 NaN            NaN            NaN            NaN  0.512562       0.954167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.3153                 NaN            NaN            NaN            NaN  0.673021       0.116469E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.3184                 NaN            NaN            NaN            NaN  0.670008       0.116031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        99.3209                 NaN            NaN            NaN            NaN  0.667580       0.115284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        99.3237                 NaN            NaN            NaN            NaN  0.664856       0.114825E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        99.3279                 NaN            NaN            NaN            NaN  0.660701       0.114207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        99.3306                 NaN            NaN            NaN            NaN  0.658025       0.113736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        99.3366                 NaN            NaN            NaN            NaN  0.652074       0.113070E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        99.3388                 NaN            NaN            NaN            NaN  0.649942       0.112598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        99.3443                 NaN            NaN            NaN            NaN  0.644547       0.111739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        99.3476                 NaN            NaN            NaN            NaN  0.641289       0.111246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        99.3503                 NaN            NaN            NaN            NaN  0.638670       0.110711E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        99.3545                 NaN            NaN            NaN            NaN  0.634524       0.110072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        99.3607                 NaN            NaN            NaN            NaN  0.628386       0.109214E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        99.3633                 NaN            NaN            NaN            NaN  0.625862       0.108852E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.5273       0.289487       0.298048       0.960623E-001            NaN  0.774028       0.150474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        99.5237                 NaN            NaN            NaN            NaN  0.468159       0.816574E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        99.3743                 NaN            NaN            NaN            NaN  0.614976       0.107428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        99.3845                 NaN            NaN            NaN            NaN  0.604987       0.105563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        99.3850                 NaN            NaN            NaN            NaN  0.604457       0.105466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        99.5600                 NaN            NaN            NaN            NaN  0.432442       0.759314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        99.2261                 NaN            NaN            NaN            NaN  0.760628       0.132722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.3999                 NaN            NaN            NaN            NaN  0.589773       0.103397E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        99.4032                 NaN            NaN            NaN            NaN  0.586481       0.102870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.4072                 NaN            NaN            NaN            NaN  0.582598       0.101974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.4149                 NaN            NaN            NaN            NaN  0.574968       0.100990E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.4181                 NaN            NaN            NaN            NaN  0.571894       0.100443E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
