|6.6.6
Archiving\03_Data\Dfrac/QFM_m4.5/YM20/YM20_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         melt(TH)       melt(TH)       melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1877.19        2500.00        99.4764                 NaN            NaN            NaN  0.513556       0.100759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        99.4571                 NaN            NaN            NaN  0.532447       0.104975E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        99.4609                 NaN            NaN            NaN  0.528674       0.104234E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.4633                 NaN            NaN            NaN  0.526287       0.103714E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.4646                 NaN            NaN            NaN  0.525033       0.103653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.4662                 NaN            NaN            NaN  0.523462       0.103121E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        99.4688                 NaN            NaN            NaN  0.520915       0.103211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.3748                 NaN            NaN            NaN  0.613038       0.121473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.5705                 NaN            NaN            NaN  0.421208       0.832071E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.4725                 NaN            NaN            NaN  0.517254       0.102792E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.4763                 NaN            NaN            NaN  0.513541       0.101655E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.4757                 NaN            NaN            NaN  0.514181       0.101402E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.4777                 NaN            NaN            NaN  0.512206       0.101344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.4791                 NaN            NaN            NaN  0.510759       0.100987E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.4792                 NaN            NaN            NaN  0.510744       0.100974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.4810                 NaN            NaN            NaN  0.508991       0.100360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.4816                 NaN            NaN            NaN  0.508381       0.100150E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.4815                 NaN            NaN            NaN  0.508484       0.100185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.4832                 NaN            NaN            NaN  0.506847       0.995119E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.4825                 NaN            NaN            NaN  0.507484       0.996625E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.4836                 NaN            NaN            NaN  0.506450       0.992680E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.4827                 NaN            NaN            NaN  0.507319       0.993722E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.0234                 NaN            NaN            NaN  0.958001       0.186184E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.9461                 NaN            NaN            NaN  0.529295E-001  0.987798E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.4829                 NaN            NaN            NaN  0.507284       0.984669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.4822                 NaN            NaN            NaN  0.507999       0.982754E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.4836                 NaN            NaN            NaN  0.506601       0.977554E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.4825                 NaN            NaN            NaN  0.507693       0.978307E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.4815                 NaN            NaN            NaN  0.508793       0.975065E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.4802                 NaN            NaN            NaN  0.510043       0.976511E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.4822                 NaN            NaN            NaN  0.508132       0.966772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.4795                 NaN            NaN            NaN  0.510827       0.971755E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5386                 NaN            NaN            NaN  0.452804       0.857263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.4175                 NaN            NaN            NaN  0.571743       0.107767E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.4769                 NaN            NaN            NaN  0.513467       0.964144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.4757                 NaN            NaN            NaN  0.514646       0.960930E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.4735                 NaN            NaN            NaN  0.516839       0.962489E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.4721                 NaN            NaN            NaN  0.518255       0.959884E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.4705                 NaN            NaN            NaN  0.519891       0.958156E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.4688                 NaN            NaN            NaN  0.521594       0.957602E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.4671                 NaN            NaN            NaN  0.523313       0.954944E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.9023                 NaN            NaN            NaN  0.959411E-001  0.174659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.0262                 NaN            NaN            NaN  0.956501       0.172779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.4615                 NaN            NaN            NaN  0.528948       0.951245E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.4970                 NaN            NaN            NaN  0.494191       0.884835E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4210                 NaN            NaN            NaN  0.568897       0.101196E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.4561                 NaN            NaN            NaN  0.534426       0.944122E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.4528                 NaN            NaN            NaN  0.537778       0.946639E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.4513                 NaN            NaN            NaN  0.539254       0.943197E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.4486                 NaN            NaN            NaN  0.541936       0.943859E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.4405                 NaN            NaN            NaN  0.549971       0.952866E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.1495                 NaN            NaN            NaN  0.836189       0.143115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.7400                 NaN            NaN            NaN  0.255720       0.430914E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.4381                 NaN            NaN            NaN  0.552488       0.939204E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.4339                 NaN            NaN            NaN  0.556629       0.942678E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.0591                 NaN            NaN            NaN  0.925319       0.156092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.8605                 NaN            NaN            NaN  0.137266       0.226420E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.7637                 NaN            NaN            NaN  0.232449       0.383903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.0363                 NaN            NaN            NaN  0.948035       0.156968E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.4230                 NaN            NaN            NaN  0.567688       0.932889E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.4173                 NaN            NaN            NaN  0.573306       0.937002E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4199                 NaN            NaN            NaN  0.570837       0.927004E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.4132                 NaN            NaN            NaN  0.577401       0.935148E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.4135                 NaN            NaN            NaN  0.577227       0.929039E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.4058                 NaN            NaN            NaN  0.584845       0.936812E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.4133                 NaN            NaN            NaN  0.577472       0.919335E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.4052                 NaN            NaN            NaN  0.585503       0.929059E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.4018                 NaN            NaN            NaN  0.588924       0.928656E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.4370                 NaN            NaN            NaN  0.554281       0.869221E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.3602                 NaN            NaN            NaN  0.629978       0.985760E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.3602                 NaN            NaN            NaN  0.627399       0.124447E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.4304                 NaN            NaN            NaN  0.563585       0.600223E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.3879                 NaN            NaN            NaN  0.602799       0.931418E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.3957                 NaN            NaN            NaN  0.595167       0.912938E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.3880                 NaN            NaN            NaN  0.602791       0.920067E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.3850                 NaN            NaN            NaN  0.605799       0.923310E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.3873                 NaN            NaN            NaN  0.603559       0.915088E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.3836                 NaN            NaN            NaN  0.607167       0.919017E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.3812                 NaN            NaN            NaN  0.609584       0.919869E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.3733                 NaN            NaN            NaN  0.617492       0.924695E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.3819                 NaN            NaN            NaN  0.608873       0.924782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.3841                 NaN            NaN            NaN  0.606909       0.895222E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.3779                 NaN            NaN            NaN  0.612928       0.914669E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.3790                 NaN            NaN            NaN  0.611924       0.910431E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.3773                 NaN            NaN            NaN  0.613604       0.910946E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.3770                 NaN            NaN            NaN  0.613946       0.909969E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.3767                 NaN            NaN            NaN  0.614181       0.908657E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.3760                 NaN            NaN            NaN  0.614928       0.907993E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.3775                 NaN            NaN            NaN  0.613497       0.904404E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.9375                 NaN            NaN            NaN  0.467993       0.238959E-002  0.592159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2470                 NaN            NaN            NaN  0.230392                 NaN   1.52258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2817                 NaN            NaN            NaN  0.224829                 NaN   1.49343                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.3137                 NaN            NaN            NaN  0.219606                 NaN   1.46669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3487                 NaN            NaN            NaN  0.216096                 NaN   1.43519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        95.4983                 NaN            NaN            NaN  0.591311                 NaN   3.91042                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        99.7932                 NaN            NaN            NaN  0.314907E-001            NaN  0.175320                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4670                 NaN            NaN            NaN  0.197160                 NaN   1.33580                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        97.9521                 NaN            NaN            NaN  0.204709                 NaN   1.84323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        99.0373                 NaN            NaN            NaN  0.155906                 NaN  0.806792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.5632                 NaN            NaN            NaN  0.185212                 NaN   1.25162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.5766                 NaN            NaN            NaN  0.180966                 NaN   1.24239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5977                 NaN            NaN            NaN  0.176790                 NaN   1.22553                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.6203                 NaN            NaN            NaN  0.173474                 NaN   1.20624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6475                 NaN            NaN            NaN  0.169676                 NaN   1.18282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6654                 NaN            NaN            NaN  0.166135                 NaN   1.16851                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6919                 NaN            NaN            NaN  0.160795                 NaN   1.14734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.7125                 NaN            NaN            NaN  0.158572                 NaN   1.12896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7314                 NaN            NaN            NaN  0.154410                 NaN   1.11418                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7533                 NaN            NaN            NaN  0.152252                 NaN   1.09448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7704                 NaN            NaN            NaN  0.148562                 NaN   1.08102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7942                 NaN            NaN            NaN  0.146312                 NaN   1.05951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        98.8095                 NaN            NaN            NaN  0.141057                 NaN   1.04941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        98.8265                 NaN            NaN            NaN  0.138348                 NaN   1.03519                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        96.7421                 NaN            NaN            NaN  0.407827                 NaN   2.85008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.9001                 NaN            NaN            NaN  0.122934E-002            NaN  0.986678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        98.8947                 NaN            NaN            NaN  0.123294                 NaN  0.981977                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.9074                 NaN            NaN            NaN  0.121775                 NaN  0.970841                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9213                 NaN            NaN            NaN  0.116011                 NaN  0.962702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.9436                 NaN            NaN            NaN  0.114748                 NaN  0.941660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        98.9562                 NaN            NaN            NaN  0.112986                 NaN  0.930836                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.9697                 NaN            NaN            NaN  0.110085                 NaN  0.920239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9851                 NaN            NaN            NaN  0.108782                 NaN  0.906111                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9983                 NaN            NaN            NaN  0.105381                 NaN  0.896337                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        99.0067                 NaN            NaN            NaN  0.100306                 NaN  0.893018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        99.0285                 NaN            NaN            NaN  0.104194                 NaN  0.867312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        99.0382                 NaN            NaN            NaN  0.984895E-001            NaN  0.863344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        99.0515                 NaN            NaN            NaN  0.958990E-001            NaN  0.852578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.0594                 NaN            NaN            NaN  0.918524E-001            NaN  0.848705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        99.0703                 NaN            NaN            NaN  0.884614E-001            NaN  0.841199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        99.0847                 NaN            NaN            NaN  0.878728E-001            NaN  0.827474                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        99.0921                 NaN            NaN            NaN  0.829202E-001            NaN  0.824934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        99.1017                 NaN            NaN            NaN  0.824396E-001            NaN  0.815908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        99.1164                 NaN            NaN            NaN  0.778237E-001            NaN  0.805809                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        99.1234                 NaN            NaN            NaN  0.760073E-001            NaN  0.800573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
