|6.6.6
Archiving\03_Data\Deqfrac/QFM_m3.75/K22/K22_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         ne             lc            
  1492.15        2500.00        98.9891                 NaN            NaN            NaN            NaN  0.623712       0.387174                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.57        2500.00        98.9985                 NaN            NaN            NaN            NaN  0.618308       0.383205                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.99        2500.00        99.6706                 NaN  0.129030E-001            NaN            NaN  0.115654       0.200817                 NaN            NaN            NaN            NaN            NaN            NaN
  1487.40        2500.00        98.3602                 NaN            NaN            NaN            NaN   1.02264       0.617188                 NaN            NaN            NaN            NaN            NaN            NaN
  1485.82        2500.00        99.0254                 NaN            NaN            NaN            NaN  0.602574       0.372015                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.24        2500.00        99.0403                 NaN  0.234280E-004            NaN            NaN  0.593691       0.366027                 NaN            NaN            NaN            NaN            NaN            NaN
  1482.66        2500.00        99.0454                 NaN            NaN            NaN            NaN  0.591364       0.363279                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0553                 NaN            NaN            NaN            NaN  0.584712       0.359979                 NaN            NaN            NaN            NaN            NaN            NaN
  1479.49        2500.00        99.0649                 NaN  0.145152E-005            NaN            NaN  0.355553       0.579590                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.91        2500.00        99.0737                 NaN            NaN            NaN            NaN  0.574379       0.351950                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.33        2500.00        99.0791                 NaN            NaN            NaN            NaN  0.571563       0.349298                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.74        2500.00        99.0930                 NaN  0.120604E-005            NaN            NaN  0.563081       0.343874                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.16        2500.00        99.0983                 NaN            NaN            NaN            NaN  0.560715       0.341005                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.58        2500.00        99.1060                 NaN            NaN            NaN            NaN  0.337756       0.556269                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.00        2500.00        99.1118                 NaN            NaN            NaN            NaN  0.334705       0.553491                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        2500.00        99.1223                 NaN            NaN            NaN            NaN  0.546898       0.330826                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.83        2500.00        99.1285                 NaN            NaN            NaN            NaN  0.327521       0.543945                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.25        2500.00        99.1361                 NaN            NaN            NaN            NaN  0.324395       0.539485                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.67        2500.00        99.1406                 NaN            NaN            NaN            NaN  0.321632       0.537808                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.08        2500.00        99.1518                 NaN            NaN            NaN            NaN  0.317118       0.531096                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.50        2500.00        99.1574                 NaN            NaN            NaN            NaN  0.314450       0.528144                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.92        2500.00        99.1639                 NaN            NaN            NaN            NaN  0.524333       0.311721                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.34        2500.00        99.1655                 NaN            NaN            NaN            NaN  0.522589       0.310221       0.169025E-002            NaN            NaN            NaN            NaN            NaN
  1455.75        2500.00        97.5153                 NaN  0.217053E-001            NaN            NaN  0.967439       0.678037       0.817508                 NaN            NaN            NaN            NaN            NaN
  1454.17        2500.00        97.5053                 NaN  0.212247                 NaN            NaN  0.722252       0.699939       0.860276                 NaN            NaN            NaN            NaN            NaN
  1452.59        2500.00        97.5659                 NaN  0.209710                 NaN            NaN  0.677911       0.706177       0.840339                 NaN            NaN            NaN            NaN            NaN
  1451.01        2500.00        97.6261                 NaN  0.207141                 NaN            NaN  0.690450       0.655950       0.820386                 NaN            NaN            NaN            NaN            NaN
  1449.42        2500.00        97.6825                 NaN  0.204781                 NaN            NaN  0.675755       0.635378       0.801569                 NaN            NaN            NaN            NaN            NaN
  1447.84        2500.00        97.7404                 NaN  0.202000                 NaN            NaN  0.659912       0.615378       0.782323                 NaN            NaN            NaN            NaN            NaN
  1446.26        2500.00        97.7920                 NaN  0.199849                 NaN            NaN  0.646308       0.596556       0.765288                 NaN            NaN            NaN            NaN            NaN
  1444.68        2500.00        97.8434                 NaN  0.197584                 NaN            NaN  0.577781       0.633098       0.748142                 NaN            NaN            NaN            NaN            NaN
  1443.09        2500.00        97.8889                 NaN  0.195805                 NaN            NaN  0.560754       0.621006       0.733562                 NaN            NaN            NaN            NaN            NaN
  1441.51        2500.00        97.9446                 NaN  0.192500                 NaN            NaN  0.605017       0.543828       0.714105                 NaN            NaN            NaN            NaN            NaN
  1439.93        2500.00        97.9840                 NaN  0.191287                 NaN            NaN  0.527452       0.596067       0.701232                 NaN            NaN            NaN            NaN            NaN
  1438.35        2500.00        98.0282                 NaN  0.189361                 NaN            NaN  0.512549       0.583403       0.686519                 NaN            NaN            NaN            NaN            NaN
  1436.76        2500.00        98.0721                 NaN  0.187210                 NaN            NaN  0.571713       0.497411       0.671606                 NaN            NaN            NaN            NaN            NaN
  1435.18        2500.00        98.1115                 NaN  0.185555                 NaN            NaN  0.482907       0.561564       0.658428                 NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        98.1513                 NaN  0.183573                 NaN            NaN  0.468985       0.551115       0.645022                 NaN            NaN            NaN            NaN            NaN
  1432.02        2500.00        98.1861                 NaN  0.182659                 NaN            NaN  0.456348       0.540852       0.634077                 NaN            NaN            NaN            NaN            NaN
  1430.43        2500.00        98.2289                 NaN  0.179365                 NaN            NaN  0.443033       0.530402       0.618319                 NaN            NaN            NaN            NaN            NaN
  1428.85        2500.00        98.2609                 NaN  0.178565                 NaN            NaN  0.431217       0.521186       0.608103                 NaN            NaN            NaN            NaN            NaN
  1427.27        2500.00        98.2961                 NaN  0.176827                 NaN            NaN  0.512415       0.418544       0.596133                 NaN            NaN            NaN            NaN            NaN
  1425.69        2500.00        98.3275                 NaN  0.175319                 NaN            NaN  0.503870       0.407716       0.585632                 NaN            NaN            NaN            NaN            NaN
  1424.10        2500.00        98.3631                 NaN  0.173635                 NaN            NaN  0.494369       0.395518       0.573417                 NaN            NaN            NaN            NaN            NaN
  1422.52        2500.00        98.3918                 NaN  0.172211                 NaN            NaN  0.486964       0.385340       0.563636                 NaN            NaN            NaN            NaN            NaN
  1420.94        2500.00        98.4217                 NaN  0.170883                 NaN            NaN  0.375299       0.478511       0.553565                 NaN            NaN            NaN            NaN            NaN
  1419.36        2500.00        98.4532                 NaN  0.168977                 NaN            NaN  0.470286       0.364885       0.542641                 NaN            NaN            NaN            NaN            NaN
  1417.78        2500.00        98.4801                 NaN  0.167769                 NaN            NaN  0.463440       0.355022       0.533662                 NaN            NaN            NaN            NaN            NaN
  1416.19        2500.00        98.5070                 NaN  0.166573                 NaN            NaN  0.456218       0.345900       0.524304                 NaN            NaN            NaN            NaN            NaN
  1414.61        2500.00        98.5351                 NaN  0.164863                 NaN            NaN  0.448335       0.336865       0.514788                 NaN            NaN            NaN            NaN            NaN
  1413.03        2500.00        98.5609                 NaN  0.163740                 NaN            NaN  0.440049       0.329084       0.506270                 NaN            NaN            NaN            NaN            NaN
  1411.45        2500.00        98.5895                 NaN  0.161705                 NaN            NaN  0.433826       0.318980       0.495942                 NaN            NaN            NaN            NaN            NaN
  1409.86        2500.00        98.6124                 NaN  0.160599                 NaN            NaN  0.427543       0.311116       0.488295                 NaN            NaN            NaN            NaN            NaN
  1408.28        2500.00        98.6341                 NaN  0.159624                 NaN            NaN  0.303079       0.422258       0.480903                 NaN            NaN            NaN            NaN            NaN
  1406.70        2500.00        98.6583                 NaN  0.158104                 NaN            NaN  0.415135       0.295959       0.472487                 NaN            NaN            NaN            NaN            NaN
  1405.12        2500.00        98.6813                 NaN  0.156374                 NaN            NaN  0.408095       0.289299       0.464898                 NaN            NaN            NaN            NaN            NaN
  1403.53        2500.00        98.7066                 NaN  0.155558                 NaN            NaN  0.402145       0.280080       0.455611                 NaN            NaN            NaN            NaN            NaN
  1401.95        2500.00        98.7228                 NaN  0.155100                 NaN            NaN  0.398639       0.273142       0.450359                 NaN            NaN            NaN            NaN            NaN
  1400.37        2500.00        98.7478                 NaN  0.151921                 NaN            NaN  0.268593       0.390534       0.441102                 NaN            NaN            NaN            NaN            NaN
  1398.79        2500.00        98.7652                 NaN  0.151877                 NaN            NaN  0.261024       0.386400       0.435537                 NaN            NaN            NaN            NaN            NaN
  1397.20        2500.00        98.7860                 NaN  0.150188                 NaN            NaN  0.254744       0.380946       0.428166                 NaN            NaN            NaN            NaN            NaN
  1395.62        2500.00        98.8051                 NaN  0.149029                 NaN            NaN  0.376264       0.248187       0.421382                 NaN            NaN            NaN            NaN            NaN
  1394.04        2500.00        98.8251                 NaN  0.147422                 NaN            NaN  0.242887       0.370312       0.414315                 NaN            NaN            NaN            NaN            NaN
  1392.46        2500.00        98.8425                 NaN  0.146459                 NaN            NaN  0.236937       0.365702       0.408375                 NaN            NaN            NaN            NaN            NaN
  1390.87        2500.00        98.8593                 NaN  0.145391                 NaN            NaN  0.230936       0.361951       0.402409                 NaN            NaN            NaN            NaN            NaN
  1389.29        2500.00        98.8778                 NaN  0.144009                 NaN            NaN  0.355921       0.226291       0.396009                 NaN            NaN            NaN            NaN            NaN
  1387.71        2500.00        98.8954                 NaN  0.142347                 NaN            NaN  0.221595       0.351235       0.389432                 NaN            NaN            NaN            NaN            NaN
  1386.13        2500.00        98.9114                 NaN  0.141327                 NaN            NaN  0.215998       0.347329       0.383996                 NaN            NaN            NaN            NaN            NaN
  1384.54        2500.00        98.9282                 NaN  0.140041                 NaN            NaN  0.341904       0.211736       0.378096                 NaN            NaN            NaN            NaN            NaN
  1382.96        2500.00        98.9430                 NaN  0.138581                 NaN            NaN  0.207298       0.338500       0.372638                 NaN            NaN            NaN            NaN            NaN
  1381.38        2500.00        98.9598                 NaN  0.137537                 NaN            NaN  0.333650       0.202288       0.366742                 NaN            NaN            NaN            NaN            NaN
  1379.80        2500.00        98.9753                 NaN  0.135466                 NaN            NaN  0.329279       0.198944       0.361027                 NaN            NaN            NaN            NaN            NaN
  1378.21        2500.00        98.9885                 NaN  0.134824                 NaN            NaN  0.194755       0.325339       0.356631                 NaN            NaN            NaN            NaN            NaN
  1376.63        2500.00        99.0042                 NaN  0.132887                 NaN            NaN  0.321411       0.190883       0.350621                 NaN            NaN            NaN            NaN            NaN
  1375.05        2500.00        98.9920                 NaN  0.145023                 NaN            NaN  0.310665       0.188283       0.364036                 NaN            NaN            NaN            NaN            NaN
  1373.47        2500.00        99.0608                 NaN  0.117473                 NaN            NaN  0.182579       0.317232       0.321920                 NaN            NaN            NaN            NaN            NaN
  1371.88        2500.00        99.0450                 NaN  0.129043                 NaN            NaN  0.309895       0.180095       0.335972                 NaN            NaN            NaN            NaN            NaN
  1370.30        2500.00        99.0577                 NaN  0.127613                 NaN            NaN  0.306360       0.176962       0.331378                 NaN            NaN            NaN            NaN            NaN
  1368.72        2500.00        99.0710                 NaN  0.126136                 NaN            NaN  0.302424       0.173950       0.326449                 NaN            NaN            NaN            NaN            NaN
  1367.14        2500.00        99.0839                 NaN  0.124746                 NaN            NaN  0.171004       0.298514       0.321842                 NaN            NaN            NaN            NaN            NaN
  1365.55        2500.00        99.0962                 NaN  0.123216                 NaN            NaN  0.295046       0.168238       0.317253                 NaN            NaN            NaN            NaN            NaN
  1363.97        2500.00        99.1082                 NaN  0.121833                 NaN            NaN  0.291837       0.165263       0.312840                 NaN            NaN            NaN            NaN            NaN
  1362.39        2500.00        99.1201                 NaN  0.120200                 NaN            NaN  0.163122       0.288131       0.308445                 NaN            NaN            NaN            NaN            NaN
  1360.81        2500.00        99.1305                 NaN  0.118510                 NaN            NaN  0.161795       0.284694       0.304534                 NaN            NaN            NaN            NaN            NaN
  1359.22        2500.00        99.1419                 NaN  0.107219                 NaN            NaN  0.274910       0.177654       0.298320                 NaN            NaN            NaN            NaN            NaN
  1357.64        2500.00        99.1546                 NaN  0.125894                 NaN            NaN  0.136610       0.285062       0.297790                 NaN            NaN            NaN            NaN            NaN
  1356.06        2500.00        99.1650                 NaN  0.113518                 NaN            NaN  0.155807       0.274075       0.291645                 NaN            NaN            NaN            NaN            NaN
  1354.48        2500.00        99.1751                 NaN  0.112367                 NaN            NaN  0.153344       0.271281       0.287943                 NaN            NaN            NaN            NaN            NaN
  1352.89        2500.00        99.1856                 NaN  0.110650                 NaN            NaN  0.268078       0.151715       0.283972                 NaN            NaN            NaN            NaN            NaN
  1351.31        2500.00        99.1961                 NaN  0.109249                 NaN            NaN  0.264690       0.149856       0.280123                 NaN            NaN            NaN            NaN            NaN
  1349.73        2500.00        99.2057                 NaN  0.107264                 NaN            NaN  0.149316       0.261328       0.276343                 NaN            NaN            NaN            NaN            NaN
  1348.15        2500.00        99.2151                 NaN  0.105760                 NaN            NaN  0.147812       0.258527       0.272816                 NaN            NaN            NaN            NaN            NaN
  1346.56        2500.00        99.2240                 NaN  0.103537                 NaN            NaN  0.147757       0.255402       0.269339                 NaN            NaN            NaN            NaN            NaN
  1344.98        2500.00        99.2342                 NaN  0.102108                 NaN            NaN  0.146306       0.251930       0.265473                 NaN            NaN            NaN            NaN            NaN
  1343.40        2500.00        99.2410                 NaN  0.979212E-001            NaN            NaN  0.241815       0.156061       0.263238                 NaN            NaN            NaN            NaN            NaN
  1341.82        2500.00        99.2547                 NaN  0.101020                 NaN            NaN  0.250580       0.136241       0.257461                 NaN            NaN            NaN            NaN            NaN
  1340.23        2500.00        99.2599                 NaN  0.970746E-001            NaN            NaN  0.144489       0.242863       0.255688                 NaN            NaN            NaN            NaN            NaN
  1338.65        2500.00        99.2691                 NaN  0.943647E-001            NaN            NaN  0.238521       0.146153       0.251854                 NaN            NaN            NaN            NaN            NaN
  1337.07        2500.00        99.2774                 NaN  0.931133E-001            NaN            NaN  0.144140       0.236539       0.248811                 NaN            NaN            NaN            NaN            NaN
  1335.49        2500.00        99.2853                 NaN  0.158267                 NaN            NaN  0.298703                 NaN  0.257746                 NaN            NaN            NaN            NaN            NaN
  1333.90        2500.00        99.2937                 NaN  0.225357E-001            NaN            NaN  0.160102       0.293000       0.230621                 NaN            NaN            NaN            NaN            NaN
  1332.32        2500.00        99.3013                 NaN  0.873162E-001            NaN            NaN  0.226633       0.145305       0.239437                 NaN            NaN            NaN            NaN            NaN
  1330.74        2500.00        99.3085                 NaN  0.853469E-001            NaN            NaN  0.223453       0.146101       0.236573                 NaN            NaN            NaN            NaN            NaN
  1329.16        2500.00        99.3163                 NaN  0.835316E-001            NaN            NaN  0.220455       0.146210       0.233529                 NaN            NaN            NaN            NaN            NaN
  1327.57        2500.00        99.3237                 NaN  0.815434E-001            NaN            NaN  0.217124       0.147016       0.230662                 NaN            NaN            NaN            NaN            NaN
  1325.99        2500.00        99.3304                 NaN  0.794369E-001            NaN            NaN  0.148349       0.213908       0.227876                 NaN            NaN            NaN            NaN            NaN
  1324.41        2500.00        99.2657                 NaN  0.775943E-001            NaN            NaN  0.236483       0.168537       0.251659                 NaN            NaN            NaN            NaN            NaN
