|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1554.31        2500.00       0.110824E-001   98.4577                 NaN            NaN            NaN  0.589915E-005  0.538679       0.992542                 NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00       0.227650E-001   96.0131                 NaN            NaN            NaN  0.212631        3.29264       0.458820                 NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00       0.106650E-003   99.9777                 NaN            NaN            NaN  0.312655E-002  0.150902E-002  0.176026E-001            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00       0.720153E-002   98.5521                 NaN            NaN            NaN  0.161343        1.27218       0.713506E-002            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00       0.887642E-002   98.2056                 NaN            NaN            NaN  0.196775       0.294891E-001   1.55926                 NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00       0.858640E-002   98.2404                 NaN            NaN            NaN  0.197096       0.134001E-001   1.54052                 NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00       0.844545E-002   98.2601                 NaN            NaN            NaN  0.192742        1.51819       0.205580E-001            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00       0.821371E-002   98.2870                 NaN            NaN            NaN  0.193842        1.50692       0.403916E-002            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00       0.801344E-002   98.3124                 NaN            NaN            NaN  0.187441       0.201956E-001   1.47191                 NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00       0.776690E-002   98.3373                 NaN            NaN            NaN  0.190040        1.46485                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00       0.762909E-002   98.3590                 NaN            NaN            NaN  0.183516       0.156499E-001   1.43424                 NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00       0.747952E-002   98.3798                 NaN            NaN            NaN  0.177555        1.40242       0.327036E-001            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00       0.728507E-002   98.4014                 NaN            NaN            NaN  0.174177        1.38117       0.359459E-001            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00       0.651132E-002   98.4204                 NaN            NaN  0.274664E-001  0.171018        1.37462                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00       0.535737E-002   98.4122                 NaN            NaN  0.854963E-001  0.155223        1.34177                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00       0.464738E-002   98.4789                 NaN            NaN  0.995351E-001  0.141854        1.27501                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00       0.446094E-002   98.4740                 NaN            NaN  0.103290       0.143411        1.27486                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00       0.421933E-002   98.4835                 NaN            NaN  0.107422       0.141691        1.26316                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00       0.427437E-002   98.5246                 NaN            NaN  0.905132E-001  0.143090        1.23755                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00       0.355085E-002   98.5294                 NaN            NaN  0.114481       0.141778        1.21081                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00       0.380008E-002   98.5577                 NaN            NaN  0.944095E-001  0.140634        1.20341                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00       0.362321E-002   98.5726                 NaN            NaN  0.933525E-001  0.140481        1.18993                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00       0.342218E-002   98.5894                 NaN            NaN  0.937256E-001  0.139633        1.17380                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00       0.335847E-002   98.6077                 NaN            NaN  0.882450E-001  0.139054        1.16166                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00       0.320025E-002   98.6246                 NaN            NaN  0.872659E-001  0.138629        1.14626                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00       0.307359E-002   98.6390                 NaN            NaN  0.845452E-001  0.137908        1.13550                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00       0.307099E-002   98.6596                 NaN            NaN  0.776986E-001  0.137340        1.12228                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00       0.281339E-002   98.6705                 NaN            NaN  0.809695E-001  0.136868        1.10885                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00       0.284456E-002   98.6926                 NaN            NaN  0.721495E-001  0.136644        1.09580                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00       0.277457E-002   98.7047                 NaN            NaN  0.690009E-001  0.135818        1.08772                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00       0.313110E-002   98.7179                 NaN            NaN  0.467533E-001  0.149022        1.08314                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00       0.217420E-002   98.7351                 NaN            NaN  0.804357E-001  0.121069        1.06124                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00       0.248167E-002   98.7471                 NaN            NaN  0.617306E-001  0.134522        1.05413                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00       0.253298E-002   98.7630                 NaN            NaN  0.541133E-001  0.133791        1.04660                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00       0.251165E-002   98.7760                 NaN            NaN  0.494182E-001  0.133362        1.03871                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00       0.247679E-002   98.7881                 NaN            NaN  0.455297E-001  0.132947        1.03094                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00       0.335735E-002   98.7959                 NaN            NaN  0.457626E-001  0.130673        1.02428                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00       0.246982E-002   98.8172                 NaN            NaN            NaN  0.130146       0.996152       0.540331E-001            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00       0.251611E-002   98.8266                 NaN            NaN  0.290439E-001  0.133283        1.00854                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00       0.366974E-002   98.8092                 NaN            NaN            NaN  0.810141E-001  0.889337       0.216783                 NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00       0.334294E-002   98.8332                 NaN            NaN            NaN  0.103561       0.134915       0.925017                 NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00       0.323703E-002   98.8433                 NaN            NaN            NaN  0.101611       0.915735       0.136094                 NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00       0.313815E-002   98.8548                 NaN            NaN            NaN  0.998485E-001  0.902451       0.139745                 NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00       0.303258E-002   98.8646                 NaN            NaN            NaN  0.978793E-001  0.892555       0.141983                 NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00       0.294687E-002   98.8729                 NaN            NaN            NaN  0.963935E-001  0.883483       0.144323                 NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00       0.283295E-002   98.8857                 NaN            NaN            NaN  0.939611E-001  0.870445       0.147099                 NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00       0.274554E-002   98.8911                 NaN            NaN            NaN  0.908171E-001  0.151819       0.863488                 NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00       0.263401E-002   98.9030                 NaN            NaN            NaN  0.927939E-001  0.144933       0.856630                 NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00       0.255810E-002   98.9145                 NaN            NaN            NaN  0.887296E-001  0.840166       0.154076                 NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00       0.245861E-002   98.9231                 NaN            NaN            NaN  0.871845E-001  0.155807       0.831473                 NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00       0.236901E-002   98.9298                 NaN            NaN            NaN  0.857925E-001  0.825082       0.156964                 NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00       0.228374E-002   98.9399                 NaN            NaN            NaN  0.838311E-001  0.814103       0.159907                 NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00       0.219798E-002   98.9477                 NaN            NaN            NaN  0.824295E-001  0.806763       0.160921                 NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00       0.211136E-002   98.9557                 NaN            NaN            NaN  0.807267E-001  0.797670       0.163744                 NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00       0.204010E-002   98.9640                 NaN            NaN            NaN  0.793136E-001  0.789560       0.165127                 NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00       0.194886E-002   98.9713                 NaN            NaN            NaN  0.778023E-001  0.782633       0.166283                 NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00       0.187847E-002   98.9790                 NaN            NaN            NaN  0.762933E-001  0.774138       0.168732                 NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00       0.179635E-002   98.9865                 NaN            NaN            NaN  0.748454E-001  0.170248       0.766565                 NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00       0.172567E-002   98.9909                 NaN            NaN            NaN  0.730000E-001  0.761542       0.172871                 NaN            NaN            NaN            NaN            NaN
  1466.63        2500.00       0.163468E-002   99.0028                 NaN            NaN            NaN  0.724623E-001  0.752202       0.170915                 NaN            NaN            NaN            NaN            NaN
  1465.15        2500.00       0.157351E-002   99.0086                 NaN            NaN            NaN  0.704164E-001  0.744484       0.174965                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00       0.150101E-002   99.0149                 NaN            NaN            NaN  0.691866E-001  0.738375       0.176005                 NaN            NaN            NaN            NaN            NaN
  1462.17        2500.00       0.142726E-002   99.0199                 NaN            NaN            NaN  0.679724E-001  0.177306       0.733367                 NaN            NaN            NaN            NaN            NaN
  1460.69        2500.00       0.135673E-002   99.0289                 NaN            NaN            NaN  0.663290E-001  0.725108       0.178289                 NaN            NaN            NaN            NaN            NaN
  1459.20        2500.00       0.129120E-002   99.0342                 NaN            NaN            NaN  0.651758E-001  0.719325       0.179993                 NaN            NaN            NaN            NaN            NaN
  1457.72        2500.00       0.122393E-002   99.0401                 NaN            NaN            NaN  0.638406E-001  0.181336       0.713489                 NaN            NaN            NaN            NaN            NaN
  1456.23        2500.00       0.115713E-002   99.0465                 NaN            NaN            NaN  0.626115E-001  0.707100       0.182624                 NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.108972E-002   99.0517                 NaN            NaN            NaN  0.613697E-001  0.182863       0.703025                 NaN            NaN            NaN            NaN            NaN
  1453.26        2500.00       0.103117E-002   99.0585                 NaN            NaN            NaN  0.599656E-001  0.695189       0.185278                 NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00       0.973377E-003   99.0630                 NaN            NaN            NaN  0.589661E-001  0.690780       0.186315                 NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00       0.909370E-003   99.0687                 NaN            NaN            NaN  0.577884E-001  0.685634       0.187011                 NaN            NaN            NaN            NaN            NaN
  1448.80        2500.00       0.853408E-003   99.0738                 NaN            NaN            NaN  0.564931E-001  0.680696       0.188178                 NaN            NaN            NaN            NaN            NaN
  1447.31        2500.00       0.794868E-003   99.0793                 NaN            NaN            NaN  0.553042E-001  0.189525       0.675096                 NaN            NaN            NaN            NaN            NaN
  1445.83        2500.00       0.737188E-003   99.0842                 NaN            NaN            NaN  0.541819E-001  0.670463       0.190426                 NaN            NaN            NaN            NaN            NaN
  1444.34        2500.00       0.686258E-003   99.0887                 NaN            NaN            NaN  0.530561E-001  0.665830       0.191742                 NaN            NaN            NaN            NaN            NaN
  1442.85        2500.00       0.628111E-003   99.0939                 NaN            NaN            NaN  0.518612E-001  0.192623       0.660950                 NaN            NaN            NaN            NaN            NaN
  1441.37        2500.00       0.576564E-003   99.0977                 NaN            NaN            NaN  0.507625E-001  0.657310       0.193609                 NaN            NaN            NaN            NaN            NaN
  1439.88        2500.00       0.526525E-003   99.1010                 NaN            NaN            NaN  0.497635E-001  0.654457       0.194263                 NaN            NaN            NaN            NaN            NaN
  1438.40        2500.00       0.474873E-003   99.1077                 NaN            NaN            NaN  0.485851E-001  0.648261       0.194960                 NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00       0.426187E-003   99.1111                 NaN            NaN            NaN  0.473674E-001  0.644871       0.196252                 NaN            NaN            NaN            NaN            NaN
  1435.42        2500.00       0.376781E-003   99.1157                 NaN            NaN            NaN  0.464089E-001  0.640160       0.197338                 NaN            NaN            NaN            NaN            NaN
  1433.94        2500.00       0.329831E-003   99.1189                 NaN            NaN            NaN  0.452780E-001  0.637479       0.198021                 NaN            NaN            NaN            NaN            NaN
  1432.45        2500.00       0.286936E-003   99.1233                 NaN            NaN            NaN  0.442414E-001  0.633033       0.199134                 NaN            NaN            NaN            NaN            NaN
  1430.97        2500.00       0.238121E-003   99.1265                 NaN            NaN            NaN  0.431399E-001  0.199835       0.630314                 NaN            NaN            NaN            NaN            NaN
  1429.48        2500.00       0.199720E-003   99.1298                 NaN            NaN            NaN  0.421227E-001  0.626997       0.200862                 NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00       0.157810E-003   99.1330                 NaN            NaN            NaN  0.411509E-001  0.623567       0.202098                 NaN            NaN            NaN            NaN            NaN
  1426.51        2500.00       0.331915E-002   98.6546                 NaN            NaN            NaN  0.615790E-001  0.957572       0.322954                 NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00                 NaN   99.6279                 NaN            NaN            NaN  0.159599E-001  0.265199       0.909523E-001            NaN            NaN            NaN            NaN            NaN
  1423.54        2500.00                 NaN   99.1419                 NaN            NaN            NaN  0.378015E-001  0.615739       0.204562                 NaN            NaN            NaN            NaN            NaN
  1422.05        2500.00       0.987505E-003   99.1459                 NaN            NaN            NaN  0.366021E-001  0.609751       0.206715                 NaN            NaN            NaN            NaN            NaN
  1420.56        2500.00                 NaN   99.1452                 NaN            NaN            NaN  0.351884E-001  0.615791       0.203812                 NaN            NaN            NaN            NaN            NaN
  1419.08        2500.00                 NaN   99.1539                 NaN            NaN            NaN  0.349087E-001  0.605532       0.205707                 NaN            NaN            NaN            NaN            NaN
  1417.59        2500.00                 NaN   99.1537                 NaN            NaN            NaN  0.336658E-001  0.207732       0.604916                 NaN            NaN            NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.6431                 NaN            NaN            NaN  0.184089       0.679736       0.231828                 NaN  0.261241                 NaN            NaN            NaN
  1414.62        2500.00                 NaN   97.3372                 NaN            NaN            NaN  0.506885        1.05917       0.294105                 NaN  0.802643                 NaN            NaN            NaN
  1413.13        2500.00                 NaN   98.6778                 NaN            NaN            NaN  0.264606       0.513009       0.147136                 NaN  0.397455                 NaN            NaN            NaN
  1411.65        2500.00                 NaN   98.0473                 NaN            NaN            NaN  0.386189       0.224861       0.756254                 NaN  0.585393                 NaN            NaN            NaN
  1410.16        2500.00                 NaN   98.0626                 NaN            NaN            NaN  0.389411       0.210574       0.756222                 NaN  0.581179                 NaN            NaN            NaN
  1408.67        2500.00                 NaN   98.0921                 NaN            NaN            NaN  0.388796       0.750009       0.196871                 NaN  0.572248                 NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.1147                 NaN            NaN            NaN  0.389452       0.183973       0.746410                 NaN  0.565422                 NaN            NaN            NaN
  1405.70        2500.00                 NaN   98.1395                 NaN            NaN            NaN  0.389768       0.171138       0.741554                 NaN  0.558088                 NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.1604                 NaN            NaN            NaN  0.390388       0.158872       0.738670                 NaN  0.551648                 NaN            NaN            NaN
  1402.73        2500.00                 NaN   98.1849                 NaN            NaN            NaN  0.390101       0.146075       0.734791                 NaN  0.544119                 NaN            NaN            NaN
  1401.24        2500.00                 NaN   98.2056                 NaN            NaN            NaN  0.390562       0.731654       0.134281                 NaN  0.537942                 NaN            NaN            NaN
  1399.76        2500.00                 NaN   98.2272                 NaN            NaN            NaN  0.390450       0.729649       0.121423                 NaN  0.531240                 NaN            NaN            NaN
  1398.27        2500.00                 NaN   98.2488                 NaN            NaN            NaN  0.390443       0.724489       0.111737                 NaN  0.524525                 NaN            NaN            NaN
  1396.79        2500.00                 NaN   98.2607                 NaN            NaN            NaN  0.392883       0.728620       0.968205E-001            NaN  0.520941                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   98.2928                 NaN            NaN            NaN  0.388405       0.914172E-001  0.716791                 NaN  0.510563                 NaN            NaN            NaN
  1393.81        2500.00                 NaN   98.3069                 NaN            NaN            NaN  0.390895       0.716769       0.788089E-001            NaN  0.506614                 NaN            NaN            NaN
  1392.33        2500.00                 NaN   98.3037                 NaN            NaN            NaN  0.405674       0.731034       0.484561E-001            NaN  0.511116                 NaN            NaN            NaN
  1390.84        2500.00                 NaN   98.3765                 NaN            NaN            NaN  0.373771       0.693308       0.747644E-001            NaN  0.481613                 NaN            NaN            NaN
  1389.36        2500.00                 NaN   98.3644                 NaN            NaN            NaN  0.389761       0.489630E-001  0.708155                 NaN  0.488682                 NaN            NaN            NaN
  1387.87        2500.00                 NaN   98.3809                 NaN            NaN            NaN  0.389459       0.391110E-001  0.707201                 NaN  0.483329                 NaN            NaN            NaN
  1386.38        2500.00                 NaN   98.4005                 NaN            NaN            NaN  0.388443       0.704822       0.289234E-001            NaN  0.477336                 NaN            NaN            NaN
  1384.90        2500.00                 NaN   98.4159                 NaN            NaN            NaN  0.387820       0.703453       0.208064E-001            NaN  0.472040                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   98.4352                 NaN            NaN            NaN  0.386982       0.700154       0.114176E-001            NaN  0.466269                 NaN            NaN            NaN
  1381.93        2500.00                 NaN   98.4501                 NaN            NaN            NaN  0.386453       0.698456       0.354492E-002            NaN  0.461439                 NaN            NaN            NaN
  1380.44        2500.00                 NaN   98.4648                 NaN            NaN            NaN  0.383135       0.694127       0.176004E-002            NaN  0.456219                 NaN            NaN            NaN
  1378.95        2500.00                 NaN   98.4807                 NaN            NaN            NaN  0.382978       0.685201                 NaN            NaN  0.451147                 NaN            NaN            NaN
  1377.47        2500.00                 NaN   98.4900                 NaN            NaN            NaN  0.372398       0.679343       0.118817E-001            NaN  0.446377                 NaN            NaN            NaN
  1375.98        2500.00                 NaN   98.5108                 NaN            NaN            NaN  0.371837       0.677524                 NaN            NaN  0.439833                 NaN            NaN            NaN
  1374.49        2500.00                 NaN   98.5231                 NaN            NaN            NaN  0.370311       0.670886                 NaN            NaN  0.435752                 NaN            NaN            NaN
  1373.01        2500.00                 NaN   98.5355                 NaN            NaN            NaN  0.368020       0.664974                 NaN            NaN  0.431467                 NaN            NaN            NaN
  1371.52        2500.00                 NaN   98.5494                 NaN            NaN            NaN  0.412108       0.603754                 NaN            NaN  0.434757                 NaN            NaN            NaN
  1370.04        2500.00                 NaN   98.5701                 NaN            NaN            NaN  0.343129       0.672431                 NaN            NaN  0.414330                 NaN            NaN            NaN
  1368.55        2500.00                 NaN   98.5641                 NaN            NaN            NaN  0.359587       0.654902                 NaN            NaN  0.421442                 NaN            NaN            NaN
  1367.06        2500.00                 NaN   98.6016                 NaN            NaN            NaN  0.352738       0.637533                 NaN            NaN  0.408104                 NaN            NaN            NaN
  1365.58        2500.00                 NaN   98.6071                 NaN            NaN            NaN  0.352555       0.633871                 NaN            NaN  0.406496                 NaN            NaN            NaN
  1364.09        2500.00                 NaN   98.6064                 NaN            NaN            NaN  0.346227       0.641667                 NaN            NaN  0.405725                 NaN            NaN            NaN
  1362.61        2500.00                 NaN   98.6348                 NaN            NaN            NaN  0.334332       0.636293                 NaN            NaN  0.394589                 NaN            NaN            NaN
  1361.12        2500.00                 NaN   98.6392                 NaN            NaN            NaN  0.338508       0.628600                 NaN            NaN  0.393740                 NaN            NaN            NaN
  1359.63        2500.00                 NaN   98.6474                 NaN            NaN            NaN  0.341740       0.618955                 NaN            NaN  0.391882                 NaN            NaN            NaN
  1358.15        2500.00                 NaN   98.6488                 NaN            NaN            NaN  0.289425       0.112489       0.565754                 NaN  0.383496                 NaN            NaN            NaN
  1356.66        2500.00                 NaN   98.6766                 NaN            NaN            NaN  0.333224       0.610021                 NaN            NaN  0.380141                 NaN            NaN            NaN
  1355.18        2500.00                 NaN   98.6900                 NaN            NaN            NaN  0.322541       0.611974                 NaN            NaN  0.375530                 NaN            NaN            NaN
  1353.69        2500.00                 NaN   98.6968                 NaN            NaN            NaN  0.325466       0.604240                 NaN            NaN  0.373454                 NaN            NaN            NaN
  1352.20        2500.00                 NaN   98.7081                 NaN            NaN            NaN  0.322686       0.599759                 NaN            NaN  0.369468                 NaN            NaN            NaN
  1350.72        2500.00                 NaN   98.7195                 NaN            NaN            NaN  0.321616       0.593074                 NaN            NaN  0.365786                 NaN            NaN            NaN
  1349.23        2500.00                 NaN   98.7275                 NaN            NaN            NaN  0.317892       0.592220                 NaN            NaN  0.362433                 NaN            NaN            NaN
  1347.75        2500.00                 NaN   98.7407                 NaN            NaN            NaN  0.313297       0.588181                 NaN            NaN  0.357807                 NaN            NaN            NaN
  1346.26        2500.00                 NaN   98.7493                 NaN            NaN            NaN  0.309485       0.586837                 NaN            NaN  0.354418                 NaN            NaN            NaN
  1344.77        2500.00                 NaN   98.7593                 NaN            NaN            NaN  0.306121       0.583934                 NaN            NaN  0.350674                 NaN            NaN            NaN
  1343.29        2500.00                 NaN   98.7661                 NaN            NaN            NaN  0.300873       0.585240                 NaN            NaN  0.347774                 NaN            NaN            NaN
  1341.80        2500.00                 NaN   98.7783                 NaN            NaN            NaN  0.298701       0.579689                 NaN            NaN  0.343314                 NaN            NaN            NaN
  1340.31        2500.00                 NaN   98.7821                 NaN            NaN            NaN  0.301380       0.574178                 NaN            NaN  0.342360                 NaN            NaN            NaN
  1338.83        2500.00                 NaN   98.8000                 NaN            NaN            NaN  0.292395       0.572040                 NaN            NaN  0.335537                 NaN            NaN            NaN
  1337.34        2500.00                 NaN   98.8057                 NaN            NaN            NaN  0.288424       0.572577                 NaN            NaN  0.333327                 NaN            NaN            NaN
  1335.86        2500.00                 NaN   98.8133                 NaN            NaN            NaN  0.284329       0.572071                 NaN            NaN  0.330285                 NaN            NaN            NaN
  1334.37        2500.00                 NaN   98.7083                 NaN            NaN            NaN  0.284420       0.606450                 NaN            NaN  0.351459       0.493268E-001            NaN            NaN
  1332.88        2500.00                 NaN   98.6507                 NaN            NaN            NaN  0.272515       0.634016                 NaN            NaN  0.359623       0.831607E-001            NaN            NaN
  1331.40        2500.00                 NaN   98.6624                 NaN            NaN            NaN  0.272839       0.625426                 NaN            NaN  0.357221       0.821278E-001            NaN            NaN
  1329.91        2500.00                 NaN   98.6760                 NaN            NaN            NaN  0.269770       0.620251                 NaN            NaN  0.353316       0.806378E-001            NaN            NaN
  1328.43        2500.00                 NaN   98.6916                 NaN            NaN            NaN  0.268950       0.611057                 NaN            NaN  0.349194       0.792239E-001            NaN            NaN
  1326.94        2500.00                 NaN   98.7107                 NaN            NaN            NaN  0.265021       0.603088                 NaN            NaN  0.343733       0.775018E-001            NaN            NaN
  1325.45        2500.00                 NaN   98.7243                 NaN            NaN            NaN  0.263807       0.595402                 NaN            NaN  0.340228       0.762563E-001            NaN            NaN
  1323.97        2500.00                 NaN   98.7392                 NaN            NaN            NaN  0.260042       0.589964                 NaN            NaN  0.336045       0.747646E-001            NaN            NaN
  1322.48        2500.00                 NaN   98.7525                 NaN            NaN            NaN  0.260004       0.581508                 NaN            NaN  0.332447       0.735684E-001            NaN            NaN
  1321.00        2500.00                 NaN   98.7670                 NaN            NaN            NaN  0.256355       0.576224                 NaN            NaN  0.328343       0.720789E-001            NaN            NaN
