|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1567.69        2500.00                 NaN   99.6157                 NaN            NaN  0.246596       0.671742E-002  0.130972                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   98.6766                 NaN            NaN  0.423414       0.437400E-002  0.895620                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00       0.126091E-003   99.0385                 NaN            NaN            NaN  0.618866E-002  0.955140                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00       0.560320E-002   99.0068                 NaN            NaN            NaN            NaN  0.987582                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00       0.719263E-002   98.9879                 NaN            NaN            NaN  0.109998E-001  0.993904                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00       0.724537E-002   98.9621                 NaN            NaN            NaN            NaN   1.03070                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00       0.720244E-002   98.9379                 NaN            NaN            NaN            NaN   1.05491                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00       0.720985E-002   98.8952                 NaN            NaN            NaN            NaN   1.09757                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00       0.722213E-002   98.8455                 NaN            NaN            NaN            NaN   1.14727                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00       0.706643E-002   98.6181                 NaN            NaN            NaN  0.504945E-005  0.484621       0.890167                 NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00       0.145382E-001   96.4221                 NaN            NaN            NaN  0.182503        2.96852       0.412287                 NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00       0.679481E-004   99.9801                 NaN            NaN            NaN  0.266687E-002  0.134993E-002  0.157986E-001            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00       0.459748E-002   98.7073                 NaN            NaN            NaN  0.137869        1.14382       0.639341E-002            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00       0.567032E-002   98.3978                 NaN            NaN            NaN  0.168058       0.264240E-001   1.40206                 NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00       0.548695E-002   98.4295                 NaN            NaN            NaN  0.168212       0.120023E-001   1.38479                 NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00       0.539793E-002   98.4477                 NaN            NaN            NaN  0.164341        1.36418       0.184038E-001            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00       0.525176E-002   98.4724                 NaN            NaN            NaN  0.165139        1.35363       0.361438E-002            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00       0.512563E-002   98.4954                 NaN            NaN            NaN  0.159580       0.180649E-001   1.32182                 NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00       0.497002E-002   98.5182                 NaN            NaN            NaN  0.161700        1.31509                 NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00       0.488271E-002   98.5381                 NaN            NaN            NaN  0.155967       0.139855E-001   1.28708                 NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00       0.478871E-002   98.5571                 NaN            NaN            NaN  0.150777        1.25814       0.292130E-001            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00       0.466599E-002   98.5768                 NaN            NaN            NaN  0.147796        1.23866       0.320951E-001            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00       0.417196E-002   98.5941                 NaN            NaN  0.243695E-001  0.144981        1.23238                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00       0.343421E-002   98.5865                 NaN            NaN  0.758251E-001  0.131552        1.20268                 NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00       0.297953E-002   98.6464                 NaN            NaN  0.882203E-001  0.120054        1.14236                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00       0.286120E-002   98.6424                 NaN            NaN  0.915081E-001  0.121275        1.14195                 NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00       0.270743E-002   98.6512                 NaN            NaN  0.951179E-001  0.119732        1.13126                 NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00       0.274330E-002   98.6886                 NaN            NaN  0.801054E-001  0.120781        1.10772                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00       0.228035E-002   98.6930                 NaN            NaN  0.101280       0.119581        1.08387                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00       0.244113E-002   98.7190                 NaN            NaN  0.834803E-001  0.118509        1.07660                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00       0.232838E-002   98.7327                 NaN            NaN  0.825013E-001  0.118295        1.06415                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00       0.220006E-002   98.7481                 NaN            NaN  0.827907E-001  0.117460        1.04943                 NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00       0.215988E-002   98.7649                 NaN            NaN  0.779079E-001  0.116884        1.03817                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00       0.205902E-002   98.7804                 NaN            NaN  0.770027E-001  0.116423        1.02407                 NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00       0.197812E-002   98.7937                 NaN            NaN  0.745642E-001  0.115708        1.01407                 NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00       0.197736E-002   98.8126                 NaN            NaN  0.684895E-001  0.115139        1.00184                 NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00       0.181246E-002   98.8227                 NaN            NaN  0.713357E-001  0.114653       0.989485                 NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00       0.183296E-002   98.8428                 NaN            NaN  0.635295E-001  0.114349       0.977497                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00       0.178851E-002   98.8541                 NaN            NaN  0.607249E-001  0.113553       0.969882                 NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00       0.201912E-002   98.8670                 NaN            NaN  0.411222E-001  0.124473       0.965382                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00       0.140260E-002   98.8813                 NaN            NaN  0.707109E-001  0.101036       0.945527                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00       0.160197E-002   98.8932                 NaN            NaN  0.542367E-001  0.112160       0.938843                 NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00       0.163547E-002   98.9077                 NaN            NaN  0.475204E-001  0.111461       0.931727                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00       0.162233E-002   98.9197                 NaN            NaN  0.433711E-001  0.110993       0.924284                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00       0.160050E-002   98.9310                 NaN            NaN  0.399361E-001  0.110533       0.916978                 NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00       0.217022E-002   98.9384                 NaN            NaN  0.401224E-001  0.108596       0.910748                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00       0.159736E-002   98.9575                 NaN            NaN            NaN  0.108005       0.885254       0.476431E-001            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00       0.162806E-002   98.9665                 NaN            NaN  0.254327E-001  0.110536       0.895860                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00       0.237530E-002   98.9499                 NaN            NaN            NaN  0.671084E-001  0.789689       0.190933                 NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00       0.216460E-002   98.9723                 NaN            NaN            NaN  0.857003E-001  0.118760       0.821036                 NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00       0.209701E-002   98.9817                 NaN            NaN            NaN  0.840080E-001  0.812432       0.119727                 NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00       0.203398E-002   98.9923                 NaN            NaN            NaN  0.824784E-001  0.800333       0.122873                 NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00       0.196654E-002   99.0012                 NaN            NaN            NaN  0.807741E-001  0.791241       0.124774                 NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00       0.191182E-002   99.0090                 NaN            NaN            NaN  0.794649E-001  0.782830       0.126763                 NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00       0.183881E-002   99.0206                 NaN            NaN            NaN  0.773955E-001  0.771011       0.129123                 NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00       0.178279E-002   99.0258                 NaN            NaN            NaN  0.747292E-001  0.133189       0.764531                 NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00       0.171099E-002   99.0370                 NaN            NaN            NaN  0.762676E-001  0.127057       0.758001                 NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00       0.166264E-002   99.0472                 NaN            NaN            NaN  0.728801E-001  0.743204       0.135017                 NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00       0.159877E-002   99.0551                 NaN            NaN            NaN  0.715423E-001  0.136457       0.735259                 NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00       0.154136E-002   99.0615                 NaN            NaN            NaN  0.703267E-001  0.729284       0.137375                 NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00       0.148660E-002   99.0707                 NaN            NaN            NaN  0.686553E-001  0.719270       0.139882                 NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00       0.143128E-002   99.0780                 NaN            NaN            NaN  0.674377E-001  0.712443       0.140681                 NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00       0.137575E-002   99.0854                 NaN            NaN            NaN  0.659897E-001  0.704154       0.143073                 NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00       0.132989E-002   99.0931                 NaN            NaN            NaN  0.647657E-001  0.696639       0.144187                 NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00       0.127094E-002   99.0999                 NaN            NaN            NaN  0.634612E-001  0.690231       0.145104                 NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00       0.122570E-002   99.1070                 NaN            NaN            NaN  0.621745E-001  0.682428       0.147156                 NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00       0.117270E-002   99.1141                 NaN            NaN            NaN  0.609335E-001  0.148388       0.675445                 NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00       0.112718E-002   99.1182                 NaN            NaN            NaN  0.593824E-001  0.670720       0.150585                 NaN            NaN            NaN            NaN            NaN
  1466.63        2500.00       0.106820E-002   99.1291                 NaN            NaN            NaN  0.588697E-001  0.662158       0.148780                 NaN            NaN            NaN            NaN            NaN
  1465.15        2500.00       0.102873E-002   99.1345                 NaN            NaN            NaN  0.571557E-001  0.655059       0.152213                 NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00       0.981936E-003   99.1405                 NaN            NaN            NaN  0.561014E-001  0.649395       0.153027                 NaN            NaN            NaN            NaN            NaN
  1462.17        2500.00       0.934320E-003   99.1452                 NaN            NaN            NaN  0.550644E-001  0.154072       0.644718                 NaN            NaN            NaN            NaN            NaN
  1460.69        2500.00       0.888444E-003   99.1535                 NaN            NaN            NaN  0.536702E-001  0.637098       0.154811                 NaN            NaN            NaN            NaN            NaN
  1459.20        2500.00       0.845962E-003   99.1586                 NaN            NaN            NaN  0.526870E-001  0.631721       0.156196                 NaN            NaN            NaN            NaN            NaN
  1457.72        2500.00       0.802349E-003   99.1641                 NaN            NaN            NaN  0.515554E-001  0.157267       0.626322                 NaN            NaN            NaN            NaN            NaN
  1456.23        2500.00       0.758955E-003   99.1700                 NaN            NaN            NaN  0.505114E-001  0.620404       0.158279                 NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.715068E-003   99.1749                 NaN            NaN            NaN  0.494584E-001  0.158386       0.616509                 NaN            NaN            NaN            NaN            NaN
  1453.26        2500.00       0.677082E-003   99.1813                 NaN            NaN            NaN  0.482751E-001  0.609364       0.160372                 NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00       0.639478E-003   99.1856                 NaN            NaN            NaN  0.474182E-001  0.605163       0.161162                 NaN            NaN            NaN            NaN            NaN
  1450.29        2500.00       0.597711E-003   99.1910                 NaN            NaN            NaN  0.464216E-001  0.600347       0.161660                 NaN            NaN            NaN            NaN            NaN
  1448.80        2500.00       0.561256E-003   99.1958                 NaN            NaN            NaN  0.453323E-001  0.595719       0.162562                 NaN            NaN            NaN            NaN            NaN
  1447.31        2500.00       0.523071E-003   99.2010                 NaN            NaN            NaN  0.443332E-001  0.163621       0.590538                 NaN            NaN            NaN            NaN            NaN
  1445.83        2500.00       0.485396E-003   99.2057                 NaN            NaN            NaN  0.433875E-001  0.586177       0.164290                 NaN            NaN            NaN            NaN            NaN
  1444.34        2500.00       0.452106E-003   99.2100                 NaN            NaN            NaN  0.424419E-001  0.581815       0.165316                 NaN            NaN            NaN            NaN            NaN
  1442.85        2500.00       0.414066E-003   99.2149                 NaN            NaN            NaN  0.414422E-001  0.165971       0.577271                 NaN            NaN            NaN            NaN            NaN
  1441.37        2500.00       0.380269E-003   99.2187                 NaN            NaN            NaN  0.405186E-001  0.573750       0.166696                 NaN            NaN            NaN            NaN            NaN
  1439.88        2500.00       0.347397E-003   99.2220                 NaN            NaN            NaN  0.396623E-001  0.570878       0.167122                 NaN            NaN            NaN            NaN            NaN
  1438.40        2500.00       0.313605E-003   99.2280                 NaN            NaN            NaN  0.387029E-001  0.565294       0.167659                 NaN            NaN            NaN            NaN            NaN
  1436.91        2500.00       0.281613E-003   99.2314                 NaN            NaN            NaN  0.376868E-001  0.561992       0.168636                 NaN            NaN            NaN            NaN            NaN
  1435.42        2500.00       0.249107E-003   99.2358                 NaN            NaN            NaN  0.368826E-001  0.557577       0.169445                 NaN            NaN            NaN            NaN            NaN
  1433.94        2500.00       0.218184E-003   99.2390                 NaN            NaN            NaN  0.359419E-001  0.554911       0.169911                 NaN            NaN            NaN            NaN            NaN
  1432.45        2500.00       0.189952E-003   99.2432                 NaN            NaN            NaN  0.350845E-001  0.550782       0.170762                 NaN            NaN            NaN            NaN            NaN
  1430.97        2500.00       0.157699E-003   99.2464                 NaN            NaN            NaN  0.341658E-001  0.171226       0.548048                 NaN            NaN            NaN            NaN            NaN
  1429.48        2500.00       0.132372E-003   99.2497                 NaN            NaN            NaN  0.333269E-001  0.544864       0.171988                 NaN            NaN            NaN            NaN            NaN
  1427.99        2500.00       0.104655E-003   99.2529                 NaN            NaN            NaN  0.325224E-001  0.541595       0.172923                 NaN            NaN            NaN            NaN            NaN
  1426.51        2500.00       0.220255E-002   98.8416                 NaN            NaN            NaN  0.485576E-001  0.831397       0.276290                 NaN            NaN            NaN            NaN            NaN
  1425.02        2500.00                 NaN   99.6799                 NaN            NaN            NaN  0.125766E-001  0.229908       0.776619E-001            NaN            NaN            NaN            NaN            NaN
  1423.54        2500.00                 NaN   99.2617                 NaN            NaN            NaN  0.297696E-001  0.533883       0.174632                 NaN            NaN            NaN            NaN            NaN
  1422.05        2500.00       0.656548E-003   99.2659                 NaN            NaN            NaN  0.287935E-001  0.528275       0.176359                 NaN            NaN            NaN            NaN            NaN
  1420.56        2500.00                 NaN   99.2654                 NaN            NaN            NaN  0.276494E-001  0.533127       0.173778                 NaN            NaN            NaN            NaN            NaN
  1419.08        2500.00                 NaN   99.2733                 NaN            NaN            NaN  0.274019E-001  0.524043       0.175259                 NaN            NaN            NaN            NaN            NaN
  1417.59        2500.00                 NaN   99.2736                 NaN            NaN            NaN  0.263932E-001  0.176846       0.523184                 NaN            NaN            NaN            NaN            NaN
  1416.11        2500.00                 NaN   98.7919                 NaN            NaN            NaN  0.144126       0.587521       0.197250                 NaN  0.279189                 NaN            NaN            NaN
  1414.62        2500.00                 NaN   97.5797                 NaN            NaN            NaN  0.396951       0.915006       0.250119                 NaN  0.858178                 NaN            NaN            NaN
  1413.13        2500.00                 NaN   98.8020                 NaN            NaN            NaN  0.206260       0.442518       0.124886                 NaN  0.424323                 NaN            NaN            NaN
  1411.65        2500.00                 NaN   98.2317                 NaN            NaN            NaN  0.300570       0.190721       0.651900                 NaN  0.625087                 NaN            NaN            NaN
  1410.16        2500.00                 NaN   98.2477                 NaN            NaN            NaN  0.302371       0.178394       0.651198                 NaN  0.620313                 NaN            NaN            NaN
  1408.67        2500.00                 NaN   98.2765                 NaN            NaN            NaN  0.301261       0.645126       0.166598                 NaN  0.610493                 NaN            NaN            NaN
  1407.19        2500.00                 NaN   98.2992                 NaN            NaN            NaN  0.301101       0.155486       0.641335                 NaN  0.602920                 NaN            NaN            NaN
  1405.70        2500.00                 NaN   98.3235                 NaN            NaN            NaN  0.300715       0.144471       0.636492                 NaN  0.594801                 NaN            NaN            NaN
  1404.22        2500.00                 NaN   98.3446                 NaN            NaN            NaN  0.300479       0.133936       0.633310                 NaN  0.587634                 NaN            NaN            NaN
  1402.73        2500.00                 NaN   98.3688                 NaN            NaN            NaN  0.299636       0.123004       0.629212                 NaN  0.579303                 NaN            NaN            NaN
  1401.24        2500.00                 NaN   98.3896                 NaN            NaN            NaN  0.299317       0.625758       0.112928                 NaN  0.572412                 NaN            NaN            NaN
  1399.76        2500.00                 NaN   98.4112                 NaN            NaN            NaN  0.298591       0.623290       0.101988                 NaN  0.564960                 NaN            NaN            NaN
  1398.27        2500.00                 NaN   98.4327                 NaN            NaN            NaN  0.297912       0.618141       0.937286E-001            NaN  0.557492                 NaN            NaN            NaN
  1396.79        2500.00                 NaN   98.4457                 NaN            NaN            NaN  0.299050       0.620774       0.810973E-001            NaN  0.553354                 NaN            NaN            NaN
  1395.30        2500.00                 NaN   98.4764                 NaN            NaN            NaN  0.295055       0.764891E-001  0.610109                 NaN  0.541990                 NaN            NaN            NaN
  1393.81        2500.00                 NaN   98.4912                 NaN            NaN            NaN  0.296295       0.609221       0.658499E-001            NaN  0.537462                 NaN            NaN            NaN
  1392.33        2500.00                 NaN   98.4897                 NaN            NaN            NaN  0.306900       0.621122       0.404186E-001            NaN  0.541891                 NaN            NaN            NaN
  1390.84        2500.00                 NaN   98.5575                 NaN            NaN            NaN  0.282057       0.587897       0.623119E-001            NaN  0.510257                 NaN            NaN            NaN
  1389.36        2500.00                 NaN   98.5486                 NaN            NaN            NaN  0.293442       0.407533E-001  0.599744                 NaN  0.517414                 NaN            NaN            NaN
  1387.87        2500.00                 NaN   98.5654                 NaN            NaN            NaN  0.292550       0.325093E-001  0.598108                 NaN  0.511393                 NaN            NaN            NaN
  1386.38        2500.00                 NaN   98.5848                 NaN            NaN            NaN  0.291206       0.595275       0.240104E-001            NaN  0.504694                 NaN            NaN            NaN
  1384.90        2500.00                 NaN   98.6006                 NaN            NaN            NaN  0.290049       0.593387       0.172485E-001            NaN  0.498737                 NaN            NaN            NaN
  1383.41        2500.00                 NaN   98.6196                 NaN            NaN            NaN  0.288833       0.589837       0.945251E-002            NaN  0.492278                 NaN            NaN            NaN
  1381.93        2500.00                 NaN   98.6349                 NaN            NaN            NaN  0.287765       0.587579       0.293070E-002            NaN  0.486816                 NaN            NaN            NaN
  1380.44        2500.00                 NaN   98.6498                 NaN            NaN            NaN  0.284656       0.583134       0.145308E-002            NaN  0.480945                 NaN            NaN            NaN
  1378.95        2500.00                 NaN   98.6659                 NaN            NaN            NaN  0.283913       0.574996                 NaN            NaN  0.475231                 NaN            NaN            NaN
  1377.47        2500.00                 NaN   98.6759                 NaN            NaN            NaN  0.275505       0.568991       0.978300E-002            NaN  0.469841                 NaN            NaN            NaN
  1375.98        2500.00                 NaN   98.6961                 NaN            NaN            NaN  0.274446       0.566879                 NaN            NaN  0.462584                 NaN            NaN            NaN
  1374.49        2500.00                 NaN   98.7088                 NaN            NaN            NaN  0.272727       0.560575                 NaN            NaN  0.457926                 NaN            NaN            NaN
  1373.01        2500.00                 NaN   98.7216                 NaN            NaN            NaN  0.270444       0.554853                 NaN            NaN  0.453055                 NaN            NaN            NaN
  1371.52        2500.00                 NaN   98.7378                 NaN            NaN            NaN  0.301924       0.504120                 NaN            NaN  0.456117                 NaN            NaN            NaN
  1370.04        2500.00                 NaN   98.7551                 NaN            NaN            NaN  0.251037       0.559536                 NaN            NaN  0.434319                 NaN            NaN            NaN
  1368.55        2500.00                 NaN   98.7520                 NaN            NaN            NaN  0.262418       0.544214                 NaN            NaN  0.441410                 NaN            NaN            NaN
  1367.06        2500.00                 NaN   98.7867                 NaN            NaN            NaN  0.256882       0.529319                 NaN            NaN  0.427066                 NaN            NaN            NaN
  1365.58        2500.00                 NaN   98.7933                 NaN            NaN            NaN  0.256242       0.525430                 NaN            NaN  0.425020                 NaN            NaN            NaN
  1364.09        2500.00                 NaN   98.7941                 NaN            NaN            NaN  0.251049       0.530969                 NaN            NaN  0.423850                 NaN            NaN            NaN
  1362.61        2500.00                 NaN   98.8206                 NaN            NaN            NaN  0.241993       0.525510                 NaN            NaN  0.411850                 NaN            NaN            NaN
  1361.12        2500.00                 NaN   98.8263                 NaN            NaN            NaN  0.244450       0.518695                 NaN            NaN  0.410603                 NaN            NaN            NaN
  1359.63        2500.00                 NaN   98.8352                 NaN            NaN            NaN  0.246192       0.510312                 NaN            NaN  0.408300                 NaN            NaN            NaN
  1358.15        2500.00                 NaN   98.8364                 NaN            NaN            NaN  0.208187       0.909698E-001  0.465272                 NaN  0.399212                 NaN            NaN            NaN
  1356.66        2500.00                 NaN   98.8642                 NaN            NaN            NaN  0.239086       0.501380                 NaN            NaN  0.395356                 NaN            NaN            NaN
  1355.18        2500.00                 NaN   98.8767                 NaN            NaN            NaN  0.230909       0.502197                 NaN            NaN  0.390201                 NaN            NaN            NaN
  1353.69        2500.00                 NaN   98.8846                 NaN            NaN            NaN  0.232508       0.495195                 NaN            NaN  0.387686                 NaN            NaN            NaN
  1352.20        2500.00                 NaN   98.8959                 NaN            NaN            NaN  0.230042       0.490851                 NaN            NaN  0.383188                 NaN            NaN            NaN
  1350.72        2500.00                 NaN   98.9074                 NaN            NaN            NaN  0.228789       0.484779                 NaN            NaN  0.379010                 NaN            NaN            NaN
  1349.23        2500.00                 NaN   98.9159                 NaN            NaN            NaN  0.225651       0.483286                 NaN            NaN  0.375179                 NaN            NaN            NaN
  1347.75        2500.00                 NaN   98.9287                 NaN            NaN            NaN  0.221910       0.479337                 NaN            NaN  0.370033                 NaN            NaN            NaN
  1346.26        2500.00                 NaN   98.9376                 NaN            NaN            NaN  0.218751       0.477478                 NaN            NaN  0.366175                 NaN            NaN            NaN
  1344.77        2500.00                 NaN   98.9477                 NaN            NaN            NaN  0.215922       0.474435                 NaN            NaN  0.361955                 NaN            NaN            NaN
  1343.29        2500.00                 NaN   98.9550                 NaN            NaN            NaN  0.211762       0.474577                 NaN            NaN  0.358612                 NaN            NaN            NaN
  1341.80        2500.00                 NaN   98.9670                 NaN            NaN            NaN  0.209758       0.469588                 NaN            NaN  0.353663                 NaN            NaN            NaN
  1340.31        2500.00                 NaN   98.9720                 NaN            NaN            NaN  0.211152       0.464492                 NaN            NaN  0.352331                 NaN            NaN            NaN
  1338.83        2500.00                 NaN   98.9884                 NaN            NaN            NaN  0.204515       0.462093                 NaN            NaN  0.344961                 NaN            NaN            NaN
  1337.34        2500.00                 NaN   98.9946                 NaN            NaN            NaN  0.201339       0.461759                 NaN            NaN  0.342347                 NaN            NaN            NaN
  1335.86        2500.00                 NaN   99.0025                 NaN            NaN            NaN  0.198067       0.460594                 NaN            NaN  0.338882                 NaN            NaN            NaN
  1334.37        2500.00                 NaN   98.9245                 NaN            NaN            NaN  0.197648       0.488027                 NaN            NaN  0.360262       0.295537E-001            NaN            NaN
  1332.88        2500.00                 NaN   98.8839                 NaN            NaN            NaN  0.189020       0.509173                 NaN            NaN  0.368186       0.497640E-001            NaN            NaN
  1331.40        2500.00                 NaN   98.8954                 NaN            NaN            NaN  0.188793       0.501467                 NaN            NaN  0.365220       0.490768E-001            NaN            NaN
  1329.91        2500.00                 NaN   98.9085                 NaN            NaN            NaN  0.186209       0.496418                 NaN            NaN  0.360723       0.481183E-001            NaN            NaN
  1328.43        2500.00                 NaN   98.9233                 NaN            NaN            NaN  0.185143       0.488360                 NaN            NaN  0.356015       0.472074E-001            NaN            NaN
  1326.94        2500.00                 NaN   98.9407                 NaN            NaN            NaN  0.182081       0.481146                 NaN            NaN  0.349957       0.461155E-001            NaN            NaN
  1325.45        2500.00                 NaN   98.9537                 NaN            NaN            NaN  0.180810       0.474256                 NaN            NaN  0.345904       0.453101E-001            NaN            NaN
  1323.97        2500.00                 NaN   98.9676                 NaN            NaN            NaN  0.177841       0.469047                 NaN            NaN  0.341173       0.443607E-001            NaN            NaN
  1322.48        2500.00                 NaN   98.9803                 NaN            NaN            NaN  0.177374       0.461652                 NaN            NaN  0.337048       0.435890E-001            NaN            NaN
  1321.00        2500.00                 NaN   98.9938                 NaN            NaN            NaN  0.174443       0.456647                 NaN            NaN  0.332420       0.426458E-001            NaN            NaN
