|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          San(TH)        ilm            q              hed           
  1407.17        500.000        98.5927                 NaN  0.426046       0.586755                 NaN  0.394481                 NaN            NaN            NaN            NaN            NaN
  1406.11        500.000        98.5394                 NaN  0.609249       0.442035                 NaN  0.409281                 NaN            NaN            NaN            NaN            NaN
  1405.05        500.000        98.6962                 NaN  0.394255       0.544380                 NaN  0.365149                 NaN            NaN            NaN            NaN            NaN
  1403.99        500.000        98.6435                 NaN  0.554334       0.413372                 NaN  0.380942       0.780995E-002            NaN            NaN            NaN            NaN
  1402.93        500.000        98.6654                 NaN  0.450362       0.374155                 NaN  0.390589       0.119529                 NaN            NaN            NaN            NaN
  1401.87        500.000        98.6835                 NaN  0.445523       0.365687                 NaN  0.385451       0.119879                 NaN            NaN            NaN            NaN
  1400.81        500.000        98.6992                 NaN  0.441558       0.357179                 NaN  0.381118       0.120940                 NaN            NaN            NaN            NaN
  1399.75        500.000        98.7161                 NaN  0.438120       0.347390                 NaN  0.376415       0.122024                 NaN            NaN            NaN            NaN
  1398.69        500.000        98.7313                 NaN  0.433494       0.340158                 NaN  0.372335       0.122730                 NaN            NaN            NaN            NaN
  1397.63        500.000        98.7469                 NaN  0.331866       0.429926                 NaN  0.367844       0.123488                 NaN            NaN            NaN            NaN
  1396.57        500.000        98.7586                 NaN  0.412729       0.379539                 NaN  0.359666       0.894957E-001            NaN            NaN            NaN            NaN
  1395.51        500.000        98.7767                 NaN  0.437259       0.261783                 NaN  0.364318       0.159956                 NaN            NaN            NaN            NaN
  1394.45        500.000        98.7891                 NaN  0.419716       0.308834                 NaN  0.356111       0.126208                 NaN            NaN            NaN            NaN
  1393.39        500.000        98.8043                 NaN  0.302371       0.415906                 NaN  0.351509       0.125933                 NaN            NaN            NaN            NaN
  1392.33        500.000        98.8175                 NaN  0.412558       0.294416                 NaN  0.348059       0.127511                 NaN            NaN            NaN            NaN
  1391.27        500.000        98.8312                 NaN  0.293670       0.406361                 NaN  0.344354       0.124406                 NaN            NaN            NaN            NaN
  1390.21        500.000        98.8465                 NaN  0.408093       0.270911                 NaN  0.340467       0.134048                 NaN            NaN            NaN            NaN
  1389.15        500.000        98.8595                 NaN  0.275197       0.401402                 NaN  0.335736       0.128212                 NaN            NaN            NaN            NaN
  1388.09        500.000        98.8714                 NaN  0.399386       0.266424                 NaN  0.332810       0.129951                 NaN            NaN            NaN            NaN
  1387.03        500.000        98.8826                 NaN  0.259497       0.396956                 NaN  0.329735       0.131185                 NaN            NaN            NaN            NaN
  1385.97        500.000        98.8959                 NaN  0.393460       0.253602                 NaN  0.325927       0.131123                 NaN            NaN            NaN            NaN
  1384.91        500.000        98.9073                 NaN  0.246897       0.390753                 NaN  0.322761       0.132299                 NaN            NaN            NaN            NaN
  1383.85        500.000        98.9198                 NaN  0.240627       0.387901                 NaN  0.319063       0.132603                 NaN            NaN            NaN            NaN
  1382.79        500.000        98.9312                 NaN  0.385066       0.234446                 NaN  0.315892       0.133404                 NaN            NaN            NaN            NaN
  1381.73        500.000        98.9286                 NaN  0.392821       0.221128                 NaN  0.317876       0.139557                 NaN            NaN            NaN            NaN
  1380.67        500.000        98.9642                 NaN  0.371869       0.230301                 NaN  0.304927       0.128654                 NaN            NaN            NaN            NaN
  1379.61        500.000        99.5592                 NaN  0.752362E-001  0.169808                 NaN  0.132156       0.635518E-001            NaN            NaN            NaN            NaN
  1378.55        500.000        98.3760                 NaN  0.353420       0.587429                 NaN  0.478234       0.204890                 NaN            NaN            NaN            NaN
  1377.48        500.000        98.9840                 NaN  0.374254       0.203479                 NaN  0.301108       0.137199                 NaN            NaN            NaN            NaN
  1376.42        500.000        98.9985                 NaN  0.368867       0.200519                 NaN  0.296387       0.135734                 NaN            NaN            NaN            NaN
  1375.36        500.000        99.0074                 NaN  0.368798       0.191450                 NaN  0.294210       0.138145                 NaN            NaN            NaN            NaN
  1374.30        500.000        99.0175                 NaN  0.365561       0.188379                 NaN  0.291229       0.137300                 NaN            NaN            NaN            NaN
  1373.24        500.000        99.0261                 NaN  0.162769       0.369886                 NaN  0.290636       0.150621                 NaN            NaN            NaN            NaN
  1372.18        500.000        99.0383                 NaN  0.197933       0.355127                 NaN  0.283193       0.125447                 NaN            NaN            NaN            NaN
  1371.12        500.000        99.0481                 NaN  0.357864       0.173037                 NaN  0.282331       0.138672                 NaN            NaN            NaN            NaN
  1370.06        500.000        99.0562                 NaN  0.356621       0.167817                 NaN  0.280025       0.139362                 NaN            NaN            NaN            NaN
  1369.00        500.000        99.0662                 NaN  0.162631       0.354427                 NaN  0.277175       0.139578                 NaN            NaN            NaN            NaN
  1367.94        500.000        99.0751                 NaN  0.352125       0.158730                 NaN  0.274495       0.139549                 NaN            NaN            NaN            NaN
  1366.88        500.000        99.5213                 NaN  0.182307       0.789345E-001            NaN  0.143047       0.744319E-001            NaN            NaN            NaN            NaN
  1365.82        500.000        98.6530                 NaN  0.515028       0.229316                 NaN  0.398703       0.203908                 NaN            NaN            NaN            NaN
  1364.76        500.000        99.0988                 NaN  0.146756       0.346674                 NaN  0.268017       0.139797                 NaN            NaN            NaN            NaN
  1363.70        500.000        99.1156                 NaN  0.136330       0.343366                 NaN  0.262657       0.142056                 NaN            NaN            NaN            NaN
  1362.64        500.000        99.1190                 NaN  0.130549       0.344808                 NaN  0.261943       0.143727                 NaN            NaN            NaN            NaN
  1361.58        500.000        99.1272                 NaN  0.338934       0.137532                 NaN  0.258778       0.137543                 NaN            NaN            NaN            NaN
  1360.52        500.000        99.1351                 NaN  0.126324       0.339875                 NaN  0.257044       0.141661                 NaN            NaN            NaN            NaN
  1359.46        500.000        99.1444                 NaN  0.124939       0.336149                 NaN  0.254008       0.140543                 NaN            NaN            NaN            NaN
  1358.40        500.000        99.1513                 NaN  0.118650       0.335096                 NaN  0.252434       0.142568                 NaN            NaN            NaN            NaN
  1357.34        500.000        99.1612                 NaN  0.332004       0.117743                 NaN  0.248884       0.140122                 NaN            NaN            NaN            NaN
  1356.28        500.000        99.1678                 NaN  0.111823       0.331263                 NaN  0.247319       0.141755                 NaN            NaN            NaN            NaN
  1355.22        500.000        99.1757                 NaN  0.329146       0.109832                 NaN  0.244676       0.140652                 NaN            NaN            NaN            NaN
  1354.16        500.000        99.1829                 NaN  0.327896       0.105648                 NaN  0.242600       0.140937                 NaN            NaN            NaN            NaN
  1353.10        500.000        99.1893                 NaN  0.101729       0.326827                 NaN  0.240742       0.141355                 NaN            NaN            NaN            NaN
  1352.04        500.000        99.1981                 NaN  0.995511E-001  0.324188                 NaN  0.237853       0.140291                 NaN            NaN            NaN            NaN
  1350.98        500.000        99.2048                 NaN  0.323483       0.945826E-001            NaN  0.236133       0.141036                 NaN            NaN            NaN            NaN
  1349.92        500.000        99.2125                 NaN  0.919921E-001  0.321237                 NaN  0.233657       0.140587                 NaN            NaN            NaN            NaN
  1348.86        500.000        99.2193                 NaN  0.318569       0.911650E-001            NaN  0.231506       0.139465                 NaN            NaN            NaN            NaN
  1347.80        500.000        98.3281                 NaN  0.692984       0.188799                 NaN  0.493784       0.296368                 NaN            NaN            NaN            NaN
  1346.73        500.000        99.9951                 NaN            NaN            NaN            NaN            NaN  0.486471E-002            NaN            NaN            NaN            NaN
  1345.67        500.000        99.3671                 NaN  0.265501       0.663975E-001            NaN  0.188269       0.112778                 NaN            NaN            NaN            NaN
  1344.61        500.000        99.2450                 NaN  0.316475       0.713947E-001            NaN  0.224613       0.142552                 NaN            NaN            NaN            NaN
  1343.55        500.000        99.2565                 NaN  0.821164E-001  0.307159                 NaN  0.219353       0.134823                 NaN            NaN            NaN            NaN
  1342.49        500.000        99.2598                 NaN  0.741839E-001  0.309156                 NaN  0.219060       0.137768                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.2659                 NaN  0.307583       0.722399E-001            NaN  0.217152       0.137167                 NaN            NaN            NaN            NaN
  1340.37        500.000        99.2718                 NaN  0.306477       0.697546E-001            NaN  0.215253       0.136674                 NaN            NaN            NaN            NaN
  1339.31        500.000        99.2772                 NaN  0.305719       0.662394E-001            NaN  0.213795       0.136998                 NaN            NaN            NaN            NaN
  1338.25        500.000        99.2856                 NaN  0.669918E-001  0.301915                 NaN  0.210810       0.134693                 NaN            NaN            NaN            NaN
  1337.19        500.000        99.2910                 NaN  0.301228       0.636829E-001            NaN  0.209268       0.134857                 NaN            NaN            NaN            NaN
  1336.13        500.000        99.2959                 NaN  0.300754       0.598405E-001            NaN  0.208093       0.135434                 NaN            NaN            NaN            NaN
  1335.07        500.000        99.3043                 NaN  0.296581       0.614363E-001            NaN  0.204907       0.132815                 NaN            NaN            NaN            NaN
  1334.01        500.000        99.3083                 NaN  0.583717E-001  0.296579                 NaN  0.203833       0.132872                 NaN            NaN            NaN            NaN
  1332.95        500.000        99.3130                 NaN  0.296821       0.555213E-001            NaN  0.202149       0.132481                 NaN            NaN            NaN            NaN
  1331.89        500.000        99.3199                 NaN  0.293682       0.558352E-001            NaN  0.199881       0.130721                 NaN            NaN            NaN            NaN
  1330.83        500.000        99.3251                 NaN  0.291796       0.544597E-001            NaN  0.198347       0.130276                 NaN            NaN            NaN            NaN
  1329.77        500.000        99.0837                 NaN  0.377408       0.113874                 NaN  0.267427       0.157634                 NaN            NaN            NaN            NaN
  1328.71        500.000        99.5808                 NaN  0.213625E-002  0.195770                 NaN  0.124000       0.972608E-001            NaN            NaN            NaN            NaN
  1327.65        500.000        99.3416                 NaN  0.287013       0.506389E-001            NaN  0.193040       0.127703                 NaN            NaN            NaN            NaN
  1326.59        500.000        99.3463                 NaN  0.285020       0.509807E-001            NaN  0.191414       0.126310                 NaN            NaN            NaN            NaN
  1325.53        500.000        99.3518                 NaN  0.283764       0.492484E-001            NaN  0.189645       0.125511                 NaN            NaN            NaN            NaN
  1324.47        500.000        99.3652                 NaN  0.302673                 NaN            NaN  0.187869       0.144222                 NaN            NaN            NaN            NaN
  1323.41        500.000        99.3546                 NaN  0.257894       0.976208E-001            NaN  0.186214       0.103633                 NaN            NaN            NaN            NaN
  1322.35        500.000        99.3669                 NaN  0.466322E-001  0.279296                 NaN  0.184714       0.122411                 NaN            NaN            NaN            NaN
  1321.29        500.000        99.3718                 NaN  0.280068       0.423086E-001            NaN  0.183210       0.122622                 NaN            NaN            NaN            NaN
  1320.23        500.000        99.3771                 NaN  0.496979E-001  0.274326                 NaN  0.180958       0.117957                 NaN            NaN            NaN            NaN
  1319.17        500.000        99.3814                 NaN  0.274100       0.463359E-001            NaN  0.179788       0.118381                 NaN            NaN            NaN            NaN
  1318.11        500.000        99.3862                 NaN  0.272300       0.463065E-001            NaN  0.178194       0.117044                 NaN            NaN            NaN            NaN
  1317.04        500.000        99.3907                 NaN  0.271267       0.454734E-001            NaN  0.176685       0.115898                 NaN            NaN            NaN            NaN
  1315.98        500.000        99.3946                 NaN  0.468127E-001  0.269020                 NaN  0.175287       0.114266                 NaN            NaN            NaN            NaN
  1314.92        500.000        99.3998                 NaN  0.266869       0.472184E-001            NaN  0.173484       0.112586                 NaN            NaN            NaN            NaN
  1313.86        500.000        99.4047                 NaN  0.452545E-001  0.266080                 NaN  0.172006       0.111973                 NaN            NaN            NaN            NaN
  1312.80        500.000        99.4085                 NaN  0.263293       0.474230E-001            NaN  0.170675       0.110142                 NaN            NaN            NaN            NaN
  1311.74        500.000        99.4131                 NaN  0.262296       0.467258E-001            NaN  0.169060       0.108803                 NaN            NaN            NaN            NaN
  1310.68        500.000        99.4168                 NaN  0.259912       0.487359E-001            NaN  0.167702       0.106823                 NaN            NaN            NaN            NaN
  1309.62        500.000        99.3786                 NaN  0.286292                 NaN            NaN  0.192183       0.142950                 NaN            NaN            NaN            NaN
  1308.56        500.000        99.4665                 NaN  0.207626       0.121065                 NaN  0.139029       0.657668E-001            NaN            NaN            NaN            NaN
  1307.50        500.000        99.4298                 NaN  0.254243       0.507854E-001            NaN  0.163221       0.101914                 NaN            NaN            NaN            NaN
  1306.44        500.000        99.4330                 NaN  0.253212       0.510584E-001            NaN  0.162105       0.100608                 NaN            NaN            NaN            NaN
  1305.38        500.000        99.4377                 NaN  0.498981E-001  0.252228                 NaN  0.160612       0.995704E-001            NaN            NaN            NaN            NaN
  1304.32        500.000        99.4410                 NaN  0.249189       0.531749E-001            NaN  0.159383       0.972526E-001            NaN            NaN            NaN            NaN
  1303.26        500.000        99.4446                 NaN  0.452076E-001  0.253482                 NaN  0.158310       0.984253E-001            NaN            NaN            NaN            NaN
  1302.20        500.000        99.4483                 NaN  0.641178E-001  0.240962                 NaN  0.156394       0.902076E-001            NaN            NaN            NaN            NaN
  1301.14        500.000        99.4528                 NaN  0.243857       0.557178E-001            NaN  0.155259       0.924136E-001            NaN            NaN            NaN            NaN
  1300.08        500.000        99.4557                 NaN  0.241310       0.586578E-001            NaN  0.154181       0.901118E-001            NaN            NaN            NaN            NaN
  1299.02        500.000        99.4597                 NaN  0.596125E-001  0.239423                 NaN  0.152802       0.884499E-001            NaN            NaN            NaN            NaN
  1297.96        500.000        99.4634                 NaN  0.612443E-001  0.237047                 NaN  0.151564       0.867381E-001            NaN            NaN            NaN            NaN
  1296.90        500.000        99.4659                 NaN  0.235459       0.635362E-001            NaN  0.150569       0.845722E-001            NaN            NaN            NaN            NaN
  1295.84        500.000        99.4703                 NaN  0.232548       0.653283E-001            NaN  0.149083       0.827275E-001            NaN            NaN            NaN            NaN
  1294.78        500.000        99.4733                 NaN  0.230895       0.668399E-001            NaN  0.148023       0.809717E-001            NaN            NaN            NaN            NaN
  1293.72        500.000        99.4755                 NaN  0.667657E-001  0.231007                 NaN  0.147178       0.795435E-001            NaN            NaN            NaN            NaN
  1292.66        500.000        99.4800                 NaN  0.224350       0.732323E-001            NaN  0.145722       0.767019E-001            NaN            NaN            NaN            NaN
  1291.60        500.000        99.4832                 NaN  0.224322       0.733923E-001            NaN  0.144366       0.747508E-001            NaN            NaN            NaN            NaN
  1290.54        500.000        99.4859                 NaN  0.220992       0.762216E-001            NaN  0.143599       0.732592E-001            NaN            NaN            NaN            NaN
  1289.48        500.000        99.4892                 NaN  0.218341       0.800083E-001            NaN  0.142247       0.702247E-001            NaN            NaN            NaN            NaN
  1288.42        500.000        99.4923                 NaN  0.217081       0.798080E-001            NaN  0.141385       0.694728E-001            NaN            NaN            NaN            NaN
  1287.36        500.000        99.4959                 NaN  0.697678E-001  0.221161                 NaN  0.140506       0.726475E-001            NaN            NaN            NaN            NaN
  1286.29        500.000        99.4966                 NaN  0.203572       0.102087                 NaN  0.139052       0.586909E-001            NaN            NaN            NaN            NaN
  1285.23        500.000        99.5006                 NaN  0.208225       0.902564E-001            NaN  0.138290       0.626081E-001            NaN            NaN            NaN            NaN
  1284.17        500.000        99.5020                 NaN  0.207263       0.899466E-001            NaN  0.138242       0.625653E-001            NaN            NaN            NaN            NaN
  1283.11        500.000        99.0996                 NaN  0.218278       0.211767                 NaN  0.179981       0.448915E-001  0.245492                 NaN            NaN            NaN
  1282.05        500.000        93.4938                 NaN   1.43017       0.656944                 NaN  0.794540                 NaN   3.62459                 NaN            NaN            NaN
  1280.99        500.000        93.8333                 NaN   1.38707       0.601863                 NaN  0.757068                 NaN   3.42071                 NaN            NaN            NaN
  1279.93        500.000        94.1551                 NaN  0.541291        1.35264                 NaN  0.721126       0.402870E-005   3.22986                 NaN            NaN            NaN
  1278.87        500.000        94.4254                 NaN   1.35024       0.463953                 NaN  0.691490                 NaN   3.06888                 NaN            NaN            NaN
  1277.81        500.000        94.7392                 NaN   1.37801       0.344512                 NaN  0.655510       0.316499E-005   2.88274                 NaN            NaN            NaN
  1276.75        500.000        94.9392                 NaN   1.66458                 NaN            NaN  0.632466       0.133900E-003   2.76358                 NaN            NaN            NaN
  1275.69        500.000        95.1940                 NaN   1.58747                 NaN            NaN  0.604747                 NaN   2.61382                 NaN            NaN            NaN
  1274.63        500.000        95.4062                 NaN   1.52275                 NaN            NaN  0.579097                 NaN   2.49194                 NaN            NaN            NaN
  1273.57        500.000        95.5982                 NaN   1.46651                 NaN            NaN  0.556436                 NaN   2.37886                 NaN            NaN            NaN
  1272.51        500.000        95.7773                 NaN   1.41173                 NaN            NaN  0.536906                 NaN   2.27404                 NaN            NaN            NaN
  1271.45        500.000        95.9566                 NaN   1.35669                 NaN            NaN  0.515532                 NaN   2.17119                 NaN            NaN            NaN
  1270.39        500.000        95.6325                 NaN   1.41383                 NaN            NaN  0.553637                 NaN   2.34422       0.557816E-001            NaN            NaN
  1269.33        500.000        94.9675                 NaN   1.54247                 NaN            NaN  0.633966                 NaN   2.70279       0.153224                 NaN            NaN
  1268.27        500.000        95.2132                 NaN   1.47042                 NaN            NaN  0.601544                 NaN   2.56801       0.146823                 NaN            NaN
  1267.21        500.000        95.4424                 NaN   1.40407                 NaN            NaN  0.572435                 NaN   2.44114       0.139929                 NaN            NaN
  1266.15        500.000        95.6561                 NaN   1.34221                 NaN            NaN  0.547125                 NaN   2.32225       0.132366                 NaN            NaN
  1265.09        500.000        95.8480                 NaN   1.28672                 NaN            NaN  0.523833                 NaN   2.21566       0.125800                 NaN            NaN
  1264.03        500.000        96.0274                 NaN   1.23406                 NaN            NaN  0.501461                 NaN   2.11709       0.120036                 NaN            NaN
  1262.97        500.000        96.1875                 NaN   1.18810                 NaN            NaN  0.482134                 NaN   2.02798       0.114319                 NaN            NaN
  1261.91        500.000        96.3383                 NaN   1.14392                 NaN            NaN  0.463453                 NaN   1.94508       0.109279                 NaN            NaN
  1260.85        500.000        96.4733                 NaN   1.10625                 NaN            NaN  0.448320                 NaN   1.86856       0.103529                 NaN            NaN
  1259.79        500.000        96.6042                 NaN   1.06752                 NaN            NaN  0.432040                 NaN   1.79708       0.991261E-001            NaN            NaN
  1258.73        500.000        96.7165                 NaN   1.03419                 NaN            NaN  0.415560       0.388807E-004   1.73712       0.965421E-001            NaN            NaN
  1257.67        500.000        96.8384                 NaN  0.998502                 NaN            NaN  0.401855                 NaN   1.66968       0.915410E-001            NaN            NaN
  1256.60        500.000        96.9442                 NaN  0.966799                 NaN            NaN  0.388630       0.207357E-004   1.61248       0.879025E-001            NaN            NaN
  1255.54        500.000        97.0393                 NaN  0.939938                 NaN            NaN  0.377283                 NaN   1.55945       0.840505E-001            NaN            NaN
  1254.48        500.000        97.1335                 NaN  0.911350                 NaN            NaN  0.364344                 NaN   1.50945       0.813413E-001            NaN            NaN
  1253.42        500.000        97.2218                 NaN  0.885063                 NaN            NaN  0.352942                 NaN   1.46181       0.783775E-001            NaN            NaN
  1252.36        500.000        97.3146                 NaN  0.856411                 NaN            NaN  0.342993                 NaN   1.41175       0.742852E-001            NaN            NaN
  1251.30        500.000        97.3846                 NaN  0.836698                 NaN            NaN  0.331664                 NaN   1.37422       0.728299E-001            NaN            NaN
  1250.24        500.000        97.4596                 NaN  0.814674                 NaN            NaN  0.323581       0.116675E-003   1.33276       0.692776E-001            NaN            NaN
  1249.18        500.000        97.5275                 NaN  0.794391                 NaN            NaN  0.313965       0.107997E-003   1.29677       0.672423E-001            NaN            NaN
  1248.12        500.000        97.6020                 NaN  0.771880                 NaN            NaN  0.305796                 NaN   1.25637       0.639183E-001            NaN            NaN
  1247.06        500.000        97.6649                 NaN  0.753014                 NaN            NaN  0.296980                 NaN   1.22312       0.619804E-001            NaN            NaN
  1246.00        500.000        97.7231                 NaN  0.735067                 NaN            NaN  0.287304                 NaN   1.19364       0.608633E-001            NaN            NaN
  1244.94        500.000        97.7810                 NaN  0.718676                 NaN            NaN  0.281219                 NaN   1.16113       0.579345E-001            NaN            NaN
  1243.88        500.000        97.8378                 NaN  0.701139                 NaN            NaN  0.273220                 NaN   1.13165       0.562034E-001            NaN            NaN
  1242.82        500.000        97.8938                 NaN  0.684323                 NaN            NaN  0.266569                 NaN   1.10155       0.537916E-001            NaN            NaN
  1241.76        500.000        97.9463                 NaN  0.667511                 NaN            NaN  0.258684                 NaN   1.07508       0.524202E-001            NaN            NaN
  1240.70        500.000        97.9974                 NaN  0.652269                 NaN            NaN  0.252884                 NaN   1.04739       0.500703E-001            NaN            NaN
  1239.64        500.000        98.0414                 NaN  0.639604                 NaN            NaN  0.246900                 NaN   1.02358       0.484779E-001            NaN            NaN
  1238.58        500.000        98.0901                 NaN  0.624766                 NaN            NaN  0.241505                 NaN  0.997515       0.461160E-001            NaN            NaN
  1237.52        500.000        98.1274                 NaN  0.613467                 NaN            NaN  0.233362       0.945257E-004  0.979599       0.461128E-001            NaN            NaN
  1236.46        500.000        98.1693                 NaN  0.601975                 NaN            NaN  0.230400                 NaN  0.955089       0.431962E-001            NaN            NaN
  1235.40        500.000        98.2201                 NaN  0.584131                 NaN            NaN  0.223452                 NaN  0.930470       0.418676E-001            NaN            NaN
  1234.34        500.000        98.2569                 NaN  0.572640                 NaN            NaN  0.216255       0.130796E-005  0.912752       0.414600E-001            NaN            NaN
  1233.28        500.000        98.2965                 NaN  0.560950                 NaN            NaN  0.213135                 NaN  0.890395       0.389718E-001            NaN            NaN
  1232.22        500.000        98.3313                 NaN  0.550639                 NaN            NaN  0.207877                 NaN  0.872293       0.378772E-001            NaN            NaN
  1231.16        500.000        98.3663                 NaN  0.539786                 NaN            NaN  0.202731                 NaN  0.854415       0.367664E-001            NaN            NaN
  1230.10        500.000        98.4037                 NaN  0.527522                 NaN            NaN  0.197644                 NaN  0.835573       0.355227E-001            NaN            NaN
  1229.04        500.000        98.4345                 NaN  0.518328                 NaN            NaN  0.193354                 NaN  0.819379       0.343977E-001            NaN            NaN
  1227.98        500.000        98.4666                 NaN  0.508858                 NaN            NaN  0.189257                 NaN  0.802271       0.330012E-001            NaN            NaN
  1226.92        500.000        98.5017                 NaN  0.497263                 NaN            NaN  0.185114                 NaN  0.784323       0.316223E-001            NaN            NaN
  1225.85        500.000        98.5314                 NaN  0.487668                 NaN            NaN  0.179814                 NaN  0.769971       0.311039E-001            NaN            NaN
  1224.79        500.000        98.5640                 NaN  0.476850                 NaN            NaN  0.175364                 NaN  0.753750       0.300641E-001            NaN            NaN
  1223.73        500.000        98.5932                 NaN  0.467337                 NaN            NaN  0.171373                 NaN  0.739033       0.290507E-001            NaN            NaN
  1222.67        500.000        98.6206                 NaN  0.459112                 NaN            NaN  0.168083                 NaN  0.724329       0.278905E-001            NaN            NaN
  1221.61        500.000        98.6500                 NaN  0.449188                 NaN            NaN  0.163746                 NaN  0.709954       0.270766E-001            NaN            NaN
  1220.55        500.000        98.6776                 NaN  0.439887                 NaN            NaN  0.160220                 NaN  0.696242       0.260689E-001            NaN            NaN
  1219.49        500.000        98.7032                 NaN  0.431805                 NaN            NaN  0.156241                 NaN  0.683386       0.253557E-001            NaN            NaN
  1218.43        500.000        98.7295                 NaN  0.423480                 NaN            NaN  0.153377                 NaN  0.669484       0.242042E-001            NaN            NaN
  1217.37        500.000        98.7561                 NaN  0.414090                 NaN            NaN  0.148873                 NaN  0.657094       0.237950E-001            NaN            NaN
  1216.31        500.000        98.7796                 NaN  0.406009                 NaN            NaN  0.145805                 NaN  0.645693       0.229157E-001            NaN            NaN
  1215.25        500.000        98.8050                 NaN  0.397903                 NaN            NaN  0.142558                 NaN  0.632441       0.220998E-001            NaN            NaN
  1214.19        500.000        98.8276                 NaN  0.390378                 NaN            NaN  0.139783                 NaN  0.620972       0.212393E-001            NaN            NaN
  1213.13        500.000        98.8500                 NaN  0.383121                 NaN            NaN  0.136385                 NaN  0.609979       0.205597E-001            NaN            NaN
  1212.07        500.000        98.8726                 NaN  0.375242                 NaN            NaN  0.133449                 NaN  0.598795       0.199132E-001            NaN            NaN
  1211.01        500.000        96.9680                 NaN  0.628893                 NaN            NaN  0.284717                 NaN   1.26848       0.310959E-001  0.818799                 NaN
  1209.95        500.000        89.3013                 NaN   1.67420                 NaN            NaN  0.896811                 NaN   3.96065       0.755639E-001   4.09149                 NaN
  1208.89        500.000        90.5242                 NaN   1.46360                 NaN            NaN  0.818627       0.503620E-004   3.50794       0.571348E-001   3.62842                 NaN
  1207.83        500.000        81.9462                 NaN   2.34780                 NaN            NaN   1.57697       0.270454        6.86692       0.122245        6.86936                 NaN
  1206.77        500.000        92.5080                 NaN   1.53133                 NaN            NaN  0.618219                 NaN   2.49168       0.259427E-001   2.82479                 NaN
  1205.71        500.000        94.2873                 NaN  0.819734                 NaN            NaN  0.408094                 NaN   2.09418       0.583806E-001   2.33228                 NaN
  1204.65        500.000        93.0054                 NaN  0.599464       0.403370                 NaN  0.539043                 NaN   2.66809       0.670357E-001   2.71759                 NaN
  1203.59        500.000        90.2041                 NaN   1.13792                 NaN            NaN  0.834491       0.271966        3.63417       0.610917E-001   3.85624                 NaN
  1202.53        500.000        87.6432                 NaN   1.41154       0.954635E-005            NaN  0.985212       0.337905        4.67675       0.107632        4.83779                 NaN
  1201.47        500.000        97.6372                 NaN  0.556150                 NaN            NaN  0.190735                 NaN  0.834083       0.127554E-001  0.769120                 NaN
  1200.41        500.000        86.2364                 NaN  0.942616       0.749851                 NaN   1.11174                 NaN   5.20585       0.100276        5.65328                 NaN
  1199.35        500.000        99.2542                 NaN  0.423865E-001  0.368000                 NaN  0.680119E-001            NaN  0.267030       0.375508E-003            NaN            NaN
  1198.29        500.000        92.8242                 NaN  0.684528       0.545429                 NaN  0.584447                 NaN   2.65223       0.404446E-001   2.66875                 NaN
