|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        iron           O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1404.17        2500.00        98.6466                 NaN  0.442148       0.438487                 NaN  0.669940E-001            NaN            NaN  0.405800                 NaN            NaN            NaN
  1403.01        2500.00        98.6693                 NaN  0.430914       0.435561                 NaN  0.654188E-001            NaN            NaN  0.398837                 NaN            NaN            NaN
  1401.84        2500.00        98.6783                 NaN  0.429236       0.430635                 NaN  0.650675E-001            NaN            NaN  0.396716                 NaN            NaN            NaN
  1400.68        2500.00        98.7255                 NaN  0.421066       0.410768                 NaN  0.614204E-001            NaN            NaN  0.381250                 NaN            NaN            NaN
  1399.51        2500.00        98.7329                 NaN  0.409111       0.417826                 NaN  0.608536E-001            NaN            NaN  0.379315                 NaN            NaN            NaN
  1398.35        2500.00        98.7533                 NaN  0.412447       0.401745                 NaN  0.593937E-001            NaN            NaN  0.373098                 NaN            NaN            NaN
  1397.18        2500.00        98.7723                 NaN  0.394904       0.407556                 NaN  0.579648E-001            NaN            NaN  0.367229                 NaN            NaN            NaN
  1396.02        2500.00        98.7911                 NaN  0.388211       0.402549                 NaN  0.566120E-001            NaN            NaN  0.361575                 NaN            NaN            NaN
  1394.85        2500.00        98.8104                 NaN  0.382113       0.396671                 NaN  0.552999E-001            NaN            NaN  0.355503                 NaN            NaN            NaN
  1393.69        2500.00        98.8276                 NaN  0.392078       0.376065                 NaN  0.540087E-001            NaN            NaN  0.350276                 NaN            NaN            NaN
  1392.52        2500.00        98.8457                 NaN  0.369254       0.387469                 NaN  0.527980E-001            NaN            NaN  0.344816                 NaN            NaN            NaN
  1391.36        2500.00        98.8626                 NaN  0.383485       0.363141                 NaN  0.513826E-001            NaN            NaN  0.339421                 NaN            NaN            NaN
  1390.20        2500.00        98.8773                 NaN  0.358778       0.378124                 NaN  0.506118E-001            NaN            NaN  0.335212                 NaN            NaN            NaN
  1389.03        2500.00        98.8964                 NaN  0.374701       0.351293                 NaN  0.487934E-001            NaN            NaN  0.328797                 NaN            NaN            NaN
  1387.87        2500.00        98.9107                 NaN  0.346655       0.370143                 NaN  0.479286E-001            NaN            NaN  0.324553                 NaN            NaN            NaN
  1386.70        2500.00        98.9264                 NaN  0.366754       0.340394                 NaN  0.466995E-001            NaN            NaN  0.319715                 NaN            NaN            NaN
  1385.54        2500.00        98.9405                 NaN  0.363048       0.335497                 NaN  0.455767E-001            NaN            NaN  0.315379                 NaN            NaN            NaN
  1384.37        2500.00        98.9558                 NaN  0.359321       0.329785                 NaN  0.444977E-001            NaN            NaN  0.310572                 NaN            NaN            NaN
  1383.21        2500.00        98.9698                 NaN  0.355627       0.324926                 NaN  0.434024E-001            NaN            NaN  0.306234                 NaN            NaN            NaN
  1382.04        2500.00        98.9830                 NaN  0.351918       0.320295                 NaN  0.425487E-001            NaN            NaN  0.302260                 NaN            NaN            NaN
  1380.88        2500.00        98.9963                 NaN  0.315005       0.349216                 NaN  0.413589E-001            NaN            NaN  0.298140                 NaN            NaN            NaN
  1379.71        2500.00        99.0117                 NaN  0.345116       0.309862                 NaN  0.402603E-001            NaN            NaN  0.293045                 NaN            NaN            NaN
  1378.55        2500.00        99.0226                 NaN  0.305832       0.342348                 NaN  0.393828E-001            NaN            NaN  0.289806                 NaN            NaN            NaN
  1377.38        2500.00        99.0321                 NaN  0.301287       0.341225                 NaN  0.384838E-001            NaN            NaN  0.286877                 NaN            NaN            NaN
  1376.22        2500.00        99.0507                 NaN  0.294257       0.337227                 NaN  0.369838E-001            NaN            NaN  0.280798                 NaN            NaN            NaN
  1375.05        2500.00        99.0599                 NaN  0.291070       0.334498                 NaN  0.363956E-001            NaN            NaN  0.278156                 NaN            NaN            NaN
  1373.89        2500.00        99.0723                 NaN  0.286869       0.331079                 NaN  0.354845E-001            NaN            NaN  0.274241                 NaN            NaN            NaN
  1372.72        2500.00        99.0832                 NaN  0.282615       0.328724                 NaN  0.346041E-001            NaN            NaN  0.270843                 NaN            NaN            NaN
  1371.56        2500.00        99.0940                 NaN  0.326226       0.278539                 NaN  0.337500E-001            NaN            NaN  0.267521                 NaN            NaN            NaN
  1370.39        2500.00        99.1057                 NaN  0.273515       0.324283                 NaN  0.327761E-001            NaN            NaN  0.263768                 NaN            NaN            NaN
  1369.23        2500.00        99.1162                 NaN  0.269884       0.321427                 NaN  0.319911E-001            NaN            NaN  0.260504                 NaN            NaN            NaN
  1368.06        2500.00        99.1264                 NaN  0.265870       0.319496                 NaN  0.310338E-001            NaN            NaN  0.257232                 NaN            NaN            NaN
  1366.90        2500.00        99.1369                 NaN  0.261841       0.317061                 NaN  0.302563E-001            NaN            NaN  0.253960                 NaN            NaN            NaN
  1365.74        2500.00        99.1466                 NaN  0.315007       0.258107                 NaN  0.294190E-001            NaN            NaN  0.250886                 NaN            NaN            NaN
  1364.57        2500.00        99.1566                 NaN  0.313363       0.253755                 NaN  0.285651E-001            NaN            NaN  0.247734                 NaN            NaN            NaN
  1363.41        2500.00        99.1664                 NaN  0.310832       0.250114                 NaN  0.279197E-001            NaN            NaN  0.244696                 NaN            NaN            NaN
  1362.24        2500.00        99.1742                 NaN  0.310224       0.246509                 NaN  0.269423E-001            NaN            NaN  0.242165                 NaN            NaN            NaN
  1361.08        2500.00        99.1849                 NaN  0.307350       0.242964                 NaN  0.261022E-001            NaN            NaN  0.238660                 NaN            NaN            NaN
  1359.91        2500.00        99.1942                 NaN  0.239053       0.305453                 NaN  0.254860E-001            NaN            NaN  0.235823                 NaN            NaN            NaN
  1358.75        2500.00        99.2024                 NaN  0.304489       0.235197                 NaN  0.246708E-001            NaN            NaN  0.233246                 NaN            NaN            NaN
  1357.58        2500.00        99.2109                 NaN  0.231500       0.303236                 NaN  0.238501E-001            NaN            NaN  0.230483                 NaN            NaN            NaN
  1356.42        2500.00        99.2184                 NaN  0.302985       0.227297                 NaN  0.231562E-001            NaN            NaN  0.228189                 NaN            NaN            NaN
  1355.25        2500.00        99.2291                 NaN  0.224262       0.299591                 NaN  0.224092E-001            NaN            NaN  0.224676                 NaN            NaN            NaN
  1354.09        2500.00        99.2358                 NaN  0.220889       0.298934                 NaN  0.217420E-001            NaN            NaN  0.222612                 NaN            NaN            NaN
  1352.92        2500.00        99.2440                 NaN  0.296949       0.217977                 NaN  0.211405E-001            NaN            NaN  0.219945                 NaN            NaN            NaN
  1351.76        2500.00        99.2511                 NaN  0.215033       0.295823                 NaN  0.203688E-001            NaN            NaN  0.217676                 NaN            NaN            NaN
  1350.59        2500.00        99.2595                 NaN  0.210809       0.295076                 NaN  0.196084E-001            NaN            NaN  0.214970                 NaN            NaN            NaN
  1349.43        2500.00        99.2651                 NaN  0.208368       0.294162                 NaN  0.191150E-001            NaN            NaN  0.213249                 NaN            NaN            NaN
  1348.26        2500.00        99.2755                 NaN  0.204140       0.292381                 NaN  0.181736E-001            NaN            NaN  0.209849                 NaN            NaN            NaN
  1347.10        2500.00        99.2811                 NaN  0.200976       0.292297                 NaN  0.175891E-001            NaN            NaN  0.208079                 NaN            NaN            NaN
  1345.93        2500.00        99.2879                 NaN  0.290864       0.198241                 NaN  0.170386E-001            NaN            NaN  0.205921                 NaN            NaN            NaN
  1344.77        2500.00        99.2943                 NaN  0.290104       0.195283                 NaN  0.164363E-001            NaN            NaN  0.203886                 NaN            NaN            NaN
  1343.60        2500.00        99.3024                 NaN  0.191162       0.289788                 NaN  0.155373E-001            NaN            NaN  0.201159                 NaN            NaN            NaN
  1342.44        2500.00        99.3082                 NaN  0.288095       0.189271                 NaN  0.150947E-001            NaN            NaN  0.199381                 NaN            NaN            NaN
  1341.28        2500.00        99.3143                 NaN  0.289225       0.184960                 NaN  0.142344E-001            NaN            NaN  0.197319                 NaN            NaN            NaN
  1340.11        2500.00        99.3211                 NaN  0.288018       0.181861                 NaN  0.137894E-001            NaN            NaN  0.195210                 NaN            NaN            NaN
  1338.95        2500.00        99.3140                 NaN  0.292131       0.180905                 NaN  0.143202E-001            NaN            NaN  0.198674                 NaN            NaN            NaN
  1337.78        2500.00        99.3465                 NaN  0.281386       0.174862                 NaN  0.115484E-001            NaN            NaN  0.185681                 NaN            NaN            NaN
  1336.62        2500.00        99.3392                 NaN  0.172268       0.287317                 NaN  0.118805E-001            NaN            NaN  0.189341                 NaN            NaN            NaN
  1335.45        2500.00        99.3448                 NaN  0.169305       0.287216                 NaN  0.112053E-001            NaN            NaN  0.187477                 NaN            NaN            NaN
  1334.29        2500.00        98.9165                 NaN  0.488635       0.269362                 NaN  0.160192E-001            NaN            NaN  0.309513                 NaN            NaN            NaN
  1333.12        2500.00        99.7856                 NaN  0.957356E-001  0.558117E-001            NaN  0.284596E-002            NaN            NaN  0.599649E-001            NaN            NaN            NaN
  1331.96        2500.00        99.3620                 NaN  0.286278       0.160307                 NaN  0.950200E-002            NaN            NaN  0.181925                 NaN            NaN            NaN
  1330.79        2500.00        99.3674                 NaN  0.288201       0.155554                 NaN  0.871088E-002            NaN            NaN  0.180130                 NaN            NaN            NaN
  1329.63        2500.00        99.3728                 NaN  0.287917       0.152773                 NaN  0.818145E-002            NaN            NaN  0.178378                 NaN            NaN            NaN
  1328.46        2500.00        99.3776                 NaN  0.149515       0.288488                 NaN  0.758788E-002            NaN            NaN  0.176816                 NaN            NaN            NaN
  1327.30        2500.00        99.3826                 NaN  0.146230       0.289072                 NaN  0.696471E-002            NaN            NaN  0.175105                 NaN            NaN            NaN
  1326.13        2500.00        99.3875                 NaN  0.289304       0.143179                 NaN  0.647181E-002            NaN            NaN  0.173529                 NaN            NaN            NaN
  1324.97        2500.00        99.3927                 NaN  0.139708       0.289858                 NaN  0.588661E-002            NaN            NaN  0.171857                 NaN            NaN            NaN
  1323.80        2500.00        99.3974                 NaN  0.136367       0.290611                 NaN  0.532332E-002            NaN            NaN  0.170297                 NaN            NaN            NaN
  1322.64        2500.00        99.4019                 NaN  0.132504       0.292059                 NaN  0.469982E-002            NaN            NaN  0.168789                 NaN            NaN            NaN
  1321.47        2500.00        99.4067                 NaN  0.293048       0.128880                 NaN  0.414359E-002            NaN            NaN  0.167206                 NaN            NaN            NaN
  1320.31        2500.00        98.8717                 NaN  0.568598       0.227280                 NaN  0.108451E-001            NaN            NaN  0.321562                 NaN            NaN            NaN
  1319.14        2500.00        99.9468                 NaN  0.283291E-001  0.130452E-001            NaN            NaN            NaN            NaN  0.118335E-001            NaN            NaN            NaN
  1317.98        2500.00        99.4245                 NaN  0.114187       0.300200                 NaN            NaN            NaN            NaN  0.161111                 NaN            NaN            NaN
  1316.82        2500.00        99.4234                 NaN  0.109510       0.305312                 NaN  0.400930E-003            NaN            NaN  0.161332                 NaN            NaN            NaN
  1315.65        2500.00        99.4299                 NaN  0.303530       0.107162                 NaN  0.191027E-003            NaN            NaN  0.159240                 NaN            NaN            NaN
  1314.49        2500.00        79.3495                 NaN   2.63921        3.09022                 NaN  0.496458                 NaN            NaN   2.69948        11.7252                 NaN            NaN
  1313.32        2500.00        79.6726                 NaN   3.07880        2.57222                 NaN  0.467914                 NaN            NaN   2.64810        11.5604                 NaN            NaN
  1312.16        2500.00        82.7921                 NaN   2.63890        2.18973                 NaN  0.375440                 NaN            NaN   2.24639        9.75742                 NaN            NaN
  1310.99        2500.00        85.1146                 NaN   1.90256        2.31139                 NaN  0.307646                 NaN            NaN   1.94772        8.41612                 NaN            NaN
  1309.83        2500.00        86.8870                 NaN   2.08029        1.66662                 NaN  0.254847                 NaN            NaN   1.72013        7.39113                 NaN            NaN
  1308.66        2500.00        88.2997                 NaN   3.37125                 NaN            NaN  0.214378                 NaN            NaN   1.53835        6.57631                 NaN            NaN
  1307.50        2500.00        89.4652                 NaN   3.06021                 NaN            NaN  0.180195                 NaN            NaN   1.38956        5.90486                 NaN            NaN
  1306.33        2500.00        90.4085                 NaN   2.80779                 NaN            NaN  0.155465                 NaN            NaN   1.26443        5.36383                 NaN            NaN
  1305.17        2500.00        91.1941                 NaN   2.59911                 NaN            NaN  0.132279                 NaN            NaN   1.16317        4.91132                 NaN            NaN
  1304.00        2500.00        91.8634                 NaN   2.42400                 NaN            NaN  0.110631                 NaN            NaN   1.07818        4.52377                 NaN            NaN
  1302.84        2500.00        92.4327                 NaN   2.27257                 NaN            NaN  0.949636E-001            NaN            NaN   1.00343        4.19633                 NaN            NaN
  1301.67        2500.00        92.9394                 NaN   2.13671                 NaN            NaN  0.806078E-001            NaN            NaN  0.938326        3.90495                 NaN            NaN
  1300.51        2500.00        93.3696                 NaN   2.02453                 NaN            NaN  0.673485E-001            NaN            NaN  0.882700        3.65580                 NaN            NaN
  1299.34        2500.00        93.7461                 NaN   1.92585                 NaN            NaN  0.561733E-001            NaN            NaN  0.833275        3.43858                 NaN            NaN
  1298.18        2500.00        94.0801                 NaN   1.83753                 NaN            NaN  0.469295E-001            NaN            NaN  0.789623        3.24581                 NaN            NaN
  1297.01        2500.00        94.3876                 NaN   1.75985                 NaN            NaN  0.352305E-001            NaN            NaN  0.750744        3.06655                 NaN            NaN
  1295.85        2500.00        92.2871                 NaN   2.22649                 NaN            NaN  0.136577E-001            NaN            NaN   1.00872        4.22615       0.237865                 NaN
  1294.68        2500.00        92.0784                 NaN   2.26712                 NaN            NaN            NaN            NaN            NaN   1.03263        4.33061       0.291250                 NaN
  1293.52        2500.00        92.5627                 NaN   2.13456                 NaN            NaN            NaN            NaN            NaN  0.969363        4.05994       0.273458                 NaN
  1292.36        2500.00        93.0102                 NaN   2.01106                 NaN            NaN            NaN            NaN            NaN  0.910181        3.81102       0.257583                 NaN
  1291.19        2500.00        93.4050                 NaN   1.90283                 NaN            NaN            NaN            NaN            NaN  0.859907        3.58989       0.242351                 NaN
  1290.03        2500.00        85.6483                 NaN   3.35437       0.669802                 NaN            NaN            NaN            NaN   1.91986        7.83911       0.568593                 NaN
  1288.86        2500.00        97.4873                 NaN  0.289065                 NaN            NaN  0.140532                 NaN            NaN  0.305950        1.70498       0.721968E-001            NaN
  1287.70        2500.00        98.3528                 NaN  0.617638                 NaN            NaN            NaN            NaN            NaN  0.201603       0.777042       0.509069E-001            NaN
  1286.53        2500.00        96.3810                 NaN   1.24134                 NaN            NaN            NaN            NaN            NaN  0.480754        1.77876       0.118126                 NaN
  1285.37        2500.00        94.4346                 NaN   1.48952                 NaN            NaN  0.843347E-001            NaN            NaN  0.729387        3.05406       0.208052                 NaN
  1284.20        2500.00        95.4882                 NaN   1.34168                 NaN            NaN            NaN            NaN            NaN  0.586023        2.41772       0.166376                 NaN
  1283.04        2500.00        90.1758                 NaN   2.90922                 NaN            NaN            NaN            NaN            NaN   1.33324        5.23592       0.345801                 NaN
  1281.87        2500.00        99.5657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.611321E-002  0.389400       0.388185E-001            NaN
  1280.71        2500.00        87.9926                 NaN   3.60994                 NaN            NaN  0.236195E-001            NaN            NaN   1.64794        6.30993       0.415963                 NaN
  1279.54        2500.00        99.8600                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.139968                 NaN            NaN
  1278.38        2500.00        99.6262                 NaN  0.121147                 NaN            NaN            NaN            NaN            NaN  0.419965E-001  0.210686                 NaN            NaN
  1277.21        2500.00        97.5083                 NaN  0.762184                 NaN            NaN            NaN            NaN            NaN  0.335703        1.29594       0.978282E-001            NaN
  1276.05        2500.00        96.3018                 NaN   1.07425                 NaN            NaN            NaN            NaN            NaN  0.542128        1.91898       0.162804                 NaN
  1274.88        2500.00        97.1618                 NaN  0.784364                 NaN            NaN            NaN            NaN            NaN  0.318625        1.68134       0.538678E-001            NaN
  1273.72        2500.00        93.3733                 NaN  0.884004        1.11858                 NaN            NaN            NaN            NaN  0.872078        3.51645       0.235562                 NaN
  1272.55        2500.00        99.6748                 NaN  0.406433E-001            NaN            NaN            NaN            NaN            NaN  0.707754E-001  0.207634       0.616285E-002            NaN
  1271.39        2500.00        99.7727                 NaN  0.112173                 NaN            NaN            NaN            NaN            NaN  0.603261E-002  0.941791E-001  0.149645E-001            NaN
  1270.22        2500.00        99.7946                 NaN  0.423511E-001            NaN            NaN            NaN            NaN            NaN  0.380489E-001  0.118794       0.624475E-002            NaN
  1269.06        2500.00        99.5000       0.394647       0.430900E-001            NaN            NaN            NaN            NaN            NaN            NaN  0.568022E-001  0.547749E-002            NaN
  1267.90        2500.00        99.4753                 NaN  0.969758E-001  0.549789E-001            NaN            NaN            NaN            NaN  0.723509E-001  0.285285       0.150743E-001            NaN
  1266.73        2500.00        86.6081                 NaN   1.67197        2.26911                 NaN            NaN            NaN            NaN   1.76031        7.21478       0.475702                 NaN
  1265.57        2500.00        93.5643                 NaN   1.16226       0.635997                 NaN            NaN            NaN            NaN  0.650993        3.71065       0.275774                 NaN
  1264.40        2500.00        99.7539                 NaN  0.579034E-001            NaN            NaN            NaN            NaN            NaN  0.155222                 NaN  0.330066E-001            NaN
  1263.24        2500.00        94.8082                 NaN   1.52369                 NaN            NaN            NaN            NaN            NaN  0.718253        2.81735       0.132543                 NaN
  1262.07        2500.00        99.6350                 NaN  0.710406E-001  0.920797E-001            NaN            NaN            NaN            NaN  0.631626E-001  0.138709                 NaN            NaN
  1260.91        2500.00        86.5072                 NaN   2.98853                 NaN            NaN            NaN            NaN            NaN   1.60613        8.39300       0.505169                 NaN
  1259.74        2500.00       100.0000                 NaN  0.126968E-004            NaN            NaN            NaN            NaN            NaN  0.331288E-005            NaN            NaN            NaN
  1258.58        2500.00        99.4006                 NaN  0.479794                 NaN            NaN            NaN            NaN            NaN  0.119557                 NaN            NaN            NaN
  1257.41        2500.00        99.5344                 NaN  0.349562                 NaN            NaN            NaN            NaN            NaN  0.116066                 NaN            NaN            NaN
  1256.25        2500.00        98.1860                 NaN  0.153445       0.512999                 NaN            NaN            NaN            NaN  0.377645       0.460388       0.309543                 NaN
  1255.08        2500.00        99.9544                 NaN  0.455997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1253.92        2500.00        99.9951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.486193E-002            NaN            NaN
  1252.75        2500.00        99.9267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN  0.135707E-001  0.597531E-001            NaN            NaN
  1251.59        2500.00        99.9102                 NaN  0.257421E-001            NaN            NaN            NaN            NaN            NaN  0.127731E-001  0.512753E-001            NaN            NaN
  1250.42        2500.00        98.5415                 NaN  0.527915                 NaN            NaN            NaN            NaN            NaN  0.186560       0.743981                 NaN            NaN
  1249.26        2500.00        95.5929                 NaN   1.44639                 NaN            NaN            NaN            NaN            NaN  0.539651        2.42106                 NaN            NaN
  1248.09        2500.00        97.9772                 NaN  0.581358                 NaN            NaN            NaN            NaN            NaN  0.242720        1.19874                 NaN            NaN
  1246.93        2500.00        99.3927                 NaN  0.236491                 NaN            NaN            NaN            NaN            NaN  0.908154E-001  0.279978                 NaN            NaN
  1245.76        2500.00        97.3509                 NaN  0.654517                 NaN            NaN            NaN            NaN            NaN  0.307812        1.67111       0.156105E-001            NaN
  1244.60        2500.00        99.0759                 NaN  0.520296                 NaN            NaN            NaN            NaN            NaN  0.116213       0.273516       0.140473E-001            NaN
  1243.44        2500.00        93.9132                 NaN   1.70802                 NaN            NaN            NaN            NaN            NaN  0.829357        3.43260       0.116787                 NaN
  1242.27        2500.00        99.9999                 NaN  0.253831E-004            NaN            NaN            NaN            NaN            NaN  0.110510E-004  0.436084E-004  0.236941E-005            NaN
  1241.11        2500.00       100.0000                 NaN  0.191856E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1239.94        2500.00       100.0000                 NaN  0.133436E-004            NaN            NaN            NaN            NaN            NaN  0.565591E-005  0.224537E-004  0.171509E-005            NaN
  1238.78        2500.00        99.9997                 NaN  0.113138E-003            NaN            NaN            NaN            NaN            NaN  0.351485E-004  0.162008E-003  0.887684E-005            NaN
  1237.61        2500.00        95.4112                 NaN   1.48385                 NaN            NaN            NaN            NaN            NaN  0.534096        2.42334       0.147483                 NaN
