|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1367.52        500.000        99.0168       0.416045       0.111934                 NaN  0.164346                 NaN  0.290897                 NaN            NaN            NaN
  1366.45        500.000        99.0266       0.414748       0.106296                 NaN  0.164426                 NaN  0.287902                 NaN            NaN            NaN
  1365.38        500.000        99.0364       0.103106       0.410918                 NaN  0.164490                 NaN  0.285082                 NaN            NaN            NaN
  1364.31        500.000        99.0441       0.969528E-001  0.411710                 NaN  0.164540                 NaN  0.282729                 NaN            NaN            NaN
  1363.25        500.000        99.0308       0.416744       0.102839                 NaN  0.163001                 NaN  0.286608                 NaN            NaN            NaN
  1362.18        500.000        99.0855       0.401305       0.755371E-001            NaN  0.166888                 NaN  0.270739                 NaN            NaN            NaN
  1361.11        500.000        99.0715       0.827873E-001  0.406070                 NaN  0.164993                 NaN  0.274683                 NaN            NaN            NaN
  1360.04        500.000        99.0791       0.784381E-001  0.404977                 NaN  0.165124                 NaN  0.272386                 NaN            NaN            NaN
  1358.97        500.000        97.8557       0.137824       0.998825                 NaN  0.373392                 NaN  0.634304                 NaN            NaN            NaN
  1357.90        500.000        99.9988       0.117250E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1356.84        500.000        99.3767       0.447812E-001  0.310328                 NaN  0.952848E-001            NaN  0.172920                 NaN            NaN            NaN
  1355.77        500.000        99.1126       0.397034       0.646941E-001            NaN  0.163442                 NaN  0.262190                 NaN            NaN            NaN
  1354.70        500.000        99.1206       0.592595E-001  0.396514                 NaN  0.163831                 NaN  0.259776                 NaN            NaN            NaN
  1353.63        500.000        99.1282       0.551687E-001  0.395423                 NaN  0.163684                 NaN  0.257500                 NaN            NaN            NaN
  1352.56        500.000        99.1372       0.504044E-001  0.393560                 NaN  0.163972                 NaN  0.254906                 NaN            NaN            NaN
  1351.49        500.000        99.1434       0.508717E-001  0.391469                 NaN  0.161630                 NaN  0.252675                 NaN            NaN            NaN
  1350.43        500.000        99.1515       0.392083       0.416666E-001            NaN  0.164091                 NaN  0.250662                 NaN            NaN            NaN
  1349.36        500.000        99.1591       0.448402E-001  0.388200                 NaN  0.160182                 NaN  0.247658                 NaN            NaN            NaN
  1348.29        500.000        99.1643       0.389097       0.393442E-001            NaN  0.161085                 NaN  0.246181                 NaN            NaN            NaN
  1347.22        500.000        99.1727       0.370663E-001  0.386280                 NaN  0.160384                 NaN  0.243600                 NaN            NaN            NaN
  1346.15        500.000        99.1796       0.385762       0.336520E-001            NaN  0.159564                 NaN  0.241436                 NaN            NaN            NaN
  1345.08        500.000        99.1861       0.384641       0.299966E-001            NaN  0.159629                 NaN  0.239627                 NaN            NaN            NaN
  1344.02        500.000        99.1948       0.382724       0.270744E-001            NaN  0.158760                 NaN  0.236614                 NaN            NaN            NaN
  1342.95        500.000        99.1990       0.381997       0.255984E-001            NaN  0.158054                 NaN  0.235375                 NaN            NaN            NaN
  1341.88        500.000        99.2070       0.379572       0.246252E-001            NaN  0.156207                 NaN  0.232599                 NaN            NaN            NaN
  1340.81        500.000        99.2127       0.379904       0.201005E-001            NaN  0.156349                 NaN  0.230954                 NaN            NaN            NaN
  1339.74        500.000        99.2154       0.161058E-001  0.381399                 NaN  0.156869                 NaN  0.230238                 NaN            NaN            NaN
  1338.67        500.000        99.2296       0.209690E-001  0.372354                 NaN  0.151912                 NaN  0.225186                 NaN            NaN            NaN
  1337.61        500.000        99.2321       0.375543       0.147549E-001            NaN  0.153026                 NaN  0.224612                 NaN            NaN            NaN
  1336.54        500.000        99.2373       0.133029E-001  0.374621                 NaN  0.151901                 NaN  0.222880                 NaN            NaN            NaN
  1335.47        500.000        99.2449       0.372848       0.109415E-001            NaN  0.150848                 NaN  0.220458                 NaN            NaN            NaN
  1334.40        500.000        99.2503       0.371814       0.910740E-002            NaN  0.150042                 NaN  0.218779                 NaN            NaN            NaN
  1333.33        500.000        99.2563       0.796671E-002  0.370619                 NaN  0.148451                 NaN  0.216625                 NaN            NaN            NaN
  1332.26        500.000        99.2614       0.369536       0.673856E-002            NaN  0.147377                 NaN  0.214982                 NaN            NaN            NaN
  1331.19        500.000        99.2601       0.344549       0.522989E-001            NaN  0.129972                 NaN  0.213119                 NaN            NaN            NaN
  1330.13        500.000        99.2721       0.361161       0.151226E-001            NaN  0.140760                 NaN  0.210850                 NaN            NaN            NaN
  1329.06        500.000        99.2342       0.245007       0.249052                 NaN  0.588635E-001            NaN  0.212842                 NaN            NaN            NaN
  1327.99        500.000        99.2955       0.358764                 NaN            NaN  0.142387                 NaN  0.203392                 NaN            NaN            NaN
  1326.92        500.000        99.2891       0.357300                 NaN            NaN  0.147099                 NaN  0.206459                 NaN            NaN            NaN
  1325.85        500.000        99.2971       0.360433                 NaN            NaN  0.139427                 NaN  0.203018                 NaN            NaN            NaN
  1324.78        500.000        98.8760       0.581420                 NaN            NaN  0.218082                 NaN  0.324532                 NaN            NaN            NaN
  1323.72        500.000        99.7272       0.141851                 NaN            NaN  0.533672E-001            NaN  0.775768E-001            NaN            NaN            NaN
  1322.65        500.000        99.3103       0.356190                 NaN            NaN  0.134988                 NaN  0.198482                 NaN            NaN            NaN
  1321.58        500.000        99.3155       0.353222                 NaN            NaN  0.134392                 NaN  0.196882                 NaN            NaN            NaN
  1320.51        500.000        99.3208       0.353488                 NaN            NaN  0.130805                 NaN  0.194941                 NaN            NaN            NaN
  1319.44        500.000        99.3235       0.355441                 NaN            NaN  0.127497                 NaN  0.193577                 NaN            NaN            NaN
  1318.37        500.000        99.3297       0.349608                 NaN            NaN  0.128891                 NaN  0.191790                 NaN            NaN            NaN
  1317.31        500.000        99.3339       0.349899                 NaN            NaN  0.126007                 NaN  0.190218                 NaN            NaN            NaN
  1316.24        500.000        99.3383       0.349762                 NaN            NaN  0.123371                 NaN  0.188586                 NaN            NaN            NaN
  1315.17        500.000        99.3416       0.350929                 NaN            NaN  0.120226                 NaN  0.187228                 NaN            NaN            NaN
  1314.10        500.000        99.3432       0.341200                 NaN            NaN  0.128058                 NaN  0.187549                 NaN            NaN            NaN
  1313.03        500.000        99.3551       0.353393                 NaN            NaN  0.109638                 NaN  0.181852                 NaN            NaN            NaN
  1311.96        500.000        99.3604       0.347625                 NaN            NaN  0.111448                 NaN  0.180544                 NaN            NaN            NaN
  1310.90        500.000        99.3701       0.362702                 NaN            NaN  0.916949E-001            NaN  0.175468                 NaN            NaN            NaN
  1309.83        500.000        99.3505       0.323780                 NaN            NaN  0.139211                 NaN  0.186470                 NaN            NaN            NaN
  1308.76        500.000        99.3653       0.347464                 NaN            NaN  0.108583                 NaN  0.178638                 NaN            NaN            NaN
  1307.69        500.000        99.6346       0.118050       0.157009                 NaN  0.163148E-002            NaN  0.887377E-001            NaN            NaN            NaN
  1306.62        500.000        99.1017       0.460396                 NaN            NaN  0.175301                 NaN  0.262641                 NaN            NaN            NaN
  1305.55        500.000        99.3803       0.343857                 NaN            NaN  0.102268                 NaN  0.173597                 NaN            NaN            NaN
  1304.49        500.000        99.3853       0.338242                 NaN            NaN  0.104337                 NaN  0.172141                 NaN            NaN            NaN
  1303.42        500.000        99.3891       0.337173                 NaN            NaN  0.102870                 NaN  0.170897                 NaN            NaN            NaN
  1302.35        500.000        99.3923       0.338786                 NaN            NaN  0.993915E-001            NaN  0.169490                 NaN            NaN            NaN
  1301.28        500.000        99.3962       0.337725                 NaN            NaN  0.979082E-001            NaN  0.168187                 NaN            NaN            NaN
  1300.21        500.000        99.4001       0.337470                 NaN            NaN  0.955787E-001            NaN  0.166837                 NaN            NaN            NaN
  1299.14        500.000        99.4029       0.338943                 NaN            NaN  0.924522E-001            NaN  0.165668                 NaN            NaN            NaN
  1298.08        500.000        99.4061       0.338682                 NaN            NaN  0.907853E-001            NaN  0.164450                 NaN            NaN            NaN
  1297.01        500.000        99.4100       0.334500                 NaN            NaN  0.920188E-001            NaN  0.163447                 NaN            NaN            NaN
  1295.94        500.000        99.4130       0.341089                 NaN            NaN  0.842587E-001            NaN  0.161637                 NaN            NaN            NaN
  1294.87        500.000        99.4162       0.339193                 NaN            NaN  0.838390E-001            NaN  0.160806                 NaN            NaN            NaN
  1293.80        500.000        99.4157       0.107792E-001  0.340484                 NaN  0.729395E-001            NaN  0.160144                 NaN            NaN            NaN
  1292.73        500.000        99.4217       0.342934                 NaN            NaN  0.768131E-001            NaN  0.158555                 NaN            NaN            NaN
  1291.67        500.000        99.4229       0.348704                 NaN            NaN  0.706873E-001            NaN  0.157732                 NaN            NaN            NaN
  1290.60        500.000        99.4257       0.349955                 NaN            NaN  0.677129E-001            NaN  0.156678                 NaN            NaN            NaN
  1289.53        500.000        99.4288       0.347315                 NaN            NaN  0.681969E-001            NaN  0.155705                 NaN            NaN            NaN
  1288.46        500.000        99.4316       0.350331                 NaN            NaN  0.635196E-001            NaN  0.154502                 NaN            NaN            NaN
  1287.39        500.000        99.4330       0.354789                 NaN            NaN  0.585784E-001            NaN  0.153682                 NaN            NaN            NaN
  1286.32        500.000        99.4363       0.352913                 NaN            NaN  0.581674E-001            NaN  0.152662                 NaN            NaN            NaN
  1285.26        500.000        99.4376       0.359994                 NaN            NaN  0.505321E-001            NaN  0.151920                 NaN            NaN            NaN
  1284.19        500.000        99.4387       0.365956                 NaN            NaN  0.441730E-001            NaN  0.151217                 NaN            NaN            NaN
  1283.12        500.000        99.4435       0.356426                 NaN            NaN  0.500920E-001            NaN  0.149982                 NaN            NaN            NaN
  1282.05        500.000        99.4400       0.381910                 NaN            NaN  0.280939E-001            NaN  0.149980                 NaN            NaN            NaN
  1280.98        500.000        99.4468       0.363969                 NaN            NaN  0.407380E-001            NaN  0.148466                 NaN            NaN            NaN
  1279.91        500.000        99.4456       0.377841                 NaN            NaN  0.284538E-001            NaN  0.148069                 NaN            NaN            NaN
  1278.84        500.000        98.5028       0.600318                 NaN            NaN  0.651887E-001            NaN  0.251816       0.579886                 NaN            NaN
  1277.78        500.000        92.8303        2.22968                 NaN            NaN            NaN            NaN  0.889130        3.89344       0.157411                 NaN
  1276.71        500.000        92.3591        2.31841                 NaN            NaN            NaN            NaN  0.944506        4.14382       0.234152                 NaN
  1275.64        500.000        92.9193        2.15995                 NaN            NaN  0.211550E-005            NaN  0.878188        3.82701       0.215509                 NaN
  1274.57        500.000        93.4026        2.00592                 NaN            NaN  0.149642E-001            NaN  0.821703        3.55508       0.199730                 NaN
  1273.50        500.000        93.8330        1.86780                 NaN            NaN  0.275906E-001            NaN  0.770638        3.31477       0.186200                 NaN
  1272.43        500.000        94.1985        1.75410                 NaN            NaN  0.357233E-001            NaN  0.726611        3.11030       0.174743                 NaN
  1271.37        500.000        94.5472        1.66926                 NaN            NaN  0.221250E-001            NaN  0.685118        2.91379       0.162464                 NaN
  1270.30        500.000        94.8459        1.57903                 NaN            NaN  0.251463E-001            NaN  0.649130        2.74784       0.152913                 NaN
  1269.23        500.000        95.1108        1.49901                 NaN            NaN  0.282566E-001            NaN  0.616992        2.60050       0.144463                 NaN
  1268.16        500.000        95.3530        1.43560                 NaN            NaN  0.223446E-001            NaN  0.587595        2.46532       0.136152                 NaN
  1267.09        500.000        95.5739        1.37121                 NaN            NaN  0.219941E-001            NaN  0.560716        2.34328       0.128936                 NaN
  1266.02        500.000        95.7736        1.30115                 NaN            NaN  0.317647E-001            NaN  0.536101        2.23435       0.123047                 NaN
  1264.96        500.000        95.9587        1.26583                 NaN            NaN  0.153657E-001            NaN  0.513324        2.13066       0.116124                 NaN
  1263.89        500.000        96.1205        1.20796                 NaN            NaN  0.255200E-001            NaN  0.493577        2.04147       0.111016                 NaN
  1262.82        500.000        96.2808        1.17048                 NaN            NaN  0.161967E-001            NaN  0.473625        1.95351       0.105431                 NaN
  1261.75        500.000        96.4419        1.12127                 NaN            NaN  0.153368E-001            NaN  0.453976        1.86731       0.100184                 NaN
  1260.68        500.000        96.5440        1.09236                 NaN            NaN  0.181266E-001            NaN  0.440357        1.80835       0.967790E-001            NaN
  1259.61        500.000        96.6812        1.05350                 NaN            NaN  0.143645E-001            NaN  0.423481        1.73531       0.921054E-001            NaN
  1258.55        500.000        96.7956        1.01430                 NaN            NaN  0.188021E-001            NaN  0.408948        1.67379       0.885424E-001            NaN
  1257.48        500.000        96.9066       0.987805                 NaN            NaN  0.130023E-001            NaN  0.394910        1.61314       0.845712E-001            NaN
  1256.41        500.000        97.0043       0.957646                 NaN            NaN  0.140453E-001            NaN  0.382290        1.56047       0.812822E-001            NaN
  1255.34        500.000        97.1014       0.931119                 NaN            NaN  0.115377E-001            NaN  0.369933        1.50802       0.779516E-001            NaN
  1254.27        500.000        97.1906       0.904967                 NaN            NaN  0.109941E-001            NaN  0.358366        1.46014       0.748891E-001            NaN
  1253.20        500.000        97.2758       0.880231                 NaN            NaN  0.100850E-001            NaN  0.347387        1.41453       0.719893E-001            NaN
  1252.14        500.000        97.3569       0.858591                 NaN            NaN  0.761180E-002            NaN  0.336854        1.37099       0.690938E-001            NaN
  1251.07        500.000        97.4321       0.836917                 NaN            NaN  0.654473E-002            NaN  0.326984        1.33094       0.665040E-001            NaN
  1250.00        500.000        97.5043       0.815443                 NaN            NaN  0.624895E-002            NaN  0.317536        1.29246       0.639964E-001            NaN
  1248.93        500.000        97.5755       0.791652                 NaN            NaN  0.789149E-002            NaN  0.308520        1.25496       0.614950E-001            NaN
  1247.86        500.000        97.6358       0.781318                 NaN            NaN  0.838293E-004            NaN  0.299495        1.22368       0.596115E-001            NaN
  1246.79        500.000        97.7030       0.752407                 NaN            NaN  0.927709E-002            NaN  0.291807        1.18656       0.569519E-001            NaN
  1245.73        500.000        97.7480       0.746830                 NaN            NaN  0.165139E-003            NaN  0.284435        1.16490       0.556465E-001            NaN
  1244.66        500.000        97.8217       0.725894                 NaN            NaN  0.232042E-002            NaN  0.276832        1.12130       0.519588E-001            NaN
  1243.59        500.000        97.8750       0.708813                 NaN            NaN            NaN            NaN  0.268169        1.09700       0.510411E-001            NaN
  1242.52        500.000        97.9242       0.692164                 NaN            NaN  0.154620E-002            NaN  0.261450        1.07125       0.493707E-001            NaN
  1241.45        500.000        97.9778       0.676213                 NaN            NaN  0.218382E-003            NaN  0.254063        1.04404       0.476189E-001            NaN
  1240.38        500.000        98.0271       0.660327                 NaN            NaN            NaN            NaN  0.246908        1.01941       0.462596E-001            NaN
  1239.32        500.000        98.0718       0.648445                 NaN            NaN  0.109453E-003            NaN  0.242760       0.993342       0.435860E-001            NaN
  1238.25        500.000        98.1160       0.633487                 NaN            NaN  0.727546E-003            NaN  0.236449       0.971090       0.422274E-001            NaN
  1237.18        500.000        98.1580       0.621027                 NaN            NaN  0.212022E-003            NaN  0.229738       0.949867       0.411946E-001            NaN
  1236.11        500.000        98.2011       0.606801                 NaN            NaN            NaN            NaN  0.223302       0.928785       0.399808E-001            NaN
  1235.04        500.000        98.2443       0.593134                 NaN            NaN            NaN            NaN  0.218591       0.905855       0.380787E-001            NaN
  1233.97        500.000        98.2817       0.581700                 NaN            NaN  0.315899E-004            NaN  0.213567       0.886400       0.366444E-001            NaN
  1232.90        500.000        98.3188       0.569564                 NaN            NaN  0.102449E-002            NaN  0.210122       0.865834       0.346648E-001            NaN
  1231.84        500.000        98.3571       0.557166                 NaN            NaN            NaN            NaN  0.202613       0.848678       0.344307E-001            NaN
  1230.77        500.000        98.3965       0.542304                 NaN            NaN            NaN            NaN  0.197053       0.830673       0.334719E-001            NaN
  1229.70        500.000        98.4296       0.534096                 NaN            NaN            NaN            NaN  0.192814       0.811547       0.319551E-001            NaN
  1228.63        500.000        98.4636       0.522260                 NaN            NaN            NaN            NaN  0.188422       0.794936       0.307342E-001            NaN
  1227.56        500.000        98.4951       0.512133                 NaN            NaN            NaN            NaN  0.183601       0.779271       0.298694E-001            NaN
  1226.49        500.000        98.5301       0.499727                 NaN            NaN  0.184839E-003            NaN  0.179304       0.762035       0.286411E-001            NaN
  1225.43        500.000        98.5621       0.489449                 NaN            NaN            NaN            NaN  0.175016       0.745871       0.276031E-001            NaN
  1224.36        500.000        98.5949       0.476986                 NaN            NaN            NaN            NaN  0.169504       0.731449       0.271325E-001            NaN
  1223.29        500.000        98.6220       0.469319                 NaN            NaN            NaN            NaN  0.166596       0.716296       0.257621E-001            NaN
  1222.22        500.000        98.6536       0.457234                 NaN            NaN            NaN            NaN  0.161423       0.702542       0.252355E-001            NaN
  1221.15        500.000        98.6793       0.449217                 NaN            NaN            NaN            NaN  0.158520       0.688719       0.241972E-001            NaN
  1220.08        500.000        98.7108       0.437638                 NaN            NaN            NaN            NaN  0.154260       0.673954       0.233600E-001            NaN
  1219.02        500.000        98.7358       0.429270                 NaN            NaN            NaN            NaN  0.150761       0.661628       0.225527E-001            NaN
  1217.95        500.000        98.7618       0.420543                 NaN            NaN            NaN            NaN  0.147177       0.648768       0.217595E-001            NaN
  1216.88        500.000        96.9530       0.679452                 NaN            NaN            NaN            NaN  0.293020        1.29451       0.333858E-001  0.746587     
  1215.81        500.000        81.8915        2.85385                 NaN            NaN            NaN            NaN   1.50154        6.68136       0.135821        6.93594     
  1214.74        500.000        82.4830       0.840995        1.93781                 NaN            NaN            NaN   1.45897        6.44334       0.125033        6.71088     
  1213.67        500.000        66.7769        5.00826                 NaN            NaN  0.250074                 NaN   2.79888        12.3391       0.218173        12.6086     
  1212.61        500.000        49.5865        5.62089        2.46091                 NaN            NaN            NaN   4.14618        17.9377       0.295993        19.9518     
  1211.54        500.000        95.9139       0.439023       0.333885                 NaN            NaN            NaN  0.358501        1.57842       0.276258E-001   1.34869     
  1210.47        500.000        95.6031       0.438894       0.335794                 NaN            NaN            NaN  0.362908        1.60057       0.276713E-001   1.63103     
  1209.40        500.000        95.6476       0.441834       0.338392                 NaN            NaN            NaN  0.369232        1.63182       0.280271E-001   1.54315     
  1208.33        500.000        95.6147       0.438040       0.339325                 NaN            NaN            NaN  0.371262        1.64501       0.280460E-001   1.56357     
  1207.26        500.000        99.9312                 NaN            NaN            NaN  0.322314E-001            NaN            NaN            NaN  0.161722E-001  0.204003E-001
  1206.20        500.000        99.9611                 NaN            NaN            NaN  0.222165E-001            NaN  0.166926E-001            NaN            NaN            NaN
  1205.13        500.000        99.4068       0.206042                 NaN            NaN  0.211069E-001            NaN  0.329768E-001  0.307996       0.251112E-001            NaN
  1204.06        500.000        98.9228       0.342053                 NaN            NaN  0.275404E-001            NaN  0.133457       0.574195                 NaN            NaN
  1202.99        500.000        96.4689       0.625270                 NaN            NaN  0.220156E-001            NaN  0.303013        1.33748                 NaN   1.24333     
  1201.92        500.000        82.9832        2.59401                 NaN            NaN            NaN            NaN   1.46563        6.19440       0.680929E-001   6.69467     
  1200.85        500.000        99.4223       0.239686                 NaN            NaN  0.182181E-001            NaN  0.660263E-001  0.246011       0.206907E-002  0.570989E-002
  1199.79        500.000        94.0339       0.954335                 NaN            NaN            NaN            NaN  0.469675        2.25066       0.439735E-001   2.24743     
  1198.72        500.000        56.6949        5.67416                 NaN            NaN            NaN            NaN   3.39381        16.3287       0.285589        17.6228     
  1197.65        500.000        92.9902        1.18526                 NaN            NaN            NaN            NaN  0.667508        3.09379       0.162347E-001   2.04702     
  1196.58        500.000        94.3312       0.665648                 NaN            NaN            NaN            NaN  0.459579        2.12315                 NaN   2.42038     
  1195.51        500.000        98.9634       0.621238                 NaN            NaN            NaN            NaN            NaN  0.143638       0.360840E-001  0.235646     
  1194.44        500.000        86.4506        1.44121                 NaN            NaN            NaN            NaN  0.933277        5.75243       0.119407        5.30305     
  1193.38        500.000        99.5250       0.449713E-001            NaN            NaN  0.179974                 NaN  0.568584E-001  0.193193                 NaN            NaN
  1192.31        500.000        98.8849                 NaN            NaN            NaN            NaN            NaN  0.486912E-001  0.701451       0.246693E-001  0.340310     
  1191.24        500.000        98.6102       0.547732       0.379303E-001            NaN            NaN            NaN  0.176562       0.627607                 NaN            NaN
  1190.17        500.000                 NaN   10.4453       0.901920E-003  0.798450       0.145338E-001            NaN   7.14915        41.2433       0.573590        39.7748     
  1189.10        500.000                 NaN   10.4003       0.901637E-003  0.865044                 NaN            NaN   7.15038        41.2397       0.572627        39.7710     
  1188.03        500.000                 NaN   10.3972       0.901353E-003  0.868279                 NaN            NaN   7.15077        41.2393       0.572502        39.7710     
  1186.96        500.000                 NaN   10.3935       0.901069E-003  0.872106                 NaN            NaN   7.15097        41.2390       0.572446        39.7711     
  1185.90        500.000                 NaN   10.7902       0.900783E-003  0.262907       0.143241                 NaN   7.13917        41.2731       0.582015        39.8085     
  1184.83        500.000                 NaN   10.3866       0.900496E-003  0.879233                 NaN            NaN   7.15136        41.2384       0.572348        39.7711     
  1183.76        500.000                 NaN   10.3826       0.900210E-003  0.883353                 NaN            NaN   7.15157        41.2382       0.572286        39.7711     
  1182.69        500.000                 NaN   10.3786       0.899923E-003  0.887558                 NaN            NaN   7.15179        41.2378       0.572221        39.7711     
