|6.6.6
Archiving\03_Data\DfracLP/QFM_m4.75/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1929.82        500.000        98.1427                 NaN   1.85730                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        500.000        98.1321                 NaN   1.86785                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        500.000        98.1216                 NaN   1.87839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        500.000        98.1111                 NaN   1.88890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        500.000        98.1006                 NaN   1.89939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        500.000        98.0966                 NaN   1.90344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        500.000        98.0797                 NaN   1.92031                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        500.000        98.0693                 NaN   1.93074                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        500.000        98.0589                 NaN   1.94114                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        500.000        98.0485                 NaN   1.95152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        500.000        98.0381                 NaN   1.96188                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        500.000        98.0278                 NaN   1.97221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        500.000        98.0175                 NaN   1.98254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        500.000        97.7214                 NaN   1.98312       0.295498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        500.000        99.2485                 NaN            NaN  0.751503                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        500.000        99.4700                 NaN  0.101767E-001  0.519833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        500.000        99.4707                 NaN  0.491150E-003  0.528833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        500.000        99.4699                 NaN            NaN  0.530086                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        500.000        99.4745                 NaN            NaN  0.525545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        500.000        99.4751                 NaN            NaN  0.524922                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        500.000        99.4802                 NaN            NaN  0.519799                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        500.000        99.4814                 NaN            NaN  0.518620                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        500.000        99.4836                 NaN            NaN  0.516360                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        500.000        99.4832                 NaN            NaN  0.516847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        500.000        99.4835                 NaN            NaN  0.516487                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        500.000        99.5371                 NaN            NaN  0.462895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        500.000        99.4551                 NaN            NaN  0.544904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        500.000        98.9240                 NaN            NaN   1.07598                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        500.000        99.9179                 NaN            NaN  0.821474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        500.000        99.6451                 NaN            NaN  0.354856                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        500.000        99.4984                 NaN            NaN  0.501642                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        500.000        99.5008                 NaN            NaN  0.499193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        500.000        99.5033                 NaN            NaN  0.496747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        500.000        99.5029                 NaN            NaN  0.497072                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        500.000        99.5041                 NaN            NaN  0.495896                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        500.000        99.5037                 NaN            NaN  0.496299                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        500.000        99.5057                 NaN            NaN  0.494301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        500.000        99.5298                 NaN            NaN  0.470209                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        500.000        99.5667                 NaN            NaN  0.433251                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        500.000        98.8307                 NaN  0.262311E-002   1.15454       0.121495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        500.000        99.9992                 NaN            NaN            NaN  0.830356E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        500.000        99.6007                 NaN            NaN  0.395645       0.361163E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        500.000        99.4966                 NaN            NaN  0.493046       0.103640E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        500.000        99.5016                 NaN            NaN  0.488166       0.102055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        500.000        99.4984                 NaN            NaN  0.491361       0.102704E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.4996                 NaN            NaN  0.490239       0.101843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.4984                 NaN            NaN  0.491443       0.101843E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.4975                 NaN            NaN  0.492309       0.101643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.2811                 NaN            NaN  0.704432       0.144898E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.7186                 NaN            NaN  0.275689       0.573910E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4886                 NaN            NaN  0.501303       0.100894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4935                 NaN            NaN  0.496428       0.100859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4929                 NaN            NaN  0.497077       0.100384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.6075                 NaN            NaN  0.384755       0.778782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3717                 NaN            NaN  0.615998       0.123253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.4738                 NaN            NaN  0.516169       0.100130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.5063                 NaN            NaN  0.484079       0.963173E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.5266                 NaN            NaN  0.464244       0.913659E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4394                 NaN            NaN  0.549775       0.107949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4852                 NaN            NaN  0.505021       0.982766E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4804                 NaN            NaN  0.509715       0.985501E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.4779                 NaN            NaN  0.512233       0.985145E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.7250                 NaN            NaN  0.269815       0.520070E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.2239                 NaN            NaN  0.761679       0.144474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.4707                 NaN            NaN  0.519518       0.979898E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.4683                 NaN            NaN  0.521885       0.977853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.4639                 NaN            NaN  0.526259       0.980577E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.4635                 NaN            NaN  0.526731       0.973434E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.4590                 NaN            NaN  0.531293       0.974752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.5337                 NaN            NaN  0.457581       0.869293E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3764                 NaN            NaN  0.612900       0.106513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.4510                 NaN            NaN  0.539266       0.969957E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.4465                 NaN            NaN  0.543773       0.970854E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.4448                 NaN            NaN  0.545513       0.965881E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.4411                 NaN            NaN  0.549217       0.964623E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.4372                 NaN            NaN  0.553118       0.963580E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.4342                 NaN            NaN  0.556124       0.963308E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.4856                 NaN            NaN  0.505721       0.870814E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.3693                 NaN            NaN  0.620077       0.106227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        99.4252                 NaN            NaN  0.565211       0.956987E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.4215                 NaN            NaN  0.568953       0.955685E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.4192                 NaN            NaN  0.571239       0.953385E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.4056                 NaN            NaN  0.584667       0.969721E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.4101                 NaN            NaN  0.580315       0.954868E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.4054                 NaN            NaN  0.585077       0.954964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.4203                 NaN            NaN  0.570451       0.924765E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3787                 NaN            NaN  0.611430       0.987025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3951                 NaN            NaN  0.595417       0.951901E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        99.3886                 NaN            NaN  0.601795       0.955640E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.3887                 NaN            NaN  0.601795       0.949989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.3817                 NaN            NaN  0.608729       0.955711E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        99.3800                 NaN            NaN  0.610440       0.952149E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3763                 NaN            NaN  0.614200       0.951409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.3982                 NaN            NaN  0.592688       0.911972E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.3423                 NaN            NaN  0.647755       0.992060E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.3666                 NaN            NaN  0.623901       0.949747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.3624                 NaN            NaN  0.628101       0.950893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.3589                 NaN            NaN  0.631561       0.950033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.3554                 NaN            NaN  0.635082       0.952255E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.3536                 NaN            NaN  0.636891       0.950879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.3491                 NaN            NaN  0.641417       0.951311E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.3552                 NaN            NaN  0.635401       0.940029E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.3402                 NaN            NaN  0.650259       0.957834E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        99.3445                 NaN            NaN  0.646048       0.946693E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.3411                 NaN            NaN  0.649451       0.948314E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.3256                 NaN            NaN  0.664912       0.950026E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.3510                 NaN            NaN  0.639503       0.947245E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.3350                 NaN            NaN  0.655534       0.948151E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        99.3354                 NaN            NaN  0.655128       0.945463E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.2480                 NaN            NaN  0.731367       0.206413E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.4134                 NaN            NaN  0.586119       0.500065E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.3329                 NaN            NaN  0.660057       0.700908E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        97.3613                 NaN            NaN  0.799192       0.735004E-003   1.83882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.9722                 NaN            NaN  0.256806E-001  0.215366E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        97.9649                 NaN            NaN  0.108322                 NaN   1.92680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        97.9627                 NaN            NaN  0.100232                 NaN   1.93707                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        98.0061                 NaN            NaN  0.945043E-001            NaN   1.89939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        98.0527                 NaN            NaN  0.920696E-001            NaN   1.85524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.3782                 NaN            NaN  0.193911E-001            NaN  0.602430                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        96.8581                 NaN            NaN  0.152364                 NaN   2.98953                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        98.1748                 NaN            NaN  0.824278E-001            NaN   1.74279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        98.0802                 NaN            NaN  0.839107E-001            NaN   1.83590                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        98.3782                 NaN            NaN  0.718030E-001            NaN   1.55000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        98.2818                 NaN            NaN  0.576074E-001            NaN   1.66063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        98.3248                 NaN            NaN  0.858356E-001            NaN   1.58940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        98.3470                 NaN            NaN  0.646164E-001            NaN   1.58835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        98.3876                 NaN            NaN  0.685045E-001            NaN   1.54387                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        98.4147                 NaN            NaN  0.613820E-001            NaN   1.52396                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        98.4256                 NaN            NaN  0.512730E-001            NaN   1.52310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        98.4901                 NaN            NaN  0.573282E-001            NaN   1.45258                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        98.4986                 NaN            NaN  0.512454E-001            NaN   1.45020                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        98.5287                 NaN            NaN  0.484978E-001            NaN   1.42285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        98.5540                 NaN            NaN  0.455491E-001            NaN   1.40049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        98.5795                 NaN            NaN  0.416674E-001            NaN   1.37884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        98.6051                 NaN            NaN  0.405250E-001            NaN   1.35438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        98.6275                 NaN            NaN  0.380965E-001            NaN   1.33438                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        98.6539                 NaN            NaN  0.359647E-001            NaN   1.31018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.6769                 NaN            NaN  0.414927E-001            NaN   1.28166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.6957                 NaN            NaN  0.228585E-001            NaN   1.28143                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.7092                 NaN            NaN  0.254391E-001            NaN   1.26539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.7446                 NaN            NaN  0.293738E-001            NaN   1.22606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.7600                 NaN            NaN  0.193808E-001            NaN   1.22061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.7789                 NaN            NaN  0.209362E-001            NaN   1.20018                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.7974                 NaN            NaN  0.175740E-001            NaN   1.18504                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.8143                 NaN            NaN  0.138734E-001            NaN   1.17185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.8338                 NaN            NaN  0.168480E-001            NaN   1.14936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.8490                 NaN            NaN  0.540751E-002            NaN   1.14561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.8670                 NaN            NaN  0.665883E-002            NaN   1.12633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.8838                 NaN            NaN  0.631381E-002            NaN   1.10991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.9008                 NaN            NaN  0.391564E-002            NaN   1.09524                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.9425                 NaN            NaN  0.155165                 NaN  0.902290                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.9333                 NaN            NaN  0.828878E-002            NaN   1.05839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.9460                 NaN            NaN            NaN            NaN   1.05397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.9604                 NaN            NaN            NaN            NaN   1.03957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.9748                 NaN            NaN            NaN            NaN   1.02517                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.9876                 NaN            NaN            NaN            NaN   1.01239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        99.0046                 NaN            NaN            NaN            NaN  0.995450                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.6912                 NaN            NaN  0.684561E-002            NaN   1.30200                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        99.3472                 NaN            NaN            NaN            NaN  0.652755                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        99.0449                 NaN            NaN            NaN            NaN  0.955127                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        99.0566                 NaN            NaN            NaN            NaN  0.943374                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        99.0708                 NaN            NaN            NaN            NaN  0.929238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        99.0767                 NaN            NaN            NaN            NaN  0.923284                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        99.0878                 NaN            NaN            NaN            NaN  0.912155                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        99.0998                 NaN            NaN            NaN            NaN  0.900227                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        99.1108                 NaN            NaN            NaN            NaN  0.889175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.1181                 NaN            NaN            NaN            NaN  0.881850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.1264                 NaN            NaN            NaN            NaN  0.868677       0.488157E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0721                 NaN            NaN            NaN            NaN  0.498887       0.428965                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        98.9798                 NaN            NaN            NaN            NaN            NaN   1.02023                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        98.9926                 NaN            NaN            NaN            NaN            NaN   1.00742                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        98.9974                 NaN            NaN            NaN            NaN            NaN   1.00261                 NaN            NaN            NaN            NaN            NaN            NaN
