|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1522.27        500.000                 NaN            NaN            NaN   98.7786       0.584733                 NaN  0.636629                 NaN            NaN            NaN            NaN            NaN
  1520.88        500.000                 NaN            NaN            NaN   98.4001       0.513899                 NaN   1.08604                 NaN            NaN            NaN            NaN            NaN
  1519.50        500.000                 NaN            NaN            NaN   98.4279       0.509960                 NaN   1.06214                 NaN            NaN            NaN            NaN            NaN
  1518.12        500.000                 NaN            NaN            NaN   98.4548       0.501346                 NaN   1.04386                 NaN            NaN            NaN            NaN            NaN
  1516.74        500.000                 NaN            NaN            NaN   98.4729       0.492500                 NaN   1.03456                 NaN            NaN            NaN            NaN            NaN
  1515.36        500.000                 NaN            NaN            NaN   98.5005       0.483762                 NaN   1.01570                 NaN            NaN            NaN            NaN            NaN
  1513.98        500.000                 NaN            NaN            NaN   98.5203       0.471109                 NaN   1.00860                 NaN            NaN            NaN            NaN            NaN
  1512.59        500.000                 NaN            NaN            NaN   98.5478       0.468980                 NaN  0.983181                 NaN            NaN            NaN            NaN            NaN
  1511.21        500.000                 NaN            NaN            NaN   98.5683       0.462994                 NaN  0.968656                 NaN            NaN            NaN            NaN            NaN
  1509.83        500.000                 NaN            NaN            NaN   98.5893       0.455431                 NaN  0.955252                 NaN            NaN            NaN            NaN            NaN
  1508.45        500.000                 NaN            NaN            NaN   98.6089       0.446859                 NaN  0.944202                 NaN            NaN            NaN            NaN            NaN
  1507.07        500.000                 NaN            NaN            NaN   98.6315       0.438355                 NaN  0.930110                 NaN            NaN            NaN            NaN            NaN
  1505.69        500.000                 NaN            NaN            NaN   98.6462       0.434389                 NaN  0.919429                 NaN            NaN            NaN            NaN            NaN
  1504.30        500.000                 NaN            NaN            NaN   98.6738       0.426185                 NaN  0.900055                 NaN            NaN            NaN            NaN            NaN
  1502.92        500.000                 NaN            NaN            NaN   98.6898       0.419507                 NaN  0.890742                 NaN            NaN            NaN            NaN            NaN
  1501.54        500.000                 NaN            NaN            NaN   98.7072       0.411757                 NaN  0.881072                 NaN            NaN            NaN            NaN            NaN
  1500.16        500.000                 NaN            NaN            NaN   98.7255       0.404305                 NaN  0.870233                 NaN            NaN            NaN            NaN            NaN
  1498.78        500.000                 NaN            NaN            NaN   98.7436       0.399125                 NaN  0.857261                 NaN            NaN            NaN            NaN            NaN
  1497.40        500.000                 NaN            NaN            NaN   98.7602       0.392338                 NaN  0.847459                 NaN            NaN            NaN            NaN            NaN
  1496.01        500.000                 NaN            NaN            NaN   98.7781       0.386489                 NaN  0.835435                 NaN            NaN            NaN            NaN            NaN
  1494.63        500.000                 NaN            NaN            NaN   98.7913       0.379556                 NaN  0.829113                 NaN            NaN            NaN            NaN            NaN
  1493.25        500.000                 NaN            NaN            NaN   98.8119       0.371791                 NaN  0.816285                 NaN            NaN            NaN            NaN            NaN
  1491.87        500.000                 NaN            NaN            NaN   98.8249       0.366779                 NaN  0.808290                 NaN            NaN            NaN            NaN            NaN
  1490.49        500.000                 NaN            NaN            NaN   98.6290       0.422013                 NaN  0.949024                 NaN            NaN            NaN            NaN            NaN
  1489.11        500.000                 NaN            NaN            NaN   99.0659       0.289108                 NaN  0.645004                 NaN            NaN            NaN            NaN            NaN
  1487.72        500.000                 NaN            NaN            NaN   98.8710       0.347972                 NaN  0.781031                 NaN            NaN            NaN            NaN            NaN
  1486.34        500.000                 NaN            NaN            NaN   98.8863       0.341509                 NaN  0.772233                 NaN            NaN            NaN            NaN            NaN
  1484.96        500.000                 NaN            NaN            NaN   98.8997       0.335077                 NaN  0.765188                 NaN            NaN            NaN            NaN            NaN
  1483.58        500.000                 NaN            NaN            NaN   98.9134       0.331391                 NaN  0.755174                 NaN            NaN            NaN            NaN            NaN
  1482.20        500.000                 NaN            NaN            NaN   98.9246       0.325319                 NaN  0.750033                 NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN            NaN            NaN   98.9440       0.318885                 NaN  0.737099                 NaN            NaN            NaN            NaN            NaN
  1479.43        500.000                 NaN            NaN            NaN   98.9526       0.313786                 NaN  0.733653                 NaN            NaN            NaN            NaN            NaN
  1478.05        500.000                 NaN            NaN            NaN   98.9653       0.308358                 NaN  0.726333                 NaN            NaN            NaN            NaN            NaN
  1476.67        500.000                 NaN            NaN            NaN   98.9766       0.303719                 NaN  0.719666                 NaN            NaN            NaN            NaN            NaN
  1475.29        500.000                 NaN            NaN            NaN   98.9899       0.298653                 NaN  0.711410                 NaN            NaN            NaN            NaN            NaN
  1473.91        500.000                 NaN            NaN            NaN   99.0024       0.293483                 NaN  0.704126                 NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN            NaN            NaN   99.0071       0.288695                 NaN  0.704198                 NaN            NaN            NaN            NaN            NaN
  1471.14        500.000                 NaN            NaN            NaN   99.0302       0.281748                 NaN  0.688050                 NaN            NaN            NaN            NaN            NaN
  1469.76        500.000                 NaN            NaN            NaN   99.0344       0.278905                 NaN  0.686714                 NaN            NaN            NaN            NaN            NaN
  1468.38        500.000                 NaN            NaN            NaN   99.0458       0.273865                 NaN  0.680305                 NaN            NaN            NaN            NaN            NaN
  1467.00        500.000                 NaN            NaN            NaN   99.0561       0.269150                 NaN  0.674734                 NaN            NaN            NaN            NaN            NaN
  1465.62        500.000                 NaN            NaN            NaN   99.0654       0.264636                 NaN  0.669919                 NaN            NaN            NaN            NaN            NaN
  1464.24        500.000                 NaN            NaN            NaN   99.0755       0.260014                 NaN  0.664531                 NaN            NaN            NaN            NaN            NaN
  1462.85        500.000                 NaN            NaN            NaN   98.9573       0.289416                 NaN  0.753321                 NaN            NaN            NaN            NaN            NaN
  1461.47        500.000                 NaN            NaN            NaN   99.2227       0.215790                 NaN  0.561536                 NaN            NaN            NaN            NaN            NaN
  1460.09        500.000                 NaN            NaN            NaN   99.1028       0.245710                 NaN  0.651520                 NaN            NaN            NaN            NaN            NaN
  1458.71        500.000                 NaN            NaN            NaN   99.1133       0.243934                 NaN  0.642731                 NaN            NaN            NaN            NaN            NaN
  1457.33        500.000                 NaN            NaN            NaN   99.1216       0.237949                 NaN  0.640472                 NaN            NaN            NaN            NaN            NaN
  1455.95        500.000                 NaN            NaN            NaN   99.1297       0.233684                 NaN  0.636618                 NaN            NaN            NaN            NaN            NaN
  1454.56        500.000                 NaN            NaN            NaN   99.1387       0.230267                 NaN  0.630998                 NaN            NaN            NaN            NaN            NaN
  1453.18        500.000                 NaN            NaN            NaN   99.1422       0.212217                 NaN  0.619615       0.259898E-001            NaN            NaN            NaN            NaN
  1451.80        500.000                 NaN            NaN            NaN   99.1479       0.161563                 NaN  0.836591E-001  0.606869                 NaN            NaN            NaN            NaN
  1450.42        500.000                 NaN            NaN            NaN   99.1316       0.613513E-001            NaN  0.568528       0.238558                 NaN            NaN            NaN            NaN
  1449.04        500.000                 NaN            NaN            NaN   99.1378       0.472910E-002            NaN  0.555176       0.302339                 NaN            NaN            NaN            NaN
  1447.66        500.000                 NaN            NaN            NaN   99.1449       0.192142E-001            NaN  0.552997       0.282843                 NaN            NaN            NaN            NaN
  1446.27        500.000                 NaN            NaN            NaN   99.1514       0.181584E-001            NaN  0.282283       0.548114                 NaN            NaN            NaN            NaN
  1444.89        500.000                 NaN            NaN            NaN   99.1579       0.134064E-001            NaN  0.285556       0.543113                 NaN            NaN            NaN            NaN
  1443.51        500.000                 NaN            NaN            NaN   99.1629       0.108818E-001            NaN  0.286457       0.539805                 NaN            NaN            NaN            NaN
  1442.13        500.000                 NaN            NaN            NaN   99.1716       0.401658E-002            NaN  0.292020       0.532345                 NaN            NaN            NaN            NaN
  1440.75        500.000                 NaN            NaN            NaN   99.1779       0.211459E-001            NaN  0.270595       0.530317                 NaN            NaN            NaN            NaN
  1439.37        500.000                 NaN            NaN            NaN   99.1823                 NaN            NaN  0.292968       0.524688                 NaN            NaN            NaN            NaN
  1437.98        500.000                 NaN            NaN            NaN   99.1868                 NaN            NaN  0.291959       0.521209                 NaN            NaN            NaN            NaN
  1436.60        500.000                 NaN            NaN            NaN   99.1981                 NaN            NaN  0.288924       0.513013                 NaN            NaN            NaN            NaN
  1435.22        500.000                 NaN            NaN            NaN   99.2027       0.446438E-001            NaN  0.516270       0.236392                 NaN            NaN            NaN            NaN
  1433.84        500.000                 NaN            NaN            NaN   99.2071                 NaN            NaN  0.285521       0.507378                 NaN            NaN            NaN            NaN
  1432.46        500.000                 NaN            NaN            NaN   99.2127       0.123754E-001  0.137405E-005  0.504972       0.269944                 NaN            NaN            NaN            NaN
  1431.08        500.000                 NaN            NaN            NaN   99.2179                 NaN            NaN  0.500035       0.282081                 NaN            NaN            NaN            NaN
  1429.69        500.000                 NaN            NaN            NaN   99.2220                 NaN            NaN  0.497892       0.280153                 NaN            NaN            NaN            NaN
  1428.31        500.000                 NaN            NaN            NaN   99.2296                 NaN            NaN  0.277879       0.492541                 NaN            NaN            NaN            NaN
  1426.93        500.000                 NaN            NaN            NaN   99.2345                 NaN  0.895754E-006  0.277001       0.488456                 NaN            NaN            NaN            NaN
  1425.55        500.000                 NaN            NaN            NaN   99.2395                 NaN            NaN  0.275438       0.485102                 NaN            NaN            NaN            NaN
  1424.17        500.000                 NaN            NaN            NaN   99.2419                 NaN            NaN  0.274966       0.483158                 NaN            NaN            NaN            NaN
  1422.79        500.000                 NaN            NaN            NaN   99.2515                 NaN            NaN  0.271506       0.477042                 NaN            NaN            NaN            NaN
  1421.40        500.000                 NaN            NaN            NaN   99.2549                 NaN            NaN  0.270262       0.474861                 NaN            NaN            NaN            NaN
  1420.02        500.000                 NaN            NaN            NaN   99.2598                 NaN            NaN  0.471181       0.268987                 NaN            NaN            NaN            NaN
  1418.64        500.000                 NaN            NaN            NaN   99.2641                 NaN            NaN  0.267268       0.468646                 NaN            NaN            NaN            NaN
  1417.26        500.000                 NaN            NaN            NaN   99.2693                 NaN            NaN  0.464942       0.265723                 NaN            NaN            NaN            NaN
  1415.88        500.000                 NaN            NaN            NaN   99.2741                 NaN            NaN  0.264738       0.461123                 NaN            NaN            NaN            NaN
  1414.50        500.000                 NaN            NaN            NaN   99.2782                 NaN            NaN  0.458418       0.263402                 NaN            NaN            NaN            NaN
  1413.11        500.000                 NaN            NaN            NaN   99.2834                 NaN            NaN  0.454934       0.261628                 NaN            NaN            NaN            NaN
  1411.73        500.000                 NaN            NaN            NaN   99.2872                 NaN            NaN  0.260517       0.452254                 NaN            NaN            NaN            NaN
  1410.35        500.000                 NaN            NaN            NaN   99.2901                 NaN            NaN  0.259460       0.450409                 NaN            NaN            NaN            NaN
  1408.97        500.000                 NaN            NaN            NaN   99.2974                 NaN            NaN  0.445902       0.256691                 NaN            NaN            NaN            NaN
  1407.59        500.000                 NaN            NaN            NaN   99.3013                 NaN            NaN  0.256320       0.442333                 NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN            NaN            NaN   99.3045                 NaN  0.513988E-005  0.440100       0.255383                 NaN            NaN            NaN            NaN
  1404.82        500.000                 NaN            NaN            NaN   99.3092                 NaN            NaN  0.437120       0.253695                 NaN            NaN            NaN            NaN
  1403.44        500.000                 NaN            NaN            NaN   99.3129                 NaN            NaN  0.252306       0.434771                 NaN            NaN            NaN            NaN
  1402.06        500.000                 NaN            NaN            NaN   99.3176                 NaN            NaN  0.431098       0.251254                 NaN            NaN            NaN            NaN
  1400.68        500.000                 NaN            NaN            NaN   99.3208                 NaN  0.105067E-005  0.250218       0.429004                 NaN            NaN            NaN            NaN
  1399.30        500.000                 NaN            NaN            NaN   99.3249                 NaN            NaN  0.248855       0.426249                 NaN            NaN            NaN            NaN
  1397.92        500.000                 NaN            NaN            NaN   99.3286                 NaN            NaN  0.423664       0.247780                 NaN            NaN            NaN            NaN
  1396.53        500.000                 NaN            NaN            NaN   99.3324                 NaN            NaN  0.421090       0.246556                 NaN            NaN            NaN            NaN
  1395.15        500.000                 NaN            NaN            NaN   99.3362                 NaN            NaN  0.418299       0.245459                 NaN            NaN            NaN            NaN
  1393.77        500.000                 NaN            NaN            NaN   99.3394                 NaN            NaN  0.415946       0.244661                 NaN            NaN            NaN            NaN
  1392.39        500.000                 NaN            NaN            NaN   99.3435                 NaN            NaN  0.243203       0.413247                 NaN            NaN            NaN            NaN
  1391.01        500.000                 NaN            NaN            NaN   99.3465                 NaN            NaN  0.411126       0.242357                 NaN            NaN            NaN            NaN
  1389.63        500.000                 NaN            NaN            NaN   99.3503                 NaN            NaN  0.408658       0.241076                 NaN            NaN            NaN            NaN
  1388.24        500.000                 NaN            NaN            NaN   99.3529                 NaN            NaN  0.240155       0.406911                 NaN            NaN            NaN            NaN
  1386.86        500.000                 NaN            NaN            NaN   99.3569                 NaN            NaN  0.403801       0.239283                 NaN            NaN            NaN            NaN
  1385.48        500.000                 NaN            NaN            NaN   99.3593                 NaN            NaN  0.238127       0.402595                 NaN            NaN            NaN            NaN
  1384.10        500.000                 NaN            NaN            NaN   99.3639                 NaN            NaN  0.237099       0.398953                 NaN            NaN            NaN            NaN
  1382.72        500.000                 NaN            NaN            NaN   99.2116                 NaN            NaN  0.301779       0.403947       0.827121E-001            NaN            NaN            NaN
  1381.34        500.000                 NaN            NaN            NaN   98.5656                 NaN            NaN  0.427183       0.576243       0.431008                 NaN            NaN            NaN
  1379.95        500.000                 NaN            NaN            NaN   98.5841                 NaN            NaN  0.421196       0.569646       0.425101                 NaN            NaN            NaN
  1378.57        500.000                 NaN            NaN            NaN   98.6000                 NaN            NaN  0.563696       0.416402       0.419914                 NaN            NaN            NaN
  1377.19        500.000                 NaN            NaN            NaN   98.6173                 NaN            NaN  0.557683       0.410649       0.414324                 NaN            NaN            NaN
  1375.81        500.000                 NaN            NaN            NaN   98.6321                 NaN            NaN  0.552240       0.406262       0.409387                 NaN            NaN            NaN
  1374.43        500.000                 NaN            NaN            NaN   98.6499                 NaN  0.191383E-005  0.401280       0.545127       0.403738                 NaN            NaN            NaN
  1373.05        500.000                 NaN            NaN            NaN   98.6571                 NaN  0.138573       0.441381       0.332874       0.430029                 NaN            NaN            NaN
  1371.66        500.000                 NaN            NaN            NaN   98.6685                 NaN  0.220291       0.204326       0.463844       0.443019                 NaN            NaN            NaN
  1370.28        500.000                 NaN            NaN            NaN   98.6856                 NaN  0.221636       0.194893       0.459770       0.438148                 NaN            NaN            NaN
  1368.90        500.000                 NaN            NaN            NaN   98.7020                 NaN  0.223456       0.456162       0.184942       0.433394                 NaN            NaN            NaN
  1367.52        500.000                 NaN            NaN            NaN   98.7171                 NaN  0.224723       0.452764       0.176688       0.428745                 NaN            NaN            NaN
  1366.14        500.000                 NaN            NaN            NaN   98.7321                 NaN  0.226128       0.167764       0.449693       0.424361                 NaN            NaN            NaN
  1364.76        500.000                 NaN            NaN            NaN   98.7475                 NaN  0.227442       0.159209       0.446193       0.419609                 NaN            NaN            NaN
  1363.38        500.000                 NaN            NaN            NaN   98.7624                 NaN  0.228644       0.150870       0.443012       0.415055                 NaN            NaN            NaN
  1361.99        500.000                 NaN            NaN            NaN   98.7758                 NaN  0.230239       0.439874       0.142948       0.411142                 NaN            NaN            NaN
  1360.61        500.000                 NaN            NaN            NaN   98.7877                 NaN  0.232999       0.133805       0.437497       0.407965                 NaN            NaN            NaN
  1359.23        500.000                 NaN            NaN            NaN   98.8096                 NaN  0.230234       0.128751       0.431350       0.400079                 NaN            NaN            NaN
  1357.85        500.000                 NaN            NaN            NaN   98.8184                 NaN  0.233445       0.430508       0.119541       0.398118                 NaN            NaN            NaN
  1356.47        500.000                 NaN            NaN            NaN   98.8318                 NaN  0.234329       0.427592       0.112335       0.393896                 NaN            NaN            NaN
  1355.09        500.000                 NaN            NaN            NaN   98.8447                 NaN  0.235140       0.424729       0.105496       0.389889                 NaN            NaN            NaN
  1353.70        500.000                 NaN            NaN            NaN   98.8554                 NaN  0.236188       0.422349       0.993547E-001  0.386698                 NaN            NaN            NaN
  1352.32        500.000                 NaN            NaN            NaN   98.8716                 NaN  0.236595       0.419044       0.913742E-001  0.381389                 NaN            NaN            NaN
  1350.94        500.000                 NaN            NaN            NaN   98.8824                 NaN  0.238111       0.840381E-001  0.416928       0.378512                 NaN            NaN            NaN
  1349.56        500.000                 NaN            NaN            NaN   98.8951                 NaN  0.237532       0.801728E-001  0.413343       0.373851                 NaN            NaN            NaN
  1348.18        500.000                 NaN            NaN            NaN   98.9042                 NaN  0.238117       0.411269       0.753845E-001  0.371026                 NaN            NaN            NaN
  1346.80        500.000                 NaN            NaN            NaN   98.9179                 NaN  0.241767       0.410132       0.622643E-001  0.367924                 NaN            NaN            NaN
  1345.41        500.000                 NaN            NaN            NaN   98.9349                 NaN  0.237713       0.404473       0.621806E-001  0.360741                 NaN            NaN            NaN
  1344.03        500.000                 NaN            NaN            NaN   98.9423                 NaN  0.239361       0.402768       0.564831E-001  0.359068                 NaN            NaN            NaN
  1342.65        500.000                 NaN            NaN            NaN   98.9516                 NaN  0.239693       0.401105       0.516307E-001  0.355957                 NaN            NaN            NaN
  1341.27        500.000       0.514864E-002            NaN            NaN   98.9549                 NaN  0.232053       0.573810E-001  0.396822       0.353743                 NaN            NaN            NaN
  1339.89        500.000       0.183068E-001            NaN            NaN   98.9464                 NaN  0.212317       0.773639E-001  0.392514       0.353055                 NaN            NaN            NaN
  1338.51        500.000       0.280423E-001            NaN            NaN   98.9289                 NaN  0.175855       0.388559       0.127395       0.351299                 NaN            NaN            NaN
  1337.12        500.000       0.330029E-001            NaN            NaN   98.9463                 NaN  0.212835       0.403964       0.517464E-001  0.352173                 NaN            NaN            NaN
  1335.74        500.000       0.490603E-001            NaN            NaN   98.9158                 NaN  0.166978       0.110332       0.405688       0.352114                 NaN            NaN            NaN
  1334.36        500.000       0.681890E-001            NaN            NaN   98.8849                 NaN  0.139120       0.132261       0.420678       0.354817                 NaN            NaN            NaN
  1332.98        500.000       0.817749E-001            NaN            NaN   98.8697                 NaN  0.118902       0.428627       0.146142       0.354903                 NaN            NaN            NaN
  1331.60        500.000       0.981978E-001            NaN            NaN   98.8455                 NaN  0.940334E-001  0.164518       0.441392       0.356374                 NaN            NaN            NaN
  1330.22        500.000       0.113280                 NaN            NaN   98.8249                 NaN  0.708286E-001  0.180260       0.453562       0.357202                 NaN            NaN            NaN
  1328.83        500.000       0.124066                 NaN            NaN   98.8150                 NaN  0.534398E-001  0.190048       0.461103       0.356298                 NaN            NaN            NaN
  1327.45        500.000       0.130497                 NaN            NaN   98.8160                 NaN  0.419669E-001  0.194302       0.463533       0.353738                 NaN            NaN            NaN
  1326.07        500.000       0.135524                 NaN            NaN   98.8195                 NaN  0.320794E-001  0.464545       0.197549       0.350789                 NaN            NaN            NaN
  1324.69        500.000       0.132307                 NaN            NaN   98.8394                 NaN  0.790718E-001  0.115076       0.479997       0.354172                 NaN            NaN            NaN
  1323.31        500.000       0.141791                 NaN            NaN   98.8361                 NaN            NaN  0.453456       0.228489       0.340124                 NaN            NaN            NaN
  1321.93        500.000       0.141649                 NaN            NaN   98.8504                 NaN            NaN  0.449770       0.221796       0.336427                 NaN            NaN            NaN
  1320.54        500.000       0.138885                 NaN            NaN   98.8705                 NaN  0.197458E-001  0.184441       0.451834       0.334585                 NaN            NaN            NaN
  1319.16        500.000       0.139817                 NaN            NaN   98.8833                 NaN            NaN  0.439510       0.209744       0.327648                 NaN            NaN            NaN
  1317.78        500.000       0.137101                 NaN            NaN   98.9028                 NaN  0.148758E-001  0.180906       0.439249       0.325074                 NaN            NaN            NaN
  1316.40        500.000       0.137300                 NaN            NaN   98.9171                 NaN  0.193073E-003  0.428187       0.198635       0.318622                 NaN            NaN            NaN
  1315.02        500.000       0.135940                 NaN            NaN   98.9338                 NaN  0.699141E-004  0.422215       0.193832       0.314121                 NaN            NaN            NaN
  1313.64        500.000       0.133831                 NaN            NaN   98.9513                 NaN  0.222693E-002  0.416293       0.186510       0.309825                 NaN            NaN            NaN
  1312.25        500.000       0.131955                 NaN            NaN   98.9688                 NaN  0.366980E-002  0.410157       0.180032       0.305399                 NaN            NaN            NaN
  1310.87        500.000       0.130402                 NaN            NaN   98.9857                 NaN  0.330350E-002  0.403833       0.175968       0.300789                 NaN            NaN            NaN
  1309.49        500.000       0.129036                 NaN            NaN   99.0007                 NaN  0.156963E-003  0.396589       0.177270       0.296206                 NaN            NaN            NaN
  1308.11        500.000       0.126728                 NaN            NaN   99.0188                 NaN  0.322510E-002  0.390268       0.169005       0.291960                 NaN            NaN            NaN
  1306.73        500.000       0.125446                 NaN            NaN   99.0328                 NaN  0.917334E-006  0.384088       0.170109       0.287510                 NaN            NaN            NaN
  1305.35        500.000       0.123590                 NaN            NaN   99.0492                 NaN            NaN  0.166977       0.377034       0.283175                 NaN            NaN            NaN
  1303.96        500.000       0.115748                 NaN            NaN   99.1066                 NaN  0.758264E-001  0.422157                 NaN  0.279640                 NaN            NaN            NaN
  1302.58        500.000       0.115199                 NaN            NaN   99.0612                 NaN            NaN  0.337525       0.205595       0.280465                 NaN            NaN            NaN
  1301.20        500.000       0.118239                 NaN            NaN   99.0963                 NaN            NaN  0.358020       0.156989       0.270461                 NaN            NaN            NaN
  1299.82        500.000       0.116375                 NaN            NaN   99.1109                 NaN            NaN  0.153942       0.352358       0.266431                 NaN            NaN            NaN
  1298.44        500.000       0.114542                 NaN            NaN   99.1254                 NaN            NaN  0.346044       0.151501       0.262529                 NaN            NaN            NaN
  1297.06        500.000       0.112885                 NaN            NaN   99.1399                 NaN            NaN  0.340129       0.148474       0.258563                 NaN            NaN            NaN
  1295.67        500.000       0.111199                 NaN            NaN   99.1540                 NaN            NaN  0.334470       0.145616       0.254721                 NaN            NaN            NaN
  1294.29        500.000       0.109380                 NaN            NaN   99.1681                 NaN            NaN  0.328366       0.143300       0.250873                 NaN            NaN            NaN
  1292.91        500.000       0.107706                 NaN            NaN   99.1815                 NaN            NaN  0.322937       0.140641       0.247168                 NaN            NaN            NaN
  1291.53        500.000       0.106019                 NaN            NaN   99.1951                 NaN            NaN  0.317224       0.138203       0.243443                 NaN            NaN            NaN
  1290.15        500.000       0.104285                 NaN            NaN   99.2080                 NaN            NaN  0.136051       0.311778       0.239878                 NaN            NaN            NaN
  1288.77        500.000       0.102770                 NaN            NaN   99.2213                 NaN            NaN  0.133281       0.306346       0.236299                 NaN            NaN            NaN
  1287.38        500.000       0.100999                 NaN            NaN   99.2342                 NaN            NaN  0.300980       0.131229       0.232639                 NaN            NaN            NaN
  1286.00        500.000       0.994505E-001            NaN            NaN   99.2462                 NaN            NaN  0.295813       0.129190       0.229328                 NaN            NaN            NaN
  1284.62        500.000       0.978071E-001            NaN            NaN   99.2588                 NaN            NaN  0.290662       0.126940       0.225830                 NaN            NaN            NaN
  1283.24        500.000       0.962310E-001            NaN            NaN   99.2704                 NaN            NaN  0.125159       0.285587       0.222598                 NaN            NaN            NaN
  1281.86        500.000       0.945570E-001            NaN            NaN   99.2830                 NaN            NaN  0.280475       0.122972       0.219030                 NaN            NaN            NaN
  1280.48        500.000       0.930290E-001            NaN            NaN   99.2944                 NaN            NaN  0.121187       0.275552       0.215872                 NaN            NaN            NaN
  1279.09        500.000       0.914515E-001            NaN            NaN   99.3057                 NaN            NaN  0.270688       0.119436       0.212690                 NaN            NaN            NaN
  1277.71        500.000       0.898536E-001            NaN            NaN   99.3170                 NaN            NaN  0.265951       0.117638       0.209530                 NaN            NaN            NaN
  1276.33        500.000       0.883705E-001            NaN            NaN   99.3282                 NaN            NaN  0.115910       0.261152       0.206347                 NaN            NaN            NaN
  1274.95        500.000       0.867390E-001            NaN            NaN   99.3392                 NaN            NaN  0.256454       0.114410       0.203177                 NaN            NaN            NaN
  1273.57        500.000       0.853741E-001            NaN            NaN   99.3492                 NaN            NaN  0.252189       0.112819       0.200464                 NaN            NaN            NaN
  1272.19        500.000       0.838580E-001            NaN            NaN   99.3606                 NaN            NaN  0.247532       0.110849       0.197165                 NaN            NaN            NaN
  1270.80        500.000       0.823866E-001            NaN            NaN   99.3706                 NaN            NaN  0.243109       0.109572       0.194329                 NaN            NaN            NaN
  1269.42        500.000       0.809229E-001            NaN            NaN   99.3807                 NaN            NaN  0.108180       0.238723       0.191462                 NaN            NaN            NaN
  1268.04        500.000       0.795207E-001            NaN            NaN   99.3910                 NaN            NaN  0.234497       0.106536       0.188485                 NaN            NaN            NaN
  1266.66        500.000       0.780390E-001            NaN            NaN   99.4006                 NaN            NaN  0.230282       0.105349       0.185774                 NaN            NaN            NaN
