|6.6.6
Archiving\03_Data\eqLP/QFM_m4.75/TIS/TIS_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           iron           Ni             Sp(TH)         O(HP)          O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1942.31        500.000        98.1481       0.810829        1.03539       0.569960E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        98.1374       0.810986        1.04590       0.570019E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        98.1267       0.811144        1.05641       0.570079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        98.1161       0.811301        1.06692       0.570138E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        98.1054       0.811458        1.07744       0.570198E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.0947       0.811616        1.08796       0.570258E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.0840       0.811773        1.09848       0.570317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.0675       0.811975        1.11478       0.570408E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.0510       0.812176        1.13108       0.570499E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.0345       0.812378        1.14738       0.570590E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.0180       0.812580        1.16370       0.570681E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.0015       0.812781        1.18002       0.570772E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        97.9850       0.812982        1.19634       0.570863E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        97.9684       0.813184        1.21267       0.570954E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        97.9519       0.813385        1.22901       0.571045E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        97.9390       0.813558        1.24169       0.571117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        97.9262       0.813731        1.25437       0.571188E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.9133       0.813904        1.26705       0.571260E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.9005       0.814078        1.27974       0.571331E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        97.8876       0.814251        1.29243       0.571403E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        97.8747       0.814424        1.30513       0.571474E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        97.8619       0.814597        1.31783       0.571546E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        97.8490       0.814769        1.33054       0.571618E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        97.8366       0.814939        1.34274       0.571687E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        97.8242       0.815108        1.35494       0.571756E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        97.8119       0.815277        1.36715       0.571825E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        97.7995       0.815446        1.37936       0.571894E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        97.7871       0.815615        1.39157       0.571964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        97.7747       0.815783        1.40379       0.572033E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        97.7623       0.815952        1.41601       0.572102E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        97.7499       0.816121        1.42823       0.572171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        97.7380       0.816286        1.43996       0.572238E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        97.7261       0.816451        1.45169       0.572305E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        97.7142       0.816616        1.46342       0.572372E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        97.7023       0.816781        1.47515       0.572439E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        97.6904       0.816946        1.48689       0.572506E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        97.6785       0.817111        1.49863       0.572573E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        97.6666       0.817275        1.51037       0.572640E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        97.6547       0.817440        1.52212       0.572707E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        97.6433       0.817601        1.53338       0.572771E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        97.6319       0.817762        1.54464       0.572836E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        97.6205       0.817923        1.55590       0.572900E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        97.6090       0.818084        1.56716       0.572965E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        97.5976       0.818245        1.57843       0.573030E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        97.5862       0.818406        1.58970       0.573094E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        97.5747       0.818567        1.60098       0.573159E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        97.5633       0.818727        1.61225       0.573224E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        97.5524       0.818884        1.62303       0.573286E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        97.5414       0.819042        1.63381       0.573348E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        97.5305       0.819199        1.64459       0.573411E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        97.5195       0.819356        1.65538       0.573473E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        97.5086       0.819513        1.66617       0.573536E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        97.4976       0.819669        1.67696       0.573598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        97.4867       0.819826        1.68776       0.573660E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        97.4757       0.819983        1.69855       0.573723E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        97.4653       0.820136        1.70886       0.573783E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        97.4548       0.820290        1.71918       0.573843E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        97.4443       0.820443        1.72950       0.573903E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        97.4338       0.820596        1.73982       0.573964E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        97.4234       0.820749        1.75014       0.574024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        97.4129       0.820902        1.76046       0.574084E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        97.4024       0.821055        1.77079       0.574144E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        97.3919       0.821208        1.78112       0.574205E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        97.3819       0.821358        1.79098       0.574263E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        97.3719       0.821508        1.80084       0.574321E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        97.3619       0.821657        1.81070       0.574379E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        97.3519       0.821807        1.82057       0.574437E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        97.3419       0.821956        1.83044       0.574495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        97.3318       0.822106        1.84031       0.574553E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        97.3218       0.822255        1.85018       0.574612E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        97.3118       0.822405        1.86006       0.574670E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        97.3023       0.822550        1.86942       0.574726E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        97.2928       0.822696        1.87878       0.574782E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        97.2833       0.822842        1.88814       0.574837E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        97.2738       0.822987        1.89751       0.574893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        500.000        97.2642       0.823133        1.90687       0.574949E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        500.000        97.2547       0.823278        1.91624       0.575005E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        500.000        97.2452       0.823424        1.92562       0.575061E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        500.000        97.2357       0.823569        1.93499       0.575117E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        500.000        97.2266       0.823711        1.94390       0.575171E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        500.000        97.2176       0.823854        1.95280       0.575225E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        500.000        97.2085       0.823996        1.96171       0.575279E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        500.000        97.1995       0.824138        1.97062       0.575333E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        500.000        97.1904       0.824280        1.97954       0.575387E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        500.000        97.1814       0.824422        1.98845       0.575441E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        500.000        97.1723       0.824564        1.99737       0.575495E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        97.1632       0.824706        2.00629       0.575549E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        500.000        97.1545       0.824845        2.01485       0.575601E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        500.000        97.1458       0.824985        2.02341       0.575653E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        500.000        97.1371       0.825124        2.03197       0.575706E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        500.000        97.1284       0.825263        2.04054       0.575758E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        500.000        97.1199       0.825401        2.04895       0.575810E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        500.000        97.1081       0.825543        2.05693       0.575864E-002  0.369745E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        500.000        97.0927       0.825687        2.06440       0.575920E-002  0.114377E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        500.000        97.0774       0.825832        2.07187       0.575976E-002  0.191809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        500.000        97.0599       0.825977        2.07891       0.576034E-002  0.294535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        500.000        97.0424       0.826123        2.08594       0.576091E-002  0.397300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        500.000        97.0250       0.826268        2.09298       0.576148E-002  0.500104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        500.000        97.0075       0.826414        2.10001       0.576205E-002  0.602946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.00        500.000        96.3373       0.826562        2.07522       0.541242E-002  0.721776E-001  0.683285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.79        500.000        95.6105       0.826704        2.04679       0.502957E-002  0.840858E-001   1.42692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.59        500.000        94.8883       0.826837        2.01705       0.464424E-002  0.958768E-001   2.16732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.38        500.000        94.1659       0.826966        1.98730       0.425883E-002  0.107671        2.90792                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.18        500.000        93.4668       0.827071        1.95370       0.387308E-002  0.118982        3.62955                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1608.97        500.000        92.7676       0.827174        1.92008       0.348728E-002  0.130296        4.35133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.77        500.000        92.0683       0.827274        1.88646       0.310144E-002  0.141612        5.07325                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.56        500.000        91.3689       0.827371        1.85282       0.271555E-002  0.152931        5.79530                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.36        500.000        90.6693       0.827466        1.81918       0.232963E-002  0.164252        6.51749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.15        500.000        89.9696       0.827557        1.78552       0.194366E-002  0.175575        7.23979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.95        500.000        89.2698       0.827647        1.75185       0.155767E-002  0.186901        7.96221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.74        500.000        88.5700       0.827733        1.71818       0.117164E-002  0.198229        8.68473                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.54        500.000        87.8959       0.827793        1.68018       0.785861E-003  0.209081        9.38624                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.33        500.000        87.2218       0.827851        1.64217       0.400080E-003  0.219935        10.0878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.13        500.000        86.5603       0.827903        1.60376                 NaN  0.230549        10.7775                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.92        500.000        85.9164       0.827949        1.56499                 NaN  0.241089        11.4496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.72        500.000        85.2844       0.827980        1.52378                 NaN  0.251475        12.1124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.51        500.000        84.6524       0.828009        1.48257                 NaN  0.261862        12.7751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.31        500.000        84.0204       0.828035        1.44135                 NaN  0.272249        13.4379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.10        500.000        83.3885       0.828060        1.40013                 NaN  0.282636        14.1007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.90        500.000        82.7884       0.828053        1.35327                 NaN  0.292287        14.7380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.69        500.000        82.1884       0.828045        1.30640                 NaN  0.301937        15.3752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.49        500.000        81.5885       0.828035        1.25954                 NaN  0.311586        16.0123                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.28        500.000        80.9886       0.828022        1.21268                 NaN  0.321234        16.6494                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.08        500.000        80.3889       0.828008        1.16582                 NaN  0.330882        17.2864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.87        500.000        79.7892       0.827991        1.11897                 NaN  0.340529        17.9233                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.67        500.000        79.1896       0.827972        1.07212                 NaN  0.350175        18.5602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.46        500.000        78.5900       0.827952        1.02527                 NaN  0.359819        19.1969                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.26        500.000        78.0180       0.827905       0.973526                 NaN  0.369114        19.8115                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.05        500.000        77.4460       0.827857       0.921789                 NaN  0.378407        20.4259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.85        500.000        76.8831       0.827802       0.868982                 NaN  0.387518        21.0326                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.64        500.000        76.3200       0.827747       0.814821                 NaN  0.396399        21.6323                 NaN  0.873933E-002            NaN            NaN            NaN            NaN            NaN
  1522.44        500.000        75.2790       0.828792       0.802268                 NaN  0.387814        21.6455                 NaN   1.05663                 NaN            NaN            NaN            NaN            NaN
  1519.23        500.000        74.2354       0.829839       0.789684                 NaN  0.379207        21.6587                 NaN   2.10714                 NaN            NaN            NaN            NaN            NaN
  1516.03        500.000        73.1892       0.830887       0.777067                 NaN  0.370577        21.6720                 NaN   3.16027                 NaN            NaN            NaN            NaN            NaN
  1512.82        500.000        72.1405       0.831937       0.764420                 NaN  0.361925        21.6852                 NaN   4.21602                 NaN            NaN            NaN            NaN            NaN
  1509.62        500.000        71.1739       0.832888       0.748233                 NaN  0.350818        21.7170                 NaN   5.17717                 NaN            NaN            NaN            NaN            NaN
  1506.41        500.000        70.2052       0.833841       0.732009                 NaN  0.339686        21.7488                 NaN   6.14047                 NaN            NaN            NaN            NaN            NaN
  1503.21        500.000        69.2343       0.834795       0.715750                 NaN  0.328527        21.7808                 NaN   7.10592                 NaN            NaN            NaN            NaN            NaN
  1500.00        500.000        68.2612       0.835750       0.699454                 NaN  0.317343        21.8127                 NaN   8.07353                 NaN            NaN            NaN            NaN            NaN
  1496.79        500.000        67.2860       0.836706       0.683121                 NaN  0.306132        21.8447                 NaN   9.04332                 NaN            NaN            NaN            NaN            NaN
  1493.59        500.000        66.3086       0.837664       0.666751                 NaN  0.294895        21.8768                 NaN   10.0153                 NaN            NaN            NaN            NaN            NaN
  1490.38        500.000        65.3291       0.838623       0.650345                 NaN  0.283632        21.9089                 NaN   10.9894                 NaN            NaN            NaN            NaN            NaN
  1487.18        500.000        64.3474       0.839583       0.633902                 NaN  0.272342        21.9410                 NaN   11.9658                 NaN            NaN            NaN            NaN            NaN
  1483.97        500.000        62.8056       0.841135       0.615399                 NaN  0.323395        21.8859                 NaN   9.91613        3.61238                 NaN            NaN            NaN            NaN
  1480.77        500.000        60.9626       0.843043       0.598575                 NaN  0.398338        21.8097                 NaN   6.87724        8.51056                 NaN            NaN            NaN            NaN
  1477.56        500.000        59.1065       0.844981       0.582195                 NaN  0.471909        21.7479                 NaN   4.06375        13.1828                 NaN            NaN            NaN            NaN
  1474.36        500.000        57.1245       0.847235       0.582076                 NaN  0.507687        21.6991                 NaN   2.95641        1.03217        15.2508                 NaN            NaN            NaN
  1471.15        500.000        57.1229       0.847277       0.582081                 NaN  0.507720        21.6999                 NaN   2.95652        1.03221        15.2514                 NaN            NaN            NaN
  1467.95        500.000        53.3872       0.851418       0.571988                 NaN  0.575644        21.6671                 NaN   1.03028        3.12901        18.7874                 NaN            NaN            NaN
  1464.74        500.000        51.6371       0.853334       0.561155                 NaN  0.608886        21.6856                 NaN  0.162936        20.3567        4.13422                 NaN            NaN            NaN
  1461.54        500.000        49.9840       0.855201       0.554620                 NaN  0.624329        21.6856                 NaN            NaN   5.20416        21.0920                 NaN            NaN            NaN
  1458.33        500.000        49.9824       0.855238       0.554621                 NaN  0.624366        21.6863                 NaN            NaN   5.20430        21.0927                 NaN            NaN            NaN
  1455.13        500.000        49.9809       0.855275       0.554622                 NaN  0.624403        21.6870                 NaN            NaN   5.20445        21.0933                 NaN            NaN            NaN
  1451.92        500.000        49.9793       0.855313       0.554624                 NaN  0.624440        21.6877                 NaN            NaN   5.20460        21.0940                 NaN            NaN            NaN
  1448.72        500.000        49.9777       0.855350       0.554625                 NaN  0.624477        21.6884                 NaN            NaN   5.20475        21.0947                 NaN            NaN            NaN
  1445.51        500.000        49.9761       0.855387       0.554627                 NaN  0.624514        21.6891                 NaN            NaN   5.20490        21.0953                 NaN            NaN            NaN
  1442.31        500.000        49.9746       0.855425       0.554628                 NaN  0.624551        21.6898                 NaN            NaN   5.20505        21.0960                 NaN            NaN            NaN
  1439.10        500.000        49.9730       0.855462       0.554630                 NaN  0.624587        21.6905                 NaN            NaN   5.20520        21.0966                 NaN            NaN            NaN
  1435.90        500.000        38.9736       0.866651       0.363665                 NaN  0.725438        22.4993                 NaN            NaN   12.6281        23.9433                 NaN            NaN            NaN
  1432.69        500.000        38.9722       0.866681       0.363663                 NaN  0.725476        22.4998                 NaN            NaN   12.6283        23.9439                 NaN            NaN            NaN
  1429.49        500.000        38.9708       0.866711       0.363661                 NaN  0.725513        22.5003                 NaN            NaN   12.6286        23.9444                 NaN            NaN            NaN
  1426.28        500.000        38.9694       0.866741       0.363659                 NaN  0.725550        22.5009                 NaN            NaN   12.6288        23.9450                 NaN            NaN            NaN
  1423.08        500.000        34.6363       0.870334       0.170792                 NaN  0.785947        23.4753                 NaN            NaN   24.4052        15.6560                 NaN            NaN            NaN
  1419.87        500.000        33.2348       0.871418       0.124213                 NaN  0.799030        23.7523                 NaN            NaN   16.3936        24.6266       0.198067                 NaN            NaN
  1416.67        500.000        30.5638       0.873454       0.106893                 NaN  0.800091        24.0079                 NaN            NaN   17.1884        25.4031        1.05641                 NaN            NaN
  1413.46        500.000        30.5626       0.873478       0.106892                 NaN  0.800127        24.0083                 NaN            NaN   17.1886        25.4035        1.05649                 NaN            NaN
  1410.26        500.000        26.2063       0.876381       0.301420E-001            NaN  0.802898        24.7182                 NaN            NaN   26.3824        18.4950        2.48869                 NaN            NaN
  1407.05        500.000        24.3265       0.877678                 NaN            NaN  0.804252        25.0029                 NaN            NaN   19.0340        26.8377        3.11695                 NaN            NaN
  1403.85        500.000        22.5883       0.879113                 NaN            NaN  0.805257        25.0960                 NaN            NaN   19.4851        27.4431        3.70304                 NaN            NaN
  1400.64        500.000        22.5874       0.879130                 NaN            NaN  0.805288        25.0962                 NaN            NaN   19.4853        27.4434        3.70329                 NaN            NaN
  1397.44        500.000        19.5858       0.881602                 NaN            NaN  0.807192        25.2507                 NaN            NaN   28.5114        20.2219        4.74140                 NaN            NaN
  1394.23        500.000        19.5851       0.881617                 NaN            NaN  0.807221        25.2509                 NaN            NaN   28.5116        20.2219        4.74171                 NaN            NaN
  1391.03        500.000        19.5843       0.881632                 NaN            NaN  0.807249        25.2510                 NaN            NaN   28.5118        20.2220        4.74202                 NaN            NaN
  1387.82        500.000        19.5835       0.881647                 NaN            NaN  0.807277        25.2512                 NaN            NaN   28.5119        20.2221        4.74233                 NaN            NaN
  1384.62        500.000        15.0100       0.885427                 NaN            NaN  0.811256        25.4621                 NaN            NaN   30.2461        21.1631        6.42200                 NaN            NaN
  1381.41        500.000        15.0094       0.885438                 NaN            NaN  0.811281        25.4622                 NaN            NaN   30.2462        21.1631        6.42240                 NaN            NaN
