|6.6.6
Archiving\03_Data\eqfracLP/QFM_m5/YM20/YM20_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          17
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        Opx(TH)        O(HP)          O(HP)          pxmn           Cpx(TH)        Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            q             
  1520.61        500.000                 NaN   99.4847       0.498018                 NaN  0.172997E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.23        500.000                 NaN   99.4875       0.496450                 NaN  0.160318E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.86        500.000                 NaN   99.4910       0.493653                 NaN  0.153551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.49        500.000                 NaN   99.4961       0.486836                 NaN  0.170857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.11        500.000                 NaN   99.4469       0.538520                 NaN  0.145633E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        500.000                 NaN   99.6984       0.294313                 NaN  0.730522E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.37        500.000                 NaN   99.2890       0.710978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.99        500.000                 NaN   99.9990                 NaN            NaN  0.104079E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.62        500.000                 NaN   99.0917       0.865894                 NaN  0.423670E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        500.000                 NaN   99.5153       0.473942                 NaN  0.107689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.87        500.000                 NaN   99.5179       0.471136                 NaN  0.109350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.50        500.000                 NaN   99.5190       0.471907                 NaN  0.912143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.12        500.000                 NaN   99.5230       0.472117                 NaN  0.488822E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.75        500.000                 NaN   99.5248       0.472865                 NaN  0.228980E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        500.000                 NaN   99.5298       0.453478                 NaN  0.166912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.00        500.000                 NaN   99.5317       0.460560                 NaN  0.772615E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.63        500.000                 NaN   99.5347       0.461518                 NaN  0.382274E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.26        500.000                 NaN   99.5374       0.453496                 NaN  0.911183E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.88        500.000                 NaN   99.5417       0.442610                 NaN  0.156781E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.51        500.000                 NaN   99.5421       0.457423                 NaN  0.500560E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.13        500.000                 NaN   99.5446       0.455409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.76        500.000                 NaN   99.5498       0.441347                 NaN  0.884552E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.39        500.000                 NaN   97.4374        2.17119       0.306619       0.392756E-002  0.808706E-001  0.743072E-016            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.01        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.64        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.89        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        500.000                 NaN   99.8173       0.182702                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.15        500.000                 NaN   99.4747       0.525310                 NaN  0.214086E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.77        500.000                 NaN   99.6601       0.339843                 NaN  0.103586E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.40        500.000                 NaN   99.5704       0.429559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.02        500.000                 NaN   99.5737       0.426306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.65        500.000                 NaN   99.5755       0.424496                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.28        500.000                 NaN   99.5763       0.423678                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.90        500.000                 NaN   99.5102       0.172590                 NaN            NaN            NaN            NaN  0.317175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        500.000                 NaN   99.4650       0.668353E-002            NaN            NaN            NaN            NaN  0.528314                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.16        500.000                 NaN   99.4660       0.292093E-002            NaN            NaN            NaN            NaN  0.531047                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.78        500.000                 NaN   99.4662       0.578742E-002            NaN            NaN            NaN            NaN  0.528061                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.41        500.000                 NaN   99.4669                 NaN            NaN            NaN            NaN            NaN  0.533060                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.04        500.000                 NaN   99.4703       0.447025E-001            NaN            NaN            NaN            NaN  0.485040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.66        500.000                 NaN   99.4689       0.201782E-001            NaN            NaN            NaN            NaN  0.510907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1464.29        500.000                 NaN   99.5748       0.191390                 NaN            NaN            NaN            NaN  0.233859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.91        500.000                 NaN   99.3672                 NaN            NaN            NaN            NaN            NaN  0.632824                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        500.000                 NaN   99.4650                 NaN            NaN            NaN            NaN            NaN  0.535045                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.17        500.000                 NaN   99.4657                 NaN            NaN            NaN            NaN            NaN  0.534282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.79        500.000                 NaN   99.4651                 NaN            NaN            NaN            NaN            NaN  0.534932                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.42        500.000                 NaN   99.4626                 NaN            NaN            NaN            NaN            NaN  0.537439                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.05        500.000                 NaN   99.2711                 NaN            NaN            NaN            NaN            NaN  0.307121       0.421794                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.67        500.000                 NaN   99.1531                 NaN            NaN            NaN            NaN            NaN  0.344960       0.501935                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.30        500.000                 NaN   99.1605                 NaN            NaN            NaN            NaN            NaN  0.497980       0.341499                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.93        500.000                 NaN   99.1689                 NaN            NaN            NaN            NaN            NaN  0.493559       0.337560                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        500.000                 NaN   99.1772                 NaN            NaN            NaN            NaN            NaN  0.488477       0.334283                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.18        500.000                 NaN   98.8686                 NaN            NaN            NaN            NaN            NaN  0.459030       0.672322                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.80        500.000                 NaN   99.5809                 NaN            NaN            NaN            NaN            NaN  0.249001       0.170075                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.43        500.000                 NaN   99.1266                 NaN            NaN            NaN            NaN            NaN  0.353756       0.519682                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.06        500.000                 NaN   99.2058                 NaN            NaN            NaN            NaN            NaN  0.321171       0.473042                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.68        500.000                 NaN   99.2135                 NaN            NaN            NaN            NaN            NaN  0.468877       0.317600                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.31        500.000                 NaN   99.2200                 NaN            NaN            NaN            NaN            NaN  0.314444       0.465551                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.94        500.000                 NaN   99.2272                 NaN            NaN            NaN            NaN            NaN  0.311505       0.461341                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        500.000                 NaN   99.2340                 NaN            NaN            NaN            NaN            NaN  0.308515       0.457441                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.19        500.000                 NaN   99.2400                 NaN            NaN            NaN            NaN            NaN  0.305641       0.454361                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.82        500.000                 NaN   99.2478                 NaN            NaN            NaN            NaN            NaN  0.301784       0.450441                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.44        500.000                 NaN   99.2529                 NaN            NaN            NaN            NaN            NaN  0.299809       0.447338                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.07        500.000                 NaN   99.2613                 NaN            NaN            NaN            NaN            NaN  0.296072       0.442629                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.69        500.000                 NaN   99.2664                 NaN            NaN            NaN            NaN            NaN  0.293695       0.439889                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.32        500.000                 NaN   99.2725                 NaN            NaN            NaN            NaN            NaN  0.436628       0.290832                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.95        500.000                 NaN   98.5275                 NaN            NaN            NaN            NaN            NaN  0.524246       0.622023                 NaN  0.326234                 NaN            NaN            NaN            NaN
  1428.57        500.000                 NaN   97.9362                 NaN            NaN            NaN            NaN            NaN  0.588769       0.885726                 NaN  0.589274                 NaN            NaN            NaN            NaN
  1427.20        500.000                 NaN   97.9805                 NaN            NaN            NaN            NaN            NaN  0.576744       0.866099                 NaN  0.576680                 NaN            NaN            NaN            NaN
  1425.83        500.000                 NaN   98.0230                 NaN            NaN            NaN            NaN            NaN  0.564285       0.847862                 NaN  0.564828                 NaN            NaN            NaN            NaN
  1424.45        500.000                 NaN   98.0625                 NaN            NaN            NaN            NaN            NaN  0.831288       0.552285                 NaN  0.553903                 NaN            NaN            NaN            NaN
  1423.08        500.000                 NaN   98.1018                 NaN            NaN            NaN            NaN            NaN  0.813783       0.541473                 NaN  0.542930                 NaN            NaN            NaN            NaN
  1421.71        500.000                 NaN   98.1392                 NaN            NaN            NaN            NaN            NaN  0.529908       0.798435                 NaN  0.532440                 NaN            NaN            NaN            NaN
  1420.33        500.000                 NaN   98.1753                 NaN            NaN            NaN            NaN            NaN  0.519679       0.782747                 NaN  0.522307                 NaN            NaN            NaN            NaN
  1418.96        500.000                 NaN   98.2097                 NaN            NaN            NaN            NaN            NaN  0.509626       0.768095                 NaN  0.512569                 NaN            NaN            NaN            NaN
  1417.58        500.000                 NaN   98.2440                 NaN            NaN            NaN            NaN            NaN  0.753747       0.499326                 NaN  0.502950                 NaN            NaN            NaN            NaN
  1416.21        500.000                 NaN   98.2764                 NaN            NaN            NaN            NaN            NaN  0.490183       0.739666                 NaN  0.493754                 NaN            NaN            NaN            NaN
  1414.84        500.000                 NaN   98.3074                 NaN            NaN            NaN            NaN            NaN  0.480020       0.727274                 NaN  0.485268                 NaN            NaN            NaN            NaN
  1413.46        500.000                 NaN   98.3403                 NaN            NaN            NaN            NaN            NaN  0.471338       0.712709                 NaN  0.475653                 NaN            NaN            NaN            NaN
  1412.09        500.000                 NaN   98.1524                 NaN            NaN            NaN            NaN            NaN  0.565760       0.678693                 NaN  0.548046       0.550944E-001            NaN            NaN            NaN
  1410.72        500.000                 NaN   98.2570                 NaN            NaN            NaN            NaN            NaN  0.537532       0.634672                 NaN  0.514990       0.558291E-001            NaN            NaN            NaN
  1409.34        500.000                 NaN   98.2554                 NaN            NaN            NaN            NaN            NaN  0.537513       0.633421                 NaN  0.517549       0.560994E-001            NaN            NaN            NaN
  1407.97        500.000                 NaN   98.2931                 NaN            NaN            NaN            NaN            NaN  0.525911       0.619752                 NaN  0.506532       0.547287E-001            NaN            NaN            NaN
  1406.60        500.000                 NaN   98.3356                 NaN            NaN            NaN            NaN            NaN  0.605904       0.511972                 NaN  0.493871       0.526721E-001            NaN            NaN            NaN
  1405.22        500.000                 NaN   98.3650                 NaN            NaN            NaN            NaN            NaN  0.502541       0.595633                 NaN  0.485484       0.513406E-001            NaN            NaN            NaN
  1403.85        500.000                 NaN   98.4107                 NaN            NaN            NaN            NaN            NaN  0.580455       0.487969                 NaN  0.471471       0.494008E-001            NaN            NaN            NaN
  1402.47        500.000                 NaN   98.4382                 NaN            NaN            NaN            NaN            NaN  0.478917       0.571111                 NaN  0.463601       0.482028E-001            NaN            NaN            NaN
  1401.10        500.000                 NaN   98.4744                 NaN            NaN            NaN            NaN            NaN  0.558806       0.467366                 NaN  0.452763       0.467058E-001            NaN            NaN            NaN
  1399.73        500.000                 NaN   98.5042                 NaN            NaN            NaN            NaN            NaN  0.548258       0.458144                 NaN  0.444010       0.453684E-001            NaN            NaN            NaN
  1398.35        500.000                 NaN   98.5344                 NaN            NaN            NaN            NaN            NaN  0.448078       0.538317                 NaN  0.435208       0.440348E-001            NaN            NaN            NaN
  1396.98        500.000                 NaN   98.5664                 NaN            NaN            NaN            NaN            NaN  0.527568       0.437926                 NaN  0.425408       0.426676E-001            NaN            NaN            NaN
  1395.61        500.000                 NaN   98.5936                 NaN            NaN            NaN            NaN            NaN  0.429173       0.518221                 NaN  0.417362       0.416412E-001            NaN            NaN            NaN
  1394.23        500.000                 NaN   98.6217                 NaN            NaN            NaN            NaN            NaN  0.509102       0.419849                 NaN  0.409020       0.402811E-001            NaN            NaN            NaN
  1392.86        500.000                 NaN   98.6481                 NaN            NaN            NaN            NaN            NaN  0.411593       0.499964                 NaN  0.401167       0.391670E-001            NaN            NaN            NaN
  1391.49        500.000                 NaN   98.6736                 NaN            NaN            NaN            NaN            NaN  0.402836       0.492085                 NaN  0.393623       0.378669E-001            NaN            NaN            NaN
  1390.11        500.000                 NaN   98.7000                 NaN            NaN            NaN            NaN            NaN  0.394800       0.482748                 NaN  0.385589       0.368407E-001            NaN            NaN            NaN
  1388.74        500.000                 NaN   98.7238                 NaN            NaN            NaN            NaN            NaN  0.386949       0.474956                 NaN  0.378449       0.358005E-001            NaN            NaN            NaN
  1387.36        500.000                 NaN   98.7474                 NaN            NaN            NaN            NaN            NaN  0.379139       0.467255                 NaN  0.371444       0.347742E-001            NaN            NaN            NaN
  1385.99        500.000                 NaN   98.7699                 NaN            NaN            NaN            NaN            NaN  0.371854       0.459785                 NaN  0.364723       0.337431E-001            NaN            NaN            NaN
  1384.62        500.000                 NaN   98.7927                 NaN            NaN            NaN            NaN            NaN  0.452021       0.364686                 NaN  0.357783       0.327766E-001            NaN            NaN            NaN
  1383.24        500.000                 NaN   98.8137                 NaN            NaN            NaN            NaN            NaN  0.445164       0.357584                 NaN  0.351624       0.319068E-001            NaN            NaN            NaN
  1381.87        500.000                 NaN   98.8355                 NaN            NaN            NaN            NaN            NaN  0.437959       0.350700                 NaN  0.344898       0.309266E-001            NaN            NaN            NaN
  1380.50        500.000                 NaN   98.8553                 NaN            NaN            NaN            NaN            NaN  0.344095       0.431602                 NaN  0.339001       0.299750E-001            NaN            NaN            NaN
  1379.12        500.000                 NaN   98.8751                 NaN            NaN            NaN            NaN            NaN  0.337727       0.425016                 NaN  0.333052       0.291502E-001            NaN            NaN            NaN
  1377.75        500.000                 NaN   98.8942                 NaN            NaN            NaN            NaN            NaN  0.331236       0.419061                 NaN  0.327255       0.282014E-001            NaN            NaN            NaN
  1376.38        500.000                 NaN   98.9126                 NaN            NaN            NaN            NaN            NaN  0.412924       0.325266                 NaN  0.321769       0.274083E-001            NaN            NaN            NaN
  1375.00        500.000                 NaN   98.9315                 NaN            NaN            NaN            NaN            NaN  0.318827       0.407001                 NaN  0.316056       0.266064E-001            NaN            NaN            NaN
  1373.63        500.000                 NaN   98.9431                 NaN            NaN            NaN            NaN            NaN  0.403521       0.314815                 NaN  0.312652       0.259491E-001            NaN            NaN            NaN
  1372.25        500.000                 NaN   98.9721                 NaN            NaN            NaN            NaN            NaN  0.305849       0.393812                 NaN  0.303499       0.247580E-001            NaN            NaN            NaN
  1370.88        500.000                 NaN   98.9823                 NaN            NaN            NaN            NaN            NaN  0.390600       0.302262                 NaN  0.300619       0.242144E-001            NaN            NaN            NaN
  1369.51        500.000                 NaN   98.9990                 NaN            NaN            NaN            NaN            NaN  0.296764       0.385196                 NaN  0.295582       0.234842E-001            NaN            NaN            NaN
  1368.13        500.000                 NaN   99.0159                 NaN            NaN            NaN            NaN            NaN  0.291023       0.380052                 NaN  0.290349       0.227196E-001            NaN            NaN            NaN
  1366.76        500.000                 NaN   99.0301                 NaN            NaN            NaN            NaN            NaN  0.376068       0.285742                 NaN  0.286098       0.219662E-001            NaN            NaN            NaN
  1365.39        500.000                 NaN   99.0464                 NaN            NaN            NaN            NaN            NaN  0.370153       0.281081                 NaN  0.281088       0.213238E-001            NaN            NaN            NaN
  1364.01        500.000                 NaN   99.0604                 NaN            NaN            NaN            NaN            NaN  0.365933       0.276193                 NaN  0.276821       0.206289E-001            NaN            NaN            NaN
  1362.64        500.000                 NaN   99.0750                 NaN            NaN            NaN            NaN            NaN  0.271328       0.361312                 NaN  0.272427       0.199602E-001            NaN            NaN            NaN
  1361.27        500.000                 NaN   99.0888                 NaN            NaN            NaN            NaN            NaN  0.266613       0.357122                 NaN  0.268206       0.192774E-001            NaN            NaN            NaN
  1359.89        500.000                 NaN   99.1025                 NaN            NaN            NaN            NaN            NaN  0.352549       0.262148                 NaN  0.264053       0.187370E-001            NaN            NaN            NaN
  1358.52        500.000                 NaN   99.1162                 NaN            NaN            NaN            NaN            NaN  0.348560       0.257466                 NaN  0.259788       0.179929E-001            NaN            NaN            NaN
  1357.14        500.000                 NaN   99.1290                 NaN            NaN            NaN            NaN            NaN  0.253098       0.344575                 NaN  0.255900       0.174002E-001            NaN            NaN            NaN
  1355.77        500.000                 NaN   99.1417                 NaN            NaN            NaN            NaN            NaN  0.248899       0.340535                 NaN  0.251998       0.168226E-001            NaN            NaN            NaN
  1354.40        500.000                 NaN   99.1541                 NaN            NaN            NaN            NaN            NaN  0.336714       0.244775                 NaN  0.248241       0.162061E-001            NaN            NaN            NaN
  1353.02        500.000                 NaN   99.1666                 NaN            NaN            NaN            NaN            NaN  0.240360       0.333137                 NaN  0.244355       0.155640E-001            NaN            NaN            NaN
  1351.65        500.000                 NaN   99.1781                 NaN            NaN            NaN            NaN            NaN  0.236436       0.329512                 NaN  0.240859       0.150440E-001            NaN            NaN            NaN
  1350.28        500.000                 NaN   99.1896                 NaN            NaN            NaN            NaN            NaN  0.232545       0.326084                 NaN  0.237322       0.144803E-001            NaN            NaN            NaN
  1348.90        500.000                 NaN   99.2014                 NaN            NaN            NaN            NaN            NaN  0.228742       0.322103                 NaN  0.233685       0.140258E-001            NaN            NaN            NaN
  1347.53        500.000                 NaN   99.2121                 NaN            NaN            NaN            NaN            NaN  0.319155       0.224934                 NaN  0.230421       0.134181E-001            NaN            NaN            NaN
  1346.16        500.000                 NaN   99.2234                 NaN            NaN            NaN            NaN            NaN  0.220754       0.316145                 NaN  0.226925       0.127818E-001            NaN            NaN            NaN
  1344.78        500.000                 NaN   99.2340                 NaN            NaN            NaN            NaN            NaN  0.312658       0.217382                 NaN  0.223660       0.122932E-001            NaN            NaN            NaN
  1343.41        500.000                 NaN   99.2440                 NaN            NaN            NaN            NaN            NaN  0.213580       0.309993                 NaN  0.220637       0.118277E-001            NaN            NaN            NaN
  1342.03        500.000                 NaN   99.2550                 NaN            NaN            NaN            NaN            NaN  0.210073       0.306546                 NaN  0.217140       0.112516E-001            NaN            NaN            NaN
  1340.66        500.000                 NaN   99.2643                 NaN            NaN            NaN            NaN            NaN  0.304171       0.206468                 NaN  0.214337       0.106930E-001            NaN            NaN            NaN
  1339.29        500.000                 NaN   99.2740                 NaN            NaN            NaN            NaN            NaN  0.301084       0.203418                 NaN  0.211297       0.102294E-001            NaN            NaN            NaN
  1337.91        500.000                 NaN   99.2831                 NaN            NaN            NaN            NaN            NaN  0.200254       0.298442                 NaN  0.208501       0.974034E-002            NaN            NaN            NaN
  1336.54        500.000                 NaN   99.2933                 NaN            NaN            NaN            NaN            NaN  0.196727       0.295407                 NaN  0.205306       0.927120E-002            NaN            NaN            NaN
  1335.17        500.000                 NaN   99.3019                 NaN            NaN            NaN            NaN            NaN  0.193619       0.293031                 NaN  0.202690       0.880153E-002            NaN            NaN            NaN
  1333.79        500.000                 NaN   99.3109                 NaN            NaN            NaN            NaN            NaN  0.190510       0.290492                 NaN  0.199862       0.825123E-002            NaN            NaN            NaN
  1332.42        500.000                 NaN   99.3195                 NaN            NaN            NaN            NaN            NaN  0.288225       0.187225                 NaN  0.197244       0.780634E-002            NaN            NaN            NaN
  1331.05        500.000                 NaN   99.3284                 NaN            NaN            NaN            NaN            NaN  0.285670       0.184179                 NaN  0.194404       0.733679E-002            NaN            NaN            NaN
  1329.67        500.000                 NaN   99.3366                 NaN            NaN            NaN            NaN            NaN  0.181398       0.283206                 NaN  0.191887       0.689869E-002            NaN            NaN            NaN
  1328.30        500.000                 NaN   99.3445                 NaN            NaN            NaN            NaN            NaN  0.178423       0.281175                 NaN  0.189486       0.646410E-002            NaN            NaN            NaN
  1326.92        500.000                 NaN   99.3534                 NaN            NaN            NaN            NaN            NaN  0.175347       0.278490                 NaN  0.186690       0.604805E-002            NaN            NaN            NaN
  1325.55        500.000                 NaN   99.3607                 NaN            NaN            NaN            NaN            NaN  0.172705       0.276633                 NaN  0.184375       0.557470E-002            NaN            NaN            NaN
  1324.18        500.000                 NaN   99.3687                 NaN            NaN            NaN            NaN            NaN  0.274238       0.169941                 NaN  0.181931       0.519542E-002            NaN            NaN            NaN
  1322.80        500.000                 NaN   99.3760                 NaN            NaN            NaN            NaN            NaN  0.272229       0.167325                 NaN  0.179647       0.478723E-002            NaN            NaN            NaN
  1321.43        500.000                 NaN   99.3837                 NaN            NaN            NaN            NaN            NaN  0.270213       0.164528                 NaN  0.177233       0.431202E-002            NaN            NaN            NaN
  1320.06        500.000                 NaN   99.3908                 NaN            NaN            NaN            NaN            NaN  0.161672       0.268528                 NaN  0.175071       0.392836E-002            NaN            NaN            NaN
  1318.68        500.000                 NaN   99.3983                 NaN            NaN            NaN            NaN            NaN  0.159050       0.266427                 NaN  0.172702       0.350782E-002            NaN            NaN            NaN
  1317.31        500.000                 NaN   99.4033                 NaN            NaN            NaN            NaN            NaN  0.157127       0.265180                 NaN  0.171214       0.313340E-002            NaN            NaN            NaN
  1315.94        500.000                 NaN   99.4135                 NaN            NaN            NaN            NaN            NaN  0.262461       0.153506                 NaN  0.167875       0.262493E-002            NaN            NaN            NaN
  1314.56        500.000                 NaN   99.4189                 NaN            NaN            NaN            NaN            NaN  0.151473       0.261016                 NaN  0.166281       0.230460E-002            NaN            NaN            NaN
  1313.19        500.000                 NaN   99.4252                 NaN            NaN            NaN            NaN            NaN  0.259461       0.149081                 NaN  0.164318       0.190186E-002            NaN            NaN            NaN
  1311.81        500.000                 NaN   99.4319                 NaN            NaN            NaN            NaN            NaN  0.257721       0.146647                 NaN  0.162188       0.149531E-002            NaN            NaN            NaN
