|6.6.6
Archiving\03_Data\Deqfrac/QFM_m4.75/YM20/YM20_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             iron           San(TH)        ilm            ne             lc            
  1444.95        2500.00        97.4325                 NaN  0.300464                 NaN  0.630003       0.849773       0.787285                 NaN            NaN            NaN            NaN            NaN
  1443.40        2500.00        97.4874                 NaN  0.298519                 NaN  0.834677       0.608540       0.770835                 NaN            NaN            NaN            NaN            NaN
  1441.85        2500.00        97.5354                 NaN  0.297308                 NaN  0.588343       0.822672       0.756260                 NaN            NaN            NaN            NaN            NaN
  1440.30        2500.00        97.5895                 NaN  0.300144                 NaN  0.557201       0.812026       0.741081                 NaN            NaN            NaN            NaN            NaN
  1438.75        2500.00        97.6387                 NaN  0.288044                 NaN  0.555564       0.793143       0.724595                 NaN            NaN            NaN            NaN            NaN
  1437.20        2500.00        97.7477                 NaN  0.284495                 NaN  0.765651       0.509294       0.692877                 NaN            NaN            NaN            NaN            NaN
  1435.65        2500.00        97.6629                 NaN  0.297737                 NaN  0.528351       0.793154       0.717891                 NaN            NaN            NaN            NaN            NaN
  1434.10        2500.00        97.7719                 NaN  0.288967                 NaN  0.761400       0.492672       0.685098                 NaN            NaN            NaN            NaN            NaN
  1432.55        2500.00        97.7911                 NaN  0.289784                 NaN  0.756157       0.482474       0.680452                 NaN            NaN            NaN            NaN            NaN
  1431.00        2500.00        97.8727                 NaN  0.284730                 NaN  0.735806       0.452609       0.654111                 NaN            NaN            NaN            NaN            NaN
  1429.45        2500.00        97.3885                 NaN  0.664218E-003            NaN  0.868229       0.850057       0.772569       0.120028                 NaN            NaN            NaN            NaN
  1427.90        2500.00        97.3137                 NaN  0.553914E-001            NaN  0.909255       0.766909       0.807474       0.147302                 NaN            NaN            NaN            NaN
  1426.35        2500.00        97.3630                 NaN            NaN            NaN  0.821207       0.878500       0.785617       0.151665                 NaN            NaN            NaN            NaN
  1424.80        2500.00        97.4392                 NaN            NaN            NaN  0.798215       0.853090       0.763180       0.146352                 NaN            NaN            NaN            NaN
  1423.25        2500.00        97.5134                 NaN            NaN            NaN  0.776655       0.827442       0.741288       0.141260                 NaN            NaN            NaN            NaN
  1421.70        2500.00        97.5849                 NaN            NaN            NaN  0.755885       0.803524       0.719531       0.136155                 NaN            NaN            NaN            NaN
  1420.15        2500.00        97.6519                 NaN            NaN            NaN  0.780754       0.736430       0.699568       0.131397                 NaN            NaN            NaN            NaN
  1418.59        2500.00        97.7144                 NaN            NaN            NaN  0.758985       0.718718       0.680803       0.127125                 NaN            NaN            NaN            NaN
  1417.04        2500.00        97.7786                 NaN            NaN            NaN  0.737297       0.700109       0.661437       0.122572                 NaN            NaN            NaN            NaN
  1415.49        2500.00        97.8345                 NaN            NaN            NaN  0.683531       0.718587       0.644739       0.118662                 NaN            NaN            NaN            NaN
  1413.94        2500.00        97.8896                 NaN            NaN            NaN  0.667765       0.699609       0.628230       0.114790                 NaN            NaN            NaN            NaN
  1412.39        2500.00        97.9419                 NaN            NaN            NaN  0.653855       0.680891       0.612389       0.110999                 NaN            NaN            NaN            NaN
  1410.84        2500.00        97.9941                 NaN            NaN            NaN  0.663693       0.637950       0.596828       0.107467                 NaN            NaN            NaN            NaN
  1409.29        2500.00        98.0415                 NaN            NaN            NaN  0.624922       0.647146       0.582379       0.104025                 NaN            NaN            NaN            NaN
  1407.74        2500.00        98.0875                 NaN            NaN            NaN  0.612125       0.631218       0.568479       0.100712                 NaN            NaN            NaN            NaN
  1406.19        2500.00        98.1322                 NaN            NaN            NaN  0.615367       0.599971       0.554934       0.975293E-001            NaN            NaN            NaN            NaN
  1404.64        2500.00        98.1717                 NaN            NaN            NaN  0.602087       0.587890       0.543375       0.949261E-001            NaN            NaN            NaN            NaN
  1403.09        2500.00        98.2173                 NaN            NaN            NaN  0.575831       0.586321       0.529050       0.914883E-001            NaN            NaN            NaN            NaN
  1401.54        2500.00        98.2559                 NaN            NaN            NaN  0.565595       0.572236       0.517530       0.887725E-001            NaN            NaN            NaN            NaN
  1399.99        2500.00        98.2926                 NaN            NaN            NaN  0.555827       0.559143       0.506355       0.860534E-001            NaN            NaN            NaN            NaN
  1398.44        2500.00        98.3286                 NaN            NaN            NaN  0.546004       0.546158       0.495631       0.835607E-001            NaN            NaN            NaN            NaN
  1396.89        2500.00        98.3645                 NaN            NaN            NaN  0.536452       0.533743       0.484496       0.808517E-001            NaN            NaN            NaN            NaN
  1395.34        2500.00        98.3974                 NaN            NaN            NaN  0.522170       0.527244       0.474571       0.786505E-001            NaN            NaN            NaN            NaN
  1393.79        2500.00        98.4296                 NaN            NaN            NaN  0.510487       0.519346       0.464607       0.759528E-001            NaN            NaN            NaN            NaN
  1392.24        2500.00        98.4457                 NaN            NaN            NaN  0.521994       0.496303       0.461402       0.745932E-001            NaN            NaN            NaN            NaN
  1390.69        2500.00        98.5047                 NaN            NaN            NaN  0.492639       0.491981       0.439951       0.707463E-001            NaN            NaN            NaN            NaN
  1389.14        2500.00        98.5204                 NaN            NaN            NaN  0.477461       0.495809       0.436932       0.694133E-001            NaN            NaN            NaN            NaN
  1387.59        2500.00        98.5484                 NaN            NaN            NaN  0.467575       0.488587       0.428298       0.671733E-001            NaN            NaN            NaN            NaN
  1386.04        2500.00        98.5750                 NaN            NaN            NaN  0.482031       0.457647       0.420176       0.651370E-001            NaN            NaN            NaN            NaN
  1384.49        2500.00        98.6013                 NaN            NaN            NaN  0.475029       0.448382       0.412100       0.631781E-001            NaN            NaN            NaN            NaN
  1382.94        2500.00        98.6268                 NaN            NaN            NaN  0.439037       0.468628       0.404236       0.612907E-001            NaN            NaN            NaN            NaN
  1381.39        2500.00        98.6506                 NaN            NaN            NaN  0.429674       0.463430       0.396914       0.593557E-001            NaN            NaN            NaN            NaN
  1379.84        2500.00        98.6750                 NaN            NaN            NaN  0.457277       0.420789       0.389449       0.575242E-001            NaN            NaN            NaN            NaN
  1378.29        2500.00        98.6986                 NaN            NaN            NaN  0.452015       0.411554       0.382135       0.557191E-001            NaN            NaN            NaN            NaN
  1376.74        2500.00        98.7200                 NaN            NaN            NaN  0.403870       0.446655       0.375538       0.539320E-001            NaN            NaN            NaN            NaN
  1375.18        2500.00        98.7419                 NaN            NaN            NaN  0.440994       0.395677       0.368851       0.525516E-001            NaN            NaN            NaN            NaN
  1373.63        2500.00        98.7634                 NaN            NaN            NaN  0.387529       0.436262       0.362055       0.507128E-001            NaN            NaN            NaN            NaN
  1372.08        2500.00        98.7834                 NaN            NaN            NaN  0.379924       0.431621       0.355889       0.491814E-001            NaN            NaN            NaN            NaN
  1370.53        2500.00        98.8020                 NaN            NaN            NaN  0.427919       0.372587       0.350041       0.474473E-001            NaN            NaN            NaN            NaN
  1368.98        2500.00        98.8220                 NaN            NaN            NaN  0.423120       0.365110       0.343817       0.459530E-001            NaN            NaN            NaN            NaN
  1367.43        2500.00        98.8402                 NaN            NaN            NaN  0.419300       0.357826       0.338211       0.444505E-001            NaN            NaN            NaN            NaN
  1365.88        2500.00        98.8587                 NaN            NaN            NaN  0.350683       0.415224       0.332423       0.429823E-001            NaN            NaN            NaN            NaN
  1364.33        2500.00        98.8754                 NaN            NaN            NaN  0.343700       0.412161       0.327239       0.415239E-001            NaN            NaN            NaN            NaN
  1362.78        2500.00        98.8927                 NaN            NaN            NaN  0.337036       0.408274       0.321834       0.401238E-001            NaN            NaN            NaN            NaN
  1361.23        2500.00        98.9093                 NaN            NaN            NaN  0.404841       0.330602       0.316606       0.386984E-001            NaN            NaN            NaN            NaN
  1359.68        2500.00        98.9250                 NaN            NaN            NaN  0.324534       0.401167       0.311793       0.375383E-001            NaN            NaN            NaN            NaN
  1358.13        2500.00        98.9413                 NaN            NaN            NaN  0.317427       0.398593       0.306611       0.360410E-001            NaN            NaN            NaN            NaN
  1356.58        2500.00        98.9561                 NaN            NaN            NaN  0.311515       0.395566       0.301980       0.348139E-001            NaN            NaN            NaN            NaN
  1355.03        2500.00        98.9706                 NaN            NaN            NaN  0.305699       0.392514       0.297543       0.336088E-001            NaN            NaN            NaN            NaN
  1353.48        2500.00        98.9853                 NaN            NaN            NaN  0.299110       0.390643       0.292744       0.321964E-001            NaN            NaN            NaN            NaN
  1351.93        2500.00        98.9988                 NaN            NaN            NaN  0.293286       0.388442       0.288574       0.308921E-001            NaN            NaN            NaN            NaN
  1350.38        2500.00        99.0126                 NaN            NaN            NaN  0.287277       0.386221       0.284182       0.297296E-001            NaN            NaN            NaN            NaN
  1348.83        2500.00        99.0254                 NaN            NaN            NaN  0.281431       0.384360       0.280210       0.285753E-001            NaN            NaN            NaN            NaN
  1347.28        2500.00        99.0390                 NaN            NaN            NaN  0.275921       0.381897       0.275841       0.273631E-001            NaN            NaN            NaN            NaN
  1345.73        2500.00        99.0508                 NaN            NaN            NaN  0.380072       0.270820       0.272099       0.262374E-001            NaN            NaN            NaN            NaN
  1344.18        2500.00        99.0631                 NaN            NaN            NaN  0.378318       0.265252       0.268196       0.251291E-001            NaN            NaN            NaN            NaN
  1342.63        2500.00        99.0747                 NaN            NaN            NaN  0.259593       0.377239       0.264518       0.239554E-001            NaN            NaN            NaN            NaN
  1341.08        2500.00        99.0864                 NaN            NaN            NaN  0.375688       0.254226       0.260859       0.228196E-001            NaN            NaN            NaN            NaN
  1339.53        2500.00        99.0976                 NaN            NaN            NaN  0.374985       0.248489       0.257284       0.216612E-001            NaN            NaN            NaN            NaN
  1337.98        2500.00        99.1087                 NaN            NaN            NaN  0.373678       0.243274       0.253763       0.206049E-001            NaN            NaN            NaN            NaN
  1336.43        2500.00        99.1191                 NaN            NaN            NaN  0.372771       0.238143       0.250419       0.196113E-001            NaN            NaN            NaN            NaN
  1334.88        2500.00        99.1269                 NaN            NaN            NaN  0.371905       0.234519       0.248004       0.186794E-001            NaN            NaN            NaN            NaN
  1333.33        2500.00        99.1417                 NaN            NaN            NaN  0.371111       0.226832       0.243031       0.172887E-001            NaN            NaN            NaN            NaN
  1331.78        2500.00        99.1493                 NaN            NaN            NaN  0.222641       0.370856       0.240803       0.164491E-001            NaN            NaN            NaN            NaN
  1330.22        2500.00        99.1588                 NaN            NaN            NaN  0.371042       0.216973       0.237710       0.154375E-001            NaN            NaN            NaN            NaN
  1328.67        2500.00        99.1683                 NaN            NaN            NaN  0.369910       0.212593       0.234732       0.144960E-001            NaN            NaN            NaN            NaN
  1327.12        2500.00        99.1773                 NaN            NaN            NaN  0.207077       0.370412       0.231817       0.134297E-001            NaN            NaN            NaN            NaN
  1325.57        2500.00        99.1861                 NaN            NaN            NaN  0.369953       0.202448       0.229033       0.125035E-001            NaN            NaN            NaN            NaN
  1324.02        2500.00        99.1949                 NaN            NaN            NaN  0.196966       0.370364       0.226201       0.115683E-001            NaN            NaN            NaN            NaN
  1322.47        2500.00        99.2024                 NaN            NaN            NaN  0.190718       0.372776       0.223760       0.103318E-001            NaN            NaN            NaN            NaN
  1320.92        2500.00        99.2112                 NaN            NaN            NaN  0.371725       0.186564       0.220870       0.967471E-002            NaN            NaN            NaN            NaN
  1319.37        2500.00        99.2193                 NaN            NaN            NaN  0.372881       0.180919       0.218278       0.861501E-002            NaN            NaN            NaN            NaN
  1317.82        2500.00        99.2267                 NaN            NaN            NaN  0.373691       0.175976       0.215915       0.769932E-002            NaN            NaN            NaN            NaN
  1316.27        2500.00        99.2344                 NaN            NaN            NaN  0.170314       0.375097       0.213419       0.681137E-002            NaN            NaN            NaN            NaN
  1314.72        2500.00        99.2418                 NaN            NaN            NaN  0.375648       0.165408       0.211126       0.605097E-002            NaN            NaN            NaN            NaN
  1313.17        2500.00        75.6833                 NaN            NaN            NaN   3.81166        2.71938        3.16822       0.707558        13.9099                 NaN            NaN            NaN
  1311.62        2500.00        75.1978                 NaN            NaN            NaN   3.93438        2.66947        3.21172       0.721798        14.2648                 NaN            NaN            NaN
  1310.07        2500.00        79.0019                 NaN            NaN            NaN   3.38842        2.21466        2.72254       0.607471        12.0650                 NaN            NaN            NaN
  1308.52        2500.00        81.8155                 NaN            NaN            NaN   2.98152        1.87910        2.36098       0.523538        10.4393                 NaN            NaN            NaN
  1306.97        2500.00        83.9486                 NaN            NaN            NaN   2.68207        1.61541        2.08724       0.460250        9.20647                 NaN            NaN            NaN
  1305.42        2500.00        85.6319                 NaN            NaN            NaN   2.45379        1.39887        1.87135       0.410501        8.23363                 NaN            NaN            NaN
  1303.87        2500.00        86.9957                 NaN            NaN            NaN   2.28280        1.21062        1.69679       0.369953        7.44411                 NaN            NaN            NaN
  1302.32        2500.00        88.1139                 NaN            NaN            NaN   2.16870        1.03043        1.55393       0.336781        6.79625                 NaN            NaN            NaN
  1300.77        2500.00        89.0535                 NaN            NaN            NaN   2.04802       0.893135        1.43320       0.313236        6.25890                 NaN            NaN            NaN
  1299.22        2500.00        89.5779                 NaN            NaN            NaN   1.04029        1.74816        1.38213       0.286870        5.96466                 NaN            NaN            NaN
