|6.6.6
Archiving\03_Data\eq/QFM_m0.5/YM20/YM20_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  1778.85        2500.00        77.4663        21.5495                 NaN  0.568665       0.415480                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        76.9389        22.0673                 NaN  0.568894       0.424903                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        76.4112        22.5854                 NaN  0.569123       0.434333                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        75.8831        23.1038                 NaN  0.569350       0.443770                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        75.3757        23.6022                 NaN  0.569570       0.452475                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        74.8680        24.1010                 NaN  0.569789       0.461186                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        74.3600        24.6000                 NaN  0.570007       0.469903                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        73.8517        25.0994                 NaN  0.570224       0.478625                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        73.3431        25.5991                 NaN  0.570440       0.487354                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        72.8341        26.0991                 NaN  0.570655       0.496088                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        72.3249        26.5994                 NaN  0.570869       0.504828                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        71.8153        27.1000                 NaN  0.571082       0.513573                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        71.3266        27.5804                 NaN  0.571287       0.521755                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        70.8376        28.0610                 NaN  0.571491       0.529943                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        70.3483        28.5418                 NaN  0.571693       0.538135                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        69.8588        29.0230                 NaN  0.571895       0.546332                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        69.3690        29.5044                 NaN  0.572096       0.554533                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        68.8789        29.9860                 NaN  0.572295       0.562740                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        68.3886        30.4680                 NaN  0.572494       0.570951                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        67.8980        30.9501                 NaN  0.572691       0.579166                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        67.4298        31.4104                 NaN  0.572880       0.586862                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        66.9614        31.8710                 NaN  0.573067       0.594561                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        66.4928        32.3317                 NaN  0.573253       0.602264                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        66.0239        32.7927                 NaN  0.573438       0.609971                 NaN            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        65.5549        33.2538                 NaN  0.573623       0.617682                 NaN            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        65.0856        33.7152                 NaN  0.573806       0.625397                 NaN            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        64.6161        34.1768                 NaN  0.573988       0.633115                 NaN            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        64.1464        34.6386                 NaN  0.574168       0.640837                 NaN            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        63.7022        35.0753                 NaN  0.574339       0.648142                 NaN            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        63.2579        35.5122                 NaN  0.574508       0.655450                 NaN            NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        62.8134        35.9492                 NaN  0.574677       0.662760                 NaN            NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        62.3687        36.3864                 NaN  0.574844       0.670074                 NaN            NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        61.9238        36.8238                 NaN  0.575010       0.677391                 NaN            NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        61.4788        37.2613                 NaN  0.575175       0.684711                 NaN            NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        61.0336        37.6990                 NaN  0.575339       0.692034                 NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        60.5883        38.1368                 NaN  0.575502       0.699359                 NaN            NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        60.1721        38.5461                 NaN  0.575654       0.706215                 NaN            NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        59.7557        38.9554                 NaN  0.575804       0.713074                 NaN            NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        59.3393        39.3649                 NaN  0.575954       0.719934                 NaN            NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        58.9227        39.7744                 NaN  0.576102       0.726797                 NaN            NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        58.5060        40.1841                 NaN  0.576249       0.733663                 NaN            NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        58.0891        40.5939                 NaN  0.576395       0.740530                 NaN            NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        57.6722        41.0039                 NaN  0.576540       0.747399                 NaN            NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        57.2551        41.4139                 NaN  0.576684       0.754271                 NaN            NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        56.8573        41.8047                 NaN  0.576821       0.761102                 NaN            NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        56.4594        42.1957                 NaN  0.576957       0.767935                 NaN            NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        56.0678        42.5805                 NaN  0.577089       0.774561                 NaN            NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        54.8818        42.7544                 NaN  0.577834       0.770769        1.01517                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        53.7954        42.9076                 NaN  0.578524       0.766786        1.95170                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        52.7065        43.0610                 NaN  0.579214       0.762793        2.89044                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        51.6151        43.2148                 NaN  0.579904       0.758789        3.83138                 NaN            NaN            NaN            NaN            NaN
  1615.38        2500.00        50.5213        43.3688                 NaN  0.580595       0.754774        4.77454                 NaN            NaN            NaN            NaN            NaN
  1612.18        2500.00        49.6363        43.4872                 NaN  0.581166       0.750330        5.54496                 NaN            NaN            NaN            NaN            NaN
  1608.97        2500.00        48.7497        43.6058                 NaN  0.581738       0.745876        6.31686                 NaN            NaN            NaN            NaN            NaN
  1605.77        2500.00        47.8615        43.7246                 NaN  0.582310       0.741413        7.09025                 NaN            NaN            NaN            NaN            NaN
  1602.56        2500.00        46.9716        43.8435                 NaN  0.582882       0.736940        7.86513                 NaN            NaN            NaN            NaN            NaN
  1599.36        2500.00        46.0800        43.9626                 NaN  0.583455       0.732458        8.64150                 NaN            NaN            NaN            NaN            NaN
  1596.15        2500.00        45.1868        44.0818                 NaN  0.584027       0.727966        9.41936                 NaN            NaN            NaN            NaN            NaN
  1592.95        2500.00        44.2920        44.2012                 NaN  0.584600       0.723464        10.1987                 NaN            NaN            NaN            NaN            NaN
  1589.74        2500.00        43.3955        44.3208                 NaN  0.585173       0.718953        10.9796                 NaN            NaN            NaN            NaN            NaN
  1586.54        2500.00        42.6947        44.4061                 NaN  0.585635       0.713924        11.5996                 NaN            NaN            NaN            NaN            NaN
  1583.33        2500.00        41.9929        44.4915                 NaN  0.586098       0.708887        12.2207                 NaN            NaN            NaN            NaN            NaN
  1580.13        2500.00        41.2900        44.5770                 NaN  0.586561       0.703842        12.8426                 NaN            NaN            NaN            NaN            NaN
  1576.92        2500.00        40.5861        44.6626                 NaN  0.587023       0.698788        13.4656                 NaN            NaN            NaN            NaN            NaN
  1573.72        2500.00        39.8812        44.7482                 NaN  0.587486       0.693725        14.0894                 NaN            NaN            NaN            NaN            NaN
  1570.51        2500.00        39.1752        44.8340                 NaN  0.587949       0.688654        14.7142                 NaN            NaN            NaN            NaN            NaN
  1567.31        2500.00        38.4682        44.9198                 NaN  0.588412       0.683575        15.3400                 NaN            NaN            NaN            NaN            NaN
  1564.10        2500.00        37.7602        45.0057                 NaN  0.588874       0.678487        15.9667                 NaN            NaN            NaN            NaN            NaN
  1560.90        2500.00        37.1787        45.0694                 NaN  0.589267       0.672777        16.4899                 NaN            NaN            NaN            NaN            NaN
  1557.69        2500.00        36.5965        45.1331                 NaN  0.589659       0.667059        17.0136                 NaN            NaN            NaN            NaN            NaN
  1554.49        2500.00        36.0136        45.1969                 NaN  0.590052       0.661333        17.5381                 NaN            NaN            NaN            NaN            NaN
  1551.28        2500.00        35.4300        45.2607                 NaN  0.590444       0.655599        18.0632                 NaN            NaN            NaN            NaN            NaN
  1548.08        2500.00        34.8457        45.3246                 NaN  0.590837       0.649857        18.5890                 NaN            NaN            NaN            NaN            NaN
  1544.87        2500.00        34.2607        45.3885                 NaN  0.591229       0.644108        19.1154                 NaN            NaN            NaN            NaN            NaN
  1541.67        2500.00        33.6750        45.4525                 NaN  0.591622       0.638350        19.6425                 NaN            NaN            NaN            NaN            NaN
  1538.46        2500.00        33.0886        45.5165                 NaN  0.592014       0.632585        20.1703                 NaN            NaN            NaN            NaN            NaN
  1535.26        2500.00        32.5834        45.5661                 NaN  0.592363       0.626110        20.6320                 NaN            NaN            NaN            NaN            NaN
  1532.05        2500.00        32.0776        45.6158                 NaN  0.592712       0.619627        21.0943                 NaN            NaN            NaN            NaN            NaN
  1528.85        2500.00        31.5712        45.6655                 NaN  0.593060       0.613137        21.5571                 NaN            NaN            NaN            NaN            NaN
  1525.64        2500.00        31.0644        45.7152                 NaN  0.593409       0.606639        22.0204                 NaN            NaN            NaN            NaN            NaN
  1522.44        2500.00        30.5570        45.7649                 NaN  0.593758       0.600134        22.4841                 NaN            NaN            NaN            NaN            NaN
  1519.23        2500.00        30.0491        45.8147                 NaN  0.594106       0.593621        22.9484                 NaN            NaN            NaN            NaN            NaN
  1516.03        2500.00        29.5407        45.8645                 NaN  0.594455       0.587100        23.4132                 NaN            NaN            NaN            NaN            NaN
  1512.82        2500.00        29.0318        45.9143                 NaN  0.594804       0.580571        23.8786                 NaN            NaN            NaN            NaN            NaN
  1509.62        2500.00        28.5741        45.9550                 NaN  0.595126       0.573046        24.3027                 NaN            NaN            NaN            NaN            NaN
  1506.41        2500.00        28.1160        45.9957                 NaN  0.595448       0.565512        24.7273                 NaN            NaN            NaN            NaN            NaN
  1503.21        2500.00        27.6575        46.0365                 NaN  0.595771       0.557970        25.1523                 NaN            NaN            NaN            NaN            NaN
  1500.00        2500.00        27.1986        46.0772                 NaN  0.596093       0.550420        25.5777                 NaN            NaN            NaN            NaN            NaN
  1496.79        2500.00        26.7392        46.1180                 NaN  0.596415       0.542863        26.0035                 NaN            NaN            NaN            NaN            NaN
  1493.59        2500.00        26.2795        46.1588                 NaN  0.596738       0.535297        26.4297                 NaN            NaN            NaN            NaN            NaN
  1490.38        2500.00        25.8192        46.1996                 NaN  0.597060       0.527723        26.8564                 NaN            NaN            NaN            NaN            NaN
  1487.18        2500.00        25.3586        46.2405                 NaN  0.597383       0.520142        27.2834                 NaN            NaN            NaN            NaN            NaN
  1483.97        2500.00        24.9157        46.2785                 NaN  0.597698       0.511860        27.6963                 NaN            NaN            NaN            NaN            NaN
  1480.77        2500.00        24.4723        46.3166                 NaN  0.598013       0.503570        28.1095                 NaN            NaN            NaN            NaN            NaN
  1477.56        2500.00        23.9330        46.3619                 NaN  0.598412       0.499403        28.4350       0.172237                 NaN            NaN            NaN            NaN
  1474.36        2500.00        23.2460        46.4215                 NaN  0.598942       0.503460        28.5931       0.636953                 NaN            NaN            NaN            NaN
  1471.15        2500.00        22.6059        46.4681                 NaN  0.599445       0.509456        28.7414        1.07570                 NaN            NaN            NaN            NaN
  1467.95        2500.00        21.9648        46.5148                 NaN  0.599948       0.515464        28.8898        1.51517                 NaN            NaN            NaN            NaN
  1464.74        2500.00        21.3227        46.5615                 NaN  0.600451       0.521482        29.0385        1.95536                 NaN            NaN            NaN            NaN
  1461.54        2500.00        20.6796        46.6082                 NaN  0.600954       0.527512        29.1875        2.39628                 NaN            NaN            NaN            NaN
  1458.33        2500.00        20.1611        46.6299                 NaN  0.601378       0.537591        29.3069        2.76317                 NaN            NaN            NaN            NaN
  1455.13        2500.00        19.6419        46.6516                 NaN  0.601803       0.547686        29.4265        3.13056                 NaN            NaN            NaN            NaN
  1451.92        2500.00        19.1220        46.6733                 NaN  0.602227       0.557796        29.5462        3.49845                 NaN            NaN            NaN            NaN
  1448.72        2500.00        18.6015        46.6950                 NaN  0.602651       0.567922        29.6661        3.86685                 NaN            NaN            NaN            NaN
  1445.51        2500.00        18.0803        46.7167                 NaN  0.603074       0.578063        29.7861        4.23576                 NaN            NaN            NaN            NaN
  1442.31        2500.00        17.5585        46.7383                 NaN  0.603498       0.588220        29.9063        4.60518                 NaN            NaN            NaN            NaN
  1439.10        2500.00        17.0360        46.7599                 NaN  0.603922       0.598391        30.0266        4.97510                 NaN            NaN            NaN            NaN
  1435.90        2500.00        16.5129        46.7816                 NaN  0.604346       0.608578        30.1471        5.34552                 NaN            NaN            NaN            NaN
  1432.69        2500.00        16.0778        46.7868                 NaN  0.604712       0.621674        30.2472        5.66183                 NaN            NaN            NaN            NaN
  1429.49        2500.00        15.6422        46.7920                 NaN  0.605079       0.634788        30.3474        5.97850                 NaN            NaN            NaN            NaN
  1426.28        2500.00        15.2225        46.7914                 NaN  0.605436       0.649616        30.3968        6.27401       0.602991E-001            NaN            NaN            NaN
  1423.08        2500.00        14.7843        46.7778                 NaN  0.605808       0.670484        30.3004       0.311233        6.54997                 NaN            NaN            NaN
  1419.87        2500.00        14.7837        46.7780                 NaN  0.605819       0.670507        30.3007       0.311237        6.55002                 NaN            NaN            NaN
  1416.67        2500.00        14.7832        46.7782                 NaN  0.605830       0.670529        30.3010       0.311241        6.55007                 NaN            NaN            NaN
  1413.46        2500.00        14.7826        46.7784                 NaN  0.605842       0.670551        30.3013       0.311245        6.55012                 NaN            NaN            NaN
  1410.26        2500.00        13.2013        46.7087                 NaN  0.607180       0.754342        30.0184        1.15638        7.55376                 NaN            NaN            NaN
  1407.05        2500.00        13.2008        46.7088                 NaN  0.607191       0.754366        30.0186        1.15639        7.55380                 NaN            NaN            NaN
  1403.85        2500.00        13.2003        46.7090                 NaN  0.607201       0.754390        30.0188        1.15640        7.55385                 NaN            NaN            NaN
  1400.64        2500.00        13.1999        46.7091                 NaN  0.607211       0.754414        30.0191        1.15642        7.55390                 NaN            NaN            NaN
  1397.44        2500.00        11.8494        46.6219                 NaN  0.608393       0.837291        29.8561        8.41935        1.80754                 NaN            NaN            NaN
  1394.23        2500.00        11.4787        46.6577                 NaN  0.608604       0.848585        29.7380        2.01232        8.53516       0.120877                 NaN            NaN
  1391.03        2500.00        11.1161        46.7010                 NaN  0.608797       0.858057        29.6106        2.21658        8.63304       0.255783                 NaN            NaN
  1387.82        2500.00        11.1158        46.7011                 NaN  0.608806       0.858084        29.6108        2.21660        8.63308       0.255799                 NaN            NaN
  1384.62        2500.00        10.4447        46.7775                 NaN  0.609157       0.876646        29.3739        8.81276        2.59652       0.508808                 NaN            NaN
  1381.41        2500.00        10.4444        46.7775                 NaN  0.609166       0.876672        29.3741        8.81279        2.59655       0.508840                 NaN            NaN
  1378.21        2500.00        10.4441        46.7775                 NaN  0.609174       0.876699        29.3743        8.81283        2.59657       0.508872                 NaN            NaN
  1375.00        2500.00        10.4438        46.7775                 NaN  0.609183       0.876725        29.3744        8.81286        2.59660       0.508904                 NaN            NaN
  1371.79        2500.00        10.4435        46.7776                 NaN  0.609192       0.876751        29.3746        8.81290        2.59662       0.508936                 NaN            NaN
  1368.59        2500.00        10.4431        46.7776                 NaN  0.609200       0.876777        29.3748        8.81294        2.59665       0.508968                 NaN            NaN
  1365.38        2500.00        10.4428        46.7776                 NaN  0.609209       0.876804        29.3749        8.81297        2.59667       0.508999                 NaN            NaN
  1362.18        2500.00        10.4425        46.7776                 NaN  0.609218       0.876830        29.3751        8.81301        2.59670       0.509031                 NaN            NaN
  1358.97        2500.00        8.28960        46.9967                 NaN  0.610369       0.946148        28.6145        9.36704        3.81690        1.35871                 NaN            NaN
  1355.77        2500.00        8.28939        46.9966                 NaN  0.610376       0.946175        28.6146        9.36706        3.81693        1.35880                 NaN            NaN
  1352.56        2500.00        8.28919        46.9966                 NaN  0.610384       0.946201        28.6148        9.36709        3.81696        1.35888                 NaN            NaN
  1349.36        2500.00        8.28898        46.9965                 NaN  0.610391       0.946228        28.6149        9.36711        3.81699        1.35896                 NaN            NaN
  1346.15        2500.00        8.28877        46.9964                 NaN  0.610398       0.946254        28.6150        9.36713        3.81702        1.35904                 NaN            NaN
  1342.95        2500.00        8.28857        46.9963                 NaN  0.610406       0.946281        28.6151        9.36715        3.81705        1.35913                 NaN            NaN
  1339.74        2500.00        8.28836        46.9962                 NaN  0.610413       0.946307        28.6152        9.36717        3.81708        1.35921                 NaN            NaN
  1336.54        2500.00        8.28815        46.9961                 NaN  0.610420       0.946333        28.6153        9.36720        3.81711        1.35929                 NaN            NaN
  1333.33        2500.00        6.66296        47.1113                 NaN  0.611383        1.01116        28.0987        4.70889        9.76853        2.02708                 NaN            NaN
  1330.13        2500.00        6.66282        47.1112                 NaN  0.611389        1.01119        28.0987        4.70892        9.76854        2.02720                 NaN            NaN
  1326.92        2500.00        6.66269        47.1110                 NaN  0.611395        1.01122        28.0988        4.70895        9.76856        2.02732                 NaN            NaN
  1323.72        2500.00        6.66255        47.1109                 NaN  0.611402        1.01124        28.0989        4.70898        9.76857        2.02743                 NaN            NaN
  1320.51        2500.00        5.96849        47.1394                 NaN  0.611858        1.04242        27.9167        9.94114        5.06790        2.31209                 NaN            NaN
  1317.31        2500.00        4.95296        47.2668                 NaN  0.612258        1.05464        27.7742        10.0410        5.26116        2.47746       0.559416                 NaN
  1314.10        2500.00                 NaN   47.9669                 NaN  0.613904        1.08737        27.1492        10.4001        5.93859        3.08124        3.76272                 NaN
  1310.90        2500.00                 NaN   47.9666                 NaN  0.613909        1.08740        27.1492        10.4001        5.93862        3.08142        3.76279                 NaN
  1307.69        2500.00                 NaN   47.9827                 NaN  0.613874        1.09515        27.1381        10.3762        5.90618        3.12083        3.76694                 NaN
  1304.49        2500.00                 NaN   47.9824                 NaN  0.613879        1.09518        27.1381        10.3762        5.90620        3.12101        3.76701                 NaN
  1301.28        2500.00                 NaN   47.9821                 NaN  0.613883        1.09520        27.1381        10.3762        5.90623        3.12118        3.76707                 NaN
  1298.08        2500.00                 NaN   47.9818                 NaN  0.613888        1.09523        27.1381        10.3762        5.90625        3.12136        3.76714                 NaN
