|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/EETA/EETA_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          O(HP)          ilm            San(TH)        q             
  1346.10        500.000                 NaN   99.2923       0.260921       0.830672E-001  0.239398       0.124324                 NaN            NaN            NaN            NaN
  1345.07        500.000                 NaN   99.2961       0.260553       0.819520E-001  0.237750       0.123660                 NaN            NaN            NaN            NaN
  1344.03        500.000                 NaN   99.2974       0.262282       0.751728E-001  0.238208       0.126896                 NaN            NaN            NaN            NaN
  1343.00        500.000                 NaN   99.0837       0.336585       0.111396       0.308669       0.159665                 NaN            NaN            NaN            NaN
  1341.96        500.000                 NaN   99.5407       0.498813E-001  0.172144       0.154770       0.824755E-001            NaN            NaN            NaN            NaN
  1340.92        500.000                 NaN   99.4570       0.884557E-001  0.181609       0.182619       0.902677E-001            NaN            NaN            NaN            NaN
  1339.89        500.000                 NaN   99.1883       0.592667E-001  0.323318       0.275239       0.153891                 NaN            NaN            NaN            NaN
  1338.85        500.000                 NaN   99.3312       0.682225E-001  0.251628       0.226289       0.122622                 NaN            NaN            NaN            NaN
  1337.81        500.000                 NaN   99.3363       0.249979       0.680134E-001  0.224188       0.121469                 NaN            NaN            NaN            NaN
  1336.78        500.000                 NaN   99.3409       0.248905       0.662130E-001  0.222731       0.121267                 NaN            NaN            NaN            NaN
  1335.74        500.000                 NaN   99.3471       0.636989E-001  0.247082       0.220779       0.121300                 NaN            NaN            NaN            NaN
  1334.71        500.000                 NaN   99.3476       0.588247E-001  0.249529       0.221000       0.123045                 NaN            NaN            NaN            NaN
  1333.67        500.000                 NaN   99.3607       0.242511       0.618727E-001  0.216036       0.118923                 NaN            NaN            NaN            NaN
  1332.63        500.000                 NaN   99.3509       0.223862       0.114179       0.214040       0.969753E-001            NaN            NaN            NaN            NaN
  1331.60        500.000                 NaN   99.3801       0.259550       0.443176E-002  0.214400       0.141471                 NaN            NaN            NaN            NaN
  1330.56        500.000                 NaN   99.3724       0.239992       0.564944E-001  0.212101       0.118986                 NaN            NaN            NaN            NaN
  1329.52        500.000                 NaN   99.3771       0.559302E-001  0.238899       0.210159       0.117921                 NaN            NaN            NaN            NaN
  1328.49        500.000                 NaN   99.3804       0.238193       0.549138E-001  0.209002       0.117477                 NaN            NaN            NaN            NaN
  1327.45        500.000                 NaN   99.3868       0.535595E-001  0.236031       0.206809       0.116759                 NaN            NaN            NaN            NaN
  1326.42        500.000                 NaN   99.3906       0.519316E-001  0.235252       0.205631       0.116631                 NaN            NaN            NaN            NaN
  1325.38        500.000                 NaN   99.3960       0.233912       0.509381E-001  0.203575       0.115618                 NaN            NaN            NaN            NaN
  1324.34        500.000                 NaN   99.4005       0.232208       0.502226E-001  0.202040       0.115070                 NaN            NaN            NaN            NaN
  1323.31        500.000                 NaN   99.4051       0.230598       0.495659E-001  0.200388       0.114338                 NaN            NaN            NaN            NaN
  1322.27        500.000                 NaN   99.4075       0.230184       0.485121E-001  0.199562       0.114245                 NaN            NaN            NaN            NaN
  1321.23        500.000                 NaN   99.4144       0.227718       0.491478E-001  0.196743       0.112038                 NaN            NaN            NaN            NaN
  1320.20        500.000                 NaN   99.4175       0.478111E-001  0.226814       0.195867       0.112046                 NaN            NaN            NaN            NaN
  1319.16        500.000                 NaN   99.4219       0.225831       0.442278E-001  0.194957       0.113043                 NaN            NaN            NaN            NaN
  1318.13        500.000                 NaN   99.4276       0.489245E-001  0.222922       0.191696       0.108876                 NaN            NaN            NaN            NaN
  1317.09        500.000                 NaN   99.4303       0.222509       0.466771E-001  0.191089       0.109403                 NaN            NaN            NaN            NaN
  1316.05        500.000                 NaN   99.4343       0.221476       0.459187E-001  0.189621       0.108657                 NaN            NaN            NaN            NaN
  1315.02        500.000                 NaN   99.4383       0.459034E-001  0.219911       0.188193       0.107717                 NaN            NaN            NaN            NaN
  1313.98        500.000                 NaN   99.4412       0.469317E-001  0.218496       0.186925       0.106486                 NaN            NaN            NaN            NaN
  1312.94        500.000                 NaN   99.4463       0.216988       0.462490E-001  0.185030       0.105410                 NaN            NaN            NaN            NaN
  1311.91        500.000                 NaN   99.4492       0.215925       0.464130E-001  0.183948       0.104513                 NaN            NaN            NaN            NaN
  1310.87        500.000                 NaN   99.4538       0.214456       0.456630E-001  0.182311       0.103769                 NaN            NaN            NaN            NaN
  1309.84        500.000                 NaN   99.4574       0.213082       0.460211E-001  0.180904       0.102608                 NaN            NaN            NaN            NaN
  1308.80        500.000                 NaN   99.4610       0.461677E-001  0.211793       0.179500       0.101518                 NaN            NaN            NaN            NaN
  1307.76        500.000                 NaN   99.4644       0.466395E-001  0.210424       0.178143       0.100402                 NaN            NaN            NaN            NaN
  1306.73        500.000                 NaN   99.4675       0.209177       0.470549E-001  0.176895       0.993626E-001            NaN            NaN            NaN            NaN
  1305.69        500.000                 NaN   99.4717       0.207156       0.478347E-001  0.175367       0.979894E-001            NaN            NaN            NaN            NaN
  1304.65        500.000                 NaN   99.4752       0.206094       0.474540E-001  0.174076       0.972072E-001            NaN            NaN            NaN            NaN
  1303.62        500.000                 NaN   99.4786       0.484063E-001  0.204642       0.172636       0.957219E-001            NaN            NaN            NaN            NaN
  1302.58        500.000                 NaN   99.4814       0.203278       0.493702E-001  0.171476       0.945057E-001            NaN            NaN            NaN            NaN
  1301.55        500.000                 NaN   99.4846       0.504365E-001  0.201748       0.170117       0.930742E-001            NaN            NaN            NaN            NaN
  1300.51        500.000       0.283906E-001   99.4812       0.212585                 NaN  0.174464       0.103371                 NaN            NaN            NaN            NaN
  1299.47        500.000       0.448264E-001   99.3892       0.246518       0.108277       0.186722       0.244630E-001            NaN            NaN            NaN            NaN
  1298.44        500.000       0.448913E-001   99.4322       0.237540       0.461293E-001  0.180649       0.585503E-001            NaN            NaN            NaN            NaN
  1297.40        500.000       0.453239E-001   99.4355       0.455362E-001  0.237153       0.179384       0.570989E-001            NaN            NaN            NaN            NaN
  1296.36        500.000       0.454292E-001   99.4392       0.461110E-001  0.235783       0.178003       0.554832E-001            NaN            NaN            NaN            NaN
  1295.33        500.000       0.451608E-001   99.4454       0.441462E-001  0.234047       0.176095       0.551222E-001            NaN            NaN            NaN            NaN
  1294.29        500.000       0.453280E-001   99.4484       0.233252       0.449832E-001  0.174816       0.532716E-001            NaN            NaN            NaN            NaN
  1293.26        500.000       0.451882E-001   99.4531       0.231593       0.445871E-001  0.173284       0.522868E-001            NaN            NaN            NaN            NaN
  1292.22        500.000       0.449397E-001   99.4579       0.441063E-001  0.229922       0.171703       0.514107E-001            NaN            NaN            NaN            NaN
  1291.18        500.000       0.446330E-001   99.4625       0.228045       0.444933E-001  0.170072       0.502138E-001            NaN            NaN            NaN            NaN
  1290.15        500.000       0.445854E-001   99.4659       0.226323       0.462072E-001  0.168769       0.482024E-001            NaN            NaN            NaN            NaN
  1289.11        500.000       0.436776E-001   99.4724       0.224052       0.440678E-001  0.166929       0.488846E-001            NaN            NaN            NaN            NaN
  1288.07        500.000       0.434312E-001   99.4764       0.462741E-001  0.221639       0.165399       0.468074E-001            NaN            NaN            NaN            NaN
  1287.04        500.000       0.430712E-001   99.4811       0.463221E-001  0.219601       0.163940       0.459721E-001            NaN            NaN            NaN            NaN
  1286.00        500.000       0.426668E-001   99.4862       0.217669       0.458116E-001  0.162305       0.453083E-001            NaN            NaN            NaN            NaN
  1284.97        500.000       0.420680E-001   99.4903       0.485233E-001  0.214705       0.160796       0.435667E-001            NaN            NaN            NaN            NaN
  1283.93        500.000       0.416396E-001   99.4949       0.212579       0.490086E-001  0.159310       0.425892E-001            NaN            NaN            NaN            NaN
  1282.89        500.000       0.411150E-001   99.4993       0.210042       0.502040E-001  0.157854       0.414937E-001            NaN            NaN            NaN            NaN
  1281.86        500.000       0.406536E-001   99.5041       0.207837       0.503314E-001  0.156345       0.407248E-001            NaN            NaN            NaN            NaN
  1280.82        500.000       0.401559E-001   99.5087       0.513546E-001  0.205242       0.154846       0.396831E-001            NaN            NaN            NaN            NaN
  1279.78        500.000       0.396341E-001   99.5129       0.203022       0.525549E-001  0.153402       0.385253E-001            NaN            NaN            NaN            NaN
  1278.75        500.000       0.390307E-001   99.5174       0.199552       0.549868E-001  0.151937       0.371290E-001            NaN            NaN            NaN            NaN
  1277.71        500.000       0.895506E-002   99.5339       0.210982                 NaN  0.151632       0.769920E-001            NaN  0.175389E-001            NaN            NaN
  1276.68        500.000       0.540619E-002   99.5386       0.207830                 NaN  0.150344       0.785704E-001            NaN  0.192493E-001            NaN            NaN
  1275.64        500.000       0.471855E-002   99.5431       0.205903                 NaN  0.148840       0.780605E-001            NaN  0.193485E-001            NaN            NaN
  1274.60        500.000       0.500853E-002   99.5474       0.204296                 NaN  0.147405       0.769469E-001            NaN  0.189231E-001            NaN            NaN
  1273.57        500.000       0.824684E-003   99.5520       0.201150                 NaN  0.146194       0.790100E-001            NaN  0.208473E-001            NaN            NaN
  1272.53        500.000       0.225322E-002   99.5562       0.199942                 NaN  0.144688       0.771106E-001            NaN  0.198060E-001            NaN            NaN
  1271.50        500.000                 NaN   98.1709       0.408876                 NaN  0.308198       0.155374                 NaN  0.527717E-001  0.903863                 NaN
  1270.46        500.000       0.103361        91.6239        1.26154       0.389693        1.07215       0.297622                 NaN  0.136634        5.11511                 NaN
  1269.42        500.000       0.240439        92.1132       0.987733       0.880996        1.00224                 NaN            NaN  0.389096E-001   4.73649                 NaN
  1268.39        500.000       0.213211        92.7552       0.904752       0.823787       0.925499                 NaN            NaN  0.391685E-001   4.33841                 NaN
  1267.35        500.000       0.189816        93.3038       0.832903       0.775146       0.859660                 NaN            NaN  0.394909E-001   3.99920                 NaN
  1266.31        500.000       0.168878        93.7774       0.769479       0.734757       0.802582                 NaN            NaN  0.401219E-001   3.70674                 NaN
  1265.28        500.000       0.151335        94.1891       0.699228       0.714159       0.752830                 NaN            NaN  0.403211E-001   3.45304                 NaN
  1264.24        500.000       0.136113        94.5519       0.665427       0.667313       0.708805       0.842783E-005            NaN  0.403581E-001   3.23010                 NaN
  1263.21        500.000       0.122937        94.8684       0.623019       0.639434       0.670178       0.142826E-004            NaN  0.403430E-001   3.03568                 NaN
  1262.17        500.000       0.110939        95.1511       0.583920       0.615685       0.635692       0.707418E-006            NaN  0.403694E-001   2.86230                 NaN
  1261.13        500.000                 NaN   95.4476       0.690245       0.248505       0.608071       0.189443                 NaN  0.988389E-001   2.71731                 NaN
  1260.10        500.000                 NaN   95.6716       0.672408       0.208558       0.581034       0.191536                 NaN  0.940849E-001   2.58080                 NaN
  1259.06        500.000                 NaN   95.8802       0.644079       0.196170       0.554720       0.183277                 NaN  0.892197E-001   2.45235                 NaN
  1258.02        500.000                 NaN   96.0708       0.612499       0.191246       0.530699       0.174407                 NaN  0.846644E-001   2.33565                 NaN
  1256.99        500.000                 NaN   96.2372       0.600677       0.168201       0.509371       0.170513                 NaN  0.810129E-001   2.23302                 NaN
  1255.95        500.000                 NaN   96.4022       0.161957       0.573619       0.488471       0.163675                 NaN  0.771196E-001   2.13294                 NaN
  1254.92        500.000                 NaN   96.5498       0.553435       0.152401       0.469509       0.158025                 NaN  0.736996E-001   2.04312                 NaN
  1253.88        500.000                 NaN   96.6880       0.535009       0.142206       0.451688       0.153120                 NaN  0.705160E-001   1.95942                 NaN
  1252.84        500.000                 NaN   96.8150       0.133075       0.518040       0.435209       0.148566                 NaN  0.675932E-001   1.88249                 NaN
  1251.81        500.000                 NaN   96.9356       0.502109       0.123669       0.419448       0.144382                 NaN  0.647959E-001   1.80999                 NaN
  1250.77        500.000                 NaN   97.0423       0.116530       0.487239       0.405526       0.140257                 NaN  0.623290E-001   1.74580                 NaN
  1249.73        500.000                 NaN   97.1547       0.472589       0.107098       0.390581       0.136731                 NaN  0.597480E-001   1.67856                 NaN
  1248.70        500.000                 NaN   97.2477       0.459200       0.101475       0.378293       0.132903                 NaN  0.575513E-001   1.62285                 NaN
  1247.66        500.000                 NaN   97.3413       0.446347       0.939217E-001  0.365741       0.129866                 NaN  0.553864E-001   1.56749                 NaN
  1246.63        500.000                 NaN   97.4287       0.874149E-001  0.434752       0.354120       0.126484                 NaN  0.533428E-001   1.51515                 NaN
  1245.59        500.000                 NaN   97.5109       0.422688       0.824039E-001  0.342876       0.123133                 NaN  0.514137E-001   1.46656                 NaN
  1244.55        500.000                 NaN   97.5890       0.778968E-001  0.410886       0.332328       0.120028                 NaN  0.495531E-001   1.42028                 NaN
  1243.52        500.000                 NaN   97.6636       0.399934       0.729455E-001  0.322086       0.117184                 NaN  0.478148E-001   1.37647                 NaN
  1242.48        500.000                 NaN   97.7320       0.389934       0.685579E-001  0.312832       0.114381                 NaN  0.461521E-001   1.33614                 NaN
  1241.44        500.000                 NaN   97.7993       0.377975       0.678518E-001  0.303331       0.110648                 NaN  0.445210E-001   1.29633                 NaN
  1240.41        500.000                 NaN   97.8634       0.634376E-001  0.368536       0.294687       0.108225                 NaN  0.429469E-001   1.25877                 NaN
  1239.37        500.000                 NaN   97.9248       0.599989E-001  0.358993       0.285900       0.105750                 NaN  0.415418E-001   1.22301                 NaN
  1238.34        500.000                 NaN   97.9819       0.348308       0.600953E-001  0.277858       0.102171                 NaN  0.400716E-001   1.18957                 NaN
  1237.30        500.000                 NaN   98.0359       0.338259       0.591614E-001  0.270206       0.996076E-001            NaN  0.387186E-001   1.15817                 NaN
  1236.26        500.000                 NaN   98.0910       0.328696       0.579789E-001  0.262463       0.965407E-001            NaN  0.373756E-001   1.12590                 NaN
  1235.23        500.000                 NaN   98.1408       0.319545       0.575353E-001  0.255427       0.937384E-001            NaN  0.361409E-001   1.09679                 NaN
  1234.19        500.000                 NaN   98.1894       0.604654E-001  0.308723       0.248307       0.900025E-001            NaN  0.348226E-001   1.06828                 NaN
  1233.15        500.000                 NaN   98.2350       0.299144       0.613943E-001  0.241647       0.871750E-001            NaN  0.336846E-001   1.04196                 NaN
  1232.12        500.000                 NaN   98.2798       0.636429E-001  0.288950       0.235353       0.839674E-001            NaN  0.324894E-001   1.01581                 NaN
  1231.08        500.000                 NaN   98.3235       0.281248       0.629311E-001  0.228914       0.815534E-001            NaN  0.314545E-001  0.990377                 NaN
  1230.05        500.000                 NaN   98.3647       0.670896E-001  0.270789       0.222940       0.779247E-001            NaN  0.302712E-001  0.966314                 NaN
  1229.01        500.000                 NaN   98.4035       0.702692E-001  0.261164       0.217201       0.747576E-001            NaN  0.292447E-001  0.943887                 NaN
  1227.97        500.000                 NaN   98.4419       0.251831       0.732183E-001  0.211638       0.717413E-001            NaN  0.282556E-001  0.921405                 NaN
  1226.94        500.000                 NaN   98.4782       0.796879E-001  0.241398       0.206209       0.676106E-001            NaN  0.271786E-001  0.899704                 NaN
  1225.90        500.000                 NaN   98.5132       0.849777E-001  0.231046       0.201036       0.641677E-001            NaN  0.262151E-001  0.879320                 NaN
  1224.86        500.000                 NaN   93.5792        1.06015                 NaN  0.941502       0.121012                 NaN  0.119955        4.17822                 NaN
  1223.83        500.000                 NaN   99.4680       0.211404                 NaN  0.404910E-001  0.438177E-001  0.227170       0.912311E-002            NaN            NaN
  1222.79        500.000                 NaN   98.3291       0.456174E-002            NaN  0.210094       0.300280                 NaN  0.425968E-001   1.11341                 NaN
  1221.76        500.000                 NaN   99.5497       0.995753E-001            NaN  0.187914E-001            NaN            NaN  0.437357E-002  0.327608                 NaN
  1220.72        500.000                 NaN   99.4966       0.168982       0.158986       0.175407                 NaN            NaN            NaN            NaN            NaN
  1219.68        500.000                 NaN   96.4129       0.810715                 NaN  0.363187                 NaN            NaN  0.680306E-001   2.34513                 NaN
  1218.65        500.000                 NaN   99.9429                 NaN            NaN  0.433917E-001            NaN            NaN  0.137208E-001            NaN            NaN
  1217.61        500.000                 NaN   99.6102                 NaN            NaN  0.512793E-001  0.108386                 NaN            NaN  0.230160                 NaN
  1216.57        500.000                 NaN   95.7578       0.164397        1.12495       0.536147                 NaN            NaN  0.350322E-001   2.38172                 NaN
  1215.54        500.000                 NaN   99.4802       0.111331                 NaN  0.502953E-001            NaN            NaN  0.102229E-001  0.347908                 NaN
  1214.50        500.000                 NaN   98.7714       0.992362E-002  0.338109       0.173373                 NaN            NaN  0.131054E-001  0.694073                 NaN
  1213.47        500.000                 NaN   97.9064       0.116156       0.127975       0.174842                 NaN            NaN  0.960726E-002  0.841172       0.823830     
  1212.43        500.000                 NaN   99.9155       0.503420E-001  0.875833E-006  0.104850E-001            NaN            NaN  0.255609E-003  0.234017E-001            NaN
  1211.39        500.000                 NaN   99.9805       0.110311E-001            NaN  0.472346E-004            NaN            NaN            NaN  0.839963E-002            NaN
  1210.36        500.000                 NaN   99.9739       0.314927E-002            NaN  0.584324E-002            NaN            NaN  0.560452E-002  0.115450E-001            NaN
  1209.32        500.000                 NaN   99.9517                 NaN            NaN  0.538857E-002            NaN            NaN  0.178491E-002  0.411227E-001            NaN
  1208.28        500.000                 NaN   99.9400       0.140355E-001  0.969530E-002  0.921345E-002            NaN            NaN            NaN  0.270156E-001            NaN
  1207.25        500.000                 NaN   98.9101       0.138986       0.131921       0.129557                 NaN            NaN  0.111611E-001  0.678239                 NaN
  1206.21        500.000                 NaN   97.6786       0.432601                 NaN  0.288059       0.106459                 NaN  0.394532E-001   1.45480                 NaN
  1205.18        500.000                 NaN   99.8048       0.428438E-001            NaN  0.227280E-001  0.334644E-002            NaN  0.341304E-002  0.122881                 NaN
  1204.14        500.000                 NaN   99.8097       0.272678E-001            NaN  0.258917E-001  0.208621E-001            NaN  0.269307E-002  0.113590                 NaN
  1203.10        500.000                 NaN   90.4386       0.664985       0.445397       0.836118       0.107109                 NaN  0.444561E-001   3.78684        3.67652     
  1202.07        500.000                 NaN   92.0864       0.628326                 NaN  0.670993       0.226904                 NaN  0.458062E-001   3.16040        3.18116     
  1201.03        500.000                 NaN   88.8269       0.653882                 NaN  0.934406       0.361791                 NaN  0.677274E-001   4.50462        4.65067     
  1199.99        500.000                 NaN   88.4364       0.983891                 NaN  0.976765       0.364852                 NaN  0.652699E-001   4.58310        4.58971     
  1198.96        500.000                 NaN   98.0333       0.313316                 NaN  0.158887                 NaN            NaN  0.226460E-001  0.741996       0.729883     
  1197.92        500.000                 NaN   92.3577       0.204786       0.126743E-004  0.678125       0.447204                 NaN  0.310429E-001   3.14447        3.13671     
  1196.89        500.000                 NaN   91.5973       0.998342                 NaN  0.669392       0.704039E-001            NaN  0.475522E-001   3.28898        3.32802     
  1195.85        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1194.81        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1193.78        500.000                 NaN   84.1567       0.454271        1.38483        1.33689       0.451233E-001            NaN  0.633143E-001   6.30845        6.25045     
  1192.74        500.000                 NaN   90.5999       0.465538       0.477052       0.781666       0.117251                 NaN  0.428505E-001   3.78597        3.72980     
  1191.70        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1190.67        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1189.63        500.000                 NaN   73.6273       0.971100E-001   1.97243        2.11162       0.566877                 NaN  0.130728        10.8486        10.6453     
  1188.60        500.000                 NaN   99.9996       0.166821E-004  0.135765E-004  0.349362E-004  0.116207E-004            NaN  0.232835E-005  0.183141E-003  0.177370E-003
  1187.56        500.000                 NaN   99.9974       0.171451E-003            NaN  0.203084E-003  0.753575E-004            NaN  0.118027E-004  0.107225E-002  0.102638E-002
  1186.52        500.000                 NaN   80.0921        1.29080                 NaN   1.50810       0.463471                 NaN  0.961444E-001   8.48770        8.06164     
  1185.49        500.000                 NaN   31.3256        4.12421                 NaN   4.97789        1.40837                 NaN  0.322500        29.8389        28.0025     
