|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1507.42        2500.00                 NaN   99.2860       0.666653       0.473495E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.91        2500.00                 NaN   99.8702       0.120395       0.936869E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.40        2500.00                 NaN   99.5828       0.388691       0.285482E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.89        2500.00                 NaN   99.5846       0.387216       0.281504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.38        2500.00                 NaN   99.5882       0.383503       0.283131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.87        2500.00                 NaN   99.5897       0.384059       0.262342E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.36        2500.00                 NaN   99.5259       0.156406       0.208206E-002            NaN  0.315563                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.85        2500.00                 NaN   99.4748                 NaN            NaN            NaN  0.525167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.34        2500.00                 NaN   99.4905       0.180153                 NaN            NaN  0.329378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.83        2500.00                 NaN   99.4784                 NaN            NaN            NaN  0.521594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.32        2500.00                 NaN   99.4797                 NaN            NaN            NaN  0.520336                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.81        2500.00                 NaN   99.4781                 NaN            NaN            NaN  0.521931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.30        2500.00                 NaN   99.4788                 NaN            NaN            NaN  0.521237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.79        2500.00                 NaN   99.4781                 NaN            NaN            NaN  0.521878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4760                 NaN            NaN            NaN  0.523964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.77        2500.00                 NaN   99.4731                 NaN            NaN            NaN  0.526913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.26        2500.00                 NaN   99.4742                 NaN            NaN            NaN  0.525787                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.75        2500.00                 NaN   99.4703                 NaN            NaN            NaN  0.529670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.24        2500.00                 NaN   99.4698                 NaN            NaN            NaN  0.530152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.73        2500.00                 NaN   99.4673                 NaN            NaN            NaN  0.532736                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.22        2500.00                 NaN   99.4628                 NaN  0.836836E-006            NaN  0.537150                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.71        2500.00                 NaN   99.4557                 NaN            NaN            NaN  0.544344                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.20        2500.00                 NaN   99.5407                 NaN            NaN            NaN  0.449306       0.100347E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1472.68        2500.00                 NaN   99.1728                 NaN            NaN            NaN  0.387975       0.439232                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.17        2500.00                 NaN   99.2135                 NaN            NaN            NaN  0.523069       0.263416                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.66        2500.00                 NaN   99.2199                 NaN            NaN            NaN  0.518903       0.261185                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.15        2500.00                 NaN   99.2253                 NaN            NaN            NaN  0.258941       0.515786                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.64        2500.00                 NaN   99.2329                 NaN            NaN            NaN  0.256392       0.510739                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.13        2500.00                 NaN   99.2388                 NaN            NaN            NaN  0.255040       0.506207                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.62        2500.00                 NaN   99.2451                 NaN            NaN            NaN  0.502391       0.252535                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.11        2500.00                 NaN   99.3468                 NaN            NaN            NaN  0.435139       0.218017                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.60        2500.00                 NaN   99.1574                 NaN            NaN            NaN  0.560275       0.282320                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.09        2500.00                 NaN   99.2648                 NaN            NaN            NaN  0.489159       0.246056                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.58        2500.00                 NaN   99.2677                 NaN            NaN            NaN  0.245439       0.486818                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.07        2500.00                 NaN   99.2746                 NaN            NaN            NaN  0.242672       0.482752                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.56        2500.00                 NaN   99.2795                 NaN            NaN            NaN  0.241817       0.478659                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.05        2500.00                 NaN   99.2849                 NaN            NaN            NaN  0.475934       0.239159                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.54        2500.00                 NaN   99.2903                 NaN            NaN            NaN  0.472260       0.237433                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.03        2500.00                 NaN   99.2957                 NaN            NaN            NaN  0.468997       0.235347                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        2500.00                 NaN   99.3014                 NaN            NaN            NaN  0.465138       0.233427                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.01        2500.00                 NaN   99.3048                 NaN            NaN            NaN  0.461835       0.233379                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.50        2500.00                 NaN   99.3100                 NaN            NaN            NaN  0.459018       0.230942                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        2500.00                 NaN   99.3170                 NaN            NaN            NaN  0.455280       0.227712                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.48        2500.00                 NaN   99.3191                 NaN            NaN            NaN  0.227660       0.453237                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.97        2500.00                 NaN   99.3263                 NaN            NaN            NaN  0.449269       0.224397                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        2500.00                 NaN   99.3273                 NaN            NaN            NaN  0.449252       0.223428                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.95        2500.00                 NaN   99.3374                 NaN            NaN            NaN  0.441525       0.221120                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.44        2500.00                 NaN   99.3361                 NaN            NaN            NaN  0.219781       0.444077                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00                 NaN   99.3428                 NaN            NaN            NaN  0.439077       0.218091                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.42        2500.00                 NaN   99.3450                 NaN            NaN            NaN  0.438587       0.216407                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.91        2500.00                 NaN   99.3533                 NaN            NaN            NaN  0.214228       0.432480                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        2500.00                 NaN   99.1282                 NaN  0.638789E-001            NaN  0.462387       0.216829                 NaN  0.128723                 NaN            NaN            NaN            NaN
  1428.89        2500.00                 NaN   98.3120                 NaN  0.107280E-001            NaN  0.445869       0.669980                 NaN  0.561459                 NaN            NaN            NaN            NaN
  1427.38        2500.00                 NaN   98.2962                 NaN  0.192049                 NaN  0.510780       0.397855                 NaN  0.603112                 NaN            NaN            NaN            NaN
  1425.87        2500.00                 NaN   98.3259                 NaN  0.191291                 NaN  0.386596       0.503054                 NaN  0.593189                 NaN            NaN            NaN            NaN
  1424.36        2500.00                 NaN   98.3579                 NaN  0.189684                 NaN  0.495209       0.374952                 NaN  0.582212                 NaN            NaN            NaN            NaN
  1422.85        2500.00                 NaN   98.3816                 NaN  0.190193                 NaN  0.490954       0.362776                 NaN  0.574456                 NaN            NaN            NaN            NaN
  1421.34        2500.00                 NaN   98.4165                 NaN  0.186947                 NaN  0.479348       0.354866                 NaN  0.562299                 NaN            NaN            NaN            NaN
  1419.83        2500.00                 NaN   98.5042                 NaN  0.179001                 NaN  0.329748       0.455489                 NaN  0.531544                 NaN            NaN            NaN            NaN
  1418.32        2500.00                 NaN   98.4158                 NaN  0.191368                 NaN  0.483760       0.346189                 NaN  0.562915                 NaN            NaN            NaN            NaN
  1416.81        2500.00                 NaN   98.4976                 NaN  0.184080                 NaN  0.323573       0.460041                 NaN  0.534697                 NaN            NaN            NaN            NaN
  1415.30        2500.00                 NaN   98.5279                 NaN  0.178528                 NaN  0.450551       0.319685                 NaN  0.523331                 NaN            NaN            NaN            NaN
  1413.79        2500.00                 NaN   98.5499                 NaN  0.185668                 NaN  0.298588       0.448330                 NaN  0.517516                 NaN            NaN            NaN            NaN
  1412.28        2500.00                 NaN   98.5749                 NaN  0.180853                 NaN  0.296416       0.439543                 NaN  0.508318                 NaN            NaN            NaN            NaN
  1410.77        2500.00                 NaN   98.5980                 NaN  0.179666                 NaN  0.285619       0.435858                 NaN  0.500871                 NaN            NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.6282                 NaN  0.177341                 NaN  0.278067       0.426924                 NaN  0.489447                 NaN            NaN            NaN            NaN
  1407.75        2500.00                 NaN   98.6453                 NaN  0.177317                 NaN  0.270496       0.422923                 NaN  0.483923                 NaN            NaN            NaN            NaN
  1406.24        2500.00                 NaN   98.8128                 NaN  0.159405                 NaN  0.225522       0.376740                 NaN  0.425540                 NaN            NaN            NaN            NaN
  1404.73        2500.00                 NaN   98.5246                 NaN  0.193794                 NaN  0.292646       0.462669                 NaN  0.526244                 NaN            NaN            NaN            NaN
  1403.22        2500.00                 NaN   98.7122                 NaN  0.173599                 NaN  0.405889       0.247622                 NaN  0.460653                 NaN            NaN            NaN            NaN
  1401.71        2500.00                 NaN   98.7312                 NaN  0.173032                 NaN  0.401933       0.239560                 NaN  0.454299                 NaN            NaN            NaN            NaN
  1400.20        2500.00                 NaN   98.7512                 NaN  0.172085                 NaN  0.232952       0.396442                 NaN  0.447306                 NaN            NaN            NaN            NaN
  1398.69        2500.00                 NaN   98.7698                 NaN  0.171195                 NaN  0.391471       0.226595                 NaN  0.440980                 NaN            NaN            NaN            NaN
  1397.18        2500.00                 NaN   98.7906                 NaN  0.169961                 NaN  0.386648       0.219268                 NaN  0.433535                 NaN            NaN            NaN            NaN
  1395.67        2500.00                 NaN   98.8063                 NaN  0.169472                 NaN  0.213787       0.382040                 NaN  0.428372                 NaN            NaN            NaN            NaN
  1394.16        2500.00                 NaN   98.8268                 NaN  0.168449                 NaN  0.377236       0.206349                 NaN  0.421133                 NaN            NaN            NaN            NaN
  1392.65        2500.00                 NaN   98.8463                 NaN  0.166125                 NaN  0.372313       0.201472                 NaN  0.413806                 NaN            NaN            NaN            NaN
  1391.14        2500.00                 NaN   98.8615                 NaN  0.166119                 NaN  0.368959       0.194579                 NaN  0.408848                 NaN            NaN            NaN            NaN
  1389.63        2500.00                 NaN   98.8283                 NaN  0.172679                 NaN  0.197612       0.380417                 NaN  0.421005                 NaN            NaN            NaN            NaN
  1388.12        2500.00                 NaN   98.9403                 NaN  0.156468                 NaN  0.346002       0.177384                 NaN  0.379806                 NaN            NaN            NaN            NaN
  1386.60        2500.00                 NaN   98.9103                 NaN  0.163227                 NaN  0.357342       0.177480                 NaN  0.391640                 NaN            NaN            NaN            NaN
  1385.09        2500.00                 NaN   98.9282                 NaN  0.161551                 NaN  0.173210       0.351787                 NaN  0.385259                 NaN            NaN            NaN            NaN
  1383.58        2500.00                 NaN   98.9434                 NaN  0.160796                 NaN  0.167147       0.348644                 NaN  0.380032                 NaN            NaN            NaN            NaN
  1382.07        2500.00                 NaN   98.9558                 NaN  0.159795                 NaN  0.345178       0.163628                 NaN  0.375591                 NaN            NaN            NaN            NaN
  1380.56        2500.00                 NaN   98.9747                 NaN  0.158382                 NaN  0.340344       0.157922                 NaN  0.368638                 NaN            NaN            NaN            NaN
  1379.05        2500.00                 NaN   98.9873                 NaN  0.157559                 NaN  0.153403       0.337474                 NaN  0.364269                 NaN            NaN            NaN            NaN
  1377.54        2500.00                 NaN   99.0006                 NaN  0.156790                 NaN  0.334710       0.148357                 NaN  0.359524                 NaN            NaN            NaN            NaN
  1376.03        2500.00                 NaN   99.0151                 NaN  0.155340                 NaN  0.330227       0.145059                 NaN  0.354311                 NaN            NaN            NaN            NaN
  1374.52        2500.00                 NaN   99.0244                 NaN  0.156288                 NaN  0.332820       0.134731                 NaN  0.351718                 NaN            NaN            NaN            NaN
  1373.01        2500.00                 NaN   99.0483                 NaN  0.150485                 NaN  0.320229       0.139398                 NaN  0.341633                 NaN            NaN            NaN            NaN
  1371.50        2500.00                 NaN   99.0559                 NaN  0.151615                 NaN  0.319659       0.133253                 NaN  0.339565                 NaN            NaN            NaN            NaN
  1369.99        2500.00                 NaN   99.0634                 NaN  0.151840                 NaN  0.318404       0.129008                 NaN  0.337390                 NaN            NaN            NaN            NaN
  1368.48        2500.00                 NaN   99.0866                 NaN  0.148608                 NaN  0.124403       0.312300                 NaN  0.328127                 NaN            NaN            NaN            NaN
  1366.97        2500.00                 NaN   99.0903                 NaN  0.150291                 NaN  0.315783       0.116289                 NaN  0.327356                 NaN            NaN            NaN            NaN
  1365.46        2500.00                 NaN   99.1058                 NaN  0.144881                 NaN  0.304586       0.123842                 NaN  0.320914                 NaN            NaN            NaN            NaN
  1363.95        2500.00                 NaN   99.1162                 NaN  0.145874                 NaN  0.304760       0.115429                 NaN  0.317781                 NaN            NaN            NaN            NaN
  1362.44        2500.00                 NaN   99.1298                 NaN  0.144908                 NaN  0.300697       0.111653                 NaN  0.312899                 NaN            NaN            NaN            NaN
  1360.93        2500.00                 NaN   99.1398                 NaN  0.142670                 NaN  0.111382       0.297352                 NaN  0.308809                 NaN            NaN            NaN            NaN
  1359.42        2500.00                 NaN   99.1511                 NaN  0.141396                 NaN  0.108149       0.294687                 NaN  0.304711                 NaN            NaN            NaN            NaN
  1357.91        2500.00                 NaN   99.1619                 NaN  0.140458                 NaN  0.291791       0.105000                 NaN  0.300848                 NaN            NaN            NaN            NaN
  1356.40        2500.00                 NaN   99.1728                 NaN  0.138925                 NaN  0.289002       0.102516                 NaN  0.296759                 NaN            NaN            NaN            NaN
  1354.89        2500.00                 NaN   99.1828                 NaN  0.137469                 NaN  0.286140       0.100601                 NaN  0.293035                 NaN            NaN            NaN            NaN
  1353.38        2500.00                 NaN   99.1930                 NaN  0.136701                 NaN  0.986013E-001  0.282101                 NaN  0.289548                 NaN            NaN            NaN            NaN
  1351.87        2500.00                 NaN   99.2042                 NaN  0.134442                 NaN  0.280628       0.959678E-001            NaN  0.284731                 NaN            NaN            NaN            NaN
  1350.36        2500.00                 NaN   99.2132                 NaN  0.133052                 NaN  0.946714E-001  0.277533                 NaN  0.281561                 NaN            NaN            NaN            NaN
  1348.85        2500.00                 NaN   99.2222                 NaN  0.131734                 NaN  0.923886E-001  0.275497                 NaN  0.278163                 NaN            NaN            NaN            NaN
  1347.34        2500.00                 NaN   99.2319                 NaN  0.129969                 NaN  0.914474E-001  0.272240                 NaN  0.274461                 NaN            NaN            NaN            NaN
  1345.83        2500.00                 NaN   99.2418                 NaN  0.128285                 NaN  0.901048E-001  0.269108                 NaN  0.270683                 NaN            NaN            NaN            NaN
  1344.32        2500.00                 NaN   99.2508                 NaN  0.126954                 NaN  0.266389       0.884865E-001            NaN  0.267321                 NaN            NaN            NaN            NaN
  1342.81        2500.00                 NaN   99.2597                 NaN  0.125279                 NaN  0.873528E-001  0.263758                 NaN  0.263883                 NaN            NaN            NaN            NaN
  1341.30        2500.00                 NaN   99.2688                 NaN  0.123856                 NaN  0.260624       0.861717E-001            NaN  0.260527                 NaN            NaN            NaN            NaN
  1339.79        2500.00                 NaN   99.2770                 NaN  0.121902                 NaN  0.853810E-001  0.258522                 NaN  0.257160                 NaN            NaN            NaN            NaN
  1338.28        2500.00                 NaN   99.2854                 NaN  0.120203                 NaN  0.255793       0.846256E-001            NaN  0.253975                 NaN            NaN            NaN            NaN
  1336.77        2500.00                 NaN   99.2935                 NaN  0.118646                 NaN  0.841969E-001  0.252778                 NaN  0.250875                 NaN            NaN            NaN            NaN
  1335.26        2500.00                 NaN   99.3018                 NaN  0.116673                 NaN  0.833991E-001  0.250601                 NaN  0.247515                 NaN            NaN            NaN            NaN
  1333.75        2500.00                 NaN   99.3098                 NaN  0.115208                 NaN  0.824333E-001  0.247975                 NaN  0.244548                 NaN            NaN            NaN            NaN
  1332.24        2500.00                 NaN   99.3177                 NaN  0.112926                 NaN  0.832084E-001  0.244737                 NaN  0.241380                 NaN            NaN            NaN            NaN
  1330.73        2500.00                 NaN   99.3254                 NaN  0.111236                 NaN  0.827403E-001  0.242342                 NaN  0.238275                 NaN            NaN            NaN            NaN
  1329.22        2500.00                 NaN   99.3302                 NaN  0.111029                 NaN  0.242506       0.794408E-001            NaN  0.236800                 NaN            NaN            NaN            NaN
  1327.71        2500.00                 NaN   99.3424                 NaN  0.106227                 NaN  0.847893E-001  0.235368                 NaN  0.231229                 NaN            NaN            NaN            NaN
  1326.20        2500.00                 NaN   99.3474                 NaN  0.105770                 NaN  0.829779E-001  0.234262                 NaN  0.229633                 NaN            NaN            NaN            NaN
  1324.69        2500.00                 NaN   99.3547                 NaN  0.104026                 NaN  0.231851       0.826927E-001            NaN  0.226757                 NaN            NaN            NaN            NaN
  1323.18        2500.00                 NaN   99.3614                 NaN  0.101862                 NaN  0.839266E-001  0.228833                 NaN  0.224026                 NaN            NaN            NaN            NaN
  1321.67        2500.00                 NaN   99.3680                 NaN  0.100258                 NaN  0.838095E-001  0.226439                 NaN  0.221467                 NaN            NaN            NaN            NaN
  1320.16        2500.00                 NaN   99.3751                 NaN  0.979659E-001            NaN  0.223634       0.848049E-001            NaN  0.218446                 NaN            NaN            NaN            NaN
  1318.65        2500.00                 NaN   99.3816                 NaN  0.961938E-001            NaN  0.853461E-001  0.220944                 NaN  0.215961                 NaN            NaN            NaN            NaN
  1317.14        2500.00                 NaN   99.3883                 NaN  0.941367E-001            NaN  0.217482       0.867918E-001            NaN  0.213309                 NaN            NaN            NaN            NaN
  1315.63        2500.00                 NaN   99.3942                 NaN  0.921831E-001            NaN  0.872590E-001  0.215569                 NaN  0.210793                 NaN            NaN            NaN            NaN
