|6.6.6
Archiving\03_Data\frac/QFM_m5/ALH/ALH_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1949.87        2500.00        95.6875       0.731015        3.58151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1947.37        2500.00        95.6796       0.731129        3.58931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1944.86        2500.00        95.6717       0.731243        3.59705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.36        2500.00        95.6638       0.731357        3.60480                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.85        2500.00        95.6560       0.731470        3.61252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1937.34        2500.00        95.6474       0.731589        3.62104                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1934.84        2500.00        95.6404       0.731697        3.62791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.33        2500.00        95.6326       0.731810        3.63558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.82        2500.00        95.6248       0.731923        3.64323                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1927.32        2500.00        95.6181       0.732028        3.64986                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1924.81        2500.00        95.5852       0.732317        3.68248                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1922.31        2500.00        95.6017       0.732260        3.66607                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.80        2500.00        95.5940       0.732373        3.67364                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1917.29        2500.00        95.5863       0.732485        3.68120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1914.79        2500.00        95.5787       0.732597        3.68874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1912.28        2500.00        95.5710       0.732708        3.69626                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1909.77        2500.00        95.5622       0.732828        3.70499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.27        2500.00        95.5558       0.732932        3.71124                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1904.76        2500.00        95.5469       0.733053        3.72008                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1902.26        2500.00        95.5407       0.733154        3.72614                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1899.75        2500.00        95.5332       0.733265        3.73358                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.24        2500.00        95.5256       0.733376        3.74098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.74        2500.00        95.5181       0.733487        3.74837                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1892.23        2500.00        95.5107       0.733598        3.75575                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1889.72        2500.00        95.5032       0.733708        3.76310                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.22        2500.00        95.4957       0.733819        3.77044                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.71        2500.00        95.4883       0.733929        3.77776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1882.21        2500.00        95.4809       0.734039        3.78506                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1879.70        2500.00        95.4735       0.734149        3.79234                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1877.19        2500.00        95.4661       0.734259        3.79960                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1874.69        2500.00        95.4588       0.734369        3.80685                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1872.18        2500.00        95.1340       0.734570        3.80877       0.322637                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1869.67        2500.00        99.5268                 NaN  0.516898E-002  0.468034                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1867.17        2500.00        99.5416                 NaN            NaN  0.458357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1864.66        2500.00        99.5351                 NaN            NaN  0.464949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.16        2500.00        98.9789                 NaN            NaN   1.02107                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1859.65        2500.00        99.9699                 NaN            NaN  0.301442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1857.14        2500.00        99.8594                 NaN            NaN  0.140650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1854.64        2500.00        99.3678                 NaN  0.487487E-002  0.627368                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.13        2500.00        99.5471                 NaN            NaN  0.452881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.62        2500.00        99.5474                 NaN            NaN  0.452591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1847.12        2500.00        99.5501                 NaN            NaN  0.449853                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1844.61        2500.00        99.9150                 NaN            NaN  0.849528E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.11        2500.00        99.1883                 NaN            NaN  0.811654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.60        2500.00        99.5553                 NaN            NaN  0.444681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1837.09        2500.00        99.5552                 NaN            NaN  0.444847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1834.59        2500.00        99.5564                 NaN            NaN  0.443635                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1832.08        2500.00        99.5580                 NaN            NaN  0.441995                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1829.57        2500.00        99.5596                 NaN            NaN  0.440375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1827.07        2500.00        99.5595                 NaN            NaN  0.440452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1824.56        2500.00        99.5616                 NaN            NaN  0.438398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1822.06        2500.00        99.4082                 NaN            NaN  0.591825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1819.55        2500.00        99.7144                 NaN            NaN  0.285630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        2500.00        99.5646                 NaN            NaN  0.435363                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        2500.00        99.5615                 NaN            NaN  0.438526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        2500.00        99.5672                 NaN            NaN  0.432783                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        2500.00        99.5655                 NaN            NaN  0.434501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        2500.00        99.5657                 NaN            NaN  0.434342                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        2500.00        99.5582                 NaN            NaN  0.441757                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        2500.00        99.5743                 NaN            NaN  0.425689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        2500.00        99.5659                 NaN            NaN  0.434063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        2500.00        99.5827                 NaN            NaN  0.417332                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        2500.00        99.5508                 NaN            NaN  0.449207                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        2500.00        99.5675                 NaN            NaN  0.432495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        2500.00        99.5652                 NaN            NaN  0.434831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        2500.00        99.5670                 NaN            NaN  0.432966                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        2500.00        99.5663                 NaN            NaN  0.433733                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        2500.00        99.5637                 NaN            NaN  0.436297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        2500.00        99.3293                 NaN            NaN  0.660289       0.104359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        2500.00        99.7964                 NaN            NaN  0.203587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        2500.00        99.8715                 NaN            NaN  0.128483                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        2500.00        99.2585                 NaN            NaN  0.741501                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        2500.00        99.5643                 NaN            NaN  0.435695                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        2500.00        99.6396                 NaN            NaN  0.355828       0.453170E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        2500.00        99.4737                 NaN            NaN  0.514978       0.112848E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        2500.00        99.5544                 NaN            NaN  0.436054       0.952982E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        2500.00        99.5538                 NaN            NaN  0.436676       0.950174E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        2500.00        99.5526                 NaN            NaN  0.437943       0.947460E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        2500.00        99.5518                 NaN            NaN  0.438782       0.945288E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        2500.00        99.5501                 NaN            NaN  0.440427       0.943920E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        2500.00        99.2883                 NaN            NaN  0.696820       0.148437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        2500.00        99.8101                 NaN            NaN  0.185943       0.392386E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        2500.00        99.5479                 NaN            NaN  0.442789       0.934974E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        2500.00        99.5459                 NaN            NaN  0.444800       0.934344E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        2500.00        99.5456                 NaN            NaN  0.445079       0.930070E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        2500.00        99.5445                 NaN            NaN  0.446251       0.927591E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        2500.00        99.5428                 NaN            NaN  0.447948       0.926744E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        2500.00        99.4303                 NaN            NaN  0.558308       0.113910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        2500.00        99.6490                 NaN            NaN  0.343836       0.712154E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        2500.00        99.5866                 NaN            NaN  0.405071       0.828717E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        2500.00        99.4903                 NaN            NaN  0.499635       0.101045E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        2500.00        99.5263                 NaN            NaN  0.464464       0.923598E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        2500.00        99.5450                 NaN            NaN  0.445995       0.902440E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        2500.00        99.5290                 NaN            NaN  0.461859       0.918892E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        2500.00        99.5364                 NaN            NaN  0.454636       0.898635E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        2500.00        99.0682                 NaN            NaN  0.914023       0.177310E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        2500.00        99.9939                 NaN            NaN  0.594048E-002  0.114711E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        2500.00        99.5267                 NaN            NaN  0.464222       0.904375E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        2500.00        99.5262                 NaN            NaN  0.464763       0.901073E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        2500.00        99.5248                 NaN            NaN  0.466195       0.898297E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        2500.00        99.5236                 NaN            NaN  0.467410       0.895271E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        2500.00        99.5186                 NaN            NaN  0.472371       0.898402E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        2500.00        99.5231                 NaN            NaN  0.468082       0.886545E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        2500.00        99.5188                 NaN            NaN  0.472328       0.891139E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        2500.00        99.5152                 NaN            NaN  0.475891       0.893364E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        2500.00        99.5182                 NaN            NaN  0.472995       0.881626E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        2500.00        99.5145                 NaN            NaN  0.476665       0.884342E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        2500.00        99.5134                 NaN            NaN  0.477754       0.882481E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        2500.00        99.5118                 NaN            NaN  0.479399       0.881845E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        2500.00        99.5118                 NaN            NaN  0.479428       0.876879E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        2500.00        99.5094                 NaN            NaN  0.481820       0.876343E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        2500.00        99.5094                 NaN            NaN  0.481853       0.873705E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        2500.00        99.5076                 NaN            NaN  0.483716       0.872740E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        99.5076                 NaN            NaN  0.483729       0.870189E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        2500.00        99.5056                 NaN            NaN  0.485714       0.869744E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        2500.00        99.5054                 NaN            NaN  0.485926       0.866058E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        2500.00        99.5027                 NaN            NaN  0.488589       0.868317E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        2500.00        99.5034                 NaN            NaN  0.487975       0.862510E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        2500.00        98.8875                 NaN            NaN  0.325232       0.113991E-002  0.786134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        2500.00        98.2271                 NaN            NaN  0.133642                 NaN   1.63921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        2500.00        98.2436                 NaN            NaN  0.130092                 NaN   1.62634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        2500.00        98.2867                 NaN            NaN  0.126739                 NaN   1.58657                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        2500.00        98.3146                 NaN            NaN  0.124832                 NaN   1.56058                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        2500.00        98.3327                 NaN            NaN  0.123206                 NaN   1.54410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        2500.00        98.3936                 NaN            NaN  0.115611                 NaN   1.49077                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        2500.00        98.3898                 NaN            NaN  0.115407                 NaN   1.49481                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        2500.00        98.4554                 NaN            NaN  0.109198                 NaN   1.43539                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        2500.00        98.4691                 NaN            NaN  0.108519                 NaN   1.42240                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        2500.00        98.4919                 NaN            NaN  0.105265                 NaN   1.40282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        2500.00        98.4624                 NaN            NaN  0.107737                 NaN   1.42985                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        2500.00        98.6059                 NaN            NaN  0.967697E-001            NaN   1.29729                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        2500.00        98.5701                 NaN            NaN  0.974540E-001            NaN   1.33245                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        2500.00        98.5928                 NaN            NaN  0.949244E-001            NaN   1.31232                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        2500.00        98.6220                 NaN            NaN  0.919177E-001            NaN   1.28610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00        98.6423                 NaN            NaN  0.888152E-001            NaN   1.26889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        2500.00        98.6650                 NaN            NaN  0.869641E-001            NaN   1.24807                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        2500.00        98.6871                 NaN            NaN  0.846099E-001            NaN   1.22830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        2500.00        98.7072                 NaN            NaN  0.811401E-001            NaN   1.21163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        2500.00        98.7266                 NaN            NaN  0.784609E-001            NaN   1.19498                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        2500.00        98.7470                 NaN            NaN  0.768798E-001            NaN   1.17616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        2500.00        98.7671                 NaN            NaN  0.754930E-001            NaN   1.15743                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        2500.00        94.8028                 NaN            NaN  0.326327                 NaN   4.87083                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        2500.00        99.2778                 NaN            NaN  0.135555E-001            NaN  0.708636                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        2500.00        99.0222                 NaN            NaN  0.529220E-001            NaN  0.924864                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        2500.00        98.8913                 NaN            NaN  0.563700E-001            NaN   1.05228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        98.9071                 NaN            NaN  0.622838E-001            NaN   1.03063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00        98.6628                 NaN            NaN  0.709445E-001            NaN   1.26630                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        2500.00        99.8097                 NaN            NaN  0.992674E-002            NaN  0.180385                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        2500.00        98.3424                 NaN            NaN  0.829099E-001            NaN   1.57469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        2500.00        98.9692                 NaN            NaN  0.498878E-001            NaN  0.980880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        2500.00        98.9809                 NaN            NaN  0.565974E-001            NaN  0.962537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        2500.00        98.8345                 NaN            NaN  0.859241E-006            NaN  0.387501       0.777991                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        2500.00        98.7703                 NaN            NaN  0.158298E-001            NaN  0.757976E-001   1.13811                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        2500.00        98.7775                 NaN            NaN            NaN            NaN  0.691227E-001   1.15333                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        2500.00        98.7858                 NaN            NaN            NaN            NaN  0.636947E-001   1.15049                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        2500.00        99.4114                 NaN            NaN            NaN            NaN  0.282763E-001  0.560279                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        2500.00        98.1832                 NaN            NaN            NaN            NaN  0.788784E-001   1.73788                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        2500.00        98.8065                 NaN            NaN            NaN            NaN  0.439544E-001   1.14950                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        2500.00        98.8141                 NaN            NaN            NaN            NaN  0.368077E-001   1.14912                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.8185                 NaN            NaN            NaN            NaN  0.296361E-001   1.15186                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        2500.00        98.8195                 NaN            NaN            NaN            NaN  0.217318E-001   1.15875                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        2500.00        98.8239                 NaN            NaN            NaN            NaN  0.140695E-001   1.16203                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        2500.00        98.8280                 NaN            NaN            NaN            NaN  0.692155E-002   1.16504                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        2500.00        98.8283                 NaN            NaN            NaN            NaN  0.512649E-001   1.12040                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        2500.00        98.8193                 NaN            NaN            NaN            NaN            NaN   1.18067                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        2500.00        98.8180                 NaN            NaN            NaN            NaN            NaN   1.18197                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        2500.00        98.8177                 NaN            NaN            NaN            NaN            NaN   1.18232                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        2500.00        98.8056                 NaN            NaN            NaN            NaN            NaN   1.19438                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        2500.00        98.6677                 NaN            NaN            NaN            NaN            NaN  0.179000        1.15329                 NaN            NaN            NaN            NaN            NaN
  1518.80        2500.00        98.0706                 NaN            NaN            NaN            NaN            NaN   1.08144       0.847932                 NaN            NaN            NaN            NaN            NaN
  1516.29        2500.00        98.1060                 NaN            NaN            NaN            NaN            NaN  0.832576        1.06145                 NaN            NaN            NaN            NaN            NaN
  1513.78        2500.00        98.1404                 NaN            NaN            NaN            NaN            NaN   1.04095       0.818656                 NaN            NaN            NaN            NaN            NaN
  1511.28        2500.00        98.1742                 NaN            NaN            NaN            NaN            NaN  0.802560        1.02327                 NaN            NaN            NaN            NaN            NaN
  1508.77        2500.00        98.2060                 NaN            NaN            NaN            NaN            NaN  0.788418        1.00558                 NaN            NaN            NaN            NaN            NaN
  1506.27        2500.00        98.2387                 NaN            NaN            NaN            NaN            NaN  0.773936       0.987379                 NaN            NaN            NaN            NaN            NaN
  1503.76        2500.00        99.0035                 NaN            NaN            NaN            NaN            NaN  0.558318       0.438185                 NaN            NaN            NaN            NaN            NaN
