|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.25/YM20/YM20_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        Sp(TH)         ilm            q             
  1412.95        500.000        98.2825                 NaN            NaN  0.485283       0.764716       0.467476                 NaN            NaN            NaN            NaN
  1411.60        500.000        98.3103                 NaN            NaN  0.752496       0.477398       0.459814                 NaN            NaN            NaN            NaN
  1410.26        500.000        98.3383                 NaN            NaN  0.740298       0.469208       0.452166                 NaN            NaN            NaN            NaN
  1408.91        500.000        98.3668                 NaN            NaN  0.460853       0.727937       0.444368                 NaN            NaN            NaN            NaN
  1407.56        500.000        98.3858                 NaN            NaN  0.720058       0.454434       0.439755                 NaN            NaN            NaN            NaN
  1406.21        500.000        98.4257                 NaN            NaN  0.702605       0.443665       0.428049                 NaN            NaN            NaN            NaN
  1404.86        500.000        98.4435                 NaN            NaN  0.438545       0.694677       0.423249                 NaN            NaN            NaN            NaN
  1403.51        500.000        98.4690                 NaN            NaN  0.683934       0.430824       0.416291                 NaN            NaN            NaN            NaN
  1402.16        500.000        98.4925                 NaN            NaN  0.424107       0.673545       0.409876                 NaN            NaN            NaN            NaN
  1400.81        500.000        98.5132                 NaN            NaN  0.417775       0.664832       0.404232                 NaN            NaN            NaN            NaN
  1399.46        500.000        98.5362                 NaN            NaN  0.654873       0.411120       0.397817                 NaN            NaN            NaN            NaN
  1398.11        500.000        98.5651                 NaN            NaN  0.642295       0.402851       0.389791                 NaN            NaN            NaN            NaN
  1396.76        500.000        98.7491                 NaN            NaN  0.351842       0.559458       0.339599                 NaN            NaN            NaN            NaN
  1395.41        500.000        98.4306                 NaN            NaN  0.438959       0.704136       0.426269                 NaN            NaN            NaN            NaN
  1394.06        500.000        98.6240                 NaN            NaN  0.617120       0.385266       0.373588                 NaN            NaN            NaN            NaN
  1392.71        500.000        98.6427       0.159235E-005            NaN  0.379802       0.609047       0.368413                 NaN            NaN            NaN            NaN
  1391.36        500.000        98.7709       0.116004                 NaN  0.366447       0.397468       0.349179                 NaN            NaN            NaN            NaN
  1390.01        500.000        98.5782       0.293605E-005            NaN  0.396966       0.639127       0.385665                 NaN            NaN            NaN            NaN
  1388.66        500.000        98.7009       0.228861E-001            NaN  0.553597       0.367125       0.355500                 NaN            NaN            NaN            NaN
  1387.31        500.000        97.9868       0.145556                 NaN  0.594357       0.709552       0.563691                 NaN            NaN            NaN            NaN
  1385.96        500.000        99.4820       0.379001E-001            NaN  0.152365       0.182595       0.145154                 NaN            NaN            NaN            NaN
  1384.61        500.000        98.7596       0.916048E-001            NaN  0.363538       0.436984       0.348260                 NaN            NaN            NaN            NaN
  1383.26        500.000        98.7763       0.923637E-001            NaN  0.359410       0.428236       0.343679                 NaN            NaN            NaN            NaN
  1381.92        500.000        98.7941       0.925376E-001            NaN  0.354152       0.420383       0.338874                 NaN            NaN            NaN            NaN
  1380.57        500.000        98.8097       0.931104E-001            NaN  0.349845       0.412767       0.334563                 NaN            NaN            NaN            NaN
  1379.22        500.000        98.8090       0.972573E-001            NaN  0.348978       0.408049       0.336705                 NaN            NaN            NaN            NaN
  1377.87        500.000        98.8599       0.903014E-001            NaN  0.336736       0.393714       0.319306                 NaN            NaN            NaN            NaN
  1376.52        500.000        98.8563       0.945418E-001            NaN  0.390621       0.336842       0.321729                 NaN            NaN            NaN            NaN
  1375.17        500.000        98.8709       0.948615E-001            NaN  0.332425       0.384049       0.317767                 NaN            NaN            NaN            NaN
  1373.82        500.000        98.8844       0.961650E-001            NaN  0.376221       0.329109       0.314074                 NaN            NaN            NaN            NaN
  1372.47        500.000        98.9011       0.952558E-001            NaN  0.370300       0.324068       0.309256                 NaN            NaN            NaN            NaN
  1371.12        500.000        98.9140       0.961393E-001            NaN  0.363383       0.320785       0.305682                 NaN            NaN            NaN            NaN
  1369.77        500.000        98.9657       0.939250E-001            NaN  0.305664       0.343007       0.291726                 NaN            NaN            NaN            NaN
  1368.42        500.000        98.8967       0.999595E-001            NaN  0.326256       0.366977       0.310156                 NaN            NaN            NaN            NaN
  1367.07        500.000        98.9537       0.973005E-001            NaN  0.309481       0.344650       0.294825                 NaN            NaN            NaN            NaN
  1365.72        500.000        98.9663       0.979732E-001            NaN  0.306116       0.338201       0.291412                 NaN            NaN            NaN            NaN
  1364.37        500.000        98.9797       0.979065E-001            NaN  0.302170       0.332691       0.287504                 NaN            NaN            NaN            NaN
  1363.02        500.000        98.9911       0.987991E-001            NaN  0.326222       0.299432       0.284420                 NaN            NaN            NaN            NaN
  1361.67        500.000        99.0040       0.986932E-001            NaN  0.321138       0.295384       0.280773                 NaN            NaN            NaN            NaN
  1360.32        500.000        99.0145       0.992900E-001            NaN  0.292854       0.315529       0.277807                 NaN            NaN            NaN            NaN
  1358.97        500.000        99.0272       0.997438E-001            NaN  0.289110       0.309697       0.274273                 NaN            NaN            NaN            NaN
  1357.62        500.000        99.0386       0.997462E-001            NaN  0.285861       0.304688       0.271104                 NaN            NaN            NaN            NaN
  1356.27        500.000        99.0496       0.100237                 NaN  0.282810       0.299308       0.268086                 NaN            NaN            NaN            NaN
  1354.92        500.000        99.0601       0.100744                 NaN  0.293960       0.280041       0.265124                 NaN            NaN            NaN            NaN
  1353.58        500.000        99.0701       0.100809                 NaN  0.277300       0.289542       0.262243                 NaN            NaN            NaN            NaN
  1352.23        500.000        99.0819       0.100872                 NaN  0.273641       0.284583       0.258960                 NaN            NaN            NaN            NaN
  1350.88        500.000        99.0918       0.101200                 NaN  0.271000       0.279869       0.256140                 NaN            NaN            NaN            NaN
  1349.53        500.000        99.1016       0.101474                 NaN  0.275177       0.268293       0.253437                 NaN            NaN            NaN            NaN
  1348.18        500.000        99.1120       0.101804                 NaN  0.270226       0.265467       0.250479                 NaN            NaN            NaN            NaN
  1346.83        500.000        99.1219       0.101791                 NaN  0.262616       0.266038       0.247693                 NaN            NaN            NaN            NaN
  1345.48        500.000        99.1317       0.102320                 NaN  0.260948       0.260064       0.245017                 NaN            NaN            NaN            NaN
  1344.13        500.000        99.1404       0.102252                 NaN  0.257589       0.257302       0.242465                 NaN            NaN            NaN            NaN
  1342.78        500.000        99.1498       0.102491                 NaN  0.254787       0.253081       0.239870                 NaN            NaN            NaN            NaN
  1341.43        500.000        99.1594       0.102582                 NaN  0.248700       0.252313       0.237015                 NaN            NaN            NaN            NaN
  1340.08        500.000        99.1682       0.102503                 NaN  0.249754       0.244991       0.234565                 NaN            NaN            NaN            NaN
  1338.73        500.000        98.5643       0.182558                 NaN  0.431815       0.415725       0.405571                 NaN            NaN            NaN            NaN
  1337.38        500.000        99.7985       0.215831E-001            NaN  0.596795E-001  0.647222E-001  0.555541E-001            NaN            NaN            NaN            NaN
  1336.03        500.000        99.1944       0.102917                 NaN  0.242490       0.233034       0.227130                 NaN            NaN            NaN            NaN
  1334.68        500.000        99.2019       0.102810                 NaN  0.240273       0.230086       0.224884                 NaN            NaN            NaN            NaN
  1333.33        500.000        99.2106       0.103020                 NaN  0.225929       0.237936       0.222469                 NaN            NaN            NaN            NaN
  1331.98        500.000        99.2185       0.102795                 NaN  0.222936       0.235659       0.220115                 NaN            NaN            NaN            NaN
  1330.63        500.000        99.2264       0.102785                 NaN  0.219462       0.233451       0.217900                 NaN            NaN            NaN            NaN
  1329.28        500.000        99.2343       0.102814                 NaN  0.231329       0.215892       0.215692                 NaN            NaN            NaN            NaN
  1327.93        500.000        99.2422       0.102662                 NaN  0.228965       0.212870       0.213323                 NaN            NaN            NaN            NaN
  1326.58        500.000        99.2500       0.102587                 NaN  0.226736       0.209484       0.211147                 NaN            NaN            NaN            NaN
  1325.24        500.000        99.2571       0.102416                 NaN  0.206748       0.224670       0.209029                 NaN            NaN            NaN            NaN
  1323.89        500.000        99.2644       0.102509                 NaN  0.203428       0.222700       0.206924                 NaN            NaN            NaN            NaN
  1322.54        500.000        99.2712       0.102317                 NaN  0.220700       0.200856       0.204961                 NaN            NaN            NaN            NaN
  1321.19        500.000        99.2775       0.102541                 NaN  0.219038       0.197834       0.203097                 NaN            NaN            NaN            NaN
  1319.84        500.000        99.2859       0.101002                 NaN  0.196334       0.216287       0.200501                 NaN            NaN            NaN            NaN
  1318.49        500.000        99.2648       0.643526E-001            NaN  0.260343       0.206949       0.203515                 NaN            NaN            NaN            NaN
  1317.14        500.000        99.3232       0.140913                 NaN  0.223185       0.119281       0.193436                 NaN            NaN            NaN            NaN
  1315.79        500.000        99.3080       0.991724E-001            NaN  0.189373       0.209789       0.193686                 NaN            NaN            NaN            NaN
  1314.44        500.000        99.3123       0.100249                 NaN  0.208586       0.186024       0.192834                 NaN            NaN            NaN            NaN
  1313.09        500.000        99.3183       0.100093                 NaN  0.183525       0.206949       0.191116                 NaN            NaN            NaN            NaN
  1311.74        500.000        99.3251       0.997233E-001            NaN  0.204845       0.181232       0.189135                 NaN            NaN            NaN            NaN
  1310.39        500.000        99.3314       0.996009E-001            NaN  0.178544       0.203192       0.187296                 NaN            NaN            NaN            NaN
  1309.04        500.000        99.3372       0.992537E-001            NaN  0.176727       0.201192       0.185664                 NaN            NaN            NaN            NaN
  1307.69        500.000        99.3438       0.980583E-001            NaN  0.175341       0.199361       0.183468                 NaN            NaN            NaN            NaN
  1306.34        500.000        99.3495       0.980547E-001            NaN  0.197703       0.172845       0.181908                 NaN            NaN            NaN            NaN
  1304.99        500.000        99.3505       0.103166                 NaN  0.164669       0.199315       0.182395                 NaN            NaN            NaN            NaN
  1303.64        500.000        99.3665       0.915363E-001            NaN  0.190475       0.175448       0.176086                 NaN            NaN            NaN            NaN
  1302.29        500.000        99.3665       0.964223E-001            NaN  0.167821       0.192469       0.176786                 NaN            NaN            NaN            NaN
  1300.94        500.000        99.3718       0.959765E-001            NaN  0.191215       0.165739       0.175223                 NaN            NaN            NaN            NaN
  1299.59        500.000        99.3780       0.951507E-001            NaN  0.188913       0.164560       0.173405                 NaN            NaN            NaN            NaN
  1298.24        500.000        99.3832       0.942214E-001            NaN  0.187279       0.163560       0.171729                 NaN            NaN            NaN            NaN
  1296.90        500.000        99.3877       0.938589E-001            NaN  0.162205       0.185824       0.170379                 NaN            NaN            NaN            NaN
  1295.55        500.000        99.3940       0.926078E-001            NaN  0.183721       0.161223       0.168460                 NaN            NaN            NaN            NaN
  1294.20        500.000        99.3993       0.921177E-001            NaN  0.159590       0.182075       0.166884                 NaN            NaN            NaN            NaN
  1292.85        500.000        99.4039       0.915629E-001            NaN  0.180730       0.158321       0.165499                 NaN            NaN            NaN            NaN
  1291.50        500.000        99.4092       0.908054E-001            NaN  0.157097       0.179001       0.163907                 NaN            NaN            NaN            NaN
  1290.15        500.000        99.4140       0.899558E-001            NaN  0.177249       0.156330       0.162469                 NaN            NaN            NaN            NaN
  1288.80        500.000        99.4176       0.895813E-001            NaN  0.155322       0.176110       0.161430                 NaN            NaN            NaN            NaN
  1287.45        500.000        99.4240       0.878566E-001            NaN  0.173544       0.155200       0.159426                 NaN            NaN            NaN            NaN
  1286.10        500.000        99.4300       0.871468E-001            NaN  0.152613       0.172754       0.157480                 NaN            NaN            NaN            NaN
  1284.75        500.000        99.4334       0.863316E-001            NaN  0.170715       0.152997       0.156580                 NaN            NaN            NaN            NaN
  1283.40        500.000        95.1706       0.238290                 NaN  0.842369       0.557980       0.610868        2.57992                 NaN            NaN            NaN
  1282.05        500.000        86.9638       0.505822                 NaN   1.30083        2.21833        1.48713        7.52405                 NaN            NaN            NaN
  1280.70        500.000        87.8692       0.470105                 NaN   2.07996        1.22302        1.39240        6.96527                 NaN            NaN            NaN
  1279.35        500.000        88.7137       0.442980                 NaN   1.15114        1.94019        1.30340        6.44858                 NaN            NaN            NaN
  1278.00        500.000        89.4291       0.413911                 NaN   1.08676        1.83307        1.22795        6.00919                 NaN            NaN            NaN
  1276.65        500.000        90.0709       0.389150                 NaN   1.02833        1.73546        1.16003        5.61612                 NaN            NaN            NaN
  1275.30        500.000        90.6486       0.367859                 NaN  0.975963        1.64572        1.09871        5.26312                 NaN            NaN            NaN
  1273.95        500.000        91.1570       0.345998                 NaN  0.927982        1.57236        1.04459        4.95210                 NaN            NaN            NaN
  1272.60        500.000        91.6241       0.326646                 NaN  0.883004        1.50521       0.994698        4.66633                 NaN            NaN            NaN
  1271.25        500.000        92.0374       0.308421                 NaN   1.44800       0.842123       0.950490        4.41361                 NaN            NaN            NaN
  1269.90        500.000        92.4250       0.291955                 NaN  0.803600        1.39264       0.908779        4.17804                 NaN            NaN            NaN
  1268.56        500.000        92.7670       0.276408                 NaN   1.34730       0.768197       0.872026        3.96908                 NaN            NaN            NaN
  1267.21        500.000        92.0585                 NaN            NaN  0.836253        1.68489       0.945013        4.28354       0.191815                 NaN            NaN
  1265.86        500.000        89.9638                 NaN            NaN   1.34435        1.48054        1.20386        5.32914       0.678278                 NaN            NaN
  1264.51        500.000        90.9229                 NaN            NaN   1.21497        1.34215        1.09426        4.81339       0.612350                 NaN            NaN
  1263.16        500.000        91.7270                 NaN            NaN   1.10753        1.22484        1.00207        4.38086       0.557711                 NaN            NaN
  1261.81        500.000        92.4007                 NaN            NaN   1.01847        1.12359       0.924295        4.02004       0.512906                 NaN            NaN
  1260.46        500.000        92.9779                 NaN            NaN  0.943165        1.03451       0.857487        3.71128       0.475698                 NaN            NaN
  1259.11        500.000        93.4725                 NaN            NaN  0.878553       0.957248       0.800098        3.44763       0.443997                 NaN            NaN
  1257.76        500.000        93.9021                 NaN            NaN  0.824000       0.888663       0.749893        3.21836       0.417022                 NaN            NaN
  1256.41        500.000        94.2782                 NaN            NaN  0.775553       0.827567       0.705797        3.01922       0.393717                 NaN            NaN
  1255.06        500.000        94.6116                 NaN            NaN  0.733563       0.772251       0.666476        2.84273       0.373375                 NaN            NaN
  1253.71        500.000        94.9094                 NaN            NaN  0.721577       0.696342       0.631190        2.68579       0.355679                 NaN            NaN
  1252.36        500.000        95.1757                 NaN            NaN  0.662898       0.676618       0.599426        2.54578       0.339577                 NaN            NaN
  1251.01        500.000        95.4160                 NaN            NaN  0.632981       0.635226       0.570707        2.41977       0.325324                 NaN            NaN
  1249.66        500.000        93.9273                 NaN            NaN  0.765137       0.878091       0.771830        3.21400       0.443649                 NaN            NaN
  1248.31        500.000        95.8964                 NaN            NaN  0.460443       0.593702       0.504018        2.22272       0.322740                 NaN            NaN
  1246.96        500.000        94.0622                 NaN            NaN   1.29526       0.654756       0.740808        3.24696                 NaN            NaN            NaN
  1245.61        500.000        98.9185                 NaN            NaN  0.928374E-001            NaN  0.130341       0.476979       0.381372                 NaN            NaN
  1244.26        500.000        96.9381                 NaN            NaN  0.700158       0.134591E-001  0.388349        1.55641       0.403552                 NaN            NaN
  1242.91        500.000        96.2112                 NaN            NaN  0.663749       0.219716       0.474921        1.98373       0.446635                 NaN            NaN
  1241.56        500.000        97.3067                 NaN            NaN  0.240083       0.656611       0.336092        1.43664       0.238682E-001            NaN            NaN
  1240.22        500.000        94.7764                 NaN            NaN  0.815074       0.714830       0.642920        2.86226       0.188541                 NaN            NaN
  1238.87        500.000        99.2499                 NaN            NaN  0.567842E-001  0.461363E-001  0.122043       0.279855       0.245318                 NaN            NaN
  1237.52        500.000        99.6197       0.258239E-001            NaN  0.941521E-001            NaN  0.523623E-001  0.204054       0.387318E-002            NaN            NaN
  1236.17        500.000        99.4695                 NaN            NaN  0.571609E-002  0.137560       0.532080E-001  0.330329       0.365019E-002            NaN            NaN
  1234.82        500.000        90.6601                 NaN            NaN   1.75245       0.497460        1.17489        4.99540       0.919685                 NaN            NaN
  1233.47        500.000        98.6447                 NaN            NaN  0.505771                 NaN  0.151384       0.698138                 NaN            NaN            NaN
  1232.12        500.000        97.3598                 NaN            NaN  0.401111       0.270829       0.328565        1.42588       0.213789                 NaN            NaN
  1230.77        500.000        97.4718                 NaN            NaN  0.261860       0.379371       0.314163        1.36862       0.204179                 NaN            NaN
  1229.42        500.000        96.0545                 NaN            NaN  0.600940       0.395769       0.506817        2.09836       0.343641                 NaN            NaN
  1228.07        500.000        99.0968                 NaN            NaN  0.831721E-001  0.136851       0.106814       0.504836       0.715372E-001            NaN            NaN
  1226.72        500.000        96.9929                 NaN            NaN  0.540509       0.299126       0.395906        1.56496       0.206552                 NaN            NaN
  1225.37        500.000        96.5058                 NaN            NaN  0.712407       0.821198E-001  0.444076        1.88171       0.366464       0.737560E-002            NaN
  1224.02        500.000        93.7314                 NaN            NaN  0.419248        1.08817       0.696779        3.65731       0.285777       0.121288                 NaN
  1222.67        500.000       100.0000                 NaN            NaN  0.162280E-004            NaN  0.876718E-005  0.152571E-004  0.397476E-005            NaN            NaN
  1221.32        500.000        99.9991                 NaN            NaN  0.310362E-003  0.245576E-004  0.110341E-003  0.408164E-003            NaN            NaN            NaN
  1219.97        500.000        99.7106                 NaN            NaN  0.453207E-001            NaN  0.344941E-001  0.160683                 NaN  0.489296E-001            NaN
  1218.62        500.000        97.3062                 NaN            NaN  0.339625       0.391531       0.330026        1.50203       0.130620                 NaN            NaN
