|6.6.6
Archiving\03_Data\Deq/QFM_m1/WD94/WD94_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1099.36        2500.00                 NaN   1.22443        54.7310        28.8103        8.94504        3.76041        2.52882                 NaN
  1096.15        2500.00                 NaN   1.22446        54.7307        28.8104        8.94503        3.76044        2.52897                 NaN
  1092.95        2500.00                 NaN   1.22449        54.7305        28.8105        8.94502        3.76047        2.52911                 NaN
  1089.74        2500.00                 NaN   1.22452        54.7302        28.8105        8.94501        3.76049        2.52925                 NaN
  1086.54        2500.00                 NaN   1.22455        54.7299        28.8106        8.94500        3.76052        2.52939                 NaN
  1083.33        2500.00                 NaN   1.22458        54.7297        28.8107        8.94499        3.76055        2.52954                 NaN
  1080.13        2500.00                 NaN   1.22460        54.7294        28.8108        8.94498        3.76058        2.52968                 NaN
  1076.92        2500.00                 NaN   1.27936        54.7021        28.8390        3.66336        8.93860        2.57764                 NaN
  1073.72        2500.00                 NaN   1.27939        54.7018        28.8390        3.66339        8.93859        2.57779                 NaN
  1070.51        2500.00                 NaN   1.27942        54.7015        28.8391        3.66342        8.93858        2.57793                 NaN
  1067.31        2500.00                 NaN   1.27945        54.7013        28.8392        3.66344        8.93857        2.57808                 NaN
  1064.10        2500.00                 NaN   1.27948        54.7010        28.8393        3.66347        8.93856        2.57822                 NaN
  1060.90        2500.00                 NaN   1.27951        54.7007        28.8393        3.66350        8.93855        2.57837                 NaN
  1057.69        2500.00                 NaN   1.27954        54.7005        28.8394        3.66353        8.93854        2.57852                 NaN
  1054.49        2500.00                 NaN   1.27957        54.7002        28.8395        3.66356        8.93853        2.57866                 NaN
  1051.28        2500.00                 NaN   1.33800        54.6700        28.8725        3.56791        8.93972        2.61185                 NaN
  1048.08        2500.00                 NaN   1.33804        54.6697        28.8726        3.56794        8.93971        2.61200                 NaN
  1044.87        2500.00                 NaN   1.33807        54.6695        28.8727        3.56797        8.93969        2.61215                 NaN
  1041.67        2500.00                 NaN   1.33810        54.6692        28.8727        3.56799        8.93968        2.61229                 NaN
  1038.46        2500.00                 NaN   1.33813        54.6689        28.8728        3.56802        8.93967        2.61244                 NaN
  1035.26        2500.00                 NaN   1.33816        54.6686        28.8729        3.56805        8.93966        2.61259                 NaN
  1032.05        2500.00                 NaN   1.33819        54.6683        28.8730        3.56808        8.93965        2.61274                 NaN
  1028.85        2500.00                 NaN   1.33822        54.6681        28.8731        3.56811        8.93964        2.61288                 NaN
  1025.64        2500.00                 NaN   1.39961        54.6270        28.9214        8.94401        3.46969        2.63836                 NaN
  1022.44        2500.00                 NaN   1.39964        54.6267        28.9214        8.94399        3.46972        2.63850                 NaN
  1019.23        2500.00                 NaN   1.39967        54.6264        28.9215        8.94398        3.46975        2.63865                 NaN
  1016.03        2500.00                 NaN   1.39971        54.6261        28.9216        8.94397        3.46977        2.63880                 NaN
  1012.82        2500.00                 NaN   1.43463        54.5967        28.9537        8.95197        3.42235        2.64066                 NaN
  1009.62        2500.00                 NaN   1.43466        54.5964        28.9538        8.95196        3.42238        2.64080                 NaN
  1006.41        2500.00                 NaN   1.45165        54.5826        28.9708        8.95426        3.39721        2.64345                 NaN
  1003.21        2500.00                 NaN   1.46151        54.5716        28.9834        8.96311        3.38176        2.63713       0.150247E-002
  1000.00        2500.00                 NaN   1.47019        54.5646        28.9898        8.96233        3.37258        2.63974       0.756426E-003
