|6.6.6
Archiving\03_Data\Deq/QFM_m1/WD94/WD94_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1766.03        2500.00        66.8998       0.589873        32.5103                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        66.2721       0.601430        33.1264                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        65.6445       0.612987        33.7425                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        65.0168       0.624545        34.3587                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        64.3891       0.636103        34.9748                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        63.7613       0.647661        35.5910                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        63.1336       0.659220        36.2072                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        62.5058       0.670779        36.8234                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        61.9014       0.681295        37.4173                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        61.2969       0.691810        38.0113                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        60.6925       0.702326        38.6052                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        60.0880       0.712842        39.1992                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        59.4835       0.723359        39.7932                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        58.8789       0.733876        40.3872                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        58.2744       0.744393        40.9812                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        57.6698       0.754910        41.5753                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        57.1004       0.765140        42.1345                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        56.5310       0.775370        42.6937                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        55.9615       0.785600        43.2529                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        55.3920       0.795830        43.8122                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        54.8225       0.806061        44.3714                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        54.2530       0.816292        44.9307                 NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        53.6835       0.826523        45.4900                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        53.1139       0.836755        46.0493                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        52.5789       0.846070        46.5750                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        52.0439       0.855386        47.1007                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        51.5089       0.864701        47.6264                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        50.9738       0.874017        48.1521                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        50.4388       0.883333        48.6779                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        49.9037       0.892650        49.2036                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        49.3686       0.901966        49.7294                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        48.8335       0.911283        50.2552                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        48.3336       0.920116        50.7463                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        47.8337       0.928950        51.2374                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        46.9007       0.914991        50.9105        1.27378                 NaN            NaN            NaN            NaN
  1653.85        2500.00        45.2228       0.922503        51.8849        1.96976                 NaN            NaN            NaN            NaN
  1650.64        2500.00        44.0523       0.917683        52.0422        2.98782                 NaN            NaN            NaN            NaN
  1647.44        2500.00        42.8817       0.912862        52.1996        4.00590                 NaN            NaN            NaN            NaN
  1644.23        2500.00        41.7111       0.908042        52.3569        5.02401                 NaN            NaN            NaN            NaN
  1641.03        2500.00        40.5404       0.903221        52.5142        6.04215                 NaN            NaN            NaN            NaN
  1637.82        2500.00        39.5891       0.896944        52.6506        6.86337                 NaN            NaN            NaN            NaN
  1634.62        2500.00        38.6378       0.890666        52.7869        7.68461                 NaN            NaN            NaN            NaN
  1631.41        2500.00        37.6865       0.884389        52.9232        8.50586                 NaN            NaN            NaN            NaN
  1628.21        2500.00        36.7352       0.878112        53.0596        9.32714                 NaN            NaN            NaN            NaN
  1625.00        2500.00        35.7838       0.871834        53.1959        10.1484                 NaN            NaN            NaN            NaN
  1621.79        2500.00        34.8324       0.865556        53.3323        10.9698                 NaN            NaN            NaN            NaN
  1618.59        2500.00        33.8810       0.859278        53.4686        11.7911                 NaN            NaN            NaN            NaN
  1615.38        2500.00        32.9296       0.853000        53.6050        12.6124                 NaN            NaN            NaN            NaN
  1612.18        2500.00        32.2144       0.845753        53.6983        13.2416                 NaN            NaN            NaN            NaN
  1608.97        2500.00        31.4991       0.838506        53.7915        13.8708                 NaN            NaN            NaN            NaN
  1605.77        2500.00        30.7838       0.831259        53.8848        14.5001                 NaN            NaN            NaN            NaN
  1602.56        2500.00        30.0686       0.824012        53.9781        15.1293                 NaN            NaN            NaN            NaN
  1599.36        2500.00        29.3533       0.816765        54.0714        15.7585                 NaN            NaN            NaN            NaN
  1596.15        2500.00        28.6380       0.809518        54.1647        16.3878                 NaN            NaN            NaN            NaN
  1592.95        2500.00        27.9227       0.802270        54.2580        17.0170                 NaN            NaN            NaN            NaN
  1589.74        2500.00        27.2074       0.795023        54.3513        17.6463                 NaN            NaN            NaN            NaN
  1586.54        2500.00        26.6347       0.786427        54.4191        18.1598                 NaN            NaN            NaN            NaN
  1583.33        2500.00        26.0620       0.777832        54.4869        18.6732                 NaN            NaN            NaN            NaN
  1580.13        2500.00        25.4893       0.769236        54.5547        19.1867                 NaN            NaN            NaN            NaN
  1576.92        2500.00        24.9167       0.760641        54.6225        19.7002                 NaN            NaN            NaN            NaN
  1573.72        2500.00        24.3440       0.752045        54.6903        20.2137                 NaN            NaN            NaN            NaN
  1570.51        2500.00        23.7713       0.743449        54.7581        20.7272                 NaN            NaN            NaN            NaN
  1567.31        2500.00        23.1986       0.734853        54.8259        21.2407                 NaN            NaN            NaN            NaN
  1564.10        2500.00        22.6258       0.726257        54.8937        21.7543                 NaN            NaN            NaN            NaN
  1560.90        2500.00        22.1435       0.716374        54.9420        22.1981                 NaN            NaN            NaN            NaN
  1557.69        2500.00        21.6612       0.706491        54.9904        22.6419                 NaN            NaN            NaN            NaN
  1554.49        2500.00        21.1789       0.696608        55.0387        23.0858                 NaN            NaN            NaN            NaN
  1551.28        2500.00        20.6965       0.686725        55.0871        23.5296                 NaN            NaN            NaN            NaN
  1548.08        2500.00        20.2142       0.676842        55.1354        23.9735                 NaN            NaN            NaN            NaN
  1544.87        2500.00        19.7319       0.666959        55.1838        24.4174                 NaN            NaN            NaN            NaN
  1541.67        2500.00        19.2495       0.657075        55.2322        24.8612                 NaN            NaN            NaN            NaN
  1538.46        2500.00        18.7672       0.647192        55.2805        25.3051                 NaN            NaN            NaN            NaN
  1535.26        2500.00        18.3322       0.635196        55.3199        25.7126                 NaN            NaN            NaN            NaN
  1532.05        2500.00        17.8973       0.623201        55.3594        26.1201                 NaN            NaN            NaN            NaN
  1528.85        2500.00        17.4624       0.611205        55.3988        26.5276                 NaN            NaN            NaN            NaN
  1525.64        2500.00        17.0274       0.599209        55.4382        26.9352                 NaN            NaN            NaN            NaN
  1522.44        2500.00        16.5925       0.587213        55.4776        27.3427                 NaN            NaN            NaN            NaN
  1519.23        2500.00        16.1575       0.575217        55.5171        27.7502                 NaN            NaN            NaN            NaN
  1516.03        2500.00        15.7225       0.563221        55.5565        28.1578                 NaN            NaN            NaN            NaN
  1512.82        2500.00        15.2876       0.551225        55.5959        28.5653                 NaN            NaN            NaN            NaN
  1509.62        2500.00        14.8803       0.537785        55.6269        28.9550                 NaN            NaN            NaN            NaN
  1506.41        2500.00        14.4731       0.524345        55.6578        29.3448                 NaN            NaN            NaN            NaN
  1503.21        2500.00        14.0658       0.510905        55.6888        29.7345                 NaN            NaN            NaN            NaN
  1500.00        2500.00        13.6585       0.497465        55.7197        30.1243                 NaN            NaN            NaN            NaN
  1496.79        2500.00        13.2651       0.483877        55.7489        30.5022                 NaN            NaN            NaN            NaN
  1493.59        2500.00        12.8716       0.470289        55.7780        30.8801                 NaN            NaN            NaN            NaN
  1490.38        2500.00        12.2505       0.468186        55.8215        31.0289       0.431013                 NaN            NaN            NaN
  1487.18        2500.00        11.6290       0.471116        55.8550        31.1178       0.927048                 NaN            NaN            NaN
  1483.97        2500.00        11.1255       0.479126        55.8631        31.1850        1.34723                 NaN            NaN            NaN
  1480.77        2500.00        10.6219       0.487136        55.8712        31.2523        1.76742                 NaN            NaN            NaN
  1477.56        2500.00        10.1184       0.495147        55.8794        31.3195        2.18761                 NaN            NaN            NaN
  1474.36        2500.00        9.61480       0.503157        55.8875        31.3868        2.60780                 NaN            NaN            NaN
  1471.15        2500.00        9.11124       0.511167        55.8956        31.4540        3.02799                 NaN            NaN            NaN
  1467.95        2500.00        8.60767       0.519177        55.9037        31.5213        3.44818                 NaN            NaN            NaN
  1464.74        2500.00        8.10411       0.527187        55.9118        31.5886        3.86838                 NaN            NaN            NaN
  1461.54        2500.00        7.60054       0.535197        55.9199        31.6558        4.28857                 NaN            NaN            NaN
  1458.33        2500.00        7.20574       0.549010        55.9007        31.6785        4.63257       0.335627E-001            NaN            NaN
  1455.13        2500.00        6.79731       0.571570        55.8652        31.5040       0.322376        4.93954                 NaN            NaN
  1451.92        2500.00        6.79731       0.571570        55.8652        31.5040       0.322376        4.93954                 NaN            NaN
  1448.72        2500.00        6.02214       0.613877        55.8238        31.1823       0.830260        5.52760                 NaN            NaN
  1445.51        2500.00        6.02214       0.613877        55.8238        31.1823       0.830260        5.52760                 NaN            NaN
  1442.31        2500.00        6.02214       0.613877        55.8238        31.1823       0.830260        5.52760                 NaN            NaN
  1439.10        2500.00        6.02214       0.613877        55.8238        31.1823       0.830260        5.52760                 NaN            NaN
  1435.90        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1432.69        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1429.49        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1426.28        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1423.08        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1419.87        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1416.67        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1413.46        2500.00        4.79745       0.694378        55.7073        30.7526        1.56284        6.48550                 NaN            NaN
  1410.26        2500.00        3.08936       0.844760        55.4443        30.2998        7.87390        2.44785                 NaN            NaN
  1407.05        2500.00        2.93110       0.862674        55.4133        30.2492        2.53126        8.01252                 NaN            NaN
  1403.85        2500.00        2.77059       0.879386        55.3861        30.2050        8.13774        2.61184       0.933723E-002            NaN
  1400.64        2500.00        2.77059       0.879386        55.3861        30.2050        8.13774        2.61184       0.933723E-002            NaN
  1397.44        2500.00        2.43027       0.897913        55.4231        30.0033        8.24600        2.84932       0.150007                 NaN
  1394.23        2500.00        2.43027       0.897913        55.4231        30.0033        8.24600        2.84932       0.150007                 NaN
  1391.03        2500.00        2.43027       0.897913        55.4231        30.0033        8.24600        2.84932       0.150007                 NaN
  1387.82        2500.00        2.43027       0.897913        55.4231        30.0033        8.24600        2.84932       0.150007                 NaN
  1384.62        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1381.41        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1378.21        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1375.00        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1371.79        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1368.59        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1365.38        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1362.18        2500.00        1.85439       0.933807        55.4754        29.6499        8.42941        3.25671       0.400450                 NaN
  1358.97        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1355.77        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1352.56        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1349.36        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1346.15        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1342.95        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1339.74        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1336.54        2500.00       0.962643        1.00171        55.5180        29.1083        8.70900        3.88139       0.818960                 NaN
  1333.33        2500.00       0.264296        1.06718        55.4940        28.7361        4.33917        8.94078        1.15852                 NaN
  1330.13        2500.00       0.264296        1.06718        55.4940        28.7361        4.33917        8.94078        1.15852                 NaN
  1326.92        2500.00       0.107365        1.08337        55.4786        28.6659        8.99694        4.43468        1.23311                 NaN
  1323.72        2500.00       0.302850E-001   1.09188        55.4648        28.6371        9.02692        4.48071        1.26832                 NaN
  1320.51        2500.00                 NaN   1.09755        55.4717        28.6185        9.02870        4.49010        1.29343                 NaN
  1317.31        2500.00                 NaN   1.09755        55.4717        28.6185        9.02870        4.49010        1.29343                 NaN
  1314.10        2500.00                 NaN   1.09755        55.4717        28.6185        9.02870        4.49010        1.29343                 NaN
  1310.90        2500.00                 NaN   1.09755        55.4717        28.6185        9.02870        4.49010        1.29343                 NaN
  1307.69        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1304.49        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1301.28        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1298.08        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1294.87        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1291.67        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1288.46        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1285.26        2500.00                 NaN   1.11947        55.4871        28.6107        4.43652        8.99349        1.35269                 NaN
  1282.05        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1278.85        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1275.64        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1272.44        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1269.23        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1266.03        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1262.82        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1259.62        2500.00                 NaN   1.15978        55.5681        28.5547        8.91047        4.32927        1.47760                 NaN
  1256.41        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1253.21        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1250.00        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1246.79        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1243.59        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1240.38        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1237.18        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1233.97        2500.00                 NaN   1.20373        55.6227        28.5133        4.22598        8.84690        1.58739                 NaN
  1230.77        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1227.56        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1224.36        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1221.15        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1217.95        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1214.74        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1211.54        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1208.33        2500.00                 NaN   1.25016        55.6663        28.4759        8.79245        4.12707        1.68816                 NaN
  1205.13        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1201.92        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1198.72        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1195.51        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1192.31        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1189.10        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1185.90        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1182.69        2500.00                 NaN   1.29852        55.7034        28.4446        8.74582        4.02859        1.77902                 NaN
  1179.49        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1176.28        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1173.08        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1169.87        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1166.67        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1163.46        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1160.26        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1157.05        2500.00                 NaN   1.34883        55.7423        28.4110        8.70682        3.93136        1.85973                 NaN
  1153.85        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1150.64        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1147.44        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1144.23        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1141.03        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1137.82        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1134.62        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1131.41        2500.00                 NaN   1.40231        55.7600        28.3974        3.83575        8.67114        1.93337                 NaN
  1128.21        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1125.00        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1121.79        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1118.59        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1115.38        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1112.18        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1108.97        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1105.77        2500.00                 NaN   1.45999        55.7642        28.3967        3.73955        8.64555        1.99408                 NaN
  1102.56        2500.00                 NaN   1.52179        55.7541        28.4052        8.63362        3.64273        2.04256                 NaN
