|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.25/TIS/TIS_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1341.88        500.000        99.1965       0.322720E-001  0.371993       0.235156       0.164076                 NaN            NaN            NaN
  1340.81        500.000        99.2041       0.285783E-001  0.371040       0.232678       0.163596                 NaN            NaN            NaN
  1339.74        500.000        99.2094       0.370282       0.246928E-001  0.231375       0.164240                 NaN            NaN            NaN
  1338.67        500.000        99.2183       0.366863       0.254452E-001  0.228101       0.161244                 NaN            NaN            NaN
  1337.61        500.000        99.2230       0.366645       0.225176E-001  0.226728       0.161154                 NaN            NaN            NaN
  1336.54        500.000        99.2291       0.365296       0.201026E-001  0.224899       0.160591                 NaN            NaN            NaN
  1335.47        500.000        99.2247       0.358263       0.290648E-001  0.225976       0.161951                 NaN            NaN            NaN
  1334.40        500.000        99.2504       0.366783       0.106606E-001  0.217662       0.154488                 NaN            NaN            NaN
  1333.33        500.000        99.2467       0.360966       0.165671E-001  0.218922       0.156806                 NaN            NaN            NaN
  1332.26        500.000        99.2526       0.359664       0.149488E-001  0.217027       0.155782                 NaN            NaN            NaN
  1331.19        500.000        99.2449       0.308928E-002  0.365836       0.221836       0.164332                 NaN            NaN            NaN
  1330.13        500.000        99.2793       0.186231E-001  0.350550       0.206243       0.145279                 NaN            NaN            NaN
  1329.06        500.000        99.2692       0.107072E-001  0.356263       0.211556       0.152297                 NaN            NaN            NaN
  1327.99        500.000        99.2749       0.354640       0.924293E-002  0.209833       0.151391                 NaN            NaN            NaN
  1326.92        500.000        99.2601       0.353905       0.247741E-001  0.214035       0.147158                 NaN            NaN            NaN
  1325.85        500.000        99.3059       0.347139                 NaN  0.199450       0.147470                 NaN            NaN            NaN
  1324.78        500.000        99.2912       0.840625E-002  0.349818       0.204149       0.146419                 NaN            NaN            NaN
  1323.72        500.000        99.2961       0.348717       0.810824E-002  0.202401       0.144714                 NaN            NaN            NaN
  1322.65        500.000        99.3017       0.347194       0.673011E-002  0.200666       0.143743                 NaN            NaN            NaN
  1321.58        500.000        99.3065       0.345524       0.747146E-002  0.198919       0.141631                 NaN            NaN            NaN
  1320.51        500.000        99.3105       0.804797E-002  0.343926       0.197497       0.139996                 NaN            NaN            NaN
  1319.44        500.000        99.3148       0.340137       0.115819E-001  0.195920       0.137549                 NaN            NaN            NaN
  1318.37        500.000        99.3227       0.769324E-002  0.339624       0.193420       0.136534                 NaN            NaN            NaN
  1317.31        500.000        99.3261       0.339485       0.739959E-002  0.192181       0.134841                 NaN            NaN            NaN
  1316.24        500.000        99.3305       0.338574       0.681746E-002  0.190679       0.133456                 NaN            NaN            NaN
  1315.17        500.000        99.3348       0.956634E-002  0.336311       0.188925       0.130444                 NaN            NaN            NaN
  1314.10        500.000        99.3389       0.835431E-002  0.336189       0.187534       0.129018                 NaN            NaN            NaN
  1313.03        500.000        99.3440       0.334068       0.883720E-002  0.185838       0.127299                 NaN            NaN            NaN
  1311.96        500.000        99.3480       0.955160E-002  0.332224       0.184507       0.125746                 NaN            NaN            NaN
  1310.90        500.000        99.3527       0.113122E-001  0.330500       0.182692       0.122841                 NaN            NaN            NaN
  1309.83        500.000        98.2928       0.608960       0.495810       0.468180       0.134257                 NaN            NaN            NaN
  1308.76        500.000       100.0000                 NaN            NaN            NaN  0.247535E-005            NaN            NaN            NaN
  1307.69        500.000        99.7498       0.109547                 NaN  0.677403E-001  0.729287E-001            NaN            NaN            NaN
  1306.62        500.000        99.3713       0.330267                 NaN  0.176867       0.121521                 NaN            NaN            NaN
  1305.55        500.000        99.3758       0.327908                 NaN  0.175485       0.120802                 NaN            NaN            NaN
  1304.49        500.000        99.3800       0.324679                 NaN  0.174128       0.121159                 NaN            NaN            NaN
  1303.42        500.000        99.3787       0.331836                 NaN  0.174465       0.114954                 NaN            NaN            NaN
  1302.35        500.000        99.3897       0.330033                 NaN  0.169525       0.110742                 NaN            NaN            NaN
  1301.28        500.000        99.3924       0.322281                 NaN  0.169951       0.115325                 NaN            NaN            NaN
  1300.21        500.000        99.3868       0.319673                 NaN  0.171801       0.121760                 NaN            NaN            NaN
  1299.14        500.000        99.4055       0.326461                 NaN  0.164363       0.103693                 NaN            NaN            NaN
  1298.08        500.000        99.4012       0.326240                 NaN  0.166243       0.106318                 NaN            NaN            NaN
  1297.01        500.000        99.3996       0.325685                 NaN  0.166956       0.107763                 NaN            NaN            NaN
  1295.94        500.000        99.4124       0.332402                 NaN  0.161510       0.936542E-001            NaN            NaN            NaN
  1294.87        500.000        99.4016       0.267844       0.942164E-001  0.163060       0.732590E-001            NaN            NaN            NaN
  1293.80        500.000        99.4156       0.324804                 NaN  0.161119       0.984827E-001            NaN            NaN            NaN
  1292.73        500.000        99.4171       0.320606                 NaN  0.160970       0.101308                 NaN            NaN            NaN
  1291.67        500.000        99.4229       0.332707                 NaN  0.157735       0.866517E-001            NaN            NaN            NaN
  1290.60        500.000        99.4247       0.326732                 NaN  0.157642       0.908882E-001            NaN            NaN            NaN
  1289.53        500.000        99.4263       0.331462                 NaN  0.156781       0.854627E-001            NaN            NaN            NaN
  1288.46        500.000        99.4294       0.331470                 NaN  0.155603       0.835428E-001            NaN            NaN            NaN
  1287.39        500.000        99.4264       0.290791       0.600206E-001  0.155250       0.675218E-001            NaN            NaN            NaN
  1286.32        500.000        99.4291       0.631676E-001  0.288874       0.154248       0.646464E-001            NaN            NaN            NaN
  1285.26        500.000        99.4313       0.284666       0.694085E-001  0.153353       0.612569E-001            NaN            NaN            NaN
  1284.19        500.000        99.4339       0.285403       0.696273E-001  0.152399       0.586674E-001            NaN            NaN            NaN
  1283.12        500.000        99.4361       0.283551       0.734110E-001  0.151532       0.553919E-001            NaN            NaN            NaN
  1282.05        500.000        99.4386       0.284644       0.732693E-001  0.150621       0.528212E-001            NaN            NaN            NaN
  1280.98        500.000        99.2064       0.102726       0.445545       0.213271       0.321026E-001            NaN            NaN            NaN
  1279.91        500.000        99.6658       0.217064                 NaN  0.866226E-001  0.304900E-001            NaN            NaN            NaN
  1278.84        500.000        99.4478       0.352914                 NaN  0.147800       0.514763E-001            NaN            NaN            NaN
  1277.78        500.000        99.4318       0.346604                 NaN  0.151219       0.531619E-001  0.172109E-001            NaN            NaN
  1276.71        500.000        93.9480        1.77088                 NaN  0.770971       0.112148       0.197798        3.20017                 NaN
  1275.64        500.000        92.2994        2.20470                 NaN  0.953427       0.123285       0.245641        4.17352                 NaN
  1274.57        500.000        92.8767        2.05356                 NaN  0.885259       0.111975       0.225566        3.84696                 NaN
  1273.50        500.000        93.3730        1.93268                 NaN  0.826523       0.943219E-001  0.207793        3.56571                 NaN
  1272.43        500.000        93.8066        1.81971                 NaN  0.774959       0.846140E-001  0.192721        3.32140                 NaN
  1271.37        500.000        94.1868        1.70315                 NaN  0.729369       0.902003E-001  0.180568        3.10991                 NaN
  1270.30        500.000        94.5229        1.62493                 NaN  0.689255       0.742542E-001  0.168350        2.92031                 NaN
  1269.23        500.000        94.8248        1.54180                 NaN  0.652915       0.703170E-001  0.158116        2.75208                 NaN
  1268.16        500.000        95.1022        1.46584                 NaN  0.619699       0.641819E-001  0.148722        2.59933                 NaN
  1267.09        500.000        95.3311        1.39626                 NaN  0.591262       0.699081E-001  0.141293        2.47017                 NaN
  1266.02        500.000        95.5599        1.33782                 NaN  0.563743       0.607930E-001  0.133258        2.34447                 NaN
  1264.96        500.000        95.7609        1.28518                 NaN  0.539261       0.545959E-001  0.126259        2.23379                 NaN
  1263.89        500.000        95.9455        1.22935                 NaN  0.516369       0.563102E-001  0.120249        2.13225                 NaN
  1262.82        500.000        96.1224        1.17692                 NaN  0.494751       0.549074E-001  0.114366        2.03663                 NaN
  1261.75        500.000        96.2658        1.14081                 NaN  0.476680       0.510717E-001  0.109296        1.95633                 NaN
  1260.68        500.000        96.4114        1.09420                 NaN  0.458482       0.532765E-001  0.104613        1.87799                 NaN
  1259.61        500.000        96.5524        1.06611                 NaN  0.441196       0.402175E-001  0.991515E-001   1.80088                 NaN
  1258.55        500.000        96.6707        1.01848                 NaN  0.425876       0.516685E-001  0.958536E-001   1.73737                 NaN
  1257.48        500.000        96.7915       0.991735                 NaN  0.410824       0.427553E-001  0.912970E-001   1.67189                 NaN
  1256.41        500.000        96.8979       0.961438                 NaN  0.397240       0.416758E-001  0.876339E-001   1.61416                 NaN
  1255.34        500.000        97.0009       0.932991                 NaN  0.384086       0.390463E-001  0.840176E-001   1.55896                 NaN
  1254.27        500.000        97.0960       0.903564                 NaN  0.371846       0.396592E-001  0.808327E-001   1.50812                 NaN
  1253.20        500.000        97.1876       0.878550                 NaN  0.359987       0.371805E-001  0.775823E-001   1.45910                 NaN
  1252.14        500.000        97.2718       0.852403                 NaN  0.349025       0.376454E-001  0.747566E-001   1.41436                 NaN
  1251.07        500.000        97.3540       0.829944                 NaN  0.338332       0.350646E-001  0.718403E-001   1.37079                 NaN
  1250.00        500.000        97.4297       0.810993                 NaN  0.328485       0.317404E-001  0.689707E-001   1.33009                 NaN
  1248.93        500.000        97.5033       0.791492                 NaN  0.318863       0.286992E-001  0.663282E-001   1.29135                 NaN
  1247.86        500.000        97.5732       0.770476                 NaN  0.309655       0.282325E-001  0.639284E-001   1.25449                 NaN
  1246.79        500.000        97.6359       0.756756                 NaN  0.301099       0.240512E-001  0.614863E-001   1.22069                 NaN
  1245.73        500.000        97.6990       0.735523                 NaN  0.292754       0.254344E-001  0.593580E-001   1.18798                 NaN
  1244.66        500.000        97.7601       0.720301                 NaN  0.284647       0.219460E-001  0.570705E-001   1.15592                 NaN
  1243.59        500.000        97.8159       0.703911                 NaN  0.277050       0.215677E-001  0.550922E-001   1.12652                 NaN
  1242.52        500.000        97.8691       0.687007                 NaN  0.269784       0.219699E-001  0.532492E-001   1.09888                 NaN
  1241.45        500.000        97.9227       0.676637                 NaN  0.262651       0.165225E-001  0.511163E-001   1.07033                 NaN
  1240.38        500.000        97.9719       0.661479                 NaN  0.255829       0.165312E-001  0.493414E-001   1.04492                 NaN
  1239.32        500.000        98.0207       0.650491                 NaN  0.249295       0.125985E-001  0.474547E-001   1.01951                 NaN
  1238.25        500.000        98.0654       0.639776                 NaN  0.243071       0.103715E-001  0.457330E-001  0.995622                 NaN
  1237.18        500.000        98.1113       0.628742                 NaN  0.236894       0.705737E-002  0.439999E-001  0.971997                 NaN
  1236.11        500.000        98.1524       0.620519                 NaN  0.231205       0.337719E-002  0.422964E-001  0.950210                 NaN
  1235.04        500.000        98.1955       0.605376                 NaN  0.225944       0.485281E-002  0.405597E-001  0.927725                 NaN
  1233.97        500.000        98.2342       0.598396                 NaN  0.220043                 NaN  0.392722E-001  0.908040                 NaN
  1232.90        500.000        98.2732       0.582623                 NaN  0.215387       0.357050E-002  0.376117E-001  0.887612                 NaN
  1231.84        500.000        98.3088       0.575654                 NaN  0.210040                 NaN  0.364103E-001  0.869104                 NaN
  1230.77        500.000        98.3488       0.562257                 NaN  0.204582       0.170101E-005  0.351157E-001  0.849267                 NaN
  1229.70        500.000        98.3867       0.549330                 NaN  0.199246                 NaN  0.339312E-001  0.830790                 NaN
  1228.63        500.000        98.4183       0.540261                 NaN  0.196065                 NaN  0.321877E-001  0.813236                 NaN
  1227.56        500.000        98.4542       0.527970                 NaN  0.191063                 NaN  0.311058E-001  0.795700                 NaN
  1226.49        500.000        98.4898       0.515196                 NaN  0.185083                 NaN  0.304792E-001  0.779445                 NaN
  1225.43        500.000        98.5194       0.506068                 NaN  0.181404                 NaN  0.292143E-001  0.763915                 NaN
  1224.36        500.000        98.5528       0.494465                 NaN  0.176451                 NaN  0.283994E-001  0.747837                 NaN
  1223.29        500.000        98.5822       0.484935                 NaN  0.172433                 NaN  0.273653E-001  0.733027                 NaN
  1222.22        500.000        98.6235       0.467521                 NaN  0.165589                 NaN  0.270641E-001  0.716358                 NaN
  1221.15        500.000        98.6396       0.466047                 NaN  0.165447                 NaN  0.250204E-001  0.703860                 NaN
  1220.08        500.000        98.6714       0.454609                 NaN  0.160588                 NaN  0.243993E-001  0.688991                 NaN
  1219.02        500.000        98.6989       0.444429                 NaN  0.156658                 NaN  0.237170E-001  0.676269                 NaN
  1217.95        500.000        98.7251       0.435746                 NaN  0.152923                 NaN  0.228521E-001  0.663356                 NaN
  1216.88        500.000        98.7542       0.425379                 NaN  0.149545                 NaN  0.218925E-001  0.649007                 NaN
  1215.81        500.000        89.1092        1.85641                 NaN  0.939255                 NaN  0.854399E-001   4.09264        3.91704     
  1214.74        500.000        81.3317        3.03848                 NaN   1.57361                 NaN  0.132709        6.83748        7.08600     
  1213.67        500.000        80.6734       0.203161        2.94241        1.61928                 NaN  0.136670        7.06247        7.36263     
  1212.61        500.000        77.5621        2.83753                 NaN   1.93375       0.522978       0.184618        8.54797        8.41101     
  1211.54        500.000        61.2268        5.79891                 NaN   3.17319       0.292803       0.256153        13.7625        15.4896     
  1210.47        500.000        99.5031       0.323707                 NaN  0.460432E-001  0.788564E-001            NaN  0.483115E-001            NaN
  1209.40        500.000        87.9330       0.755154                 NaN   1.08900       0.805222       0.781952E-001   4.63427        4.70516     
  1208.33        500.000        99.0732       0.533261                 NaN  0.788545E-001            NaN  0.455455E-002  0.310172                 NaN
  1207.26        500.000        99.7393                 NaN            NaN  0.197375E-001            NaN  0.134472E-001  0.213923       0.136307E-001
  1206.20        500.000        96.3509       0.804908                 NaN  0.286039                 NaN  0.339564E-001   1.34010        1.18414     
  1205.13        500.000        91.1911        1.08019       0.132485       0.731205                 NaN  0.606669E-001   3.31475        3.48956     
  1204.06        500.000        92.3801        1.30932                 NaN  0.597732                 NaN  0.621187E-001   2.81690        2.83381     
  1202.99        500.000        43.8378        5.95667        2.35029        4.58830                 NaN  0.337818        20.6751        22.2540     
  1201.92        500.000        99.7386                 NaN            NaN  0.374978E-002  0.416386E-001  0.168230E-001  0.199223                 NaN
  1200.85        500.000        99.9490       0.509591E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1199.79        500.000        99.9694                 NaN            NaN  0.616253E-002            NaN  0.244266E-001            NaN            NaN
  1198.72        500.000        99.9112       0.541040E-001            NaN  0.347230E-001            NaN            NaN            NaN            NaN
  1197.65        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1196.58        500.000        99.6413       0.193108                 NaN  0.197955E-001            NaN            NaN  0.145836                 NaN
  1195.51        500.000        99.3924       0.252743                 NaN  0.588757E-001            NaN            NaN  0.296031                 NaN
  1194.44        500.000        99.3901       0.320152                 NaN  0.134468       0.120334       0.107110E-001            NaN  0.242253E-001
  1193.38        500.000        99.3246       0.170715                 NaN  0.442076E-001            NaN  0.410743E-002  0.456405                 NaN
  1192.31        500.000        96.7646       0.403409       0.547820E-001  0.210669                 NaN  0.144482E-001   1.75226       0.799794     
  1191.24        500.000        66.4449        4.19370                 NaN   2.54385                 NaN  0.192170        13.4749        13.1505     
  1190.17        500.000        99.6381       0.135989                 NaN  0.313903E-001  0.934810E-004  0.414744E-002  0.190282                 NaN
  1189.10        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1188.03        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1186.96        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1185.90        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1184.83        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1183.76        500.000                 NaN   11.4814                 NaN   7.29169                 NaN  0.588189        41.0146        39.6241     
  1182.69        500.000                 NaN   7.85582        3.65622        7.32807                 NaN  0.574527        40.9569        39.6284     
  1181.62        500.000                 NaN   7.61492        3.90239        7.33317                 NaN  0.572304        40.9480        39.6292     
  1180.55        500.000                 NaN   7.61492        3.90239        7.33317                 NaN  0.572304        40.9480        39.6292     
  1179.49        500.000                 NaN   7.61492        3.90239        7.33317                 NaN  0.572304        40.9480        39.6292     
  1178.42        500.000                 NaN   7.61492        3.90239        7.33317                 NaN  0.572304        40.9480        39.6292     
  1177.35        500.000                 NaN   11.5047                 NaN   7.31022                 NaN  0.579896        40.9776        39.6276     
  1176.28        500.000                 NaN   7.61344        3.90388        7.33318                 NaN  0.572299        40.9480        39.6292     
  1175.21        500.000                 NaN   11.5079                 NaN   7.31341                 NaN  0.578598        40.9721        39.6280     
  1174.14        500.000                 NaN   11.5097                 NaN   7.31517                 NaN  0.577877        40.9690        39.6282     
  1173.08        500.000                 NaN   7.61337        3.90395        7.33318                 NaN  0.572299        40.9480        39.6292     
  1172.01        500.000                 NaN   7.61507        3.90225        7.33317                 NaN  0.572304        40.9480        39.6292     
  1170.94        500.000                 NaN   7.61456        3.90276        7.33317                 NaN  0.572302        40.9480        39.6292     
  1169.87        500.000                 NaN   4.43114        7.10749        7.35063                 NaN  0.564588        40.9205        39.6257     
  1168.80        500.000                 NaN   4.48817        7.05179        7.35191                 NaN  0.563909        40.9184        39.6258     
  1167.73        500.000                 NaN   4.47598        7.06541        7.36075                 NaN  0.559285        40.9137        39.6249     
  1166.67        500.000                 NaN   4.52287        7.02005        7.36195                 NaN  0.558560        40.9115        39.6251     
  1165.60        500.000                 NaN   11.5328                 NaN   7.34180       0.399669E-005  0.568334        40.9259        39.6312     
  1164.53        500.000                 NaN   11.5319                 NaN   7.34253       0.384294E-005  0.568581        40.9259        39.6310     
  1163.46        500.000                 NaN   11.5313                 NaN   7.34341                 NaN  0.568343        40.9262        39.6308     
  1162.39        500.000                 NaN   11.5330                 NaN   7.34530                 NaN  0.567551        40.9233        39.6309     
  1161.32        500.000                 NaN   11.5361                 NaN   7.34895                 NaN  0.566141        40.9173        39.6315     
  1160.26        500.000                 NaN   5.03383        6.51824        7.37188                 NaN  0.553815        40.8958        39.6264     
  1159.19        500.000                 NaN   11.5391                 NaN   7.35111                 NaN  0.564535        40.9131        39.6322     
  1158.12        500.000                 NaN   11.5413       0.111683E-005   7.35436                 NaN  0.563908        40.9082        39.6322     
  1157.05        500.000                 NaN   11.5378                 NaN   7.34780                 NaN  0.564607        40.9208        39.6290     
  1155.98        500.000                 NaN   11.5365                 NaN   7.35039                 NaN  0.565391        40.9183        39.6294     
  1154.91        500.000                 NaN   11.5476                 NaN   7.36020                 NaN  0.561221        40.8979        39.6330     
  1153.85        500.000                 NaN   11.5525                 NaN   7.35924                 NaN  0.561428        40.8907        39.6361     
  1152.78        500.000                 NaN   11.5492                 NaN   7.36259                 NaN  0.559970        40.8949        39.6334     
  1151.71        500.000                 NaN   11.5513                 NaN   7.36431                 NaN  0.559313        40.8913        39.6338     
  1150.64        500.000                 NaN   11.5511                 NaN   7.36314                 NaN  0.560352        40.8914        39.6340     
  1149.57        500.000                 NaN   11.5528                 NaN   7.36489                 NaN  0.559640        40.8884        39.6343     
  1148.50        500.000                 NaN   11.5548                 NaN   7.36668                 NaN  0.558871        40.8850        39.6346     
  1147.44        500.000                 NaN   11.5571                 NaN   7.37025       0.230474E-005  0.557191        40.8809        39.6345     
  1146.37        500.000                 NaN   11.5762                 NaN   7.38397       0.923800E-004  0.549507        40.8524        39.6378     
  1145.30        500.000                 NaN   11.5760                 NaN   7.38511       0.914227E-004  0.549329        40.8518        39.6377     
  1144.23        500.000                 NaN   11.5629                 NaN   7.37829       0.885434E-004  0.554736        40.8685        39.6355     
  1143.16        500.000                 NaN   11.5797                 NaN   7.38700       0.868776E-004  0.548278        40.8469        39.6381     
  1142.09        500.000                 NaN   11.5836                 NaN   7.38976       0.836261E-004  0.547043        40.8406        39.6390     
