|6.6.6
Archiving\03_Data\fracLP/QFM_m0.5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        q              ilm           
  1819.55        500.000        99.9999                 NaN  0.139772E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.04        500.000        99.7955                 NaN  0.199549       0.492289E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.54        500.000        99.3918                 NaN  0.593581       0.145902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1812.03        500.000        99.2391                 NaN  0.742738       0.181769E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1809.52        500.000        99.4246                 NaN  0.561706       0.137005E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1807.02        500.000        99.4141                 NaN  0.571960       0.139685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1804.51        500.000        99.4113                 NaN  0.574671       0.139930E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1802.01        500.000        99.4122                 NaN  0.573858       0.139486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1799.50        500.000        99.4135                 NaN  0.572623       0.138588E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1796.99        500.000        99.4615                 NaN  0.525769       0.127124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1794.49        500.000        99.3552                 NaN  0.629619       0.151343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1791.98        500.000        99.0702                 NaN  0.907721       0.220896E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1789.47        500.000        99.7446                 NaN  0.249878       0.549425E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1786.97        500.000        99.4082                 NaN  0.578098       0.137444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1784.46        500.000        99.4022                 NaN  0.583982       0.138219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1781.95        500.000        99.4059                 NaN  0.580464       0.136506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1779.45        500.000        99.4023                 NaN  0.583997       0.136801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1776.94        500.000        99.3992                 NaN  0.587098       0.137144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1774.44        500.000        99.3988                 NaN  0.587594       0.136292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1771.93        500.000        99.3949                 NaN  0.591483       0.136585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1769.42        500.000        99.3938                 NaN  0.592558       0.136142E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1766.92        500.000        99.5015                 NaN  0.487370       0.111694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1764.41        500.000        99.2775                 NaN  0.706475       0.160480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1761.90        500.000        99.3897                 NaN  0.596769       0.134828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1759.40        500.000        99.3849                 NaN  0.601585       0.135162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1756.89        500.000        99.3820                 NaN  0.604494       0.135110E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1754.39        500.000        99.3789                 NaN  0.607587       0.134857E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1751.88        500.000        99.3770                 NaN  0.609539       0.134613E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1749.37        500.000        99.3727                 NaN  0.613866       0.134707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1746.87        500.000        99.3711                 NaN  0.615508       0.134158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1744.36        500.000        99.3656                 NaN  0.620956       0.134458E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1741.85        500.000        99.3660                 NaN  0.620679       0.133582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1739.35        500.000        99.3608                 NaN  0.625793       0.133718E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1736.84        500.000        99.3574                 NaN  0.629230       0.133691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1734.34        500.000        99.8061                 NaN  0.189875       0.398585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1731.83        500.000        98.1397                 NaN   1.82217       0.381161E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1729.32        500.000        99.8669                 NaN  0.130361       0.271690E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1726.82        500.000        99.6253                 NaN  0.367136       0.759051E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1724.31        500.000        99.3071                 NaN  0.678961       0.139456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1721.80        500.000        99.3358                 NaN  0.650945       0.132939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1719.30        500.000        99.3319                 NaN  0.654870       0.132467E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1716.79        500.000        99.3304                 NaN  0.656442       0.131960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1714.29        500.000        99.3251                 NaN  0.661719       0.132141E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1711.78        500.000        99.3206                 NaN  0.666208       0.132303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1709.27        500.000        98.9884                 NaN  0.992050       0.195497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1706.77        500.000        99.6601                 NaN  0.333351       0.651007E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1704.26        500.000        99.8086                 NaN  0.187380       0.398025E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1701.75        500.000        98.7885                 NaN   1.18884       0.226439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1699.25        500.000        99.3005                 NaN  0.686378       0.131659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1696.74        500.000        99.2977                 NaN  0.689147       0.131383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1694.24        500.000        99.2934                 NaN  0.693437       0.131661E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1691.73        500.000        99.2895                 NaN  0.697316       0.131401E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1689.22        500.000        99.2855                 NaN  0.701391       0.131051E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1686.72        500.000        99.2838                 NaN  0.703160       0.130707E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1684.21        500.000        99.2774                 NaN  0.709433       0.131328E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1681.70        500.000        99.2767                 NaN  0.710258       0.130472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1679.20        500.000        99.2718                 NaN  0.715119       0.130818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1676.69        500.000        99.2715                 NaN  0.715482       0.130082E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1674.19        500.000        99.6174                 NaN  0.375817       0.676630E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1671.68        500.000        98.9102                 NaN   1.07044       0.193140E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1669.17        500.000        99.2590                 NaN  0.727948       0.130279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1666.67        500.000        99.2582                 NaN  0.728829       0.129859E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1664.16        500.000        99.2552                 NaN  0.731816       0.129942E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1661.65        500.000        99.2436                 NaN  0.743242       0.131223E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1659.15        500.000        98.7897                 NaN   1.18936       0.209075E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1656.64        500.000        99.7198                 NaN  0.275401       0.480104E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1654.14        500.000        99.2469                 NaN  0.740197       0.129090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1651.63        500.000        99.2433                 NaN  0.743784       0.129224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1649.12        500.000        99.2409                 NaN  0.746204       0.129384E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1646.62        500.000        99.2445                 NaN  0.742709       0.128203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1644.11        500.000        99.2399                 NaN  0.747237       0.128759E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1641.60        500.000        99.2405                 NaN  0.746669       0.128229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1639.10        500.000        99.2377                 NaN  0.749526       0.128112E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1636.59        500.000        99.2411                 NaN  0.746205       0.127400E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1634.09        500.000        99.5865                 NaN  0.406603       0.692594E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.58        500.000        98.8920                 NaN   1.08942       0.185266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.07        500.000        99.2379                 NaN  0.749403       0.127085E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.57        500.000        99.2394                 NaN  0.747919       0.126634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1624.06        500.000        99.2394                 NaN  0.747952       0.126542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.55        500.000        99.2382                 NaN  0.749104       0.126517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1619.05        500.000        99.2444                 NaN  0.743037       0.125362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1616.54        500.000        99.2435                 NaN  0.743943       0.125521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        500.000        99.2450                 NaN  0.742512       0.125186E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1611.53        500.000        99.2449                 NaN  0.742657       0.124925E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.02        500.000        99.2503                 NaN  0.737302       0.124336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.52        500.000        99.2503                 NaN  0.737297       0.124200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.01        500.000        99.2535                 NaN  0.734141       0.123727E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.50        500.000        99.2564                 NaN  0.731281       0.123185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.00        500.000        99.2577                 NaN  0.730001       0.123033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.49        500.000        99.2625                 NaN  0.725229       0.122295E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.98        500.000        99.2640                 NaN  0.723756       0.122043E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.48        500.000        99.2539                 NaN  0.733700       0.123695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.97        500.000        99.2844                 NaN  0.703720       0.119153E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.47        500.000        98.8397                 NaN  0.376202       0.136726E-002  0.782701                 NaN            NaN            NaN            NaN            NaN            NaN
  1583.96        500.000        98.5185                 NaN  0.116147                 NaN   1.36535                 NaN            NaN            NaN            NaN            NaN            NaN
  1581.45        500.000        98.5448                 NaN  0.113558                 NaN   1.34160                 NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        500.000        98.5658                 NaN  0.118636                 NaN   1.31555                 NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        500.000        98.6019                 NaN  0.106720                 NaN   1.29139                 NaN            NaN            NaN            NaN            NaN            NaN
  1573.93        500.000        98.6159                 NaN  0.105135                 NaN   1.27894                 NaN            NaN            NaN            NaN            NaN            NaN
  1571.43        500.000        98.6347                 NaN  0.104226                 NaN   1.26105                 NaN            NaN            NaN            NaN            NaN            NaN
  1568.92        500.000        98.6567                 NaN  0.997242E-001            NaN   1.24354                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.42        500.000        98.6890                 NaN  0.946128E-001            NaN   1.21639                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.91        500.000        98.6983                 NaN  0.898889E-001            NaN   1.21186                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.40        500.000        98.7240                 NaN  0.110508                 NaN   1.16553                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.90        500.000        98.7378                 NaN  0.641034E-001            NaN   1.19811                 NaN            NaN            NaN            NaN            NaN            NaN
  1556.39        500.000        98.7555                 NaN  0.821603E-001            NaN   1.16230                 NaN            NaN            NaN            NaN            NaN            NaN
  1553.88        500.000        98.7782                 NaN  0.781065E-001            NaN   1.14365                 NaN            NaN            NaN            NaN            NaN            NaN
  1551.38        500.000        98.7942                 NaN  0.754092E-001            NaN   1.13035                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.87        500.000        98.8126                 NaN  0.746788E-001            NaN   1.11268                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.37        500.000        98.8262                 NaN  0.714667E-001            NaN   1.10230                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        500.000        98.8469                 NaN  0.669016E-001            NaN   1.08618                 NaN            NaN            NaN            NaN            NaN            NaN
  1541.35        500.000        98.8608                 NaN  0.657589E-001            NaN   1.07345                 NaN            NaN            NaN            NaN            NaN            NaN
  1538.85        500.000        98.8768                 NaN  0.630941E-001            NaN   1.06013                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.34        500.000        98.8913                 NaN  0.614155E-001            NaN   1.04727                 NaN            NaN            NaN            NaN            NaN            NaN
  1533.83        500.000        98.9074                 NaN  0.564689E-001            NaN   1.03614                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.33        500.000        98.9201                 NaN  0.574502E-001            NaN   1.02246                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.82        500.000        98.9330                 NaN  0.476549E-001            NaN   1.01937                 NaN            NaN            NaN            NaN            NaN            NaN
  1526.32        500.000        98.9488                 NaN  0.463311E-001            NaN   1.00488                 NaN            NaN            NaN            NaN            NaN            NaN
  1523.81        500.000        98.9613                 NaN  0.459760E-001            NaN  0.992684                 NaN            NaN            NaN            NaN            NaN            NaN
  1521.30        500.000        98.9719                 NaN  0.430051E-001            NaN  0.985047                 NaN            NaN            NaN            NaN            NaN            NaN
  1518.80        500.000        98.9838                 NaN  0.370870E-001            NaN  0.979155                 NaN            NaN            NaN            NaN            NaN            NaN
  1516.29        500.000        98.9957                 NaN  0.385631E-001            NaN  0.965769                 NaN            NaN            NaN            NaN            NaN            NaN
  1513.78        500.000        99.0116                 NaN  0.375443E-001            NaN  0.950874                 NaN            NaN            NaN            NaN            NaN            NaN
  1511.28        500.000        99.0201                 NaN  0.337281E-001            NaN  0.946152                 NaN            NaN            NaN            NaN            NaN            NaN
  1508.77        500.000        99.0318                 NaN  0.284651E-001            NaN  0.939770                 NaN            NaN            NaN            NaN            NaN            NaN
  1506.27        500.000        99.0448                 NaN  0.304369E-001            NaN  0.924728                 NaN            NaN            NaN            NaN            NaN            NaN
  1503.76        500.000        99.0529                 NaN  0.249357E-001            NaN  0.922144                 NaN            NaN            NaN            NaN            NaN            NaN
  1501.25        500.000        99.0612                 NaN  0.198723E-001            NaN  0.918958                 NaN            NaN            NaN            NaN            NaN            NaN
  1498.75        500.000        99.0749                 NaN  0.226125E-001            NaN  0.902453                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.24        500.000        99.0797                 NaN  0.206700E-001            NaN  0.899640                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.73        500.000        99.0934                 NaN  0.148939E-001            NaN  0.891667                 NaN            NaN            NaN            NaN            NaN            NaN
  1491.23        500.000        99.1051                 NaN  0.153192E-001            NaN  0.879625                 NaN            NaN            NaN            NaN            NaN            NaN
  1488.72        500.000        99.1099                 NaN  0.833589E-002            NaN  0.881717                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.22        500.000        99.1188                 NaN  0.780162E-002            NaN  0.873435                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.71        500.000        99.1281                 NaN  0.456026E-002            NaN  0.867292                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.20        500.000        99.1355                 NaN  0.383444E-002            NaN  0.860677                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.70        500.000        99.1456                 NaN  0.148920E-001            NaN  0.839539                 NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        500.000        99.1570                 NaN  0.315046E-001            NaN  0.811535                 NaN            NaN            NaN            NaN            NaN            NaN
  1473.68        500.000        99.1602                 NaN            NaN            NaN  0.839819                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.18        500.000        99.1691                 NaN  0.163381E-001            NaN  0.814596                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        500.000        99.1757                 NaN  0.161040E-001            NaN  0.808153                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.17        500.000        99.1802                 NaN            NaN            NaN  0.819763                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        500.000        99.1868                 NaN            NaN            NaN  0.813235                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.15        500.000        99.1975                 NaN            NaN            NaN  0.802483                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.65        500.000        99.2044                 NaN            NaN            NaN  0.795577                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.14        500.000        99.2101                 NaN            NaN            NaN  0.789932                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.63        500.000        99.2145                 NaN            NaN            NaN  0.785481                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        500.000        99.2227                 NaN            NaN            NaN  0.777281                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.62        500.000        99.2299                 NaN            NaN            NaN  0.770066                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.12        500.000        99.2334                 NaN            NaN            NaN  0.766581                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.2396                 NaN            NaN            NaN  0.760375                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000        99.2423                 NaN            NaN            NaN  0.757667                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.60        500.000        99.2501                 NaN            NaN            NaN  0.749871                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        500.000        99.2535                 NaN            NaN            NaN  0.746502                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.58        500.000        99.2599                 NaN            NaN            NaN  0.740085                 NaN            NaN            NaN            NaN            NaN            NaN
