|6.6.6
Archiving\03_Data\eq/QFM_m0.25/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       pxmn           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             pnt           
  1903.85        2500.00        99.2157       0.775912       0.834164E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.2157       0.775982       0.834165E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.2156       0.776052       0.834167E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.2155       0.776122       0.834169E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.1385       0.776185                 NaN  0.852979E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.1375       0.776256                 NaN  0.861953E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.1366       0.776326                 NaN  0.870929E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.1356       0.776396                 NaN  0.880470E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.1345       0.776466                 NaN  0.890013E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.1335       0.776536                 NaN  0.899557E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.1325       0.776607                 NaN  0.909102E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.1313       0.776677                 NaN  0.920144E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.1301       0.776747                 NaN  0.931188E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.1290       0.776817                 NaN  0.942233E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.1278       0.776888                 NaN  0.953280E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.1266       0.776958                 NaN  0.964329E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.1254       0.777029                 NaN  0.975380E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.1243       0.777099                 NaN  0.986432E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.1231       0.777170                 NaN  0.997486E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.1216       0.777240                 NaN  0.101151                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.1201       0.777310                 NaN  0.102554                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.1187       0.777381                 NaN  0.103958                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        99.1172       0.777451                 NaN  0.105361                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        99.1157       0.777522                 NaN  0.106765                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        99.1142       0.777593                 NaN  0.108169                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        99.1128       0.777663                 NaN  0.109573                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        99.1113       0.777734                 NaN  0.110977                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        99.1094       0.777804                 NaN  0.112781                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        99.1075       0.777875                 NaN  0.114585                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        99.1057       0.777945                 NaN  0.116390                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        99.1038       0.778016                 NaN  0.118195                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        99.1019       0.778087                 NaN  0.120000                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        99.1000       0.778157                 NaN  0.121805                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        99.0982       0.778228                 NaN  0.123611                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        99.0963       0.778299                 NaN  0.125417                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        99.0936       0.778370                 NaN  0.127999                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        99.0910       0.778440                 NaN  0.130582                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        99.0883       0.778511                 NaN  0.133166                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        99.0857       0.778582                 NaN  0.135749                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        99.0830       0.778653                 NaN  0.138333                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        99.0804       0.778724                 NaN  0.140918                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        99.0777       0.778795                 NaN  0.143503                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        99.0750       0.778866                 NaN  0.146088                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        99.0714       0.778937                 NaN  0.149693                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        99.0677       0.779008                 NaN  0.153299                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        99.0640       0.779079                 NaN  0.156906                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        99.0603       0.779150                 NaN  0.160513                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        99.0567       0.779221                 NaN  0.164121                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        99.0530       0.779292                 NaN  0.167729                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        99.0493       0.779364                 NaN  0.171338                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        99.0456       0.779435                 NaN  0.174947                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        99.0398       0.779507                 NaN  0.180742                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        99.0339       0.779578                 NaN  0.186539                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        99.0280       0.779650                 NaN  0.192336                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        99.0221       0.779722                 NaN  0.198133                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        99.0163       0.779793                 NaN  0.203932                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        99.0104       0.779865                 NaN  0.209732                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        99.0045       0.779937                 NaN  0.215532                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        98.9987       0.780009                 NaN  0.221334                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        98.9902       0.780082                 NaN  0.229717                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        98.9809       0.780156                 NaN  0.237808       0.111385E-002            NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        98.9592       0.780246                 NaN  0.246676       0.138820E-001            NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        98.9375       0.780336                 NaN  0.255546       0.266532E-001            NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        98.9122       0.780427                 NaN  0.268308       0.390959E-001            NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        98.8869       0.780518                 NaN  0.281073       0.515415E-001            NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        98.8616       0.780608                 NaN  0.293840       0.639901E-001            NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        98.8362       0.780699                 NaN  0.306610       0.764417E-001            NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        98.8007       0.780793                 NaN  0.330219       0.883100E-001            NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        98.7651       0.780886                 NaN  0.353834       0.100181                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        98.7295       0.780979                 NaN  0.377453       0.112055                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        98.6939       0.781072                 NaN  0.401077       0.123932                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        98.6583       0.781165                 NaN  0.424706       0.135812                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        98.6227       0.781258                 NaN  0.448340       0.147695                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        98.5871       0.781351                 NaN  0.471979       0.159580                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        98.5515       0.781444                 NaN  0.495622       0.171469                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        98.4489       0.781559                 NaN  0.586925       0.182590                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        98.3464       0.781674                 NaN  0.678252       0.193715                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        98.2438       0.781788                 NaN  0.769602       0.204843                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        98.1411       0.781902                 NaN  0.860976       0.215975                 NaN            NaN            NaN            NaN            NaN
  1650.64        2500.00        98.0385       0.782016                 NaN  0.952374       0.227109                 NaN            NaN            NaN            NaN            NaN
  1647.44        2500.00        97.9358       0.782130                 NaN   1.04380       0.238247                 NaN            NaN            NaN            NaN            NaN
  1644.23        2500.00        97.8331       0.782243                 NaN   1.13524       0.249388                 NaN            NaN            NaN            NaN            NaN
  1641.03        2500.00        97.7304       0.782357                 NaN   1.22671       0.260532                 NaN            NaN            NaN            NaN            NaN
  1637.82        2500.00        97.4220       0.782540                 NaN   1.52426       0.271153                 NaN            NaN            NaN            NaN            NaN
  1634.62        2500.00        97.1136       0.782722                 NaN   1.82194       0.281779                 NaN            NaN            NaN            NaN            NaN
  1631.41        2500.00        96.8049       0.782903                 NaN   2.11975       0.292409                 NaN            NaN            NaN            NaN            NaN
  1628.21        2500.00        96.4962       0.783084                 NaN   2.41768       0.303045                 NaN            NaN            NaN            NaN            NaN
  1625.00        2500.00        96.0162       0.783321                 NaN   2.88733       0.313136                 NaN            NaN            NaN            NaN            NaN
  1621.79        2500.00        95.5360       0.783557                 NaN   3.35725       0.323232                 NaN            NaN            NaN            NaN            NaN
  1618.59        2500.00        94.7303       0.784099                 NaN   3.81283       0.330195       0.342581                 NaN            NaN            NaN            NaN
  1615.38        2500.00        92.8561       0.785814                 NaN   3.95129       0.323255        2.08358                 NaN            NaN            NaN            NaN
  1612.18        2500.00        91.2392       0.787305                 NaN   4.08250       0.315341        3.57566                 NaN            NaN            NaN            NaN
  1608.97        2500.00        89.6163       0.788799                 NaN   4.21420       0.307397        5.07335                 NaN            NaN            NaN            NaN
  1605.77        2500.00        87.9872       0.790296                 NaN   4.34638       0.299421        6.57667                 NaN            NaN            NaN            NaN
  1602.56        2500.00        86.3521       0.791797                 NaN   4.47905       0.291414        8.08564                 NaN            NaN            NaN            NaN
  1599.36        2500.00        84.7108       0.793301                 NaN   4.61221       0.283375        9.60028                 NaN            NaN            NaN            NaN
  1596.15        2500.00        83.0634       0.794808                 NaN   4.74585       0.275306        11.1206                 NaN            NaN            NaN            NaN
  1592.95        2500.00        81.4099       0.796319                 NaN   4.87998       0.267204        12.6466                 NaN            NaN            NaN            NaN
  1589.74        2500.00        79.7501       0.797833                 NaN   5.01461       0.259071        14.1784                 NaN            NaN            NaN            NaN
  1586.54        2500.00        78.4292       0.799069                 NaN   5.12291       0.249113        15.3997                 NaN            NaN            NaN            NaN
  1583.33        2500.00        77.1043       0.800307                 NaN   5.23153       0.239123        16.6248                 NaN            NaN            NaN            NaN
  1580.13        2500.00        75.7754       0.801548                 NaN   5.34047       0.229102        17.8535                 NaN            NaN            NaN            NaN
  1576.92        2500.00        74.4424       0.802790                 NaN   5.44974       0.219048        19.0860                 NaN            NaN            NaN            NaN
  1573.72        2500.00        73.1055       0.804034                 NaN   5.55933       0.208964        20.3222                 NaN            NaN            NaN            NaN
  1570.51        2500.00        71.7645       0.805280                 NaN   5.66924       0.198847        21.5622                 NaN            NaN            NaN            NaN
  1567.31        2500.00        70.4194       0.806528                 NaN   5.77948       0.188699        22.8059                 NaN            NaN            NaN            NaN
  1564.10        2500.00        69.0703       0.807778                 NaN   5.89004       0.178518        24.0534                 NaN            NaN            NaN            NaN
  1560.90        2500.00        67.9315       0.808863                 NaN   5.97994       0.165673        25.1141                 NaN            NaN            NaN            NaN
  1557.69        2500.00        66.7897       0.809949                 NaN   6.07007       0.152794        26.1775                 NaN            NaN            NaN            NaN
  1554.49        2500.00        65.6449       0.811036                 NaN   6.16042       0.139879        27.2437                 NaN            NaN            NaN            NaN
  1551.28        2500.00        64.4972       0.812125                 NaN   6.25101       0.126929        28.3127                 NaN            NaN            NaN            NaN
  1548.08        2500.00        63.3465       0.813215                 NaN   6.34182       0.113944        29.3845                 NaN            NaN            NaN            NaN
  1544.87        2500.00        62.1929       0.814306                 NaN   6.43286       0.100924        30.4590                 NaN            NaN            NaN            NaN
  1541.67        2500.00        61.0362       0.815399                 NaN   6.52414       0.878690E-001   31.5364                 NaN            NaN            NaN            NaN
  1538.46        2500.00        59.8766       0.816493                 NaN   6.61564       0.747785E-001   32.6165                 NaN            NaN            NaN            NaN
  1535.26        2500.00        58.8068       0.817523                 NaN   6.69686       0.584607E-001   33.6203                 NaN            NaN            NaN            NaN
  1532.05        2500.00        57.7345       0.818554                 NaN   6.77828       0.421015E-001   34.6266                 NaN            NaN            NaN            NaN
  1528.85        2500.00        56.6596       0.819586                 NaN   6.85989       0.257008E-001   35.6352                 NaN            NaN            NaN            NaN
  1525.64        2500.00        55.5821       0.820619                 NaN   6.94169       0.925851E-002   36.6463                 NaN            NaN            NaN            NaN
  1522.44        2500.00        54.5592       0.821605                 NaN   7.02197                 NaN   37.5972                 NaN            NaN            NaN            NaN
  1519.23        2500.00        53.5700       0.822557                 NaN   7.10056                 NaN   38.5069                 NaN            NaN            NaN            NaN
  1516.03        2500.00        52.5856       0.823509                 NaN   7.17658                 NaN   39.4143                 NaN            NaN            NaN            NaN
  1512.82        2500.00        51.5990       0.824461                 NaN   7.25277                 NaN   40.3238                 NaN            NaN            NaN            NaN
  1509.62        2500.00        50.6147       0.825421                 NaN   7.32178                 NaN   41.2381                 NaN            NaN            NaN            NaN
  1506.41        2500.00        49.6283       0.826382                 NaN   7.39093                 NaN   42.1544                 NaN            NaN            NaN            NaN
  1503.21        2500.00        48.6398       0.827344                 NaN   7.46024                 NaN   43.0726                 NaN            NaN            NaN            NaN
  1500.00        2500.00        47.6491       0.828307                 NaN   7.52969                 NaN   43.9929                 NaN            NaN            NaN            NaN
  1496.79        2500.00        46.6715       0.829263                 NaN   7.59188                 NaN   44.9073                 NaN            NaN            NaN            NaN
  1493.59        2500.00        45.2716       0.830691                 NaN   7.69224                 NaN   45.5839       0.621602                 NaN            NaN            NaN
  1490.38        2500.00        43.5178       0.832534                 NaN   7.82138                 NaN   45.9506        1.87767                 NaN            NaN            NaN
  1487.18        2500.00        41.7564       0.834383                 NaN   7.95107                 NaN   46.3188        3.13928                 NaN            NaN            NaN
  1483.97        2500.00        40.1474       0.836100                 NaN   8.04671                 NaN   46.6548        4.31504                 NaN            NaN            NaN
  1480.77        2500.00        38.5319       0.837822                 NaN   8.14271                 NaN   46.9920        5.49561                 NaN            NaN            NaN
  1477.56        2500.00        36.9099       0.839549                 NaN   8.23909                 NaN   47.3304        6.68100                 NaN            NaN            NaN
  1474.36        2500.00        35.2814       0.841281                 NaN   8.33584                 NaN   47.6702        7.87123                 NaN            NaN            NaN
  1471.15        2500.00        33.7593       0.842923                 NaN   8.40925                 NaN   47.9403        8.99173       0.564695E-001            NaN            NaN
  1467.95        2500.00        32.0508       0.844744                 NaN   8.45551                 NaN   47.3175        9.97483        1.35664                 NaN            NaN
  1464.74        2500.00        32.0490       0.844776                 NaN   8.45573                 NaN   47.3187        9.97508        1.35668                 NaN            NaN
  1461.54        2500.00        28.7677       0.848272                 NaN   8.53275                 NaN   46.2487        11.8946        3.70793                 NaN            NaN
  1458.33        2500.00        28.7661       0.848302                 NaN   8.53294                 NaN   46.2497        11.8949        3.70803                 NaN            NaN
  1455.13        2500.00        28.7645       0.848332                 NaN   8.53313                 NaN   46.2508        11.8952        3.70812                 NaN            NaN
  1451.92        2500.00        28.7628       0.848361                 NaN   8.53332                 NaN   46.2518        11.8954        3.70822                 NaN            NaN
  1448.72        2500.00        28.7612       0.848391                 NaN   8.53351                 NaN   46.2529        11.8957        3.70831                 NaN            NaN
  1445.51        2500.00        28.7596       0.848420                 NaN   8.53370                 NaN   46.2539        11.8960        3.70841                 NaN            NaN
  1442.31        2500.00        28.7579       0.848450                 NaN   8.53389                 NaN   46.2550        11.8962        3.70851                 NaN            NaN
  1439.10        2500.00        28.7563       0.848479                 NaN   8.53408                 NaN   46.2561        11.8965        3.70860                 NaN            NaN
  1435.90        2500.00        18.0603       0.860224                 NaN   8.56324                 NaN   44.5901        18.5607        9.36550                 NaN            NaN
  1432.69        2500.00        18.0592       0.860245                 NaN   8.56334                 NaN   44.5906        18.5609        9.36565                 NaN            NaN
  1429.49        2500.00        15.9670       0.862672                 NaN   8.51860                 NaN   44.5726        19.9250        10.1542                 NaN            NaN
  1426.28        2500.00        14.9911       0.863829                 NaN   8.48926                 NaN   44.6117        10.4771        20.5670                 NaN            NaN
  1423.08        2500.00        14.0647       0.864950                 NaN   8.43723       0.220821E-001   44.5270        10.8949        21.1891                 NaN            NaN
  1419.87        2500.00        12.8765       0.865920                 NaN   8.55155       0.462662E-001   44.1059        21.5873        11.6214       0.345190                 NaN
  1416.67        2500.00        11.7113       0.866766                 NaN   8.70600       0.686704E-001   43.6064        21.8833        12.3869       0.770719                 NaN
  1413.46        2500.00        11.7106       0.866781                 NaN   8.70605       0.686725E-001   43.6066        21.8835        12.3870       0.770770                 NaN
  1410.26        2500.00        9.67580       0.868257                 NaN   8.97023       0.109328        42.7347        22.3664        13.7302        1.54501                 NaN
  1407.05        2500.00        9.67527       0.868271                 NaN   8.97027       0.109331        42.7349        22.3665        13.7303        1.54511                 NaN
  1403.85        2500.00        9.67473       0.868284                 NaN   8.97030       0.109334        42.7351        22.3666        13.7304        1.54521                 NaN
  1400.64        2500.00        9.67420       0.868298                 NaN   8.97033       0.109337        42.7353        22.3667        13.7305        1.54531                 NaN
  1397.44        2500.00        9.67366       0.868311                 NaN   8.97036       0.109340        42.7354        22.3668        13.7307        1.54540                 NaN
  1394.23        2500.00        9.67312       0.868324                 NaN   8.97039       0.109344        42.7356        22.3669        13.7308        1.54550                 NaN
  1391.03        2500.00        9.67259       0.868337                 NaN   8.97042       0.109347        42.7358        22.3670        13.7309        1.54560                 NaN
  1387.82        2500.00        9.67205       0.868351                 NaN   8.97045       0.109350        42.7360        22.3671        13.7310        1.54570                 NaN
  1384.62        2500.00        4.07203       0.872443                 NaN   9.66729       0.231442        40.2914        23.4078        17.4612        3.99638                 NaN
  1381.41        2500.00        4.07184       0.872451                 NaN   9.66727       0.231447        40.2914        23.4078        17.4612        3.99661                 NaN
  1378.21        2500.00        4.07165       0.872460                 NaN   9.66725       0.231453        40.2913        23.4078        17.4612        3.99684                 NaN
  1375.00        2500.00        4.07145       0.872468                 NaN   9.66723       0.231458        40.2913        23.4077        17.4613        3.99708                 NaN
  1371.79        2500.00        4.07126       0.872476                 NaN   9.66721       0.231464        40.2912        23.4077        17.4613        3.99731                 NaN
  1368.59        2500.00        4.07106       0.872485                 NaN   9.66719       0.231469        40.2912        23.4077        17.4614        3.99754                 NaN
  1365.38        2500.00        4.07086       0.872493                 NaN   9.66716       0.231474        40.2911        23.4077        17.4614        3.99777                 NaN
  1362.18        2500.00        4.07067       0.872501                 NaN   9.66714       0.231480        40.2911        23.4077        17.4615        3.99800                 NaN
  1358.97        2500.00       0.444967       0.875342                 NaN   10.0189       0.316682        38.9070        23.7813        19.7469        5.90890                 NaN
  1355.77        2500.00       0.606314E-001  0.875667                 NaN   10.0466       0.325794        38.7840        23.8074        19.9740        6.12593                 NaN
  1352.56        2500.00                 NaN  0.875659                 NaN   10.0801       0.330963        38.7736        23.7694        19.9596        6.21065                 NaN
  1349.36        2500.00                 NaN  0.875664                 NaN   10.0801       0.330970        38.7734        23.7693        19.9596        6.21099                 NaN
  1346.15        2500.00                 NaN  0.875520                 NaN   10.1468       0.339523        38.7980        19.8238        23.6896        6.32666                 NaN
  1342.95        2500.00                 NaN  0.875525                 NaN   10.1468       0.339530        38.7979        19.8238        23.6895        6.32701                 NaN
  1339.74        2500.00                 NaN  0.875530                 NaN   10.1467       0.339537        38.7977        19.8238        23.6894        6.32735                 NaN
  1336.54        2500.00                 NaN  0.875535                 NaN   10.1467       0.339543        38.7975        19.8238        23.6893        6.32769                 NaN
  1333.33        2500.00                 NaN  0.875257                 NaN   10.2750       0.357572        38.8383        19.5699        23.5346        6.54936                 NaN
  1330.13        2500.00                 NaN  0.875262                 NaN   10.2749       0.357579        38.8381        19.5699        23.5345        6.54972                 NaN
  1326.92        2500.00                 NaN  0.875267                 NaN   10.2748       0.357586        38.8380        19.5699        23.5344        6.55007                 NaN
  1323.72        2500.00                 NaN  0.875271                 NaN   10.2748       0.357593        38.8378        19.5699        23.5343        6.55042                 NaN
  1320.51        2500.00                 NaN  0.875276                 NaN   10.2747       0.357600        38.8376        19.5698        23.5342        6.55077                 NaN
  1317.31        2500.00                 NaN  0.875280                 NaN   10.2747       0.357607        38.8374        19.5698        23.5341        6.55113                 NaN
  1314.10        2500.00                 NaN  0.875285                 NaN   10.2746       0.357614        38.8373        19.5698        23.5340        6.55148                 NaN
  1310.90        2500.00                 NaN  0.875289                 NaN   10.2745       0.357621        38.8371        19.5698        23.5339        6.55183                 NaN
  1307.69        2500.00                 NaN  0.874753                 NaN   10.5202       0.393917        38.9191        19.0829        23.2312        6.97802                 NaN
  1304.49        2500.00                 NaN  0.874757                 NaN   10.5201       0.393925        38.9189        19.0829        23.2310        6.97839                 NaN
  1301.28        2500.00                 NaN  0.874761                 NaN   10.5200       0.393932        38.9187        19.0829        23.2309        6.97877                 NaN
  1298.08        2500.00                 NaN  0.874765                 NaN   10.5200       0.393940        38.9185        19.0829        23.2308        6.97914                 NaN
  1294.87        2500.00                 NaN  0.874769                 NaN   10.5199       0.393948        38.9184        19.0828        23.2307        6.97951                 NaN
  1291.67        2500.00                 NaN  0.874773                 NaN   10.5198       0.393955        38.9182        19.0828        23.2306        6.97989                 NaN
  1288.46        2500.00                 NaN  0.874778                 NaN   10.5198       0.393963        38.9180        19.0828        23.2304        6.98026                 NaN
  1285.26        2500.00                 NaN  0.874782                 NaN   10.5197       0.393970        38.9178        19.0828        23.2303        6.98063                 NaN
  1282.05        2500.00                 NaN  0.874291                 NaN   10.7447       0.430209        39.0121        22.9733        18.5911        7.37435                 NaN
  1278.85        2500.00                 NaN  0.874295                 NaN   10.7446       0.430217        39.0119        22.9732        18.5911        7.37474                 NaN
  1275.64        2500.00                 NaN  0.874299                 NaN   10.7445       0.430225        39.0117        22.9731        18.5911        7.37513                 NaN
  1272.44        2500.00                 NaN  0.874303                 NaN   10.7445       0.430233        39.0115        22.9729        18.5910        7.37552                 NaN
  1269.23        2500.00                 NaN  0.874306                 NaN   10.7444       0.430241        39.0113        22.9728        18.5910        7.37592                 NaN
  1266.03        2500.00                 NaN  0.874310                 NaN   10.7443       0.430249        39.0111        22.9727        18.5910        7.37631                 NaN
  1262.82        2500.00                 NaN  0.874314                 NaN   10.7442       0.430257        39.0109        22.9726        18.5910        7.37670                 NaN
  1259.62        2500.00                 NaN  0.874317                 NaN   10.7442       0.430265        39.0108        22.9724        18.5910        7.37709                 NaN
  1256.41        2500.00                 NaN  0.873867                 NaN   10.9500       0.468548        39.1081        18.1242        22.7326        7.74277                 NaN
  1253.21        2500.00                 NaN  0.873871                 NaN   10.9499       0.468556        39.1079        18.1242        22.7324        7.74317                 NaN
