|6.6.6
Archiving\03_Data\Deq/QFM_m1/YM20/YM20_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1858.97        2500.00        86.4368                 NaN   13.2561       0.307127                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.8073                 NaN   13.8694       0.323352                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        85.1777                 NaN   14.4827       0.339577                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        84.5481                 NaN   15.0961       0.355803                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        83.9185                 NaN   15.7095       0.372029                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        83.3127                 NaN   16.3002       0.387071                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        82.7069                 NaN   16.8909       0.402113                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        82.1011                 NaN   17.4817       0.417155                 NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        81.4953                 NaN   18.0725       0.432197                 NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        80.8895                 NaN   18.6632       0.447240                 NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        80.2837                 NaN   19.2540       0.462283                 NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        79.6778                 NaN   19.8448       0.477326                 NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        79.0720                 NaN   20.4357       0.492370                 NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        78.4876                 NaN   21.0061       0.506300                 NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        77.9033                 NaN   21.5765       0.520231                 NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        77.3189                 NaN   22.1469       0.534162                 NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        76.7345                 NaN   22.7174       0.548093                 NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        76.1501                 NaN   23.2879       0.562025                 NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        75.5657                 NaN   23.8583       0.575956                 NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        74.9813                 NaN   24.4288       0.589889                 NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        74.3968                 NaN   24.9993       0.603821                 NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        73.8304                 NaN   25.5526       0.616955                 NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        73.2640                 NaN   26.1059       0.630089                 NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        72.6975                 NaN   26.6592       0.643223                 NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        72.1311                 NaN   27.2126       0.656357                 NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        71.5646                 NaN   27.7659       0.669492                 NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        70.9981                 NaN   28.3192       0.682627                 NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        70.4316                 NaN   28.8726       0.695763                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        69.8651                 NaN   29.4260       0.708898                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        69.3149                 NaN   29.9641       0.721014                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        68.7647                 NaN   30.5021       0.733130                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        68.2145                 NaN   31.0402       0.745246                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        67.6643                 NaN   31.5784       0.757363                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        67.1140                 NaN   32.1165       0.769480                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        66.5638                 NaN   32.6546       0.781597                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        66.0135                 NaN   33.1928       0.793714                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        65.4632                 NaN   33.7309       0.805832                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        64.9301                 NaN   34.2527       0.817265                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        64.3969                 NaN   34.7744       0.828699                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        63.8637                 NaN   35.2962       0.840133                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        63.3305                 NaN   35.8180       0.851567                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        62.7972                 NaN   36.3398       0.863001                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        62.2640                 NaN   36.8616       0.874436                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        61.7307                 NaN   37.3834       0.885871                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        61.1975                 NaN   37.9052       0.897306                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        60.6852                 NaN   38.4066       0.908185                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        60.1729                 NaN   38.9080       0.919065                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        59.6606                 NaN   39.4094       0.929945                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        59.1483                 NaN   39.9109       0.940825                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        58.6360                 NaN   40.4123       0.951706                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        58.1236                 NaN   40.9138       0.962586                 NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        57.6113                 NaN   41.4152       0.973467                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        57.0989                 NaN   41.9167       0.984348                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        56.6140                 NaN   42.3914       0.994613                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        56.1291                 NaN   42.8661        1.00488                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        55.6441                 NaN   43.3407        1.01514                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        55.1592                 NaN   43.8154        1.02541                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        54.6742                 NaN   44.2901        1.03567                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        54.1892                 NaN   44.7649        1.04594                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        53.7042                 NaN   45.2396        1.05620                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        53.2192                 NaN   45.7143        1.06647                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        52.7538                 NaN   46.1710        1.07520                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        52.2885                 NaN   46.6276        1.08392                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        51.8275                 NaN   47.0785        1.09399                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        51.3631                 NaN   47.5239        1.10360       0.933930E-002            NaN            NaN            NaN            NaN
  1650.64        2500.00        50.0074                 NaN   47.6863        1.09567        1.21058                 NaN            NaN            NaN            NaN
  1647.44        2500.00        48.6517                 NaN   47.8488        1.08773        2.41185                 NaN            NaN            NaN            NaN
  1644.23        2500.00        47.2959                 NaN   48.0112        1.07979        3.61316                 NaN            NaN            NaN            NaN
  1641.03        2500.00        45.9400                 NaN   48.1736        1.07186        4.81450                 NaN            NaN            NaN            NaN
  1637.82        2500.00        44.8813                 NaN   48.2946        1.06334        5.76079                 NaN            NaN            NaN            NaN
  1634.62        2500.00        43.8225                 NaN   48.4156        1.05482        6.70711                 NaN            NaN            NaN            NaN
  1631.41        2500.00        42.7637                 NaN   48.5366        1.04631        7.65345                 NaN            NaN            NaN            NaN
  1628.21        2500.00        41.7048                 NaN   48.6576        1.03779        8.59980                 NaN            NaN            NaN            NaN
  1625.00        2500.00        40.6460                 NaN   48.7786        1.02927        9.54618                 NaN            NaN            NaN            NaN
  1621.79        2500.00        39.5871                 NaN   48.8996        1.02075        10.4926                 NaN            NaN            NaN            NaN
  1618.59        2500.00        38.5282                 NaN   49.0206        1.01224        11.4390                 NaN            NaN            NaN            NaN
  1615.38        2500.00        37.4693                 NaN   49.1416        1.00372        12.3854                 NaN            NaN            NaN            NaN
  1612.18        2500.00        36.6717                 NaN   49.2244       0.994440        13.1095                 NaN            NaN            NaN            NaN
  1608.97        2500.00        35.8740                 NaN   49.3071       0.985160        13.8337                 NaN            NaN            NaN            NaN
  1605.77        2500.00        35.0764                 NaN   49.3899       0.975880        14.5578                 NaN            NaN            NaN            NaN
  1602.56        2500.00        34.2787                 NaN   49.4727       0.966601        15.2819                 NaN            NaN            NaN            NaN
  1599.36        2500.00        33.4811                 NaN   49.5555       0.957321        16.0061                 NaN            NaN            NaN            NaN
  1596.15        2500.00        32.6834                 NaN   49.6383       0.948041        16.7303                 NaN            NaN            NaN            NaN
  1592.95        2500.00        31.8857                 NaN   49.7211       0.938760        17.4544                 NaN            NaN            NaN            NaN
  1589.74        2500.00        31.0880                 NaN   49.8039       0.929480        18.1786                 NaN            NaN            NaN            NaN
  1586.54        2500.00        30.4494                 NaN   49.8624       0.919209        18.7690                 NaN            NaN            NaN            NaN
  1583.33        2500.00        29.8107                 NaN   49.9209       0.908939        19.3595                 NaN            NaN            NaN            NaN
  1580.13        2500.00        29.1721                 NaN   49.9794       0.898668        19.9499                 NaN            NaN            NaN            NaN
  1576.92        2500.00        28.5334                 NaN   50.0379       0.888397        20.5403                 NaN            NaN            NaN            NaN
  1573.72        2500.00        27.8948                 NaN   50.0963       0.878127        21.1308                 NaN            NaN            NaN            NaN
  1570.51        2500.00        27.2561                 NaN   50.1548       0.867856        21.7212                 NaN            NaN            NaN            NaN
  1567.31        2500.00        26.6174                 NaN   50.2133       0.857584        22.3117                 NaN            NaN            NaN            NaN
  1564.10        2500.00        25.9787                 NaN   50.2718       0.847313        22.9021                 NaN            NaN            NaN            NaN
  1560.90        2500.00        25.4373                 NaN   50.3156       0.835384        23.4118                 NaN            NaN            NaN            NaN
  1557.69        2500.00        24.8958                 NaN   50.3593       0.823454        23.9215                 NaN            NaN            NaN            NaN
  1554.49        2500.00        24.3543                 NaN   50.4030       0.811525        24.4311                 NaN            NaN            NaN            NaN
  1551.28        2500.00        23.8128                 NaN   50.4468       0.799595        24.9408                 NaN            NaN            NaN            NaN
  1548.08        2500.00        23.2713                 NaN   50.4905       0.787665        25.4505                 NaN            NaN            NaN            NaN
  1544.87        2500.00        22.7298                 NaN   50.5342       0.775735        25.9602                 NaN            NaN            NaN            NaN
  1541.67        2500.00        22.1884                 NaN   50.5780       0.763805        26.4699                 NaN            NaN            NaN            NaN
  1538.46        2500.00        21.6468                 NaN   50.6217       0.751875        26.9796                 NaN            NaN            NaN            NaN
  1535.26        2500.00        21.1544                 NaN   50.6567       0.737557        27.4514                 NaN            NaN            NaN            NaN
  1532.05        2500.00        20.6618                 NaN   50.6917       0.723238        27.9232                 NaN            NaN            NaN            NaN
  1528.85        2500.00        20.1693                 NaN   50.7268       0.708920        28.3950                 NaN            NaN            NaN            NaN
  1525.64        2500.00        19.6768                 NaN   50.7618       0.694602        28.8668                 NaN            NaN            NaN            NaN
  1522.44        2500.00        19.1843                 NaN   50.7968       0.680283        29.3386                 NaN            NaN            NaN            NaN
  1519.23        2500.00        18.6918                 NaN   50.8318       0.665965        29.8104                 NaN            NaN            NaN            NaN
  1516.03        2500.00        18.1993                 NaN   50.8669       0.651646        30.2822                 NaN            NaN            NaN            NaN
  1512.82        2500.00        17.7068                 NaN   50.9019       0.637328        30.7540                 NaN            NaN            NaN            NaN
  1509.62        2500.00        17.2333                 NaN   50.9320       0.621544        31.2131                 NaN            NaN            NaN            NaN
  1506.41        2500.00        16.7599                 NaN   50.9622       0.605761        31.6722                 NaN            NaN            NaN            NaN
  1503.21        2500.00        16.2947                 NaN   50.9900       0.590169        32.1251                 NaN            NaN            NaN            NaN
  1500.00        2500.00        15.6752                 NaN   51.0232       0.582889        32.4315       0.287221                 NaN            NaN            NaN
  1496.79        2500.00        14.9479                 NaN   51.0441       0.588606        32.5720       0.847406                 NaN            NaN            NaN
  1493.59        2500.00        14.2205                 NaN   51.0651       0.594323        32.7125        1.40759                 NaN            NaN            NaN
  1490.38        2500.00        13.4931                 NaN   51.0861       0.600041        32.8530        1.96778                 NaN            NaN            NaN
  1487.18        2500.00        12.7658                 NaN   51.1071       0.605759        32.9934        2.52798                 NaN            NaN            NaN
  1483.97        2500.00        12.1645                 NaN   51.1062       0.616988        33.1034        3.00902                 NaN            NaN            NaN
  1480.77        2500.00        11.5631                 NaN   51.1053       0.628217        33.2133        3.49007                 NaN            NaN            NaN
  1477.56        2500.00        10.9618                 NaN   51.1044       0.639447        33.3233        3.97112                 NaN            NaN            NaN
  1474.36        2500.00        10.3604                 NaN   51.1035       0.650676        33.4332        4.45217                 NaN            NaN            NaN
  1471.15        2500.00        9.83993                 NaN   51.0882       0.665309        33.5248        4.88176                 NaN            NaN            NaN
  1467.95        2500.00        9.31942                 NaN   51.0730       0.679943        33.6163        5.31135                 NaN            NaN            NaN
  1464.74        2500.00        8.83167                 NaN   51.0516       0.697608        33.6612        5.71021       0.477179E-001            NaN            NaN
  1461.54        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1458.33        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1455.13        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1451.92        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1448.72        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1445.51        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1442.31        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1439.10        2500.00        8.32424                 NaN   51.0125       0.725376        33.4777        6.07448       0.385737                 NaN            NaN
  1435.90        2500.00        5.28705                 NaN   50.6819       0.933599        32.6343        8.34206        2.12114                 NaN            NaN
  1432.69        2500.00        5.00664                 NaN   50.6392       0.957693        32.5784        8.55718        2.26080                 NaN            NaN
  1429.49        2500.00        4.70695                 NaN   50.6440       0.974257        32.4707        2.43446        8.70149       0.681518E-001            NaN
  1426.28        2500.00        4.70695                 NaN   50.6440       0.974257        32.4707        2.43446        8.70149       0.681518E-001            NaN
  1423.08        2500.00        4.13255                 NaN   50.7044       0.996947        32.2035        2.80045        8.88519       0.276926                 NaN
  1419.87        2500.00        4.13255                 NaN   50.7044       0.996947        32.2035        2.80045        8.88519       0.276926                 NaN
  1416.67        2500.00        4.13255                 NaN   50.7044       0.996947        32.2035        2.80045        8.88519       0.276926                 NaN
  1413.46        2500.00        4.13255                 NaN   50.7044       0.996947        32.2035        2.80045        8.88519       0.276926                 NaN
  1410.26        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1407.05        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1403.85        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1400.64        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1397.44        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1394.23        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1391.03        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1387.82        2500.00        3.21674                 NaN   50.7902        1.04041        31.7437        9.17635        3.40304       0.629640                 NaN
  1384.62        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1381.41        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1378.21        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1375.00        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1371.79        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1368.59        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1365.38        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1362.18        2500.00        1.92328                 NaN   50.8847        1.11889        31.0295        9.56679        4.28774        1.18918                 NaN
  1358.97        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1355.77        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1352.56        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1349.36        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1346.15        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1342.95        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1339.74        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1336.54        2500.00       0.999566                 NaN   50.9029        1.19316        30.5130        9.83691        4.92248        1.63199                 NaN
  1333.33        2500.00       0.258685                 NaN   50.8694        1.26362        30.1475        10.0566        5.40299        2.00111                 NaN
  1330.13        2500.00       0.258685                 NaN   50.8694        1.26362        30.1475        10.0566        5.40299        2.00111                 NaN
  1326.92        2500.00       0.905282E-001            NaN   50.8515        1.28126        30.0789        10.1102        5.50490        2.08264                 NaN
  1323.72        2500.00       0.897883E-002            NaN   50.8441        1.28972        30.0466        10.1355        5.55283        2.12229                 NaN
  1320.51        2500.00                 NaN            NaN   50.8478        1.29602        30.0414        5.54286        10.1315        2.14048                 NaN
  1317.31        2500.00                 NaN            NaN   50.8478        1.29602        30.0414        5.54286        10.1315        2.14048                 NaN
  1314.10        2500.00                 NaN            NaN   50.8478        1.29602        30.0414        5.54286        10.1315        2.14048                 NaN
  1310.90        2500.00                 NaN            NaN   50.8478        1.29602        30.0414        5.54286        10.1315        2.14048                 NaN
  1307.69        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1304.49        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1301.28        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1298.08        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1294.87        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1291.67        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1288.46        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1285.26        2500.00                 NaN            NaN   50.8782        1.31868        30.0263        5.47907        10.0929        2.20476                 NaN
  1282.05        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1278.85        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1275.64        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1272.44        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1269.23        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1266.03        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1262.82        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1259.62        2500.00                 NaN            NaN   50.9307        1.36636        29.9977        10.0309        5.35223        2.32214                 NaN
  1256.41        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1253.21        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1250.00        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1246.79        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1243.59        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1240.38        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1237.18        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1233.97        2500.00                 NaN            NaN   50.9740        1.41625        29.9710        5.23365        9.97420        2.43087                 NaN
  1230.77        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1227.56        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1224.36        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1221.15        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1217.95        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1214.74        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1211.54        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1208.33        2500.00                 NaN            NaN   51.0065        1.46879        29.9515        5.11650        9.92798        2.52872                 NaN
  1205.13        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1201.92        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1198.72        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1195.51        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1192.31        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1189.10        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1185.90        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
  1182.69        2500.00                 NaN            NaN   51.0297        1.52369        29.9390        9.88921        5.00163        2.61674                 NaN
