|6.6.6
Archiving\03_Data\Deq/QFM_m1/YM20/YM20_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             ab            
  1772.44        2500.00        72.4958                 NaN   27.0242       0.480027                 NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        71.9679                 NaN   27.5430       0.489175                 NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        71.4572                 NaN   28.0452       0.497587                 NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        70.9463                 NaN   28.5477       0.506004                 NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        70.4350                 NaN   29.0505       0.514427                 NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        69.9235                 NaN   29.5537       0.522855                 NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        69.4116                 NaN   30.0571       0.531288                 NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        68.8994                 NaN   30.5608       0.539727                 NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        68.3870                 NaN   31.0649       0.548171                 NaN            NaN            NaN            NaN            NaN
  1743.59        2500.00        67.8742                 NaN   31.5692       0.556620                 NaN            NaN            NaN            NaN            NaN
  1740.38        2500.00        67.3789                 NaN   32.0564       0.564622                 NaN            NaN            NaN            NaN            NaN
  1737.18        2500.00        66.8834                 NaN   32.5439       0.572629                 NaN            NaN            NaN            NaN            NaN
  1733.97        2500.00        66.3876                 NaN   33.0317       0.580640                 NaN            NaN            NaN            NaN            NaN
  1730.77        2500.00        65.8916                 NaN   33.5198       0.588655                 NaN            NaN            NaN            NaN            NaN
  1727.56        2500.00        65.3953                 NaN   34.0080       0.596675                 NaN            NaN            NaN            NaN            NaN
  1724.36        2500.00        64.8987                 NaN   34.4966       0.604700                 NaN            NaN            NaN            NaN            NaN
  1721.15        2500.00        64.4019                 NaN   34.9854       0.612728                 NaN            NaN            NaN            NaN            NaN
  1717.95        2500.00        63.9049                 NaN   35.4744       0.620761                 NaN            NaN            NaN            NaN            NaN
  1714.74        2500.00        63.4284                 NaN   35.9432       0.628451                 NaN            NaN            NaN            NaN            NaN
  1711.54        2500.00        62.9516                 NaN   36.4122       0.636144                 NaN            NaN            NaN            NaN            NaN
  1708.33        2500.00        62.4747                 NaN   36.8815       0.643840                 NaN            NaN            NaN            NaN            NaN
  1705.13        2500.00        61.9975                 NaN   37.3509       0.651540                 NaN            NaN            NaN            NaN            NaN
  1701.92        2500.00        61.5202                 NaN   37.8206       0.659244                 NaN            NaN            NaN            NaN            NaN
  1698.72        2500.00        61.0426                 NaN   38.2904       0.666952                 NaN            NaN            NaN            NaN            NaN
  1695.51        2500.00        60.5649                 NaN   38.7604       0.674663                 NaN            NaN            NaN            NaN            NaN
  1692.31        2500.00        60.0870                 NaN   39.2307       0.682377                 NaN            NaN            NaN            NaN            NaN
  1689.10        2500.00        59.6347                 NaN   39.6755       0.689710                 NaN            NaN            NaN            NaN            NaN
  1685.90        2500.00        59.1824                 NaN   40.1206       0.697046                 NaN            NaN            NaN            NaN            NaN
  1682.69        2500.00        58.7299                 NaN   40.5658       0.704385                 NaN            NaN            NaN            NaN            NaN
  1679.49        2500.00        58.2772                 NaN   41.0111       0.711726                 NaN            NaN            NaN            NaN            NaN
  1676.28        2500.00        57.8244                 NaN   41.4566       0.719070                 NaN            NaN            NaN            NaN            NaN
  1673.08        2500.00        57.3714                 NaN   41.9022       0.726417                 NaN            NaN            NaN            NaN            NaN
  1669.87        2500.00        56.9183                 NaN   42.3480       0.733767                 NaN            NaN            NaN            NaN            NaN
  1666.67        2500.00        56.4650                 NaN   42.7939       0.741119                 NaN            NaN            NaN            NaN            NaN
  1663.46        2500.00        56.0302                 NaN   43.2225       0.747240                 NaN            NaN            NaN            NaN            NaN
  1660.26        2500.00        55.5953                 NaN   43.6513       0.753363                 NaN            NaN            NaN            NaN            NaN
  1657.05        2500.00        55.1646                 NaN   44.0748       0.760653                 NaN            NaN            NaN            NaN            NaN
  1653.85        2500.00        54.7300                 NaN   44.4935       0.767605       0.893697E-002            NaN            NaN            NaN            NaN
  1650.64        2500.00        53.3774                 NaN   44.6997       0.763537        1.15934                 NaN            NaN            NaN            NaN
  1647.44        2500.00        52.0211                 NaN   44.9064       0.759455        2.31305                 NaN            NaN            NaN            NaN
  1644.23        2500.00        50.6610                 NaN   45.1135       0.755360        3.47010                 NaN            NaN            NaN            NaN
  1641.03        2500.00        49.2971                 NaN   45.3212       0.751251        4.63048                 NaN            NaN            NaN            NaN
  1637.82        2500.00        48.2305                 NaN   45.4778       0.746505        5.54517                 NaN            NaN            NaN            NaN
  1634.62        2500.00        47.1616                 NaN   45.6347       0.741747        6.46195                 NaN            NaN            NaN            NaN
  1631.41        2500.00        46.0903                 NaN   45.7919       0.736977        7.38083                 NaN            NaN            NaN            NaN
  1628.21        2500.00        45.0167                 NaN   45.9493       0.732195        8.30179                 NaN            NaN            NaN            NaN
  1625.00        2500.00        43.9407                 NaN   46.1070       0.727400        9.22485                 NaN            NaN            NaN            NaN
  1621.79        2500.00        42.8624                 NaN   46.2650       0.722593        10.1500                 NaN            NaN            NaN            NaN
  1618.59        2500.00        41.7817                 NaN   46.4233       0.717774        11.0773                 NaN            NaN            NaN            NaN
  1615.38        2500.00        40.6986                 NaN   46.5818       0.712943        12.0066                 NaN            NaN            NaN            NaN
  1612.18        2500.00        39.8816                 NaN   46.6935       0.707368        12.7176                 NaN            NaN            NaN            NaN
  1608.97        2500.00        39.0632                 NaN   46.8053       0.701782        13.4297                 NaN            NaN            NaN            NaN
  1605.77        2500.00        38.2434                 NaN   46.9172       0.696186        14.1432                 NaN            NaN            NaN            NaN
  1602.56        2500.00        37.4223                 NaN   47.0293       0.690578        14.8578                 NaN            NaN            NaN            NaN
  1599.36        2500.00        36.5998                 NaN   47.1415       0.684960        15.5737                 NaN            NaN            NaN            NaN
  1596.15        2500.00        35.7760                 NaN   47.2538       0.679332        16.2909                 NaN            NaN            NaN            NaN
  1592.95        2500.00        34.9508                 NaN   47.3663       0.673692        17.0093                 NaN            NaN            NaN            NaN
  1589.74        2500.00        34.1242                 NaN   47.4789       0.668042        17.7289                 NaN            NaN            NaN            NaN
  1586.54        2500.00        33.4610                 NaN   47.5620       0.661575        18.3154                 NaN            NaN            NaN            NaN
  1583.33        2500.00        32.7969                 NaN   47.6452       0.655098        18.9028                 NaN            NaN            NaN            NaN
  1580.13        2500.00        32.1318                 NaN   47.7285       0.648610        19.4910                 NaN            NaN            NaN            NaN
  1576.92        2500.00        31.4659                 NaN   47.8119       0.642113        20.0801                 NaN            NaN            NaN            NaN
  1573.72        2500.00        30.7992                 NaN   47.8953       0.635606        20.6699                 NaN            NaN            NaN            NaN
  1570.51        2500.00        30.1315                 NaN   47.9788       0.629089        21.2606                 NaN            NaN            NaN            NaN
  1567.31        2500.00        29.4629                 NaN   48.0624       0.622563        21.8522                 NaN            NaN            NaN            NaN
  1564.10        2500.00        28.7935                 NaN   48.1460       0.616026        22.4445                 NaN            NaN            NaN            NaN
  1560.90        2500.00        28.2241                 NaN   48.2119       0.608181        22.9558                 NaN            NaN            NaN            NaN
  1557.69        2500.00        27.6541                 NaN   48.2778       0.600327        23.4677                 NaN            NaN            NaN            NaN
  1554.49        2500.00        27.0835                 NaN   48.3438       0.592461        23.9802                 NaN            NaN            NaN            NaN
  1551.28        2500.00        26.5122                 NaN   48.4099       0.584586        24.4933                 NaN            NaN            NaN            NaN
  1548.08        2500.00        25.9403                 NaN   48.4759       0.576700        25.0071                 NaN            NaN            NaN            NaN
  1544.87        2500.00        25.3677                 NaN   48.5421       0.568805        25.5214                 NaN            NaN            NaN            NaN
  1541.67        2500.00        24.7944                 NaN   48.6082       0.560898        26.0364                 NaN            NaN            NaN            NaN
  1538.46        2500.00        24.2206                 NaN   48.6744       0.552982        26.5520                 NaN            NaN            NaN            NaN
  1535.26        2500.00        23.6966                 NaN   48.7309       0.543262        27.0292                 NaN            NaN            NaN            NaN
  1532.05        2500.00        23.1721                 NaN   48.7875       0.533531        27.5069                 NaN            NaN            NaN            NaN
  1528.85        2500.00        22.6471                 NaN   48.8441       0.523788        27.9851                 NaN            NaN            NaN            NaN
  1525.64        2500.00        22.1215                 NaN   48.9007       0.514033        28.4638                 NaN            NaN            NaN            NaN
  1522.44        2500.00        21.5953                 NaN   48.9574       0.504266        28.9430                 NaN            NaN            NaN            NaN
  1519.23        2500.00        21.0686                 NaN   49.0141       0.494488        29.4228                 NaN            NaN            NaN            NaN
  1516.03        2500.00        20.5414                 NaN   49.0708       0.484699        29.9031                 NaN            NaN            NaN            NaN
  1512.82        2500.00        20.0136                 NaN   49.1276       0.474897        30.3839                 NaN            NaN            NaN            NaN
  1509.62        2500.00        19.5044                 NaN   49.1795       0.463991        30.8520                 NaN            NaN            NaN            NaN
  1506.41        2500.00        18.9948                 NaN   49.2315       0.453072        31.3207                 NaN            NaN            NaN            NaN
  1503.21        2500.00        18.4934                 NaN   49.2811       0.442283        31.7832                 NaN            NaN            NaN            NaN
  1500.00        2500.00        17.8235                 NaN   49.3449       0.437943        32.1065       0.287125                 NaN            NaN            NaN
  1496.79        2500.00        17.0340                 NaN   49.4054       0.443684        32.2694       0.847534                 NaN            NaN            NaN
  1493.59        2500.00        16.2429                 NaN   49.4659       0.449438        32.4327        1.40907                 NaN            NaN            NaN
  1490.38        2500.00        15.4503                 NaN   49.5265       0.455206        32.5962        1.97173                 NaN            NaN            NaN
  1487.18        2500.00        14.6562                 NaN   49.5872       0.460987        32.7601        2.53551                 NaN            NaN            NaN
  1483.97        2500.00        13.9973                 NaN   49.6211       0.470896        32.8907        3.01995                 NaN            NaN            NaN
  1480.77        2500.00        13.3373                 NaN   49.6551       0.480824        33.0216        3.50522                 NaN            NaN            NaN
  1477.56        2500.00        12.6763                 NaN   49.6890       0.490770        33.1526        3.99132                 NaN            NaN            NaN
  1474.36        2500.00        12.0142                 NaN   49.7229       0.500736        33.2839        4.47825                 NaN            NaN            NaN
  1471.15        2500.00        11.4387                 NaN   49.7400       0.513325        33.3946        4.91343                 NaN            NaN            NaN
  1467.95        2500.00        10.8624                 NaN   49.7570       0.525935        33.5054        5.34927                 NaN            NaN            NaN
  1464.74        2500.00        10.3211                 NaN   49.7660       0.540939        33.5695        5.75460       0.479162E-001            NaN            NaN
  1461.54        2500.00        9.75676                 NaN   49.7594       0.563866        33.4062        6.12609       0.387607                 NaN            NaN
  1458.33        2500.00        9.75624                 NaN   49.7596       0.563884        33.4065        6.12613       0.387612                 NaN            NaN
  1455.13        2500.00        9.75572                 NaN   49.7598       0.563903        33.4068        6.12617       0.387616                 NaN            NaN
  1451.92        2500.00        9.75519                 NaN   49.7600       0.563922        33.4070        6.12621       0.387620                 NaN            NaN
  1448.72        2500.00        9.75467                 NaN   49.7602       0.563940        33.4073        6.12625       0.387625                 NaN            NaN
  1445.51        2500.00        9.75414                 NaN   49.7604       0.563959        33.4076        6.12629       0.387629                 NaN            NaN
  1442.31        2500.00        9.75362                 NaN   49.7606       0.563978        33.4078        6.12633       0.387634                 NaN            NaN
  1439.10        2500.00        9.75309                 NaN   49.7608       0.563996        33.4081        6.12637       0.387638                 NaN            NaN
  1435.90        2500.00        6.34127                 NaN   49.6361       0.737536        32.6924        8.45164        2.14108                 NaN            NaN
  1432.69        2500.00        6.02166                 NaN   49.6151       0.757806        32.6486        8.67368        2.28313                 NaN            NaN
  1429.49        2500.00        5.67780                 NaN   49.6335       0.771586        32.5513        2.45962        8.82378       0.824242E-001            NaN
  1426.28        2500.00        5.67755                 NaN   49.6335       0.771609        32.5514        2.45964        8.82381       0.824294E-001            NaN
  1423.08        2500.00        5.01446                 NaN   49.7121       0.790112        32.2997        2.83171        9.01679       0.335140                 NaN
  1419.87        2500.00        5.01424                 NaN   49.7121       0.790135        32.2999        2.83173        9.01681       0.335161                 NaN
  1416.67        2500.00        5.01403                 NaN   49.7120       0.790159        32.3000        2.83175        9.01684       0.335181                 NaN
  1413.46        2500.00        5.01381                 NaN   49.7120       0.790183        32.3001        2.83178        9.01686       0.335202                 NaN
  1410.26        2500.00        3.94623                 NaN   49.8297       0.825622        31.8652        9.32429        3.44607       0.762855                 NaN
  1407.05        2500.00        3.94608                 NaN   49.8297       0.825646        31.8653        9.32431        3.44609       0.762901                 NaN
  1403.85        2500.00        3.94592                 NaN   49.8296       0.825670        31.8654        9.32433        3.44612       0.762947                 NaN
  1400.64        2500.00        3.94577                 NaN   49.8295       0.825693        31.8655        9.32434        3.44614       0.762994                 NaN
  1397.44        2500.00        3.94561                 NaN   49.8295       0.825717        31.8656        9.32436        3.44617       0.763040                 NaN
  1394.23        2500.00        3.94546                 NaN   49.8294       0.825741        31.8658        9.32438        3.44619       0.763087                 NaN
  1391.03        2500.00        3.94531                 NaN   49.8293       0.825765        31.8659        9.32439        3.44622       0.763133                 NaN
  1387.82        2500.00        3.94515                 NaN   49.8292       0.825788        31.8660        9.32441        3.44624       0.763179                 NaN
  1384.62        2500.00        2.40531                 NaN   49.9760       0.890116        31.1897        9.74191        4.35355        1.44340                 NaN
  1381.41        2500.00        2.40523                 NaN   49.9759       0.890141        31.1898        9.74192        4.35358        1.44348                 NaN
  1378.21        2500.00        2.40516                 NaN   49.9757       0.890165        31.1898        9.74192        4.35361        1.44357                 NaN
  1375.00        2500.00        2.40508                 NaN   49.9756       0.890189        31.1899        9.74193        4.35363        1.44365                 NaN
  1371.79        2500.00        2.40500                 NaN   49.9755       0.890214        31.1900        9.74193        4.35366        1.44374                 NaN
  1368.59        2500.00        2.40493                 NaN   49.9753       0.890238        31.1901        9.74194        4.35369        1.44382                 NaN
  1365.38        2500.00        2.40485                 NaN   49.9752       0.890262        31.1902        9.74195        4.35371        1.44391                 NaN
  1362.18        2500.00        2.40477                 NaN   49.9750       0.890286        31.1902        9.74195        4.35374        1.44399                 NaN
  1358.97        2500.00        1.27055                 NaN   50.0431       0.951661        30.7053        10.0349        5.01054        1.98398                 NaN
  1355.77        2500.00        1.27052                 NaN   50.0429       0.951687        30.7053        10.0349        5.01056        1.98410                 NaN
  1352.56        2500.00        1.27049                 NaN   50.0427       0.951712        30.7054        10.0349        5.01059        1.98422                 NaN
  1349.36        2500.00        1.27046                 NaN   50.0425       0.951737        30.7054        10.0349        5.01062        1.98433                 NaN
  1346.15        2500.00        1.27042                 NaN   50.0423       0.951762        30.7055        10.0349        5.01065        1.98445                 NaN
  1342.95        2500.00        1.27039                 NaN   50.0421       0.951787        30.7056        10.0349        5.01067        1.98456                 NaN
  1339.74        2500.00        1.27036                 NaN   50.0419       0.951812        30.7056        10.0349        5.01070        1.98468                 NaN
  1336.54        2500.00        1.27032                 NaN   50.0417       0.951836        30.7057        10.0349        5.01073        1.98479                 NaN
  1333.33        2500.00       0.333384                 NaN   50.0586        1.01080        30.3720        10.2752        5.51356        2.43640                 NaN
  1330.13        2500.00       0.333377                 NaN   50.0584        1.01083        30.3720        10.2752        5.51359        2.43654                 NaN
  1326.92        2500.00       0.117035                 NaN   50.0542        1.02570        30.3116        10.3338        5.62104        2.53664                 NaN
  1323.72        2500.00       0.116259E-001            NaN   50.0522        1.03294        30.2841        10.3617        5.67195        2.58543                 NaN
  1320.51        2500.00                 NaN            NaN   50.0559        1.03789        30.2785        5.66204        10.3580        2.60771                 NaN
  1317.31        2500.00                 NaN            NaN   50.0556        1.03792        30.2785        5.66207        10.3580        2.60786                 NaN
  1314.10        2500.00                 NaN            NaN   50.0554        1.03794        30.2786        5.66210        10.3580        2.60801                 NaN
  1310.90        2500.00                 NaN            NaN   50.0551        1.03797        30.2786        5.66213        10.3580        2.60816                 NaN
  1307.69        2500.00                 NaN            NaN   50.0780        1.05588        30.2614        5.59782        10.3205        2.68633                 NaN
  1304.49        2500.00                 NaN            NaN   50.0778        1.05590        30.2615        5.59785        10.3205        2.68649                 NaN
  1301.28        2500.00                 NaN            NaN   50.0775        1.05593        30.2615        5.59788        10.3205        2.68664                 NaN
  1298.08        2500.00                 NaN            NaN   50.0773        1.05596        30.2616        5.59791        10.3205        2.68679                 NaN
  1294.87        2500.00                 NaN            NaN   50.0770        1.05598        30.2616        5.59794        10.3205        2.68695                 NaN
  1291.67        2500.00                 NaN            NaN   50.0768        1.05601        30.2617        5.59797        10.3205        2.68710                 NaN
  1288.46        2500.00                 NaN            NaN   50.0765        1.05604        30.2617        5.59800        10.3205        2.68725                 NaN
  1285.26        2500.00                 NaN            NaN   50.0763        1.05606        30.2618        5.59803        10.3205        2.68741                 NaN
  1282.05        2500.00                 NaN            NaN   50.1144        1.09373        30.2310        10.2607        5.47008        2.83007                 NaN
  1278.85        2500.00                 NaN            NaN   50.1142        1.09375        30.2311        10.2607        5.47011        2.83023                 NaN
  1275.64        2500.00                 NaN            NaN   50.1139        1.09378        30.2311        10.2607        5.47014        2.83039                 NaN
  1272.44        2500.00                 NaN            NaN   50.1137        1.09381        30.2312        10.2607        5.47017        2.83055                 NaN
  1269.23        2500.00                 NaN            NaN   50.1134        1.09384        30.2312        10.2607        5.47020        2.83071                 NaN
  1266.03        2500.00                 NaN            NaN   50.1131        1.09386        30.2313        10.2606        5.47023        2.83087                 NaN
  1262.82        2500.00                 NaN            NaN   50.1129        1.09389        30.2313        10.2606        5.47026        2.83104                 NaN
  1259.62        2500.00                 NaN            NaN   50.1126        1.09392        30.2314        10.2606        5.47029        2.83120                 NaN
  1256.41        2500.00                 NaN            NaN   50.1434        1.13345        30.2025        5.35082        10.2064        2.96337                 NaN
  1253.21        2500.00                 NaN            NaN   50.1431        1.13348        30.2026        5.35085        10.2064        2.96354                 NaN
  1250.00        2500.00                 NaN            NaN   50.1429        1.13351        30.2026        5.35088        10.2064        2.96371                 NaN
  1246.79        2500.00                 NaN            NaN   50.1426        1.13354        30.2027        5.35091        10.2064        2.96388                 NaN
  1243.59        2500.00                 NaN            NaN   50.1423        1.13357        30.2027        5.35094        10.2064        2.96405                 NaN
  1240.38        2500.00                 NaN            NaN   50.1421        1.13359        30.2028        5.35098        10.2064        2.96421                 NaN
  1237.18        2500.00                 NaN            NaN   50.1418        1.13362        30.2029        5.35101        10.2063        2.96438                 NaN
  1233.97        2500.00                 NaN            NaN   50.1415        1.13365        30.2029        5.35104        10.2063        2.96455                 NaN
  1230.77        2500.00                 NaN            NaN   50.1635        1.17535        30.1816        5.23312        10.1628        3.08356                 NaN
  1227.56        2500.00                 NaN            NaN   50.1632        1.17538        30.1817        5.23316        10.1628        3.08373                 NaN
  1224.36        2500.00                 NaN            NaN   50.1630        1.17541        30.1818        5.23319        10.1628        3.08391                 NaN
  1221.15        2500.00                 NaN            NaN   50.1627        1.17544        30.1818        5.23322        10.1628        3.08408                 NaN
  1217.95        2500.00                 NaN            NaN   50.1624        1.17547        30.1819        5.23325        10.1628        3.08426                 NaN
  1214.74        2500.00                 NaN            NaN   50.1621        1.17549        30.1819        5.23328        10.1628        3.08443                 NaN
  1211.54        2500.00                 NaN            NaN   50.1618        1.17552        30.1820        5.23331        10.1627        3.08461                 NaN
  1208.33        2500.00                 NaN            NaN   50.1616        1.17555        30.1820        5.23334        10.1627        3.08478                 NaN
  1205.13        2500.00                 NaN            NaN   50.1757        1.21935        30.1686        10.1268        5.11769        3.19188                 NaN
  1201.92        2500.00                 NaN            NaN   50.1754        1.21938        30.1686        10.1268        5.11773        3.19206                 NaN
  1198.72        2500.00                 NaN            NaN   50.1751        1.21941        30.1687        10.1268        5.11776        3.19224                 NaN
  1195.51        2500.00                 NaN            NaN   50.1748        1.21943        30.1687        10.1268        5.11779        3.19242                 NaN
  1192.31        2500.00                 NaN            NaN   50.1745        1.21946        30.1688        10.1268        5.11782        3.19260                 NaN
  1189.10        2500.00                 NaN            NaN   50.1742        1.21949        30.1689        10.1268        5.11785        3.19278                 NaN
  1185.90        2500.00                 NaN            NaN   50.1740        1.21952        30.1689        10.1268        5.11788        3.19296                 NaN
  1182.69        2500.00                 NaN            NaN   50.1737        1.21955        30.1690        10.1267        5.11792        3.19314                 NaN
