|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        San(TH)        ilm            q             
  1347.76        2500.00        99.1743                 NaN  0.343923E-001  0.344125       0.207941                 NaN  0.239241                 NaN            NaN            NaN            NaN
  1346.66        2500.00        99.1804                 NaN  0.345099E-001  0.342270       0.205852                 NaN  0.237001                 NaN            NaN            NaN            NaN
  1345.56        2500.00        99.1844                 NaN  0.341567       0.335032E-001  0.204979                 NaN  0.235541                 NaN            NaN            NaN            NaN
  1344.46        2500.00        99.1880                 NaN  0.318941E-001  0.341147       0.204438                 NaN  0.234502                 NaN            NaN            NaN            NaN
  1343.36        2500.00        99.1887                 NaN  0.343564       0.269593E-001  0.205881                 NaN  0.234878                 NaN            NaN            NaN            NaN
  1342.26        2500.00        99.2091                 NaN  0.335864       0.322273E-001  0.196633                 NaN  0.226223                 NaN            NaN            NaN            NaN
  1341.16        2500.00        99.2043                 NaN  0.335669       0.321979E-001  0.199290                 NaN  0.228542                 NaN            NaN            NaN            NaN
  1340.05        2500.00        99.2101                 NaN  0.315567E-001  0.334103       0.197681                 NaN  0.226576                 NaN            NaN            NaN            NaN
  1338.95        2500.00        99.2142                 NaN  0.316418E-001  0.332845       0.196260                 NaN  0.225043                 NaN            NaN            NaN            NaN
  1337.85        2500.00        99.1384                 NaN  0.410920E-001  0.359657       0.214263                 NaN  0.246625                 NaN            NaN            NaN            NaN
  1336.75        2500.00        99.3038                 NaN  0.299584       0.253464E-001  0.173132                 NaN  0.198107                 NaN            NaN            NaN            NaN
  1335.65        2500.00        99.2279                 NaN  0.324234E-001  0.328242       0.191336                 NaN  0.220101                 NaN            NaN            NaN            NaN
  1334.55        2500.00        99.2324                 NaN  0.327261       0.328145E-001  0.189163                 NaN  0.218360                 NaN            NaN            NaN            NaN
  1333.45        2500.00        99.2375                 NaN  0.326223       0.317535E-001  0.187948                 NaN  0.216550                 NaN            NaN            NaN            NaN
  1332.35        2500.00        99.2416                 NaN  0.324749       0.324883E-001  0.186125                 NaN  0.215064                 NaN            NaN            NaN            NaN
  1331.25        2500.00        99.2459                 NaN  0.322880       0.339030E-001  0.183974                 NaN  0.213336                 NaN            NaN            NaN            NaN
  1330.15        2500.00        99.2491                 NaN  0.321169       0.361699E-001  0.181566                 NaN  0.211963                 NaN            NaN            NaN            NaN
  1329.05        2500.00        99.2537                 NaN  0.321108       0.331034E-001  0.181388                 NaN  0.210724                 NaN            NaN            NaN            NaN
  1327.95        2500.00        99.2587                 NaN  0.385289E-001  0.317091       0.177157                 NaN  0.208485                 NaN            NaN            NaN            NaN
  1326.85        2500.00        99.2618                 NaN  0.316779       0.381555E-001  0.175981                 NaN  0.207270                 NaN            NaN            NaN            NaN
  1325.75        2500.00        99.2651                 NaN  0.315633       0.391653E-001  0.174094                 NaN  0.205970                 NaN            NaN            NaN            NaN
  1324.65        2500.00        99.2691                 NaN  0.313941       0.407798E-001  0.171730                 NaN  0.204413                 NaN            NaN            NaN            NaN
  1323.55        2500.00        99.2729                 NaN  0.312141       0.422494E-001  0.169736                 NaN  0.202998                 NaN            NaN            NaN            NaN
  1322.45        2500.00        99.2773                 NaN  0.400865E-001  0.312071       0.168701                 NaN  0.201863                 NaN            NaN            NaN            NaN
  1321.35        2500.00        99.2820                 NaN  0.307888       0.456833E-001  0.164949                 NaN  0.199504                 NaN            NaN            NaN            NaN
  1320.25        2500.00        99.2832                 NaN  0.307734       0.472757E-001  0.163001                 NaN  0.198794                 NaN            NaN            NaN            NaN
  1319.15        2500.00        99.2888                 NaN  0.456016E-001  0.305964       0.162202                 NaN  0.197451                 NaN            NaN            NaN            NaN
  1318.04        2500.00        99.2916                 NaN  0.475468E-001  0.304838       0.160009                 NaN  0.196003                 NaN            NaN            NaN            NaN
  1316.94        2500.00        99.2946                 NaN  0.301151       0.552054E-001  0.154858                 NaN  0.194201                 NaN            NaN            NaN            NaN
  1315.84        2500.00        99.2981                 NaN  0.300725       0.538179E-001  0.154123                 NaN  0.193220                 NaN            NaN            NaN            NaN
  1314.74        2500.00        99.3004                 NaN  0.298162       0.581181E-001  0.151240                 NaN  0.192111                 NaN            NaN            NaN            NaN
  1313.64        2500.00        99.3050                 NaN  0.564564E-001  0.297580       0.150110                 NaN  0.190812                 NaN            NaN            NaN            NaN
  1312.54        2500.00        99.3069                 NaN  0.695206E-001  0.291462       0.143061                 NaN  0.189055                 NaN            NaN            NaN            NaN
  1311.44        2500.00        99.3089                 NaN  0.295907       0.600383E-001  0.146412                 NaN  0.188751                 NaN            NaN            NaN            NaN
  1310.34        2500.00        99.3127                 NaN  0.291848       0.665979E-001  0.141741                 NaN  0.187151                 NaN            NaN            NaN            NaN
  1309.24        2500.00        99.3148                 NaN  0.289965       0.686302E-001  0.140141                 NaN  0.186430                 NaN            NaN            NaN            NaN
  1308.14        2500.00        99.3183                 NaN  0.285988       0.768300E-001  0.134514                 NaN  0.184360                 NaN            NaN            NaN            NaN
  1307.04        2500.00        99.3203                 NaN  0.770002E-001  0.285347       0.133575                 NaN  0.183773                 NaN            NaN            NaN            NaN
  1305.94        2500.00        99.3236                 NaN  0.282509       0.806628E-001  0.130728                 NaN  0.182485                 NaN            NaN            NaN            NaN
  1304.84        2500.00        99.3252                 NaN  0.281462       0.835268E-001  0.128174                 NaN  0.181669                 NaN            NaN            NaN            NaN
  1303.74        2500.00        99.3284                 NaN  0.875109E-001  0.278351       0.125344                 NaN  0.180421                 NaN            NaN            NaN            NaN
  1302.64        2500.00        99.2929                 NaN  0.791337E-001  0.308633       0.995460E-001  0.354676E-001  0.184311                 NaN            NaN            NaN            NaN
  1301.54        2500.00        99.2569                 NaN  0.666085E-001  0.341540       0.727395E-001  0.739049E-001  0.188294                 NaN            NaN            NaN            NaN
  1300.44        2500.00        99.2535                 NaN  0.137079       0.299519       0.502148E-001  0.726087E-001  0.187039                 NaN            NaN            NaN            NaN
  1299.34        2500.00        99.2761                 NaN  0.105949E-002  0.375775       0.893462E-001  0.724564E-001  0.185278                 NaN            NaN            NaN            NaN
  1298.24        2500.00        99.2735                 NaN  0.650348E-001  0.337684       0.685472E-001  0.712739E-001  0.183997                 NaN            NaN            NaN            NaN
  1297.14        2500.00        95.8359                 NaN   1.12108                 NaN  0.233444       0.311764       0.612977        1.88485                 NaN            NaN            NaN
  1296.03        2500.00        71.9200                 NaN   6.32096                 NaN   1.28177        1.95520        3.59543        14.9267                 NaN            NaN            NaN
  1294.93        2500.00        77.1423                 NaN   5.43144                 NaN  0.851632        1.58602        2.92247        12.0662                 NaN            NaN            NaN
  1293.83        2500.00        79.7410                 NaN   4.59786                 NaN   1.07140        1.32160        2.64250        10.6256                 NaN            NaN            NaN
  1292.73        2500.00        83.0194                 NaN   4.02466                 NaN  0.760875        1.11602        2.20921        8.86985                 NaN            NaN            NaN
  1291.63        2500.00        85.0740                 NaN   3.63759                 NaN  0.627733       0.962077        1.95043        7.74812                 NaN            NaN            NaN
  1290.53        2500.00        86.6721                 NaN   3.35186                 NaN  0.510668       0.842099        1.74860        6.87463                 NaN            NaN            NaN
  1289.43        2500.00        87.9429                 NaN   3.13844                 NaN  0.405063       0.747077        1.58727        6.17927                 NaN            NaN            NaN
  1288.33        2500.00        88.9325                 NaN   2.72238       0.304540       0.282938       0.668630        1.46060        5.62841                 NaN            NaN            NaN
  1287.23        2500.00        89.7906                 NaN  0.431985        2.44354       0.215496       0.604570        1.35156        5.16229                 NaN            NaN            NaN
  1286.13        2500.00        90.5086                 NaN   2.74614                 NaN  0.162900       0.550729        1.25989        4.77179                 NaN            NaN            NaN
  1285.03        2500.00        86.7314                 NaN   2.59709       0.907249       0.408297       0.804500        1.79393        6.75749                 NaN            NaN            NaN
  1283.93        2500.00        91.4916                 NaN   1.74553                 NaN  0.553338       0.590358        1.18846        4.43074                 NaN            NaN            NaN
  1282.83        2500.00        95.1096                 NaN  0.147265        1.73415       0.677450E-005            NaN  0.625369        2.26038                 NaN  0.123243                 NaN
  1281.73        2500.00        95.5799                 NaN   1.55078                 NaN  0.425699E-004  0.173527       0.569892        2.12590                 NaN            NaN            NaN
  1280.63        2500.00        92.9621                 NaN   1.15421        1.08086       0.127277E-004  0.374107       0.950602        3.47813                 NaN            NaN            NaN
  1279.53        2500.00        93.3422                 NaN   1.28330       0.866746       0.186451E-004  0.365483       0.885490        3.25677                 NaN            NaN            NaN
  1278.43        2500.00        94.0085                 NaN  0.373672       0.662573       0.821626       0.180035       0.926267        3.02735                 NaN            NaN            NaN
  1277.33        2500.00        89.8707                 NaN   3.24728                 NaN  0.234590E-005  0.655300        1.34093        4.85530                 NaN  0.305191E-001            NaN
  1276.23        2500.00        98.7316                 NaN  0.314198                 NaN            NaN            NaN  0.123989       0.794781                 NaN  0.354819E-001            NaN
  1275.13        2500.00        94.1225                 NaN   2.15947                 NaN            NaN  0.802534E-001  0.796605        2.75132                 NaN  0.898630E-001            NaN
  1274.02        2500.00        94.3608                 NaN   1.97469                 NaN            NaN            NaN  0.746133        2.74250                 NaN  0.175916                 NaN
  1272.92        2500.00        94.1365                 NaN   1.60330       0.446725                 NaN  0.119005       0.795371        2.81761                 NaN  0.815126E-001            NaN
  1271.82        2500.00        89.5158                 NaN  0.160650        3.56425                 NaN  0.124342        1.45136        4.94006                 NaN  0.243525                 NaN
  1270.72        2500.00        99.6174                 NaN  0.117632                 NaN  0.103144E-001            NaN  0.154753E-001  0.215401                 NaN  0.238193E-001            NaN
  1269.62        2500.00        97.2284                 NaN  0.836348                 NaN  0.602591E-001            NaN  0.395899        1.43304                 NaN  0.460233E-001            NaN
  1268.52        2500.00        91.9592                 NaN   2.82271                 NaN            NaN            NaN   1.07873        3.90767                 NaN  0.231668                 NaN
  1267.42        2500.00        97.7399                 NaN  0.882107                 NaN            NaN            NaN  0.342297       0.982790                 NaN  0.528792E-001            NaN
  1266.32        2500.00        96.0716                 NaN  0.292751        1.21091                 NaN            NaN  0.530007        1.85253                 NaN  0.422415E-001            NaN
  1265.22        2500.00        94.6916                 NaN  0.362525        1.62047                 NaN            NaN  0.715600        2.47718                 NaN  0.132573                 NaN
  1264.12        2500.00        95.2491                 NaN   1.59633                 NaN            NaN            NaN  0.656754        2.37043                 NaN  0.127383                 NaN
  1263.02        2500.00        91.4610                 NaN   2.79062                 NaN  0.724230E-001            NaN   1.25095        4.16457                 NaN  0.260415                 NaN
  1261.92        2500.00        96.3850                 NaN            NaN            NaN  0.713478                 NaN  0.571806        2.11712                 NaN  0.212586                 NaN
  1260.82        2500.00        98.6183                 NaN  0.475433                 NaN            NaN            NaN  0.153916       0.752316                 NaN            NaN            NaN
  1259.72        2500.00        97.6810                 NaN  0.809409                 NaN            NaN            NaN  0.307370        1.20224                 NaN            NaN            NaN
  1258.62        2500.00        94.4293                 NaN   1.93800                 NaN            NaN            NaN  0.780452        2.76467                 NaN  0.875995E-001            NaN
  1257.52        2500.00        98.2588                 NaN  0.344136                 NaN            NaN            NaN  0.206929        1.10516                 NaN  0.849611E-001            NaN
  1256.42        2500.00        97.7000                 NaN            NaN            NaN  0.818032                 NaN  0.409524        1.00715                 NaN  0.653323E-001            NaN
  1255.32        2500.00        90.0318                 NaN  0.577116        4.37270                 NaN            NaN   1.06800        3.72080                 NaN  0.229561                 NaN
  1254.22        2500.00       100.0000                 NaN            NaN            NaN  0.980562E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1253.12        2500.00        99.7243                 NaN  0.809427E-001            NaN            NaN            NaN  0.124747                 NaN            NaN  0.699711E-001            NaN
  1252.01        2500.00        96.7688                 NaN   1.03916                 NaN  0.154931                 NaN  0.407705        1.62936                 NaN            NaN            NaN
  1250.91        2500.00        90.6562                 NaN   3.19498                 NaN  0.204850                 NaN   1.37390        4.38294                 NaN  0.187082                 NaN
  1249.81        2500.00       100.0000       0.931298E-005            NaN            NaN  0.159626E-005            NaN            NaN  0.433199E-005            NaN            NaN            NaN
  1248.71        2500.00       100.0000       0.694083E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1247.61        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN  0.177915E-005  0.418118E-005            NaN            NaN  0.252693E-005
  1246.51        2500.00        94.4412                 NaN   2.11488                 NaN            NaN            NaN  0.745743        2.58275                 NaN  0.115454                 NaN
  1245.41        2500.00        95.8254                 NaN   1.33090                 NaN            NaN            NaN  0.514218        2.20951                 NaN  0.119983                 NaN
  1244.31        2500.00        98.7403                 NaN  0.241625       0.310100                 NaN            NaN  0.215047       0.479865                 NaN  0.130751E-001            NaN
  1243.21        2500.00        96.3118                 NaN  0.884380       0.503993                 NaN            NaN  0.480170        1.66453                 NaN  0.155108                 NaN
  1242.11        2500.00        98.6741                 NaN  0.246036                 NaN            NaN            NaN  0.170308E-001   1.03778                 NaN  0.250828E-001            NaN
  1241.01        2500.00        97.7301                 NaN  0.942447                 NaN            NaN            NaN  0.424927       0.895311                 NaN  0.725635E-002            NaN
  1239.91        2500.00        97.0577                 NaN  0.534691       0.501738                 NaN            NaN  0.409696        1.42079                 NaN  0.754057E-001            NaN
  1238.81        2500.00        91.3575                 NaN   2.45502       0.582723                 NaN            NaN   1.14718        4.29131                 NaN  0.166303                 NaN
  1237.71        2500.00        99.4574                 NaN  0.167999                 NaN            NaN            NaN  0.701654E-001  0.297690                 NaN  0.673533E-002            NaN
  1236.61        2500.00        99.2295                 NaN            NaN            NaN  0.225095                 NaN  0.110673       0.410913                 NaN  0.238115E-001            NaN
  1235.51        2500.00        99.8255                 NaN            NaN            NaN            NaN            NaN  0.219961E-001  0.146158                 NaN  0.635306E-002            NaN
  1234.41        2500.00        96.3166                 NaN   1.37758                 NaN            NaN            NaN  0.502298        1.73340                 NaN  0.701128E-001            NaN
  1233.31        2500.00        99.8961                 NaN  0.609627E-001            NaN            NaN            NaN            NaN  0.429594E-001            NaN            NaN            NaN
  1232.21        2500.00        96.7267                 NaN   1.09708                 NaN            NaN            NaN  0.433409        1.67326                 NaN  0.695077E-001            NaN
  1231.11        2500.00       100.0000                 NaN            NaN            NaN  0.710390E-005            NaN  0.283974E-005  0.465830E-005            NaN            NaN            NaN
  1230.00        2500.00       100.0000                 NaN  0.916256E-005            NaN            NaN            NaN  0.474215E-005  0.122445E-004            NaN  0.142202E-005            NaN
  1228.90        2500.00       100.0000                 NaN            NaN            NaN            NaN            NaN            NaN  0.929329E-005            NaN            NaN            NaN
  1227.80        2500.00        99.9998                 NaN  0.585448E-004            NaN            NaN            NaN  0.228877E-004  0.100437E-003            NaN  0.469453E-005            NaN
  1226.70        2500.00        70.3684                 NaN   5.77793       0.184665                 NaN            NaN   2.83906        13.2546                 NaN  0.401118        7.17423     
  1225.60        2500.00                 NaN            NaN   13.4038        3.10371                 NaN            NaN   8.67681        43.2603                 NaN   1.08281        30.4726     
  1224.50        2500.00                 NaN            NaN   13.5305        2.97666                 NaN            NaN   8.68256        43.2545                 NaN   1.08299        30.4728     
  1223.40        2500.00                 NaN            NaN   13.5767        2.92828                 NaN            NaN   8.68154        43.2564                 NaN   1.08464        30.4724     
  1222.30        2500.00                 NaN            NaN   13.5455        2.96019                 NaN            NaN   8.68629        43.2516                 NaN   1.08399        30.4724     
  1221.20        2500.00                 NaN            NaN   13.5257        2.98053                 NaN            NaN   8.68884        43.2494                 NaN   1.08346        30.4721     
  1220.10        2500.00                 NaN            NaN   13.4971        3.00953                 NaN            NaN   8.69261        43.2460                 NaN   1.08290        30.4718     
  1219.00        2500.00                 NaN            NaN   13.4859        3.02218                 NaN            NaN   8.69669        43.2413                 NaN   1.08214        30.4718     
  1217.90        2500.00                 NaN            NaN   13.4532        3.05435                 NaN            NaN   8.70017        43.2391                 NaN   1.08185        30.4714     
  1216.80        2500.00                 NaN            NaN   13.4515        3.05739                 NaN            NaN   8.70390        43.2348                 NaN   1.08106        30.4714     
  1215.70        2500.00                 NaN            NaN   13.4568        3.05284                 NaN            NaN   8.70785        43.2308                 NaN   1.08043        30.4712     
  1214.60        2500.00                 NaN            NaN   13.4528        3.05740                 NaN            NaN   8.71180        43.2271                 NaN   1.07984        30.4710     
  1213.50        2500.00                 NaN            NaN   13.4505        3.06038                 NaN            NaN   8.71583        43.2232                 NaN   1.07923        30.4709     
  1212.40        2500.00                 NaN            NaN   13.4517        3.05988                 NaN            NaN   8.71991        43.2193                 NaN   1.07860        30.4707     
  1211.30        2500.00                 NaN            NaN   13.4569        3.05527                 NaN            NaN   8.72404        43.2153                 NaN   1.07797        30.4705     
  1210.20        2500.00                 NaN            NaN   13.4675        3.04533                 NaN            NaN   8.72822        43.2113                 NaN   1.07734        30.4703     
